ParlaMint-GB_2017-11-28-commons.u1	1. What steps his Department is taking to support wage growth for low-paid workers.
ParlaMint-GB_2017-11-28-commons.u392	Will the right hon. and learned Gentleman give way?
ParlaMint-GB_2017-11-28-commons.u393	I am running out of time; I do apologise We are still extremely weak in this country in providing the opportunities for reskilling and midlife training that future workforces will require. I conclude as I started. This was the right kind of Budget. It shows that we have a competent Government. The Chancellor is the nearest one gets to the strong and stable Government that we promised before we started. He keeps his head, and that is what we require. He has a view to the national interest and a very considerable resilience to the short-term, silly pressures to which he is subjected, particularly by an Opposition who, as never before, go through every problem that is mentioned by saying that the only thing we need to debate is the quantity of money being spent on it. They promise untold billions of unfunded spending in an apparent belief that there is no question in the whole field of government that is not soluble by a little more borrowing and a little more printing of money. That just makes it more important that this side of the House gets it right. The Chancellor and the Business Secretary are getting it right, and I hope that they stay steady on the course they have set for the country.
ParlaMint-GB_2017-11-28-commons.u394	It is always a pleasure to follow the right hon. and learned Member for Rushcliffe (Mr Clarke). I was struck by his discussion of his bus pass, state pension and winter heating allowance. It might be that the right hon. and learned Gentleman does not need these things, but if we begin to erode them and means test them, the problem is that those who do need them will not claim, and—I suppose this is an ideological position from the Scottish National party—we would then begin to erode social cohesion on other important matters I welcome much of what the Business Secretary says about the future economy, including on tackling long-term underinvestment in research and development, addressing the long tail of underproductive companies, recognising the importance of innovation, big data, the life sciences and the other sectoral areas he mentioned, and the absolute imperative for UK businesses to export more. However, the future economy cannot simply be about supporting new businesses with new products selling into new markets; it must also be about supporting businesses that are already here delivering for their customers, their shareholders and the economy, and particularly, as the right hon. and learned Member for Rushcliffe said, into the EU, which is a substantial market for the UK. So while I certainly welcome many of the specifics in the White Paper and what was said today, I make no apologies at all for talking about the impact of Brexit, which has the very real potential to undermine the good intentions of the plan I say that because the uncertainty created by the hard Tory Brexit plans is already harming the economy. The UK Government’s failure so far to secure a transitional deal is pushing many banks, in particular, and other companies to start looking to relocate to other parts of the EU for fear of being unable to trade freely there in April 2019. Indeed, the Bank of England has warned that 75,000 jobs might be at risk in the banking sector alone, and many of those may well move to the EU. It is vital that we remedy that, and do so quickly, as FinTech, which is mentioned in the White Paper, is undoubtedly one of the areas that ought to be able to make a positive contribution to the future economy of the UK. However, if we do not resolve this issue, meaning that banks’ head offices and decision-making functions go, I fear that FinTech and the ability to fund it will be subsequently reduced I also make no apology for saying that Brexit has the capacity to undermine the Chancellor’s plans for raising productivity, which we all agree will be vital if our future economy is to deliver success and prosperity for everyone across these islands. The UK is now at the bottom of the G7 for economic growth. The eurozone and other advanced economies are enjoying higher growth, as well as higher levels of consumer and business confidence. These plans and the money to be spent on them—some of the cash is substantial—might barely mitigate the damage of Brexit, rather than kick-starting the economy to power ahead, which we all hope they will do Let me put some flesh on the bones of that, because it is important. The OBR has slashed its forecasts for productivity, economic growth and pay growth. The new forecasts show that the economy is expected to grow at below its long-term trend of around 2% until well into the next decade. The downgraded OBR expectations lower significantly the predicted level of growth. Although the OBR previously said that growth would proceed at much the same pace as before the crisis, it has turned out to be much lower This goes back to something the Minister said as a throwaway. Borrowing will still be at £26 billion a year in 2022-23, but he said we want to live within our means. We all want to live within our means, but when we see a national debt of 87% on the treaty calculation, and when we see borrowing of £26 billion by 2022-23—the current account was supposed to be in balance or in surplus in 2015—I think we can say with some certainty that the Government have failed to deliver every single one of the targets they have set since they came to power, with a Tory Chancellor, in 2010.
ParlaMint-GB_2017-11-28-commons.u395	Does the hon. Gentleman agree that the real story behind this Budget was the growth forecast, which will impact not only the borrowing he is talking about, but public spending and, frankly, the whole shape of the British economy and British society in the years ahead? Do we not need an urgent debate on how we really raise that growth rate? The industrial strategy was simply not up to that job, which is so tricky.
ParlaMint-GB_2017-11-28-commons.u396	I agree with the first part of that intervention entirely. The big story from the Budget was that the growth figures were marked down over the entire forecast period that productivity per head was almost halved for that period and that pay growth was marked down, which has an impact on real people. As for a debate, we have been having debates about the productivity conundrum and growth since before I was an MP, and given that I am now about 110, that was some time ago. I suspect that we need to look at the work that has gone into the White Paper. Let us get behind the things we can support and make suggestions when we can improve things—my goodness, there are some we can most certainly improve—but we do not need to go back to the drawing board again I think that each and every one of us, if given a blank piece of paper, would come up with broadly the same plan with regard to fairness about investment, infrastructure, education, and supporting R and D and exports. I do not think that there is anything particularly new there. The question for me is: can we deliver that this time, or will this be to no avail if Brexit undermines the potential of any of these plans?
ParlaMint-GB_2017-11-28-commons.u397	Both Labour and the Conservatives recently voted in this House to come out of the customs union. That will increase trade barriers with 27 countries, as well as another 67 countries that rely on 38 to 40 other deals with the European Union, so we stand a very real risk of increasing trade barriers with up to 94 countries. Surely to goodness that is putting an already perilously placed UK in an even more perilous position? That was supported by the Labour and Conservative parties, hand in hand, damaging together.
ParlaMint-GB_2017-11-28-commons.u398	My hon. Friend is right. Every single assessment that we have seen, starting with the leaked Treasury document of a couple of years ago, says that the worst-case scenario—if there are tariffs, other regulatory barriers and an immediate reversion to World Trade Organisation rules—is a 10% hit on GDP, full stop, before we start. I do not understand why anyone—even Tories, and certainly the bulk of the Labour party—voted to come out of the customs union. That was an idiotic thing to do. If we must leave at all, we should look to have the closest possible formal links, so that we maintain as much trade as possible on current terms.
ParlaMint-GB_2017-11-28-commons.u399	Will the hon. Gentleman give way?
ParlaMint-GB_2017-11-28-commons.u400	I will in a little while The Resolution Foundation has reported that productivity growth in the 10 years to 2020 will be the lowest for 200 years. As a result, we have the worst economic growth forecasts that the OBR has ever delivered. Equally importantly, the forecast for the UK’s balance of payments current account as a share of GDP has also been downgraded significantly due to a slowdown in business investment and the deterioration of the UK’s net trade balance. That is expected to be a whole 1% deeper in deficit this year and next, and for the following year a 2% fall is predicted compared with the spring forecast We know that this is not a new problem. The Tory plans for post-Brexit policy—trade is vital if the future economy plan is to work—are delusional. The Tories aim to leave the single market, but apparently want to keep all the benefits of the club, while creating this preposterous “Empire 2.0” nonsense and signing trade deals across the globe. However, as my hon. Friend the Member for Na h-Eileanan an Iar (Angus Brendan MacNeil) pointed out, the UK already has trade deals with almost 90 non-EU countries, besides the 31 other members of the European economic area, thanks to our membership of the single market and the customs union.
ParlaMint-GB_2017-11-28-commons.u401	Will the hon. Gentleman give way now?
ParlaMint-GB_2017-11-28-commons.u402	In one second. These existing trade agreements will be vital if our economy is to thrive. I give way one more time.
ParlaMint-GB_2017-11-28-commons.u403	I am very grateful to the hon. Gentleman. I was trying to tee him up before. Given the growth forecast and the shocking impact that the situation will have on people’s incomes and the public finances, is not now the worst possible time to be leaving the European Union, the customs union and the single market? Is this not the most disastrous economic decision, given the economic forecasts?
ParlaMint-GB_2017-11-28-commons.u404	Of course, leaving the world’s most successful trade body and access to half a billion customers, tariff-free, would be an idiotic thing to do at any point. The fact that we are doing it now—and, more importantly, unprepared—is key. I will say a little more about that The existing trade agreements that are being discussed are vital if our economy is to thrive. The Government have suggested more support for exporters to new markets, but that seems to be at the expense of the trade routes that companies already have. To put some flesh on the bones of the last intervention, the EU accounts for 43% of the UK’s goods and services exports, and 54% of imports. The UK Government have failed in their intention of starting to negotiate the future economic relationship with the EU at the same time as negotiating the divorce settlement. The delays in the first phase of the negotiations are deeply worrying and undermine the plan. We risk approaching a Brexit deadline without having concluded negotiations, and without a transitional arrangement In case anyone is in any doubt about how our friends in the EU view this, Federica Mogherini has said: “It is absolutely clear on the EU side that as long as a country is a member state of the EU, which is something that the UK is at the moment…there are no negotiations bilaterally on any trade agreement with third parties. This is in the treaties and this is valid for all member states as long as they remain member states until the very last day.” We have heard all the rhetoric from the Trade Secretary, who has conceded that his staff do not have the ability to cut the deals. At the same time, the EU is continuing talks with multiple countries across the globe, including Australia and New Zealand, which many Members point to as post-Brexit allies. That means that we will be playing catch-up with the EU’s trade policy, and it will take years—possibly decades—simply to replicate the arrangements we already have, if we can even do that. Doing so is vital to the trading future of Scotland and the UK and to our future economy Another point to make about the EU concerns the free movement of people. Part of the plan is to attract the best and brightest. In my view, we must not just continue to attract them, but keep the ones we have. The 128,500 EU citizens employed in Scotland contribute some £4.2 billion to the Scottish economy. We must not send a signal to people—to those who are here, to those from the EU or around the world who want to come here, or to those who seek the collaborative partnerships in research and development contained in the plan—that the door is now closed. That would be catastrophic, whether it is said officially or that impression is given. It would add to the potential loss of 7% of gross value added to Aberdeen, of 6% to Edinburgh and of 5.5% to Glasgow—a £30 billion loss of GVA to the cities of the UK alone. We will therefore continue to defend Scotland’s economic interests now and in the future, and we will prioritise maintaining membership of the single market and the customs union for Scotland—and, so far as I am concerned, the free movement of people, on which this plan, to a large measure, is predicated. I do, however, welcome much of what the Secretary of State has said alongside the publication of the industrial strategy, which aims to tackle the productivity slowdown and address the challenges and opportunities brought about by technological advance. We agree with many of the five foundations of productivity that he has laid out and many of the key policy areas that he has suggested, including raising R and D investment to 2.4% of GDP by 2027 and the increase in R and D tax credits rate to 12%, as well as the £725 million industrial strategy challenge fund We also welcome some of the smaller things, because although many of them are England-only or England and Wales-only, they are still good for the Secretary of State to do. They include the introduction of the T-levels, the additional money for maths, technical and digital education, and the £64 million for retraining. We welcome many investment announcements, including for infra- structure, broadband, energy and transport We would not disagree with the four main challenges—artificial intelligence and the data revolution; clean growth; mobility; and an ageing society—although I am rather at a loss to see how the Government can trumpet clean growth when they have refused for a decade or more to address the challenge of the imbalance in connectivity to the grid, which damages the potential of offshore wind in the north-west of Scotland. If the Government could finally resolve the imbalance, which means that a charge is paid by the Western Isles whereas central London receives a subsidy, there might be unequivocal support for the policy of clean growth.
ParlaMint-GB_2017-11-28-commons.u405	My hon. Friend brings up a fantastic point, on which his view is shared by the SNP and the Scottish Government. The UK Government choose to penalise the place where the wind resource is, but unfortunately the wind just will not blow at the whim of the bureaucratic pen of the UK Government. I would have thought that they would have realised that after all these years.
ParlaMint-GB_2017-11-28-commons.u406	One would have thought so, given the number of times the Government have been told that this is an ongoing problem. I could almost repeat it verbatim: there is £23 per kWh charge in the north-west of Scotland and a £7 per kWh subsidy down in the south of England. At some point soon, now that the Government have a clean energy strategy as part of the future economy, I hope that even they might think to address that fundamental inequity I want some real joined-up thinking. I know that the industrial strategy recognises, as the Secretary of State said in his statement yesterday, the contribution of the Scottish Government and the other devolved institutions. It is worth putting on record that the Scottish Government already have an economic strategy, with strategic plans for trade, investment, manufacturing, innovation and employment. Following the recent enterprise and skills review, they are aligning their agencies and resources behind those plans. The UK Government should have such a joined-up approach The Scottish Government are taking action to support the economy and to counter some of the uncertainty brought about by Brexit, despite the real-terms Budget cuts. This includes the £500 million Scottish growth scheme to target high-growth, innovative and export-focused small and medium-sized enterprises. The first tranche of that money was delivered in June, and a further tranche will be made with an expansion of the SME holding fund, along with the leveraging in of private capital. The Scottish Government are also taking forward infrastructure investment plans, with projects valued at more than £6.5 billion either in construction or starting this year In addition to the innovation and investment hubs in London and Dublin, the Scottish Government have established hubs in Berlin and Paris. They are maximising the opportunities there while also developing our existing presence in Brussels into a hub. That is important because there is no point in just supporting big businesses that already export. If we are ever to mitigate the potential loss of export trade with the EU, we need to have the people and resources in place to hold the hands of businesses and ensure that more of them start to export. The Scottish Government are establishing a new south of Scotland enterprise agency The Scottish Government are implementing a number of other measures, the most important of which is the roll-out of digital connectivity. Had the roll-out of 4G been left to the market and the UK Government, I understand that we would be about 60% of the way there. However, because of the additional hundreds of millions put in by the Scottish Government, we are at 95%, and we are driving forward the “Reaching 100%” project to deliver superfast broadband access to all residential and business premises by 2021.
ParlaMint-GB_2017-11-28-commons.u407	My hon. Friend is giving a long list of impressive boasts by the SNP Government, but he may not know that people on the west side of one of the smallest islands in the Outer Hebrides can get 48 megabits per second. I believe that central London and many other places cannot match what the SNP Government have achieved in the west of the highlands and islands of Scotland.
ParlaMint-GB_2017-11-28-commons.u408	That sounds to me like a pitch for inward investment for Barra, given what my hon. Friend says about 48 megabits per second. The whole point is that it is possible to deliver to some of the most remote communities the kind of access to technology that every business and individual needs We welcome the fact that the UK Government have published their industrial strategy, and we are committed to working with them to ensure that the strategy delivers the maximum benefits for Scotland. However, as my hon. Friend the Member for Inverness, Nairn, Badenoch and Strathspey (Drew Hendry) said yesterday, we are disappointed that the Scottish Government were not formally consulted ahead of the publication of the strategy, even though the White Paper recognises the critical role that the Scottish Government have to play. That is a worry in areas such as life sciences, in which Scotland is a world leader, because a sectoral deal seems to have been agreed without any consultation with the Government in Scotland We have set out our programme for government in Scotland, which includes a commitment to create a Scottish national investment bank to deliver infrastructure development, finance for high-growth businesses and strategic investments in innovation. That mirrors much of what the UK Government have said—[Interruption.] I am conscious of the time. I have had 20 minutes, but I will finish soon; I am sure there will be plenty of time for Labour Back Benchers. We are also committed to a transition to a low-carbon economy, as this is an important economic opportunity for Scotland Finally, let me make a point that my hon. Friend the Member for Inverness, Nairn, Badenoch and Strathspey also made yesterday. We welcome the plan and the substantial sums that are being invested, but we note that the £7 billion for the extension of the innovation fund will not to be spent until 2022-23. If it is important to spend that money, and it is, and if it is important to mitigate the damage that Brexit might do, and it is, I simply say to the Secretary of State that he should perhaps bring forward that spending.
ParlaMint-GB_2017-11-28-commons.u409	Order. The House is obviously aware that a great many people wish to speak and there is limited time, so we will begin with a time limit of seven minutes.
ParlaMint-GB_2017-11-28-commons.u410	I rise to speak in support of the Budget and, in particular, the key strategic priority it places on the housing market and increasing housing supply. The Chancellor was right to say that we should have a national target for new home completions of 300,000 a year, but that number should not be a mere aspiration; it is an absolute necessity For many people in this country, getting on the housing ladder is becoming increasingly difficult. The prices of new homes to buy are rising much faster than people’s earnings. That has been the case for a long time. It is therefore no surprise that the percentage of people who are able to own their own home has declined. We are not looking at investment in the housing market just for homes to purchase. We need to build a lot more units that are affordable to buy and to rent, and we need a much more active strategy to do that. I was pleased that the Government announced that as part of the Budget I have supported the proposed development of the Otterpool Park garden town in my constituency, which would create up to 12,000 new homes. Any planning decision involves a degree of difficulty and it is important that we get the local consultation right, but we do need to prioritise building a lot more homes Building creates not only new places for people to live, but a considerable number of jobs in the construction sector. Many people who work in construction say that even now, it is difficult to find the people to do the work that is available. Therefore, it was right that a strong priority was placed on training people to work in the construction sector I welcome the Chancellor’s announcement of the £3 billion resilience fund to be spent over the next two years on preparations for Britain leaving the European Union. My constituency of Folkestone and Hythe contains the channel tunnel. Investing in preparedness to manage cross-border trade is a necessity. Anything that, for whatever reason, slows the progress of road freight in and out of the country will cause congestion and delay. That is bad for the economy and has a detrimental impact on people’s quality of life and the businesses in my constituency and elsewhere in Kent. For me, a key priority in building the physical resilience we will need is not only to manage the electronic processing of freight as it passes in and out of the country, but to ensure that we have the physical infrastructure to hold lorries if they have to queue before leaving the country or if there is any requirement for customs checks as they arrive. The delivery of the lorry park on the M20 at Stanford West that was envisaged and proposed two years ago as a relief for Operation Stack is a vital piece of national infrastructure. I was disappointed that the Government had to withdraw their planning application to build it because of a judicial review, but I know that it is being looked at again. I see that the Financial Secretary is in his place. I raised this matter with him last week and welcome the letter he sent me to confirm that the ring-fenced budget of £250 million that the Government allocated for the delivery of that lorry park is still there. It is a vital piece of infrastructure and we need to ensure that it is delivered On the other spending commitments in the Budget, I welcome the additional £2 billion this year and into next year for the national health service. It is important that that reaches the places that need it most. The Health Secretary is not here, but I believe that greater consideration needs to be given to GP services and primary care in coastal communities, where the often complex, unique and challenging requirements have led to the average number of patients per GP being much higher than the national average. We are struggling to recruit GPs in such areas. I have spoken to the Health Secretary about that issue on numerous occasions and know that it is a priority for him. However, we need to ensure that the extra money for the health service goes to the parts of the country where it will make the biggest difference There has been a lot of talk about increasing investment in research and development and about increasing the research and development credit. That is incredibly important for the future of the economy, and I want to touch on artificial intelligence, which will be an important driver of growth in the future, as the Secretary of State set out in his remarks. Effectively, artificial intelligence is the robotic harvesting of the data footprint that we leave as we increasingly conduct our lives online and the designing of new products and technologies around that to meet people’s needs. That throws up a number of ethical issues Algorithms that run programmes are private property—they are copyrighted; they are not shared, and many platforms, such as Google and Facebook, fiercely guard the information—but we need to make sure that, when new services are designed based on our data footprint, companies behave ethically and responsibly and that we are able to check they are safeguarding the interests of the people they seek to serve through that technology. That is why the announcement of the creation of the centre for data ethics and innovation is incredibly important. The Digital, Culture, Media and Sport Select Committee, which I chair, will be looking at the distribution of disinformation and how companies’ algorithms either support or could act against it. There is, however, an important ethical question about the right of third-party organisations to check the work being done. Innovation through AI can, then, transform the economy, but it throws up some ethical issues that we have to get right The Government have taken an interest in driverless cars, but driverless cars, though an exciting technology, do not work without a signal to allow them to receive the information they need, which is why the creation of the national 5G network is so important. Without a signal, a driverless car would suddenly stop in the middle of the road. The investment in the 5G network requires investment not just in poles and masts but in fibre infrastructure. A key part of the industrial strategy has to be the move to a full fibre economy as quickly as possible. We simply cannot deliver on massively important new technologies such as 5G for the whole nation without that infrastructure to support it As an adjunct to that, I know that my right hon. Friend the Minister for Digital has talked about whether there should be a universal service obligation for 3G mobile signal. In many parts of the country, including Elham valley in my constituency, the 3G signal is weak. Ofcom will shortly be publishing a study on the real level of service delivery by mobile phone operators and whether it falls below the requirement stated in their licences. If it does, there will have to be some further inducement to act to make sure that basic coverage is better than it is. In the longer term, however, we need investment in a 5G network Finally, the joint working between the Government, the CBI and the TUC on retraining is crucial. Technology means that people’s jobs will change faster and faster throughout their lives, and people need the ability to retrain throughout their working careers to take advantage of this.
ParlaMint-GB_2017-11-28-commons.u411	It is a pleasure to follow the hon. Member for Folkestone and Hythe (Damian Collins), who made some important remarks about Brexit and the risks we face I want to start my remarks about the Budget with the words of the Prime Minister at the Conservative party conference in 2016. She said this about the EU referendum: “It was about a sense – deep, profound and let’s face it often justified – that many people have today that the world works well for a privileged few, but not for them. It was a vote not just to change Britain’s relationship with the European Union, but to call for a change in the way our country works – and the people for whom it works – forever.” I agree. The referendum told us that the status quo was not good enough—in fact, was not nearly good enough. Surely, then, the test of the Budget is whether someone listening to it and seeing its contents would conclude that this was a Government determined to live up to her words One or two policies in the Budget look somewhat familiar. The energy price cap used to be part of a Marxist universe; now it is Government policy. The “use it or lose it” policy on land banking was described by the Foreign Secretary—an eminent person—as “Mugabe-style” land expropriation; now it is on the way to becoming Government policy under the wise counsel of the right hon. Member for West Dorset (Sir Oliver Letwin)—an unlikely authoritarian Marxist On the fundamentals, however, on the underlying economic strategy, I am afraid it is not change, but more of the same. I want to highlight two issues: the refusal to address deep inequality in our country and the continuation of austerity. We all know about the cost-of-living crisis—it is not contested any more, although the Secretary of State did not really talk about it. I will give people just one fact: on the path suggested by the OBR, the average worker will not get back to 2008 earnings until 2025. That is the scale of the challenge we face. Are the Government making things better or worse when it comes to this and the gulf in living standards between the top and bottom? I am afraid they are making it worse. According to the Resolution Foundation, tax and benefit changes since 2015, including those in the pipeline, mean: “The poorest third of households will lose an average of £715 a year compared to average gains among the richest third of households of £185 a year.” The Prime Minister apparently believes that the message from the Brexit result was that people felt that the country worked for a privileged few but not for most. The Budget, however, makes the position worse rather than better I should love to hear from whoever winds up the debate what Ministers’ defence of these distributional figures is, because this is discretionary Government policy. It is a political choice, not an economic necessity. We need only look at what is happening to corporation tax to understand that. Corporation tax has been cut by more than £10 billion since 2010—and, by the way, businesses have not even been asking for those cuts. The Chancellor could have pointed out that the current rate of 19% was the lowest in the G7 by some distance, and that there were other priorities, but no: he is going to spend billions more pounds on cutting corporation tax to 17%. It seems that he can afford to spend those billions, but he cannot afford to keep benefits at the same level and has to cut them. That is the political choice of this Budget Let me turn from the issue of distribution to the issue of debt and the deficit, which the Secretary of State talked about. I am old enough to remember when the Government said that they would balance the budget by 2015. In fact, that was not so long ago: it was in 2010. I am also old enough to remember the 2015 election campaign, when I was told that if we did not balance the budget by 2018, catastrophe would follow. What does Robert Chote, the director of the Office for Budget Responsibility, say? He says: “If the deficit is to continue falling at the average rate expected beyond the end of this spending review, then it won’t reach balance until 2030-31.” What an extraordinary failure! A deficit promise is to be kept not five years late, not 10 years late, but 16 years late, and the Government have the cheek to go on about the deficit. They have failed to deliver on the promises that they made, but they are pulling off a remarkable feat: they are both failing on those deficit promises and cutting spending. The Secretary of State did not mention that. According to the Institute for Fiscal Studies, there will be day-to-day departmental cuts of £10 billion per capita by 2022, with welfare cuts on top. If ever we needed proof that austerity had failed, that would be it. The Government are not meeting their deficit promises, and they are carrying on with the cuts There is a deeper point, however. The Prime Minister’s words were right. People were not just voting on immigration in Europe, although of course they were doing that; they were also voting for a big change of direction. Continued austerity, continued spending cuts and worsening inequality constitute not a change in direction, but more of the same. We know what the Government should have done. They should have realised that cutting taxes for the richest, and the largest corporations, is not the way to ensure that a country succeeds. They should have put an end to austerity and cuts in public spending, and they should have recognised, more than they did, the cruelty and pain caused by welfare cuts that we all see, as constituency Members—including what is happening with universal credit I do not know what the precise Brexit settlement will be, but it is already clear from last year’s autumn statement that the impact on the economy and public finances will make it harder—let us be frank about this—to deliver the fairer society that was one important part of the mandate of the referendum, which makes it all the more important for us to have a Government who are committed to action to bring that about. On that score, and by the standards that the Prime Minister set herself, the Budget fails. It proves to me, yet again, that this Government cannot bring the change for which the people voted in the referendum.
ParlaMint-GB_2017-11-28-commons.u412	Order. I must now reduce the speaking limit to four minutes.
ParlaMint-GB_2017-11-28-commons.u413	It is a pleasure to follow the right hon. Member for Doncaster North (Edward Miliband). I may not agree with his message, but I admire the passion with which he delivers it Let me, in the time available to me, welcome the Budget and, in particular, the proposals for infrastructure, business and the housing market. In my constituency, we are certainly doing our bit for the housing market. We have completed more than 600 new homes in each of the last three years, and this year we expect to complete more than 700. It is worth bearing in mind that if every constituency were building new homes at the same rate as mine, well over 400,000 new homes would be available this year I welcome what the Chancellor said about supporting the building industry, SME builders and releasing public land for building, but I hope that Ministers will bear in mind the need to ensure that the bidding process for the purchase of public sector land as it comes available—regulated by the Homes and Communities Agency—is not so onerous that it deters SMEs from taking part. Otherwise we will miss out on a valuable aspect of that policy My constituency is home to some of the UK’s major house builders, and the major brick and aggregate producers. In recent years, one of the biggest deterrents to investing in building materials and energy-intensive industries is uncertainty about climate change-related policy costs, with potential threats including EU emissions trading reforms that would put many firms out of business, even state of the art brick factories. The last two brick factories built in the UK are in my constituency. One was built in 2008, at the end of the economic crash, and one will come on stream in the next few months. They involve considerable investment—about £55 million—and each plant can produce 100 million bricks a year, but even with a target of 200,000 new houses a year, we import 300 million bricks. If we want to build 300,000 houses, we need to build new brick factories or we will have to import bricks from all over the world, and that is not efficient. The uncertainty for energy-intensive users needs to be removed as soon as possible, so that investment can go in and we can be self-sufficient in bricks and tiles I welcome the national productivity investment fund of £30 billion. Some of that money is already supporting the 6 million square feet SEGRO warehousing development in the north of my constituency. That will create 11,000 jobs. Unemployment in my constituency has fallen since 2010 by 70%, youth unemployment is down by 80% and only 470 people are on the unemployment register. Those jobs need to go out to the cities of Derby, Nottingham and Leicester, and we need better public transport to give people access to the jobs that we are creating. The continued cuts in corporation tax will ensure that businesses in my constituency and across the country continue to create the jobs and the wealth we need in the future.
ParlaMint-GB_2017-11-28-commons.u414	When the British people voted to leave the European Union, they did not vote to damage the Good Friday agreement, they did not vote to undermine the public finances, they did not vote to run the risk of falling off the edge of a cliff without a deal, and they certainly did not vote to end the benefits to Britain of the customs union and the single market. None of those things are inevitable consequences of the vote in June 2016: they are the result of political choices, made by the Government, that will have profound consequences for the future of our economy, our public services and the people we represent. Those choices and consequences dwarf this Budget and will determine the shape of just about every Budget in the years ahead The truth is that the Government have been far from transparent and open about those consequences. The simple question for the House is “Why not?” Why have the Government been so unwilling to acknowledge that the decisions that they have made will produce that result, and why have they been so reluctant to share that analysis? We know what the benefits of the customs union are: it gives us frictionless trade. The Government say they want frictionless trade, but we have it now through the customs union. We know it gives us access to a load of agreements with other countries in the world negotiated by the EU. We know—referring to the point made by the hon. Member for Folkestone and Hythe (Damian Collins)—that it enables the lorries that come off the ferries at Dover to move out seamlessly to help to turn the wheels of industry and stock our supermarket shelves Some 60% of our exports go to Europe and those markets we access through the trade deals. Is it possible to imagine any business saying to its biggest customers, “Well, we’ll try and keep on doing what we are doing with you at the moment, but actually we’re more interested in trying to sell stuff to other people around the rest of the world.” The place where this falls into the starkest relief is in Northern Ireland. The Government say that they do not want a border, yet they also say that they want to leave the customs union and the single market. When it is pointed out to Ministers that that could be a bit of a problem, they say that technology will come to their rescue, even though their ideas are untested. One organisation has even suggested that airships and drones could hover above a non-existent border. I hate to say this, but I do not think that tethered Zeppelins or other airships are going to deal with the problem in Northern Ireland. The truth is that, whatever the weather and no matter how radical the technology is or how much the Government spend, it is hard, if not impossible, to see how this problem can be reconciled if we are to avoid a return to a hard border. That is why there is a crisis in the negotiations with the EU, and why the Irish Government are pushing so hard This is what lies behind the argument we are having about the impact assessments that apparently never existed. That is what this debate is about. It is not about process, or about what has been released to the Select Committee. We know that what we have been given has been edited, filleted and sanitised. What this is really about is the process by which the Government took the decision to leave the single market and the customs union. Did they consider the fiscal, economic and employment consequences of the two most important decisions that have been taken since the vote in June 2016? If they did not consider them, why not? And if they did, when are we going to see them? None of us knows how this is going to turn out, but frankly, the Government owe it to the House and to the people of Britain to come clean about how they reached that decision.
ParlaMint-GB_2017-11-28-commons.u415	It is a pleasure to follow the eloquent remarks of the right hon. Member for Leeds Central (Hilary Benn). I am conscious that we are on a tight time limit, so I shall confine my remarks to the question of productivity and its implications for public spending. By the OBR’s own recognition, many of the numbers that it has produced are speculative, but it is clear that we have a long-term productivity challenge, as the Chancellor has rightly recognised in his Budget. This challenge has been disguised in recent years by our membership of the European Union, in that we have had large-scale migration of highly skilled migrants from eastern Europe, and we have principally had to compete only with European markets. Both of those factors are rightly going to change as a result of the vote, and we consequently need to raise our sights and think about the public spending choices made by this country relative to those of other countries, such as South Korea, which are likely to be our competitors in the years to come. When we look at that, we see that we have some difficult questions to answer The amount that this country spends on welfare includes almost £100 billion on in-work welfare and more than £100 billion on retirement welfare. In comparison, South Korea spends but 2% of its national income on welfare, so we have some choices to make, and we must be clear about those choices. Every £1 that we choose to spend on welfare is £1 that we cannot spend on our education system, on our research and development or on our infrastructure. All that money could be used to increase the long-term productive capacity of our economy, and a failure to spend in those areas reduces that capacity and reduces our potential output. We therefore have to look at each of those areas and ask what more we can do.
ParlaMint-GB_2017-11-28-commons.u416	I commend my hon. Friend on his speech. In relation to the more productive ways in which he thinks Government funds could be spent, will he elucidate further on what aspects of the Budget he feels could be upgraded or extended?
ParlaMint-GB_2017-11-28-commons.u417	We should consider whether we are able to release further resources for infrastructure spending. For example, the materials used for digging Crossrail 1 could be released straight into Crossrail 2, and we could look at HS2 and see whether we can release resources into HS3. It is those sort of long-term decisions that countries such as South Korea, China and India are making and that we are constrained from making due to excessive spending on current priorities I therefore urge the Government to continue with their agenda for in-work benefits, whereby we are increasing the personal allowance, so that people on the lowest incomes pay less tax, and increasing their income through the national living wage, so that they are less reliant on the state. We are also reforming welfare through universal credit to ensure that people keep more of what they earn and that they are constantly incentivised to move further away from reliance upon the state and towards self-reliance, and the case for doing so is both economic and moral. I urge the Government to ignore the Opposition Members who constantly harp on about universal credit. If they actually go to their local jobcentre, as I had the privilege of doing just last week, they will hear countless stories of how universal credit actually incentivises people to take on more hours of work and creates a smooth path out of welfare and into work My right hon. and learned Friend the Member for Rushcliffe (Mr Clarke) eloquently made the case for looking at retirement benefits. It cannot be right that people who are perfectly capable of looking after themselves have access to universal benefits that they simply do not need. Equally, we need to look at the balance between the younger generation and the older generation. The previous Government rightly committed to a deal whereby we increased retirement benefits, so that people had dignity and security in retirement, but we need to consider the rate of increase and ask ourselves whether it is fair that the older generation’s benefits are increasing at a faster rate than those of people who are in work. Surely equality demands that such benefits should be increased only with increases in working-age benefits. If we do not embrace and make such choices, we will surely have them forced upon us as we fall poorer and experience lower living standards than those of our competitor nations.
