ParlaMint-GB_2021-01-19-commons.u1	What steps he is taking to ensure his Department prioritises poverty-focused aid.
ParlaMint-GB_2021-01-19-commons.u269	You are still smiling, Angus. We now go down to a four-minute limit.
ParlaMint-GB_2021-01-19-commons.u270	Let me speak to the Lords amendment tabled in the name of Lord Alton. I join colleagues in utterly condemning the human rights abuses in Xinjiang with the Uyghurs. They are awful; it shames the perpetrators and to put it bluntly they should stop, immediately. However, like many colleagues, I am concerned about subcontracting Government policy to a bunch of unelected judges and lawyers. We cannot, as a Government, put ourselves in the position, however noble the intent, of allowing an agreement by a democratically elected Government with another Government to be struck down or put in jeopardy by a court, no matter how morally correct the case may be and how much I would personally agree with it. I say this because trade is just too important to our people—to the businesses and communities of South Ribble, Lancashire and beyond We heard recently in this House about global Britain—quite right. This Government are creating opportunities. We had 60-odd trade deals signed last year and there are more under negotiation. These are brilliant times. Instead of involving the courts, we should put all our focus on encouraging and supporting small businesses and breaking down barriers to trade. We should do everything we can as a Government and strain every sinew to encourage small businesses to trade globally, exporting their goods and services Practically, I am calling on the Government to use and build on their brilliant work in this area to further the take-up of this challenge in two main areas. The first is practical help. If somebody is thinking about exporting and they put “How to export” into Google, they get a list of nonsense. We need simple, clear “how to” guidelines to get people started and to build their confidence so that they believe that this is something for them. We need to invest in start-up units at affordable rates to make sure that somebody with a great idea or somebody wanting to expand is not getting caught with huge capital costs up front. Let us make exporting the everyday thing it so easily is, as I know from my own experience Secondly, we need to address the emotions of pride and ambition, and community pride. If a businessperson starts exporting and they create a job for somebody in their community because of it, the whole pub should buy them a drink, because what they are doing is on a par with the amazing community spirit that we have seen during these covid times of volunteers. They are doing a community service and they should be celebrated. Let us have a national award scheme for businesses that start exporting, and let us give them a plaque to put up on their business’s wall, “Here resides a great British exporter” I will oppose the Lords amendments today because I do not think this is the right place, but I welcome this whole Trade Bill. Ultimately, I believe that global Britain wins arguments against repressive regimes by proudly sharing how our way is better for all of our peoples.
ParlaMint-GB_2021-01-19-commons.u271	We were told that we were going to take back control and we were going to ensure our sovereignty, and that to do that, we must be allowed a say on the rules and standards by which we are governed—to be rule makers, not rule takers. These are phrases we have heard many times over the last few years, and these amendments coming back from the Lords today will do precisely that—give our sovereign Parliament a say over any trade agreements made by the Executive When we were members of the European Union, our MEPs had, on any trade deal negotiated, a guaranteed debate and vote in the European Parliament, and if a trade deal was not deemed acceptable, it could be rejected. Why would we now accept a lesser say in this Parliament? Our constituents expect representation. It is not just in Europe, but in Japan and the United States that they have higher standards I welcome President Biden’s inauguration tomorrow, and he will be working with a new Senate and a new House. The new Congress will enjoy scrutiny over its trade deals, but without these amendments, we will not. Before negotiations, Congress can see and vote on general objectives, which are then published for public consultation. Once negotiations are complete, the agreement must then be ratified by Congress. Why would we hold ourselves to a lesser standard than that I know these principles have wide cross-Bench and public support, including from the National Farmers Union, the Royal Society for the Prevention of Cruelty to Animals, Greener UK, the CBI, Which? and so on—we should pass Lords amendment 1. However, that is not the only amendment in front of us today. Half a million people have signed a petition calling on the Government to protect our food standards in law. Lords amendment 6 provides that “a Minister of the Crown ensures as far as possible that a future trade agreement is consistent with United Kingdom levels of statutory protection” for food standards, as well as animal welfare, employment and welfare standards, and environmental protections If this year has taught us anything, it is that we need to ensure that we do not have a race to the bottom. We must keep our qualities and standards, and we cannot leave the quality of our food on the table in any trade negotiation. In addition, we need a robust TAC that defends public health, protects the environment and ensures the future of our farming communities. As president of COP26, one of the weapons in our armoury for a binding agreement is trade deals, and we would not want to have trade pulling one way and diplomacy another Finally, I come to Lords amendments 2 and 3, and the many excellent speeches from around this Chamber already on human rights and democracy. We have a responsibility to people across the globe who are suffering tyranny and genocide. While others have mentioned the impact that these amendments will have in relation to the Uyghurs, these amendments would also be powerful in challenging transactions in Hong Kong as well as the human rights abuses by several other countries, such as Egypt My right hon. Friend the Member for Islington South and Finsbury (Emily Thornberry) made an excellent speech about Cameroon, and the suppression of the Anglophone people there. We have signed a trade agreement with Cameroon that we have not yet seen, which is quite unbelievable. We have future trade negotiations with Indonesia. The Department for International Trade met the Indonesians in November. Future trade discussions must take into account the horrific human rights abuses in West Papua, which many universities have classified as a genocide. We need only look at the current beating and intimidation of voters and Opposition politicians in Uganda to know that situations emerging around the world are important to consider in future trade negotiations.
ParlaMint-GB_2021-01-19-commons.u272	I am an internationalist. I came into politics to encourage Britain to play a more than influential role on the international stage. We certainly have a track record of building alliances and stepping forward when other nations hesitate as a force for good, but the world is changing fast: power bases are shifting and threats are diversifying and, indeed, intensifying. What the debate illustrates is a temporary absence in clarity about what we now stand for, what we believe in and what we are willing to defend. Those are the basic benchmarks that frame our international standing, and they can all be summed up in the absence of an integrated review. We await the Government’s defence, security and foreign policy review—to give it its full name—which is the critical statement of intent that defines our ambitions on the international stage, assesses the current and emerging threats and gives clarity on how our soft and hard power capabilities should be upgraded. Without that, the term global Britain lacks direction, and there is no strategic or doctrinal clarity over how to approach the geopolitical challenges posed not least by China International opinion on China is clearly changing, following its conduct in suppressing the pandemic’s outbreak, challenging security laws in Hong Kong and continued militarisation of the South China sea as well as, more widely, snaring ever more countries in debt through its One Belt, One Road programme and telecoms programmes. The Foreign Secretary broke new ground last week by speaking so robustly about China’s breaches in human rights, with over a million Uyghurs in political re-education camps, extensive use of surveillance targeting minorities and systematic restrictions on the freedom of religion. That came on the back of the Government’s changes to telecoms policy to remove high-risk vendors from our critical national infrastructure We must not lose momentum. For too long, the west bit its tongue as China ignored international trade norms and exercised human rights abuses while we still hoped that it would mature into a responsible international citizen. That clearly is not going to happen. China is on a geopolitical collision course with the west, taking full advantage of our wobbly international rules-based order while we remain in denial. Today, President Trump is in his last day of office, and President-elect Biden has made it clear that his foreign policy objectives are to recommit to building western alliances and to attempt to address the geopolitical challenges posed by China. The Lords amendment is about offering strategic clarity directed not just at China and standing up to its human rights abuses, but at the United States, our closest ally. This is an opportunity for Britain to craft a post-Brexit international role as we assume the G7 presidency The world watched and hesitated when genocide took place in Rwanda and, indeed, in Syria. Let us not hesitate again. Let us have the moral courage to stand tall on what we believe in and what we are willing to defend. It saddens me that I am having to rebel today to encourage my Government to take the moral high ground. It should be our default position.
ParlaMint-GB_2021-01-19-commons.u273	I rise to support Lords amendment 8, in relation to Northern Ireland, and Lords amendment 3, in relation to acts of genocide. First of all, I will deal with Lords amendment 8. I believe that it is a necessity that we have in the Bill a commitment that Northern Ireland will not be excluded from the benefits of any trade agreements that this country reaches with the rest of the world. People in Northern Ireland are still reeling from that impact that the withdrawal agreement, and particularly the Northern Ireland protocol, have had on their economy and indeed on their preferences and their ability to purchase goods from other parts of the United Kingdom Despite some of the efforts made to undo and mitigate the impact of the protocol, it is clear that the withdrawal agreement that we reached with the EU will have a detrimental impact on the Northern Ireland economy. Lords amendment 8 seeks to ensure that, when we enter into future trade agreements with other parts of the world, the impact and benefit of those agreements are not reduced as a result of the protocol. A commitment that no agreement can be ratified until it is ensured that Northern Ireland will have unfettered access to the GB market and services coming from GB is very important Lords amendment 3 concerns genocide. I have listened to the arguments—that we are handing control over to the courts; that we are diminishing the role of Parliament; that such a situation would be unworkable—but I believe that, first of all, this country has an important duty to send out a message when entering into trade agreements with other parts of the world—that if the Governments of those countries are guilty of abusing their population or seeking to wipe out certain sections of their population, we will not do business with them. We have talked about taking a lead on the global stage now that we have left the EU. Well, here is an opportunity to make clear in legislation where we stand on this issue and that if Governments wish to do business with the fifth biggest economy in the world, we expect certain standards of them I do not accept that we would be giving too much power to judges. First of all, this is a very specific power and not the thin end of the wedge, as has been suggested, and if we wished to give more power to the judges, we would have to amend the legislation. We are simply saying, “Look, the only body capable of making a judgment about whether genocide has occurred is the courts.” In fact, it would be wrong for Parliament to have that power. It would be abused, and our arguments against genocide could be diminished, because people could say we made them only for political reasons, or because the majority in this Parliament do not like those people or have some other axe to grind. I therefore think it is important that that power is in the Bill Assurance needs to be given to people in Northern Ireland that we still remain part of the United Kingdom and will have the benefits of United Kingdom trade deals, and assurance still needs to be given to people across the world who are being persecuted. The best way of doing that is to include both amendments in the Bill.
ParlaMint-GB_2021-01-19-commons.u274	It is a pleasure to speak on this Bill. I rise to speak against Lords amendments 1 and 3. I start by saying how sorry I am that I will not be in the same Lobby as my right hon. Friend the Member for Chingford and Woodford Green (Sir Iain Duncan Smith) and my hon. Friend the Member for Wealden (Ms Ghani). I have gone into battle with them in the past and hope to do so again At the start of the Minister’s statement, he made a point about the opportunities that Parliament would have to ensure that human rights were included in trade deals, and that mechanisms could be provided to ensure that every trade deal had the proper level of parliamentary scrutiny. I would welcome his going further—and intervening, if he must—and telling us how Parliament will be able effectively to ensure that every Member can scrutinise, debate and discuss these issues.
ParlaMint-GB_2021-01-19-commons.u275	I thank my hon. Friend for that specific request. I think it is fair to say that this House enjoys significant expertise and experience on questions of human rights, which the Government would seek to take advantage of. I hear various Members and Chairs of Select Committees and others with great experience in this space, and the Government are absolutely committed to making sure that knowledge is utilised and to exploring how we can make sure that the views of colleagues are heard and considered on these issues in relation to our future trade agreements.
ParlaMint-GB_2021-01-19-commons.u276	I thank the Minister for his comment, which I would echo in terms of the scrutiny that the International Trade Committee, through the reports we publish, can give each and every one of the trade deals that comes before us What is the intent here? We are trying to address the injustices that people face around the world, from the Uyghurs to the Yazidis to the Rohingyas.
ParlaMint-GB_2021-01-19-commons.u277	Does the hon. Gentleman remember giving any scrutiny to the rollover deal with Egypt, given that Egypt is one of the worst human rights abusers?
ParlaMint-GB_2021-01-19-commons.u278	The right hon. Lady is very quick to criticise the fact that many of the deals that we now have are continuity arrangements from the EU. She complained last week that the deals took too long to do and did not include enough detail. The purpose of these deals is not to be the end point but the start point for the future relationship that we wish to have with those countries I go back to the point about the intent of amendment (a) in lieu of Lords amendment 3. The intent for every single one of us should be to eradicate genocide and to do everything we can to prevent human rights injustices. Instead, we have an amendment that will do grave injustice not only to the trade deals, but will still essentially see countries trade with one another. My right hon. Friend the Member for Chingford and Woodford Green suggested that this non-advisory trade amendment was advisory. He makes the point that we will be able to take the advice of the High Court but potentially ignore it. That is not what is written in the wording.
ParlaMint-GB_2021-01-19-commons.u279	My hon. Friend is completely wrong. It is absolutely clear that that remains the right of the Government, and I read out what the Government spokesman said in the Lords. If they wish, they can change it—I do not say whether they want to or not, but it is in there; it is our right as Parliament to do that.
ParlaMint-GB_2021-01-19-commons.u280	The letter of the law and what amendment (a) in lieu say is that international bilateral trade agreements are revoked if the High Court of England and Wales makes a preliminary determination.
ParlaMint-GB_2021-01-19-commons.u281	Will my hon. Friend give way?
ParlaMint-GB_2021-01-19-commons.u282	I will carry on, but my right hon. Friend can come back to me later on. We need to get to the point where we can help those countries where genocide is being committed. That is not done by a trade deal. What do the people who are suffering expect? Is it the High Court deciding whether or not to sign a trade deal? They expect the international community to be engaged and to take action, and that is what we must seek to do. This is global Britain, and global Britain must reach out to its allies to create new institutions and ensure that we take action where appropriate. If we are unhappy with the current international landscape, let us seek to create new international bodies with like-minded colleagues, whether it be Five Eyes or North America. Those are the things that we must do, and we must be ambitious in doing so. I believe to my heart that the Government have the right intent of doing that I will speak briefly on Lords amendment 1 on scrutiny. We have heard much from the Opposition about how the Bill does not give any scrutiny to the trade agreements, but that is simply not true. The whole purpose of what is going on in the International Trade Committee, of CRaG and of having debates in this Chamber is to be able to debate such agreements. Frankly, to stand up and say that Parliament is given no time is not an acceptable line of argument. While the Committee had less time to scrutinise the Japanese-UK trade deal, that is now being amended. Ministers have proven themselves particularly willing to listen and have accepted a checklist of parameters before putting forward a trade agreement in the future.
ParlaMint-GB_2021-01-19-commons.u283	Does my hon. Friend accept that under amendment 5—the Lansley amendment—if a Committee of this House says there should be a debate on a trade deal under CRaG, which he supports, that should happen?
ParlaMint-GB_2021-01-19-commons.u284	I revert to what the Minister said earlier about the House being able to have more scrutiny through the International Trade Committee’s individual report on a trade deal, and then a future trade debate can happen around the deal, whether it is between the UK and America or whoever. There should be multiple debates on these trade deals, so that we can all feel that the scrutiny has taken place. That is important, and I do not believe it to be completely against what others are arguing. [Interruption.] The right hon. Member for Islington South and Finsbury (Emily Thornberry) is chuntering from a sedentary position. In her entire speech, she said absolutely nothing about the EU-China deal. She seems completely content to ridicule every continuity agreement that we have come to. The purpose of what we are doing here today, what we have done previously and what we will do in the future is to enable us to scrutinise those trade deals, so that the Committee may report back, and to ensure that Back Benchers from every part of this country are able to decide what our future is when it comes to those deals As time is ticking away, I will conclude. I appreciate hon. Members’ intention in supporting Lords amendment 3, but we can do better than that and we can go farther. No one in this House supports genocide. No one in this House supports the violation of human rights. So let us look to different ways in which we can effectively engage the international community and show leadership.
ParlaMint-GB_2021-01-19-commons.u285	I am grateful to my right hon. Friend the Member for Islington South and Finsbury (Emily Thornberry) for speaking so exceptionally well for us on the amendments Tonight I will support the amendments protecting our NHS, child safety, parliamentary scrutiny, our environment and animal welfare, but I shall use my short time this afternoon to speak on the amendments on the most serious human rights abuses and genocide, which is clearly the most heinous crime of all. Those Lords amendments would help us to ensure that our trade policy was in line with our words—and if not now, when? Today, I have time to give voice to just one example, and I want to make it about the Uyghur people in Xinjiang in China. In 2006, tired of racism, Gulbahar fled with her family to France. Ten years later, she was told that she had to return to sign important documents. She returned, and was immediately detained. Her daughter had been at a Uyghur rights demonstration in France, and Gulbahar was therefore branded a terrorist. She was imprisoned in a re-education camp and endured more than two years of humiliating, terrifying, torturous abuse and violence from the Chinese state; and she was forcibly sterilised. She came to understand that the strategy was “not to kill us in cold blood, but to make us slowly disappear. So slowly that no one would notice.” Finally, she was found innocent on the trumped-up charges and released Such practices are part of a systematic abuse of human rights aimed at millions of Uyghur Muslims. Perhaps, legally, it still is not classified as genocide, but the Uyghur people deserve a fair hearing. We must hear them. I believe our courts must be empowered. If the very worst abuses are going on, it is clear that our trade policy must change. We have heard from holocaust survivors about the importance of that change, and I believe it is about living up to our words when we say “never again”. Every year, we make that commitment for Holocaust Memorial Day. I hope that on that day, next week, the UK can say that it is acting decisively to give those words substance. Today we should do the right thing, because if we do not, tomorrow we will certainly be judged. Let us not be found wanting in our duty to act.
ParlaMint-GB_2021-01-19-commons.u286	It is a great privilege to be called in this debate. I spoke on Second Reading, but today I am speaking in opposition to the Lords amendments. Before I say anything else, I should make it clear that I am a huge supporter and a friend of Lord Alton, a person of tremendous integrity, and I respect what those who are supporting the amendments are seeking to do, but are we really saying that on genocide—the most heinous crime imaginable—the Government’s trade policy should be reliance on the ability to go to a court? Surely to goodness, if we in this House believe that genocide is occurring, we should be acting a lot more swiftly and a lot more decisively than simply seeking the opinion of judges. It is this Parliament and this House that should be acting, and forcing a Government of any persuasion to take action against any country in the world engaged in genocide I urge colleagues to think carefully about what they are seeking to do. What would happen if Parliament decided that genocide was occurring and action had to be taken, but the courts felt that the bar for what determined genocide was not met? What action would be taken then? Would that tie the hands of Government? Would it mean that action, whether on trade or otherwise, was constrained? That would be one of the concerns with the amendment. I do not believe that supporting this measure would, to use the words of my right hon. Friend the Member for Bournemouth East (Mr Ellwood), give us moral courage. The opposite is true. It would allow some people to say, “It is now up to the courts to decide. It is not a matter for Parliament.” If we believe in moral courage, it is for Parliament to show it, take action, challenge the Government, and hold them to account when we believe that genocide or any other significant human rights abuses are occurring, whether in relation to trade or anything else I am also very much reassured by the contribution from the Minister for Trade Policy. As a member of the Select Committee on International Trade, I can say that we will use all the powers available to us—and will seek more powers as time rolls on—to make sure there is scrutiny, and that Parliament carries out its role and looks at continuity or rollover agreements. This is not a matter of accepting continuity agreements as they stand. As those agreements move from being continuity rollover agreements, as they are now in most cases, to something country-specific or trade bloc-specific, this House absolutely needs more of a voice in making sure that nothing in there is detrimental to the British people Above all, it is important that this Bill goes through; after all, is it about ensuring that trade takes place and the prosperity of our constituents is protected. More importantly, it is about vulnerable countries around the world—ones that are desperate to trade with the UK in order to enrich their populations and take themselves out of poverty. It is really important that this Bill goes through to allow that to happen. It has my support.
ParlaMint-GB_2021-01-19-commons.u287	The Liberal Democrats will today vote to put human rights at the centre of our country’s trade policy. Our party has a long history of leading the way in upholding human rights, from our opposition to South African apartheid to the late Paddy Ashdown’s role in Bosnia and Herzegovina. We are proud to stand shoulder to shoulder with colleagues in all parts of this House on that frontline again today The world is watching us, and we have a choice: to make a bold, confident statement about our fundamental commitment to human rights or accept this Government’s buccaneering approach to trade, in which effective scrutiny, rights and freedoms are trumped by self-interest. We of course back Lords amendment 2, which requires the Government to conduct due diligence and report to the House on the human rights implications of trade deals, but I wish to focus in particular on Lords amendment 3, the so-called genocide amendment Is there anything that blackens humanity’s soul more than genocide? Edmund Burke famously said: “All that is necessary for the triumph of evil is for good men to do nothing.” For too long, in cases of suspected genocide, despite many good men and women raising the alarm, nothing has been exactly what happens, and it is time to change that. I believe that what is happening to the Uyghurs in Xinjiang is genocide. Of course, it is not the only instance of genocide being committed in the world right now, but it is not for me or for this Government to make the legal determination; that is quite rightly a matter for the courts, but the Chinese Government, by virtue of their position, regularly block routes to such determinations, and so we tie ourselves up in knots while the perpetrators of these gross atrocities go largely unchallenged, leaving victims and survivors without justice The UK needs a practical mechanism for fulfilling its international legal obligations on genocide, and Lords amendment 3 provides that. It is based on the world as it is, not the world as we hope it to be. Allowing UK judges to make an advisory, preliminary determination is a necessary step if the UK is to lead by example and meet its obligations. That determination can then be taken up in international courts, but we will have made our position clear The Government say that they would revoke an agreement well before we reached that stage. If so, why not just accept the amendment? It does not prohibit them from doing that. A number of colleagues have talked about Parliament taking action, challenging Government and standing up on this issue. Well, in 2016, Parliament voted unanimously to recognise the Yazidi genocide, and the Government ignored it. Can the Minister tell us what exactly has changed since then This amendment is backed by the International Bar Association, the Board of Deputies of British Jews, the Muslim Council of Britain and many others, and it has support on both sides of the House. Never again should we wring our hands in horror after the fact, saying we should and could have done more. “Never again”—words we use every Holocaust Remembrance Day, and words that we today have a chance to live up to.
ParlaMint-GB_2021-01-19-commons.u288	I am grateful for the opportunity to speak in the debate on this important piece of legislation. I welcome this Trade Bill, and believe it is vital for our country as we move forward as an independent trading nation and navigate the turbulent economic situation that we face as a result of the global coronavirus pandemic. Existing trade agreements and the future ones we can sign will be crucial in our recovery from the coronavirus shock to the economy, and will give us the platform to become a major independent global trader. It will say to the world, “The UK is open for business; come trade with us.” As I have said in the House on many occasions, it is so important that we uphold our high animal health and welfare and farming standards in existing and future trade deals. As an MP and veterinary surgeon, I was gutted that we were not able to secure that in the Agriculture Act 2020. We missed a real opportunity for the UK to make the powerful statement that we can be a beacon in these areas—to say, “If you wish to trade with us, you must come up to our high standards in animal health and welfare and farming.” I will continue to stand up for the farmers in Penrith and The Border and across Cumbria and the wider UK. We have the best farmers, and produce great food using high standards. We should be very proud of that I welcome the fact that the Government listened to colleagues on both sides of the House, to Minette Batters and the NFU, and to the British public, and created the Trade and Agriculture Commission and put it on a statutory footing. However, we can go further with parliamentary scrutiny of trade deals, including with the option for the House and relevant Select Committees to amend and block deals, not just delay them. Accordingly, I will be supporting amendments to increase parliamentary scrutiny; to uphold our high animal welfare, food production and environmental standards in trade deals; and to further bolster the Trade and Agriculture Commission I am pleased that the Government have repeatedly assured the House that products such as chlorinated chicken and hormone-treated beef will remain banned in the UK. However, in drafting trade deals, a practical solution would be to reaffirm that ban, and specify other banned products, such as ractopamine-fed pork, excessive use of antimicrobials, use of bovine somatotropin and use of growth promoters. If bans on those products were written into animal welfare chapters in trade deals, that would make it clear that these products are off the table, allowing other acceptable products to be traded. That would drive up animal welfare standards globally. From speaking to prospective trading partners, I know that this approach could work and be acceptable; they would merely exclude these products from shipments to the UK. I hope the Government will continue to listen and move on these issues, which are important to my constituents and folk across the United Kingdom I truly believe that we have the potential to be an outward-looking, ethical, progressive country with a trade policy that matches that, and I believe that this Conservative Government have the appetite to do that. Maintaining our high standards in animal health and welfare, farming and food production is pivotal. As this Trade Bill completes its journey, I wish it well.
ParlaMint-GB_2021-01-19-commons.u289	I understand that we are pressed for time as many Members wish to speak on this important matter, so I will endeavour to be brief. In the coming months and years, the Government will seek a range of free trade agreements which will profoundly change our country and the lives of our constituents. That is obviously a matter of great interest to my constituents, and I have been inundated in recent weeks with messages urging me to speak in this debate. The view of the people of Birkenhead is clear: they do not want these trade deals to be agreed behind closed doors and signed in secret. They understand that the only way to safeguard our health service, maintain our world-leading food standards and protect our environment is to ensure robust parliamentary scrutiny of trade deals by elected representatives. This is one of the opportunities that this House has to discuss the 10 continuity agreements that the Government have signed since the new year The experience of the past few weeks has shown that we simply cannot depend on the Constitutional Reform and Governance Act 2010 to guarantee parliamentary scrutiny of trade deals. I am therefore glad that this Bill has returned from the other place amended by Lords Purvis and Stevenson. Their amendments are badly needed and would go a long way to addressing the democratic deficit at the heart of the UK’s trade policy, so I hope that when this debate concludes, Members from across the House will join me in voting for the amendment to guarantee Parliament’s right to debate and approve trade deals.
ParlaMint-GB_2021-01-19-commons.u290	I rise to speak in support of Lords amendment 3—the genocide amendment. It is the only vote on genocide on the table today. I regret that the compromise amendment that we tabled has been rejected Let us remember that we are talking about genocide: the systematic destruction of an entire people. It is a threshold that is so hard to reach because it is the most heinous of all crimes—the forced sterilisation of women, forced labour and re-education camps for hundreds of thousands of children. The Board of Deputies of British Jews stated that it is reminded of the holocaust when it thinks of the plight of the Uyghurs; it cannot get any worse than that Members across the House have a very simple choice to make today. We can, by voting in favour of Lord Alton’s amendment 3, empower the UK to fulfil its UN obligations under the genocide convention and ensure that we do not offer advantageous trade deals to genocidal states. It really is that simple. The UN continues to fail to recognise that genocides are happening until it is too late. The UN and the Security Council are in a state of frozen paralysis, held hostage by Russia and China and incapable of holding genocidal states to account Against the amendment, the Minister and some of my hon. Friends argue that we should not outsource trade policy to the UK courts, and that the proper place to make decisions about genocide is in international courts. In practice, that means that we have to accept that foreign states will always hold a veto over our determination of genocide. I do not accept that that is taking back control. I do not accept that our courts are not skilled enough to determine breaches of international law. I do not accept that the Bill as drafted gives Parliament sufficient say over whether states that we wish to strike trade deals with are committing genocide I understand the concerns about Executive power, and the role of Parliament versus the courts, which is why I tabled an amendment with colleagues in lieu of Lords amendment 3 to address those concerns. Courts will judge, Parliament will opine and Ministers will decide. Yet that amendment was rejected. If the Government believe that this is still an unacceptable derogation of power, what is the alternative and what are the Government’s objections? If we do not pass the amendment today, we will be outsourcing all future decisions on genocide to Russia and China. We now have an independent trade policy after leaving the EU, and Brexit was a vote of hope and optimism and for Britain to play its part in leading the world, so why would we want to use our new-found freedom to trade with states that commit and profit from genocide? Britain is surely better than that Tomorrow, Joe Biden becomes the President of the United States, our closest allies. Today is Britain’s moment to blaze a trail and showcase global leadership on trade and international law. We can all talk about our noblest values, but we cannot do so while allowing the vilest of crimes to continue. We have an amendment. We can make a stand against genocide. We can uphold our United Nations obligations and ensure that we do not trade with genocidal states, or we can do nothing, and to do nothing is a counsel of despair.
ParlaMint-GB_2021-01-19-commons.u291	It is a pleasure to speak briefly in this debate in support of the amendments made in the other place. It is also a pleasure to follow the hon. Member for Wealden (Ms Ghani) who made a very passionate and convincing case for supporting Lords amendment 3, to which I will refer later Lords amendment 1 would introduce vital democratic safeguards into international trade policy by ensuring that the Executive cannot operate unilaterally. It would strengthen the hand of Parliament without undermining the ability of the UK Government to conduct negotiations as they see fit. In reality, the negotiations with the European Union have clearly shown that trade agreements can have far-reaching consequences for people’s everyday lives, from food standards to workers’ rights, from environmental legislation to the impact on our public services. It is to be welcomed then that Lords amendment 1 would require the UK Government to outline their negotiating objectives to Parliament prior to the commencement of any trade negotiations and to secure the agreement of both Houses before a deal is ratified, giving Members of Parliament a meaningful role in setting trade policy There was much debate during earlier proceedings of the Bill about how domestic democratic empowerment would strengthen the hand of the UK Government when it comes to trade negotiations. That was certainly my experience during a brief visit to the United States many years ago to scrutinise the proposed Transatlantic Trade and Investment Partnership between the EU and the US, where we were reminded that there were certain matters, such as access to food markets, which were non-negotiable for Congress Although I support Lords amendment 1, I would have liked to see it go even further in respect of strengthening the role of the Welsh, Scottish and Northern Irish Governments and respective Parliaments. That would not be without precedence. In the EU, every single member state has a veto over its international trade deals as well as sub-national Governments such as Wallonia in Belgium. Although I accept that the UK Government have a direct responsibility for trade policy, I believe that a world of constitutional trouble awaits us unless there are statutory safeguards for the respective countries of the British state. I therefore urge the British Government not only to retain Lords amendment 1, but to go a step further by giving the devolved Parliaments a veto on trade agreements I wish briefly to pledge my support for Lords amendment 3—the so-called genocide amendment—which several right hon. and hon. Members have supported this afternoon. Effectively, it couples international trade policy with the promotion of human rights Lords amendment 4 would place protections for the NHS on a legislative basis. I also support Lords amendment 6, which sets out to protect a range of regulatory standards such as for food, animal welfare and workers’ rights. Given the increasing noises coming from the Government Benches about a bonfire of standards, acceptance of this amendment would go a long way to allaying fears that our trade policy would be used as a regressive Trojan horse I am disappointed to see that the Government are seeking to remove provisions from Lords amendment 9 that strengthen the Trade and Agriculture Commission. Again, I ask Ministers to include representatives from the devolved Governments on the commission and introduce scrutiny protocols for the commission with the Welsh Senedd, the Scottish Parliament and the Northern Ireland Assembly.
ParlaMint-GB_2021-01-19-commons.u292	A lot in this Trade Bill is to be welcomed, including its reinforced commitments to an agricultural commission, which has been welcomed by the farming sector and the NFU, as well as more scrutiny by the International Trade Committee. In my 10th year as trade envoy for three Prime Ministers, I believe that the Bill is further evidence of our commitment to take forward UK trade and investment across the world as a key part of global Britain, and that is not just an idle slogan, for international trade and investment secures jobs across our country, funds our welfare and social justice, and requires engagement globally Today we face the so-called genocide amendment, which would propose to replicate the role of the UN and the International Criminal Court because of issues with how that process is currently functioning. The amendment would—as the right hon. Member for Islington South and Finsbury (Emily Thornberry) clearly illustrated when she spoke about both Cameroon and Egypt—be used by many Members who wish to expand the creation of such a court to have a much wider role on human rights issues and their implications for our trade arrangements, including those already signed, as well as those proposed Earlier we heard another Opposition Member, the hon. Member for Leeds North West (Alex Sobel), refer to human rights abuses in Indonesia—a country that has moved further and faster in the development of an open democratic society over the last decade than almost anywhere else I can think of—so let us be in no doubt as to where some would take this amendment. We would find, in an imperfect world, that such a court would be used to limit and constrain our free trade severely, which neither the Labour party nor the SNP was ever in favour of anyway. These are issues that should be decided by our Government and, above all, this Parliament. Let me briefly address the Uyghur question, for Lords amendment 3 in the first place is aimed squarely at the People’s Republic of China. Many years ago, I almost died in Xinjiang, crossing its great Taklamakan desert. What has happened there for many decades, but with greatly increased severity since 2009, cannot conceivably be supported by anyone in the United Kingdom, but I do not believe that this amendment, if implemented, would achieve anything at all for the Uyghurs or Xinjiang. We should not be asking judges to make political judgments. It is for this place to decide what our relationship with China should be. Over the last decade, we have veered from golden era to worst era in a short period of time. We have to find that balance, and the Trade Bill is not the place for it. It should be part of the integrated review on foreign policy and defence that we await shortly. Meanwhile, I support the Government strongly in opposing an amendment that would subcontract our scrutiny of human rights and of our trade relationships to a new court.
ParlaMint-GB_2021-01-19-commons.u293	I am pleased to see this Bill return to the House in a much better state than when it left. Taken together, the Lords amendments will ensure that our trade deal lives up to the standards that the public rightly expect, both at home and in regard to our international obligations. I will focus my comments on Lords amendment 3 to 5, because they address issues that Vauxhall residents are concerned about I heard the Minister’s opening statement, seeking to reassure us that the NHS is safe, but I am not reassured. My late mother, as a sufferer of sickle cell disease, received excellent care from King’s College Hospital, and in later life as a renal dialysis patient. My two children were born locally, in St Thomas’ Hospital—the same hospital that treated our Prime Minister during the height of the coronavirus pandemic. My constituents do not support the creeping marketisation of the NHS and neither do I, so I urge Members to vote to ensure the amendment is protected on our statute book Lords amendment 3 focuses on the extreme crime of genocide and obliges the Government to revoke any future trade agreement with countries found responsible for it by the UK High Court. Our trade policy sends a message to the rest of the world about who we are and what we stand for. Surely no one in this House wants us to continue to trade with countries where genocide occurs, so will the Government reconsider their opposition to Lords amendment 3 and support it today?
