ParlaMint-GB_2021-02-09-commons.u1	What steps his Department is taking to support UK research and development.
ParlaMint-GB_2021-02-09-commons.u296	I welcomed in March 2016 the Government’s announcement that those reaching state pension age between 6 April 2016 and 6 December 2018 would receive a fully indexed public service pension for life. I further welcomed the Government extending those arrangements in January 2018 to those reaching state pension age by April 2021. The Government are currently consulting on a further extension of the full indexation policy, and I look forward to seeing the outcome of that, especially in the light of the McCloud judgment The right hon. Member for North Thanet (Sir Roger Gale) and the hon. Member for Glasgow East (David Linden) referred to frozen pensions. As the Minister will be aware, the 2020 report by the all-party parliamentary group on frozen British pensions revealed that the Australian and Canadian Governments have been calling on the UK to end this policy for many years. Since then, the Canadian Government have formally requested a reciprocal social security agreement covering the uprating of pensions with the UK. Some would refer to this as an immoral frozen pension policy. For the 150,000 UK pensioners affected who live in Canada, the impacts of this policy can be devastating. Since Canada pays Canadian pensioners residing in the UK their full pension, the agreement would simply provide UK pensioners in Canada with the same rights as their counterparts in the UK Other Members have referred to this, and I feel that it is important to put it on the record. One such pensioner is 96-year-old world war two veteran Anne Puckridge, who served in all three armed forces but receives a meagre £72.50 a week of the £134.25 a week state pension she is owed, all because she moved to Canada at 76 to be closer to her family. Peggy Buchanan, who served the UK at Bletchley Park, where she helped to break the German Enigma codes, is also denied her full UK pension because she now lives in Canada. As the right hon. Member for North Thanet said, had Peggy’s family settled 2 miles further south in the USA, her pension would not be frozen The unjust frozen pension policy that denies half a million UK pensioners who paid into the system their full UK state pension is a national shame that has been allowed to continue by successive Governments for decades. It is not right that UK pensioners are punished with a frozen pension for moving to Canada, often to be close to family or due to health reasons. I am always mindful of the close ties between these countries. As someone who, at the young age of 18, emigrated to Canada and then returned again, I know of the close cultural, historical and social ties that the United Kingdom of Great Britain and Northern Ireland has with Canada The recent inquiry by the all-party parliamentary group on frozen British pensions found that one in two frozen pensioners receive a UK pension of £65 per week or less. Many veterans and former public servants who have given so much to this country are now struggling on a frozen pension. The Government of Canada have now presented an opportunity to rectify a moral injustice that sees thousands of UK pensioners in Canada denied the full UK state pension that they paid into. I believe that every UK state pensioner should receive a full uprated UK state pension, regardless of where they live I wish to clarify that this legislation will enable us to continue to do right by those who have worked hard all their lives in the expectation that they will be treated fairly and will not be a stopgap to simply put off doing the right thing for another four years. It has to be remembered that every year we put off doing the right thing is a year in which many die without receiving what they have been entitled to. Surely we must bring forward legislation to address this in a more comprehensive way, and I look forward to that happening soon, now that the consultation has ended. I look forward to the Minister’s response, as I believe that many issues still need to be sorted.
ParlaMint-GB_2021-02-09-commons.u297	I would like to thank all colleagues for their contributions. This is a debate on the Guaranteed Minimum Pensions Increase Order 2021, and there was limited discussion of that, but there was widespread discussion of many other aspects of pensions legislation, some of which related to the previous debate The shadow spokesman, the hon. Member for Reading East (Matt Rodda), raised many particular policies that he wishes to campaign on, and I welcome those efforts. He will discover that many of the policies that he raised were issues that were debated, discussed and in fact legislated on by the Labour Government of 1997 to 2010. Indeed, the Chair of the Work and Pensions Committee, the right hon. Member for East Ham (Stephen Timms), was the Pensions Minister in, I believe, 2008 and held my job in a previous Labour Government The shadow Minister raised a number of issues in respect of DB support, climate change and pension scams. Clauses 123, 124 and 125 of the Pension Schemes Bill take forward those three issues. We have set out, both in the White Paper and in the legislation, the extensive work that we are doing to support DB on an ongoing basis, and I have worked extensively over the last three to four months with many of the proponents of open DB schemes and many of the organisations that wish to continue the support. We have also worked very hard with the Pensions Regulator, and that work continues on an ongoing basis The shadow Minister is right to raise climate change as a vital issue. We believe that we have made pensions safer, better and greener. The clause 124 regulations will be forthcoming. Indeed, we have already brought forward the response to the consultation in respect of the taskforce on climate-related financial disclosures, which makes us the world’s first country to legislate for TCFD in respect of climate change and pensions Finally, on pension scams, clearly the shadow Minister is aware of the extensive discussion and debate that we had before the Work and Pensions Committee last week, and the extensive work that we have done to address the pension transfer problem, which is the key area that the DWP can address. I believe that we will be able to legislate and regulate, and have the power this autumn to ensure that those transfers are stopped, as I set out in much greater detail at the Work and Pensions Committee My right hon. Friend the Member for North Thanet (Sir Roger Gale) raised an issue both in the previous debate and in this debate in respect of overseas pensions. He will know that, sadly, the policy on uprating of UK state pensions paid overseas has been the policy of successive Governments of different political persuasions for over 70 years, since world war two. I do not have good news to tell him, I am afraid. There is no intention that I am aware of for this Government to change that policy The hon. Member for Glasgow East (David Linden) made his first contribution as shadow Minister and I, again, welcome him to his place. I look forward to visiting Scotland, when the pandemic allows, to campaign at length leading up to May. In respect of the key issue that he raised, I gave extensive evidence to the Work and Pensions Committee a week or so ago on pension credit. There is much that we are trying to do to progress that, whether in the form of Government communications or our work with the BBC. The fact of the matter is that pension credit is a benefit introduced by the Labour Government that has never achieved more than 70% of take-up. All Governments, including this Government and myself, want greater take-up of pension credit, and we are definitely doing everything possible to try to increase it The Chair of the Work and Pensions Committee addressed in detail a particular point on the Guaranteed Minimum Pensions Increase Order and the history of that legislation. He addressed the ombudsman’s findings relating to two individuals. Concerns have been raised regarding the way that the permanent secretary has dealt with correspondence to the Work and Pensions Committee and/or the ombudsman. I was not aware of that issue until yesterday. Clearly it is for the permanent secretary to respond. On the quality of the original policy formulated from January 2013 by Steve Webb, the Liberal Democrat Pensions Minister, I cannot comment at this stage, but I reject any criticism of a policy that was clearly scrutinised and legislated for by both Houses before it was implemented. The hon. Member for North East Fife (Wendy Chamberlain) raised open DB. I assure her that we continue to work extensively with the Pensions Regulator on those issues. Although I welcome the comments of the hon. Member for Strangford (Jim Shannon), I do not think that I can amplify any of the other matters thus far. With those comments, I commend the draft order to the House Question put and agreed to. Resolved, That the draft Guaranteed Minimum Pensions Increase Order 2021, which was laid before this House on 18 January, be approved.
ParlaMint-GB_2021-02-09-commons.u298	On a point of order, Mr Deputy Speaker. Yesterday, in the urgent question to the Secretary of State for Environment, Food and Rural Affairs on shellfish, I forgot to make reference to my entry in the Register of Members’ Financial Interests, so I am now putting that on the record.
ParlaMint-GB_2021-02-09-commons.u299	I thank the hon. Gentleman for giving notice of his point of order and for putting the matter on the record at the earliest opportunity. I think we will leave that there I will now suspend the sitting in order for Members to safely leave and others to come into the Chamber.
ParlaMint-GB_2021-02-09-commons.u300	Exceptionally—I think this may be the first time, therefore very exceptionally—we are going to have a technical suspension for 10 minutes. Everybody please be here no later than 4.33 pm.
ParlaMint-GB_2021-02-09-commons.u301	We now come to the message from the House of Lords on the Trade Bill, which is to be considered in accordance with the order of 19 January. We begin with the Government motion to disagree with the Lords in their amendment 1B, with which it will be convenient to consider the other Government motions and amendments on the notice paper.
ParlaMint-GB_2021-02-09-commons.u302	On a point of order, Mr Deputy Speaker. Is it in order for the Government to group the amendments in such a way as to deny Members votes on specific amendments?
ParlaMint-GB_2021-02-09-commons.u303	As I said in my introduction, all of this is being done under the provisions of the programme motion agreed by the House on 19 January. The questions to be put at that time are governed by Standing Order No. 83G, which does not allow for questions to be put on motions or amendments moved other than by Ministers. It is therefore not possible to have a Division on certain amendments that have been tabled, but I can assure the hon. Member that everything is in order.
ParlaMint-GB_2021-02-09-commons.u304	I beg to move, That this House disagrees with Lords amendment 1B.
ParlaMint-GB_2021-02-09-commons.u305	With this it will be convenient to consider the following: Lords amendments 2B and 3B, Government motion to disagree, and Government amendments (a) and (b) in lieu Amendment (i) to Government amendments (a) and (b) in lieu Lords amendment 6B, Government motion to disagree, and Government amendments (a) to (c) in lieu.
ParlaMint-GB_2021-02-09-commons.u306	We move ever closer to getting the Trade Bill on to the statute books. I recognise that we are very limited in our time for debate, so I will get straight into the details. I will deal with parliamentary scrutiny, followed by standards, followed by human rights and genocide I begin with Lords amendment 1B, on parliamentary scrutiny. Parliament of course plays a vital role in scrutinising our trade policy. We currently have robust scrutiny arrangements that allow Parliament to hold the Government to account. The Government have provided extensive information to Parliament on our free trade negotiations, including publishing our objectives, which are also shared with the devolved Administrations, economic scoping assessments and the Government’s response to the public consultation prior to the start of each set of talks. We have also shared the text of each deal with the relevant Committees in advance of their being laid before Parliament under the Constitutional Reform and Governance Act 2010. The Committees then have the option to produce independent reports on each agreement. Furthermore, if Parliament is not content with a free trade agreement that has been negotiated, it has powers under CRaG to prevent ratification by resolving against ratification indefinitely, acting as an effective veto.
ParlaMint-GB_2021-02-09-commons.u307	My right hon. Friend says that Parliament can indefinitely delay ratification. That is, in practice, almost impossible under existing procedures, would he not agree?
ParlaMint-GB_2021-02-09-commons.u308	No, I do not agree. I think the previous Labour Government designed the CRaG process specifically with that in mind—that Parliament would have an effective veto on a trade agreement through the CRaG process by continuing to resolve against ratification indefinitely. That is my understanding of what an effective veto would look like In respect of facilitating debate on free trade agreements as part of CRaG, the Government have clearly stated that we will work to facilitate requests, including those from the relevant Select Committees, for debate on the agreement, subject to available parliamentary time. The Government have a good record on this. Debate took place last year on the Japan free trade agreement, alongside six other debates on continuity agreements I will address the amendment tabled by the Government in response to Lords amendment 6B, on standards. Although we are in agreement that our continuity deal programme has not reduced standards, I fully understand the House’s desire to ensure that standards are safeguarded. The Government therefore tabled an amendment that will provide a cast-iron statutory guarantee that the trade agreement implementing power in the Trade Bill will not be used to dilute standards. This amendment guarantees that the clause 2 power cannot be used to implement any continuity trade agreement if that agreement is not consistent with existing statutory protections in the areas of human, animal or plant health, animal welfare, environmental standards, employment and labour rights, data protection and the protection of children and vulnerable adults online The amendment also provides that clause 2 implementing legislation must be consistent with maintaining UK publicly funded clinical healthcare services. In other words, we are living up to our promises that trade will not lead to a lowering of standards and that the UK’s protection in these areas will continue to lead the pack. I hope that all sides can now unite around this amendment, safe in the knowledge that we are not lowering standards through the back door. I thank hon. Members for their engagement on this issue and encourage all colleagues to join me in voting in favour of the Government amendment I now turn to Lords amendments 2B and 3B, on human rights and genocide. With regard to Lords amendment 2B, on human rights, parliamentary Committees have the ability to produce reports on any agreement that the UK negotiates with a partner country.
ParlaMint-GB_2021-02-09-commons.u309	I do not know whether the Minister heard my saying in the last debate that I am worried about the courts dealing with this in the absence of a defendant. However, I also expressed my worry about vexatious motions against our allies—Israel, Turkey, Saudi Arabia. How can the Minister assure me that there will not be a series of vexatious motions coming to this parliamentary Committee? Can we ensure that the Committee’s terms of reference are tightly drawn, so that it can actually deal with clear cases of genocide?
ParlaMint-GB_2021-02-09-commons.u310	At the moment, I am speaking about human rights—I am coming on to genocide in a moment—but I totally appreciate my right hon. Friend’s question. It would not be proper for me as a Government Minister to seek to dictate how a Select Committee might approach its business; I think we have to have a level of trust in our Select Committees to approach this question sensibly and logically.
ParlaMint-GB_2021-02-09-commons.u311	The answer to this question is very simple. Ministers cannot direct Select Committees. Select Committees will go where they think it is necessary. So with this amendment, Select Committees will feel completely free to look at anything, regardless of what the Government say that the bar is on that. That is the answer to this question.
ParlaMint-GB_2021-02-09-commons.u312	I thank my right hon. Friend, but there is a crucial difference here. Yes, the Select Committee runs itself. It can make calls for evidence and produce a report, and we would expect it to report quite quickly if there were credible reports of genocide, so the Select Committee writes the motion, but there is still the protection that the matter then goes to a vote of the whole House. I find it hard to conceive that a vote of the whole House in which the Government had a majority would determine something along the lines suggested by my right hon. Friend the Member for Gainsborough (Sir Edward Leigh) or my right hon. Friend the Member for Chingford and Woodford Green (Sir Iain Duncan Smith). I find that hard to conceive. I think we should have more trust in our Select Committees Going back to human rights, the Foreign, Commonwealth and Development Office already publishes an annual human rights and democracy report, so there is no need for Lords amendment 2B Turning to Lords amendment 3B on genocide and the amendment tabled by my right hon. Friend the Member for Chingford and Woodford Green, it is the Government’s firm view that expanding the role of the UK courts in the manner envisaged is inappropriate and would carry harmful unintended consequences. First, it would be unlikely to work. Genocide is notoriously hard to prove, with a higher legal threshold. If a judge were unable to make a preliminary determination on genocide, which is highly probable, it would be a huge propaganda win for the country in question, effectively allowing that state to claim that it had been cleared by the UK courts.
ParlaMint-GB_2021-02-09-commons.u313	Will the Minister give way?
ParlaMint-GB_2021-02-09-commons.u314	I will take perhaps a final intervention from my hon. Friend.
ParlaMint-GB_2021-02-09-commons.u315	I find it hard to believe that, if a country was investigated for genocide, that could in any way be seen as a propaganda event. It is not for us to determine how that decision is taken. The Government repeatedly say that that is for the courts, so we should allow the courts to come to a determination on the basis of evidence. We should never believe that people will not put a case forward to the courts because it might fail. That is just nonsense.
ParlaMint-GB_2021-02-09-commons.u316	I have to say that I disagree with my hon. Friend. I also think that the proposal made in the amendment tabled by the Chairman of the Justice Committee, my hon. Friend the Member for Bromley and Chislehurst (Sir Robert Neill), is a superior process, which I am going to outline. So I disagree with her point, if I may respectfully say that As I was saying, if a judge were unable to make a preliminary determination on genocide, it would be a huge propaganda win for the country in question, effectively allowing that state to claim that it had been cleared by a UK court. That would be an awful result, and I encourage the House to think strongly about the implications of that before supporting this amendment. Rather than helping persecuted people, we would be setting their cause back. Further, any determination would be subject to appeal, which would create a more drawn-out process than that envisaged by the amendment.
ParlaMint-GB_2021-02-09-commons.u317	Will my right hon. Friend give way?
ParlaMint-GB_2021-02-09-commons.u318	I am not going to give way, because I am conscious of the fact that I have already been speaking for nine minutes and I have given way four times Secondly, the amendment raises serious constitutional issues and blurs the separation of powers. Inserting the courts into a decision-making process that is rightly a matter for the Government and for Parliament would disrupt the delicate constitutional balance we have in this country between the Executive, Parliament and our independent judiciary. As outlined in an article for PoliticsHome last week by the Chair of the Justice Committee, my hon. Friend the Member for Bromley and Chislehurst, it is the role of Government to formulate trade policy and conclude international treaties, including trade deals. Parliament already has a critical role in this under the terms of CRaG, which enables it to scrutinise treaties prior to ratification and effectively block them if it chooses. Fundamentally, it is right and proper that Parliament takes a position on credible reports of genocide relating to proposed free trade agreements rather than, in effect, subcontracting responsibility to the courts to tell us what to think.
ParlaMint-GB_2021-02-09-commons.u319	Will my right hon. Friend give way?
ParlaMint-GB_2021-02-09-commons.u320	I am going to make more progress—sorry, I will not give way further The wording of that substantive motion will be provided by the Committee. A similar process would ensue in the other place to take note of the report. The process that I have outlined would be triggered in each case by the publication of the Select Committee report.
ParlaMint-GB_2021-02-09-commons.u321	Will my right hon. Friend take a short intervention?
ParlaMint-GB_2021-02-09-commons.u322	I am not going to take further interventions —there is only an hour for this debate It is up to Committees how they report, but such a report could come about in response to evidence produced by their own inquiries or to a finding of genocide by a competent criminal court, whether international or domestic. Such an approach rightly puts Parliament, not the courts, in the driving seat on this issue, which is who generates a debate in Parliament. Our policy on the legal determination of genocide has not changed. It has long been the Government’s position that genocide determination is a matter for the relevant court, which includes international courts and domestic criminal courts. However, whether to have a debate in Parliament should be a matter for Parliament I hope the House agrees that the amendment tabled by the Chair of the Justice Committee is a reasonable middle ground: it delivers the result envisaged by the Lords amendment—that is, to have a parliamentary debate—and the amendment tabled by my right hon. Friend the Member for Chingford and Woodford Green, but it does so through Parliament, not the courts. It allows Parliament to act quickly and decisively on the issue of genocide and, crucially, places a specific duty on the Government to act on the Committee’s concerns. It does so without upsetting the delicate separation of powers and without judicial encroachment. It ensures that Parliament has a clear role and that the Government have a clear duty when credible reports of genocide are raised with regard to a proposed bilateral FTA partner. I hope that Members from all parties will come together in support of the amendment tabled by the Chair of the Justice Committee.
ParlaMint-GB_2021-02-09-commons.u323	At the outset, I thank the hon. Members for Wealden (Ms Ghani) and for Huntingdon (Mr Djanogly), the right hon. Member for Chingford and Woodford Green (Sir Iain Duncan Smith) and the many others from all parties who, like our colleagues in the other place, who have worked with great persistence, and always in good faith, to achieve the right outcomes today Do you know what, Mr Deputy Speaker? It was 52 years ago this week that the House of Commons debated the introduction of Britain’s very first Genocide Act, which made genocide a distinct offence in our country and gave our courts the power to determine when it had been committed. When one looks back at that debate, it really strikes one that, were it not for some recognisable names, one would not know which MPs were Labour, Conservatives or Liberal, such was the unity in the House on the issue. Such obvious pride was taken by all Members in being part of a decision, taken by the British Parliament and led by the British Government, that would resonate around the world I fear that today, the atmosphere and outcome of our debate may be very different. Any future generations who choose to look back will ask themselves why on earth the Government of the day were playing procedural parliamentary games on an issue as serious as momentous as the genocidal crimes being committed against the Uyghurs in China. Rather than dwell on the shameful, shabby and shifty behaviour of the Government Whips in seeking to prevent a straight vote on the genocide amendment, let me instead address the key point of substance in the amendment that the Government have put forward to wreck it In the space of the last three weeks, the Prime Minister, the Foreign Secretary and the Trade Secretary have all stated on the record that the courts can determine what is and what is not genocide. The hon. Member for Bromley and Chislehurst (Sir Robert Neill) himself, the Chair of the Justice Committee, wrote an article, which has already been quoted. Let me quote another bit of it, in which he said: “Successive governments have said that the attribution of genocide is a matter for judicial determination.” Yet he and the Government are now proposing an amendment that would remove the courts from that process entirely and hand the responsibility instead to the Select Committees, which have already said publicly that they do not have the capacity to make such judgments. In other words, the Government wish to take a strong, substantive and historic new process for attributing genocide through the courts and acting on those rulings through our Parliament, and replace all of that with a weak, flawed and, frankly, entirely forgettable adjustment to the existing powers of Select Committees, and that is not good enough. I hope that Members on all sides will reject what I am afraid has to be said is a shameful wrecking effort, and vote instead for the original amendments 2B and 3B The Government’s other wrecking amendment today, on non-regression of standards, is equally flawed and equally contemptuous of Parliament’s will. It has been, I am afraid, very deliberately drafted to apply only to the continuity trade agreements already signed by the Government over the past two years, not to the trade agreements that the Government are negotiating with the likes of America and Australia today. In other words, the amendment would act retrospectively to prevent our standards for food safety, animal welfare, NHS data and online harms being undermined by the deals we signed two years ago.
ParlaMint-GB_2021-02-09-commons.u324	Will the right hon. Lady give way?
ParlaMint-GB_2021-02-09-commons.u325	I am not going to take any interventions, because my view is that we have so little time, I think it is only fair just to continue. [Interruption.] I have made it clear that I am not going to take any interventions. The amendment the Government have tabled is one whereby we are just talking about continuity agreements, not about agreements to come. Those deals are deals such as the ones we signed two years ago with Lesotho or with Liechtenstein, and this will have no bearing whatever on any trade deal that we negotiate in the next two years with Washington or Canberra. That is the level of contempt with which the Government Whips are treating the House of Commons today. So again, I would urge Members on all sides to reject this ridiculous wrecking effort, and vote instead for amendment 6B In closing, I think we can all do something today even more powerful than rejecting those wrecking amendments and standing up to the shameful tactics employed by the Government Whips. We can draw the only logical conclusion from today’s events—namely, that if we do not act to guarantee the rights of Parliament to scrutinise and approve the Government’s decisions on trade, then we leave ourselves entirely at the mercy of the Government Whips, who have shown today that they will stop at nothing to deny us a voice and deny us a vote We have it in our power today, by backing Lord Lansley’s amendment 1B, to guarantee Parliament a vote on all future trade deals and take responsibility in this House for ensuring that our standards and our values are not undermined by the deals that we do abroad. It is a very simple idea, and in the absence of a straight vote on what I would call the Alton amendment, passing the Lansley amendment would be the very best safety net that we could put in place to prevent the agreement of trade deals with countries that commit genocide and the very best rejoinder that we could provide to anyone who would seek to suppress the will of this Parliament. If we can achieve that outcome, we can turn this from a day of shameful, shabby, shifty tactics to a day a pride for our democracy and a day of promise for the Uyghurs.
ParlaMint-GB_2021-02-09-commons.u326	There is a three-minute limit on all Back-Bench contributions from now.
ParlaMint-GB_2021-02-09-commons.u327	Thank you, Mr Deputy Speaker. That is a very short time, so I will do my level best to get my three points across I just want to say something about the procedure today. Of course, we would not be sitting here if it was not in order for these proceedings, but there are different ways to be in order, and the reality of bundling together all these things into one motion—an amendment tabled by the Government—means that of course there is no way we will get to vote on the Lords amendment on genocide. I simply point out that fact. It reminds me that this little dispute is a little bit like the Handforth parish council one, and it is always a good idea to read the Standing Orders. I have read them, and they tell me what has happened: the Government have deliberately blocked this. I am sorry, but that is what this is. No point of order on that one; that is the reality. I simply say to my hon. Friends that I have been here long enough, and this is beneath them. I wish they had thought again, and I hope they do not try this one again I respect my right hon. Friend the Minister for Trade Policy enormously, as he knows, but I must pick up on a few points that he made, as I did table an amendment. First, he extols the virtues of the Government amendment and attacks the idea that the courts could make the judgment, as that would impinge on our position as a Parliament. Yet literally yesterday, in answer to a parliamentary question about whether genocide was a matter for the courts, the Foreign Office said: “It is the policy of the UK Government that any judgment on whether genocide has occurred is a matter for competent courts rather than Governments or other non-judicial bodies.” I ask my right hon. Friend: what is a Select Committee? Is it a judicial or a non-judicial body? If it is a non-judicial body, the Government amendment puts the power in the hands of a non-judicial body. What are we doing? We are running in circles just to avoid the reality My point is that we have been a little insulting about judges in the amendment that my right hon. Friend is talking about. I have my own differences with judges, but I remind the House that when we need an impartial taking of evidence and judgment—Savile, Grenfell, Hillsborough or any of the other cases—we turn not to Select Committees but to a judge. Why do we do that? First, because we assume that they are impartial and secondly, because they are trained to take and deal with evidence. We are not; we are partial—that is why we are here. We have Select Committees and we have prejudices, and that is the point.
ParlaMint-GB_2021-02-09-commons.u328	Why does my right hon. Friend think that the Minister claims that a Select Committee, which already has the power to investigate all sorts of things in this House, is in some way superior to a judicial determination by a court? Only this week, Sir Geoffrey Nice, a distinguished QC who prosecuted Milošević, said that under the International Criminal Court Act 2001, UK courts are competent to prosecute the offence of genocide. The provision is there—we should surely be using it, not dismissing it. I come back to amendment 3B. We bent over backwards to answer every single question that the Government laid on the last time we debated this. Under the amendment, the courts cannot strike down trade deals anymore. The Government set the terms of the referral and the level of evidence required to pass the barrier. All that is handed back to Ministers. All the court will do is decide on genocide, and then it is up to Ministers and Parliament to decide what to do. We do not even tell Ministers in this amendment that they should do anything other than at some point come back and ask Parliament. That seems completely reasonable and puts the power in the hands of Parliament We have a very limited amount of time, and I am very sad today that the Government have chosen not to allow us to vote on the amendment. I am not voting on my amendment either. I oppose the Government’s amendment because, as my right hon. Friend the Member for Gainsborough (Sir Edward Leigh) suggested, I think it will lead to much more vexatious complaint and all sorts of human rights stuff piling through Today should have been a chance to stand tall—to send a signal to those without hope all over the world, whether the Uyghurs or the Rohingya. Instead of providing a beacon of light and hope, we have today gone into the dark corridors of procedural purdah. We need to emerge.
ParlaMint-GB_2021-02-09-commons.u329	Order.
ParlaMint-GB_2021-02-09-commons.u330	Lords amendment 1B covers one of the most glaring omissions from the Bill and it simply serves to underline the ideologically driven and confusing motives of the Government, who have already dealt so much damage to people, families and businesses right across Scotland and the other nations of the UK—and for what? It is supposedly for undiluted parliamentary sovereignty, yet the Government have not seen fit to give Parliament a role in setting the agenda on trade negotiations. That is extraordinary. It is damning of this Government, given the scrutiny arrangements that other Parliaments have around the world, including the EU’s, where they have control over both mandates and the progress of negotiations. The UK has now sunk to the bottom, relative to what is undertaken elsewhere.
ParlaMint-GB_2021-02-09-commons.u331	I yield to no one in my detestation of genocide and I yield to no one in my admiration for the domestic courts of the United Kingdom. Despite the good intentions of Lords amendment 3B, it has to be faced that it has a fundamental flaw, in that it brings the domestic courts of the United Kingdom into areas where, constitutionally, they have never sought to go When we refer to the competent courts in relation to genocide, it is abundantly clear from the convention and subsequent legislation that we refer to the international courts and, in certain circumstances, the criminal courts of the United Kingdom in relation to individuals who are within their jurisdiction. That is wholly different from what is proposed in Lords amendment 3B, which brings the civil courts of the United Kingdom into a wholly novel area of jurisprudence, linked only to one specific issue, which is genocide in contemplation of a trade deal, not more generally The decisions on trade deals are constitutionally entirely matters for Parliament. That is why, despite the best endeavours and intentions of the amendment, I cannot support it and why I brought forward the amendment in lieu in my name, supported by three former law officers of the Crown. This would enable Parliament to express a clear view and would, inevitably, in real political terms, enable it to block a trade agreement with a genocidal state, because no Government could ignore that, but it would do so at the end of a parliamentary process. This would then give the appropriate Select Committee greater powers than Select Committees otherwise have, because they will be entitled not only to demand as a matter of law that the Government table the motion that they require if they are dissatisfied with the Government’s response, but to write the wording of the motion. This goes further than the powers that Select Committees have at the moment. That would be most important, as it would enable us to have a proper lock on the matter. We must not allow the courts to be dragged into an area where they have not themselves sought to go. We saw the wholly unfair and unjust criticism of our courts in cases such as the Miller litigation. To place them in this situation, where they will be obliged to step beyond what is the normal constitutional balance, would not be fair on them. They would not be in an easy position to come to a determination, as has been pointed out. Above all, it would inevitably be inviting them to trespass into areas that are highly politically contentious I want to have a means of scrutinising future trade deals. That is why I have much more sympathy for Lords amendment 1B than I have for Lords amendment 3B, because that would give a means of dealing with it. Lords amendment 3B, it is misconceived because of that misunderstanding in relation to what a competent court is and the need not to stretch that beyond our constitutional practices—
ParlaMint-GB_2021-02-09-commons.u332	We will leave it there, Sir Robert.
ParlaMint-GB_2021-02-09-commons.u333	Genocide and grave human rights abuses are the most horrific and wicked crimes a state can commit, and those who perpetrate such crimes should be held accountable by this Government and the entire international community. Let me be absolutely clear: they are not internal issues, as Ministers often claim, but international issues. The Government should therefore be using the trade deals they negotiate with other countries as a means of strengthening our human rights commitments, as I advocated during the passage of the Bill last year. Yet despite so many Members from across the House agreeing that trade deals should at least uphold our human rights obligations, Ministers have shown that they believe otherwise, defeating by the slimmest of margins the amendments that would have prevented them from signing trade deals with genocidal states, and proposing today a counter-amendment that is a pale imitation of what we should be doing as a country. In acting this way, they risk further emboldening those who continue to commit serious crimes against humanity. We have, sadly, already seen where refusing to take strong action against the Burmese military for their genocide of the Rohingya, for example, leads The bottom line is that we should not be signing any trade deal with any state that is committing any crime against humanity. Turning a blind eye and doing business with the very regimes that torture, abuse and kill others will sign away any moral authority that we have to call ourselves defenders of human rights, to enforce sanctions against abusers, or to advocate for stronger protections. However, while the Government’s previous vote against the amendments and the amendment they propose today are bitterly disappointing, they are sadly not surprising. On far too many occasions, I have urged them in Parliament to act against those committing human rights abuses and genocide, including in Kashmir. I have repeatedly called for action to protect Kashmiris from the persecution, oppression and injustice that they face on a daily basis at the hands of the Indian armed forces, only for Ministers to utter warm but meaningless and hollow words while the sons and daughters of Kashmir continue to suffer Trade is one of the few tools that we have left, in an interconnected, globalised world, to pursue a foreign policy based on protecting human rights. We must therefore take strong action in this Bill to show that we value human rights and that we will stand up for the many persecuted and oppressed peoples around the world.
ParlaMint-GB_2021-02-09-commons.u334	Let me start with the amendments on genocide. The revised amendment 3B deals with some of the deficiencies of the original, but not, I am afraid, all. I still have the concerns that I have expressed previously about how the judicial process that it sets out will work in practice and about what a High Court judgment in such cases will really mean. I also think that the concerns that others have expressed about the effect of a finding that genocide has not taken place are well founded This may be strange thing for a former Attorney General to say, but I wonder whether we are getting too hung up on the judgments of courts. It is true, of course, that Governments have routinely relied on the courts to make a formal finding of genocide when guilt must be proven to a required legal standard, but we are discussing trade negotiations, not criminal convictions. In that context, if we have good evidence that genocide or anything like it is being committed by the country with which we are proposing to do a trade deal, we should retain the right not to do that deal with it, whether there is a formal judicial determination of the specific crime of genocide or not That is why I support the amendment in the name of my hon. Friend the Member for Bromley and Chislehurst (Sir Robert Neill). Under that amendment, the trigger for a parliamentary vote is not a court ruling, with all the difficulties and pitfalls that brings, but rather the much lower bar of credible reports of genocide. That means that, unlike under amendment 3B, we can decide to refuse a trade deal with a country we believe has engaged in genocide despite the absence of a court ruling that it has done so. That is, in effect, a higher standard of human rights protection than that proposed in the amendment from the other place The judgment of Parliament on potential trade deals is important, and it is important that our judgment is exercised at the appropriate time in the negotiating process. For me, that means that Parliament should have its say when a negotiating mandate is being drawn up, not solely when the deal is done. However, I have two problems with Lords amendment 1B, which provides for that.
