ParlaMint-GB_2021-02-01-commons.u1	What steps his Department is taking to make the most effective use of the defence estate.
ParlaMint-GB_2021-02-01-commons.u188	The cladding scandal has wrought emotional and financial devastation upon my constituents who live in affected buildings. The human impact of this crisis on leaseholders is horrendous. One constituent recently told me: “It is pretty much all I talk and think about. I have thought about killing myself and have started counselling to try to manage the thoughts and my anxiety.” The Government have not yet offered the scale and range of measures necessary to meet the full impact of this crisis. I hope this debate changes the dial on their approach. I wish in particular to address the issue of insurance costs, which I have raised in this House for the past year. The Islington Gates development in my constituency saw a hike in insurance prices from £36,000 to £321,000. The Brindley House development in my constituency has the horrible honour of being the first building—in May last year—to find itself uninsured as a result of the cladding scandal. It was eventually able to secure cover, but it was being quoted prices of half a million pounds I have been writing to Ministers and officials at MHCLG and the Treasury, as well as the Financial Conduct Authority, ever since these issues came to light in my constituency, but to no avail. It is clear to me that the Government need to step in to sort out the insurance costs issue, because there seems to be little relationship between the interim measures that leaseholders are paying for, such as very expensive, state-of-the-art alarm systems, and the cost of the insurance premiums that they are being quoted. That has to be called out, and it is clear to me that some form of guarantee eventually needs to be offered by the Government that reflects a balance of all the risks and affordability for our constituents In terms of the way forward, I associate myself with the remarks made from the Labour Front Bench, but I also believe that the businesses, developers and construction companies responsible for putting these buildings up should face some consequences if they do not step up to remedy the defects that they are responsible for. Such businesses should not be able to bid for and receive public sector contracts. I think of developers such as Galliford Try in my constituency, which is failing to engage with leaseholders over Islington Gates. It is eligible to bid for projects that are part of the West Midlands Combined Authority area framework. I do not believe that anyone who fails to live up to their responsibilities and does not pay their due liabilities to wider society should get our money. It is unconscionable that ordinary people who are wholly innocent and have done nothing wrong are losing everything that they have ever worked for, and that those responsible are getting off scot-free. This House should act as one tonight, call time on this behaviour and stand with leaseholders.
ParlaMint-GB_2021-02-01-commons.u189	Many happy returns to you today, Madam Deputy Speaker This is an emotive subject, and the terrible tragedy of Grenfell is still in the minds of those debating this issue today. We must never allow such a thing to happen again, and it is only right that dangerous ACM cladding is a thing of the past. Righting the wrongs of the past has had unintended consequences, and I have spoken to many leaseholders who have found themselves in a terrible position with properties they purchased in good faith, where no problems were identified at the time. They now find themselves with huge bills for remediation works or waking watches. On top of that, they are unable to get insurance and are effectively stuck with their properties, as they cannot be sold. Effective steps need to be taken to remedy the situation I am a member of the Housing, Communities and Local Government Committee, and on 24 November the Committee published its report following pre-legislative scrutiny of the draft Building Safety Bill. It suggested: “The Government must recommit to the principle that leaseholders should not pay anything towards the cost of remediating historical building safety defects, and…amend the Bill to explicitly exclude historical costs from the building safety charge.” I welcome the £1.6 billion that is available to pay for cladding to be removed from buildings and that the vast majority of buildings with ACM cladding have had it removed, or the work is under way, including 100% of buildings in the social sector. I also welcome the £30 million waking watch fund and the reforms on EWS1 forms The Building Safety Bill will drive up building safety standards and ensure there is greater responsibility for the safety of all buildings, particularly high-rise residential buildings. We must also welcome the creation of the new regulator. We must be very clear that developers are expected to put things right. Although the Government must step in when that is not possible, there can be no blank cheque The proposed amendment to the Bill is well intentioned, and I have a great deal of sympathy with it. It covers only those premises where a fire-risk assessment has already taken place, leaving out many other buildings. Like all amendments, there can be unforeseen consequences. In this case, my concern is that some of the more technical elements could lead to delays in the Fire Safety Bill getting on to the statute book. We must also consider the amendment dealing with enforcement but not replacement For those reasons, although the goal is admirable, I am of the belief that this issue should be pursued through the Building Safety Bill, not the Fire Safety Bill. We must do the right thing by leaseholders. I eagerly await the Building Safety Bill, in which that can further be put into action.
ParlaMint-GB_2021-02-01-commons.u190	Who would have thought that almost four years after the horror of Grenfell there would be hundreds of thousands of people still living in tall buildings at catastrophic risk from fire? Who would have thought that as a consequence of that risk many of the occupants of those buildings would be threatened with bills that will leave them penniless or bankrupt? And who would have thought that those occupants would have their lives put on hold: unable to move, re-mortgage or, in the case of shared owners, increase their stake in the property This is a tale of how two Governments abdicated their responsibility for Grenfell. It is shameful that the first ask in today’s motion has to be to establish the extent of the risk, let alone get on with the work or protect the victims from both harm and costs. No one should have to live in a home that puts their life and the lives of their family at risk. No one should be trapped in that home because they cannot make it safe or prove it is safe This is basic stuff. But even if the Government had got that right, there are a whole load of other problems that they are failing to address. Social landlords have done a better job than private landlords in taking remedial action, but unless the Government are prepared to fund the costs of that, either the landlord will pay, thereby cutting off the funding for new affordable homes, or social tenants and leaseholders will pay. Government funds at present are not just insufficient—estimated at less than 10% of what is needed—but unavailable for many categories of at-risk buildings, such as those below 18 metres. Cladding is identified as the primary risk, but it is only one of many that include limited means of escape, weak fire doors and poor compartmentalisation. We are concentrating today, and in the amendments to the Fire Safety Bill, on occupied at-risk buildings where either the design or, as at Grenfell, the modifications make them unsafe. What about those currently seeking planning approval? There is a spate of applications for tall buildings, especially in London. I have blocks from 20 to 45 storeys currently in the pipeline. I ask the developer in each case whether: there is more than one escape route, all materials and combinations are inflammable, and sprinklers are fitted in all areas, not just communal parts. The answer is invariably, “We will comply with current building regulations”. This is storing up trouble for the future when we have enough in the present I am currently helping residents in 14 blocks in Hammersmith with cladding issues. On average, there is a fire in a residential block six storeys or over in the borough every two months. Thankfully, the efforts of the London Fire Brigade mean they are usually extinguished quickly and without injury, but I do not want to visit another Grenfell Tower, as I did the day after that terrible fire. It is the worst experience of my 16 years in Parliament—indeed, of the 35 years I have represented my part of west London. It is time for the buck passing to stop and for the Government to act.
ParlaMint-GB_2021-02-01-commons.u191	Happy birthday, Madam Deputy Speaker. I welcome my hon. Friend the new Minister to his place I would first like to offer my own condolences to the families of the 72 people who lost their lives in the horrific Grenfell Tower fire, as well as to the survivors who have been greatly affected by it. Nothing can replace what has been lost, but we must ensure that such a tragedy can never happen again To that end, the Government have taken and are taking a number of steps to address building safety issues, including: taking forward the recommendations from the Grenfell Tower report; banning combustible materials from new buildings; introducing the Fire Safety Bill and, later this year, the Building Safety Bill; creating a new building safety regulator and a new regulator for construction products; implementing changes to fire safety regulations; and commissioning an independent review to examine weaknesses in previous testing regimes for construction products and to recommend how we can prevent further abuse of the testing system I welcome the fact that, to date, the vast majority of buildings with ACM cladding have now had it removed or the work is under way, including 100% of buildings in the social sector. This has been supported by an initial £600 million fund, together with a new £1 billion building safety fund to ensure that building owners have no excuse not to start this vital work. Crucially, the Government have been absolutely clear that the work must be completed by the end of 2021. They have appointed construction advisers to identify what more can be done to speed up the process. We cannot afford any delay to that process, and I urge private landlords to prioritise remedial work in the same way that housing associations have done. I would be interested to hear from the Minister about the expected timeframe for work to be completed on the last remaining buildings in the private sector, as well as what actions Ministers intend to take against building owners who fail to meet that deadline. The Opposition are calling for leaseholders to be protected from the cost of this remedial work. The Government have been clear that building owners are legally responsible for ensuring that their buildings are safe, and that they must work with the contractors who provided unsafe materials, or rely on their own resources or warranty schemes to deliver that work. Those who are unable to meet the costs of the work can also access the Government funding that I have set out. There should therefore be no excuse for building owners to pass on the costs to leaseholders Further to support leaseholders, the Government have implemented a number of additional measures to remove the barriers from those wanting to sell or re-mortgage their homes. Those measures include the introduction of the £30 million waking watch fund, reaching an agreement with the Royal Institution of Chartered Surveyors so that buildings without cladding do not need an EWS1 form, and where a form is required, ensuring that there are enough surveyors to complete that work. I urge the Government to continue engaging regularly with lease- holders so that we can take further action where needed.
ParlaMint-GB_2021-02-01-commons.u192	Residents trapped in unsafe buildings are fed up with sympathy; they want action—certainly those in Elizabeth House, Damask Court, Capitol Way, and many other developments in my constituency do. They know that this debate should not just be about who pays. Lord Greenhalgh has admitted that the Government’s building safety fund will not even cover one third of the cladding defects, and residents in Capitol Way know that this debate should not just be about cladding. This is about a whole range of fire safety defects that have turned their homes into a building site for the past three years, and threaten to do so for three years more The Minister started the debate by saying that the Government “absolutely expect” building owners to do the right thing. Three and a half years on—really? The Government hold developers responsible. The developers hold the construction companies responsible. The construction companies hold the building control inspectors responsible, and the building control inspectors say that the Government privatised the system of building control, creating a downward spiral of monitoring and control, as inspection became a competition about who would let the builders get away with the most short cuts. Nobody blames my constituents, yet they are now paying for all those mistakes. They are unable to move house, unable to sell their homes, and unable to get on with their lives. They are trapped in unsafe accommodation, with no end in sight In advance of this debate I was sent documents that show that many of the fire safety defects that exist in the Capitol Way development were not mistakes. I have reason to believe that that was known by the construction company, Shepherd Construction, by the approved inspectors, Head Projects Building Control, which is now in liquidation, and by the project managers for the development, who were from CBRE. Those defects were known about and recorded in reports that were prepared for CBRE by its quality assurance agent. Those reports were then doctored. Evidence suggests that that took place before residents were moved into those unsafe properties. Given that there was full knowledge of the statutory breaches of the fire safety elements of building regulations, it is clear that life was put at risk. I believe that therefore constituted a criminal offence, and that withholding such information from leaseholders, who purchased their apartments in good faith, was fraud by false representation. There was a duty to disclose that information, but no such disclosure was made. In my view, that means my constituents were victims of fraud In July 2019, the then Secretary of State for Housing, Communities and Local Government issued a written statement to say that all cladding remediation would be completed by June 2020. Seven months on, instead of expecting building owners and the construction industry to do the right thing, the Government should wake up, impose a windfall levy on the industry, and get this work done.
ParlaMint-GB_2021-02-01-commons.u193	I welcome this debate today. It is one small response to the enormous suffering of the people who died in the Grenfell disaster and those who lost loved ones, and also all those who have faced such unbearable burdens thereafter I agree with the hon. Member for Bristol West (Thangam Debbonaire) that all affected homes should be made safe, the victims of this scandal should not be made to pay, and the main players are clearly avoiding their responsibilities. However, it seems that she and, indeed, the Leader of the Opposition are unaware that the only Labour Government in the UK—the Welsh Labour Government—launched their consultation on a new building regime only two weeks ago, having sat immovably on this issue for over three years. For as well as being a desperate, scandalous and unbearable burden for people trapped in their flats in England, the cladding scandal, from Atlantic Wharf in Cardiff to Victoria Dock in Caernarfon, affects the whole of Wales. People who bought their homes in good faith are being left with unsaleable properties, or face astronomical and unaffordable bills to make their homes safe, with no choice but to live in homes that could be fatally dangerous. For those who have to move because of work or family commitments, even that terrible choice is not open to them. In making his call for the UK Government to “get a grip”, I hope that the Leader of the Opposition will pass his remarks on to his very good friends down the M4 We also heard today that the Leader of the Opposition is calling for a national cladding taskforce. I am not sure which nation he is referring to—perhaps neither is he— but this looks to many people in Wales either like shameless grandstanding ahead of our general election or just a schoolboy misunderstanding of the nature of devolution. I am sure that he joins everyone else in calling on developers to shoulder their responsibilities, and I hope that he will press for Wales to get its fair share of any funding to make homes safe. Alas, I fear that neither the Tory Government in Westminster nor the hapless Labour Government in Cardiff are at all up to the job.
ParlaMint-GB_2021-02-01-commons.u194	People in this country deserve to live in safe accommodation; I think we could all sign up to that key principle. It has been encouraging to see the Government taking forward and implementing the recommendations of the Grenfell inquiry so that lessons are learned and we never see a repeat of the 2017 tragedy. It is true, however, that the right mechanisms and funding sources need to be in place to truly get a grip on this issue in order to give tenants and leaseholders the protection they deserve both in terms of safety and the costs involved in the Government’s overhaul of building safety regulations Last summer, I visited Ash and Lacy in West Bromwich East—a manufacturing firm that, as part of its portfolio, manufactures non-combustible components for building exteriors and is leading the way in these innovative technologies, which often exceed industry standards. It was a pleasure to get people’s thoughts on the current situation; I learned a lot that day. Creating technologies like the ones produced at Ash and Lacy will be key to the future of our country’s construction industry. I am sure that the Secretary of State would be keen to accompany me on a visit to its site in West Bromwich as soon as the restrictions allow I have an example from my constituency casework concerning the Government’s reform of bureaucracy within the EWS1 form process. My constituent’s family were effectively left in limbo when attempting to gain this form in order to mortgage their property. The bureaucracy and expense of securing a form led to lengthy delays and long periods of uncertainty. I know that this is the case across the country. I am grateful that MHCLG stepped in to secure an agreement with lenders that homeowners in buildings without cladding no longer require an EWS1 form to sell or mortgage their property, so my constituent’s family were able to move on with their lives. In addition, where EWS1 forms are required, the Government are funding the training of 2,000 assessors to speed up valuations to address this and are working with the industry to ensure that the highest-risk buildings are prioritised first I commend the Ministry of Housing, Communities and Local Government for introducing the Fire Safety Bill, as well as the consultation on it and other measures across government. I look forward to Ministers updating the House over the course of the year on further changes to make homes safer. This year we have an opportunity to completely revolutionise the country’s approach to building safety, and I am backing the Government to deliver it.
ParlaMint-GB_2021-02-01-commons.u195	Three and a half years ago, 72 people lost their lives in the horrors of Grenfell Tower, and many hundreds more survivors were injured and traumatised. We must never forget them The aftermath of that terrible event revealed the country-wide scandal of developers ignoring building safety and creating homes that are firetraps. The Government have not collected reliable figures, but the Opposition have estimated that 450,000 people are still living in blocks known to have unsafe cladding. This is not just about ACM cladding, but other dangerous cladding, as well as flammable insulation, cavity walls without fire breakers, flammable timber balconies, inadequate fire doors—the list goes on as the costs go up. Repairs are conservatively estimated at £18 billion, which puts the £1.6 billion promised by the Government into its proper perspective. Some of the defects to be remedied do not fall within the Government’s promise of support. What the Government are offering is too little, too late, and the money has not yet been handed over to leaseholders. They need help, and they need it now The discovery of the cladding scandal has been followed by Government dither and delay when it comes to helping leaseholders, many of whom feel they have simply been abandoned to their fate, and whose bills are going up now. None of them is to blame for this scandal, yet they are already footing escalating bills that they cannot afford. They are ordinary people simply trying to get a home of their own, or flat owners seeking to let out a flat, suddenly finding themselves in a nightmare of unaffordable costs with no way out. They live in unsafe, unmortgageable, unsellable flats, with escalating insurance costs and skyrocketing service charges to fund expensive waking watch patrols, and they are liable to pay for all the remediation. If a consumer bought a faulty kettle, they would be entitled to get their money back, but there is no consumer protection for leaseholders, just a bigger bill. It is not good enough The Government must prioritise helping leaseholders with these unaffordable costs as soon as possible. The developers and rule dodgers who installed this dangerous cladding and flammable insulation—who ignored fire regulations in their development—should pay, not the blameless leaseholders. It is not as if some of these people do not have the money. Last July, the Chancellor of the Exchequer provided a £4 billion tax cut to the housing and development sector by cutting stamp duty. The Help to Buy scheme has given a huge cash boost to them, so much so that developers between them have made £15 billion in profit since the Grenfell fire, so the Government must take action to extract the costs of remediation from those who perpetrated this outrage and must not make the blameless pay. I commend and support the motion today.
ParlaMint-GB_2021-02-01-commons.u196	It is astounding—no, that is the wrong word. It is shameful that we are still debating unsafe cladding on buildings. It is three and a half years since the awful scenes at Grenfell, yet far too many people are still living with the nightmare that their homes are wrapped in combustible cladding. What is incomprehensible is that despite promising that all Grenfell-style cladding would be removed by last June, there are nearly 50,000 people still living in around 165 buildings over 18 metres tall that are still covered in the same cladding found on Grenfell Tower However, the scale is even bigger. We know that there are other types of combustible cladding—not all the same as that used at Grenfell, but equally dangerous. There are at least 450,000 people still living in blocks with all forms of unsafe cladding. Here in Greater Manchester, there are currently 107 high-rise residential buildings that have adopted interim measures as a result of significant fire safety deficiencies, but a further 64 buildings in Greater Manchester are known to have failed the ACM test with no remedy yet, and another 75 privately owned buildings have fire safety issues that are attributable to other unsafe cladding I want to be constructive, which is why I support the motion tonight. I particularly welcome the call to create a national cladding taskforce, putting residents at its heart, as they did in Australia. The Government’s joint inspection team just does not have formal enforcement or funding powers. Somebody should urgently carry out an audit to establish the extent of dangerous materials on buildings, prioritise them according to risk, and ensure that there is enforcement against those who do not undertake the work We need to protect leaseholders and taxpayers by pursuing those responsible for putting cladding on buildings and recouping costs through legal action against them. We need an absolute deadline to make homes safe. The shadow Secretary of State, my hon. Friend the Member for Croydon North (Steve Reed), suggests June 2022, which I support. We need legislation to protect residents from being passed on historical fire safety costs; enforcement powers against building owners who refuse to start work; and measures to make it easier to recover costs from bad builders There are other calls in the motion to help to get the housing market moving again for those trapped in this mess. We cannot afford more inaction. Tonight, we have the chance to properly act on this scandal, to take appropriate action, and to make all homes safe after three and a half years. Our constituents and this country deserve nothing less.
ParlaMint-GB_2021-02-01-commons.u197	Happy birthday, Madam Deputy Speaker Thousands of residents across Salford live in unsafe homes. They are families, key workers, couples and people young and old who want to be part of the vibrant city that Salford has become. Many scrimped, saved and pushed themselves to their financial limits to buy their home, and they were assured that they were safe—but they were not. Now they not only live in fear for their lives, but face financial devastation for a crisis that they did not cause. One high-rise block in Salford estimates fire-safety remediation costs of up to £100,000 per flat. Buildings even under 18 metres are failing EWS1, and many residents are being forced to pay thousands for measures such as waking watch and increased insurance premiums. Those people are at risk. They are trapped, and they cannot move, sell or even remortgage their homes Various Secretaries of State over the last few years have made sympathetic noises. They have even applauded cases where developers have stepped up and footed the bill. However, sympathetic noises were all they were. The Government never legislated to ensure that leaseholders did not have to pay. In fact, the draft Building Safety Bill and the Fire Safety Bill did quite the opposite, and the building safety fund is sadly inadequate and inequitable. The fund set aside only £1.6 billion for remediating buildings. It was only for cladding, despite the Government knowing that the crisis went far beyond that, and it excluded buildings under 18 metres. In reality, the total bill is estimated at around £15 billion for cladding alone Leaseholders did not cause this crisis. It was not they who breached safety and building regulations. It was not they who signed their buildings off as safe, and it should not be them who pay for this scandal. The Government have a moral duty to support today’s motion. They have a moral duty to agree to legislate within the Fire Safety Bill for the principle that leaseholders should not pay for historical fire safety defects. They have a moral duty to lead an urgent national effort to carry out fire safety remediation by June 2022, to forward fund that work, and to reclaim the costs from those responsible, or via a levy on new development The Government’s first priority must always be the safety and welfare of their people. In the words of one of my constituents, “I just wish the Government would step up and act.”
ParlaMint-GB_2021-02-01-commons.u198	Many happy returns, Madam Deputy Speaker This is an extremely important and highly complex issue, and it is important to note at the outset what the Government have done so far. A £1.6 billion building safety fund has been provided to remove cladding from residential buildings 18 metres and over, and there is now a requirement for the installation of sprinkler systems in all new blocks of high-rises over 11 metres. The MHCLG already publishes monthly data on all identified high-rise residential and publicly owned buildings where remediation works have taken place or are in progress. The EWS1 form process has been tidied up to a degree, with agreement reached with the Royal Institution of Chartered Surveyors to confirm that buildings with no cladding do not require a form. In addition, funding has been provided to train assessors to speed up the valuation process, leading within six months to 2,000 additional assessors to help unlock the housing market. Those things are a step in the right direction, but they are not the end of the journey, as the Government have made clear Much of the Government action so far has been aimed, understandably, at buildings above 18 metres in height. However, up and down the country, including in my own constituency of Orpington, leaseholders are living in buildings under 18 metres that have cladding on them. Under the current EWS1 process, people living in such properties are faced with the nightmare scenario that they cannot remortgage, they cannot move home because lenders will not finance mortgages for would-be buyers, and Government support for remediation is aimed at taller buildings In my constituency, I have been contacted by constituents living in Cray View Close, the Village Hall flats, and the flats above Orpington’s Tesco. As I have said before in this House, my constituents are trapped and unable to move on with their lives. Indeed, as a result of fixed-term mortgages coming to an end, I note that at least one of my constituents has been moved on to a higher tariff due to the presence of cladding, even though the building concerned is not a high-rise block. In addition, the freeholder at Cray View Close is a local housing association, and it has confirmed in writing to several of my constituents that, all things being equal, costs for future remedial work will fall on the leaseholders. That is devastating news for my constituents, so I warmly welcome the previous comments of my right hon. Friend the Housing Minister that leaseholders should not have to worry about the cost of fixing historical safety defects that they did not cause RICS is due to publish the final EWS1 guidance at some point later this month, and it is vital that it gives much greater certainty for lenders. It needs to state very clearly whether an EWS1 form is required for buildings under 18 metres, and if one is, the Government will need to be very clear in the forthcoming building safety Bill about how leaseholders will be protected. It is crucial that the Government get this right and get it right first time.
ParlaMint-GB_2021-02-01-commons.u199	It is three and a half years on from the Grenfell tragedy and, as time ticks on, the promise of “Never again” is starting to sound incredibly hollow. The daily stress of living in a building that could go up in flames is bad enough, but the Government’s failure to act and to protect people from both the fire risks and the inordinate cost of fixing them is a disgrace. Suicide, bankruptcy, the threat of professional qualifications being revoked, life savings lost, futures destroyed—that is what tens of thousands, if not millions, of people are facing right now In November last year, many of my constituents thought that they may face rising service charges, upwards of £50,000 each, but now they have been given an initial estimate to ameliorate the cladding on just one block of flats, and it is £7 million. That is between £150,000 and £200,000 per flat in one block. Imagine how they feel when Ministers try to spin this issue, repeatedly claiming that 99% of Grenfell-style cladding has already been removed while failing to mention that that does not account for other types of cladding that are potentially just as dangerous. Imagine how it feels when Housing Ministers tweet outrage that leaseholders are being treated badly by building companies and insurers but then fail to legislate to protect them. Imagine how it feels when the Government’s cladding adviser sits on a Zoom call and tells desperate leaseholders, whose flats are now worth nothing, that his only idea is to give them, on top of their mortgages, long-term loans that they will never be able to pay off I have now asked the Government three times to ensure that the House is given sufficient time to debate and vote on amendments to the Fire Safety Bill that could prevent costs from being passed on to leaseholders—amendments tabled by Liberal Democrat, Labour and Conservative MPs. If the Government think those amendments have technical problems, they should bring forward their own versions. I urge every Conservative Member to vote with Opposition parties today to show that they are serious about standing up for cladding victims and to put the Government on notice that if they fail to bring forward their own solution, Members of this House will work cross-party to force the Government’s hands The human cost is too high. Cladding victims cannot wait any longer. This cladding scandal has to stop.
ParlaMint-GB_2021-02-01-commons.u200	No one will ever forget those awful images of Grenfell Tower ablaze, or black and smouldering, nor will we forget the individual stories of suffering and loss, or the pain of the local community. The legacy of Grenfell looms large for all of us this evening, and it is something that occupies daily all those charged with this responsibility in government. I thank the Minister for Housing for setting out very clearly the fact that this is a priority for the Government and the decisive steps that they have already taken. I welcome the very significant amounts, totalling £1.6 billion, that Government have allocated so far to pay for cladding to be removed, and I am thankful that the vast majority of ACM cladding has either been removed or that work is under way to do so The fact that work has been completed on buildings in the social sector is a good example for others to follow. Of course, the Government recognise that other cladding needs to be removed in all types of buildings, and that, too, is their focus and objective. The Minister was very clear when he hold the House that it was the responsibility of building owners to make buildings safe and that the Government would work with owners to fulfil their obligations and protect leaseholders, using both carrot and stick The related issues along the way are also being addressed in what I view as a pragmatic and effective way: a £30-million waking watch fund to help ensure that these measures are truly temporary; and work with RICS to address the mortgage issues arising from EWS1 forms. I particularly welcome the independent review commissioned by the Government of how some players in the construction industry were able to game the system and play fast and loose with people’s safety, abusing the testing system and shaming reputable companies in the sector. There is indeed much work to be done, but we are making progress towards completion of the vital effort to right the wrongs of the past and to look at what improvements need to be made in the future The events of June 2017 shook this country to its core and fundamentally changed the way in which we think about safety standards. I welcome the Government’s determination to protect leaseholders in both the long and short term. I know how important it is to help to restore that feeling of safety and security for those affected, and I do not doubt the Government’s commitment to completing that herculean task.
ParlaMint-GB_2021-02-01-commons.u201	Thank you, Julie. There was a seamless changeover of the Chair during your speech. I call Florence Eshalomi.
ParlaMint-GB_2021-02-01-commons.u202	This debate is long overdue. I thank my Labour colleagues for bringing it to the House, and I thank all Members who have made a contribution today, for this truly is a national scandal. Many colleagues have rightly reminded us of the horror and tragedy of Grenfell. They have also spoken about the Government’s slowness to recognise the breadth and scale of the issue, their reluctance to get things moving, and the hollowness of their repeated promise that no leaseholder should have to foot the bill My constituency of Vauxhall is only a few miles from Grenfell, but today we still have hundreds of unsafe buildings. I have been contacted by over 200 leaseholders living in more than 26 different housing developments, some with multiple high-rise blocks. Each and every one of those leaseholders is now spending their third lockdown in a home with serious safety defects, not knowing when their building will be fixed or even how they will pay for it—or why they should pay for it. In the meantime, they have to pay eye-watering costs to put interim safety measures in place. One block in Vauxhall has to pay over £10,000 per flat just to install a 24-hour waking-watch system. Another block paid £130,000, before spending an additional £40,000 on an alarm system. These interim costs alone are causing so many leaseholders to become bankrupt, not to mention the additional stress and anguish. That is why one of our demands today is for a waking watch fund to be fast-tracked to leaseholders as a matter of urgency There is so much more that the Government can and should be doing to right the wrong that is the national cladding scandal. They have the opportunity in the forthcoming Fire Safety Bill to support amendments from Members across the House. I urge all colleagues to show their support, and to care and stand up for their constituents, by voting in favour of today’s motion.
ParlaMint-GB_2021-02-01-commons.u203	We all remember the horrific scenes at Grenfell, and we can never allow that to happen again. For me, this comes down to one simple fact: leaseholders across the country are currently trapped in homes—for many, their first home—that they cannot sell, rent or otherwise financially dispose of. Many are being asked to pay extortionate costs for remedial works or temporary solutions such as waking watches. Sadly, some have already been forced to take what they see as the only way out: financial ruin through bankruptcy It cannot be right that anybody is trapped in a home that they cannot financially dispose of, able to escape only through bankruptcy, especially when the reason behind it is not their fault. If this trend continues, many more—potentially thousands—could be forced into bankruptcy, with thousands of homes sat empty across the country that, accordingly to lenders, are financially worthless. I completely accept that the solution is going to be far from simple, and that the reason these blocks are facing these terrible circumstances are many and complex. Time prevents me from going into them in any great detail, but they are part of the reason why I support the amendments to the Fire Safety Bill tabled by my hon. Friends the Members for Stevenage (Stephen McPartland) and for Southampton, Itchen (Royston Smith) I want to raise a particular example of leaseholders in my constituency of Carshalton and Wallington. I do not want to name the block specifically, because my constituents are currently going through legal proceedings and I do not want to prejudice the case. Like thousands of others, these leaseholders live in a block that is under 18 metres in height and has some cladding on it. We have had difficulty communicating with the builders and the owners, and the lenders are refusing to budge, leaving the residents trapped in homes with what has now been revealed to be a fraudulent EWS1 form. Many sales have fallen through, the mental health of residents is deteriorating, and some are already facing the terrible prospect of bankruptcy There are stories like this from all over the country and especially here in London. This is not about apportioning blame, and I welcome the support that the Government have put in place so far. Blocks such as the one in my constituency sadly have not been eligible for any specific support so far, and it is clear that developers, lenders, freeholders and so on are not stepping up to their responsibilities so far; they are hoping that the Government—[Inaudible.] They certainly did not cause this problem, and neither did leaseholders. Sadly, it falls on us to find a solution. I welcome the steps that the Government have taken and I urge them to move at pace to ensure that constituents such as mine are not left behind. In all this, charging remedial costs back to the leaseholders or using a system of loans is not the answer. My leaseholders in Carshalton and Wallington did not cause this problem, and they must not bear the cost of fixing it.
ParlaMint-GB_2021-02-01-commons.u204	I thank the shadow Front Bench for this incredibly important debate. My hon. Friend the Member for Liverpool, Riverside (Kim Johnson) also wanted to speak today, and I want to put on record the excellent work she is doing for our city on these issues—in particular, in challenging the obscene service charge hikes of tens of thousands of pounds that are being passed on to leaseholders. In Liverpool, an estimated 8,000 people are affected by unsafe cladding, and the distress and anguish felt in our community as a result is difficult for me to do justice to. People are living and sleeping in fear, and when they wake up they feel threatened by the financial costs Rituparna Saha from the UK Cladding Action Group told the Housing, Communities and Local Government Committee, in a heartbreaking evidence session, that “I would summarise my life as pretty much a living nightmare. I have spent every single waking moment when I am not working my day job trying to figure out how to make my home safe without going financially destitute. Unfortunately, my experience is not an uncommon one; it is shared by thousands of people just like me… We are constantly anxious, both for the safety of our families living in these dangerous buildings and also the pretty much blank cheque that we are being forced to write to fix defects that were not of our making.” The HCLG Committee’s November report on the draft Building Safety Bill recommended: “The Government must recommit to the principle that leaseholders should not pay anything towards the cost of remediating historical building safety defects, and, in order to provide leaseholders with the peace of mind they deserve, amend the Bill to explicitly exclude historical costs from the building safety charge.” I urge the Minister to take on board the many powerful contributions that we have heard in the debate and take up the actions contained in the Opposition’s motion. How can the Government sleep easily in their beds knowing that thousands of tenants and leaseholders cannot sleep at all?
ParlaMint-GB_2021-02-01-commons.u205	We have all heard the adage “An Englishman’s home is his castle”. I am sure that there must be a more gender-inclusive update of that saying, but nevertheless, it is as true today as it has always been, which is why so many aspire to be homeowners. But it goes deeper than aspiration: it is about meeting our fundamental needs as human beings. Abraham Maslow identified with his hierarchy of needs that housing is vital for shelter, security and stability, and is a place to love and nurture our families and a way of being rooted that gives us a feeling of belonging to our communities. I was pleased to hear the Minister for Housing recognise that in his opening remarks. So when an event as devastating as Grenfell happens, for all those who sadly perished, those left behind and the scars etched on the community, it is right that we move as swiftly as possible with inquiries and implement lessons learned. I am pleased that from conversations I have had with the Housing Minister, he is very mindful of the need to bring forward legislation, but that the complexities of cladding on buildings and all the sectors involved in remediation requires it to be done in a comprehensive and thoughtful way While the subject of the debate today is not a widespread issue in Guildford, I speak on behalf of my constituent, Jasmin. Jasmin is a single mum who, through a change in her personal circumstances, bought a flat through a shared ownership scheme and works hard with a dream of fully owning it and having something to pass on to her daughter one day. The four-year-old building that she lives in has failed to receive a EWS1 form because of insulation under the cladding. She is very concerned that all the time, energy and effort she has put in could leave her bankrupted if she is presented with a bill for remediation and stuck if she is unable to be sell. This has been made more difficult by the fact that the housing association has been silent and the developers have refused responsibility for remediation I thank the Minister for the understanding that he has shown of how much this wide issue impacts on lives and urge him to continue to speak to all the sectors involved, so that a solution can be found for my constituent and many like her in the country. However, it is not just for Jasmin that I speak; I am mindful of new developments proposed in the heart of Guildford that will be built upwards. I hope that it will be reassuring for my current and future constituents to hear of the announcement of a building safety regulator and a construction products regulator. It is right that we desire to build beautiful, but it is a must that we build safe.
