ParlaMint-GB_2020-05-20-commons.u1	What recent discussions he has had with the Scottish Government on the covid-19 outbreak.
ParlaMint-GB_2020-05-20-commons.u233	Order. I ask the hon. Gentleman to bring his remarks to a close. I thank him for his contribution, but we must move on. I am now introducing a time limit of five minutes, and I advise hon. Members who are speaking virtually to have a timing device visible.
ParlaMint-GB_2020-05-20-commons.u234	Now that we have left the EU, it seems that 20 continuity agreements have been signed with some 48 countries and that a further 20 have been negotiated, so will the Minister confirm whether there are any countries that do not wish to deal with us at the current time? It seems that Canada and Japan are refusing to be rolled over, so to speak, and want to start negotiating from scratch, so should we not now treat these unsigned countries as new FTAs, rather than including them in this EU roll-over package? Does not clause 2 in effect represent a moment of time that has now passed? In that regard, I think we should take this opportunity to recognise the friendly and co-operative attitude of those countries, such as Switzerland, Israel and Georgia, that did sign up before Brexit I understand the need for statutory instruments to be used to effect these roll-overs, but will the Minister confirm that, for the most part, they will be transcribed into our laws by the withdrawal Act, and that these SIs are effectively intended to deal with deal variations? The problem that we debated on the Trade Bill two years ago was that the statutory instruments’ scope could be so wide that they could be used as a Henry VIII provision for anything to do with the roll-over countries other than tariffs. Indeed, I cannot see how it is possible that they could not be used as part of a deal to issue visas, say, in return for trade access, or indeed to add on military or intelligence provisions. I believe that this could apply to amendments made to these deals for five years, even after they have been initially concluded. For instance, I do not see that there is any level of deviation from the EU deals with such counties that would necessitate a Constitutional Reform and Governance Act 2010 process. This situation led to no little disquiet last time this Bill came around, and the Government eventually came up with amendments that have now only partly been readopted When the Bill was debated two years ago, the first change that was made was to make the SIs affirmative. That has been retained, which is welcome. The second change was to have a three-year sunset period, and that has now been changed to five years, which seems unnecessary. The third change was to have reports produced by the Minister before the first SI, setting out all the proposed changes. In practice, this is sensible in that it will assist scrutiny and also provide a framework if there are multiple SIs. The Minister advised me that he was supportive of using reports, but he did not think they needed to be legislated for. Parliament might like to look at that again. The fourth change was to provide that these reports should be laid 10 sitting days in advance of the first SI. This would allow comment to be made before the SI was laid, which would be more effective from a scrutiny point of view. Ministers have suggested that this procedure will be used to tie up loose ends or legislate for trade-related variations, but they will appreciate that we as legislators need to scrutinise this legislation with an eye on what it could be used for When the Trade Bill was debated two years ago, Parliament was promised a new FTA scrutiny regime, yet we have not put that in place, despite trade talks with the US starting. Now that Brexit has happened, the Commons has lost its European standing Committee, which reviewed the EU’s monitoring and negotiation of trade agreements. No equivalent Committee has been formed to replace it, and we have obviously lost the scrutiny previously provided by the EU itself. Keep in mind that the European Parliament’s consent to a new treaty is needed, in a way that does not happen in the UK, where there is no obligation to inform or consult Parliament, no structures for reviewing treaties, and no debate or approval needed prior to signature. There is only the CRAG process to delay ratification, which, in its April 2019 report on scrutiny of treaties, the Lords Constitution Committee described as “anachronistic and inadequate” I am not calling for an end to the prerogative power to agree treaties—although we need to appreciate that many pressure groups are—nor am I calling for Parliament to be able to amend draft treaties as the US Senate can, but I am calling for a proper process whereby policy objectives of treaty negotiations are published at the outset and treaty rounds are reported on. If Parliament is not to get a veto, at least CRAG should be reformed. I suggest that should include a new Commons treaty Committee and extending CRAG debates and presentation periods so that they are made more user-friendly. Brexit should involve more UK scrutiny of FTAs, not less.
ParlaMint-GB_2020-05-20-commons.u235	As we all know, this is a reheated Trade Bill. Sometimes a meal can be all the better for the reheating—it can be better the following day—but sadly, despite all the advice and help that was given on the Trade Bill in the last Parliament, that has not come to be this time. It remains much a dog’s breakfast, with great criticism attached to it and much under-delivery on what is required The Bill essentially has two strands to it: the roll-over of free trade agreements and the creation of the TRA. Before we go too far on the roll-over, we almost have to take a step back. If we are indeed looking to roll over EU trade agreements that currently affect us, are we not just admitting that the EU has done quite a good job of arranging trade agreements—so much so that we want to copy them to the letter In fact, when we go to copy some of the trade agreements, we find we cannot replicate them. I remember raising in Committee the trade agreement with South Korea, which states that, in the automotive sector, if motor vehicles have 55% local content, the tariff can be exported. Alas, the UK alone cannot do that. The EU can do that—it has a 500 million-odd population and consumers, and the parts come from all parts of its manufacturing base—but the UK cannot take advantage of a rolled-over EU-Korea deal the way it is written at the moment. There are many things lacking at that stage On the Trade Remedies Authority, again, much advice has been given about what could happen and what is not happening, and it is a shame that the Government are not listening and refuse to listen to many people. There are many concerns, particularly in the ceramics trade. The TRA was set going on a wing and a prayer. We could have had Brexit long ago, and the reality is that the UK was not prepared. It still is not prepared We do not have the scrutiny in place. We do not have the scrutiny that my Committee called for in the last Parliament for the devolved Parliaments, but even if we take a Westminster-centric view of this, we do not have the scrutiny for parliamentarians at Westminster either. Again, the Government have missed the opportunity to get this right, and that is a huge pity. It could have been enshrined in the legislation. It is not enshrined. The opportunity has been missed There was an opportunity to avoid the pitfalls of the Transatlantic Trade and Investment Partnership. The European Union and many others have learned that trade negotiations conducted in secret do not get very far and that the population will eventually rebel, as was seen with TTIP. People have learned, but sadly it seems that the UK Government have not learned from that or, indeed, from the passage of their own Bill, which fell at the last parliamentary election, back in December NHS procurement should be taken care of. Wearing my constituency hat, a lot of constituents have written to me with concerns about the NHS—about making sure that there are NHS-specific carve-outs, that there is no negative listing affecting the NHS, that there are no standstill clauses, that the NHS is immune from the investor-state dispute settlement possibilities, and that there is no Americanisation of our drug situation in the United Kingdom. Particularly at this point, when the NHS is fighting coronavirus, but at all times in fact, it is incumbent on Parliament and the Government to back the NHS and make sure it is safe and protected The Secretary of State mentioned the USA trade deal. We have to take a step back and look at exactly what has been achieved, or the Government have tried to achieve. The USA trade deal will add only about 0.2% to the UK’s GDP, compared with the 6% that will probably be lost after Brexit—about one thirtieth of that. Given that America represents a quarter of the world’s GDP, even a trade deal with every country in the world will not make up the huge gap left by Brexit Finally, the Secretary of State began by saying she would do whatever it took to keep Britain trading, as she put it. Surely, at this point, “doing whatever it takes” would include staying away from this disastrously ruinous Brexit, or, at the very least, having the humility to postpone it during the pandemic. This hell-for-leather approach of going for the cliff edge this December is not what business needs at this time, or what the population needs. It is not what any of us needs at this time. If the Government are still too proud to realise that Brexit is a mistake, they should at least delay it, perhaps for one or two centuries.
ParlaMint-GB_2020-05-20-commons.u236	It is my great privilege to follow my friend and Chair of the International Trade Committee in this incredibly important debate. The Leader of the House said earlier that these proceedings sometimes appear stilted and scripted when done remotely. It is my challenge over the next five minutes to prove him wrong In my part of Lancashire, international trade is critical for jobs and prosperity. I am host to fabulous, world-class companies, such as BAE Systems and Westinghouse, the nuclear fuels manufacturer, and smaller companies such as Tangerine Holdings. The Bill is very much about the whole nature of international trade—getting that right and building a framework that will stand the test of time—and that is one reason I support its Second Reading today It is also my privilege to serve as one of the Government’s trade envoys. Indeed, the Secretary of State, in her opening remarks, referred to Chile as an example of one of the 48 countries with which a continuity agreement has been put in place. I would say to her that some of my other countries, through the Andean trade continuity agreements, such as Peru and Colombia, also have arrangements to ensure a smooth transition when the UK eventually leaves the EU at the end of this year T hat has not happened by chance. Those agreements are in place because of the dedication and hard work of people in the Department, not just in London, but especially in post. I take this opportunity to pay tribute to the men and women, many of whom are nationals of the countries they represent, who work tirelessly and understand the nature of their countries in a way that is sometimes difficult to comprehend from London. Their dedication and hard work have got us to where we are today. That sometimes gets missed We also have to recognise that the Trade Bill is only part of the picture. Measures such as the many double taxation agreements—there is one in place with one of my countries, Colombia—are really important to ensuring a smooth transition and the financial flows that will come from trade. The Government have been working very hard on that in the last couple of years, but there is still more work to be done in other key markets across the globe There has been much fixation in recent years on trade deals, but they are only part of the picture; much of this is about a smooth transition from the EU arrangements to what comes next. If we are unable in this House to demonstrate to our key countries and partners across the globe that we can pass a piece of legislation, why on earth should we be asking our officials and trade envoys to make representations to senators and presidents to get agreements in place so that when we leave we can have that smooth transition? I therefore urge the House to get behind the Bill and to give it a Second Reading unamended I would like to take this opportunity, however, to challenge the Government on how we plan to use some of the data-collection powers in the Bill. For example, I would like to see some of the data sharing in HMRC to be used to reshape and rescope bodies such as UK Export Finance, because in all of my key markets we only ever reach a tiny percentage of the credit facilities that we say are available. Given that London is the global capital of fancy credit mechanisms, I urge the Minister—it is great to see him in his rightful place—to use some of the expertise in the City and to challenge whether UK Export Finance needs to be given the opportunity to evolve in order to take advantage of some of the real opportunities that are out there Madam Deputy Speaker, I have followed your example and set a timer, so in my closing seconds let me just say that free trade is important, not just as a sign of national prestige, but because it creates jobs and generates the wealth to pay for public services at home and, more importantly, abroad. At a time of rising unemployment, my goodness, we need free trade more than ever, so I will be supporting this Bill in its passage through Parliament.
ParlaMint-GB_2020-05-20-commons.u237	According to research from the Harvard Kennedy School’s Growth Lab, British exports have been declining, concentrating into a smaller number of products and acting as a drag on our economic growth. Remarkably, in the past decade the UK has added only two new export products, and, perhaps embarrassingly, our main new export has been bovine, sheep and goat fat. I declare my interest as an amateur vegan, but I suggest that an economy that is as complex and capable as ours really ought to have done better We know that economic growth can be driven by export diversification, but to do that we need an active industrial strategy that works with the market to make clear what we actually want to achieve while investing in workers with the skills to do it. Some colleagues will say, “Ah, but it was the European Union’s job, and now that we are taking back control, it will be much better and the Bill will help us do that.” I would respectfully compare the UK’s record to, for example, that of France, which is, of course, a member of the European Union. During the same timeframe in which the UK majored on bovine, sheep and goat fats, and added around $2 per capita, with a total UK market of $104 million, France has managed to add 10 new projects, creating a new $1.9 billion market and growing GDP per capita by $28. It has therefore been a question of intent and ability, not a question of power Based on current capacity, the UK has a pretty good spread of manufacturing capabilities, from chemicals and machinery to automotive, gas turbines and aerospace, but the bulk of our goods-based growth has come from aerospace and automotive, whose capacity relies on European supply chains. Based on current Brexit negotiations, those supply chains are at risk, as well as under added pressure from the pandemic. The Government have largely relied on services-based growth in our economy, which of course is an important part of what we do as a country, but they took their eye off the ball in respect of British manufacturing, resulting in a weaker and more exposed market for goods, exports and economic growth That is the context for this Bill, because the questions that we are considering today have been with us in one form or another for the past four years. Most of the provisions in front of us today first came before the House a few months after I was elected in 2017. By any measure, this legislation has taken too long. The priorities given force in the Bill, and which even now run through all the arguments on trade made by those on the Treasury Bench, are the same arguments we have heard over the period of trading inadequacy that I have just set out. The economy is in recession and we are on the cusp of a once-in-a-century collapse in output. The key test is whether the Government are committed to bringing back British manufacturing as a core component of the British economy In closing, I would like to ask the Minister to answer a number of questions when summing up the debate. First, will he set out for the House whether Parliament will be given the right to full and transparent scrutiny of the trade negotiations, and confirm whether that will be by a new or existing Committee of this House? As a former member of the European Scrutiny Committee, I note that we had such a function when the European Union was negotiating trade deals, but that does not seem to be replicated in the Bill Secondly, local government leaders are in the process of setting out recovery plans post pandemic. What conversations is the Department having with city leaders to ensure that those leaders on the ground have input into decisions made in Whitehall Thirdly, Ministers have long said, whether in Brexit or trade debates, that the Government will stand by their commitment to human rights, workers’ rights and environmental protections, but this Bill does not mention climate change or workers’ rights at all. Britain has an opportunity to set the global expectation on these issues. I would like to understand why the Government have not included such provisions. There is a significant opportunity to couple climate diplomacy with export opportunities as we work to help other countries to transition to net zero. I hope the Minister will confirm that these opportunities are also being considered by the Department As an anti-modern slavery champion for the Commonwealth Parliamentary Association, I have seen first hand the risks of global supply chains that do not have adequate protections and transparency built in. No work or business in the UK wants to be associated with illegal trafficking and exploitation of some of the most vulnerable people on the planet. I hope the Minister can set out how the Government intend to ensure that these protections are included in all future trade deals.
ParlaMint-GB_2020-05-20-commons.u238	You do not need to pay to trade: I welcome the policy behind this legislation and the Bill itself, which makes it very clear that the United Kingdom wishes to be a positive trade partner with as many countries around the world as would like a free trade agreement with us. This Bill ensures that we can carry across the FTAs that the EU has with a range of countries that naturally fall to transit to us as well as to it. Many of us were told that we were wrong when we argued that during the referendum and afterwards, but the Government have proved us right in that of course those countries wish to roll over those agreements. In one or two cases, they wish to go considerably further than the agreements we already have. I welcome the Government’s positive response to that to see what more can be added so that we can have a better deal as we leave the European Union than we had when we were in it. We must see the policy background to this Bill as including the most important letter written this week by our trade negotiator to Mr Barnier about the parallel negotiations for a possible UK-EU free trade agreement. It is an admirably lucid letter which makes it very clear that, just as in this Bill, we are not sacrificing our fish, offering special payments or agreeing to accept the laws of other countries in order to create a free trade agreement with them, and neither should we do so in the case of the European Union. We voted very clearly to leave the single market and to leave the customs union. Many of us who voted that way strongly believed then, and believe even more so today, that we want a free trade-based agreement with the European Union if that is also its wish, but we would rather trade with it under WTO rules and the excellent new tariff we have set out for external trade if it wishes instead to claim that we need to be some kind of surrogate member taking its laws, paying its bills and accepting many of its views on matters like our fish resources It is more likely that we will get a free trade agreement from a reluctant European Union just before the deadline at the end of the year if we have made great progress in negotiating free trade deals elsewhere. That is why the Government are absolutely right to respond very positively to the United States of America, to Japan, to Australia, to New Zealand and to the Trans-Pacific Partnership. In each of those cases, the counter-party is very willing. In each of those cases, there are precedents for good agreements between other parts of the world and those countries, and we can build on those and our own models for a positive free trade arrangement The EU will see how relatively easy it is to make such progress with those countries we have agreements with. When we were in the EU, the EU had not got round to having agreements with some of those countries—big countries such as the United States of America. When we are outside the EU, that will make the EU even keener to want to have a free trade agreement with us. Rather reluctantly, it will have to admit that it has been making a mistake over these past years in trying to make our exit so protracted and so difficult, and claiming that you do need to pay for trade I will vote for the Bill as vindication that, of course, many countries wish to trade with us on as free a basis as possible. I will vote for it as part of a much bigger package of a free trade loving United Kingdom driving a free trade agenda around the world. I will vote for it because it sends a clear message to the European Union that it is negotiating in the wrong way and running the danger of ending up without a free trade agreement that is rather more in its interests than ours, given the asymmetry of our trade Free trade is a good way to promote prosperity. It is even more vital now we need to recover our economies from the covid-19 crisis. I urge the EU to understand that and to co-operate sensibly, just as I give the Government full support to press ahead in negotiating deals with all those great countries and regions of the world that think Britain is a hugely important future partner, and where we see fast-growing trade that can enrich both sides.
ParlaMint-GB_2020-05-20-commons.u239	Several of my hon. Friends have made the point that current parliamentary procedure is totally inadequate if we are to scrutinise properly and have proper parliamentary oversight of trade deals negotiated by the Government. We are, of course, supportive of mechanisms that will enable the UK to transition from being a member of the EU so that we can enter into our own trade agreements and into international trade conventions through organisations such as the WTO. This Bill, however, does nothing to promote transparency or that proper scrutiny that this House and the country deserve. Therefore, I, and many of my right hon. and hon. Friends will not support the Bill The fact that the Bill is being pushed through in the middle of the coronavirus pandemic means that the importance that would normally be attached to such legislation is being overlooked. The current life-and-death crisis, which has been exacerbated by this Government’s bad management, is totally overshadowing it. The crisis not only overshadows this Bill, but will overshadow much of the legislation that will pass through this House in the coming weeks and months. In addition, the inevitable negative economic impact of a Brexit cliff edge, following the end of the EU exit transition period, can easily be pinned on the coronavirus crisis The Bill will lead to trade deals that will have huge implications for our economy and our global alliances well into the future. At the moment, the current and planned continuity trade talks between the UK and the EU are taking place at the same time as preliminary discussions between the UK and United States. The crisis provides perfect cover from view, so those discussions can happen with little scrutiny by this House and little attention from the media to inform the public As much as I would like to see a good trade deal with the EU, I am not one of those arguing for an extension of the transitional period. If I thought that the Government wanted anything that looked like a good trade deal with the EU, an extension would probably be a good idea, but I do not think they do. Many Conservative Back Benchers and some of those on the Government Front Bench do not want a deal with the EU and would be quite happy to throw their lot in with any trade deal with the United States—the right hon. Member for Wokingham (John Redwood) is among them If the Conservative party wanted a good EU trade deal, it could have had an agreement with the Labour party last year when we were debating our EU exit, and the path would have been set—but the Government did not want that. Now, of course, in the Government’s proposals for a comprehensive free trade agreement with the EU, they are asking for many of the benefits of EU membership without the costs that that membership brings. Having said that, there will still be a large divorce bill running into billions of euros for the UK to cough up, and the clock is still ticking. My bet is that any agreement on trade with the EU will be a fig leaf to hide the embarrassment of the years of discussion and negotiation The elephant in the room is, and always was, the United States and what the current President wants for the future. I ask myself, “Why are there two sets of trade discussions—UK-EU and UK-US—going on at the same time?” The Secretary of State for International Trade may claim that the fact that the discussions with the EU are already under way might give the UK some leverage to get better terms from the US in specific areas but, in a likely no-deal outcome or the fig-leaf agreement that I mentioned earlier, any discussions seem extremely unlikely In addition, for the moment, the US under President Trump will probably seek only a preliminary agreement that he can wave around for re-election purposes in November. However, if Trump wins again, he will demand that the UK has minimal trading arrangements with the EU and that the UK conforms with US norms through mutual recognition agreements, replacing EU regulations on goods, services and agricultural products, for example. This Bill is leading the UK down the slippery slope of a Government who are becoming less accountable to Parliament and the people of this country, trade relations that are not in the best interests of the people of this country and an economic future over which we have less and less control.
ParlaMint-GB_2020-05-20-commons.u240	I wish to speak in support of the Bill, but also to address the importance of scrutiny by Parliament of digital trade provisions in proposed future UK trading agreements. This is a vital and fast-moving sector that is very important to the British economy. Technology touches almost all aspects of our national life, as indeed these proceedings themselves make clear One of the most important new trade agreements being negotiated right now is the one with the United States, but we need to make sure that the digital trade provisions of a deal do not impact on other areas of domestic law, in particular our ability to legislate to create new responsibilities for large social media companies to act against harmful content online. The example of the recently negotiated trade deal between the USA, Canada and Mexico, which I understand is the basis for the start of the American approach to negotiations with the UK, shows how the danger can lie in the detail of these agreements The agreement states that the signatories shall not “adopt or maintain measures that treat a supplier or user of an interactive computer service as an information content provider in determining liability for harms related to information stored, processed, transmitted, distributed, or made available by the service, except to the extent the supplier or user has, in whole or in part, created, or developed the information.” What that means, in short, is that while a social media platform can be used to disseminate harmful content, and indeed the algorithms of that platform could be used to promote it, the liability lies solely with the person who created that content, and it could be impossible to identify that person, except perhaps through data held by the social media platform they have used. In this context, the harmful content being shared on social media could include a wide range of dangerous material from content that promotes fraud, violent conduct, self-harm, cyber-bullying or unlawful interference in elections. This provision was included in the US-Canada-Mexico trade agreement, despite opposition from prominent members of the United States Congress, including the Speaker, Nancy Pelosi, and Senators Mark Warner and Ted Cruz The provision is based on the provisions in US law known as section 230 of the US Communications Decency Act. Section 230 provides broad unconditional immunity to internet platforms from civil liability for unlawful third-party content they distribute. This sweeping immunity gives internet-based entities an unnecessary and unfair commercial advantage over various law-abiding bricks-and-mortar businesses and content creators. Section 230 immunity is unconditional. The platform can even be designed to attract illegal or harmful content, to know about that illegal or harmful content, have a role in generating and editing it, actively increase its reach and refuse to do anything about it, profit from it and help hide the identity of third-party lawbreakers, and still not be civilly liable The grant of immunity for online services under section 230 was supposed to be in exchange for the act of voluntary filtering in a proactive and effective way, yet we all know that there are constant complaints about the failure of major tech companies to act as swiftly as we would like to see against content that could cause harm to others. If such a provision were required in the UK-US trade agreement, it would severely limit our ability to tackle online harms, as we would be prevented from creating legal liabilities, or to tackle companies failing in their duty of care to act against harmful content This prompts the question whether international trade agreements should be used to fix such important matters of domestic policy. There is growing cross-party consensus on that point in the US Congress as well. In the UK, these should always be matters on which Parliament has the last word. Indeed, in America, those who have advocated the inclusion of section 230 provisions in trade agreements, do so knowing that they will make it harder for them to be removed in US law itself. The Secretary of State for International Trade has assured me that the Government will not accept trade agreements that would limit the scope of Parliament to legislate to create responsibilities to act against harmful content online. I agree with her that that should be our priority, but we need to understand that that will require a different approach to the negotiations on digital trade from that which was followed by Canada with America. We should not include the provisions based on section 230 in a UK-US trade agreement Having trade agreements for digital services, data and technology with other major markets around the world is greatly in our national interest, but we need to make sure that they give us the freedom to act against known harms and the freedom to enforce standards designed to protect the public interest, just as we would seek to do in any other industry.
ParlaMint-GB_2020-05-20-commons.u241	It is a great privilege to take part in this debate. This Bill and this policy area will be one of the most important for my rural constituency of Montgomeryshire. Trade with the outside world and continuing trade with the EU is incredibly important to my agricultural community, as it is to other services and to manufacturing goods At the outset, I would like to welcome the 20 continuity trade agreements we have already rolled over. I would very much welcome an update from the Minister on the remaining, with an honest assessment of trade treaties, perhaps with Canada and other countries. I would also like to take this opportunity to pay tribute to David Frost, Sir Tim Barrow and the Parliamentary Office of Science and Technology in Brussels for their continuing work. People talk about a lack of scrutiny, but it took me less than 20 seconds to check the update on that particular treaty, check the draft legal texts that are published on the website and read the most recent correspondence from David Frost to his counterparts. I cannot see a treaty being dealt with in so much light as that one currently is I want to focus my contribution on agriculture under the scope of the Bill and on trade policy going forward. We have not done trade policy directly as a Parliament, as a Government or as a country for some 40 years. We devolved or evolved or passed that power over to the European Union. Any Member or person in the United Kingdom who wants to hold up the European Union as a body one would want to replicate in terms of scrutiny obviously has not been participating in public discourse over the past five years I welcome much of what is in the Bill, but I seek reassurances on agriculture in particular. We produce high quality produce in this country and we are proud of our exports. We are proud of what our farmers are doing in the current covid-19 crisis to supply our domestic suppliers. I think public discourse on food supply is changing. Public discourse is changing on the robustness and the resilience of our supply networks. We have seen first-hand, through the work of the International Trade Committee, what has happened to some trade deals when national Governments have looked at their domestic supplies of pharmaceuticals and food stuffs during this crisis. We need to be very mindful of that as we put new trade deals in place Trade is vital for carcase balancing, the ability to sell cuts that the UK market does not want, and for dealing with demand shocks and seasonal issues. Trade is hugely important to my farmers, but I feel that because this subject has been dealt with in the European Union over the past 40 years there is a lot of misinformation. There is not a great deal of clarity on trade policy or how trade deals are put together. I implore the Minister and the Government to put in place some kind of communication package to explain what it means now that we have these important powers and what it means to be negotiating with the world as UK plc Last week there was a conflation of import standards with domestic standards and tariffs. It was hugely complicated and hugely frustrating to deal with that conflation of information. In a domestic Bill dealing with import standards, and sanitary and phytosanitary issues on top of that, we need to be clear with our constituents and our businesses what standards we are talking about and what impact the deals will have on our agricultural communities. I implore the Minister not just to engage with the farming unions—the Farmers’ Union of Wales and the NFU Cymru in my case; and I know the Minister has been on Zoom with them this week—but to build a relationship directly with farming communities, too. The unions of course conduct a great political campaign to promote their members’ views, but we need to engage directly. The unions of course conduct a great political campaign to promote their members’ views, but we need to engage directly We must maintain our import standards. I very much welcome the Minister’s public commitments, made at the Dispatch Box, to maintain the bans on chlorine-washed chicken and hormone-injected beef. We must be clear that those import standards are staying and that we have the back of the agricultural community in this country. While we look at the resilience of our supply chains and the great opportunities that new trade deals with the outside world present, we must reassure and earn trust. Minister, I have to report back that, in the agricultural community, mainly because of misinformation and miscommunication, we are looking to you to earn that trust and make us some great deals.
ParlaMint-GB_2020-05-20-commons.u242	The Trade Bill is a bad Bill. It is bad because it fails to establish a proper framework whereby Parliament can scrutinise, ratify and implement all future international trade treaties; because it creates one of the weakest trade remedy authorities in the world, and because it pretends that it is necessary to roll over our existing agreements with third countries through the EU. So necessary is the measure that the Minister will have great difficulty when summing up in explaining how the Government have managed to roll over the majority of them before the Bill has passed into law. This is legislative prestidigitation of the highest order. The Government say that they need the Bill to do what they proudly boast they have already succeeded in doing without it. The truth is that the Bill is about the Government’s abrogating to themselves all future power in relation to trade agreements, freed from the inconvenient scrutiny of Parliament The procedure for ratifying international agreements is set out in the Constitutional Reform and Governance Act 2010—CRAGA. It stipulates that any treaty need only be laid before Parliament for 21 sitting days. If there is no vote against it during that period, it passes into law. But the Government decide Parliament’s business and can simply arrange that no vote takes place. When CRAGA was introduced, a huge number of democratic scrutiny processes were in place through the European Union. There was the European Council’s negotiation mandate and formal consultation procedures. The Committee on International Trade—the INTA Committee —scrutinised treaties before passing them to the European Parliament to vote on. Treaties then came to the European Scrutiny Committee in the Commons for further examination before the CRAGA process ratified them. Under the Bill, all that is left is the rubber stamp of CRAGA. All other layers are gone. The Bill should try to replace those layers. It cannot be right that there is no democratic oversight whatsoever of trade agreements Members of Parliament may disagree about whether an agreement will benefit jobs or adequately protect standards, but they should have at least the right to debate those matters and hold the Government to account. The Bill denies us that right. This is not Parliament taking back control, but Government snatching it from Parliament. That is why I believe the Bill is dangerous Let me remind Conservative Members of what they claimed to be fighting for at the last general election. They said that sovereignty meant not accepting the rulings of supranational courts such as the European Court of Justice. Do they therefore agree with us that the use of investor-state dispute settlement mechanisms in future trade agreements should be ruled out in any form? They give higher rights to foreign investors than to our own domestic companies, allowing them to sue our Government in private courts for policy decisions that have an impact on their potential profits. So much for gaining freedom from a supranational court. Conservative Members said that Britain had to be free to chart its own future in the world. Do they therefore agree that negative lists of services should be banned? It is impossible to specify in a list a service that has not yet been invented. The negative list process would stop the UK Government making a decision about how such services should be provided in future. So much for making our own way in the world Conservative Members said that they would safeguard our domestic environmental protections, food safety regulations and animal welfare laws, but simply keeping our regulations for our farmers here does not protect them in a free trade agreement. Allowing the importation of goods produced elsewhere to lower standards will undermine our producers and lead to a race to the bottom—so much for safeguarding our food and welfare standards The Government said they would not sell off the NHS, and of course they cannot. The NHS is not an entity that can be sold, but free trade agreements can contain an innocuous-sounding provision about the restructuring of pharmaceutical pricing models. That is the way to undermine the health service—by downgrading our bulk purchasing power against big pharma companies. So much for the NHS being “safe” in their hands Finally, does it follow that if this Bill is enacted, by necessity we will end up with all these measures? No, it does not. It does mean, however, that if they exist in any proposed FDA, Parliament will have no means of stopping that. This debate is about more than trade; it is about the balance of power between Parliament and the Executive. It is about the sovereignty of Parliament—something that every Tory who will vote for this obnoxious Bill swore in their manifesto to defend.
ParlaMint-GB_2020-05-20-commons.u243	I am afraid we cannot hear Richard Graham at the moment, so I will now call Robert Courts.
