ParlaMint-GB_2020-09-02-commons.u1	What recent assessment he has made of the strength of the economy in Northern Ireland.
ParlaMint-GB_2020-09-02-commons.u289	I thank the hon. Gentleman for his very focused and legitimate question. Obviously, the UK is seeking to lead at every level. We have the trials and the research that our world-beating scientists are undertaking, particularly Oxford and Imperial, but there are others as well. On top of that, one of things we have been working on, through our contributions both to CEPI—the Coalition for Epidemic Preparedness Innovations—and also through the Gavi summit, which I have already mentioned, is to make sure not only that we can pioneer and innovate a safe and usable vaccine, but that we can raise the money to make sure that there is a fair and just, equitable distribution. We want to make sure everyone in this country is immunised by this vaccine, but we also want to make sure that is true for other countries around the world. I think that is particularly important both for the moral reasons that, I think, he and I agree on, and for practical reasons, which is that it would safeguard us—Europe and the people of this country—from a second wave of the virus.
ParlaMint-GB_2020-09-02-commons.u290	Given the importance of education in the work with the new Department, does this mean that the creation of the new Department will lead to an urgent review of UK-funded material supplied to Palestinian teachers, and will it lead to the publication of the UK interim report into this subject, however valueless that may be?
ParlaMint-GB_2020-09-02-commons.u291	Last week, I was in Jerusalem and in Ramallah on the west bank. I raised this issue of textbooks with the Prime Minister—Prime Minister Shtayyeh, whom I worked for 22 years ago—and there is an EU-related review ongoing. We have made it very clear that we want to see full co-operation and engagement with that. We are looking very carefully at the outcome of it, and of course we will then be able to assess what we do on aid. He is absolutely right to raise the point, and I am hopefully in a position to give him the reassurance he needs.
ParlaMint-GB_2020-09-02-commons.u292	Water, sanitation and hygiene funding is essential for achieving disease control and prevention, poverty reduction and gender equality. I am dismayed that the first act of this new Department—this takeover of DFID by the FCO—has been to cut the UK’s foreign aid budget by £2.9 billion. Will the Secretary of State demonstrate his commitment and prove his commitment to poverty reduction by committing to increase spending on water, sanitation and hygiene projects?
ParlaMint-GB_2020-09-02-commons.u293	What I would say first is that of course we would have a review of our aid budget as a result of the impact of the 0.7%; that comes with the target. I think the hon. Member’s own Front-Bench team have accepted that. What I can tell her, though, is that we were very clear not just to salami slice budgets. So when I took the chairmanship of the review that we conducted with Departments across Whitehall, we preserved focus and the funding for the bottom billion—the poverty reduction for the poorest around the world. We preserved and we made sure that we safeguarded the money prioritised for climate change, for girls’ education, for covid-19 and also for a range of the “force for good” campaigns for media freedom and girls’ education, as I have already mentioned, that I discuss, and in that way we have had a strategic approach. So, yes, we have had to review it in line with our commitment to adhere to a 0.7% pledge, but we have done it in a strategic way, and I think when she looks at the detail, she can be reassured.
ParlaMint-GB_2020-09-02-commons.u294	Does my right hon. Friend agree that the covid pandemic has highlighted the benefits, if not the imperative, to join up our diplomatic and development efforts? But in particular, can I welcome the better access to the unparalleled soft power our DFID colleagues will have of Wilton Park in my constituency of Arundel and South Downs?
ParlaMint-GB_2020-09-02-commons.u295	My hon. Friend makes a great plug for Wilton Park, which is dear to my heart. It does great work and certainly helps leverage our soft power effort. More generally, he has made the case that covid has demonstrated not just why integrating foreign policy is so important, but why we should go further with the merger. We found that, whether it came to procurement of PPE, repatriation of British nationals, critically, the search for a vaccine and, as hon. Members on both sides of the House have said, making sure that it is equitably distributed around the world.
ParlaMint-GB_2020-09-02-commons.u296	I am glad to have heard a few Members talk about the excellent work and expertise of DFID staff. I am sure that a number of the staff, including many who work in my constituency, would be keen for the Secretary of State to take action to make sure that there is early awareness of these staff and exactly what the future will hold for them, in more detail than is currently available to them. Is he able to give some indication of when that detail is likely to be forthcoming?
ParlaMint-GB_2020-09-02-commons.u297	I am happy for the hon. Lady to write to me with any specific concerns. I have spoken to DFID staff. Indeed I did a FCDO all-staffer today and we made it very clear what approach we are taking. We want to energise our brilliant diplomats’ development expertise but also forge a new culture. We are also committed to making sure that we have a stronger presence across all the nations and indeed all the regions of the UK because it is important that Scotland sees and the people of Scotland see the value added that we yield when we come together as one United Kingdom, but also with this merger.
ParlaMint-GB_2020-09-02-commons.u298	As my right hon. Friend rightly said, next year, this country will host COP26 and the presidency of the G7. Does he therefore agree that this is excellent timing to bring our security, foreign and development work together?
ParlaMint-GB_2020-09-02-commons.u299	My hon. Friend is absolutely right. In politics, I personally believe in show, not just tell. Whether it is covid, the Gavi summit and the search for a vaccine, COP26, or the work that we are doing in Yemen, which obviously involves a conflict resolution element as well as a humanitarian element, all of it demonstrates the scope for delivering greater impact in our foreign policy. Next year will be an opportunity to show a truly global Britain. The FCDO will be at the heart of those efforts to ensure that we can live up to our potential as an even stronger force for good in the world.
ParlaMint-GB_2020-09-02-commons.u300	I am glad that the Secretary of State mentioned Yemen. Will this merger between the Departments make it easier to solve cases such as that of my constituent, Luke Symons, who is being held by the Houthis in Yemen? Will bringing together humanitarian and foreign policy efforts in any way assist in those kinds of cases?
ParlaMint-GB_2020-09-02-commons.u301	I am glad that the hon. Gentleman has raised that case. He knows that we have been working very hard on behalf of his constituent and I know that he has been a doughty champion of him. The broader point that he makes is right. We have a stronger impact in Yemen, bringing our aid influence with the diplomatic work that we are doing, working with UN Special Envoy Martin Griffiths, but also trying to alleviate the humanitarian plight and talking to all our international partners—Saudi Arabia, the other countries of the region and the Five Eyes—to try to get this conflict resolved. It is the right thing for all the protagonists to that conflict, but above all it is the right thing for the people of Yemen. Yes, in those circumstances, we have a greater chance of securing the outcome that he wants for his constituent.
ParlaMint-GB_2020-09-02-commons.u302	Does my right hon. Friend agree with me and my constituents in the Derbyshire Dales that the guiding purpose of the new Department will be to promote UK interests abroad and that the use of UK aid will be linked to that?
ParlaMint-GB_2020-09-02-commons.u303	My hon. Friend is absolutely right to say that the people who fund our aid programme—the people who are represented by a democratically elected Government—expect to see the British national interest, the UK interest, delivered. I do not see any contradiction in relation to raising international funding for a vaccine that is equitably distributed. I do not think there is any conflict. In fact, I think the two elements of moral responsibility and the grittier national interest of the United Kingdom go hand in hand.
ParlaMint-GB_2020-09-02-commons.u304	I thank the Secretary of State for his answers to the questions. Will he agree to appoint a specific Minister to attend Cabinet and the National Security Council to be responsible for championing the sustainable development goals, overseeing transparent and effective official development assistance to help the Government keep their commitments to the world’s most vulnerable while, as everyone would like to see, ensuring that British taxpayers have their money well spent?
ParlaMint-GB_2020-09-02-commons.u305	I can give my hon. Friend that assurance, and that person will be me.
ParlaMint-GB_2020-09-02-commons.u306	Can my right hon. Friend reassure me that the UK’s leading international role in tackling climate change, including programmes such as Partnerships for Forests, and in improving resilience to climate change in developing countries, will be enhanced through the join-up of our diplomatic and development efforts, and that funding will be maintained?
ParlaMint-GB_2020-09-02-commons.u307	Climate change is a great example of why we need more integration. We have a Minister holding three portfolios—now two, with the merger—in my noble Friend Lord Goldsmith. Actually, when I speak to my counterparts abroad, I want to be able to raise a variety of matters every time, whether it is their nationally determined contribution, or the opportunity to strengthen resilience to climate change, adaptation and the transition away from coal. Having an integrated Department that can not only talk about those goals—the goals of DEFRA and the COP26 unit—but also link those to the other aspects of foreign policy, is absolutely crucial.
ParlaMint-GB_2020-09-02-commons.u308	The CDC has spent £680 million on fossil-fuel projects since 2010, according to CAFOD. The Secretary of State is fond of telling us that he is all about show, not tell. Will he show us by ending this hidden support for fossil fuels, which only adds to carbon emissions around the world, and end the mockery that is the Government’s pretence that they are taking meaningful action to combat the climate emergency?
ParlaMint-GB_2020-09-02-commons.u309	The example that the hon. Gentleman cites is an historic one. We will make sure that it cannot be repeated or replicated in future.
ParlaMint-GB_2020-09-02-commons.u310	Almost no amount of material wealth could now compensate me if I was to lose the freedom to be myself that I finally exercised almost exactly 10 years ago. We pride ourselves on being global leaders in supporting LGBT+ people around the world to enable them to exercise that freedom. Will the Secretary of State confirm that his new combined Department will now not only sustain but increase the resources available for Britain to continue to lead the world in addressing the impoverishment of the soul that comes from not being free to be oneself?
ParlaMint-GB_2020-09-02-commons.u311	I thank my hon. Friend and pay tribute to him for his courage and his conviction. He is absolutely right. Indeed, before the merger—but I think reinforced by it—we were making sure that the freedom agenda was at the core of our “force for good” priorities. I think he can see that in the media freedom campaign that we are co-partnering with our Canadian friends, right the way through to the Magnitsky sanctions that I recently introduced, which we are currently working on in tandem with the EU sanctions that are being considered in relation, for example, to the violation of human rights in Belarus.
ParlaMint-GB_2020-09-02-commons.u312	What measures will the Secretary of State take, and what reports will be made to this House, in the next six months to review the success or otherwise of the merger?
ParlaMint-GB_2020-09-02-commons.u313	We obviously have the integrated review, and we have the work of ICAI and of course the Select Committee. So, ultimately, a combination of external scrutiny and the parliamentary scrutiny of this House will, I am sure, hold us to account. We do not shrink from that; we welcome it.
ParlaMint-GB_2020-09-02-commons.u314	World Bank data shows that over the past 20 years, the percentage of world trade taken up by developing countries has increased from 33% to 48%, and during that process has halved extreme poverty around the world. Given that stunning success for capitalism, will my right hon. Friend take advantage of the merger to refocus our efforts to stimulate international trade with the United Kingdom?
ParlaMint-GB_2020-09-02-commons.u315	My hon. and learned Friend is absolutely right. I spoke to the president of the World Bank yesterday and I totally accept his case. One of the reasons that our vision for a truly global Britain will tilt, if you like, to the Indo-Pacific region is the scope for using liberal free trade, not just to benefit the businesses, the workers and the consumers of this country, but to lift living standards around the world. Of course, that could have no greater impact than in Africa, where we will combine a more liberal approach to free trade than, I venture, they would get from the EU—an approach to business investment with integrity, which I think is necessary, given some of the reports we have of Russian and Chinese investment, coupled with our development and our “force for good” agenda, which I think shows the triple whammy of the impact that this new merger can deliver.
ParlaMint-GB_2020-09-02-commons.u316	I was an aid worker both before and after DFID was established, and I can tell the Foreign Secretary that the change in the way that British aid was delivered and the respect that Britain had after DFID was established was absolutely transformational, and that transformation impacted people’s lives directly. The fact that four out of five of the fastest-growing economies in the world are African, and that all 10 of the fastest-growing economies in the world are formerly developing countries, is in no small part thanks to Britain’s leadership. We did that not by being transactional with aid but by recognising that it was in our interests to do the right thing. Will the Foreign Secretary tell us how he will judge the success or failure of the new merged Department? If it does not match the achievements of DFID, will he have a rethink?
ParlaMint-GB_2020-09-02-commons.u317	I pay tribute to the hon. Gentleman’s experience. He looks too young to have been hanging around the aid world for quite that long. He is right, and that is why the innovations that DFID undertook at the time, which were right for the time, will be banked, kept and safeguarded within the new FCDO. There was a struggle to make the case for change back then, and it is worth being open-minded about the innovations that we can fuse, forge and meld together to get even greater value for money. I pay tribute to the work of DFID’s staff. I think we have an even greater opportunity, coupling our approach to liberal free trade, our development expertise, our diplomatic clout and our approach to conflict stabilisation, to deliver even greater outcomes. The hon. Gentleman’s point about accountability and outcomes is precisely why we are reviewing and reinforcing the work of ICAI.
ParlaMint-GB_2020-09-02-commons.u318	I was delighted recently to visit my local Stort Valley branch of Results UK. Will my right hon. Friend join me in assuring that group of passionate and compassionate people that, for the reasons he outlined, these changes will only enhance our commitment and efficacy in alleviating poverty and providing better healthcare, sanitation, water and education across the developing world?
ParlaMint-GB_2020-09-02-commons.u319	I pay tribute to the work of my hon. Friend and her constituents in championing this case. Public health outcomes are a very good illustration of where aid and development policy has clear, measurable and deliverable results. That is not just good for the countries in which we operate—we have seen the impact of reducing and eliminating the blight of polio, and there are other areas where we can focus just as well—or a moral responsibility, although I am impressed with the passion with which my hon. Friend spoke, but something that directly affects the people of this country.
ParlaMint-GB_2020-09-02-commons.u320	Following the creation of the new FCDO, will my right hon. Friend reaffirm that tackling poverty and gender inequality will remain priorities of the Department?
ParlaMint-GB_2020-09-02-commons.u321	I thank my hon. Friend and constituency neighbour. He is absolutely right. As I made clear in relation to the ODA review and the force for good agenda, tackling inequalities through, for example, our campaign to deliver a minimum of 12 years’ education for every girl, no matter what their background, and in relation more generally to prioritising the least developing countries and the bottom billion, the priorities that are dear to his heart will remain at the very centre—they will be the heartbeat—of the new FCDO.
ParlaMint-GB_2020-09-02-commons.u322	Let us be honest: in reality, our moral and national interest will not always be, as the Foreign Secretary says, inextricably intertwined. Sometimes doing the moral, right thing might not do us any national good whatsoever—so what then? Will he, for instance, commit to continue and increase funds to support Syrian refugees in Lebanon and Jordan?
ParlaMint-GB_2020-09-02-commons.u323	The hon. Gentleman is right to put the challenge, but I am not quite so pessimistic as he is about whether we can overcome it. If he looks at the Magnitsky sanctions, he will be surprised at some of the designations—[Interruption.] The hon. Member for Brighton, Kemptown (Lloyd Russell-Moyle) chunters from a sedentary position, but he has absolutely nailed it: people did not expect us to apply sanctions in the Khashoggi case or in some others. The approach that this Government and the Prime Minister have taken on Hong Kong has been intuitive but well planned. Opening up to British nationals (overseas) and offering them a path to citizenship shows that we absolutely will be robust on our values, even when some may argue that there is tension with, for example, our economic or commercial interest.
ParlaMint-GB_2020-09-02-commons.u324	Taxpayers’ money should always be directed towards our national interests and security, so can my right hon. Friend confirm that aid directed towards state-building in developing countries is in our best interests? As we help to build economies and democracies, people will be able to stay in their own countries, rather than making the perilous journey towards Europe.
ParlaMint-GB_2020-09-02-commons.u325	My hon. Friend makes very powerfully the point about the connection between our values and our practical interests—stemming conflict and being true to, living up to and having confidence in our values abroad, without engaging in what can be caricatured as a neo-imperialist agenda, are important not just for the health and vibrancy of the countries in which we operate, particularly in Africa, but in stemming the flow of potentially harmful groups, such as terrorist groups, and the wider volume of migration, which can have negative impacts in the UK.
ParlaMint-GB_2020-09-02-commons.u326	If the Secretary of State is so concerned about what he describes as tittle-tattle emerging in the press from Cabinet meetings, he should perhaps ask the Prime Minister to clamp down on the person that we know is the source of most of that tittle-tattle: I will leave that to him. He did not really answer the question from my hon. Friend the Member for Airdrie and Shotts (Neil Gray) earlier, so can I ask him a direct question? Will he give an absolute assurance that under no circumstances will the 60p per day that each of us contributes to the overseas development budget be used for spying or for military purposes?
ParlaMint-GB_2020-09-02-commons.u327	I think there is a misunderstanding: ODA can already be used for some MOD-related activity. The hon. Gentleman would not expect me to comment on operational intelligence matters, but I can reassure him that we are absolutely committed to harnessing our aid budget and our development expertise to help the most vulnerable around the world. As hon. Member after hon. Member has said—I think there is a core of agreement across the House on this principle—we do not see a divergence between our moral interest and the UK national interest in that regard.
ParlaMint-GB_2020-09-02-commons.u328	I welcome today’s announcement of the fusion between the Foreign Office and international development. May I suggest to the Secretary of State that now would be an appropriate time to revisit our high foreign aid commitment? When I ask my constituents, in the light of the current climate, if they would prefer tax rises or cuts to budgets such as foreign aid, the answer is very clear. Will the Department consider that as part of the spending review?
ParlaMint-GB_2020-09-02-commons.u329	I thank my hon. Friend. It is perfectly legitimate to ask that question—constituents ask me and they ask him. Of course, one of the things about 0.7% is that when the economy goes down, aid spending goes down, and we have just conducted an ODA review that reduced the overall overspend by £2.9 billion. That follows from the target, but as I have already made clear to the hon. Member for Wigan (Lisa Nandy), we have made sure that we prioritise covid, climate change, girls’ education and looking after the most vulnerable and poorest people right across the world. That is what our constituents expect, and I think it is the right thing to do.
ParlaMint-GB_2020-09-02-commons.u330	I hope this merger brings to an end the narrative that suggests that Foreign Office staff are somehow the dirty cousins of the humanitarian workers in the Government. Working at the Foreign Office, I was always deeply frustrated that there was no celebratory marker or flag on FCO-funded projects such as bridges, schools and education and training programmes. Please can we stand up proud of not just UK aid programmes, but all Foreign Office programmes that better the countries we invest in?
ParlaMint-GB_2020-09-02-commons.u331	My hon. Friend is absolutely right and, like her, I wear the Union Jack flag on my lapel with great pride. As we deliver impact, and as we are a truly global nation and an even stronger force for good, we should champion our values, and people should know that it is the United Kingdom, including under a Conservative Government, that are doing that.
ParlaMint-GB_2020-09-02-commons.u332	Back in June, I tabled a written question asking what the total cost to the taxpayer was of the merger. The Department could not provide an answer at the time. Can the Secretary of State do so today?
ParlaMint-GB_2020-09-02-commons.u333	I thank the hon. Gentleman. Over time, I am very confident that we will be able to deliver administrative savings because, of course, of back-office staff and other efficiencies. Of course, the work in terms of calculating the short, medium and long-term effects will be part of the CSR, and if the hon. Gentleman wrote to me, I would be very happy to write to give him a more detailed response.
ParlaMint-GB_2020-09-02-commons.u334	I welcome my right hon. Friend’s repeated commitment to the welfare of women and girls as part of the aid budget. May I invite him to consider this merger as a catalyst to revive the prevention of sexual violence initiative pioneered by his predecessor in relation to the crucial work it does in tackling rape as a weapon of war?
ParlaMint-GB_2020-09-02-commons.u335	I thank my hon. Friend for that, and she is absolutely right. This initiative has not slipped into the ether; it is still very much a part of our core priorities. Along with our campaign on girls’ education, it shows not just a matter of principle, but that the welfare of any healthy society means that they have to take care of, nourish and nurture the women and young girls who make up their society.
ParlaMint-GB_2020-09-02-commons.u336	I propose not to suspend the House and to let us just get on with things, if people would just leave quietly and carefully, keeping their proper social distance, because it is obvious to me that everyone taking part in the next items of business is already in their place. People must not stand around talking—just leave the Chamber, please. We will proceed immediately to the presentation of a Bill by Margaret Ferrier Virtual participation in proceedings concluded (Order, 4 June.) Bills Presented Cash Machines Bill Presentation and First Reading (Standing Order No. 57) Margaret Ferrier, supported by Jamie Stone, Jim Shannon, Martyn Day, Ronnie Cowan, John McNally and Douglas Chapman, presented a Bill to prohibit charges for the use of cash machines; and for connected purposes Bill read the First time; to be read a Second time on Friday 27 November and to be printed (Bill 171). Climate and Ecology Bill Presentation and First Reading (Standing Order No. 57) Caroline Lucas, supported by Alex Sobel, Tommy Sheppard, Wera Hobhouse, Ben Lake, Claire Hanna, Stephen Farry, Clive Lewis, Alan Brown, Liz Saville Roberts, Nadia Whittome and Zarah Sultana, presented a Bill to require the Prime Minister to achieve climate and ecology objectives; to give the Secretary of State a duty to create and implement a strategy to achieve those objectives; to establish a Citizens’ Assembly to work with the Secretary of State in creating that strategy; to give duties to the Committee on Climate Change regarding the objectives and strategy; and for connected purposes Bill read the First time; to be read a Second time on Friday 12 March 2021 and to be printed (Bill 172).
ParlaMint-GB_2020-09-02-commons.u337	I beg to move, That leave be given to bring in a Bill to enable the recall of Members of the House of Commons who voluntarily change their political party affiliation; and for connected purposes This Bill seeks to update the Recall of MPs Act 2015 with a fourth recall condition: any MP who voluntarily leaves the political party they represented upon their election to the House of Commons becomes subject to a recall petition. Such a petition would occur by Mr Speaker giving notice to a petitions officer, who would in turn give notice to the parliamentary electors in the relevant constituency, after which a petition would be open for eight weeks. If at the end of that period at least 10% of the eligible electors had signed that petition, the seat would be declared vacant and a by-election would be held. It is important to note and understand that the petition acts as the safety mechanism to preventing a needless by-election; if our constituents view the action of crossing the Floor as principled and just, the threshold would not be met and the onerous task of holding a by-election would not be undertaken. But should the threshold be met, a by-election would be called and the Member who had been recalled would be able to stand This is the second time this House has been faced with such a debate. In 2011, my right hon. Friend the Member for Kingswood (Chris Skidmore) proposed a similar course of action. Sadly, it did not make progress, but had it done so, I fear that the 2019 parliamentary arithmetic would have been radically different. In the course of my remarks, I hope to be able to build on my right hon. Friend’s points and to respond to some of the counter-arguments made all those years ago by my hon. Friend the Member for Worthing West (Sir Peter Bottomley), who is now the Father of the House If any Member has had the pleasure of visiting my constituency, they may well have caught sight of the septic tank cleaning lorry that carries the words “full of political promises” on its side. The lorry neatly encapsulates the all-too-prevalent view that political promises are not worth the paper they are written on and that politicians are not to be trusted Every generation of politician makes this claim. It was certainly made in 2011, and I am making it nine years later, and I think that I can argue with a greater degree of certainty that it is the case. Last year, 17 Members of Parliament crossed the Floor, leaving the parties they were elected to represent. That was more than had done so in the 16 years previously, and not one of them consulted their constituents. In effect, that disenfranchised the 1.2 million electors across their 17 seats for the duration of that Parliament. Although we are not here to follow every instruction from our party’s leadership—and I should know—resigning from the party we were elected as a representative of to campaign for policies diametrically opposed to the ones we were elected to support is clearly a breach of the spirit of the contract between ourselves and our constituents. That unwritten bond between ourselves and our electors is the reason I am proposing this Bill. I do not presume to judge those who have crossed the Floor. Their actions were based on their own principles and their own values. Previous Members of great repute have done so, including Churchill. However, my ask is that, through this Bill, we can no longer take a decision that ignores our constituents and the value of their vote. In recent years, only a handful of Members have done the right thing by their constituents. Whether one feels strongly about it or not, Douglas Carswell and Mark Reckless, who decided to join the UK Independence party in 2014, still held by-elections and at least gave their constituents a say. As my right hon. Friend the Member for Kingswood said, this “should be the rule, not the exception.”—[Official Report, 23 November 2011; Vol. 536, c. 318.] I am all too aware of the counter-arguments to this proposal. We are, as Burke argued, elected as representatives, not delegates; nor should we be bound by party constraint. This is a valid argument. I wholeheartedly believe that the true value of an MP is that the voice of their respective constituency is made in Westminster and not the other way round. But an argument made in the 1770s, when political life and party structures were so radically different, must surely be updated and modernised in the 2020s For example, the role of political parties in election campaigns has steadily progressed and evolved over the generations. We may all believe that we are elected due to our own brilliance, but I would urge caution that Members let this thought run away with them. [Interruption.] I can see that Scottish National party Members might agree with that premise. We are selected by a political party. Our literature is embossed with the emblems of parties. We are supported by volunteers who share our values and often hold party membership. Above all, we pledge our support to our party manifesto detailing our policies and philosophy. Owing to the Representation of the People Act 1969, our electorates are greeted in every voting booth across the country with our names, our party names and our party logos. In short, we benefit significantly from the role that the party plays in each and every one of our elections Parties are therefore often more visible than the candidate, from their leaders to their Cabinets and their manifestos. They act as a magnet to either attract or repel voters to or from to their cause. So when a candidate who has campaigned using those logos, promoting that manifesto and supporting that leader switches sides, they are doing so against everything they told the thousands of voters they connected with during the election. This is not promoting democracy; it is degrading it. Some may well disagree with that point, but it is only reinforced by the fact that Members of this place, on both sides of the House, do not stand as Independents Not only is there domestic precedent for those who have held by-elections when crossing the Floor of this Parliament, but there is an example at the international level. New Zealand, to combat what was colloquially known as waka-jumping, implemented the Electoral (Integrity) Amendment Act 2018, which sees Members of Parliament who choose to leave their party automatically expelled from Parliament. Some 40 other countries have similar measures in place within their Parliament. So if we were to take this step we would not be alone as a parliamentary democracy, nor, I believe, would we be at odds with our electorate, who would be grateful to have a say in such matters The House knows that I truly value independence in this place. It allows each and every one of us to vote with our conscience and in the interests of our constituents and our country. This Bill does not seek to crush independence or enhance political parties, but it does seek to build the trust and transparency in this place and in its Members. It is for that very reason that the Bill is structured so that it cannot be used against Members by party Whips. Only by a Member voluntarily crossing the Floor can the recall petition be set in motion As I said, I sincerely hope that this is the last time such a Bill has to face this House. In 2015, many Members from across the House came together to support the noble Lord Goldsmith’s amendment to the Recall of MPs Act 2015, including my hon. Friend the Member for Wycombe (Mr Baker). This suggested that there would be total recall, with the ability, if 5% of constituents signed a notice calling for it, to trigger a recall petition that would then, in turn, trigger the threshold. I say to him and others who gave their support that if their objections rest with my proposals regarding the threshold, then let the House amend that by raising the threshold I have made my case. I have fulfilled my promise to my electorate. I hope that this House might recognise the benefit that this Bill could have and that we can restore the confidence in this, the mother of all Parliaments.
ParlaMint-GB_2020-09-02-commons.u338	In rising to oppose my hon. Friend the Member for Totnes (Anthony Mangnall), I want to begin by absolutely embracing his noble intent and by saying that I am quite confident that if I were the new Member for Totnes or for South Cambridgeshire, or any other seat where Conservative voters are absolutely furious about the behaviour of their previous MP—and rightly so—I would be in their position of needing to move this Bill or a similar one I also say to my hon. Friend that I agree about the primacy of the voter. My goodness, why did I do all the things that I have done about leaving the EU? I believe in the primacy of voters, and it is absolutely right that I supported the noble Lord Goldsmith’s Bill—I tweeted out the links earlier. I am in favour of full recall—I prefer to avoid total recall—albeit on a threshold that must be high enough to avoid vexatious political activity. However, I would like to have full recall, by which I mean recall without conditions I even agree with my hon. Friend—of course I do—on the importance of party. He is right: none of us was elected to this Parliament as Independents. There are two Independents and they both have their own circumstances. An article by me in The Sun set out, in the course of 2019, the crucial importance of people knowing the programme for which they have voted, so that they get the Government that they wanted— so I agree with him about the importance of party. I am very clear that we owe a duty to our party in fulfilling our duty to our voters. Carswell and Reckless were absolutely right when they went to their electors, but they did so in circumstances slightly different from the ones that I will come to. But what I really want to ask the whole House to consider is this: we also have a duty to consider in our deliberations what happens not just when things are going right, or perhaps when things are only going slightly wrong in narrow and foreseeable circumstances, but when things go terribly wrong in circumstances that we perhaps have not foreseen? What do we do when things go terribly, terribly wrong The problem with my hon. Friend’s Bill is that it establishes the principle that we are here contingent on our membership of party. I know he has said that his proposal would not apply if we lost the Whip for some other reason, but the problem is that in saying so, he has conceded that if we were to be forced to a recall petition and a by-election because we had lost the Whip through our actions, that would be an unacceptable transfer of power to the party Whips and a compromise of our ability to vote as our conscience dictated was best for our constituents and the nation I will not quote Burke—we all know Burke. I am going to recommend Auberon Herbert’s “A Politician in Sight of Haven”—a far better essay. This is the circumstance all of us face. We must balance our conception of what is best, our constituents’ and our party’s. That is the problem, and, of course, in conceding that we must not allow Members to be forced to a by-election because the Whips do not like how they voted, in a sense my hon. Friend begins to go down the road that I foresee What I want to say to the House is this: imagine a major governing party in the United Kingdom captured by a charismatic and radical leader, buttressed by ruthless and ideological advisers accomplished in the political arts. Imagine that party with the leader and those advisers hell bent on dramatic change to our institutions of the British state—[Hon. Members: “Never!”] Of course—as colleagues say, “Never!”—it is inconceivable that such a thing should happen in the Conservative party, but I want to apologise to Members opposite, because I do now need to trespass on matters that are properly for the Labour party, and in a speech in which I can take no interventions, I wish to do so lightly. I will leave many things unsaid that might strengthen my case to avoid reopening old wounds. Many Members will be able to bring to mind the things to which I refer. Many things happened last year that ought not to have happened I count among my friends Gavin Shuker, the former Member for Luton South from 2010 to 2019. He has given me this quote, which I will read in full: “In effect this would be a huge shift of power—not to our constituents—but to the respective Party Leaderships. Imagine the chilling effect on debate; the incentive for a Member to be bullied out of their own party; we have to ignore our own history to become an advocate of this approach. And not ancient history—recent history. When I chose to sit as an Independent, it was on an issue of integrity; like many of my colleagues I could not advocate putting a man so universally ill-suited to leadership, into 10 Downing Street; unlike many of them, I chose to embrace the consequences. I knew full well that at the next election I would likely not be returned and in the end that’s exactly what happened. The same people who elected me chose not to return me; the system worked—and all without this Bill MPs in this House are not delegates”— I will allow him that— “we are representatives. The knowledge that, when a party changes beyond all recognition around a Member, that Member may choose to resign the Whip, is an important safety valve in our system; and a good bit of political hygiene. This proposed legislation is rooted in a popular argument which at first seems very clever. But it’s not very wise.” Those are the words of my friend Gavin Shuker, who of course was the convenor of the Independent Group for Change As I came into the Chamber, I said to one of my colleagues that I was going to make this argument and he replied, “Well, imagine that a Conservative leader became ‘woke’ and decided that to speak of free enterprise as a hate crime; we would need a lifeboat”, and indeed we would. But what I want to say to the House is this: I am afraid that we do need to consider very serious contingencies. If one wished to replace a party of government with another because it had so changed beyond recognition, perhaps because a segment of society genuinely feared for their lives if it came to power—that is what happened—one would have to smash the party with sustained pressure and velocity, with meticulous plans and detailed knowledge of every Member of Parliament and when they would leave their party, what they would say, what they would do and with whom. One would really need to know what they were going to do, and they would need time: they would need, for example, not to be driven to European elections for which they were not ready I think all the people who left the Labour party were heroic in what they did. They were seeking to ensure that this country had a fit Opposition and an alternative party of government, and it was necessary for them to have the scope, the space and the freedom to still sit in this House and have this platform in the national interest to try to recreate a viable Opposition As it happens, those who chose to stay in the Labour party and rescue it have won. I congratulate them because we do need a good Opposition, but in conclusion I want to say that surely this House is about nothing if it is not about restraining power. Of course my hon. Friend the Member for Totnes makes a good argument, and of course if I was in his situation I might well make the same argument, but if we really want the public to be able to recall us, let us really give them the power, without conditions, on a high threshold—high enough to avoid vexatious political activity, because, goodness knows, after all we have been through, we need political stability My goodness, we have seen this Parliament, this place and this constitution not just working at 100% but perhaps, as the rules have been stretched and perhaps broken, we have seen our constitution operating at 110%, and what a dread thing it has been. As somebody who has been subjected to the full wrath of the state at least three times—Members will know which votes I mean—my goodness, I do not want to be the person who leaves their party on principle and then in their constituency faces the might of that state trying to procure signatures on a petition. That is among the reasons for my speaking on this I have spoken for long enough, and what a privilege it is to be able to put this on the record, but it is because of the dread power of the state, or the dread power of a party gone wrong, that I say to my hon. Friend and to his voters, “Please bear with us, because what we are saying here is not that you cannot get rid of your MP; all those defectors lost their seats—they all lost their seats. We are not saying you won’t be able to get rid of your MP; we are asking you to be patient, because if we have learned anything over the past year or so it is that this amazing constitution that we have, and this amazing, tiresome, wearisome, awful place that is so brilliant, is capable of protecting our freedoms in this nation.” And to Members of Parliament I say, for all that we are all elected on a party ticket and for all the duties we owe to the public via our party, it remains absolutely essential to the freedom and health of this nation that we are able to walk away from our party and seek to destroy it—although I can tell my Whip that I have no plans to do so Question put (Standing Order No. 23)
