ParlaMint-GB_2020-12-08-commons.u1	What steps his Department is taking to increase prison capacity.
ParlaMint-GB_2020-12-08-commons.u249	We have had very few discussions so far about the specifics of this review because we are only announcing its scope and the call for evidence today. We certainly intend to have conversations about the possible impact of some of the potential options on the sports sector. I encourage all stakeholders, including all sports bodies, to contribute to the review in the call for evidence that we are announcing. We will be happy to have further discussions about this with my hon. Friend and others.
ParlaMint-GB_2020-12-08-commons.u250	I welcome this review, and there is clearly a need for robust action. The Minister will be aware that there have been claims from the online gambling industry that regulation should be moderated or it risks driving gamblers to the black market. Does the Minister agree with the Gambling Commission that there is absolutely no evidence for this? Does he also agree that if we want to prevent the growth of the black market, regulation to prevent harm is the solution, not the cause?
ParlaMint-GB_2020-12-08-commons.u251	The hon. Gentleman expresses some legitimate concerns. One of the great problems, of course, is that, by definition, it is almost impossible to assess the size, scope and scale of the black market, but where evidence does exist we will welcome it as part of this review. We do recognise the problem, and that is why we explicitly include the unlicensed market—the black market—in the review. We need more work and more information, and we need to decide what action needs to be taken to tackle it. It is a very serious issue.
ParlaMint-GB_2020-12-08-commons.u252	I welcome this review and the opportunity it presents to update our regulations in the gambling and gaming sector. I know from my time in the industry that some firms have gone above and beyond in developing tools to help to prevent and identify problem gambling. I hope that this review will be an opportunity to formalise and spread best practice. As the Minister said, over 100,000 people are employed in the sector, including nearly 4,000 in north Staffordshire, Newcastle-under-Lyme and Stoke-on-Trent at my former employer, Bet365. Can my hon. Friend assure me, and them, that the review will look to strike a balance, acknowledging the enjoyment that millions of people from gambling in a responsible manner and how important it is that people are not driven to unlicensed operators where they would have neither basic consumer protection nor the regulatory supervision that we all want to see?
ParlaMint-GB_2020-12-08-commons.u253	My hon. Friend is right to point out the dangers of the unlicensed market and to point out that gambling is a legitimate business in the UK, paying £3 billion in taxes and employing about 100,000 people. However, the industry itself acknowledges that harms can happen. It has played, and I expect it to continue to play, an important role in identifying harms and what we can do to minimise them. Its voice will be heard in this review, but we all have a shared goal of making sure that we do everything we can to minimise gambling harms.
ParlaMint-GB_2020-12-08-commons.u254	I understand that today there is perhaps a focus on some of the online gambling, but can I ask the Minister not to forget those communities, such as in Glasgow East, where digital exclusion is still a massive issue? In that vein, when are we going to confront the fact that many of these working-class communities where lottery ticket sales are higher do not actually see a lot of the funding follow through? In my experience, it tends to go to more middle class areas with professional fundraisers.
ParlaMint-GB_2020-12-08-commons.u255	I thank the hon. Gentleman for his comments. Again, the review is very broad in scope for exactly this purpose. Comments, information, data and evidence can be brought in to raise all these issues, and they will be looked at carefully.
ParlaMint-GB_2020-12-08-commons.u256	I welcome this review and also the Minister’s determination that it should be evidence-based, consistent and balanced, but can I join my hon. Friend the Member for Calder Valley (Craig Whittaker) in reminding him of the enormous contribution that betting companies make to horse-racing? It is to the tune of about £350 million a year, which is a very large amount to that sport, even in ordinary times. At the moment, like other sports, it is going through very difficult times, and without that contribution horse-racing would not survive.
ParlaMint-GB_2020-12-08-commons.u257	Indeed. I thank my hon. Friend for his comments. Horse-racing is of course a vital industry in the UK. I can confirm that the levy on horse-racing is not actually due for review till 2021; it is not explicitly part of this review. However, on the role that gambling has and the link with sport, we recognise that there are some challenges, but also many upsides, and we will consider those as part of this review.
ParlaMint-GB_2020-12-08-commons.u258	Following my question in April, I welcome today’s news that the Government will extend the ban on under-18s gambling to the national lottery, but the Minister will be aware that the recent online ban on gambling with a credit card does not apply to the lottery. If a betting shop in Barnsley rightly does not accept gambling on a credit card, then why should it be allowed on the national lottery?
ParlaMint-GB_2020-12-08-commons.u259	I thank the hon. Lady. I am well aware of her campaigning on this issue over a long period of time, and I thank her for that input. There is a difference between lottery-based games and other forms of gambling. There is evidence to suggest, for example, that the gambling harm is lower in the lottery than in other forms of gambling, and therefore there is a difference between the types. As I say, however, this move is an important one today, and I appreciate that she welcomes it.
ParlaMint-GB_2020-12-08-commons.u260	Given that the recent Public Accounts Committee report on gambling regulation declared that the Gambling Commission “do not know what impact they are having on problem gambling, or what measures would demonstrate whether regulation is working”, will the Minister use the opportunity of the review to assess whether the Gambling Commission itself is fit for purpose, or needs to be replaced by a new body to provide the real leadership needed on the issue of gambling regulation?
ParlaMint-GB_2020-12-08-commons.u261	I thank my hon. Friend for his comments. I am aware of the comments made in the Public Accounts Committee report. I appreciate the work that it and, indeed, many others have done in providing input on this issue for a long period. As I have said, I do not wish to pre-empt any of the conclusions of the review. This is a call for evidence at this stage, and therefore recommendations and suggestions for future regulation will be welcome.
ParlaMint-GB_2020-12-08-commons.u262	The Minister will be aware of some the work I do on social media, and I am chair of the all-party parliamentary group on social media. One of the key areas where we are seeing huge increases in people taking up and partaking of gambling is through influencers. My hon. Friend the Member for Denton and Reddish (Andrew Gwynne) asked a question about the online harms Bill, so I would like to understand from the Minister what work he is doing now on tackling influencers who are able to target particularly children and young people and try to encourage them to gamble. That really does need to be addressed long before this review is concluded.
ParlaMint-GB_2020-12-08-commons.u263	The hon. Gentleman will be aware that the Government are considering action on the broader issue of online harms and the role that social media companies play in that. That work will be undertaken alongside this review, as well, and we will certainly work together. I will work with colleagues in the rest of the Department to make sure that we are very much aligned.
ParlaMint-GB_2020-12-08-commons.u264	Some 200,000 customers used an unlicensed gambling operator last year, resulting in an estimated £1.4 billion in turnover. What discussions has my hon. Friend had with online platforms to tackle this black market in gambling?
ParlaMint-GB_2020-12-08-commons.u265	Like several other Members, my hon. Friend raises the important issue of the black market. As I have said, that will be considered as part of the review. We welcome evidence and suggestions from all stakeholders, in helping to scope not only the size and scale of the black market, but what further actions could be taken to tackle it.
ParlaMint-GB_2020-12-08-commons.u266	We know that too many people have a problematic relationship with gambling, which has a really bad effect on their wellbeing and mental health, even leading to suicidal thoughts and feelings. I welcome the recognition of that in the Minister’s statement. How will the review consider that issue in the next period?
ParlaMint-GB_2020-12-08-commons.u267	The hon. Lady will be aware that we work closely with the Department of Health and Social Care, which is working on clinics particularly relating to the treatment of gambling. Three are already up and running, and we have an ambition to open far more. The industry is contributing towards the financial costs of some of this treatment, as well as to research and education overall; we have a commitment over the next four years of £100 million. Of course, this review will be an opportunity to assess whether that model is appropriate or whether other alternatives should perhaps be considered.
ParlaMint-GB_2020-12-08-commons.u268	It is estimated that 37 million people in the UK enjoy playing video games on a daily basis—this includes random content through loot boxes, which they use to enjoy their gameplay. Done right, free-to-play games with additional purchase elements can be a good model. So does the Minister agree with the Gambling Commission that where in-game items obtained via loot boxes are confined to those games and cannot be cashed out, they fall outside the Gambling Act 2005?
ParlaMint-GB_2020-12-08-commons.u269	My hon. Friend makes the important point that, without wishing to be pedantic, there is often a debate about whether loot boxes and games of chance, or those where there is not a financial benefit at the end, are actually “gambling” or “gambling-like behaviours”. However we wish to define them, we are taking action. That is why it was important that we had the call for evidence on loot boxes, which was completed recently, and further action will be taken, on recommendations, by the Government.
ParlaMint-GB_2020-12-08-commons.u270	Every year, the gambling industry spends £1.5 billion on advertising to encourage us all to gamble more, which is 25 times more than we spend giving help to people with a problem with their gambling and 80 times more than it is required to give to the Gambling Commission, which is supposed to regulate it. The commission will never be able to regulate the industry properly when it relies for its funding on these tiny scraps that fall from the industry’s table. Will the Minister therefore agree to look seriously at having the Gambling Commission adequately and directly funded from the public purse, so that it is independent and, more importantly, can be seen to be independent of the industry it is attempting to regulate?
ParlaMint-GB_2020-12-08-commons.u271	The Gambling Commission and the Advertising Standards Authority both currently have a role in reviewing advertising relating to gambling, and they have significant powers. However, many legitimate concerns have been raised on this issue, so both the advertising and the scope and resources of the Gambling Commission will be part of this review.
ParlaMint-GB_2020-12-08-commons.u272	I am pleased to hear the Minister say that loot boxes fall within his remit of work at the moment, because they encourage people to spend more on in-game purchases than they otherwise would do if this were turned into a game of chance where there were no published odds. Will he also say something about social media targeted advertising by gambling companies? I am aware that social media companies are allowing online betting companies to target known problem gamblers with incentives to bet, which is completely unethical. It should be outside the rules and it should be part of the review.
ParlaMint-GB_2020-12-08-commons.u273	My hon. Friend is very knowledgeable about this area as well, and I thank him for his comments. Let me be clear: the call for evidence relating to loot boxes is separate from this review; it is a separate activity being undertaken by the Department. I should also be clear that any advertising that is deliberately targeting children or vulnerable groups should not be happening, and therefore it is a major concern. The questions raised in this review and the call for evidence seek to ask how effective the current rules are, and those will be major considerations as part of the call for evidence.
ParlaMint-GB_2020-12-08-commons.u274	Liberal Democrats welcome this review very much, as issues such as online gambling have needed to be addressed for some time. Given the impact of gambling and the damage it causes, and given that the work that needs to be done to rectify it stretches across a number of Departments, what consultations has the Minister had with the Chancellor of the Exchequer, the Department of Health and Social Care and other Ministries about the review?
ParlaMint-GB_2020-12-08-commons.u275	The hon. Lady will not be surprised to learn that DCMS constantly engages with the Treasury on a range of issues, and certainly the Department for Health and Social Care has a very strong interest. The Health Secretary—a former DCMS Secretary of State—is very knowledgeable about the gambling sector and the harms, and we are working closely on treatment. The Department of Health and Social Care is looking to expand the number of treatment centres, and we will continue that dialogue and work across the Departments.
ParlaMint-GB_2020-12-08-commons.u276	I have several leading casinos in my constituency, and they have worked hard to deal with problem gambling. Does my hon. Friend agree that casinos are important for our international tourist economy?
ParlaMint-GB_2020-12-08-commons.u277	I absolutely agree with my hon. Friend. Casinos form an important part of the attractions. They are why many people come into the country, and they are important for in-bound tourism. I understand exactly what she is saying. Casinos play an important part, and the whole point of the review is to ensure a legitimate gambling industry that is on a sound footing for future growth. I look forward to working with the casino sector to ensure that that happens.
ParlaMint-GB_2020-12-08-commons.u278	I thank the Minister for his statement about the review of the gambling industry, and I put on record my thanks to the hon. Member for Swansea East (Carolyn Harris) for her leadership on the all-party group. Time is of the essence, so will the Minister assure the House that reform will happen quickly? Will reform happen outside the formal review, for example on loot boxes and the video games that others have referred to? Could such reforms be implemented with a faster time frame?
ParlaMint-GB_2020-12-08-commons.u279	The hon. Gentleman will be aware that Northern Ireland regulation on gambling is separate from that of Great Britain. He raises an important point, and we will work with the devolved Administrations. Loot boxes fall under a separate review. The call for evidence has just ended, and we wish to consider the feedback from that as soon as possible. The other aspects that he raised will form part of that review. We completely understand the need for action, and as I said in my statement, we have taken action where necessary, with legislative and non-legislative measures from loot boxes to changing the rules on credit card use, as well as today’s announcement on the national lottery. We are willing and able to move quickly.
ParlaMint-GB_2020-12-08-commons.u280	I fully welcome this review, which will surely protect my constituents in Redcar and Cleveland from gambling harm in the long term. However, the Minister will know—we have had a number of conversations about this—about the issues regarding the horse-race betting levy, and the urgent need for reform to support racecourses such as the one in Redcar. Will he update the House on any steps he has taken to fix that situation, so that Redcar can keep on racing?
ParlaMint-GB_2020-12-08-commons.u281	I know what a horse-racing fan my hon. Friend is, and we have had many conversations about that issue. The horserace betting levy is not part of this review, but we are having ongoing conversations with the horse-racing industry. I look forward to further conversations with my hon. Friend.
ParlaMint-GB_2020-12-08-commons.u282	I broadly welcome today’s announcement, but given this Government’s unforgivable delay to the online harms Bill, many questions are left unanswered. It is vital that young people are protected in their online space, so what considerations have the Government made to include age verification requirements for gambling providers as part of the online harms agenda? When will the Bill finally be brought to Parliament?
ParlaMint-GB_2020-12-08-commons.u283	The issues of age verification, product, and the way such things are marketed will be part of this review, and they are also ongoing considerations of the Gambling Commission. This will be a 16-week review. We recognise that in these challenging times of covid, responders may need a little more time to respond to the call for evidence, and therefore the review is slightly longer than normal. We will then produce a White Paper with Government recommendations. As I said, the review is deliberately broad, and the issues raised by the hon. Lady will be part of it.
ParlaMint-GB_2020-12-08-commons.u284	I am clear that online harms are increasing risks to our children, and I note that families have spent much of the past nine months in lockdown. As a parent, I am worried by addiction to games such as Fortnite, when our children could be outside playing. Will my hon. Friend confirm that his Department will consider an outright ban on gambling incentives such as loot boxes, as well as better educating parents, carers and teachers about the dangers of online gaming?
ParlaMint-GB_2020-12-08-commons.u285	The issues around loot boxes that my hon. Friend articulates are legitimate; hence the call for evidence on loot boxes. That call for evidence ended on 22 November. The Government are currently considering the evidence that has been brought forward, and we will respond in due course. My hon. Friend raises legitimate concerns that have been raised by the Digital, Culture, Media and Sport Committee and many others over many years.
ParlaMint-GB_2020-12-08-commons.u286	The bookies form a key part of our high streets and provide a supervised environment for responsible gambling. In contrast, the online gambling space is like the wild west. We have heard so much about black market operators that have caused extraordinary levels of harm, so it is right the Government are looking at this issue. However, that will only be effective alongside good online harms legislation, which we have been promised for three years now. When will we see it?
ParlaMint-GB_2020-12-08-commons.u287	The hon. Gentleman is right to point out that the online harms legislation was a commitment. It is absolutely a commitment. I know that it gets support on both sides of the Chamber, and we will be hearing more in due course.
ParlaMint-GB_2020-12-08-commons.u288	I very much welcome my hon. Friend’s statement as a vital step in bringing up to date the provisions of the Gambling Act 2005, but may I ask him for some reassurance about how any test of balance will be weighted so that prevention of harm can rightly take centre stage, while we ensure at the same time that the millions of people who gamble responsibly are not in some way stigmatised, and, as others have said, that activities are not driven underground?
ParlaMint-GB_2020-12-08-commons.u289	I thank my hon. Friend for pointing out the absolute necessity in this review for a balanced, evidence-led approach. I assure him that we will strike the right balance between giving individuals the freedom to choose how they spend their own money, and protecting vulnerable people and their families from gambling-related harm. It is a balancing act, and we take that responsibility very seriously.
ParlaMint-GB_2020-12-08-commons.u290	Last year, the vice president of EA described loot boxes as “ethical”, “fun” and akin to buying “Kinder eggs”. However, research has linked some loot boxes with problem gambling in older adolescents, so we clearly need to take action. I hear what the Minister is saying about the call for evidence just finishing and that that is part of a separate review, but how will that review feed into this wider review of the Gambling Act overall?
ParlaMint-GB_2020-12-08-commons.u291	Yes, I can confirm that the call for evidence has concluded, and we will be responding to that soon. Legal definitions were one of the reasons that it was a separate review from the one on gambling, but that should aid the process, rather than hinder it.
ParlaMint-GB_2020-12-08-commons.u292	I warmly welcome this review and today’s announcement. As the Minister has said, the way that people gamble in 2020 is completely different from how the majority of gambling took place when the Gambling Act was passed in 2005. Does the Minister agree that, in line with these changes, the Government should be considering boosting the powers and resources of the Gambling Commission to ensure that it can keep pace with the licence sector and tackle the black market?
ParlaMint-GB_2020-12-08-commons.u293	Indeed; the scope, roles, responsibilities and resources of the Gambling Commission will form part of the review. It is right that we consider the structure of governance and regulation for the industry, and any recommendations and suggestions that my hon. Friend has would be welcome as part of the call for evidence.
ParlaMint-GB_2020-12-08-commons.u294	I thank the Minister for his statement and welcome the review. However, it is believed that, in the UK alone, members of the armed forces are eight times more likely to develop gambling addictions, especially if they have experienced past traumatic events. Given this distressing statistic, will the Minister confirm whether he has had any discussions with Defence Ministers about measures to prevent the spread of problem gambling among our armed forces personnel?
ParlaMint-GB_2020-12-08-commons.u295	The hon. Lady is right to point out that certain demographics and roles are more susceptible to problem gambling than others. I have not had specific conversations with the Ministry of Defence yet, but we would welcome input on this issue as part of the evidence process. She raises the important point that different segments of the population are impacted and targeted differently, and the scope of this review includes looking at targeting and the prevalence of gambling among different demographics.
ParlaMint-GB_2020-12-08-commons.u296	I fully appreciate that the focus of this review will be on the technological advances in recent years, but I still have major concerns about the number of gaming centres and venues for gambling in Peterborough, particularly in the Millfield area of my city, and the subsequent risk of gambling-related harm to some of the most vulnerable local people. I welcome this review, but will my hon. Friend consider giving local councils such as Peterborough City Council further powers to close problem high street gambling venues and restrict the number of venues in any one particular area?
ParlaMint-GB_2020-12-08-commons.u297	I thank my hon. Friend for his comments. There are already regulations and rules if there are problems, and social and behavioural challenges, in terms of the powers that local government has. He raises important points, though; as I said, in terms of responsible gambling across the board, we intend to ensure that this review is evidence-led and looks at a whole variety of issues, including the ones he raises.
ParlaMint-GB_2020-12-08-commons.u298	I very much welcome this review. As the statement has exposed, a huge breadth of issues need to be considered. Will the Minister say something about the extent to which the amount of gambling that now takes place online creates opportunities to gain much better information about who is gambling and for ensuring that issues that are raised by the review are targeted at those who are problem gamblers? Will he ensure that that information is more widely available?
ParlaMint-GB_2020-12-08-commons.u299	The hon. Gentleman makes a really important point. Just last year, for the first time, gross gambling yield was greater online than offline, so we have now reached that cusp where more gambling in the UK is online. We should therefore be able to use technology, and emerging technology, in a far more sophisticated way, as he suggests, to make sure that we identify problem gambling and potential problem gambling. I would expect information on that to be part of this review.
ParlaMint-GB_2020-12-08-commons.u300	In my experience, in the past the gambling industry has been able to exert a great deal of influence over the Minister’s Department. I welcome his commitment to an evidence-based review, but if the review is to be effective, it will need access to data from the industry and to up-to-date research. Will he commit to ensuring that this wealthy industry pays for fully independent research to be carried out, which we are all going to need if we are going to carry out this review effectively?
ParlaMint-GB_2020-12-08-commons.u301	The hon. Gentleman makes an important point about the historically poor level of information, data and research in this sector. It is improving, and we hope that this evidence-led review will add to the base of information. His characterisation of the Department, though, is wrong, as evidenced by the obvious and significant changes we have made to gambling over the last few years, with FOBTs last year, the changes to credit cards, VIP schemes, mandatory participation in GAMSTOP and the changes that we are announcing to the national lottery today, as well as a whole host of other issues. This Government have shown that we are willing to act when necessary.
ParlaMint-GB_2020-12-08-commons.u302	I very much welcome my hon. Friend’s statement. Clearly, having consumer protection at the heart of any new regulation is key, so will he describe what sort of action my constituents in Dudley North can take if they believe that an operator is in breach of social responsibility requirements?
ParlaMint-GB_2020-12-08-commons.u303	I thank my hon. Friend for those comments. He is absolutely right that legitimate concerns have been raised by many, including in this place, about redress in the gambling sector. That is why the call for evidence will specifically ask for information and evidence on potential future redress procedures, and all options are open at the moment.
ParlaMint-GB_2020-12-08-commons.u304	If I may, Mr Deputy Speaker, I would like to take my first opportunity in the Chamber to pay tribute to one of my predecessors, Maria Fyfe, who served in this place as Member for Glasgow Maryhill between 1987 and 2001 and who sadly passed away on Friday. She was hugely respected during her time in this House and in the constituency, and our condolences, thoughts and prayers are with her family, friends and comrades at this time. One of Maria Fyfe’s enduring legacies is the Community Central Hall on Maryhill Road, which is an incredibly important focal point, providing a wide range of services for local residents. Over the years—many years—it has benefited from lottery funding. What steps will the Minister take to ensure, especially in these difficult times and in the context of the announcement that he has made today, that such organisations are able to continue to get the funding they need, whether through the lottery or perhaps other, more sustainable sources?
ParlaMint-GB_2020-12-08-commons.u305	I join the hon. Gentleman in paying tribute to Maria Fyfe on behalf of the whole House; I know I can do so because the shadow Minister and I had a conversation about Maria before we came into the Chamber. She is a great loss. I know she was an incredible champion for women’s rights in particular and made a great impact on the British political landscape In terms of the lottery and the changes we are announcing today, the estimate is that the impact of 16 and 17-year-olds’ not being able to play the lottery will likely be something in the region of a £6 million potential loss to good causes. That is out of a total distribution of around £1.8 billion, so it is a relatively small amount I would like to say thank you to all those who have played the lottery and continued to play the lottery this year. Lottery revenue, and therefore distributions to good causes, has stayed up remarkably well, partly because it has been made very clear that much of the money has gone to institutions, bodies and groups in desperate need during coronavirus. I encourage people to continue to play the lottery safely, in the full knowledge that the money is well spent and well targeted.
ParlaMint-GB_2020-12-08-commons.u306	May I thank the hon. Member for Glasgow North (Patrick Grady) and the Minister, Nigel Huddleston, for their kind words about the late Maria Fyfe? She was a popular Member, who was well respected in all parts of the House and remained active in her local party after leaving this place. She will be missed by her family and all who knew her in Parliament and beyond. One of the best features of this place is how hon. Members appreciate and acknowledge the qualities and achievements of their predecessors, irrespective and regardless of party.
ParlaMint-GB_2020-12-08-commons.u307	I hope the review will recognise the important role that high street gambling venues play in employing local people, and the Minister will recognise that it would be rather strange if the review had the damaging impact of moving gamblers from the relatively safe, supervised gambling premises on the high streets into the unregulated, unsupervised online world. I hope the review will look to bolster gambling on the high street, rather than on the internet.
ParlaMint-GB_2020-12-08-commons.u308	My hon. Friend is absolutely right to point out that many gambling entities take their responsibilities for safe gambling incredibly seriously and do a very good job. It is important, therefore, that we strike the right balance between enabling people to gamble safely and protecting those who are at risk. There is nothing wrong with legitimate gambling that is well regulated and enacted in accordance with minimising harm.
ParlaMint-GB_2020-12-08-commons.u309	We all know that the gambling industry got it very wrong on the campaign on fixed-odds betting terminals. Does the Minister agree that this review is an opportunity for the British gambling industry to get it right and produce an outcome that maximises the fun for people who want to gamble, but minimises the harm? We all know that prohibition does not work; what we need is effective reform.
ParlaMint-GB_2020-12-08-commons.u310	The hon. Gentleman, who I know is well versed in the industry and is very knowledgeable, is absolutely right. We must get the right balance here, and we expect the stakeholders, the key gambling operators, to play a role in providing evidence in this review. They have contributed already and made some voluntary changes, but I think we would all like to see further changes. They can make those voluntarily; there is always the option of legal regulation at the end of this review, but we do not necessarily need to wait for legislation for the gambling industry to do the right thing. We have seen some positive moves in the right direction and I welcome that constructive contribution. If we need to regulate and implement laws we will, but I would also like to see further changes voluntarily conducted by the industry, as I am sure he would too.
ParlaMint-GB_2020-12-08-commons.u311	Last but never least, Simon Fell.
ParlaMint-GB_2020-12-08-commons.u312	Thank you for battling to the end of the call list, Mr Deputy Speaker; I appreciate it. I warmly welcome this statement. A few months ago, I met Furness Gamblers Anonymous, which does incredible work to support those who suffer most from addiction. I welcome the fact that such organisations will be able to feed into this review—that is right and proper—but what consideration has my hon. Friend given to the fact that many of those who have the most powerful stories might want to feed in anonymously?
ParlaMint-GB_2020-12-08-commons.u313	My hon. Friend makes a really important point. I have a great deal of confidence that many of the charities and third-party organisations working in this sector—many of the key stakeholders—are very articulate and knowledgeable, and they have done a very good job of feeding in information already. We encourage them to do so, and I hope they will be able to provide further information, while recognising that some of this is extremely sensitive and therefore may need to be confidential. We recognise that information from all sources is valid, and I encourage all stakeholders to do what they can to get involved in the review.
ParlaMint-GB_2020-12-08-commons.u314	I thank the Minister for his statement and for responding to 39 questions for exactly one hour. We will now suspend for a few minutes.
ParlaMint-GB_2020-12-08-commons.u315	I beg to move, That leave be given to bring in a Bill to require the BBC to publish specified information including all invoices over £500, expenditure by region, details of staff remuneration and exit payments, payments to personal service companies and other contractors, and the outside earnings of staff; and for connected purposes The BBC (Transparency) Bill is a positive move to support the BBC, to help it adapt and modernise its standards of governance, transparency and the need to meet the public’s expectations of value for money. The Bill will require the BBC to publish every invoice in excess of £500 and to take other steps to support greater transparency of its budget approaching £5 billion. It demands that the corporation take positive steps to support scrutiny across this important British flagship organisation. The Bill is aimed at helping to bring about a cultural change in the BBC, making it more open and transparent in support of everything it does I raise these issues as one who values what the BBC can achieve. As the Government consider the future of the licence fee, this debate and proposal are timely. They help the BBC meet the Secretary of State’s call as to how it intends to make savings and the fact that the organisation needs to reflect the entire nation. The context is that the licence fee is the most regressive form of taxation. That was the primary complaint against the poll tax, but of course this is a television tax, at a time when there is ever-increasing choice in the marketplace, with paid-for and free output. In considering the impact on households, particularly the poorest households at this time, it is vital that we scrutinise spend to secure the very best value for the licence fee for the public. Increased transparency will help the BBC respond to ever-increasing demands from the public Since 2010, all Government Departments and local authorities in England have been required to publish invoices in excess of £500. This key step helped to change spending patterns and the culture of how public bodies work. The move towards transparency facilitated competition, encouraged new approaches to spending, and attracted more organisations, particularly small businesses, to bid for contracts. Ultimately, it helped to drive better value for money and enhanced diversity in the supply chain Many Members will recall the BBC’s resistance to publish salaries of its star performers. Some called it a “poacher’s charter” at the time. As a strong supporter of publication of the data, I can remember even some senior Government colleagues resisting the call, for fear that it would lead to a levelling up of salaries. However, there was a determination among enough of us to ensure that it formed part of the agreement around the last charter renewal. Although the salary levels shocked many, equally importantly they disclosed the disparity between the pay of male and female presenters. As a result, we have seen salaries of some male presenters fall—some would argue by not enough—and the salaries of some female presenters increase. Now, whatever one’s view of the salary levels—yes, there remains much concern around the £1.75 million for one and £1.4 million for another—at least we can have an honest debate about the value of the contribution they make. Public scrutiny also exposed wrongdoing that led to some staff pursuing cases for equal pay. This would not have happened without demands for greater transparency from the public Loopholes still exist, but the Bill’s influence extends well beyond the corporation’s current approach. We cannot ignore the fact that some of the BBC’s highest-profile shows and performers are contracted to BBC Studios. Expenditure data of BBC Studios is not shared in the same way, yet they still operate with the benefit of the licence fee. While that is the case, it is not like any other commercial organisation, and its expenditure should be scrutinised equally. Current standards of transparency only give us a fraction of the picture and lead to suspicion among the public. We should not have to go through the same debate again about an organisation that capitalises on the benefit that the licence fee brings. After all, it is public money, not the BBC’s money Elsewhere, concerns have been expressed over other payments the BBC has made, such as golden goodbyes, the payment of tax bills of some of its personalities, and a huge increase—£38 million—in the budget to collect the licence fee, which, if it is not paid of course, could result in a criminal record and even imprisonment. Some people believe that this policy is discriminatory. Many more women than men are charged, purely through their circumstance, so it seems that while some people benefit significantly from the licence fee, others are criminalised as part of the process The Government’s central mission since the election has been the levelling-up agenda, and I believe that the licence fee expenditure can play a part. Statistics show that half the BBC’s network programming budget is spent in London at a remarkably consistent level year in, year out. Although the north of England saw a boost in network programme spend to almost 20% in 2016, by last year that level had fallen to 14%. I also recognise that this is not the whole picture, because network programming is only part of the £5 billion budget Publication of all invoices over £500 would enable spending patterns to be analysed and all budgets to be considered. If we included contractors, commissions and post-production work, I expect that the London bias would be much greater than 50%. We should also question central administrative services, HR accounting, commissioning and other forms of spend. Those could easily be located across the country to follow the excellent, positive moves that the BBC has made towards the location of its production hubs This BBC transparency Bill would allow colleagues and members of the public to see where all the licence fee was being spent across the country and to form a view. Salford has seen significant growth over recent years, but it would be interesting to see whether that had been achieved to the cost of other blue wall areas in the north-west or the north-east. As an example, Cardiff has seen a welcome increase in commitment, but that centralisation in a city has come at cost to other parts of Wales. I would hate to see the growth in Manchester coming at cost to other parts of the region, unless, of course, there was a good reason and a value-for-money case behind the decision. The public could make a judgment These issues come into particular focus as the BBC responds to public concerns over a diverse range of challenges: Ofcom’s worrying report on impartiality, the removal of free licences from the over-75s and the tactics used to secure the “Panorama” interview with the Princess of Wales 25 years ago, which, if true, will cause shockwaves across communities I pay tribute to Tim Davie for the changes that he is making, including stronger guidance on social media activity and on outside interests, as well as establishing a judge-led inquiry on the “Panorama” interview. All these are welcome, but we still need to revolutionise the BBC’s transparency culture. This Bill is intended to support Tim Davie to bring about change, and to help the BBC to regain the confidence of the public and to secure the very best value for money across all its activities We are approaching the BBC charter mid-term review. This would be the perfect time to see the changes that this Bill and the public call for Question put and agreed to. Ordered, That Alun Cairns, Julian Knight, Mr William Wragg, Mrs Heather Wheeler, Sir Bernard Jenkin, Dame Cheryl Gillan, Mel Stride, Jeremy Wright, Karen Bradley, Jackie Doyle-Price, Robert Halfon and Andrew Bowie present the Bill Alun Cairns accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 15 January, and to be printed (Bill 226). Business of the House (Today) Ordered, That, at today’s sitting, the Speaker shall put the questions necessary to bring to a conclusion proceedings on the first Ways and Means resolution relating to Taxation (Post-transition Period) at 7.00 pm, if not previously concluded.—(David Rutley.)
ParlaMint-GB_2020-12-08-commons.u316	I inform the House that I have selected the amendment in the name of the Leader of the Opposition to the first motion.
ParlaMint-GB_2020-12-08-commons.u317	I beg to move, That provision (including provision imposing and regulating new duties of customs) may be made in connection with goods in Northern Ireland and their movement into and out of Northern Ireland (whether the movement begins or ends in Great Britain or elsewhere) It is a delight to see you in the Chair, Mr Deputy Speaker In less than a month’s time, the UK will reach the end of the transition period and resume its place as a fully sovereign trading nation. As colleagues across the House will be aware, our negotiations with our counterparts in the EU continue. The Government remain cautiously optimistic about the conclusion of those talks. However, there is no doubt that we have a responsibility to the people of the United Kingdom to be ready for every outcome. The measures contained in the Taxation (Post-transition Period) Bill, which will be introduced and published following this debate, will play an important part in those preparations. The Bill will help to give confidence and certainty to the owners of businesses small and large throughout the United Kingdom after the end of the transition period.
ParlaMint-GB_2020-12-08-commons.u318	Will my right hon. Friend explain exactly how this matter we are dealing with now will be affected by the statement made by the Chancellor of the Duchy of Lancaster about an hour ago, which also deals with the question of goods to be considered not at risk, and with questions relating to customs and tariffs, and the decision that appears to have been taken that the Government have agreed in the Joint Committee with Mr Šefčovič on a number of matters of which at the moment we only have an outline? I know the Chancellor will make a statement tomorrow, but perhaps my right hon. Friend could assist us in this matter, because it quite clearly has relevance to what he is saying now.
