ParlaMint-GB_2020-06-03-commons.u1	2. What assessment he has made of the role of the Union during the covid-19 outbreak.
ParlaMint-GB_2020-06-03-commons.u335	May I ask the Secretary of State whether companies have to apply for those extensions on filing, or will there be an automated aspect whereby Companies House will approach the companies affected?
ParlaMint-GB_2020-06-03-commons.u336	Once the filing requirements are enacted, as my hon. Friend says, companies can make filings up to the extension dates. As was mentioned earlier, if there is a need to extend temporary provisions, we will look to see if that is required. While we recognise that these and other support measures will not, sadly, be able to save every business and every job, the Bill delivers commitments that will give businesses in difficulty due to the pandemic a fighting chance of eventually bouncing back.
ParlaMint-GB_2020-06-03-commons.u337	There are indeed some important measures in the Bill, and we will undoubtedly scrutinise them in more detail in due course. I thank the Secretary of State for the work of the officials in his Department to support a number of businesses in my constituency, and I thank the Welsh Government for the support that they have provided through the economic resilience fund We have not had enough support from the banks, some of which have not only struggled to make themselves available to businesses seeking support through the loan schemes that the Government have set up but seem to be trying to push off their books businesses that could make it through the crisis. What does the Secretary of State have to say to the banks?
ParlaMint-GB_2020-06-03-commons.u338	When we first launched CBILS there were a lot of concerns about how quickly the process was moving. I have been talking to banks individually and to senior managers in the banks, and I think that we are beginning to see movement. CBILS has had over 40,000 loans out of the door, and over 450,000 bounce-back loans have been made. If there are specific banks about which the hon. Gentleman has concerns—he, like all colleagues, is concerned about retaining employment in his constituency—I would be happy to take up those issues with him individually.
ParlaMint-GB_2020-06-03-commons.u339	Because of the success of bounce-back loans—it is a much easier process to get a bounce-back loan than a CBILS loan—lots of businesses that need more than £50,000 have gone for a bounce-back loan as an interim step, but are restricted from taking a CBILS loan, as they can only have one or the other. Would my right hon. Friend consider allowing businesses to apply for a CBILS loan for a larger amount, subject to necessary lending criteria, then paying off the bounce-back loan so that they can get access to the finance that they need?
ParlaMint-GB_2020-06-03-commons.u340	My hon. Friend makes an incredibly important point. I am sure that the Under-Secretary of State for Business, Energy and Industrial Strategy, my hon. Friend the Member for Sutton and Cheam (Paul Scully), will correct me if I am wrong, but my understanding is that it is possible to transfer loans between the bounce-back scheme and CBILS. I am happy to discuss that with my hon. Friend the Member for Thirsk and Malton (Kevin Hollinrake), who is absolutely right—people cannot have one of each, so to speak, but I think that it is possible to make a transfer The measures set out in the Bill have been welcomed across the board by business representatives’ organisations such as the Federation of Small Businesses, the Institute of Directors, the CBI, the British Chambers of Commerce, R3—the insolvency and restructuring professionals trade association—and the Trades Union Congress. Some of the measures will take retrospective effect to provide as much relief to businesses as possible. To ensure that is the case, we have announced the dates from which the measures will begin Let me turn to corporate restructurings, and the package of permanent corporate restructuring measures, which have previously been consulted on. As colleagues know, they were consulted on in 2016, and then formed part of a wider consultation on corporate governance and insolvency published in 2018, so they have been consulted on in some detail. They will have immediate effect in helping companies get through the covid-19 emergency A number of time-limited provisions are there to cater for the immediate economic impact of the covid-19 pandemic. They have been added to the package and will be in place for a month after Royal Assent.
ParlaMint-GB_2020-06-03-commons.u341	Playing a fundamental part in the Bill, we have a number of measures that have been consulted on for a long period; people have thought about them and, as my right hon. Friend said, there has been a large degree of consensus around them. Then we have some other measures that have been brought forward in response to the immediate crisis; the Department has worked incredibly quickly to come up with them. Is the Department satisfied that it has got the balance right between the two? Is there anything that we should look out for in the next few months about the permanence of some of those measures?
ParlaMint-GB_2020-06-03-commons.u342	My hon. Friend is of course right. By the way, I am delighted that he is back in the House, after a short absence. He brings a huge amount of experience in this area, as a result of his work in the private sector. The permanent measures have already been consulted upon, and they enjoy broad support. The temporary measures are of course temporary, and if we were to look to extend any of them, we would have to do so by way of regulation—we would have to come to the House with statutory instruments, and there would be an opportunity, if colleagues in the House felt it was not right to extend them, for them to voice their concerns. So I do think we have managed to get the balance right in this case. We want to ensure that the measures are put in place as quickly as possible, so that we are able to provide support to businesses in difficulty right now. In all the discussions that we have had with the right hon. Member for Doncaster North and his colleagues, we have always had a really constructive approach; I hope that is exactly what we will have today as well.
ParlaMint-GB_2020-06-03-commons.u343	I speak as a co-chair of the all-party group on fair business banking, has dealt with a lot of problems in how banks treat SMEs, facilitated by insolvency practitioners. To eliminate those conflicts of interest, the Secretary of State’s Department has committed to bringing forward measures to provide that the conduct of insolvency practitioners is overseen by a single regulator, rather than by recognised professional bodies. Can he commit to bringing forward those measures in the not-too-distant future, so that we can try to eliminate those conflicts of interest?
ParlaMint-GB_2020-06-03-commons.u344	My hon. Friend the Under-Secretary of State will elaborate on some of the points that my hon. Friend raised. I would simply say that in July 2019, the Government issued a call for evidence on the insolvency regulatory framework, to determine whether any changes needed to be made. That included questions on whether there should be a single regulator. We expect to publish the Government response to the call for evidence later this year. Perhaps my hon. Friend the Under-Secretary will elaborate later Returning to the Bill, the package of measures has three elements. The first is a moratorium. That will give a company that is threatened with insolvency temporary respite from its creditors and a chance to arrange refinancing or a rescue. The moratorium will be for an initial period of 20 days, which can then be extended. There will be a time-limited easing of the eligibility criteria for a company to enter into a moratorium, to make it more accessible during the covid-19 response period.
ParlaMint-GB_2020-06-03-commons.u345	The temporary measures that my right hon. Friend has included in the Bill will provide great respite for many businesses, particularly in the hospitality sector, where businesses have been unable to trade throughout this outbreak but rents have remained very high; the measures will protect them from aggressive landlords. Those pressures will continue well past the end of June, so will he consider extending the protection for tenants from winding-up petitions?
ParlaMint-GB_2020-06-03-commons.u346	Of course, that is part of the measures that we will bring in. I recognise why my hon. Friend wants to ensure that tenants have protection, and that is why we will introduce the temporary measures around this issue, but of course we also need to think about landlords. I will address that point as I go through my speech Returning to the moratorium, the time-limited easing of the eligibility criteria for a company to enter a moratorium, to make that more accessible during the covid-19 response period, will be in place for a month after Royal Assent. Of course, that can be extended if it is deemed necessary The second part of the new permanent restructuring measures will allow companies in financial difficulty to propose a rescue plan to restructure complex debt arrangements, and to bind creditors to it, as long as certain thresholds are met. That means that viable companies struggling with debt obligations will be able to restructure under the new procedure There are, however, significant safeguards and protections for creditors, which is right and proper. The plan must be sanctioned by the court and, indeed, any dissenting creditor class bound to a plan must not be made worse off than it would have been in the next most likely outcome. I know that a number of colleagues, both in the House and outside, have raised this issue. That is why we have ensured that this measure is in place The third part of the restructuring package will prohibit termination clauses. That will prevent suppliers from terminating contracts or raising prices just because a company has entered an insolvency procedure or a moratorium. Of course, we recognise that requiring companies to supply under those circumstances may cause them financial difficulties, so we have built in a number of protections for suppliers too If continuing supply would cause a supplier hardship, it can apply to the court for permission to terminate the contract. In addition, if goods or services supplied after the insolvency begins are not paid for, the supplier can terminate the contract. Further, the Government will temporarily exempt small suppliers from this requirement altogether during the covid-19 crisis, recognising the particular challenges that those firms face.
ParlaMint-GB_2020-06-03-commons.u347	Small businesses often find themselves dictated to by larger organisations, and the last thing we want is for small businesses to be put at a disadvantage by being compelled to supply when they are not capable or it is not in their interest to do so. Will the Secretary State reassure us that small businesses in particular will be protected by these provisions?
ParlaMint-GB_2020-06-03-commons.u348	My hon. Friend raises a really important point about protecting small suppliers. They will of course have this exemption. According to the definition in the Companies Act 2006, a small supplier is one that meets two of the following three criteria: having up to 50 employees, a turnover of up to £10.2 million, and gross assets of up to £5.1 million. I think that will cover a very large number of businesses in our country.
ParlaMint-GB_2020-06-03-commons.u349	May I thank you, Madam Deputy Speaker, for permitting so many interventions? As we are rushing through the Bill relatively quickly, it is important that Members on both sides of the House have the opportunity to raise points directly with the Secretary of State, so thank you for permitting some latitude for interventions. The small business commissioner appeared before the Business, Energy and Industrial Strategy Committee a few weeks ago, and I posed some questions about whether he had the powers he needed. As my right hon. Friend looks at this period, with the particular pressure caused by covid-19, is he assured that the small business commissioner’s powers are as will be needed, or does he envisage wanting to look again at this in the future?
ParlaMint-GB_2020-06-03-commons.u350	My hon. Friend raises an incredibly important point. I championed this issue—support for small businesses—when I was on the Back Benches. As he will know, the Government’s payment terms are favourable in setting a very time-limited period within which payments must be made to Government suppliers, and of course the Government also require that if a large organisation is being paid by the Government under a contract, they need to pass on that speed of payment to smaller subcontractors. He will also know that in the manifesto on which he and I stood we committed to looking further at the role of the small business commissioner and how it might be strengthened. We will bring forward a consultation on that in due course I move now to the temporary measures in the Bill. The first set provides for a suspension of the serving of statutory demands and a restriction on winding-up petitions. These measures will be retrospective from 1 March and 27 April respectively and will last until one month after Royal Assent, although they can be extended if that is deemed necessary. The Coronavirus Act 2020 temporarily suspended the right of commercial landlords to forfeit the tenancies of retail businesses in order to protect tenants unable to trade because of covid-19. While this temporary suspension has been in place, the majority of landlords and tenants have been working well together to reach agreements on debt obligations, but a small number of landlords have been using aggressive debt recovery tactics to put pressure on tenants, including through the use of statutory demands and threats of winding up. For this reason, the measures in the Bill to limit the use of statutory demands and winding-up petitions have been welcomed by many, especially in the hospitality sector.
ParlaMint-GB_2020-06-03-commons.u351	The Government have repeatedly spoken about this clause in the context of landlords, but can the Secretary of State confirm that it actually applies to all creditors?
ParlaMint-GB_2020-06-03-commons.u352	It is intended to apply to all suppliers—I am sure I will be corrected if I am wrong on that. As my hon. Friend has also been keen to point out, although this measure is not restricted to commercial landlords, some landlords will have particular concerns, and I can reassure him that the Government will monitor the impact of the measure and are asking lenders and investors to consider how debt obligations can be met in a way that does not put unnecessary pressure on landlords.
ParlaMint-GB_2020-06-03-commons.u353	In respect of commercial loans, currently the banks, when showing forbearance, are providing capital repayment holidays but only on the capital element of the repayment. In respect of residential mortgages and loans, they are giving complete repayment holidays. The monthly capital repayment is a small element of the overall payment. The banks could be much more helpful to landlords by giving a complete holiday across the whole repayment for a period of time while showing forbearance to their tenants.
ParlaMint-GB_2020-06-03-commons.u354	Colleagues in the banking sector will I am sure be watching this debate and listening in, and they will have heard what my hon. Friend has said. I would be happy to have a discussion with him after this debate if there are particular points that he wants to raise or if he wants to talk about particular organisations The second temporary measure is the suspension of the wrongful trading provisions. This will be retrospective to 1 March and will be in place until one month after Royal Assent, and again it can be extended if that is deemed necessary. Hon. Members will know that wrongful trading is an important deterrent against company directors continuing to trade when the company is insolvent and when doing so increases the losses to creditors. Directors can be made personally liable as a result. However, during this difficult period, many otherwise viable companies may become technically insolvent, particularly if they have been severely affected by a drop in demand caused by covid-19. This measure gives company directors the confidence to use their best efforts to continue trading without the threat of personal liability, should the company ultimately go into insolvency. Since the measure was announced in March, we have received much support for it from stakeholders. The Institute of Directors has welcomed it, saying that it “will help to avert entirely preventable corporate collapses.” The Bill also contains the necessary time-limited powers to extend these temporary provisions, should that prove necessary The Bill will also allow the Government to make other temporary amendments to insolvency law or the new restructuring plan to deal with the effects of covid-19, where needed. The power to amend corporate insolvency or governance legislation will allow the insolvency and business rescue regime to react quickly to the challenges we face as a result of the impact of covid-19, and that power will expire on 30 April 2021. However, due to the potential unforeseen circumstances relating to covid-19, the expiry date of this power can be extended if it is deemed necessary. If an extension is sought, the House will of course have an opportunity to scrutinise it The next group of temporary measures deals with meetings and company filings. These measures enable companies and other bodies, including mutual societies and charitable incorporated organisations, to hold AGMs and other meetings in a safe way, while respecting social distancing rules.
ParlaMint-GB_2020-06-03-commons.u355	On the point about AGMs, it is obviously good that the legislation makes provision for AGMs to be held digitally, but is it necessary for the legislation to restrict the participation of shareholders quite as much as it does? Surely, if a digital method enables shareholders to question directors, that should be encouraged if it can be facilitated.
ParlaMint-GB_2020-06-03-commons.u356	There are, of course, other methods for shareholders to question directors of a company. There will be shareholders’ days, for example. The reality is that businesses will be reacting and doing their best to try to get information to their shareholders. I am sure that the hon. Lady’s point will be noted, but the intention of this Bill—and, I think, of the business community—is not in any way to use these measures to restrict shareholders’ access to information. This is actually about making sure that we can get past the pandemic and be in a position to bounce back The flexibility in terms of these meetings and filings will apply from 26 March—retrospectively, obviously—until 30 September. The measures also enable AGMs to be postponed until 30 September this year, where necessary.
ParlaMint-GB_2020-06-03-commons.u357	I am encouraged that the measures for AGMs and other meetings are temporary. Does my right hon. Friend share my belief that in-person AGMs provide the best opportunities for shareholders to hold their directors to account?
ParlaMint-GB_2020-06-03-commons.u358	My hon. Friend makes an important point. We would all like to get back to those face-to-face discussions, just as we are doing in the House today. These are temporary measures, and I hope that when we get through to the other side there will again be that opportunity for shareholders to meet and ask questions face to face, because that is right and appropriate.
ParlaMint-GB_2020-06-03-commons.u359	Can my right hon. Friend confirm that the Government are not mandating how companies and organisations are to hold an AGM, but rather giving them flexibility at this incredibly difficult time as to how best to engage with shareholders?
ParlaMint-GB_2020-06-03-commons.u360	My hon. Friend makes an incredibly important point. This is not about mandating; this is about giving choice. I expect that many companies will take up the temporary support that is being made available through these measures Expanding on the announcement I made on 25 March that companies would have an extended period for filing accounts, the Bill will also give businesses more time to meet a range of filing requirements. The extensions to the various filing requirements will be set out in regulations to be laid once the Bill receives Royal Assent. We will be giving businesses the maximum period allowable under the powers in the Bill for filing their accounts, confirmation statements and event-driven updates. We will also extend the period within which charges should be registered with Companies House to 31 days, which I believe strikes the right balance between providing businesses with breathing space and ensuring that lenders are protected In conclusion, the package of measures that the Bill introduces will give businesses the best opportunity to survive the effects of the covid-19 crisis and lay the foundations for a bounce-back in the UK economy. This Government are committed to supporting businesses. We are listening, and we are putting in place meaningful and common-sense measures to provide that support. Let me end by again paying tribute to the millions of business owners up and down our country who are doing their bit to keep Britain moving. In bringing these measures forward, we demonstrate again that we stand with them. I commend the Bill to the House.
ParlaMint-GB_2020-06-03-commons.u361	I begin by thanking the Business Secretary and the Under-Secretary of State for Business, Energy and Industrial Strategy, the hon. Member for Sutton and Cheam (Paul Scully), for the constructive conversations that we have had about the Bill, including with the shadow Business Minister, my hon. Friend the Member for Manchester Central (Lucy Powell). We are very much approaching this in a constructive way, and we welcome the discussions I want to focus on the provisions in the Bill and the wider policy context around insolvencies, which will determine what happens to millions of businesses in our country. As the Secretary of State implied, we face potentially the most dramatic recession in 300 years. What is more, we know that it is a recession necessitated by the essential public health measures that have been taken to contain coronavirus. Just as we are mutually dependent on each other when it comes to controlling the pandemic, I believe there is agreement across the House that that sense of mutual dependence should extend to the businesses of our country, because it is the right thing to do and because it is in all our interests. Every viable business we save will make the recession less deep and the recovery easier. Every business lost is disastrous not only for that business and its workers, but for our economy and all of us We know the great distress that many businesses are facing, and I join the Secretary of State in paying tribute to businesses up and down this country that are keeping going in these circumstances, with one fifth temporarily pausing or ceasing trading during lockdown and another quarter saying that their turnover was down by at least 50%. That is the context in which we should test our approach as a country. I acknowledge that this challenge is bound to test the imagination, speed and responsiveness of any Government, and that is why we want to work constructively with them In that context, we welcome the measures in the Bill to help reduce insolvencies and will support their passage. As I will explain, we do not think the Bill does enough to address the dangers for what we might call the less powerful interests—particularly employees—when it comes to insolvency and the new restructuring provision, and I will explain what I mean by that Let me say something about the headline provisions, many of which we agree with. As regards the permanent measures, we support the moratorium to give breathing space to firms. We welcome the measures to prevent suppliers from sending businesses into liquidation, suspending so-called ipso facto provisions, and I will say something in a minute about our views on the new restructuring plan provision.
ParlaMint-GB_2020-06-03-commons.u362	I thank the right hon. Gentleman for giving way and for welcoming this Bill, which I do as well. Does he accept that what is so important about the Bill is that it includes and incorporates Northern Ireland absolutely? Northern Ireland is not cut adrift and the Bill does not have some special arrangement that the Assembly will manage; Northern Ireland is part and parcel of it. The measures have given collective support to businesses across all the United Kingdom and especially in Northern Ireland. Without British money, we would have been ruined. That is the bottom line.
ParlaMint-GB_2020-06-03-commons.u363	I certainly agree with the hon. Gentleman that it is very important that the approach is UK-wide, and I welcome that. Let me say something about the temporary measures in the Bill. We think it makes sense to remove the threat around winding-up orders, for example, to deal with the issue around landlords. We welcome the measures that the Secretary of State put in place, but there is another way around, as it were, which is a landlord issuing a statutory demand followed by a winding-up order. We think that the suspension of personal liability for wrongful trading while insolvent makes sense as a measure, but for a strictly time-limited period. It is important, as I think is clear, that other duties continue to apply to directors In addition, easing the requirements on company filing deadlines and AGMs makes sense. Indeed, given proceedings yesterday in this House, the facility in the Bill for virtual proceedings at AGMs carries a certain irony. If only the Business Secretary had told the Leader of the House, perhaps we would have been spared a lot of trouble and a lot of queuing yesterday As the hon. Members for Dudley South (Mike Wood) and for North Antrim (Ian Paisley) have both said, there is clearly a case for a longer period than to 30 June. This is no disrespect to the people writing the Bill, but I think we can agree across the House that the temporary measures will need to be in place for longer. We would be happy to see an amendment that puts the end of September in the Bill, and one of our amendments would do that. I accept the Secretary of State’s point that the change can be made by statutory instrument Having given the Bill a broad welcome, I want to raise some issues.
ParlaMint-GB_2020-06-03-commons.u364	I agree with all that my right hon. Friend has said. Does he agree that some extension will be needed for some of the sectors that may be hit for longer, such as the creative industries? Many in my own patch will be affected for longer because they will be closed down for longer, and they need special assistance.
ParlaMint-GB_2020-06-03-commons.u365	My hon. Friend is a brilliant champion of those industries and other industries in his constituency, and I agree with him. I will come on to the particular sectoral challenges that the Secretary of State and the Government are facing Let me mention the areas where we would like to see improvements made to the Bill. First and most importantly, the Government’s case on the restructuring plan provision is that it could have benefits in enabling companies to restructure and not go into liquidation and in stopping large creditors from forcing companies to do so. I accept the case. I think I am right in saying that the cross-class cram-down provisions—it is not a very beautiful phrase—apply across the EU under EU law and apply in the United States as well. What is important about the provisions is that they mean that even if a class or classes of creditors object to a rescue plan, it can still go ahead providing they are better off than in the other most likely scenario, which is often going to be liquidation. That is why protecting those without power—creditors and others—is so important What cannot be allowed to happen—I know the Secretary of State agrees with this—is for the RP provision, which has wide scope and is not just for companies that are insolvent, but for those who fear they might become so, to be used to ride roughshod over the rights of employees, including their pensions. Given the nature of the crisis we are in, it is essential that there are proper safeguards To give an example, the Secretary of State will have heard earlier the deep concerns across the House about the actions of British Airways, including sacking its employees and apparently offering worse terms and conditions. The RP provision cannot become a charter for more of that sort of action, and it is our mutual responsibility to make sure it does not become so. I know the Secretary of State shares that view.
ParlaMint-GB_2020-06-03-commons.u366	I am extraordinarily grateful to the right hon. Gentleman for raising this point, because he will be aware that when a company is in a crisis situation and has so many wolves at the door, it has to make rapid decisions to salvage the assets and the business and continue, hopefully, to trade profitably. He is putting his finger precisely on the issue of what the rights of employees in that circumstance are and what protection there is for their pension benefits in the long term—that is a fundamental part of this issue. I am interested in his new clause on employee representation, which refers specifically to trade union representation; would he be prepared to broaden that out to include some broader sense of employee representation?
ParlaMint-GB_2020-06-03-commons.u367	I welcome what the hon. Gentleman says, and the answer is yes, because lots of businesses do not have trade unions, and the question is what rights employees will have in those circumstances. The US experience is quite informative: I mentioned the US hazard provision, and at American Airlines and General Motors we saw employees lose out very significantly. The hon. Gentleman’s point about pension provision is absolutely part of this. I very much hope—this is the spirit in which we are approaching the Bill—that the Government will seek to improve the protections that are in place. Our new clause 5, to which the hon. Gentleman referred, seeks to ensure mandatory discussions with the trade unions once a company enters a restructuring process. That will ensure that employees are provided with all the information made available to the court and fully consulted on any restructuring plan, and the court could then take that into account. There may be better and more comprehensive ways to build in such protection, but it is essential that we do so. Perhaps the Minister can come back on that in his winding-up speech and, indeed, in Committee Secondly, we are concerned about similar issues when it comes to insolvency. Unsecured creditors are left to bear most of the risk of insolvency, so they are often at the back of the queue when it comes to being protected. The protection of unsecured creditors, or the greater protection of them, could be provided through strengthening the ring-fencing of the proceeds of sale of assets when a company becomes insolvent, increasing the proportion of the proceeds reserved for them to 30%, and removing the financial limit, which is what we propose in one of our amendments. We also believe that pension schemes—this goes to the point that the hon. Member for North East Bedfordshire (Richard Fuller) made—should be made a priority creditor in the event of insolvency so that they get to have a role as a class, because currently I do not believe that they necessarily will.
ParlaMint-GB_2020-06-03-commons.u368	I welcome the right hon. Gentleman to his position and wish him well. I have a bit of concern about what I refer to as predatory companies, which look for companies that are probably heading towards insolvency and see them as an opportunity to gain something. I wonder whether it is possible to ensure in the Bill that such predatory companies that would prey on those in trouble, of which there are many, are prevented from taking over an asset that is probably solvent in the long term but is not in the short term.
ParlaMint-GB_2020-06-03-commons.u369	I agree with the hon. Gentleman’s intervention. I once used the word predatory in relation to companies and it was rather controversial, but I think the consensus may have changed. [Interruption.] Government Members are saying it has not; it was worth a try. The hon. Gentleman makes a really important substantive point on which I think Members from all parties can agree, and it goes to the width and breadth of this provision: we have to make sure that companies cannot use it as a way to take their employees for a ride. I know from my conversations with the Secretary of State and the Minister that the intention to make sure that that does not happen is shared throughout the House, but we have to give expression to it in the Bill, and I hope the Government will indeed do so Let me turn to some things that are not in the Bill—
ParlaMint-GB_2020-06-03-commons.u370	The right hon. Gentleman touched on his amendment that would ring-fence 30% of assets for unsecured creditors; is he not concerned that if we did that, people who are willing to extend finance to businesses on a secured basis may be less willing to lend?
ParlaMint-GB_2020-06-03-commons.u371	I believe I am right in saying that the hon. Gentleman knows a lot about this, and I congratulate him for his work on the all-party group dealing with the whole range of these issues, but I am talking about the situation after secured creditors and others have been dealt with. There is currently a provision for 20%, but up to a limit of £800,000. Our amendment seeks to make that 30%, and to raise the proportion, but remove the limit. We must ensure that we do all we can for employees and small businesses—my hon. Friend the Member for Manchester Central will correct me if I have got those figures wrong, but I think I am broadly right Two sets of issues are not in the Bill, although we would have liked them to have been included, as I believe they are missed opportunities. First, in 2018 the Government consulted on a set of corporate governance safeguards in the wake of the scandal at Carillion, and indeed at Thomas Cook, which came after that. I understand that the Bill relates to the immediacy of the coronavirus crisis, but it would have been better if the Government had acted on those vital corporate governance issues in the Bill, and we would have supported them in doing so. Given that this crisis makes corporate distress more likely, it is strange that the Government have not chosen to introduce such measures. The risk is that we will get more Carillions and Thomas Cooks, with all the consequences of that for employees In 2018 the Government were committed to greater accountability of directors in group companies, legislation to enhance powers for insolvency practitioners, and further raising standards by ensuring an explanation about the affordability of dividend payments. Labour supports all those measures—indeed, we have tabled amendments to insert them into the Bill—and we do not think they cut across the need to protect businesses through the coronavirus crisis. Will the Government explain what plans there are for those improvements to corporate governance? I understand that the Bill must go through at speed, but it would have been better if it contained those measures Secondly, like the hon. Member for North East Bedfordshire, I wish to mention late payments to small businesses, and the important role of the Small Business Commissioner. If larger companies do not make good on their payments to small businesses, that could be the thing that pushes them over the edge. We believe that the Bill could be used to strengthen the powers of the Small Business Commissioner to help businesses that are struggling with cashflow and liquidity, and such a measure would have improved the Bill As I have said, we want to facilitate the passage of the Bill as it is important to protect businesses up and down the country, and we hope it can be improved in the ways I have set out. Having dealt with its specific provisions, however, let me deal with the wider context. The measures in the Bill can play a part in preventing insolvencies, but as the House knows, the number of businesses that go out of business depends on the external environment and on what the Government do in response to that. I welcome the action taken by the Government so far. There are lots of measures that we support, but we also believe there are gaps and other areas where the Government need to act I wish briefly to outline four sets of issues that go directly to the question of insolvency. First, I fear that the support system introduced by the Government is still not working sufficiently for our SMEs, and it risks worsening the insolvency problem. We called for the 100% underwriting of loans six weeks ago for smaller firms, and we welcomed the bounce back loan. Clearly, however—the hon. Member for Thirsk and Malton (Kevin Hollinrake) made this point—those loans do not do enough for SMEs that need more than £50,000 of liquidity The bounce back loan was intended to improve the working of the CBIL scheme, but I am afraid that has not happened. I have the figures for what happened to the CBIL scheme in the past few weeks—I am sure the Secretary of State is as in touch with them as I am—and the number of facilities approved each week is going down, and the gap between the total numbers of applications and approvals is widening. Somebody contacted me the other day who will not be counted in those figures. He waited two months to be told by his high street bank that he was not eligible and that there was no point in him applying for a loan under the CBIL scheme. He will not be counted in those statistics, and hon. Members across the House will have heard of similar experiences I know that the Secretary of State is dealing with a range of issues to do with companies in distress. As I understand it, the idea was to get rid of the forward credit check for the CBIL scheme, but that does not seem to be doing the business and we need to understand why. I personally would be open to having 100% underwriting slightly higher up the scale, but we need a solution. Secondly, beyond SMEs, I am deeply concerned about particular sectors, with manufacturing top of the list. We have seen thousands of redundancies at Rolls-Royce, real problems in the aerospace sector, issues in the car industry and massive issues facing steel. In France, steel received support within a fortnight of lockdown, whereas here our companies are still waiting. We read stories in the Financial Times about public equity stakes being considered—the so-called “Project Birch. It sounds like an interesting idea, but I say to the Secretary of State that this is taking too long, both for larger companies and for the SMEs in the supply chain.
ParlaMint-GB_2020-06-03-commons.u372	My right hon. Friend is right to mention steel and aerospace in particular, as they are crucial providers of jobs in south Wales, and we have the situations with BA and with the steel industry. Does he agree that we need to get support to them as soon as possible?
ParlaMint-GB_2020-06-03-commons.u373	My hon. Friend has been powerfully advocating for the steel industry, along with other hon. Members in all parts of the House, and there is real urgency in this respect Let me just say something about the CLBIL—Coronavirus Large Business Interruption Loan—scheme, which is for larger loans. We are talking about more than £45 million. I fear that this is Treasury orthodoxy, so I will not expect the Secretary of State to comment. We all know Treasury orthodoxy—I do, as I used to work there. The good news is that the Chancellor raised the limit to £200 million for the amount that companies can get, but the bad news for companies is that the CLBIL loan has to become their most senior loan—it has to be top of their list. The problem is that that means companies then have to renegotiate their other most senior loan, so they are caught in a Catch-22 situation. I suspect the Secretary of State agrees with me, but he cannot say; perhaps the Chancellor is watching. I say to the Secretary of State that companies such as McLaren have said, “We have tried to get this loan but we cannot get it because of this Catch-22 situation.” This is urgent and I urge him to get it sorted. We have had only £1 billion paid out under this scheme; 191 firms have got loans, but that is out of 579 that have applied. This is about manufacturing largely; it is about lots of large manufacturers across our country who are really in distress. There is more to be done in advancing some of the money that is already in the budget for low carbon. That is true in relation to aerospace, where I believe there is a fund—I am hoping that can be advanced— and to steel Let me refer to some other sectors, as one of my hon. Friends did earlier. With the public health measures that are necessary, it is obvious that sectors such as hospitality, tourism and the arts will face much greater pressures for longer; they are going to take longer to reopen and recover. To give the House a sense of the scale, I should point out that the British Beer and Pub Association has warned that up to 40% of Britain’s pubs cannot survive beyond September with the current level of financial support; that one third of jobs in tourism-related areas are estimated to be at risk; and that the Society of London Theatre and UK Theatre estimate that 70% of the 290,000 jobs in that sector are at risk. Those are dire warnings we are being given. That brings me on briefly to the furlough scheme. It has been a really good innovation, but I do not understand why the Chancellor is pursuing a one-size-fits-all policy on that scheme, because the public health measures mean that some sectors will take longer to reopen and recover. Whether through the furlough scheme or a second wave of support, these sectors are going to need extra help. I know the Secretary of State is working on this, but I underline its importance: we are talking about thousands of pubs across our country, hundreds of theatres and arts venues, and jobs in tourism. These things are the lifeblood of our constituencies Thirdly, I want to raise with the Secretary of State the issue of the “month 13 problem” of insolvency. This is a bit further off, but it is still an issue. Even if the Government fix their loan schemes and provide the sectoral support required, the more debt there is weighing down companies, the greater the danger of insolvency down the line—this debt overhang is also bad for our economy when it comes to recovery. [Interruption.] I hear the hon. Member for North East Bedfordshire muttering about borrowing from a sedentary position, but I am talking about private debt. The Federation of Small Businesses has been suggesting for some time that loans need to become income contingent. It has suggested a student loan-type approach. In other words, when businesses get to a certain level of financial health, they can start repaying the loans. There may be other ways forward, such as converting the loans into equity, but we are going to need solutions for these firms.
ParlaMint-GB_2020-06-03-commons.u374	Would the right hon. Gentleman support the ideas that I have been doing some work on—as have lots of people—outside this place in relation to recapitalising the British corporate sector, not just in terms of debt to equity, but in finding ways to get much more equity into our businesses so that they are not weighed down by debt? That approach could be how we recover from this situation.
ParlaMint-GB_2020-06-03-commons.u375	I agree with the hon. Gentleman. We need innovative thinking in this area. We are going to have to do things—I think that the Chancellor has said this—that we would not have done in normal times, but we cannot send businesses back out into an economy that is recovering, with this massive debt overhang. [Interruption.] I will not give way again because I need to get on with it so that other Members can speak; I can see the beady eye of Madam Deputy Speaker Fourthly, crucial to helping businesses through this crisis is an economic stimulus that matches the moment. In particular, I hope that plans for a green recovery, which the Government have been talking about, will be at the centre of what they do. This is the way to get our economy moving, help to save businesses and meet our climate goals The Bill is a step forward. We continue to have worries about the protection of workers in the event of restructuring and insolvency, and hope it can be addressed as the Bill passes through both Houses. I wish that the reforms to corporate governance had been included I will end by mentioning the wider economic context. We are only at the end of the beginning of the economic crisis that we are facing, and there is a need for urgency, boldness and action in the coming weeks and months. The Chancellor has said that he will do whatever it takes. In my view, that means support for specific sectors, reform of the loans scheme, imaginative solutions to the debt problems facing the small and medium-sized enterprise sector, a commitment to building back better and a green recovery. It is in the interests of everyone across the country for the Government to act; if they do, they will have our support.
