ParlaMint-GB_2020-11-03-commons.u1	What plans he has to raise the mandatory retirement age for magistrates.
ParlaMint-GB_2020-11-03-commons.u293	For the sake of time, I will not speak to every single amendment.
ParlaMint-GB_2020-11-03-commons.u294	Go on!
ParlaMint-GB_2020-11-03-commons.u295	My hon. Friend says, “Please do,” but I am sure that other Members want to contribute to this debate Since speaking on Second Reading and in Committee, it has been my aim, and that of the Labour Front-Bench team, to try to improve the Bill. In my nearly 19 years in this House, I have been someone who is proud of our armed forces, considers myself a friend to them and wants to help them in any way I can. I stand up for them, and I speak passionately, I think, in defending not just them but the case for defence It has therefore been disappointing that the Government have not really engaged to amend the Bill. Yesterday, my right hon. Friend the Member for Wentworth and Dearne (John Healey) said to the Defence Secretary that he wished to work with the Government to try to improve the Bill today, and he got a single-word reply: “No.” We then had the reply from the Minister for Defence People and Veterans in response to a question on the Bill when he said that he would be “happy to work with anybody to improve this Bill, but we must operate in the real world.”—[Official Report, 2 November 2020; Vol. 683, c. 13.] The only problem with that is that it is the real world according to the Minister, and that world obviously has a different colour sky from the one that we all live in. The idea that, somehow, as long as he is saying it, it has to be true, even when his evidence is counter to that put forward by various witnesses in Committee, is telling. What was sad in Committee was that all the Minister did was read out his civil service brief to us in response to the various amendments. He was reluctant to accept any interventions, even from rottweilers such as my hon. Friends the Members for Blaydon (Liz Twist) and for South Shields (Mrs Lewell-Buck). When it comes to the Government Members on the Committee, I must congratulate the Whips Office on selecting so well, because those Members must have taken a collective vow of silence, which would have been admired by any silent ecclesiastical order. We had no contribution whatever from them, so it has been very difficult trying to engage with the Government on this Bill. The line is, clearly, that this is the answer, irrespective of what has been raised in Committee. We had some very good witnesses before us in Committee, but the Government are just not interested in changing the Bill, because the world and this Bill are perfect, according to the Minister and the Government.
ParlaMint-GB_2020-11-03-commons.u296	I concur with much of what my right hon. Friend is saying. He has always been a champion of the armed forces, both in his time in Government and, indeed, during the course of this Bill. Does he share my surprise that even the Government witnesses were saying things that disagreed with the Government’s account of this Bill? Professor Richard Ekins said that the Bill certainly does not stop investigations. He said: “In fact, if one were to make a criticism of the Bill, one might say that it places no obstacle on continuing investigations”––[Official Report, Overseas Operations (Service Personnel and Veterans) Public Bill Committee, 6 October 2020; c. 35, Q63.] Does he not find it surprising that even Government witnesses did not agree with the Government?
ParlaMint-GB_2020-11-03-commons.u297	Indeed. Time and again, supposed Government witnesses went against the Government. My hon. Friend raises a good point with the example that he has just provided The other thing that came out, which relates to my new clause, was about investigations. Investigations, or the problems that lead to these issues around investigations, were the thread that ran throughout the evidence. In spite of that, what we had at the weekend—this was a really dangerous move on the part of the Ministry of Defence—was tweets promoting this Bill from the MOD and saying that it would stop investigations. It will do nothing of the sort. As a former Defence Minister myself, using the MOD’s website and tweets to politicise things would not have been allowed in my day. What was put out is just not going to happen. Let us look at the evidence that we heard in Committee from a number of witnesses. The first one I will mention, again a Government witness, is Hilary Meredith, solicitor. She was very good and concentrated on the issue around investigations. She said: “It is the procedure and investigation in the UK that need to be reviewed and overhauled, and not necessarily a time limit placed on…prosecutions.”––[Official Report, Overseas Operations (Service Personnel and Veterans) Public Bill Committee, 6 October 2020; c. 16, Q24.]
ParlaMint-GB_2020-11-03-commons.u298	The right hon. Gentleman has a long track record of supporting the armed services here. Is he concerned by the expression of doubt that has been put by members of the Royal British Legion? They have put in writing to all Members of Parliament the fact that they believe that part 2 of this Bill should be improved and that the time limit really gravely concerns them.
ParlaMint-GB_2020-11-03-commons.u299	I am, and I will come onto part 2 in a minute. The hon. Gentleman has hit on an issue relating to the Government’s approach to this Bill. The Minister is saying that it is standing up for members of the armed forces. It is doing nothing of the sort. In part 2, it is actually taking away rights.
ParlaMint-GB_2020-11-03-commons.u300	Will the right hon. Gentleman give way?
ParlaMint-GB_2020-11-03-commons.u301	I will let the Minister intervene, even though he is very reluctant to give way to me. I asked him if I could intervene on numerous occasions in Committee, but he would not tear himself away from the civil service briefing in front of him.
ParlaMint-GB_2020-11-03-commons.u302	I just wish to intervene briefly. It is a litany of accusations and they are complete rubbish. Where have I ever said that I wanted to stop investigations in this Bill? That is what I would like the right hon. Gentleman to indicate to me.
ParlaMint-GB_2020-11-03-commons.u303	Order. That is a perfectly reasonable question, but, although it is not exactly unparliamentary language, perhaps the Minister, speaking as he does with dignity from the Front Bench, might use a different phrase than “complete rubbish”—just something a little bit different.
ParlaMint-GB_2020-11-03-commons.u304	It is better than he did in Committee when he called me a hypocrite, Madam Deputy Speaker, but if he listens to what I am saying, he will know that I am not saying that. I know that his attention span is not very good, and he does not tend to listen. What he tends to do is just stick to what he has in front of him and his view of the world, rather than hearing what people are saying. The issue is—[Interruption.] Well, he can say “brilliant” and chunter as much as he likes, but this is the issue—the delays that are taking place because of the investigations I have referred to Judge Blackett, and the Minister was there when the evidence was taken. Judge Blackett is a just-retired senior judge of the service justice system, and he said: “The Bill is effectively looking at the wrong end of the telescope. It is looking at the prosecution end, and you have got to remember that you do not prosecute until you investigate—and you have got to investigate. This will not stop people being investigated and it will not stop people being re-investigated and investigated again. Lots of investigations do not go anywhere, but the people who are investigated do not see that.”—[Official Report, Overseas Operations (Service Personnel and Veterans) Public Bill Committee, 8 October 2020; c. 120.] That came up when we took evidence from Major Campbell. I will put it on record again that his case was a disgrace, because it took 17 years, but this Bill will do nothing to speed up such cases or to ensure that reinvestigations do not occur. That is the key problem. The problem is not the prosecutions, because their number is very small.
ParlaMint-GB_2020-11-03-commons.u305	I have put in three written questions about this Bill, and yesterday I had answers to them. Two of the answers were helpful, but one, on the point that the right hon. Gentleman is making, was not. I was trying to establish how many investigations had not resulted in prosecutions, and I could not seem to get an answer, yet that is central to the whole problem. The core of the problem is not the small number who get prosecuted but the large number who get investigated.
ParlaMint-GB_2020-11-03-commons.u306	The right hon. Gentleman is correct. That came out in evidence that we took throughout the Committee. The issue is not the number of prosecutions but the number of investigations and how we can speed up the length of time they take The problem is that the Ministry seems to have a deaf ear when it comes to recognising that we need to address the issue around investigations, which is what new clause 1 would do. It would ensure that we had judicial oversight of the investigations. We can see what we have at the moment from the example of Major Campbell’s case, which went on and on. New clause 1 states that after a certain period of time, the evidence should be put before a judge to see whether there was a case to answer. Clearly, if the evidence did not meet the test and the case was going nowhere, it would get thrown out there and then. Alternatively, it could be decided that the case needed further investigation, but at least that would ensure that, after six months, there was some judicial oversight of the investigation. That would be a way of ensuring that these investigations did not go on for a long time.
ParlaMint-GB_2020-11-03-commons.u307	My right hon. Friend has always been a strong supporter of the armed forces. Does he agree that, while drafting the Bill, the Government, who claim to be champions of our armed forces, continued to ignore the impartial advice of the Royal British Legion, which has stated again and again that it breaches the armed forces covenant?
ParlaMint-GB_2020-11-03-commons.u308	But it really does not matter, because if my hon. Friend wants to see the attitude of the Minister to the Royal British Legion, he has only to read the evidence that came before the Committee New clause 2 would provide a way of ensuring that minor offences were dealt with speedily. As Judge Blackett said, this could be done in a magistrates court, where, after a period of time had passed, the cases could be looked at judicially and ticked off and dismissed on the basis that the there was no evidence to go forward. That would deal with a lot of the smaller issues. People ask why that is important, but if we look at the Iraq Historic Allegations Team—IHAT—and Northmoor, some of those cases involved assault and other things that in normal circumstances could be dealt with very quickly in a magistrates court. At least if we had a judge looking at them, he or she could make a decision as to whether or not those cases had any merit. It is amazing that the Government fail to recognise that the problem is not prosecutions but actually the investigatory process Then, halfway through the Bill Committee, the MOD announced it was coming forward with a review of investigations, to feed into next year’s Armed Forces Act, when the obvious place to have put that would have been in this Bill. The reason for doing that was given away by the Minister in the evidence session: this Bill has nothing to do with making sure of these matters. There is no reason why what I am suggesting and other issues around investigations could not be put in the Bill now and improve it, yet for reasons of tidiness the MOD wants to do it next year I have some sympathy with the MOD on that, because perhaps the best way to do this is in those five-yearly reviews of the Armed Forces Acts—and I think I have been on the Committee for every single one for the past nearly 20 years as either a Minister or Back Bencher. But the reason this Bill is before us has nothing to do with that; the Minister let the cat out of the bag in Committee when he said he had to get this through now, because one of his general election pledges was to do it within 100 days. I am sorry, but that is not a good way of bringing in legislation—just trying to press it forward irrespective of whether or not it is flawed.
ParlaMint-GB_2020-11-03-commons.u309	I have a lot of sympathy with what the right hon. Gentleman is saying, but may I drag him away from his politics for a second? Would it not be very simple to incorporate the recommendation in a 1960s magistrates Act of a judge advocate general, as that would deal with exactly what he is talking about?
ParlaMint-GB_2020-11-03-commons.u310	It would. That and judicial oversight would improve the Bill tremendously. It would then actually do what it is supposed to do, which is stop reinvestigation and stop the worry that these individuals have, but it does not do that; that is the big hole in the Bill It is not as though the Minister has not had a chance to look at this. I have raised it with him—I tabled amendments in Committee, which he pushed aside, and we are going to go ahead with what we have now, which will be a flawed Bill. Once it has passed, it will lead to a situation whereby a lot of people think that as a result they have protections when, frankly, it will do nothing of the sort, because it will not stop investigations and reinvestigations. One of the worst things we can do in politics is promise people things and give them the impression that we have done something when actually we have not, because once the penny drops and they see it is not actually the case, they rightly feel very bitter As the right hon. Member for Haltemprice and Howden (Mr Davis) has just said, there is time to put this in the Bill. If Ministers are not going to do it in this place, they should do it in the other place, because it will improve the situation There is another dishonesty with this process. From, again, using the MOD website, which I do not think is appropriate for political reasons, we see there is a promise about Northern Ireland. The Minister is on record as saying that similar legislation will be brought in to cover historical cases in Northern Ireland. Well, I am sorry, but it will not do so if it is like this Bill; if it is like this Bill then, frankly, it will do nothing at all on investigations. If it is a mirror image of this Bill, all those people who think that somehow they are going to get protection will find that they do not, and that is just not fair.
ParlaMint-GB_2020-11-03-commons.u311	I am sure the right hon. Gentleman will agree that the officers who served under Operation Banner have been completely jettisoned and abandoned. That is the bottom line, and that is the crying shame of this—and I do not trust anyone in the Northern Ireland Office to bring forward a Bill that will help those ex-servicemen in the years to come.
ParlaMint-GB_2020-11-03-commons.u312	The hon. Gentleman makes a clear point: do I feel it right that, frankly, people in their 70s or 80s and even younger are worried about this happening? No, I think that is appalling, frankly, because there is an evidence test: is it in the public interest for those individuals to be now dragged before the courts? No, it is not. Here we have another promise that will not be delivered. I must say he is right in terms of the Northern Ireland Office. I have looked at the matter in detail—I have met all parties in Northern Ireland, including Sinn Féin, along with the right hon. Member for New Forest East (Dr Lewis)—and I think that finding a mechanism is going to be virtually impossible.
ParlaMint-GB_2020-11-03-commons.u313	I thank the right hon. Gentleman for his comments. The fact is this will end up in Northern Ireland Operation Banner officers being a trade-off between what the NIO finds politically helpful to buy off bartering with the Provisional IRA and Sinn Féin.
ParlaMint-GB_2020-11-03-commons.u314	I defer to the hon. Gentleman’s knowledge of Northern Ireland politics, but I will say that this will not be solved by the promise that has been made. That again is not the issue I turn to new clause 3. It relates to the point that was raised on part 2 and is covered by an amendment tabled by Members on the Labour Front Bench. The issue is the stripping away of rights from veterans. I find it absolutely astonishing that, in this week of remembrance, we have a Government who have introduced a Bill that will actually take rights away from veterans. The longstop of six years will mean that veterans—and families—will not have access to section 33 of the Limitation Act, which allows people to bring cases out of time In Committee there was a lot of discussion about how many people would be affected. The Royal British Legion was very clear in its opposition to part 2 because, as Charles Byrne said in response to the Minister: “I think it is protecting the MOD, rather than the service personnel”––[Official Report, Overseas Operations (Service Personnel and Veterans) Public Bill Committee, 8 October 2020; c. 86, Q163.] He said that the Royal British Legion thought it did breach the armed forces covenant. I agree, because the covenant states: “Those who serve in the Armed Forces, whether Regular or Reserve, those who have served in the past, and their families, should face no disadvantage compared to other citizens in the provision of public…services” and so on. I agree with that, but this strips away their rights under section 33, which means that if somebody brings forward a case after the six-year longstop, they cannot have recourse to section 33 of the Limitation Act, because the Bill will take those rights away. Those rights are open to every single Member in the House today, and to prisoners and asylum seekers—anybody who wants to bring a case The Minister said that 94% of cases were brought within the time limits anyway. That is irrelevant to me, because 6% clearly are not, and it is those 6% that will then possibly use the Limitation Act. May I put this on record, as I did in Committee? Bringing forward a section 33 case is by no means easy. It pertains to a very small number of individuals who could not bring their case within the time limit because their circumstances were unique; and they have to go before a court and argue out the reasons. I have done it myself when I worked for a trade union on injury or disease cases that were out of time—although you would not take on such a case in the first instance if you thought you would not get anywhere. However, there are those important cases that you can take, and which do make a difference The case that was mentioned time and again in Committee was the Snatch Land Rover decision in 2016. The families took forward the case under the Human Rights Act, which I will come on to in a minute, on the basis that their loved ones had been killed and injured in Iraq because of negligence on behalf of the MOD.
ParlaMint-GB_2020-11-03-commons.u315	Order. Just for clarification, in the silent exchange that the right hon. Gentleman and I have just had, I was trying to indicate to him that it would be helpful to the House if he concluded his remarks quite soon. I know it seems that he has not been speaking for very long, but it has been 22 minutes. I appreciate that he has taken a lot of interventions and this is important. I am requiring not that he finishes now but that he takes into consideration that there are many points of view on this Bill and that there are many people who wish to speak and, although we have a long time, we do not have long enough for everyone to take more than 20 minutes. He has some serious points to make, and I trust he will make them as quickly as possible.
ParlaMint-GB_2020-11-03-commons.u316	On one occasion, I spoke in Committee for an hour and 10 minutes.
ParlaMint-GB_2020-11-03-commons.u317	Could the right hon. Gentleman take a moment to reflect on what he said in his opening remarks, when he said there was near silence from Conservative Members in Committee? I was there, and I did not hear silence, but his contributions probably put us to sleep. With respect, could he think about it again for one moment On our side, we had valuable contributions from Members of Parliament who have served this great country of ours, like my hon. Friends the Members for Wrexham (Sarah Atherton) and for Wolverhampton South West (Stuart Anderson). They know what they are talking about. Would the right hon. Gentleman care to think again about saying they were silent?
ParlaMint-GB_2020-11-03-commons.u318	Order. Let us get this straight. Interventions will also be brief this afternoon. We want interventions because there is a serious debate to be had. As I look around the Chamber, I see experienced parliamentarians and others who understand that this is a very important Bill, and much of it is very sensitive, so let us try to behave with sensitivity and consideration for others.
ParlaMint-GB_2020-11-03-commons.u319	I made a mistake this morning, because I was going to count the number of interventions. There were no speeches from Conservative Members in Committee, although I think there were six interventions.
ParlaMint-GB_2020-11-03-commons.u320	Order. I do not care how many interventions there were in Committee. This debate is not about Committee; it is about the important matters before us, and that is what we will stick to.
ParlaMint-GB_2020-11-03-commons.u321	Sorry, Madam Deputy Speaker, but I was being polite in replying to the hon. Member for Derbyshire Dales (Miss Dines) The families took the case against the MOD on the basis that they did not know about the Snatch Land Rovers until the Chilcot inquiry reported. That was way past any time limit.
ParlaMint-GB_2020-11-03-commons.u322	Surely the right hon. Gentleman realises that the proposed six-year time limit applies from the point of knowledge or the point of diagnosis, so it is not clear what point he is trying to get across.
ParlaMint-GB_2020-11-03-commons.u323	He who waits it all comes to. I was going to answer that point in a minute The MOD argued two things in that case. First, it argued that the case was out of time, and the families won the limitation hearing to take the case forward. The hon. Member for Filton and Bradley Stoke (Jack Lopresti) has just said it would be within the six-year limit. No, it would not. Let us suppose they had taken the case not in 2016 but six years later. They would not be able to take a limitation hearing at all. The Minister does not quite understand that problem The case I raised in Committee was of an aircraft engineer who developed a very serious nerve condition from paint. The only reason he was able to take forward his case was because the technology had changed and research had shown that the paint actually damages people’s nervous system The Minister said in Committee that, somehow, he is on record in The Sun as guaranteeing that no one will lose out, but he cannot because that will not happen: as I said to him in Committee, using the Robin Day analogy, we are all here-today, gone-tomorrow politicians. Frankly, what will happen is that MOD lawyers will use this to stop people making claims.
ParlaMint-GB_2020-11-03-commons.u324	Will my right hon. Friend give way?
ParlaMint-GB_2020-11-03-commons.u325	If I must.
ParlaMint-GB_2020-11-03-commons.u326	My right hon. Friend does not have to if he does not want to Will the passing of the Bill mean that civilians working for the MOD down the road will end up having, in effect, more rights than Army service personnel who have served in operations overseas? Does that not bring us back to the fundamental issue of the breaking of the armed forces covenant, on which the Government really must think again?
ParlaMint-GB_2020-11-03-commons.u327	It does. The Bill’s provisions will also mean that prisoners will have more right to sue the MOJ, for example, than armed forces personnel. The Minister said in Committee, “That’s terrible because you’re comparing armed service personnel with veterans”; no, I am not. I am saying that if the Bill goes through, prisoners will have more rights than armed forces personnel. That cannot be right. The Minister mentioned the 6%; I am sorry, but if even one veteran loses their rights under this Bill, I am not prepared to support that My next point is about the Human Rights Act. I support the amendments tabled by my hon. Friend the Member for Barnsley Central (Dan Jarvis) and the right hon. Member for Haltemprice and Howden (Mr Davis), because it is about how this looks in terms of our international reputation. There is derogation in the Bill; I accept that there cannot be derogation for torture, but it can and will be used to stop claims by MOD personnel against the MOD itself. The Snatch Land Rover case was brought under the Human Rights Act. Some people have the idea that the Human Rights Act is there to protect nasty foreigners and people we do not like; no, it is not. It is there to protect us all, including armed forces personnel. I am sure that that derogation will be used again by the MOD to deny the rights of individuals to take cases People should look at the Smith judgment on that case. What were the Government arguing? They were arguing that combat immunity, which is covered and was reinforced by the Supreme Court judgment, applied in that case because it happened in Iraq. No, that was not the case; the case was actually about the design and the decision to procure those Land Rovers and put them into theatre. The derogation will clearly be used in such a way I wish to make one final point, about our standing in the world. I am a supporter of the service justice system—it works well and we should be proud of it—but the problem with the Bill is this: do I want to see British servicemen and women tried in the International Criminal Court? No, I do not. I want them to be tried by their peers in a court in this country. As the Judge Advocate General, Judge Blackett, said in Committee, under this Bill there is a danger that if we have a presumption against prosecution and the issue around torture, we will get a situation whereby individuals will be tried not here but elsewhere. That would be terrible, not just for those individuals but for this country’s international reputation.
ParlaMint-GB_2020-11-03-commons.u328	I had been hoping to manage this afternoon’s proceedings without a time limit, but I do not think that is going to work; therefore, I am now obliged, in order to try to get a fair and equitable debate, to start with a time limit of eight minutes, but that will be significantly reduced later in the debate. If hon. Members who have eight minutes choose in an honourable way to speak for less than eight minutes, that would be remarkable.
ParlaMint-GB_2020-11-03-commons.u329	The right hon. Member for North Durham (Mr Jones) set me a target of 30 minutes, Madam Deputy Speaker, and you have reduced it to eight. It is a crying shame The Bill’s importance comes down to the penultimate points that the right hon. Gentleman was talking about. The importance of the Bill is all about the Human Rights Act. It is all about the defence not just of British service personnel—which is absolutely right—but of these islands, this nation and our citizens. The point about this Bill is that the law not only interferes inappropriately in the way that the combat forces of our country conduct themselves, but it actually weakens the defence of our realm. Let me break down what I mean by that and explain clearly why this is a problem We are seeing today armies being stopped from deploying in certain areas and individual personnel being asked to stop operations because the law is geared to a civilian environment. We have seen legal action brought against the MOD to protect the rights of an individual on operations who has volunteered and specifically stepped up to serve in a risky environment, knowing the dangers and the consequences. The important difference between the civilian environment and the military one and between, to use the jargon, international humanitarian law and international human rights law—or the Geneva convention and civilian law, if you like—is that the law is geared to the environment. If it is not, we end up doing something most unfortunate that nobody in the House wants to do: we end up giving ammunition to the enemy and power to those who would seek to take power from us.
ParlaMint-GB_2020-11-03-commons.u330	I like the hon. Member, but he is talking complete nonsense. If he has read the Smith case, which went before the Supreme Court, he will know that combat immunity is completely covered under the Human Rights Act. It did not change that one iota, so what he suggests just will not happen. That case reiterated the point about combat immunity under the Human Rights Act.
ParlaMint-GB_2020-11-03-commons.u331	I am sorry, but the right hon. Member is completely wrong. If he reads “The Fog of Law” written by—oh—me in 2013, a paper for Policy Exchange written alongside actual lawyers, rather than me, such as Richard Ekins, with a foreword written by Lord Moses of the Supreme Court, he will see exactly what I am talking about. If he reads “Clearing the Fog of Law”, which explains the situation, he will see clearly why this is a problem. This is absolutely an issue.
ParlaMint-GB_2020-11-03-commons.u332	Will the hon. Gentleman give way?
ParlaMint-GB_2020-11-03-commons.u333	I will carry on It is also an issue for the human rights of some of the people we are fighting. Bizarrely, there were situations in Afghanistan where individuals could only be detained for a certain number of hours. They could not, for various reasons, be handed over to the Afghan authorities, despite the fact that we were, in theory, supporting the Afghan Government. It meant that after a certain number of hours—normally about 96 hours—they had to be released. The fact that they were known bomb makers who had definitely been handling explosives because chemical evidence showed it, could not be used, because in order to be used, those people would have had to be handed over to the Afghan authorities, and various people argued that the Afghan authorities were too inappropriate, too corrupt or too violent So, what happened? What do you think happens when someone who has taken up arms against you, literally tried to kill you and planted bombs to try to maim you cannot be detained? It is simple: after the legal limit was reached, the prisoners were released and followed for a number of hours, until they did exactly what we would expect: they went back to a weapons cache or arms unit and were engaged again as lawful military targets. How is that a defence of the human rights, even of the individual concerned?
ParlaMint-GB_2020-11-03-commons.u334	The hon. Gentleman, who is a good Member and a friend, is making a really interesting argument, but I fail to understand how it has anything to do with the Bill. How has limiting the ability of service personnel to take civil action against the MOD got anything to do with what he is talking about? How is requiring a five-year statute of limitations on things like torture anything to do with what he is saying about the operation in war? Can he explain how the interesting points he is making are relevant to what is in the Bill? I and, I think, my colleagues fail to see it.
ParlaMint-GB_2020-11-03-commons.u335	I am sorry that the hon. Member is failing to see it, because I thought I explained it quite clearly with the Ukraine example. We also see in other operations how the use of law has undermined the combat effectiveness of the armed forces. We see time and again in operations the opportunity for an individual with nefarious intent to try to bring legal action against the MOD to prevent operations.
ParlaMint-GB_2020-11-03-commons.u336	Will the hon. Member give way?
ParlaMint-GB_2020-11-03-commons.u337	I will not give way any more; I had two interventions and they are done. We see again and again how legal intervention could be used to try to prevent operations. That, absurdly, prevents the armed forces from doing exactly what they are there for: to be the strong defending the weak. Instead, soldiers deployed on lawful operations will not be able to act in defence of the most vulnerable. The Bill clearly intends to go some way towards dealing with that. I do have a criticism of the Bill in that it does not go far enough to prevent multiple investigations, but the Minister for Defence People and Veterans, my hon. Friend the Member for Plymouth, Moor View (Johnny Mercer) will agree with me on that. It is true that it goes some way, but not nearly far enough.
ParlaMint-GB_2020-11-03-commons.u338	I declare an interest as a veteran. It is a pleasure to be called in the debate and a pleasure to follow the hon. Member for Tonbridge and Malling (Tom Tugendhat). I do not share his analysis on this occasion, but it is a pleasure to follow him none the less I begin with what I hope is a point of agreement across the whole House. We all appreciate and understand the strength of feeling and high regard that Members across the House have for those who serve in our armed forces. Sadly, we are all too familiar with stories of our armed forces personnel being hounded for years and years. The Bill seeks to address such abuses but—here is where I part company with the Minister and the Government—in a manner that I believe will see Britain reneging on its international legal commitments. I will focus my remarks on the exception of torture from the Bill Torture, aside from being wholly ineffective, is illegal, immoral and inhumane. However, having listened to the Government’s arguments throughout the passage of the Bill, I remain convinced of the need for safeguards on torture. For the most part, Ministers have sought to dismiss the suggestion that the triple lock will weaken our stance on torture, yet an ever-growing number of legal experts, military figures and parliamentarians on both sides of the House think there is a need for a rethink It is obvious to see why there is a problem with the Bill. In my view, the Government have taken the correct decision to exclude sexual offences from the Bill. They could not have been more explicit when doing so. In response to the public consultation, the MOD said: “the use of sexual violence or sexual exploitation during conflict is never acceptable in any circumstances.” I believe that the same applies to torture. It is never acceptable in any circumstances. When pushed on that matter, Ministers have argued that an allegation of torture could arise as a consequence of the unique and often dangerous tasks that soldiers are instructed to carry out on overseas operations. That is just not correct. The rules on detention and interrogation are clear. The British Army’s training on detainee handling and tactical questioning is rigorous and leaves no room for doubt There is no debate on what constitutes torture, nor can an act of torture be conducted in error or as a result of a split-second misjudgment. It is a premeditated action for which there can be no justification. There is a reason why our soldiers are taught where the line is: we lose our legitimacy if we sink to the level of our opponents. By not excluding torture in the Bill, the Government are taking another step backwards on international law and on human rights.
ParlaMint-GB_2020-11-03-commons.u339	My hon. Friend is making points with which I absolutely concur. The prohibition on torture is absolute. I have witnessed first hand the training given to our armed forces personnel on the issues that he has described. Does he share my concern, which was expressed in Committee, that not excluding torture in the way that the Government could have done, and have done on sexual offences, puts our armed forces personnel at bigger risk of being taken to places such as the International Criminal Court in The Hague, which nobody wants to happen?
ParlaMint-GB_2020-11-03-commons.u340	My hon. Friend raises an incredibly valuable point. That is a real risk and an unintended consequence of the Bill. I hope that the Minister gives pressing thought to that during the remainder of its passage through the House My hon. Friend will have seen the excellent report by the Joint Committee on Human Rights, which raised significant concerns that the Bill breaches the UK’s international legal obligations under international humanitarian law, human rights law and international criminal law. The Committee recommended that at a minimum, the Government should exclude torture, war crimes, crimes against humanity and genocide from the Bill’s presumption against prosecution. That is precisely what the Government should be doing When I spoke to the Minister before Second Reading, he said that he was amenable to looking at such changes. I am sure he believes, as I and many right hon. and hon. Members on both sides of the House believe, that torture is incompatible with the values and standards of our armed forces.
ParlaMint-GB_2020-11-03-commons.u341	There is nothing in the Bill that prohibits any investigation within or after the five years for any such acts. There is nothing that favours them; there is no amnesty, no pardon, and no statute of limitations. By the way, I enjoyed the hon. Gentleman’s book, which I read a couple of weeks ago, but I have to say that on this occasion, he is mistaken.
ParlaMint-GB_2020-11-03-commons.u342	I thank the hon. Gentleman for the comments towards the end of his remarks. There is a weight of expert opinion. I am reassured about the strength of the case that I and other hon. Members are seeking to make today by the contacts I have had with my former colleagues who are still serving in our armed forces. There is a genuine debate still to be had about this. I am sure that the Minister will want to engage with the substance of the debate. Let us keep talking about it.
ParlaMint-GB_2020-11-03-commons.u343	When the Defence Committee was looking at the matter in the previous two Parliaments, it recommended a Bill of this sort provided that the time limit was qualified by the absence of compelling new evidence. Is the hon. and gallant Gentleman saying that he does not feel that that proviso is in the Bill? If that proviso is in the Bill, if there were compelling new evidence that had not come forward in the first five years but came forward afterwards, then indeed a prosecution could proceed.
ParlaMint-GB_2020-11-03-commons.u344	The right hon. Gentleman makes a very important point. I certainly assume that all of us attend this debate and seek to make contributions in good faith, and I think there is a genuine desire from Members from all parts of the House to improve this Bill. The Minister has indicated on a number of occasions that in good faith he wants to have that continuing conversation with Members about how we can improve the Bill. There is still time to do so, and I very much hope that we will not miss out on that opportunity.
ParlaMint-GB_2020-11-03-commons.u345	It is a privilege to follow the gallant and hon. Gentleman, who is a co-signatory with me to amendments 1 to 10, which deal with the issue of torture. If this country stands for anything, it stands for the rule of law. That enhances our reputation abroad and increases our influence abroad. It is also important to the reputation and effectiveness of our armed forces, who are made safer and more effective because of it. The right hon. Member for North Durham (Mr Jones) spoke at length about the Bill not dealing with investigations, so in the interests of time I will move past that As the hon. Member for Barnsley Central (Dan Jarvis) said, the Judge Advocate General—the most senior judge in the Service Prosecuting Authority, the person who is the most knowledgeable about all these issues and who was in place for 16 years when these issues were being dealt with—says that this Bill does not address the issue. I will quote him again later on, because he is clearly not some left-wing, liberal lawyer or somebody who wants to undermine the armed forces; he is somebody who wants this country to succeed In the witness statements to the Bill Committee, the overriding view of the witnesses was that the principal failing was the failure to include war crimes, crimes against humanity and torture in schedule 1, which in their view contravenes the UK’s commitment to international law and invites the attention of the International Criminal Court.
ParlaMint-GB_2020-11-03-commons.u346	Article 3 of the Geneva conventions covers torture and crimes against humanity, and there is a convention on torture itself. When I was a member of the armed forces, we were subject to that as our highest priority. Indeed, I often used the Geneva conventions to justify my actions, and the Geneva conventions guide the armed forces. All those people who go on operations are guided by the Geneva conventions, I promise that.
ParlaMint-GB_2020-11-03-commons.u347	My hon. and gallant Friend is exactly right, and I want to see the reputation that comes from that preserved after this Bill becomes law I will briefly address the weaknesses of two parts of the Bill separately—this addresses directly my hon. Friend’s comments: first, the criminal prosecutions and then the civil cases Prosecutions against armed forces personnel are not brought by just any lawyer. They are brought by the Service Prosecuting Authority, which is part of the Ministry of Defence. As it stands, a prosecution can be brought only where there is sufficient evidence that the accused committed the offence and where it is in the public interest that the prosecution should be made. There is therefore already a high threshold for prosecution. As a result, since 2000, there have been 27 prosecutions. Given how many thousands of members of our armed forces have been in operations in difficult circumstances—in close quarters with the civilian population, fighting against an asymmetric enemy—that is an astonishingly low number. That is not a prosecution system that is out of control. That alone shows that the system is not slanted against soldiers.
ParlaMint-GB_2020-11-03-commons.u348	I agree with my right hon. Friend that the prosecution system is not out of control, but does he agree that the investigatory system is? To answer my own intervention on the hon. and gallant Member for Barnsley Central (Dan Jarvis), is my right hon. Friend aware that clause 3(2)(b) says that the five-year limit will not apply unless “compelling new evidence has become available” Why is he not reassured by that?
