ParlaMint-GB_2020-07-21-commons.u1	What steps his Department is taking to support businesses during the covid-19 outbreak.
ParlaMint-GB_2020-07-21-commons.u311	The Home Secretary said in her statement: “If we find a problem, I will fix it.” Let me commend to her the work of my constituent Chrisann Jarrett and We Belong, young people who came to this country, some when they were as young as two. They are now on the long road to citizenship—10 years—and every three years have to pay over £2,500 in fees. These are young people who will become British citizens, but every hurdle is being put in their way. They are passionate about this country and are not going to live anywhere else. The Home Secretary could save herself resources and staff time, and support those young people, if she were to look at this. I am sure that Chrisann and We Belong would be willing to engage with her Department.
ParlaMint-GB_2020-07-21-commons.u312	I look forward to that engagement if it is something we can facilitate.
ParlaMint-GB_2020-07-21-commons.u313	My right hon. Friend will be all too aware of the multicultural nature of my constituency: not a day goes by without somebody coming to my office—at the moment, virtually —with a new immigration case. Many of these cases are complicated, stretch back several years and are in a queue in the Home Office. Can I urge her, as she progresses the reforms on the Windrush generation, not to remove resources from dealing with people in the backlog, but actually to concentrate more experienced caseworkers there to clear this backlog so that people who have been living in this country for an awfully long time can normalise their position?
ParlaMint-GB_2020-07-21-commons.u314	My hon. Friend is absolutely right, and I can assure him that the two are separate—obviously we have a bespoke team working on Windrush. I hear him completely on the wider immigration cases. The closure of centres over the last four months will not have assisted with the speed of processing, but now that we are getting back to work, the claims will be processed and people will be given the attention they deserve.
ParlaMint-GB_2020-07-21-commons.u315	I thank my right hon. Friend for the support her Department has given to my constituents affected by this. Will she ensure everything is done to get them the compensation they are entitled to as soon as possible?
ParlaMint-GB_2020-07-21-commons.u316	My hon. Friend makes a similar point to colleagues in the House about the scheme itself. Of course, I am determined to ensure that compensation does get out to individuals quickly. As I have already said—I will restate the point—where changes may need to take place around the scheme, we will look to undertake them.
ParlaMint-GB_2020-07-21-commons.u317	The no recourse to public funds policy is another example of a policy that affects migrants and the BAME community, and it must be scrapped immediately. Will the Secretary of State show that she is serious about addressing inequality and scrap the policy?
ParlaMint-GB_2020-07-21-commons.u318	As I said, all policies are under review in the Department, but specifically, on no recourse to public funds, it is right that those who benefit from the state also contribute to it. The policy is specific to migrants coming to our country being financially independent, which is also in the interests of British taxpayers.
ParlaMint-GB_2020-07-21-commons.u319	First, I thank the Home Secretary for the tone and ownership she has displayed in the Chamber on the issues impacting the Windrush generation. Will she acknowledge that the Windrush scandal highlights how institutions can fail, with discrimination and prejudice against individuals. There is often denialism, and only after a scandal are they forced to accept the dark reality. What changes are the Home Office implementing so that issues such as racism can be raised and highlighted in a manner where they will be believed?
ParlaMint-GB_2020-07-21-commons.u320	As I have already stated, Wendy’s review is important because she described a number of measures that evolved under Labour, coalition and Conservative Governments over decades. It is important that we all look at ourselves, because we must all be better at walking in other people’s shoes. We must all take responsibility for the failings that happened in the past. We are also one community who deserve to be treated with respect. We should therefore all learn lessons from the past.
ParlaMint-GB_2020-07-21-commons.u321	My right hon. Friend referred to changing the Home Office’s openness to scrutiny, which will, quite rightly, lead to the Home Office better understanding the communities and groups it serves. What steps will she put in place to ensure that a similar level of understanding can be applied to the data that the Home Office holds and the impact that changes in policy might have on the people whom the data reflects?
ParlaMint-GB_2020-07-21-commons.u322	My hon. Friend makes an important point about data, with the type of trends and information that comes through to the Home Office. In fact, the hon. and learned Member for Edinburgh South West (Joanna Cherry) also touched on data and processes. On scrutiny, we need to look at all aspects—not just policy but information, trends, flows, immigration data and all the sorts of data that come into the Department. We also need the skills to do that. That is part of the change we are seeing not just in the Home Office but across Government, with data analytics and information, in how we as a Government can respond on policy while treating people with compassion and fairness.
ParlaMint-GB_2020-07-21-commons.u323	On a point of order, Madam Deputy Speaker. On 16 June, the UK and US Governments signed a draft US-UK technology safeguards agreement, and on 18 June, I asked the Government when they would publish details of it. I duly received a reply on 23 June to say that it would be laid in Parliament after enabling legislation was in force. We are now more than a month on and heading into recess, yet there is no sign of any detail about this agreement being published. I am looking for advice on how I can get greater clarity from the Government on what that agreement includes over the course of the recess.
ParlaMint-GB_2020-07-21-commons.u324	I am grateful to the hon. Member for raising that matter and for giving me notice of his point of order. He has successfully raised the issue in the Chamber. It is not really a point of order for the Chair, but I know that Ministers on the Front Bench will have heard what he said, and I am sure that they will pass it back to the relevant Department. He may wish to write to Ministers —he asked what he could do over summer, and that is one course of action—but I am confident that Ministers on the Front Bench will pass it back and try to assist him.
ParlaMint-GB_2020-07-21-commons.u325	I beg to move, That leave be given to bring in a Bill to amend the Road Traffic Offenders Act 1988 to increase the maximum sentence for causing death by dangerous driving to life imprisonment; and for connected purposes Death by dangerous driving is an all too familiar phrase, yet I wonder how many people, when they hear that phrase, think about the tragedy and devastation of lives that lies behind it. In 2015, my 19-year-old constituent Bryony Hollands died at the hands of a dangerous driver—a driver under the influence of drink and drugs. He was sentenced to eight years and served just four years in jail. In July 2018, my constituent Ciara Lee’s husband Eddy was killed on the M4. The driver responsible was sentenced to just 22 months and is already out on licence. In December 2019, a driver under the influence of drugs hit and killed 13-year-old Max Simmonds in my constituency. The judge described the defendant’s driving record as “nothing less than appalling”, indicating an “utterly selfish and thoughtless attitude to other drivers” I am sure that the majority of Members of this House —indeed, possibly every one of them—have a story to tell of death by dangerous driving in their constituency, and many of those events will have left loved ones feeling that justice has not been done. My hon. Friend the Member for Winchester (Steve Brine) was telling me about a case in his constituency just last night, and there will be other cases across the country—cases like that of Violet-Grace, told to me by the hon. Member for St Helens South and Whiston (Ms Rimmer). Violet-Grace Youens was four years old when she tragically died. A car being driven recklessly mounted the pavement and struck her and her grandmother. The driver left the scene, running past Violet-Grace and her grandmother as they lay injured on the ground. When he was eventually apprehended, he was sentenced to nine years and four months. Becky Youens sadly remarked that he will serve less time in prison than Violet-Grace was alive. Bryony Hollands’s father, my constituent Mark Hollands, has campaigned since her death for the maximum sentence for causing death by dangerous driving to be increased from 14 years to life. The Youens family has campaigned for the same, as have many others. All feel that justice is currently, in many cases, not being done When I was Prime Minister, the Government listened to those concerns. We consulted on driving offences and penalties relating to causing death or serious injury. That consultation found considerable support for increasing the maximum sentence for causing death by dangerous driving: 70% of respondents thought the maximum sentence should be increased from the present 14 years to life. My Government committed to introducing that change in the sentencing Bill. For various reasons, which I will not go into today, that Bill was delayed under my premiership and was not brought forward before I stepped down as Prime Minister. However, the current Government are also committed to a sentencing Bill. My right hon. and learned Friend the Lord Chancellor and Justice Secretary has indicated in this Chamber that he supports the change in sentencing, yet the sentencing Bill has not yet been introduced and the change has not yet been made This Bill, the Death by Dangerous Driving (Sentencing) Bill, is simple. It amends the Road Traffic Offenders Act 1988 to increase the maximum sentence for causing death by dangerous driving to life imprisonment. It fulfils the commitment I gave, it fulfils the commitment my Government gave and it fulfils the commitment this Government have given. It has cross-party support, and it does the Government’s work for them. The Bill responds to a genuine concern that the severity of the offence is not always reflected in current sentencing, because of the limitations on the sentence that currently exist. It does not try to introduce an eye-for-an-eye type of justice system. What it does is ensure justice for victims and their families. As Mark Hollands said: “The whole campaign is not that there’s automatic life sentencing or anything like it, but it’s available for judges when you get cases of people who persistently drive at speed.” That is the key point. Judges today do their best to reflect the severity of the offence in sentencing, but their options are limited. Under this Bill, judges will still retain discretion as to what length of sentence is appropriate, but the measure in the Bill will give them greater scope and enable them to issue more severe sentences than is currently possible No sentence can make up for the tragic loss of a loved one—a life cut short, a future obliterated, a family devastated—but the sentence can enable those left behind to feel that justice has been done. Today, in too many cases, they feel that justice has not been done. This reform to sentencing has been promised by the Government. Families who have lost loved ones have consistently been told that the reform will be introduced when parliamentary time allows. It may be difficult to find parliamentary time for a full sentencing Bill, but this Bill is short, specific and targeted. As I said before, the Bill does the Government’s work for them. The parliamentary time is now. Dangerous driving costs lives. For the victims’ families, the pain of their loss can be with them for the rest of their lives. I hope that the Government and hon. Members from across this House will join me, put this Bill on the statute book, and help victims and their families achieve justice Question put and agreed to. Ordered, That Mrs Theresa May, Chris Grayling, Damian Green, Karen Bradley, Sir Graham Brady, Steve Brine, Gareth Johnson, Judith Cummins, Ms Marie Rimmer, Stephanie Peacock, Dan Jarvis and Chris Skidmore present the Bill Mrs Theresa May accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 16 October, and to be printed (Bill 167).
ParlaMint-GB_2020-07-21-commons.u326	I beg to move, That the clause be read a Second time.
ParlaMint-GB_2020-07-21-commons.u327	With this it will be convenient to discuss the following: New clause 2—Review of deradicalisation programmes in prisons— “(1) Within three years of this Act being passed, the Secretary of State must publish and lay before Parliament a comprehensive review of the impact of the provisions of this Act on the effectiveness and availability of deradicalisation programmes in prisons (2) The review must include an assessment of— (a) the effectiveness of existing programmes at reducing radicalisation and terrorist offending; (b) how individuals are assessed for their suitability for a programme; (c) the number of individuals assessed as requiring a place on a programme; (d) the number of individuals assessed as not requiring a place on a programme; (e) the average length of time individuals assessed as requiring a place on a programme have to wait to start a programme; and (f) whether there is sufficient capacity and resource to meet demand for places on deradicalisation programmes in prisons.” This new clause requires a review of the impact of the Act on deradicalisation programmes in prisons. New clause 3—Financial Impact Assessment Report— “(1) The Secretary of State must, within three years of this Act being passed, lay before Parliament a report on the financial impact of the provisions of this Act (2) That report must separately consider the financial impact of— (a) extended sentences on the prison estate; (b) extended licence periods; (c) any increased staffing resources required for Her Majesty’s Prison and Probation Service; (d) the extended offenders of particular concern regime; and (e) adding polygraph testing to certain offenders’ licence conditions (3) The report may consider other financial matters (4) The report must compare the financial impact of the Act with the Impact Assessment for the Counter-Terrorism and Sentencing Bill published by the Ministry of Justice on 18 May 2020 (5) A Minister of the Crown must, not later than 3 months after the report has been laid before Parliament, make an oral statement in the House of Commons on his plan to address the financial and non-financial issues identified in the report.” This new clause requires a review of the financial impact of the Act. New clause 4—Report on extended sentences for terrorist offenders: Scotland— “(1) The Criminal Procedure (Scotland) Act 1995 is amended as follows (2) After section 210A(4) insert— ‘(4A) The report under section 210A(4), where it applies to a person convicted on indictment of a terrorism offence, must— (a) take account of the offender’s age; (b) consider whether options other than an extended sentence might be more effective at— (i) reducing the risk of serious harm to members of the public, or (ii) rehabilitating the offender (4B) The court must take account of any points made by the report in relation to the matters in subsection (4A).’ (3) The Secretary of State must at least once a year conduct and lay before Parliament a review of the effectiveness of the provisions of this section and their impact upon offenders (4) The report of the first review must be laid before Parliament within one year of this Act being passed.” New clause 5—Report on extended custodial sentences for terrorist offenders: Northern Ireland— “(1) The Criminal Justice (Northern Ireland) Order 2008 (S.I. 2008/1216 (N.I. 1)) (extended custodial sentences) is amended as follows (2) In Article 9, after paragraph (2), insert— ‘(2A) The pre-sentence report under paragraph (2), where it applies to a person convicted on indictment of a terrorism offence, must— (a) take account of the offender’s age; (b) consider whether options other than an extended custodial sentence might be more effective at— (i) reducing the risk of serious harm to members of the public, or (ii) rehabilitating the offender (2B) The court must take account of any points made by the report in relation to the matters in paragraph (2A).’ (3) The Secretary of State must at least once a year conduct and lay before Parliament a review of the effectiveness of the provisions of this section and their impact upon offenders (4) The report of the first review must be laid before Parliament within one year of this Act being passed.” New clause 6—Review of effects on children and young offenders— “(1) The Secretary of State must, within one year of this Act being passed, lay before Parliament a review of the effects of the provisions of this Act on children and young offenders (2) That review must detail any differential effects on children and young offenders in— (a) sentencing; (b) release of terrorist offenders; and (c) the prevention and investigation of terrorism (3) The review must consider the impact of imprisonment under this Act on the physical and mental health of children and young offenders (4) The review must consider the influences on children and young offenders who commit offences under this Act, including but not limited to— (a) the internet; (b) peer-pressure; and (c) vulnerability (5) When conducting a review under this section, the Secretary of State must consult with Scottish Ministers (6) The review may make recommendations for further changes to legislation, policy and guidance (7) For the purposes of this section, young offenders include adults aged under 25.” This new clause would require the Secretary of State to review the effects of these measures on children and young offenders. It would also require the Secretary of State to consult with Scottish ministers when conducting the review. New clause 7—Review of legislation: Northern Ireland— “(1) On an annual basis from the day of this Act being passed, a report that reviews the application of the provisions of this Act in Northern Ireland must be published and laid before both Houses of Parliament by the Secretary of State (2) Annual reports under subsection (1) must be produced in consultation with the Northern Ireland Minister for Justice and the Northern Ireland Executive.” This new clause ensures that all measures in the Bill as they pertain to Northern Ireland shall be reviewed annually with the Northern Ireland Minister for Justice and the Northern Ireland Executive, and a report shall be published and laid before both Houses of Parliament. New clause 9—Review of polygraph testing on terrorist offenders— “(1) Before sections 32 to 35 come into force, the Secretary of State must, within 6 months of this Act being passed, conduct a pilot of the use of polygraph testing on terrorist offenders (2) The outcome of the pilot must be reported to Parliament within 12 months of this Act being passed (3) This report must include— (a) data on the number of terrorist offenders who have been subject to polygraph testing during the pilot; (b) an explanation of how the results of polygraph tests have been used during the pilot; (c) an analysis of the effect polygraph testing has had on the licence conditions of terrorist offenders; (d) data on the number of terrorist offenders who were recalled to prison on the basis of polygraph test results; (e) a recommendation from the Secretary of State as to whether sections 32 to 35 should enter into force following the pilot; and (f) evidence of independent research on the reliability and value of polygraph testing of terrorist offenders.” This new clause requires the Secretary of State to conduct a pilot test of the use of polygraph testing on terrorist offenders and report the outcome to Parliament, in addition to setting out evidence for the reliability of polygraph tests based on independent research. New clause 10—Review of sections 1 to 31— “(1) The Secretary of State must arrange for an independent review of the impact of sections 1 to 31 of this Act to be carried out in relation to the initial one-year period (2) The Secretary of State must, after consultation with the Independent Reviewer of Terrorism Legislation, appoint a person with professional experience relating to the imprisonment for offences of terrorism to conduct the review (3) The review must be completed as soon as practicable after the end of the initial one-year period (4) As soon as practicable after a person has carried out the review in relation to a particular period, the person must— (a) produce a report of the outcome of the review, and (b) send a copy of the report to the Secretary of State (5) The Secretary of State must lay before each House of Parliament a copy of the report under subsection (4)(b) within one month of receiving the report (6) In this section, “initial one-year period” means the period of one year beginning with the day on which this Act is passed.” This new clause would require an independent review of the impact of sections 1 to 31 of the Act to be conducted after one year. Amendment 30, in clause 4, page 5, line 35, at end insert— “(7) The pre-sentence report must— (a) take account of the offender’s age; (b) consider whether options other than a serious terrorism sentence might be more effective at— (i) reducing the risk of serious harm to members of the public, or (ii) rehabilitating the offender (8) The court must take account of any points made by the pre-sentence report in relation to the matters in subsection (7) and consider whether they constitute exceptional circumstances under subsection (2).” Government amendment 6 Amendment 31, in clause 6, page 9, leave out lines 21 to 25, and insert— “(11) In forming an opinion for the purposes of subsections (1)(d) and (6), the court must consider a report by a relevant officer of a local authority about the offender and the offender’s circumstances (11A) Where the offender is under 21 years of age, the report must— (a) take account of the offender’s age; and (b) consider whether options other than a serious terrorism sentence might be more effective at— (i) reducing the risk of serious harm to members of the public, or (ii) rehabilitating the offender and the court must take these factors into account when forming its opinion under subsection (6) (11B) In considering the report, the court must, if it thinks it necessary, hear the relevant officer.” Amendment 32, in clause 7, page 10, line 15, at end insert— “(2A) Where the offender is under the age of 21, in forming an opinion for the purposes of paragraph (2), the court must consider and take into account a pre-sentence report within the meaning of Article 4 which must— (a) take account of the offender’s age; and (b) consider whether options other than a serious terrorism sentence might be more effective at— (i) reducing the risk of serious harm to members of the public, or (ii) rehabilitating the offender.” Government amendments 7 and 8 Amendment 33, in clause 16, page 16, line 29, at end insert— “(4) Section 255 of the Sentencing Code is amended as follows (5) After subsection (2) insert— ‘(3) The pre-sentence report must in the case of a serious terrorism offence under section 256(4)(b)(iii)— (a) take account of the offender’s age; (b) consider whether options other than an extension period of eight to ten years might be more effective at— (i) reducing the risk of serious harm to members of the public, or (ii) rehabilitating the offender (4) The court must take account of any points made by the pre-sentence report in relation to the matters in subsection (3).’ (6) The Secretary of State must at least once a year conduct and lay before Parliament a review of the effectiveness of the provisions of this section and their impact upon offenders (7) The report of the first review must be laid before Parliament within one year of this Act being passed.” Amendment 34, in clause 17, page 17, line 4, at end insert— “(4) Section 267 of the Sentencing Code is amended as follows (5) After subsection (2) insert— ‘(2A) The pre-sentence report must in the case of a serious terrorism offence under section 268(4)(b)(iii)— (a) take account of the offender’s age; (b) consider whether options other than an extension period of eight to ten years might be more effective at— (i) reducing the risk of serious harm to members of the public, or (ii) rehabilitating the offender (2B) The court must take account of any points made by the pre-sentence report in relation to the matters in subsection (2A).’ (6) The Secretary of State must at least once a year conduct and lay before Parliament a review of the effectiveness of the provisions of this section and their impact upon offenders (7) The report of the first review must be laid before Parliament within one year of this Act being passed.” Government amendments 9 to 16 Amendment 5, page 21, line 30, leave out clause 24 Amendment 52, in clause 27, page 23, line 24, after “unless”, insert “the terrorist prisoner was at least aged 18 at the time of the commission of the offence for which the prisoner is serving the sentence, and” This amendment provides that only certain adult terrorist prisoners are excluded from eligibility for early release in England and Wales. Amendment 53, in clause 28, page 24, line 12, after “unless”, insert “the terrorist prisoner was at least aged 18 at the time of the commission of the offence for which the prisoner is serving the sentence, and” This amendment provides that only certain adult terrorist prisoners are excluded from eligibility for early release in Scotland. Amendment 1, in clause 30, page 26, line 16, leave out “whether before or” This amendment would remove the retrospective application of this provision. Amendment 2, in clause 30, page 26, line 17, leave out from “(2)” to end of line 20 This amendment would remove the retrospective application of this provision. Amendment 54, in clause 30, page 27, line 14, after “terrorism sentence” insert “and the terrorist prisoner was at least aged 18 at the time of the commission of the offence for which the prisoner is serving such a sentence” This amendment provides that only certain adult terrorist prisoners are excluded from eligibility for early release in Northern Ireland. Amendment 55, page 28, line 17, leave out clause 32 This amendment will remove from the Bill clause 32, which extends the current polygraph testing requirements to adult terrorist offenders released on licence in England and Wales. Amendment 56, page 29, line 8, leave out clause 33 This amendment will remove from the Bill clause 33, which extends the current polygraph testing requirements to adult terrorist offenders released on licence in Scotland. Amendment 57, page 30, line 25, leave out clause 34 This amendment will remove from the Bill clause 34, which extends the current polygraph testing requirements to adult terrorist offenders released on licence in Northern Ireland. Amendment 58, page 33, line 7, leave out clause 35 This amendment will remove from the Bill clause 35, which extends the current polygraph testing requirements to adult terrorist offenders released on licence. Amendment 35, in clause 52, page 43, line 40, leave out “to” and insert “, 34 and” This amendment would remove section 33 from the list of provisions that are brought into force through regulations by the Secretary of State. Amendment 3, in clause 52, page 43, line 40, leave out “to 35” and insert “, 33 and 35” This amendment would remove section 34 from the list of provisions that are brought into force through regulations by the Secretary of State. Amendment 4, in clause 52, page 43, line 42, at end insert— “(3A) Section 34 comes into force on such day as the Department for Justice of Northern Ireland may by regulations appoint.” This amendment would mean section 34 could only be brought into force through regulations by the Northern Ireland Executive. Amendment 36, in clause 52, page 43, line 42, at end insert— “(3A) Section 33 comes into force on such day as Scottish Ministers may by regulations appoint.” This would have the effect that provision in the Bill that relate to polygraph testing would only become operational if the Scottish Government asked for those provisions to be implemented. Government amendments 20 to 29.
ParlaMint-GB_2020-07-21-commons.u328	In Committee, Members had a robust debate about many aspects of this Bill, which we support but believe can still be improved. I start with new clause 1 and the probation service We cannot begin to tackle terrorism without recognising the important role that the probation service plays in keeping people safe. New clause 1 requires the Secretary of State to commission a review and publish a report on the impact of the provisions in the Bill on the National Probation Service. It would have to consider the probation support provided to offenders convicted of terrorist offences, how probation support provided to offenders convicted for terrorist offences has varied since implementation of this Bill, the type and number of specialist staff employed by the National Probation Service to work with terrorist offenders, the turnover of probation staff, the average length of service of probation staff, and the non-staff resources provided to manage offenders convicted of terrorist offences For the probation service to be fully functioning and effective, it must have the resources it needs. The Minister said that the spending review last September laid out a significantly increased funding package for the Prison Service and probation service, which is supposedly flowing to the frontline, but the National Probation Service is in a far from satisfactory state, and we know about the disaster that ensued when large parts of it were privatised. Thankfully privatisation is no more, but we still have to get the service right The NPS has a workforce including 6,500 probation officers and a budget of more than £500 million. Earlier this year, Her Majesty’s inspectorate of probation painted a picture of a service in crisis, with hundreds of vacancies, overstretched officers and managers, and crumbling, overcrowded buildings, including hostels for recently released offenders. Inspectors rated all of its divisions as requiring improvement on staffing. None of the areas are fully staffed. There were high rates of staff sickness—an average of 11 days per person, 50% of which related to mental health difficulties. There are 650 job vacancies nationwide in the probation service—a full 10% of the establishment Although the probation service is not in the Minister’s portfolio, I am sure he will agree that that is not satisfactory. We can only hope that things are improving. In Committee, the Minister talked about the welcome resources being invested in the service and about the spending review coming this autumn. Can he confirm that he is satisfied that there are sufficient resources to achieve what he wants, or are Ministers bidding for more from the spending review? Perhaps more importantly, will he confirm that the necessary support will be put in place to bring the National Probation Service up to full strength, to tackle the issues raised in inspection reports, and to provide staff with the support they need for their mental and physical ill health, to help them back to work and while they are there, and put an end to the high sickness rate? All those things put pressure on the service and the ability of staff to cope with offenders day to day—in this context, with some of the most dangerous ones In Committee, I also asked about whether all probation officers will have counter-terrorism training, and the Minister addressed that in a letter to me. He said: “Governors and front-line staff are being given the training, skills, and authority needed to challenge inappropriate views and take action against them…Staff are also trained how to recognise aspects of an offender’s behaviour which might indicate terrorist sympathies. Over 29,000 prison staff have been trained.” We all welcome that The increased workloads for highly specialised and rare probation staff are a cause for concern. Research shows that more time spent with offenders is essential for proper assessment and rehabilitation, but that is not possible with such high case loads. The very long license cases, such as lifers and those with indeterminate sentences, are a special challenge for probation staff because they never really come off their case loads, and more new cases are constantly added. Specialist probation officers are thinly spread and consequently hold very high case loads of terror-related cases—over 120% of normal. That level is appallingly high, and the Government recognise that it needs to come down. Their recruitment of more specialists to manage counter-terrorism offenders is also to be welcomed. That said, the general issue with increasing the number of specialists in probation is that they can only be recruited from experienced staff, and with high sickness levels and a 10% vacancy rate, how can Ministers be confident that they can provide a quality service, not just for those convicted of terrorism or related offences but offenders in general There is a danger that huge amounts of experience are being lost and that lots of generalist roles will need to be backfilled with newly qualified staff before the more experienced staff can move on to specialist roles—and that in a service where a full third of all employees have less than three years’ experience in probation. I asked this in Committee, but I do not believe an answer was forthcoming, so can the Minister now tell me what modelling the Department has done on the expected net effect on the total probation caseload over the years and decades to come as a result of the changes in this Bill? Ad hoc measures are not good enough; there need to be properly considered measures and funding given to the probation service to make it an effective mechanism to tackle terrorism and do one of our country’s most difficult jobs I turn to the related issue of de-radicalisation programmes in prison, and new clause 2. When someone has committed a terror offence and has gone to prison, there is an expectation that this person will be kept away from mainstream society for the purposes of keeping the public safe, and an expectation that their time in prison will be used effectively. This means that all efforts will be made to ensure that the individual does not return to the same destructive path that they were on prior to being arrested. In order to achieve this, there needs to be a properly structured and expert-driven de-radicalisation programme available for all those who are identified as being in need of enrolling on such a programme For the purpose of informing Members who were not members of the Committee, I will reiterate a number of points I made during that time. Although the minimum sentencing for terror offences has been increased, there is a suggestion that we could simply be delaying inevitable further offences unless we take action to use the offender’s time in prison to de-radicalise them, and we can only do that if there is an effective de-radicalisation programme in place. While we heard in evidence that many good things are happening in our prisons around de-radicalisation, there were also concerns expressed about the adequacy of the programmes and their availability. That does not just concern Committee members and witnesses. At last Tuesday’s Justice questions, the hon. Member for Newbury (Laura Farris) pressed the Minister, the hon. and learned Member for South East Cambridgeshire (Lucy Frazer), on how programmes could be improved. Helpfully, the Minister replied: “Twenty-two trained imams are doing de-radicalisation programmes in our prisons, but those are not the only measures that we are introducing. We have increased our training for prison and probation officers to deal with terrorism and we are bringing in new national standards for managing terrorists on licence. We want more counter-terrorism specialist staff and we want more places in approved premises as a transition from prison to the community.” When I challenged her on the inadequacy and quality of the provision, she said: “we continually evaluate the programmes that we operate within our prisons.”—[Official Report, 14 July 2020; Vol. 678, c. 1361.] If that is really the case, and if the Government are so confident that the programmes have been successful, what do they fear from commissioning a formal review of them and reporting to the House We really do need to know what is happening in prisons in relation to this. What programmes are being delivered? Who are they being delivered to? Who are they being delivered by? When are offenders undertaking the programme? How many de-radicalisation programmes is one offender in for a minimum sentence expected to cover? How is the success of these programmes measured? We need to understand the effectiveness of the programmes, where they work, where they do not, what can be improved, and what the Government are going to do to drive those improvements Neither the healthy identity intervention nor the desistance and disengagement programme courses, which form the main part of the programmes, have undergone any form of evaluation process to date. In Committee, the Minister said that most of the de-radicalisation work and programmes are done operationally inside the prison and probation service, and are not specified in legislation. He said that Ministers need the flexibility of being able to change guidance through statutory instruments, and I accept this. But we were never asking for the programme details to be placed in the Bill through this new clause—a new clause that would, I think, help to secure the public’s trust in our approach to tackling terrorism. This new clause is not about clearly outlining deradicalisation programmes in legislation; it is about reviewing how effective our deradicalisation programmes are, so it is only right that they are reviewed, with the results laid before Parliament That brings me on to the general financial impact of the Bill, new clause 3 and the resources it will need behind it for it to be successful and properly implemented. In Committee, the Minister told me that the impact assessment estimated an additional 50 people in prisons. Although I still believe that is an underestimation, bearing in mind the rise of far-right terrorism and other groups whose members will end up in the system, I will not rehearse those arguments yet again. I believe the cost of implementing this Bill is estimated to be about £16 million a year, but I do not think that honestly reflects the impact it will have on all service areas. Who knows, but providing the mental health support our prison and probation staff desperately need will be costly, and if we do not have that investment from elsewhere in the Department’s budget, we are not going to see the all-round service we all want delivered. So will the Minister confirm that he has covered the additional cost of creating space for new prisoners, the additional cost of having more than one specialist centre, the additional cost of having further specially trained prison officers and the cost for probation services of expanding the sentence for offenders of particular concern regime?
ParlaMint-GB_2020-07-21-commons.u329	My hon. Friend is making a detailed and comprehensive speech, examining many of these difficult issues, which we all face. I have reflected on what he has been saying, and I believe that the way to approach these difficult issues is by having an open mind and asking a series of questions, rather than coming at any of these things with pre-conceived ideas. I am grateful for his thought and his incisive questioning of the Government, in a spirit of cross-party co-operation.
ParlaMint-GB_2020-07-21-commons.u330	I am grateful to my hon. Friend for that. He rightly says that this is about having an open mind. I was trying to persuade the Minister and the Conservative Members in Committee that they should have an open mind on a number of issues, because we are facing real challenges on deradicalisation programmes, the resources within the probation service and the fact that young people are going to be treated exactly the same as adult prisoners in the system—I will be coming on to that later We also want to understand whether the resources are available for the use of polygraphs and to deal with the impact on youth offender teams. I have already talked about the impact of longer licensing on the National Probation Service. Such measures as are in this Bill always have ripple effects, so we ask the Secretary of State to lay before the House, within three years, a report on the real financial impact of all these things. There should never be an issue of resources when it comes to justice matters, and a review would not only identify where there are issues, but arm the Secretary of State with the evidence he needs to resist further cuts to his Department’s budget and instead win some additional resources We should ensure that prisons are properly staffed and that those staff are properly supported, be it for their personal security or to provide them with adequate services when they suffer mental illness as a result of their job—services that we know are currently totally inadequate. I asked about these measures in Committee, but we still need reassurances. This is about not just funding for prison places, but the wider financial impact on society, especially when offenders get released from prison and need help rebuilding their lives. That is a particular concern for those who are young and may leave prison with no support system. These provisions do not come cheap, and I hope we are going to get some clearer answers on meeting the costs of the different services that I have laid out Throughout Committee, I stressed the importance of recognising that young offenders are different from older, adult offenders and that their age ought to be taken into consideration when they are being sentenced, even for the most terrible of crimes. That is why we tabled amendment 30, parallel amendments for Scotland and Northern Ireland and the remaining new clauses in the name of the Leader of the Opposition, myself and others.
ParlaMint-GB_2020-07-21-commons.u331	May I ask why an actual age is not included in amendment 30? There is an allusion to an age, but not a specific age. Will he outline why that was not included in the amendment when it was drafted?
ParlaMint-GB_2020-07-21-commons.u332	Personally, I thought the amendment was clear. It lays down very specific issues in relation to young people. That is why we tried to detail in Committee that young people are different and need to be treated differently.
ParlaMint-GB_2020-07-21-commons.u333	If we are talking about the age at which a person is convicted of a crime and serves this type of sentence, it would have been clearer if an age was included in the amendment, whether that was 13, 15 or 18, just to further the case for why young offenders should be given a less severe sentence.
ParlaMint-GB_2020-07-21-commons.u334	The hon. Lady tempts me to start to rehearse all the arguments around the age of maturity. We know that children up to the age of 18 are treated differently under the law, much as the group between 18 and 20 are supposed to be treated differently. There is more and more evidence all the time. In particular, there have been some studies in Scotland—I am looking at the hon. and learned Member for Edinburgh South West (Joanna Cherry) for the SNP—that are starting to talk in terms of, “Maybe we should be looking at 25 as the age of maturity.” That is all the more reason why we have to think carefully about how we treat young people in the justice system, because young people ought to be treated differently. They have a better chance of being rehabilitated, and it is important we give them that chance.
