ParlaMint-GB_2020-07-20-commons.u1	What recent discussions he has had with the Scottish Government on the shared prosperity fund.
ParlaMint-GB_2020-07-20-commons.u278	It is a pleasure to open consideration on Report of the Trade Bill and to speak to new clause 5. This is all legislation that contains key measures that will deliver for UK businesses and consumers across the country, providing continuity and certainty. Amendments have been tabled by the Government and from across the House, and with the permission of the House I will outline the Government’s position on these more than 50 different amendments, and on other amendments tabled, before we hear from hon. and right hon. Members On Government new clauses 5 and 6, together with amendments 6, 7 and 9, the Government have been consistently clear that the priority for the UK’s existing trade relationships as we leave the EU is continuity. Our partner countries are clear on that too, and this Bill is about continuity. But it is about more than simply transitioning agreements. It is about ensuring that businesses—UK and partner-country businesses—can continue to benefit from smooth-operating borders once we have become a wholly independent trading nation at the end of the transition period The Government have set out our ambition to have a world-leading border by 2050. This will support our aim to make the UK a globally attractive place to do business as we move forward. To achieve that ambition, the Government need to make better use of the data we currently hold, and new clauses 5 and 6 are aimed at doing just that. Unlocking the full potential of the data, without placing any additional burden on businesses, will not only allow us to achieve our vision for the future, but benefit those business and consumers who depend on a frictionless border to ensure continuity of our trading relationships today. The smooth flow of traffic, goods and trade after the end of the transition period and during the introduction of import controls will support the manufacturing sector, especially those using the just-in-time methodology and individuals who enjoy using the online sector New clause 5 creates a new legal gateway so that Government data can be used, first, to ensure continuity of trade by safeguarding existing trading relationships in countries both in the EU and in the rest of world so they are not frustrated by friction at the border for goods and services at the end of the transition period; secondly, to provide better services to UK businesses and consumers by supporting the effective management of the end-to-end border process; and, thirdly, to underpin the delivery of a world-leading border—protecting the UK, protecting revenue and growing international trade This is an amendment that external border industry stakeholders are very supportive of; indeed, they have been calling for exactly this type of action for a long time. I want to be clear to the House on a number of important issues in relation to the new clause. First, this all relates to existing data; there are no new powers for data collection in these Government amendments. Secondly, it is discretionary and specific: it does not create a data-sharing free-for-all between public authorities. The new clause is carefully drafted to limit the data that can be shared to only that related to trade functions. These are functions that, in the main, are the responsibility of the Secretary of State for International Trade or the Minister for the Cabinet Office. If the information is not required for trade functions, it cannot be requested under the gateway. Before any data can be disclosed, the public authority making the disclosure must also be satisfied that it has complied with its own existing data protection obligations—most notably under the Data Protection Act 2018 and the General Data Protection Regulation The Government recognise that there may be concerns about what happens to the data once it has been passed to the Cabinet Office, the Department for International Trade or other Departments. I want to assure all Members of the House that no data will be made available or sold to third parties outside Government—a concern which I know a number of colleagues have raised in the past —nor will it be used to monitor citizens or businesses, or to target individuals to be stopped at the border. These measures are, as I have said, about making sure that border flow is maintained, and that traffic, goods and services are free to flow with as little friction as possible Furthermore, new clause 6 makes it an offence to disclose unlawfully any personal data shared under the amendment. The Government have also tabled amendments 6 to 9, which make minor changes to the existing clause 8. These amendments are to enable Her Majesty’s Revenue and Customs data to be shared with all Ministers of the Crown, where HMRC is satisfied that the data may be shared for the Minister’s functions relating to trade. The current drafting enables HMRC to share data with the Secretary of State for the same purpose. The practical effect of the amendments is to enable HMRC to share data with the Cabinet Office, which is not headed by a Secretary of State. New clauses 1 to 3 seek to replicate the effects of Government amendments brought forward to the 2017-19 Trade Bill. Over the course of this legislation, and its 2017-19 version, I have had constructive discussions with my hon. Friend the Member for Huntingdon (Mr Djanogly) regarding the purpose of the Government’s continuity programme. I would like to thank him for his work and the interactions he has had with me, particularly on the important issue of transparency. His efforts have directly changed the Bill through inserting the use of the affirmative procedure when exercising the power in clause 2, and ensuring that Parliament has transparency in relation to continuity agreements through the laying of parliamentary reports, alongside signed agreements setting out significant changes with the underlying EU agreement As Members across the House know, the purpose of our continuity programme is to provide certainty to businesses and consumers by retaining the preferential trading arrangements from which the UK benefits as a signatory to trade agreements that the EU had signed with third countries before exit day. That is why we have now concluded 20 continuity agreements with 48 countries, accounting for £110 billion of UK trade in 2018, which represents 74% of the trade with countries with which we were seeking continuity before the withdrawal agreement was signed. Each of those agreements has been accompanied by a parliamentary report, and I can confirm that we will continue to publish reports for all continuity agreements yet to be signed. As those parliamentary reports make clear, our continuity programme has remained true to its mandate: replicating our existing trade relationships. Let me repeat that standards have not been lowered in these 20 agreements. Unsafe food will not be entering our market, and our right to choose how we deliver public services has been protected.
ParlaMint-GB_2020-07-20-commons.u279	I thank the Minister for his earlier comments. He talks about continuity agreements, but are they still continuity agreements? For instance, the agreement with Japan looks like it will be very different from the one that the EU had, and Canada is saying that it is not going to have the same agreement; it wants to see what we get with the EU first. Why does he still call them continuity agreements? Is this clause not looking at a position that we had two years ago? Should we not now move on?
ParlaMint-GB_2020-07-20-commons.u280	Let me be clear: we are talking about continuity. My hon. Friend can judge us not just by what I say but by our actions. Of the 20 reports that we have published, five have been called for debate in the other place, and not a single one of those debates has resulted in a motion of regret. He is right about one thing, and that is on Japan. I will come on to examine this shortly, but Japan is different. We have been clear that that will lead to an enhanced free trade agreement based on the original EU agreement, which is why we have put in place different and more considerable scrutiny arrangements for the Japan agreement than for the rest of the continuity programme We want continuity agreements to enter into force on day one to avoid a cliff edge for both businesses and consumers. I remind colleagues that all continuity agreements will be subject to the CRAG—Constitutional Reform and Governance Act 2010—ratification procedure. That already provides for a period of 21 sitting days in which agreements, and the parliamentary reports and explanatory memoranda published alongside them, can be scrutinised by parliamentarians before they are formally ratified. I will now address amendments 1 to 5 in the name of my hon. Friend the Member for Huntingdon, as well as amendments 22 and 23.
ParlaMint-GB_2020-07-20-commons.u281	rose—
ParlaMint-GB_2020-07-20-commons.u282	Will the Minister give way?
ParlaMint-GB_2020-07-20-commons.u283	I will give way to the hon. Member for Brent North (Barry Gardiner)—it is great to see him back in trade.
ParlaMint-GB_2020-07-20-commons.u284	The Minister talks of CRAG as if it is a process under which this Parliament has any power. He knows that it is the Government who enable Parliament to have a debate whereby it could vote against what is tabled under the CRAG process. He must look again at the way in which real scrutiny and accountability can be brought to bear in the way that the hon. Member for Huntingdon suggests.
ParlaMint-GB_2020-07-20-commons.u285	It is good to see the hon. Gentleman back. I remember that he was originally a Blairite Minister in Tony Blair’s Government, and it has been really instructive to see the journey that he has been on over some time. I saw him take the seat in the extreme corner of the Chamber earlier and thought, “Not only has he taken on the views of the right hon. Member for Islington North (Jeremy Corbyn), but he has now even taken his previous seat.” The hon. Gentleman voted for CRAG in 2010, as did I. [Interruption.] We both voted for CRAG in 2010. CRAG allows Parliament to block a trade deal. It allows Parliament to block international treaties. That was the intention—his Government designed it in that way to give Parliament the ability to block an international agreement, and that remains the case today.
ParlaMint-GB_2020-07-20-commons.u286	I will make a little bit more progress As I have said, the other place has held debates on six of the agreements, and not one carried a motion of regret. We have also retained the affirmative resolution procedure for regulations that are required to implement single agreements. The Government recognise that there may be concerns that the power in clause 2 could be used to implement completely new agreements with continuity countries, both now and in the future, with inadequate opportunity for parliamentary scrutiny. In Committee we heard suggestions that some of the upcoming continuity agreements, such as those with Canada and Singapore, will go beyond continuity, and will therefore require a more comprehensive scrutiny process—my hon. Friend the Member for Huntingdon made that point Let me reassure hon. Members that we view the underlying EU agreements as sufficient, and we are not seeking to enhance those deals or go beyond continuity. These will be technical changes to make the agreements function in a UK-specific context. The Government acknowledge that the UK-Japan agreement, although based on the EU’s existing agreement with Japan, will be an enhanced agreement, and that is an exception.
ParlaMint-GB_2020-07-20-commons.u287	With ceramics being the fourth largest export to Japan and its industry, does the Minister see an enhanced trade deal with Japan as an opportunity, rather than listening to the doomsayers on the Opposition Benches?
ParlaMint-GB_2020-07-20-commons.u288	My hon. Friend is absolutely right. All my interactions, and those of the Secretary of State, with the ceramics industry and with MPs who represent key ceramics constituencies, indicate that the Japan deal is extremely important for this country. I am disappointed that the Opposition parties seem to have no enthusiasm for the continuity of our trade with Japan, or its enhancement.
ParlaMint-GB_2020-07-20-commons.u289	Will the Minister give way?
ParlaMint-GB_2020-07-20-commons.u290	I will not give way just now. We are committed to additional scrutiny arrangements for any deal with Japan. We believe that the current sunset provisions in the Bill strike the right balance between flexibility for negotiators and the ability to keep agreements operable, and that they provide sufficient constraints and scrutiny to Parliament The Government are aware that during the 2017-19 Trade Bill there was uncertainty and concern in Parliament about the nature of the Government’s continuity programme—indeed, I can testify to that, because I was the Minister at the time—and that is why we have tabled a number of amendments to the Bill. There is, however, a crucial change in circumstance since the previous Bill, because Parliament can now see that we have not strayed beyond our mandate to deliver continuity. The transition agreements have not resulted in new or enhanced trading obligations, standards have not been reduced in any way, and our right to choose how we deliver public services has been protected.
ParlaMint-GB_2020-07-20-commons.u291	In that context, I understand why there is limited scrutiny for small trade deals, and the Minister has spoken about enhanced scrutiny for the Japan deal. He will know, however, that for many constituents, the US trade deal and the China trade deal will raise the most concerns. Can he give us some assurance that the process of increased scrutiny in Parliament will be higher for those deals than for the ones mentioned earlier?
ParlaMint-GB_2020-07-20-commons.u292	I absolutely give my hon. Friend that assurance, and I will come on to discuss those deals in a moment, although they are not within the scope of the current Bill My hon. Friend the Member for Huntingdon has tabled new clause 4 on new trade agreements, and that gives me the opportunity to stress the importance that the Government place on parliamentary scrutiny, and the commitments we have made in that space. The House will know that the negotiation and entering into of international agreements is a prerogative power of the Executive. The new clause would give Parliament veto rights over our negotiating objectives The Constitution Committee in the other place reported on that issue in 2019, and stated: “This would impinge inappropriately on the Government’s prerogative power and limit the Government’s flexibility in the negotiations.” I agree, and as the House will know, there are already rigorous checks and balances on the Government’s power to negotiate and ratify new agreements through the Constitutional Reform and Governance Act 2010. [Interruption.] The right hon. Member for Islington South and Finsbury (Emily Thornberry) is fond of heckling, but she voted for that Act.
ParlaMint-GB_2020-07-20-commons.u293	I concur entirely with what the Minister is saying. Is it not the case that if we allow further parliamentary scrutiny, we will not get the best deal from these negotiations, and that at present this is the Westminster-style democracy with the greatest parliamentary scrutiny of trade deals?
ParlaMint-GB_2020-07-20-commons.u294	My hon. Friend is absolutely correct that our scrutiny offer compares very favourably with Australia’s and New Zealand’s and is at least equal to Canada’s. He is right in other regards as well. Some of these amendments would obligate the Government to publish the text after the end of each negotiating round. At the moment, we publish a written ministerial statement. The idea that we publish the interim text with the United States so that Australia, New Zealand, Japan and all our partners could see it when this Government—this country—are undergoing simultaneous negotiation with different partners is not a sensible way of proceeding.
ParlaMint-GB_2020-07-20-commons.u295	Will the Minister give way?
ParlaMint-GB_2020-07-20-commons.u296	I am going to make more progress This Government understand the desire of Parliament to have effective scrutiny of our FTA programme. That is why we have gone above and beyond the baseline provided by CRAG in committing to publishing comprehensive information ahead of entering into negotiations with partner countries. We have already done this—
ParlaMint-GB_2020-07-20-commons.u297	I am going to make progress We have already done this for the US, for Japan, for Australia and for New Zealand. This has included publishing negotiating objectives and initial economic assessments. We have also committed to laying final impact assessments once negotiations have concluded and we know the content of the proposed agreement in its entirety.
ParlaMint-GB_2020-07-20-commons.u298	I am going to make some more progress In addition, the Government have committed to providing regular updates to Parliament on the progress of negotiations. We have already adopted a similar approach for Japan, because that is an enhanced agreement. There is an important distinction that new clause 4 does not make, requiring, as it does, the roll-over agreements not yet signed to be subject to the same scrutiny as new agreements, even though the original EU-third party agreement has been subject to both EU and UK scrutiny.
ParlaMint-GB_2020-07-20-commons.u299	Will the Minister give way?
ParlaMint-GB_2020-07-20-commons.u300	I am going to make more progress For new trade agreements, the Government have already committed to working closely with the relevant scrutiny Committees in both Houses throughout negotiations. This includes providing confidential briefings, as appropriate, to keep them apprised. This approach is in line with the recommendations of the former Member for Blackburn, Jack Straw—who served in government with the hon. Member for Brent North (Barry Gardiner). He said in his evidence to the Lords Constitution Committee that “it should be for the negotiators to decide how much privacy and confidentiality there should be” during negotiations “and certainly not others” Finally, when negotiations have concluded, we will work with the relevant Select Committee to ensure, where practical, that there is time for the Committee to produce a report on the final agreement before it is laid in Parliament under CRAG.
ParlaMint-GB_2020-07-20-commons.u301	Will the Minister give way?
ParlaMint-GB_2020-07-20-commons.u302	I am not going to give way further during this section of my speech Similarly—this is an important point—if the Committee were to recommend a debate on an agreement prior to ratification, the Government would of course consider that request, subject to parliamentary timetabling. Taken together, this means that Parliament will have comprehensive information, including economic assessments, on our agreements prior to negotiations commencing, at key points during negotiations, and at the conclusion of talks Finally on this point—this is extremely important—international agreements cannot themselves alter domestic law, and any changes to UK legislation would need to be scrutinised by Parliament in the normal way. We are strongly committed to transparency, as demonstrated by the steps we have taken to provide comprehensive information to the public and Parliament at the start.
ParlaMint-GB_2020-07-20-commons.u303	rose—
ParlaMint-GB_2020-07-20-commons.u304	I will put the hon. Gentleman out of his misery and give way.
ParlaMint-GB_2020-07-20-commons.u305	I just want to make a point about the nature of the scrutiny. A few weeks ago, the Government rightly came forward with the Trade and Agriculture Commission to add weight to the scrutiny of trade deals with regard to animal welfare, environmental standards and labour standards. What can the Minister do to give more assurance to farmers, in particular, that these deals will not lead to an undermining of their business and their standards, and put that into the Bill to ensure that those cannot then be let down?
ParlaMint-GB_2020-07-20-commons.u306	I thank the hon. Gentleman for that intervention, which allows me to say that the National Farmers Union has been incredibly welcoming of this proposal. Minette Batters said that it is “a hugely important development in ensuring UK farming’s high standards of animal welfare and environmental protection are not undermined in future trade deals.” There are three crucial things. First, we have a strong manifesto commitment to have no compromise on Britain’s standards of animal welfare, food safety and the environment. Secondly, we are transposing the EU rules into UK law to take effect on 1 January. The third thing is simply this: it would be for Parliament, if it so wanted, to block any such changes—if anybody thought they would introduce any of these controversial products, Parliament would be able to block that.
ParlaMint-GB_2020-07-20-commons.u307	Will the Minister give way?
ParlaMint-GB_2020-07-20-commons.u308	No, I will make some progress. The Government are strongly committed to transparency, as demonstrated by the steps we have already taken New clause 12 proposes a review of free trade agreements every five years after entry into force. We have already established regular dialogue with the International Trade Committee, and that is perhaps the best forum to provide information and assessment of the UK’s wider trade environment and trade relationships to Parliament New clause 18 seeks to give Parliament and the devolved legislatures binding votes on, or vetoes over, international agreements, which would be to fundamentally undermine the royal prerogative and, worse, limit our flexibility to negotiate the deals that will best serve the interests of UK consumers and communities.
ParlaMint-GB_2020-07-20-commons.u309	I accept the Minister’s point that for devolved Parliaments to be able to undermine a national trade deal would be wrong. However, will he give us some guidance on the position for Northern Ireland? We may find ourselves having not continuity deals, but new deals, and we could be excluded from some of the benefits of those deals. How will he make an assessment? How will he enable the devolved Administration to have an input into decisions made on those deals if we find that we are disadvantaged by being excluded from them?
ParlaMint-GB_2020-07-20-commons.u310	I thank the right hon. Gentleman for that intervention. The first thing to say is that I have regular dialogue with his colleague the Minister for the Economy. I am meeting her tomorrow—indeed, I am meeting her twice—to talk about these issues. I reiterate that Northern Ireland remains part of the UK customs area and will benefit from UK free trade agreements. We have been absolutely categoric on both those points. As I say, new clause 18 seeks to give Parliament a veto over those arrangements and to ensure that the Government seek approval from the devolved legislatures on the final agreement. I am in regular contact with the Ministers for the devolved Administrations on these issues I will now address new clauses 7 to 9, and others in relation to standards. In answer to the intervention from the hon. Member for Westmorland and Lonsdale (Tim Farron), let me say that we have already given cast-iron commitments, during debate on this Bill and the Agriculture Bill, that we will not be diluting standards in any area, or in any way, following the UK’s departure from the EU.
ParlaMint-GB_2020-07-20-commons.u311	I acknowledge the undertakings that the Government have given on agriculture and food production, but will the Minister also assure me that future UK trade policy will be fully aligned with our climate change and environmental policies? Will he also assure me that in striking new trade deals we will, at all times, promote low-carbon industries such as offshore wind and will not undermine UK businesses that are working hard to lower their own carbon footprint?
ParlaMint-GB_2020-07-20-commons.u312	I absolutely give my hon. Friend those assurances. The Government’s climate change agenda—indeed, the whole country’s agenda—is incredibly important for us at the Department for International Trade. We have put a lot of time and effort into promoting our capability and capacity in things such as offshore wind. I am regularly saying to international investors and trade partners that the UK now has the largest offshore wind capacity in the world. This is something we are seeking to export and it is something trade agreements can be helpful in. We are working with some of our key partners on these aspects of trade agreements, but they can also be something that the whole of government can work together on.
ParlaMint-GB_2020-07-20-commons.u313	Will the Minister give way?
ParlaMint-GB_2020-07-20-commons.u314	I am going to make some progress. Let me address matters related to animal welfare, food standards and food safety. I recognise the strength of feeling that those issues generate among colleagues in all parts of the House, but as I have told the House on many occasions, as have the Secretary of State and my Department for Environment, Food and Rural Affairs colleagues, this Government will stand firm in trade negotiations. We will always do right by our farmers and aim to secure new opportunities for the industry, and we will not dilute our high environmental protection, animal welfare and food safety standards.
ParlaMint-GB_2020-07-20-commons.u315	There is not just concern on both sides of the House; my right hon. Friend knows that there is a lot of concern out there among the public and our constituents. We have heard commitments from the Front Bench, and when I was food safety Minister I gave those commitments too, around domestic food standards. Many people want it set out in black and white in the Bill. I suspect that the Minister will go on to say why he will resist new clause 7, for instance, so what assurance can he give me, my constituents and many others who will be listening to the debate that that is not necessary because those standards are protected in law, not just in word?
ParlaMint-GB_2020-07-20-commons.u316	I thank my hon. Friend for that intervention, which allows me to explain the difference. Some of the amendments seek to dynamically align other people’s methods of production with those that we use in the UK. Yes, we will have, and maintain, exceptionally high standards of domestic production, domestic products and import controls, and we can influence our trading partners However, I cannot put into legislation a dynamic regulatory alignment playing field for our trading partners. That would be impractical and it would render inoperable most of our existing trade agreements, and potentially render impossible doing a future trade agreement with the European Union. If all these trading partners had to sign up to dynamically aligning their standards with the UK, that would make it extremely challenging not just to keep our existing trade agreements but to do trade agreements with partners in the future.
ParlaMint-GB_2020-07-20-commons.u317	Will the right hon. Member give way?
ParlaMint-GB_2020-07-20-commons.u318	I will not, because I have gone on for long enough.
ParlaMint-GB_2020-07-20-commons.u319	Order. May I assist by indicating that so many people want to take part on Report that those who have indicated that they wish to speak and are on the call list should be thinking about four minutes? I call the Minister.
ParlaMint-GB_2020-07-20-commons.u320	I have much more to say, in relation to 50 different amendments, but I appreciate that there are a large number of other speakers, so I will call it a day there in order to allow other people their say. I think I have covered the main areas, outlining why we have the requirements in new clauses 5 and 6 on data, why we are confident of our robust approach to parliamentary scrutiny, using the CRAG process and enhanced things that we have introduced to ensure that Parliament gets the information and has the say that it needs, and finally our absolute commitment to not compromising on standards for food safety, animal welfare and the environment.
ParlaMint-GB_2020-07-20-commons.u321	International trade has rarely been more important. It is critical as we forge a new place in the world outside the European Union. It is also critical to how we recover from the pandemic, as it has the power to deliver prosperity at home and abroad, especially in the developing world as we aim towards the sustainable development goals. We will support the Government where they are right and challenge where they are wrong There are three key areas to which our amendments to the Trade Bill refer: social, environmental and democratic. First, on social, the Bill has profound implications for workers’ rights, human rights, public services and the economy. Secondly, on environmental, as my right hon. Friend the Member for Islington South and Finsbury (Emily Thornberry) reminded us on Second Reading, international trade agreements have a massive impact on our ability to tackle the climate and environment emergency. Meanwhile, food production and animal welfare standards are matters of enormous concern to farmers and consumers alike. Thirdly, on democratic, the complete absence of scrutiny runs like the Sant Andreas fault through the Bill. [Hon. Members: “San Andreas.”] Thank you—the San Andreas fault.
ParlaMint-GB_2020-07-20-commons.u322	Will the hon. Member give way on that point?
ParlaMint-GB_2020-07-20-commons.u323	I will give way in a moment. Our amendments attempt to rectify the Bill’s serious shortcomings and the lack of accountability. We were promised a modern framework for international trade negotiations in the Queen’s Speech. The Bill was supposed to be the opportunity to deliver that framework. It does not. The Bill gives Ministers powers to make changes to retained EU law upstairs in a Committee of 17 MPs after a maximum debate of 90 minutes. These powers are retained for up to 10 years. That is quite some grab by the Executive—and it is far from the whole story, either The final text of an agreement depends on the Government granting debates to the Opposition during a 21-day period: something that did not always happen in the last Parliament. It relies on the Opposition using their limited opportunities to determine the agenda for such a debate. The Government should be holding the debate and a vote in both Houses as a matter of course. New clause 4 is an opportunity to address some of the democratic deficit in the Bill Only half of the 40 agreements covered by the Bill have been signed. We are told by the Minister that they have already been scrutinised by the European Union. But these are not the simple matters of continuity that the Minister would have us believe. Only three out of 20 existing mutual recognition agreements have been signed with Switzerland, our third largest non-EU trading partner. South Korea has only signed a temporary agreement and wants to start again, and a number of the remaining 20 are going to be completely new. Japan—new agreement; Turkey, our 10th largest non-EU trading partner is in a customs arrangement with the EU and is waiting for the UK to sign a free trade agreement with the EU. Canada is in no hurry to negotiate at all. As I said, these are far from being simple matters of continuity, which is why they need proper scrutiny.
ParlaMint-GB_2020-07-20-commons.u324	Does my hon. Friend share with me the sense that the Government have told us that they needed the Bill to be able to produce these roll-over agreements? Yet the Minister has stood at the Dispatch Box today and said that we have concluded 20 of these roll-over agreements. In fact, they have managed to do that without this Bill having passed into law. Is not what he is saying absolutely relevant? It is these future agreements that we need legislation for, and it should be proper legislation that sets out the framework under which this Parliament scrutinises what is going on.
ParlaMint-GB_2020-07-20-commons.u325	My hon. Friend is absolutely right, and I pay tribute to his time as the shadow Secretary of State and the work he did on scrutinising and opposing this Bill first time around. He is also absolutely right to say that what we have heard already from the Minister just bears out everything that we have been saying for the past three years As I say, these are not simple matters of continuity. That is why we need proper scrutiny. The problems do not end there. The Bill will put in place the framework for a new generation of new agreements, including those with the United States and Australia, and the controversial so-called Comprehensive and Progressive Agreement for Trans-Pacific Partnership: CPTPP.
ParlaMint-GB_2020-07-20-commons.u326	rose—
ParlaMint-GB_2020-07-20-commons.u327	The hon. Gentleman has been very patient, so I give way to him.
ParlaMint-GB_2020-07-20-commons.u328	I thank the shadow Minister for giving way I am a member of the International Trade Committee, which of course has cross-party membership; I wonder why the hon. Gentleman cheapens that Committee by saying that there is no scrutiny. I welcome the involvement from the Government to date. I ask the hon. Gentleman directly: prior to the CRAG protocol Act, how many trade deals did this place vote on while the power rested in Brussels?
ParlaMint-GB_2020-07-20-commons.u329	As the hon. Gentleman knows from being on the International Trade Committee, CRAG was part of the process that we had as EU members. I will come to that in more detail a bit later.
ParlaMint-GB_2020-07-20-commons.u330	I just note that, as a member of the European Parliament’s trade committee, I had far more powers of scrutiny over trade agreements as an MEP than I have ever had as an MP here. However, does the hon. Gentleman share my concern that the Government’s refusal to bar imports from producers that produce to lower environmental or animal welfare standards spells real disaster for our farmers? If they are going to get undercut by cheaper produce that does not meet the same standards, how on earth can they make a living if they have to meet higher standards, and therefore probably higher costs as well?
ParlaMint-GB_2020-07-20-commons.u331	The hon. Lady anticipates some things I am going to say a bit later. What she says is entirely consistent with what I said about the environmental aspects of the Bill There is widespread recognition across society that parliamentary scrutiny is essential in international trade agreements. The hon. Member for Huntingdon (Mr Djanogly) and his colleagues deserve credit for their sterling efforts to build consensus. Their new clause 4 has many elements of good scrutiny practice that a modern, confident, outward-looking country should want to adopt: scrutiny of, and a vote on, the negotiating mandate; assessment against domestic standards; consultation with the devolved Administrations; and a vote on the deal by both Houses. These are a good place to start. We can also learn from good practice elsewhere. For example, a very different approach is taken in the United States, where advisory committees have access to negotiating texts, trade unions are represented as well as employers and confidentiality agreements ensure that consultation is at an appropriate level. The result is that agreements can be amended, as with the recent United States-Mexico-Canada agreement, of which a strengthening of the labour chapter is intended to end union busting in Mexico How do we compare? Oh dear. So-called expert trade advisory groups—ETAGs—in this country are completely different. The Government do not tell us the criteria for membership or who the members are, and trade unions are excluded from a number of groups that were not set up to scrutinise trade deals. Talk now of a room-next-door approach has raised concerns because of the over-restrictive nature of the non-disclosure agreements, which, as drafted, would prevent sensible consultation and analysis of the text, even by the existing self-selecting and very limited memberships of the ETAGs.
ParlaMint-GB_2020-07-20-commons.u332	Does my hon. Friend accept that we can learn through failure as well? One reason that the Transatlantic Trade and Investment Partnership failed was the lack of involvement of trade unions, industry and a number of different partners until right at the last minute, when people were asked to vote on something that they had not been brought along with.
ParlaMint-GB_2020-07-20-commons.u333	My hon. Friend is absolutely right. I shall come to TTIP as an example of how not to carry out scrutiny and of why it is so important to have that wider engagement.
ParlaMint-GB_2020-07-20-commons.u334	Will the hon. Gentleman give way?
ParlaMint-GB_2020-07-20-commons.u335	I will give way a little later, if the hon. Gentleman does not mind, because a lot of Members are waiting to speak. This talk of a room-next-door approach has raised concerns because of the over-restrictive nature of the NDAs. The chaotic way in which the Government plan to create their room-next-door system sounds more like a sketch by Mr Michael Spicer than how a responsible Government might engage with scrutiny.
ParlaMint-GB_2020-07-20-commons.u336	Will the hon. Gentleman give way on the scrutiny point?
ParlaMint-GB_2020-07-20-commons.u337	On the Michael Spicer point?
ParlaMint-GB_2020-07-20-commons.u338	I do not know if Michael Spicer is talking to the hon. Gentleman or not; we will find out in a moment.
ParlaMint-GB_2020-07-20-commons.u339	The shadow Minister talks about scrutiny and refers to trade unions. However, if we have trade unions at the table, who will scrutinise the trade unions to ensure that they are not pushing their own agenda from their own sector on a UK-wide deal? How will we ensure their impartiality if they are beholden to a militant number of members? As we know, not every trade union member is politically motivated or engaged.
ParlaMint-GB_2020-07-20-commons.u340	It is a shame that the hon. Gentleman has taken up other hon. Members’ time in the debate with such rubbish. The Constitutional Reform and Governance Act 2010 is the only formal parliamentary process in place for agreements not covered by the Bill, including with the United States. That is not scrutiny, is it?
ParlaMint-GB_2020-07-20-commons.u341	Just to backtrack a moment, I remind my hon. Friend of the claims made by the Minister in his opening remarks, when he claimed we would enjoy better scrutiny than countries such as Australia and New Zealand, which I think is disputable. There was an exceptional omission, which was the United States. Should that not concern everyone?
ParlaMint-GB_2020-07-20-commons.u342	Absolutely. We compare very badly with the scrutiny in the United States, some of which I have already described. My hon. Friend is right to make the comparison. Is it not ironic that we are in the middle of trade talks with the United States, where they have full scrutiny and we do not? While we are stuck with CRAG, in the United States debates and votes will take place in Congress, alongside the engagement with business and the unions that I described earlier Let us remind ourselves that CRAG was introduced as part of our scrutiny process while we were EU members, because trade agreements were an EU competence. The process included full scrutiny in the European Parliament —scrutiny that has not been replaced by an equivalent system. The hon. Member for Brighton, Pavilion (Caroline Lucas) reminded us of her experience performing exactly that role The Minister wrote to MPs last week. I think he read out quite a lot of his letter in his speech. He told us last week that legislation will be debated and scrutinised by Parliament in “the usual way”. The usual way? There is no “usual way”, because the usual process only worked alongside the scrutiny carried out for us in the European Parliament. Despite what the Minister says, CRAG on its own makes no sense unless the Government wish to avoid scrutiny Today’s amendments to the Bill are similar to those passed in March 2019. The Minister is fond of telling us how vital it is that the Bill passes, so why did the Government not accept the amended Bill last year? It could have saved a lot of trouble.
ParlaMint-GB_2020-07-20-commons.u343	And time.
ParlaMint-GB_2020-07-20-commons.u344	And time. What possible reason can the Government have for wanting to avoid scrutiny, and why on such important areas? Perhaps there are some clues in the topics covered by the various amendments. The threat to our NHS is right at the top of the list. Investor-state dispute settlement was a scandal that came to prominence during the TTIP negotiations. Let us look at some examples of the threat posed by ISDS. The Portuguese Government were sued using ISDS when the Lisbon metro was returned to public ownership. ISDS clauses in bilateral investment treaties are being used now to prepare a series of cases against the UK Government for pausing construction contracts during the pandemic ISDS is not the only issue. Standstill clauses prevent Governments from returning privatised public services to the public sector. Ratchet clauses require further services to be privatised. Then there are negative lists, which require Governments to specify exactly which services are to be exempt from privatisation, with everything else up for grabs. The Prime Minister told us he favours a social insurance system in his Daily Telegraph article, so when Ministers tell us not to worry about the NHS, it simply will not wash Statements alone are worthless. It is very simple: the detailed text of all agreements must include cast-iron commitments, because it is not just the Prime Minister who wants to hand over our NHS to the healthcare corporations; it is his friend the US President, and it is in the US negotiating objectives, which refer to “full market access for US products” They want access to NHS medicines and more, and they are not shy about saying so. Scrutiny matters, nowhere more so than in the protection of our NHS in international trade agreements. That is why our new clause 17 is so important. Ministers say that they want export opportunities for our farmers in the United States and Australia. Export opportunities? Really? Ministers are missing the point. Farmers have to survive first. If food imports are allowed with lower production, welfare standards and costs, farmers will struggle to stay in business. They will be undercut. As trade representative Lighthizer warned us, on issues such as agriculture “this administration is not going to compromise.” There is no ambiguity in Mr Lighthizer’s commitment not to compromise, is there? The idea that farmers will make up for domestic sales by exporting more is a fantasy. The magical thinking of Ministers will not stand up to scrutiny—that is, of course, if scrutiny is ever allowed.
