ParlaMint-GB_2020-09-07-commons.u1	What steps his Department is taking to help ensure free speech in universities.
ParlaMint-GB_2020-09-07-commons.u287	Direct action is a proud part of our history and democracy. Through it, the Chartists and suffragettes helped secure the right to vote and trade unions won the eight-hour working day and paid holidays, and it played a key part in securing legislation for gay rights and for women’s and racial equality. If pursued, would not the Home Secretary’s suggestion of defining Extinction Rebellion as a criminal gang be a betrayal of our proud tradition of civil liberties?
ParlaMint-GB_2020-09-07-commons.u288	Direct action is not the same thing as a crime. If the hon. Gentleman is saying that there are certain crimes that he wishes to ignore, then I am afraid the Opposition are in a very difficult place. I am the Minister for policing and crime, and when, under our current law as approved through this House, somebody commits a crime, I have no choice other than to condemn it.
ParlaMint-GB_2020-09-07-commons.u289	The people of Ashfield see no benefit in protesters gluing their ears to the pavement, spraying red dye on our monuments or camping out in trees on Parliament Square. Extinction Rebellion is now public nuisance No. 1 because of the disruption it causes, as well as the massive cost to our emergency services when, frankly, they have better things to do. Does my hon. Friend agree that this group should be classified as a crime group and feel the full weight of the law if it continues to disrupt members of the public going about their daily business?
ParlaMint-GB_2020-09-07-commons.u290	I know that my hon. Friend is the genuine voice of his constituents, and he will have received many emails from them on this issue. As I said earlier, the classification of any particular group depends on its conduct in society. Obviously, when a crime is committed, that should be investigated and prosecuted, and punished accordingly.
ParlaMint-GB_2020-09-07-commons.u291	According to today’s Times, the Prime Minister is considering new powers to prevent newspaper presses from being blockaded, but the Foreign Secretary says that adequate enforcement powers exist already. I wonder whether the Minister can say which he believes is right—or is this a case, as usual, of the Government’s left hand not knowing what their right hand is doing?
ParlaMint-GB_2020-09-07-commons.u292	Even before the events of this weekend, we were keeping the rules and regulations, the law and police powers around protest under constant review. As the hon. Lady will know, the nature of protest has changed quite significantly over the last 15 or 20 years, so she would expect that to happen, and it seems like a perfectly natural thing for us to do.
ParlaMint-GB_2020-09-07-commons.u293	Order. Just to re-emphasise, we need to move through the remaining questioners so that we can get on to the next business.
ParlaMint-GB_2020-09-07-commons.u294	The Minister will know that there is no greater advocate for the environment or low carbon than me—I worked in the sector for many years—but does he not agree that the actions of Extinction Rebellion, whether vandalism, blockading or even threatening to have MPs shot in the head, as its founder said, undermine the good cause? Does he agree that we need to root out extremists, be they far left, far right or eco-extremists?
ParlaMint-GB_2020-09-07-commons.u295	Absolutely right. My hon. Friend speaks the truth. The sad effect of the events this weekend is that they have probably turned more people off the cause then they have encouraged to join it.
ParlaMint-GB_2020-09-07-commons.u296	The law has to apply to everyone equally, whether they are protesting about the environment or not, but designating Extinction Rebellion as an organised crime group is surely a step too far. What will the consequences be for genuine people who follow the protests of Extinction Rebellion and want to get involved in protesting against climate change—could they then be prosecuted under some new law for being involved in organised crime?
ParlaMint-GB_2020-09-07-commons.u297	As I have said repeatedly, the classification of any organisation depends on its conduct in society. There is a question for the wider membership of Extinction Rebellion about whether they are happy with the tactics of this small group and think it has been to the benefit or the detriment of their cause that these events took place over the weekend.
ParlaMint-GB_2020-09-07-commons.u298	With fewer hard-working commuters to disrupt, Extinction Rebellion is trying to attack the freedom of the press by stopping newspapers being printed and delivered. Will my hon. Friend reassure the House and the country that the police have the resources and the support they need to fully enforce the law and ensure that everyone abides by the same rules?
ParlaMint-GB_2020-09-07-commons.u299	I can reassure my hon. Friend that police forces within the area and surrounding it were able to deploy significant assets to both incidents in fast time.
ParlaMint-GB_2020-09-07-commons.u300	In an ideal world, Extinction Rebellion would not feel the need to protest. The Minister said in his statement that the UK Government are doing a lot of good work with regard to climate change. They might be doing some good work, but it is not enough. The reality is that the UK Government are not on track to meet their fourth and fifth legally binding carbon budgets, which are not even aligned to net zero. Does he agree that one simple measure the Government could take, which would make an important statement, is to re-establish a stand-alone Department for Energy and Climate Change?
ParlaMint-GB_2020-09-07-commons.u301	Once again, the hon. Gentleman asks a question that is outside my purview. Just to reassure nationalist colleagues, this Government have no problem with being urged to go further and faster, to achieve more and to aim higher. What we have a problem with is people who commit a crime in order to do so.
ParlaMint-GB_2020-09-07-commons.u302	Will my hon. Friend join me in paying tribute to Thames Valley police for the excellent work they have done over the summer? We have had a summer of discontent, protests and, some would say, lawlessness. Does he agree that the public are looking to the police to restore law and order on our streets? I hope that we will give them full law and order with a crackdown, starting with Extinction Rebellion for its campaign against free speech, democratic values and the rule of law.
ParlaMint-GB_2020-09-07-commons.u303	I can reassure my hon. Friend that, actually, our streets have been very orderly—often more orderly than usual—during the pandemic lockdown. Indeed, crime has been significantly lower than we would have expected, which is great news, notwithstanding the amplified impact of these protests. I am more than happy to congratulate Thames Valley police, and I will be able to do so tomorrow morning in person, because I am visiting them.
ParlaMint-GB_2020-09-07-commons.u304	Our planet is burning, flooding and melting, meaning that people are starving, migrating, fighting and dying. Should the Government not respond to this climate crisis by urgently bringing forward emergency legislation to mitigate climate crime, rather than plotting to criminalise peaceful and—currently—lawful environmental protectors?
ParlaMint-GB_2020-09-07-commons.u305	We are only criminalising people who commit criminal acts. That is the point, and we shall see where those charges eventually land. As I said, the Government have done an enormous amount on climate change, and while I do not have a problem with being urged to go further and faster, ignoring the progress we have made does no one any service.
ParlaMint-GB_2020-09-07-commons.u306	Non-violent civil disobedience is a common practice tool used by protest groups throughout history to demand change. Branding them as criminals is not the right way forward. My hon. Friend the Member for North Ayrshire and Arran (Patricia Gibson) reminded us earlier that the Prime Minister’s own father spoke at a protest organised by Extinction Rebellion. Does the Home Office really wish to criminalise him and others like him?
ParlaMint-GB_2020-09-07-commons.u307	As I have pointed out endlessly in the last hour and a half, I completely agree that non-violent civil disobedience is perfectly legitimate—indeed, it is a fundamental right of mine as a citizen of this country—but that is not the same as committing a crime or attempting to curtail the rights of others.
ParlaMint-GB_2020-09-07-commons.u308	My thoughts and condolences are with the victims of the attack in Birmingham. Yesterday a 13-year-old boy was threatened with a knife on Colchester Road in Ipswich and today, as my hon. Friend mentioned, there has been a tragic attack in Kesgrave, which is just outside Ipswich. Will he pledge to make sure that Suffolk constabulary has the resources it needs to tackle crime and also that those caught in possession of a bladed weapon fear the consequences? My fear right now is that they do not.
ParlaMint-GB_2020-09-07-commons.u309	As my hon. Friend knows, Suffolk will receive an uplift of police officers over the next few years, and I know it is making good progress on recruitment so far. Although he is right that those who perpetrate knife crime need to fear the consequences, the critical deterrent factor in crime is the perception of the likelihood of being caught. The recruitment of more police officers and the powers that we give them will help with that in Suffolk, as it will elsewhere.
ParlaMint-GB_2020-09-07-commons.u310	I would like to offer my condolences to the families of those injured and killed this weekend in Birmingham. Can the Minister confirm that lessons will be learned from this tragic event? Many police forces have lost thousands of staff and police officers in the past 10 years. How can he reassure the people of Birmingham and across the UK that such tragedies can be prevented in future with such job losses?
ParlaMint-GB_2020-09-07-commons.u311	As I said earlier, during my time at City Hall, when police officer numbers were much higher, we faced the same challenge with knife crime, but managed to drive it down, making significant reductions. We hope that we can do the same thing across the whole country, including in the west midlands, but we need support and help from people such as the hon. Lady and others to do so.
ParlaMint-GB_2020-09-07-commons.u312	How many more ambulances need to be stopped by protesters before the police start arresting people who create illegal roadblocks?
ParlaMint-GB_2020-09-07-commons.u313	My hon. Friend is quite right that that is the unfortunate effect of some of those protests. As I said earlier, the Metropolitan police has made over 600 arrests now, with dozens made over the weekend. Hopefully that is having an impact on the numbers, but we all want XR to think about the practical consequences of their protests, in terms of not just what we in this House think, but the impact on their fellow citizens.
ParlaMint-GB_2020-09-07-commons.u314	Policing and police resourcing is one part of the picture of reducing knife crime. Another part, of course, is preventive work. Youth services in England have seen a cut of £1 billion, or 73%, since 2010. Youth work can provide a really good preventive strategy when it comes to knife crime. What discussions is the Minister having with his colleagues to reverse the cuts to youth services?
ParlaMint-GB_2020-09-07-commons.u315	We are obviously going into a spending round and giving consideration, through the Department for Digital, Culture, Media and Sport, my Department and the Ministry of Justice, to what funding and capability we can point towards diverting young people away from crime. The hon. Lady will know that, happily, I am also in the middle of a process of engaging with the violence reduction units that we have funded across the country, to learn from them and understand what is working, so that we can promulgate that across the rest of the country.
ParlaMint-GB_2020-09-07-commons.u316	I have spoken many times in this House about the importance of regulating the press and how important I believe climate change is. People like me are so put off by what the XR people are doing. How do we communicate to them that they are really their own worst enemy?
ParlaMint-GB_2020-09-07-commons.u317	I have no doubt that they will be watching this session with interest. Notwithstanding one or two voices in support, the vast majority of Members have been against. No doubt as the individuals involved go back and sense the feeling from their own communities, families and acquaintances, they will see that this was a step too far.
ParlaMint-GB_2020-09-07-commons.u318	Far-right anti-migrant activists brought the port of Dover to a halt, and 10 were arrested for racially aggravated public disorder, violent disorder and the assault of an emergency worker. Why is there not a Home Office statement on, condemnation of, and focus on that?
ParlaMint-GB_2020-09-07-commons.u319	As I have said, I came prepared to answer questions on that protest. It was not deemed to be of a scale necessary to make a statement about, particularly given the impact of the events in Birmingham, but the hon. Gentleman is quite right in his assessment. I do condemn those protesters, in particular those who assaulted police officers.
ParlaMint-GB_2020-09-07-commons.u320	I add my condolences to the victims of the horrendous events that took place in Birmingham early on Sunday morning, when the police and emergency services were clearly faced with a really challenging situation. From reading accounts in the media of what happened at that time, it seems that the perpetrator was at large an hour and a half after committing the first crime and continuing to commit further crimes. I just wondered whether that was a matter of concern to the Minister.
ParlaMint-GB_2020-09-07-commons.u321	I wish I could comment on the circumstances of the case and the individual. Of course, I have been briefed by the chief constable. No doubt, in time, as this matter is brought before the courts, all will become apparent. Whatever happens, we will try to learn lessons from what happened on Saturday night.
ParlaMint-GB_2020-09-07-commons.u322	Whatever we think about Extinction Rebellion’s tactics, be they right or wrong, its actions were peaceful, and such civil disobedience methods have been used throughout history, so any branding of the activists as criminals is certainly not acceptable. Does not the Minister agree that two wrongs do not make a right?
ParlaMint-GB_2020-09-07-commons.u323	Not all crimes are violent.
ParlaMint-GB_2020-09-07-commons.u324	I agree with my hon. Friend in his comments earlier that a consequence of a protest turning to criminality has a cost in resources, time and priorities for our brave police officers. Will he therefore look at a legislative route that might enable us to reclaim policing costs from individuals and campaign groups when protest turns to criminality in their name?
ParlaMint-GB_2020-09-07-commons.u325	My hon. Friend raises an interesting point to which I will give due attention as we go into the spending round.
ParlaMint-GB_2020-09-07-commons.u326	I thank my right hon. Friend for the increased resources going into policing in Stoke-on-Trent and Staffordshire. We here all condemn the unacceptable behaviour we have seen with recent protests. It is totally unacceptable to see people resorting to violence and to also see these larger gatherings when such gatherings are banned. Will my hon. Friend join me in ensuring that we send a strong message to those organising these events that they will be fined, and that action is being taken to ensure that such events will not be allowed to take place in future?
ParlaMint-GB_2020-09-07-commons.u327	Obviously, a number of fines were handed out over the weekend, and my hon. Friend has given exactly the strong message he is looking for
ParlaMint-GB_2020-09-07-commons.u328	As a former journalist, I was appalled at the chilling attempts to quash the free press by extremists at the weekend. Day in, day out, reporters risk their lives around the world in their determination to seek and expose the truth, which is printed on newspapers at the very print works that XR blockaded. Does my hon. Friend agree that no protest group has the right to override those committed journalists and try to dictate its version of the truth?
ParlaMint-GB_2020-09-07-commons.u329	My hon. Friend is exactly right. If anything, the protest highlighted—certainly to me and to many millions of our fellow citizens—the miracle that is a newspaper. Information is brought to us from across the globe and printed, dropping through the letterbox day after day without let or hindrance. If anything, the protest highlighted the value of that resource.
ParlaMint-GB_2020-09-07-commons.u330	It is with regret that, since Extinction Rebellion’s inception, we have witnessed it adopt increasingly radical measures, which masquerade upon an environmentalist platform. In truth, it is a considered ruse to gain support for its Marxist agenda, which attacks British values predicated on freedom and pluralism. Blocking ambulances and seeking to constrain press freedom are but two examples from a plethora of behaviours that demonstrate its devious agenda Her Majesty’s Government were elected with a mighty mandate from the British people to restore their ancient rights and freedoms, whether threatened from Brussels or from the barricade. The fine people of my constituency of Wakefield expect us to deliver on that. Will the Minister outline what steps the Government will take to neutralise XR’s disruptive and dangerous tactics?
ParlaMint-GB_2020-09-07-commons.u331	I am grateful for my hon. Friend’s stentorian support. He is quite right that people want to see a sense of order in this country, and that is exactly what we will put in place and what we are beavering away to make happen across the country—in his constituency and elsewhere.
ParlaMint-GB_2020-09-07-commons.u332	In my constituency, I often meet climate activists—people from the Green party. Two of them have stood against me in previous elections and I can honestly say that they are thoroughly decent, engaging and polite, lobbying me for things to be done. That is in stark contrast to what we are seeing at the moment. The idea that we can say that “Well, they were only attacking five billionaire press barons” is simply wrong. Small community shops have been at the heart of our communities during the covid crisis and they took a real hit this weekend. Does my hon. Friend agree that the best way to engage on this subject is to do what the people I am honoured to call my constituents do to try to tackle climate issues, rather than putting hard-working businesspeople out of work?
ParlaMint-GB_2020-09-07-commons.u333	As usual, my right hon. Friend is exactly right. There is a way of engaging and influencing us as Members of Parliament that works—the one that he rightly points out—and like him, I have never refused to meet a green group in my constituency. If anything, I meet them with pleasure because our views often coincide, but fundamentally, as he knows, because he has been politically active for a long time, the way to effect change is through hard work. It means people leafletting, standing in an election, fighting their corner, getting elected to this place by winning an election and then putting their agenda in place. That is what he and I have done for the last two or three decades and that is the right and proper way in a democracy.
ParlaMint-GB_2020-09-07-commons.u334	Order. We now have a three-minute suspension.
ParlaMint-GB_2020-09-07-commons.u335	I beg to move, That the clause be read a Second time.
ParlaMint-GB_2020-09-07-commons.u336	With this it will be convenient to discuss the following: New clause 2—Accreditation of fire risk assessors— ‘The relevant authority must by regulations amend the Regulatory Reform (Fire Safety) Order 2005 (SI 2005/1541) to require fire risk assessors for any building which contains two or more sets of domestic premises to be accredited.’ This new clause would require fire risk assessors to be accredited. New clause 3—Inspectors: prioritisation— ‘In discharging their duties under article 27 of the Regulatory Reform (Fire Safety) Order 2005 (SI 2005/1541) (powers of inspectors) in relation to any building which contains two or more sets of domestic premises, an inspector must prioritise the premises which they consider to be at most risk.’ This new clause would require the schedule for inspecting buildings to be based on a prioritisation of risk, not an arbitrary distinction of types of buildings. New clause 4—Meaning of responsible person— ‘In article 3 of the Regulatory Reform (Fire Safety) Order 2005 (SI 2005/1541) (“meaning of responsible person”), at the end of paragraph (b)(ii) insert— “(2) Where a building contains two or more sets of domestic premises, a leaseholder shall not be considered a responsible person unless they are also the owner or part owner of the freehold.”’ This new clause aims to clarify the definition of ‘responsible person’ to ensure leaseholders are not considered a responsible person unless they are also the owner or part owner of the freehold. New clause 5—Waking watch— ‘The relevant authority must by regulations amend the Regulatory Reform (Fire Safety) Order 2005 (SI 2005/1541) to specify when a waking watch must be in place for any building which contains two or more sets of domestic premises and which has been found to have fire safety failings.’ This new clause would require the UK Government (for England) and the Welsh Government (for Wales) to specify when a waking watch must be in place for buildings with fire safety failures. Amendment 1, page 1, line 16, at end insert— ‘(1C) Where a building contains two or more sets of domestic premises, the things to which this order applies includes electrical appliances (1D) The reference to electrical appliances means any appliances specified by Order made by the relevant authority (1E) Schedule 1 of the Fire Safety Act 2020 shall apply to paragraphs (1C) and (1D).’ This amendment would clarify that the Fire Safety Order applies to electrical appliances. New schedule 1— ‘1 The relevant authority must, no later than 12 months after the date on which this Act is passed, make regulations specifying the electrical appliances covered by paragraph (1D) of the Regulatory Reform (Fire Safety) Order 2005 2 The relevant authority must, no later than 12 months after the date on which this Act is passed, make regulations to amend the Regulatory Reform (Fire Safety) Order 2005 (“the Order”) as follows— (a) to require the responsible person for premises to which the Order applies to— (i) carry out electrical safety checks of such type as may be prescribed by the Order at such frequency as may be so prescribed (being no less frequently than every 5 years) at each set of domestic premises, regardless of whether the occupier is a tenant of the responsible person; (ii) keep records of the checks for such period as may be prescribed by the Order and make them available upon request to such persons as may be so prescribed; (iii) keep a register of such kinds of electrical appliances as may be prescribed by the Order that are kept in each set of domestic premises, regardless of whether the occupier is a tenant of the responsible person; (iv) check whether those electrical appliances are the subject of a recall notice under paragraph 12 of the Electrical Equipment (Safety) Regulations 2016 (b) to require occupiers of such premises to— (i) provide access to premises and allow action to remedy any failure to meet safety standards identified in a safety check carried out in accordance with sub-paragraph (a)(i); (ii) provide the relevant responsible person with information about electrical appliances prescribed in accordance with sub-paragraph (a)(iii) and kept in the premises; (iii) comply with any reasonable requirement made by the responsible person in relation to electrical appliances which the responsible person has reason to believe are the subject of a recall notice under paragraph 12 of the Electrical Equipment (Safety) Regulations 2016 3 Regulations made under paragraph 2 may— (a) confer a power to enter premises on such persons as may be prescribed in the Order for such purposes connected with the requirements imposed under the regulations as may be so prescribed (b) create offences; (c) amend the definition of “responsible person” in article 6 of the Order; (d) make such consequential, supplementary or incidental provision by way of amendments to the Order as the relevant authority considers appropriate. 4 Regulations made under paragraph 2 must provide that any power to enter domestic premises is not to be exercisable unless— (a) at a reasonable time and with the consent of the occupier of the premises; or (b) under the authority of a warrant issued by a justice of the peace.” 5 In this schedule the term “relevant authority” has the same meaning as in the Regulatory Reform (Fire Safety) Order 2005.’ This new schedule would require the Government to make regulations specifying the electrical appliances to which the Fire Safety Order applies. It would also require the Government to amend the Order to impose additional duties on the responsible person and on occupiers. It is consequential on Amendment 1.
ParlaMint-GB_2020-09-07-commons.u337	Let me begin, as I have at every stage of this Bill, by saying that we on the Opposition Benches support the Bill. The Minister knows that. We are keen to be as supportive as possible, but let me reiterate the point that I have also made at every stage, which is that this Bill is a shamefully inadequate response to the multiple problems for fire safety, which were so tragically brought to the fore when 72 lives were lost in the Grenfell Tower fire. The Bill—all three clauses of it—goes nowhere near far enough to prevent a tragedy like Grenfell from happening again The Government said that the introduction of the Fire Safety Bill would take them a step further in delivering the inquiry’s recommendations and recently cited the Bill as one of their key priorities in response to a deeply frustrated letter from Grenfell survivors. Yet the Bill does not even include provisions for any of the measures called for by the first phase of the inquiry The Grenfell community were failed by a system that did not listen to them. We must never forget that failure. I pay tribute to Grenfell United, the families and the whole community for continuing to tirelessly fight for justice. They should not have had to fight so hard, and hundreds of thousands of people across the country are now being failed by a system that does not listen to them—those stuck in buildings with flammable cladding, those using their income to fund waking watch and other safety measures, and those who cannot buy or sell their flats because the mortgage market has been ground to a halt by confusion and lack of Government leadership.
ParlaMint-GB_2020-09-07-commons.u338	My hon. Friend starts absolutely with the crux of the matter. She will be aware that, in my own constituency of Cardiff South and Penarth, we have thousands of residents in apartment blocks who are affected by these issues. The failure of companies such as Redrow, Laing O’Rourke and Taylor Wimpey to hold to their responsibilities for fire safety and other building defects is a huge problem. Does she agree that they need to take responsibility for mistakes that they may have made in construction?
ParlaMint-GB_2020-09-07-commons.u339	My hon. Friend makes a very good point. The system as a whole is fundamentally broken, and it is the developers as well as the Government who need to look to their own actions and correct them The Government have made many promises to bring justice to the survivors and their families, to change building and fire safety regulations and to do this quickly, but the Government are yet to make their promises a reality. At every stage, we have had to drag them into action. During the passage of this Bill, we have sought constructively to improve it, so that it goes further as a piece of primary legislation towards improving fire safety New clause 1 would do what the Government say must come later. It would place robust requirements on building owners or managers and implement the recommendations—the key recommendations—from phase 1 of the Grenfell Tower inquiry. The Government said that they would implement the Grenfell phase 1 inquiry in full and without delay. This new clause, which we are moving tonight, would fulfil that promise. In what is a very complex world of building and fire safety, the new clause is relatively simple. It seeks to do four things: the owners of buildings that contain two or more sets of domestic premises would share information with their local fire and rescue service about the design and make-up of the external walls; they would complete regular inspections of fire entrance doors; they would complete regular inspections of lifts; and they would share evacuation and fire safety instructions with residents. These measures are straightforward and are supported by key stakeholders. Frankly, it is pretty extraordinary that they are not already enshrined in law.
ParlaMint-GB_2020-09-07-commons.u340	I am extremely grateful to the hon. Lady for giving way at this point. She is making a very powerful case. I will be supporting new clause 1, as it is worthy of support. Will she put some pressure on her Labour colleagues in the Welsh Government in Cardiff to bring forward similar proposals for consideration by the Senedd in Cardiff before the elections in May?
ParlaMint-GB_2020-09-07-commons.u341	The Welsh Government have a proud record on fire safety, and I point the hon. Gentleman in the direction of the many actions that have been taken. In this case today, we are looking at the actions of the Government and their failure to act since the Grenfell Tower fire three years ago Time and again in Committee, the Minister supported what we were saying in principle but told us that we must wait for a consultation to finish, a taskforce to report, or the experts to tell us what to do. That is not good enough. We have seen with covid what can be done with political will: hospitals built in days, and whole systems restructured to respond where there is a need. If the political will was there, the Government would support this new clause and we could take one step in the direction of keeping the promises that we all made in those days and weeks after the Grenfell fire. The Government have given no timetable for when they will deliver the inquiry’s recommendations through secondary legislation. The Government have continuously pushed back on their promises while thousands of people across the country are stuck still in unsafe flats.
ParlaMint-GB_2020-09-07-commons.u342	My hon. Friend will know, and the Minister will recognise, that there are thousands of leaseholders living in flats—I support all steps being taken to improve fire safety—where, as each day passes, more bills are coming in for increased insurance and waking watches. They live in dread of the final bill for the cost of replacing the cladding, which will be completely unaffordable. It is not fair to our constituents to make them live with this nightmare that they did not cause, and I hope she will continue to urge the Government to play their part, because only the Government can solve this.
ParlaMint-GB_2020-09-07-commons.u343	My right hon. Friend is absolutely right: only the Government can fix this problem. The lack of action and the lack of clarity about which buildings are safe, apart from anything else, and about what needs to be done has led to huge disruption for thousands of people, huge cost, mental health issues, weddings put off, jobs and opportunities not being able to be taken and all manner of problems that the Government need to fix The Government have constantly pushed back on their promises, while many people are still in unsafe flats. The fire safety measures recommended by phase 1 of the Grenfell Tower inquiry are urgently needed. Why would we wait for secondary legislation at an undetermined point in the future to ensure that building owners and managers share information about the design of external walls with their local fire services? Why would we delay the requirement to have inspections of individual flat doors and lifts? Why would we wait to make building owners or managers share evacuation and fire safety instructions with residents In Committee, the Minister responding—the hon. Member for North West Hampshire (Kit Malthouse)—said that the Government intend to legislate further, but we need more than vague commitments about secondary legislation. At the very least, we need a clear timetable from Government that sets out when further changes to the Regulatory Reform (Fire Safety) Order 2005 will be delivered The fire safety order requires regular fire risk assessments in buildings, but it includes no legal requirement for those conducting the assessment to have any form of training or accreditation. I could call myself a fire risk assessor, set myself up with a logo and be responsible for one of the most important safety measures we have. No other sector would accept that. No one would accept electricians with no qualifications or gas engineers making it up as they go along. It is absurd. Any one of us could carry out fire risk assessments on schools, hospitals or care homes with no test or accreditation needed. The lack of training and accreditation in such an important area is completely unacceptable The Bill’s changes to the fire safety order clarify the inclusion of external wall systems such as cladding and insulation, which makes the competence of fire risk assessors even more important, as they will need to understand the more complex elements and materials found in cladding systems. That hugely important issue has been raised by Members from all parts of the House on Second Reading and in Committee The Government should be using the Bill to legislate for higher standards and greater public accountability in fire inspections. New clause 2, tabled by the Opposition, would bring into force an accreditation system for fire risk assessors, rather than waiting for more secondary legislation. In Committee, the Minister responding referred to the “industry-led competency steering group” in relation to fire risk assessors. I hope that the Minister today can provide an update on when the Government plan to bring forward changes to address the issue of unqualified fire risk assessors. Turning to new clause 3, we have talked to many experts and stakeholders who have significant concerns, which the Minister will be aware of, about how the Bill will be implemented. The Minister responding in Committee referred to the building risk review programme, which looks “to ensure that local resources are targeted at those buildings most at risk.”––[Official Report, Fire Safety Public Bill Committee, 25 June 2020; c. 62.] We would like to see a similar provision in the Bill. New clause 3 would require the schedule for inspecting buildings to be based on a prioritisation of risk, not an arbitrary distinction of types of buildings. Local fire and rescue services know their areas and the buildings where there is greatest risk. Let them decide what to prioritise first. They know better than Whitehall Many Members from all parts of the House have been contacted by desperate leaseholders who have been left to foot the bill for urgent fire safety works, despite not being the building owner. That is a huge challenge, as we have already discussed. The definition of the responsible person in this legislation needs to be made clear The Fire Safety Bill is intended to be a foundational Bill. Its purpose is to provide clarity on what is covered under the fire safety order, which will inform other related and secondary legislation. New clause 4 would be an important example of that kind of clarification. Its purpose is to clarify the definition of “responsible person” to ensure that a leaseholder is not considered a responsible person unless they are also the owner or part-owner of the freehold. The draft Building Safety Bill places various requirements on the responsible person, and refers to the fire safety order for the definition. It is vital that the fire safety order makes it clear that there is no ambiguity around the definition of “responsible person”; otherwise, there is a risk of confusion and misalignment between the two pieces of legislation, and a danger that the responsible person might seek to use that ambiguity to avoid their responsibilities under the Bill The definition of the responsible person has been raised by many Members from across the House at each stage of the Bill’s progress. Without clear definitions, there will be new questions of interpretation, and we will not achieve what we are setting out to achieve. The Opposition do not understand why that is controversial. Perhaps the Minister could help by explaining why he is comfortable leaving such dangerous ambiguity New clause 5 refers to another important issue, which my right hon. Friend the Member for Leeds Central (Hilary Benn) raised. Struggling leaseholders across the country have been forced to pay extortionate fees for interim fire safety measures—most commonly, waking watch—while progress on remediation work has been too slow. New clause 5 aims to clarify when waking watch should and should not be in place. The Government still have not published the findings of their audit of external wall systems of high-rise buildings, and are therefore unable to say how many buildings are covered in dangerous non-ACM cladding. However, we know from their latest figures on aluminium composite material cladding that more than 80% of private sector residential buildings, and nearly half of social sector residential buildings, wrapped in Grenfell-style ACM cladding have not had it removed and replaced. The Government deadlines of 2019 for social sector blocks to be made safe, and June 2020 for private sector blocks, were both missed. Progress has been painfully slow, and the coronavirus pandemic has hindered it even more. The impact on residents is terrible. Tens of thousands of people have been locked down in unsafe buildings for months on end The National Fire Chiefs Council says that waking watch should be a temporary measure, but some blocks have been paying for it for three years, which has cost residents thousands of pounds and ruined lives. Given that the safety status of many buildings across the country remains uncertain and the timelines for cladding removal keep getting extended, clarity on when and for how long waking watch should be used would bring much-needed consistency on how the measure should be applied I will speak very briefly about amendment 1, tabled by the hon. Member for Southend West (Sir David Amess), who has persistently campaigned on fire safety for many years. I pay tribute to him and Jim Fitzpatrick, who is no longer in this House, for their campaigning work and for writing to Ministers time after time, including only weeks before the Grenfell fire, to implore them to act on fire safety. The issue of electrical safety, which amendment 1 raises, is hugely important, and I am grateful to the hon. Gentleman for bringing it to the House. The additional requirements on the fire and rescue service to provide a higher level of inspection and enforcement on the communal parts of buildings with two or more domestic premises, which this Bill introduces, should be accompanied by a rigorous approach to safety checks of electric appliances inside the premises. It is vital to ensure that the risk of faulty electrical appliances in multiply occupied residential buildings is minimised Last month, I wrote to the Minister seeking urgent action on the rising number of fires caused by faulty appliances in high-rise blocks. The number of electrical fires caused by faulty appliances has risen in England. Based on analysis of Government figures by Electrical Safety First, The Times has reported a rise in the number of electrical fires caused by faulty tumble dryers and fridges. The number of accidental electrical fires in tower blocks has risen in each of the past three years. If these measures cannot be included in the Bill, we will scrutinise any proposals that the Government bring forward to ensure the best possible standards of electrical safety. Will they set out a timetable to deliver that In conclusion, there are many issues around improving fire safety that we would have liked to see included in the Bill. However, due to its limited scope, many will have to be addressed through the draft Building Safety Bill and secondary legislation. The amendments we have tabled are straightforward; most of them are on issues that the Government have stated their intention to address but have not shown the political will to move faster on. For those living in unsafe buildings, the risk of fire will not wait for the Government to choose an appropriate date for the Bill’s commencement. After Grenfell, the then Prime Minister, the right hon. Member for Maidenhead (Mrs May), said that her Government will do “whatever it takes” to keep our people safe. Three years on, we urge the Government to honour the commitment to keep people safe, and to act as quickly as they can to do that.
ParlaMint-GB_2020-09-07-commons.u344	I rise to speak to amendment 1, and I welcome, to a greater extent, the remarks of the hon. Member for Croydon Central (Sarah Jones). I thank her for her generous remarks about myself, of which I am not worthy; I have simply been the mouthpiece for others who have been doing the work behind the scenes My right hon. Friend the Minister and I have known one another for a very long time; in fact, when I was an MP for another place, he and his dear wife were there knocking on doors for me, yet now I have tabled an amendment which is not exactly what he wants. I have something to say to him, to which he must not take offence: I am a loyal Conservative through and through, but there comes a point when that loyalty begins to wane a bit. I say to my hon. Friends on the Government Benches that the Government are in choppy waters at the moment. I do not want to tip the boat over, but I am beginning to tire of the responses we have been getting from the Front Bench, and I will come to that in a moment I am delighted to see present my hon. Friend the Member for Bromley and Chislehurst (Sir Robert Neill), who was once a fire Minister—I hope he is not here to pick holes in my argument; he had better not—and my hon. Friend the Member for Don Valley (Nick Fletcher), who has far more expertise in electrical matters than I could ever hope to have, and also of course the hon. Member for Hammersmith (Andy Slaughter), who has campaigned on this issue for many years. That shows that there is broad all-party parliamentary support on this matter, and it is not party political.
ParlaMint-GB_2020-09-07-commons.u345	Will my right hon. Friend give way?
ParlaMint-GB_2020-09-07-commons.u346	I hope my hon. Friend is not going to disagree.
