ParlaMint-GB_2020-12-15-commons.u1	What steps his Department is taking to support the development of hydrogen energy.
ParlaMint-GB_2020-12-15-commons.u285	I have to start by expressing my deepest sympathies to the shadow Minister, the hon. Member for Manchester Central (Lucy Powell), who has had to come to the House to try to defend the completely and utterly indefensible. [Interruption.] She says that she does not need my sympathy—well, she is getting it anyway. The reality is that the Labour party has once again turned its back on voters in Scotland. Last night Labour had the opportunity to stand up for the Scottish Parliament, to stand up for devolution and to block direct spending by this UK Government on devolved matters, and it sat on its hands. That is why there is a not a single Labour Back Bencher here in the Chamber this afternoon But my sympathies do not stop there: they also extend to the Minister himself. He talks about business certainty—business certainty! Four and a half years after the Brexit vote, after three Prime Ministers and two general elections, it is 17 days to the end of the transition period and the Minister could not name, in any way, shape or form, what the trade status of the United Kingdom is going to be. I pity them all. This is why the people of Scotland will choose a different path in the very near future Let us look at the Bill as it stands in a little more detail. It remains—it utterly remains—a blatant attack on devolution. For me, that is extremely frustrating, because, like my hon. Friend the Member for Glasgow East (David Linden), I am young enough to have lived almost entirely under the Scottish Parliament. I do not remember a time when there was not a Scottish Parliament. It has been a positive, progressive force for Scotland that we are proud of. I am not going to come to this Chamber and let a party that has not won an election in Scotland since the 1950s dictate to the Scottish Parliament as to what will happen. It is a complete and utter shambles, and the Government should be utterly ashamed of that To finish, something that has been asked a lot in this Chamber—I have heard the shadow Scotland Office Minister say it as well—is, “Name a single power that is being grabbed. Name a single one”, but this is much bigger than that; this is a blatant, all-out attack on devolution itself. It seeks to undermine the very premise of devolution. To prove that very fact, The Press and Journal just four days ago said: “The Secretary of State has been very clear he wants to deal direct with local authorities”— not just going beyond the Scottish Parliament or the Convention of Scottish Local Authorities, but going straight to the local authorities themselves. That is absurd and a blatant attack on devolution, and we will not stand for it.
ParlaMint-GB_2020-12-15-commons.u286	I am overwhelmed by a sense of déjà vu, with the Labour Front Bench getting more grief than the Treasury Front Bench, as back in the day. I am also overwhelmed with a sense of déjà vu because I feel a great sense of this Government being in the same place—in my heart, in my mind—as the European Commission once was. Back in the days when we were not little Britain, I remember feeling enormous frustration and anger with the European Commission when it would do stupid things, in particular with agriculture, playing into the hands of separatists who only wanted the end of our relationship with the European Union I feel exactly the same about this Government now playing into the hands of my friends and colleagues around me on the SNP Benches—to whom this is music to their ears—by undermining the Union and being cloth-eared in the process. The Minister has had every chance to accept Lords amendments and to do what he can to stand behind the integrity of the Union and of the devolution settlement I have another great concern. I mentioned agriculture a minute ago, and what is critical in the race to the bottom that is built into the Bill when it comes to standards of farming, animal welfare and the environment is something that is not restricted to the Bill alone; it is something that the Government are repeating in other areas of their approach. We have seen the failure of the Government to accept proposals from my party and others that the high standards of British animal welfare and our environmental standards should be written into all new trade deals, but those were refused at every turn—clearly preparing the way to sell out farmers in all corners of the United Kingdom at the first chance the Government get in any trade deal At the same time, although most of us in this House agree with the Government’s direction in terms of the English changes to farm payments—from basic payments to the environmental land management scheme—the plan has been to underfund the scheme and to bodge it, getting rid of the basic payments before the new payments are in place, therefore killing off English family farms, which are the unit that allows us to have high-quality animal welfare and environmental standards. All those things together paint a picture of a Government who have lost touch with the countryside and with agriculture, and are prepared to set out a range of policies—almost a manifesto, a catalogue, of attacks on British farming—that undermine our standards, animal welfare and the quality of our produce, and to sell our farmers down the river I am proud of the quality of British farming, throughout these islands, and I want the standards that are the highest in any nation to be the highest across all four. I would love the Government to learn from the mistakes of the European Commission—not to play into the hands of separatists, but to make sure that they defend our Union and the devolution settlement.
ParlaMint-GB_2020-12-15-commons.u287	We are clear on the SNP Benches that Scotland does not want this Bill and that it overrides powers within the Scotland Act 1998. The explanatory notes state: “The Bill’s provisions replace the existing limits on the effect of legislation made in exercise of devolved legislative or executive competence” The Bill is clear about taking new powers We know that divergence will not be tolerated, because it is not tolerated currently. In immigration policy, Scotland has been refused any degree of control. On the control and sale of fireworks, we have been ignored in our request to regulate fireworks. In the treatment of drug law, an area close to my heart and that of my constituents, despite crying out for years in the face of a drugs-death crisis—a crisis which last year saw 1,264 souls lost—the UK Government say that Scotland will not be permitted, not allowed, not trusted to take further action to prevent the deaths of our citizens. Scotland accepts responsibility in the areas where we can act, and we know we must do more, but we do it with our hands tied behind our back. I do not trust this Government to behave any differently when they grasp with grubby hands Scotland’s powers over economic development and infrastructure, such as our water supply, our transport, our health or our education. The only way to protect the powers of our own Parliament is for Scotland to vote for independence.
ParlaMint-GB_2020-12-15-commons.u288	It is an honour to follow my constituency neighbour, my hon. Friend the Member for Glasgow Central (Alison Thewliss). Like other hon. Members on the SNP Benches, I welcome the amendments from their lordships to try to protect the devolved settlements from policy divergence across the UK. However, it strikes me as a rather bizarre state of affairs that we are desperately relying on the unelected and democratically illegitimate House of Lords to defend devolution and democracy. That irony is not lost on me, but I will return to that just a little bit later I rise today to speak in favour of Lord Hope of Craighead’s amendment on the common framework; I remain enormously frustrated that the Government are opposing it in this House in order to protect their grubby power grab on the devolved legislatures. Of course, that should not come as a surprise to the House: not only did this British Tory Government campaign against devolution in 1997, but they actively loathe it even now, and make no attempt to hide that view We have a Prime Minister who told his Back Benchers that devolution was “a disaster” and that devolving power was Tony Blair’s “biggest mistake”, which will certainly come as a surprise to those of us who opposed the war in Iraq. However, it is not just the Prime Minister who holds that anti-devolution view; it runs all the way through this Bill. The Leader of the House and Lord President of the Council is also on record as saying that, “constitutional tinkering has weakened our Parliament and has helped to divide the United Kingdom”—[Official Report, 26 November 2020; Vol. 684, c. 989.] I would argue that the Government do not need much help with that, frankly We are where we are, and that is why I support the amendment to the Bill made by Lord Hope. We should not be surprised by the Tories’ anti-devolution rhetoric, but I must say I was surprised and disappointed to see the British Labour party withdraw its support for Lord Thomas’s amendment, which challenged clauses on direct spending in devolved areas. Perhaps it is a sign of just how out of touch the Labour party has become that Lord Stevenson, speaking for his party in the Lords last night, said that, “the points made by the Minister on the shared prosperity fund were sufficient to ensure that we do not need to go back over this again. It is not our view, as Her Majesty’s loyal Opposition, that we need to divide the House on this issue again.”—[Official Report, House of Lords, 14 December 2020; Vol. 808, c. 1476.] It is hard—really hard—to imagine a giant such as Donald Dewar, for example, uttering those words in Westminster, but they reaffirm my belief that this place and its two biggest parties cannot be trusted to protect our devolved institutions. Perhaps that is why, yesterday, we saw the 16th poll in a row showing majority support for Scottish independence. Alongside my colleagues this afternoon, I will vote for the amendments, but the only way to truly empower the Scottish Parliament is with independence, not with Lords amendments. Scottish independence is only a case of when, not if, and I suspect the Minister knows that too.
ParlaMint-GB_2020-12-15-commons.u289	I am grateful for the forbearance of colleagues who have brought this debate to a relatively short end. I will not detain them for too long; I just want to thank everybody who has spoken today It is a shame that a number of the speeches veered from the amendments that we are considering today, but it was somewhat predictable. We are debating devolution, but in reality a number of hon. Members talked about independence, without using the word—I think in SNP bingo the word independence came up only once. The sentiment was that they are using this Bill to further their ambitions for independence, rather than concentrating on respecting the devolved Administrations through devolution and common frameworks We have before us today’s amendments, which the Lords considered and voted on, yet much of the debate was about yesterday’s amendments and an attack on the Labour party. I appreciate the opening words from the hon. Member for Manchester Central (Lucy Powell), that it is important that we keep on talking to get this important Bill through, so that we can give businesses certainty.
ParlaMint-GB_2020-12-15-commons.u290	I do not want to intervene on this love-in of the Better Together alliance, but the Minister spoke earlier about using the United Kingdom Internal Market Bill to divide the United Kingdom. Actually, opinion polling has shown a clear trajectory in terms of Scottish independence—16 polls in a row. Why does he think that is?
ParlaMint-GB_2020-12-15-commons.u291	I am not sure which amendment the hon. Gentleman is speaking to, but I note that the last poll was 52:48, which I am sure he will talk about; it seems to be a figure that keeps coming up Why do we need to give businesses certainty? This is not just about Northern Ireland, Wales and England; it is about Scottish business too. Some 60% of Scotland’s trade—more than £50 billion—is with the rest of the UK. Up to half a million jobs are dependent on that internal trade.
ParlaMint-GB_2020-12-15-commons.u292	On that statistic about Scotland’s exports, will the Minister concede that 62% of manufactured exports from Scotland go outwith the UK, to the EU and the rest of the world?
ParlaMint-GB_2020-12-15-commons.u293	That refers to the 144,000 jobs, as I am sure the hon. Gentleman would say, which were considered by the same institute that came up with the half a million jobs dependent on internal trade. He talks about the manufacturing trade; that is why we are better together as a United Kingdom. We have the whole gamut of skills, whether it is in manufacturing, services, culture, financial services or legal services—all those areas that we can provide as the UK which will make us a force to be reckoned with as we come out as one global Britain, with the opportunities that we will afford ourselves, in 17 days’ time.
ParlaMint-GB_2020-12-15-commons.u294	Will the Minister give way?
ParlaMint-GB_2020-12-15-commons.u295	I will not, because I need to bring my remarks to a close The Government will continue to be reasonable in discussions on the Bill. We have made great progress so far in both Houses on finding areas of agreement—on what brings us together as one UK as we look to leave. I appreciate the constructive approach that peers in the other place have taken in discussions with the Government. We will continue to engage and to find that common ground, but we assess at the moment that the amendments proposed by the other place continue to go too far and run counter to the certainty that the Bill provides and that businesses need As we have made clear before, this Bill is vital in preserving our internal market and continuing to provide certainty for businesses as we seek to recover from covid-19, prepare for the opportunities after the transition period and protect jobs. I therefore call on the House to support the Government’s motion Question put, That this House disagrees with Lords amendments 1F, 1G, 1H, 1K, 1L and 8M.
ParlaMint-GB_2020-12-15-commons.u296	In order to observe social distancing, the Reasons Committee will meet in Committee Room 12 In order to allow the safe exit of hon. Members participating in this item of business and the safe arrival of those participating in the next, I am suspending the House for three minutes.
ParlaMint-GB_2020-12-15-commons.u297	I beg to move, That the clause be read a Second time.
ParlaMint-GB_2020-12-15-commons.u298	With this it will be convenient to discuss the following: New clause 2—Provisions of Act to have effect notwithstanding inconsistency or incompatibility with international or other domestic law— (1) The provisions of this Act have effect notwithstanding any relevant international or domestic law with which they may be incompatible or inconsistent (2) Accordingly (among other things)— (a) regulations under this Act are not to be regarded as unlawful on the grounds of any incompatibility or inconsistency with relevant international or domestic law (and section 6(1) of the Human Rights Act 1998 does not apply in relation to the making of regulations under this Act); (b) all rights, powers, liabilities, obligations, restrictions, remedies and procedures which are, in accordance with section 7A of the European Union (Withdrawal) Act 2018, to be recognised and available in domestic law, and enforced, allowed and followed accordingly, cease to be recognised and available in domestic law, or enforced, allowed and followed, so far and for as long as they are incompatible or inconsistent with any provision of this Act; (c) section 7C of that Act ceases to have effect so far and for as long as it would require any question as to the validity, meaning or effect of any relevant separation agreement law to be decided in a way which is incompatible or inconsistent with a provision of this Act; and (d) any other provision or rule of domestic law that is relevant international or domestic law ceases to have effect so far and for as long as it is incompatible or inconsistent with a provision of this Act (3) Regulations under this Act are to be treated for the purposes of the Human Rights Act 1998 as if they were within the definition of “primary legislation” in section 21(1) of that Act (4) No court or tribunal may entertain any proceedings for questioning the validity or lawfulness of regulations under this Act other than proceedings on a relevant claim or application (5) The period mentioned in each of the following provisions (standard time limits for seeking judicial review), or any corresponding successor provision, may not be extended under any circumstances in relation to a relevant claim or application— (a) rule 54.5(1)(b) of the Civil Procedure Rules in relation to England and Wales; (b) section 27A(1)(a) of the Court of Session Act 1988 in relation to Scotland; and (c) rule 4(1) of Order 53 of the Rules of the Court of Judicature (Northern Ireland) 1980 (S.R. (N.I.) 1980 No. 346) in relation to Northern Ireland (6) The jurisdiction and powers of a court or tribunal in relation to a relevant claim or application are subject to subsections (1) and (2) (7) In section 7A of the European Union (Withdrawal) Act 2018, in subsection (5)— (a) omit the “and” at the end of paragraph (e); and (b) at the end of the subsection insert “, and (g) the provisions of the Taxation (Post-transition Period) Act 2020 (provisions to which this section is subject).” (8) In this section— “relevant claim or application” means— (a) a claim for judicial review in relation to England and Wales, (b) an application to the supervisory jurisdiction of the Court of Session in relation to Scotland, or (c) an application for judicial review in relation to Northern Ireland, where the claim or application is for the purpose of questioning the validity or lawfulness of regulations under this Act; “relevant international or domestic law” includes— (a) any provision of the Northern Ireland Protocol; (b) any other provision of the EU withdrawal agreement; (c) any other EU law or international law; (d) any provision of the European Communities Act 1972; (e) any provision of the European Union (Withdrawal) Act 2018; (f) any retained EU law or relevant separation agreement law; and (g) any other legislation, convention or rule of international or domestic law whatsoever, including any order, judgment or decision of the European Court or of any other court or tribunal, but does not include the Convention rights within the meaning of the Human Rights Act 1998 (see section 1(1) of that Act); “relevant separation agreement law” has the meaning given by section 7C(3) of the European Union (Withdrawal) Act 2018 New clause 3—Treasury use of powers— (1) The Treasury must, within four working days of the day on which this Act is passed, publish a report setting out the timeframe within which it will use the powers to make regulations conferred by— (a) section 40A(2) of TCTA 2018; (b) section 40B(1) and (2) of TCTA 2018; (c) section 30A(4) of TCTA 2018; (d) section 30B(1) and (3) of TCTA 2018; (e) section 30C(5) of TCTA 2018; and (f) section 5(2) of this Act (2) The Treasury must publish an annual report setting out how it has made use of the powers referred to in subsection (1) (3) Each report under subsection (2) must include an assessment of— (a) what considerations the Treasury made when deciding to use its powers, and (b) the impact of the regulations on individuals and businesses throughout the UK, and specifically in Northern Ireland Amendment 1, in clause 1, page 2, line 43, at end insert— “(4A) The Treasury must publish guidance setting out its proposed approach to the reliefs, repayments and remissions referred to in subsection (3)(b) within four working days of this section coming into force.” Amendment 2, in clause 2, page 4, line 24, at end insert— “(5) The Treasury must publish guidance setting out its proposed approach to the reliefs, repayments and remissions referred to in subsection (4)(a) within four working days of this section coming into force.”
ParlaMint-GB_2020-12-15-commons.u299	The clauses before us are directly related to what was originally in the United Kingdom Internal Market Bill, and they were there for a very good reason. They were there because it is absolutely essential that we maintain our sovereignty, and the decisions must be taken by Parliament, and should not be taken by the House of Lords, whose Members are unelected. We are the House of Commons, and that part of the House of Commons which is elected has a Government who were elected in December 2019, almost exactly one year ago. In that general election, it was made quite clear that the decision before the British people was effectively to be decided in line with what was decided in the referendum. There are therefore two things joining together, in conjunction with one another: the referendum in 2016, followed by a whole series of enactments of Parliament. That includes the decision on the notification of withdrawal, which was accepted by the Labour party and was voted through in the House of Commons by 499 to around 120. It is not as if anybody could say that the supremacy of Parliament was not made manifest in the light of the referendum There was then a series of other enactments, and we eventually ended up with a confirmation of Acts of Parliament, including the European Union (Withdrawal Agreement) Act 2020, which was passed after the general election. Section 38 of that Act made it abundantly clear that we had the right to insist—as a matter of constitutional principle and through the enactment of an Act of Parliament—that the United Kingdom was sovereign, and, furthermore, that we would be allowed to override the withdrawal agreement. That was contained in section 38(2)(b), which specifically refers to section 7A and in turn therefore directly relates, through the use of the word “notwithstanding”, to the overriding direct effect. That is a very important point—a point that is conveniently overlooked by some people, who continually assert that somehow or other the Government have been out of order, breaking international law or breaking constitutional principles. But they never come forward with any arguments; as I said in a recent speech in the House regarding the attitude of the House of Lords, they were basically strong on assertion and empty in argument.
ParlaMint-GB_2020-12-15-commons.u300	Does my hon. Friend agree that those of us who could only vote for the withdrawal legislation because it contained clause 38 understood fully that it was a conditional agreement to the withdrawal agreement, because the EU always said that nothing is agreed until everything is agreed, and we wished to see the full package before deciding whether to allow it to be untrammelled?
ParlaMint-GB_2020-12-15-commons.u301	Yes, indeed. I sometimes find that Lewis Carroll has some very useful ways of putting things. There was the famous exchange between Alice and Humpty Dumpty, in which Humpty Dumpty says: “Words mean what you choose them to mean. The question is who is to be master, that is all.” Words can be used in all kinds of different ways to try to justify propositions that are unsustainable I say with respect, but none the less very firmly, that in this particular case it is absolutely clear that when the decision has been taken by the British people—the voters—in the referendum and has then been endorsed by an Act of Parliament and a whole series of other Acts of Parliament, including section 38, it really is not down to the unelected House of Lords to resist it on the scale that they have, and to claim that they can override the House of Commons. We have just had a whole series of agreements and disagreements going backwards and forwards on the UKIM Bill alone As Lord Bingham made absolutely and abundantly clear in chapter 12 of his magisterial book “The Rule of Law”, it is for Parliament to make law and pass Acts of Parliament; it is not for the judges to intervene, to seek to make law and to impugn the sovereignty of Parliament. Anyone who wants to get the full flavour of it should read chapter 12 of “The Rule of Law”, because it is the most explicit and clear statement that one could possibly imagine.
ParlaMint-GB_2020-12-15-commons.u302	If section 38 of the European Union (Withdrawal Agreement) Act 2020 has such overarching reach, why are new clauses 1 and 2 necessary in this Bill?
ParlaMint-GB_2020-12-15-commons.u303	Because what section 38 does is reaffirm the capacity of Parliament to be able to make such provisions in other enactments should it be necessary to do so. Because of the complexity of the United Kingdom Internal Market Bill and the issues it raises—for example, as I have said in a previous speech this afternoon, with respect to the Northern Ireland protocol itself—there remain a number of matters that are still subject not only to the negotiation over in Brussels going on right now, but to the operation of the internal market of this country. I support that Bill, but I still believe it was a mistake to withdraw the “notwithstanding” clauses, because I think we are going to find that we will need them and we may yet need to reintroduce them on a future occasion. However, it will be section 38, which is explicit with regard to the withdrawal agreement, that will give us the authority and the statutory basis for doing that, and the same applies to the provisions I am referring to here. With regard to this Bill, we had expected that the “notwithstanding” clauses would be included in it and they were not, so I have taken the opportunity—in, one might say, my usual manner—to ensure that we have an opportunity to debate this issue today I now turn to the reasons why I am so clear in what I have said about state sovereignty in the context of international law. The United Kingdom as a state retains its sovereign right, and it was always capable of doing this, to withdraw from the EU. The EU is an international organisation; it is not a sovereign state. On the basis of state sovereignty, it would actually be contrary to the legal position under international law that the UK would require EU consent or agreement to leave the EU, but we do have article 50 and we did implement that in the European Union (Notification of Withdrawal) Act 2017 State sovereignty is paramount to international law. As has been said: “If States were not sovereign, no international law would be possible” It is quite an interesting idea. International law would be impossible if states were not sovereign, because they combine together to create the circumstances in which it applies. Each state has internal supremacy over how governmental functions are run and is shielded from external interference without consent. The UK as a sovereign state has a right to withdraw from an international organisation, and this right is recognised by the EU treaties themselves. This is evident from the words of article 50: “Any Member State may decide to withdraw from the Union in accordance with its own constitutional requirements.” It could not be clearer from what I have said and from what everybody knows, as they have been through this passage or on this journey, that we have been through enactment after enactment. Nobody could possibly say that we have not done it lawfully. It has been done completely in the sight of the world, and I am astonished that anyone would even consider that we had not done it in the proper manner—we have done so, lawfully and in accordance not only with our constitutional law but with international law. In short, the UK’s right to withdraw from the EU is approved and agreed by international law, and only limited by UK constitutional law and thus by our own discretion, which we have exercised Following the Brexit referendum, the United Kingdom exercised its sovereign right to leave the EU and, as far as I am concerned, I believe this cannot be disputed. It is quite clear that we have done what was required under our own constitutional requirements and also, in my judgment, with regard to the question of international law itself. That was confirmed, for example, by the German federal constitutional court in the Maastricht treaty constitutionality case—I am now speaking about the Germans’ view of this, but it is interesting to observe—in which it said: “Because the German citizen entitled to vote exercises his right to participate in conferring democratic legitimacy on the institutions and bodies entrusted with the exercise of sovereign authority principally through the election of the German Bundestag,”— this is the same point I was making about our voters being represented by our Members of Parliament who passed the enactments in question— “that parliament must also decide what is to be done about Germany’s membership of the European Union, its continuance and development” In other words, the principle is a common one between us and the German constitutional court That is of great importance in our understanding the context in which we must have the right to legislate ourselves in accordance with what our voters expect of us. We are entitled to do that in relation to the UKIM Bill or the Taxation (Post-transition Period) Bill, and we are entitled also to have a “notwithstanding” clause if we so decide. It is not for unelected persons—whether they are distinguished or otherwise, and whether they are numerous in the House of Lords or otherwise—to interfere with that The UK Parliament, being the supreme body in the British constitution, has the right to enact legislation inconsistent with the withdrawal agreement—I have already dealt with section 38—thereby explicitly reversing the direct effect option under article 4 of the withdrawal agreement. That is crucial, because article 4 says that, but for the fact that we are entitled to do that, it would have direct effect. That position has been set out on the UKIM Bill, which was published in September, and it was specifically stated that we would ensure that we had a “notwithstanding” clause. That has been unwisely removed, but we may come back to that on a future occasion The next question is, what is the position regarding the EU’s own attitude towards international law? I am afraid to say that it is guilty of recurring double standards. Article 3(5) of the treaty on European Union states: “In its relations with the wider world, the Union shall…contribute to peace, security…and the protection of human rights…as well as to the strict observance and the development of international law, including respect for the principles of the United Nations Charter.” But in the Kadi case, it was held that EU law is an autonomous legal order, meaning that in order for an international agreement to form part of EU law, it must not call into question the constitutional structure and values on which the EU is founded In the second Kadi case, the European Court of Justice, confirming its previous findings in the first case, ruled that the EU Courts “must…ensure the review, in principle the full review, of the lawfulness of all Union acts in the light of the fundamental rights forming an integral part of the European Union legal order, including review of such measures as are designed to give effect to resolutions adopted by the Security Council under Chapter VII of the Charter of the United Nations.” It is worth pointing out that the Security Council resolutions in question were adopted under chapter VII, which meant that those resolutions were adopted for the purposes of maintaining international peace and security and had to be carried out by members of the United Nations directly. Article 103 of the charter states: “In the event of a conflict between the obligations of the Members of the United Nations under the present Charter and their obligations under any other international agreement, their obligations under the present Charter shall prevail.” It is clear that our capacity as a sovereign nation is endorsed by the United Nations charter as well What is the position regarding the necessity of these “notwithstanding” clauses in principle? I have already explained the general power to override treaties, particularly by reference to the European Union (Withdrawal Agreement) Act 2020. In the Miller case, a majority in the Supreme Court said that Parliament, in the exercise of its sovereignty, is free to legislate in any way it sees fit, including contrary to the UK’s international obligations, thus “the sovereign power of the Queen in Parliament extends to breaking treaties” That was confirmed in a series of other cases, such as in Salomon, in EN (Serbia) and in the Attorney-General of Ontario v. Attorney-General of Canada. The Supreme Court has unambiguously stated that this power is a corollary of parliamentary sovereignty. I have already referred to what Lord Bingham said in chapter 12 of “The Rule of Law”, so I do not need to repeat that.
ParlaMint-GB_2020-12-15-commons.u304	My hon. Friend said a few moments ago that Parliament has a general power to override treaties. How would that work in the case of the free trade agreements that we have negotiated with other nations? Can we simply override those treaties at will if we do not like the findings of an investor-state dispute service?
ParlaMint-GB_2020-12-15-commons.u305	Interestingly, I made some reference to the principles that are under discussion in the current negotiations. Of course, we do not know the outcome of those negotiations as we speak—as I said in the previous debate, I wish them well—but it has to be made clear that, certainly as far as I and those of my friends who agree with me are concerned, one of the most crucial questions is that of state aid, because that issue is right at the heart of the discussions and negotiations this week. I asked the Secretary of State for Business, Energy and Industrial Strategy to assure the House that nothing in any treaty text or subsequent Act of Parliament will prevent the UK from having its own sovereign state aid rules, including on energy, so that we are not subjugated to EU state aid rules, nor to the European Court, given that the EU intends, as it has stated over the past week or two—in very bad faith, in my opinion—to impose and enforce its rules against us. Ultimately, of course, that would be done by a majority vote in the Council of Ministers, behind closed doors, without our even being at the table after 31 December. The fact is that we have to assert our sovereignty in the negotiations so that any treaty that emerges from them—if one does—must comply with the assertion of the sovereignty of this House, this country and this Parliament, and must at the same time apply whether in respect of direct or indirect effect.
ParlaMint-GB_2020-12-15-commons.u306	Is it not also the case that the agreement with the European Union is muddled and contradictory? The EU has always said that it understands that the UK is going to be sovereign, so if this House simply asserts our sovereignty, as it can do, that is, in a way, our fair interpretation of the agreement.
ParlaMint-GB_2020-12-15-commons.u307	Yes, absolutely. Sovereignty is also a question of fact. I do not want to get into the intricacies of 15th century history, but there was a chap called Henry VII who made it abundantly clear that as far as he was concerned he won the battle of Bosworth and that was it. I do not think we need to pursue that one too much, because sovereignty is quite a simple thing when it comes down to it: it is called political will and legal arguments of the kind I am addressing.
ParlaMint-GB_2020-12-15-commons.u308	I am interested in my hon. Friend’s point about sovereignty over free trade agreements. In 2009, an American firm called Cargill was awarded around $90 million because Mexico had broken a free trade agreement with the United States by, in effect, banning soft drinks that were made with high-fructose corn syrup, putting Mexican producers at an advantage. Mexico acted unilaterally, with sovereignty; is my hon. Friend saying that Mexico was allowed to do that? That is not what the dispute-settlement service determined.
ParlaMint-GB_2020-12-15-commons.u309	I cannot speak for that dispute-settlement service and nor can I speak for the Joint Committee that is currently considering some of these matters. We do not really know exactly what is being decided in that Joint Committee, which is why I was concerned earlier to point out that I have asked the Chancellor of the Duchy of Lancaster to appear before my European Scrutiny Committee, of which I have the honour to be Chairman and on which I have served for 35 years, so I have a little experience of how it operates. Under our Standing Orders, it is our task—our duty—irrespective of party politics, to examine matters of legal and political importance and report to the House, and we are doing that. Of course, we need evidence, and we need to have people to appear before us and give evidence, and sad to say, despite the fact that I have written four letters to the Chancellor of the Duchy of Lancaster, he has declined to appear in front of the Committee, although he seems to be happy to see the House of Lords equivalent Committee and also the Committee chaired by the right hon. Member for Leeds Central (Hilary Benn).
ParlaMint-GB_2020-12-15-commons.u310	I just want to clarify one matter. Perhaps the hon. Gentleman can do that. When it comes to sovereignty and the free trade agreements that he and others have referred to, can he give me an educated guess on where Northern Ireland stands with sovereignty? Do we have the same freedom and the same rule of law across the United Kingdom of Great Britain and Northern Ireland, or will Northern Ireland be treated differently?
ParlaMint-GB_2020-12-15-commons.u311	Provided the treaty itself, and therefore the Act of Parliament that follows from it, maintain the principles I set out in my question to the Secretary of State for Business, Energy and Industrial Strategy yesterday, there is no question as to whether we will be entitled to exercise our sovereignty and to displace European Court jurisdiction and the EU laws, for example—there are many others—on state aid. We will be entitled to do so, but it is a matter of constitutional law and also, as I have explained, international law. I am afraid that there has been a great deal of assertion that we are so-called potentially in breach of international law, but international law recognises the fact that a country can exercise its sovereign rights to defend its economic interests from a national point of view. In fact, Helmut Schmidt did precisely that in, I think, 1998 over the question of the deutschmark and the dollar. There are many examples, and we have not got time to go into them all today I will turn to some of the precedents just to illustrate the fact that it is not such a novel idea somehow or other to use a “notwithstanding” clause or formula, and that applies to all parties, whether that is the Labour party, the coalition, where the Liberal Democrats joined in and voted with us on these matters, or the Conservative party. For example, the Income and Corporation Taxes Act 1988 provides that the parts that diverge from treaty obligations—the language of the section was completely unambiguous—were “notwithstanding anything contrary” to those arrangements set out in the Act. The section was enacted to retaliate against the introduction of unitary tax systems adopted by certain states in the US, most notably in California. I think my hon. Friend the Member for Thirsk and Malton (Kevin Hollinrake) may know about that What I am saying is that such provisions are not exactly unusual. Indeed, in the Finance Act 2013, which was under the coalition, the Liberal Democrats went along with allowing Parliament to effectively write a blank cheque to interfere with international treaties—approximately 130 of them, in fact. That provision is still in force. No one questioned the Chancellor’s right to introduce any such legislation or, indeed, the lawfulness of the work of Her Majesty’s Revenue and Customs, which still relies on it in combating questions relating to such arrangements Then there are other precedents. I shall stick to Finance Acts at this juncture as that is what we are dealing with in the context of this particular Bill, which is, of course, a finance Bill. Section 52 of the Finance (No. 2) Act 1945 overrode aspects of the Ireland-UK tax treaty of 1926. I hope I may be allowed a slight smile here, as I look across the Irish sea and consider the position with regard to the Irish Government in relation to the “notwithstanding” clauses, because we actually did this in 1926. The Act was used as an example in a case involving Collco in which the court said that if the statute is unambiguous, its provisions must be followed even if they are contrary to international law. It could not be clearer. The Finance Act 1955 again overrode the Ireland-UK tax treaty. In the Inland Revenue Commissioners v. Collco Dealings, Viscount Simonds said, “The company has no rights under any agreement. Its rights arise from the Act of Parliament, which confirmed the agreement and give it the force of law.” Section 59 of the Finance Act 2008 excluded UK residents from benefiting from provisions in respect of profits from the trade etc. Then there is the coalition arrangement under the Taxation (International and Other Provisions) Act 2010 where, again, the position was made entirely clear in accordance with the precedents Indeed, it is not just the UK, or even a party in the UK, that has been doing this over a period of time in its economic and national interests. An example from 2020 is the European Central Bank’s bond-buying scheme. In May 2020, the German constitutional court sought to override EU law and the Court of Justice, suggesting that the ECB’s public sector purchase programme was unconstitutional. Then there are the bail-outs. Every one of the bail-outs from 2010 to 2015 could justifiably be described as in breach of article 125 of the Treaty on the Functioning of the European Union. I will not read out the details, but I shall give some examples: the first Greek bail-out in 2010; the Irish bail-out in 2010; the Portuguese bail-out, the second Greek bail-out; the Spanish bail-out; the Cypriot bail-out; and the third Greek bail-out in 2015. There are so many examples—whether in the UK, or in relation to other member states, or, indeed, in relation to the EU itself—that have demonstrated that, when it comes to the question of sovereignty and the ability to override treaties, this is done quite often as a matter of course. I am not saying that it is done generally. I am not saying that it happens every week or every day. What I am saying, however, is that it happens and that it happens for good reasons which are directly related to the arguments on sovereignty which I gave at the beginning, and it is not for the unelected House of Lords to tell us. That is why, in this Bill, they would not have been able to do so because of the issue of financial privilege I am bringing forward these amendments. I shall decide as we proceed whether I will press them to a vote. I will leave it at that for the moment, because I am more than fascinated to hear the usual Europhile utterings of the right hon. Member for Wolverhampton South East (Mr McFadden) who is about to speak.
