ParlaMint-GB_2020-03-03-lords.u1	To ask Her Majesty’s Government what assessment they have made of the costs of clinical negligence.
ParlaMint-GB_2020-03-03-lords.u153	My Lords, I rise in support of Amendments 3 and 21 and to provide a brace of bishops. I want to observe the seriousness and the quality of this debate as we as a House navigate the support of marriage as an institution and of couples in keeping their vows while recognising that marriages break down and trying to provide adequately for those circumstances. If the noble Baroness, Lady Tyler, is right that support for the relationship support services sometimes depends on the whim of a Minister or Prime Minister, one might hope that the present occupant of 10 Downing Street would take a particular interest in these matters On average, the Church of England conducts about 1,000 weddings a week. We have experience of conducting, preparing people for and supporting them in marriages. Quite often, couples that I have prepared say that they want to get married in church because they know that they are standing and making their vows in a solemn and serious place that has significance in the community and before God. They want the support of the community gathered around them. In the modern marriage service, we say, “Will you support them in what they are doing?” The congregation comes back with, “We will”. The role of gathering around a couple to support them in keeping what we know to be quite difficult things to keep is a very significant part of the service. Marriage is a gift of God in creation. A marriage in civil ceremony is, therefore, as big a deal. That means that we need to gather around these couples too and support them in upholding their vows However, marriages break down. That is costly in the way that the noble Lord, Lord Browne, itemised; there is a financial cost to society. It is also emotionally costly to the individuals in the couples. This is not done lightly: there is a real cost to this, as well as a financial cost to the family concerned. It needs good support to wrap around it. Tolstoy observed that all happy families are alike; each unhappy family is unhappy in is own way. That is a good reason for saying that the support of marriages is complex and that we need to put in relationship counselling provision early on to support that Both amendments seem valuable to me for the support that they give individuals but also because they make a point in a Bill that, as my right reverend friend the Bishop of Portsmouth observed at Second Reading, might better be focused on kinder divorce rather than easier divorce. Through these amendments, we would be making a statement about the seriousness and importance of marriage, and the support that needs to be wrapped around it, both at an earlier stage and, by noting the availability of resources, at this last stage before the matter is finalised.
ParlaMint-GB_2020-03-03-lords.u154	My Lords, I am fully in support of having strong support services for couples but, by the time they decide to divorce, I would suggest that that stage is passed and it is already too late for conciliation, as the noble Baroness, Lady Meacher, has pointed out I totally support Amendment 21 and the comments of my noble friend Lady Tyler. It is just the question of timing that I dispute. Professor Liz Trinder points out that practical help and advice would be of value, and financial help for these services would be most welcome, especially on benefits, housing and child support. In the vast majority of cases, mediation would not only be too late, it could be harmful. The Finding Fault? study found that more than a third of behaviour divorces included allegations of domestic abuse, some of an extremely serious nature. Why would you give the perpetrator a golden opportunity to browbeat—or worse—the victim by suggesting that the marriage may not be over, and present the spectre of having to return to the site of the abuse We on these Benches will not support the amendments other than Amendment 21, well intentioned though we believe they are.
ParlaMint-GB_2020-03-03-lords.u155	My Lords, I rise to speak in support of Amendment 21 tabled by the noble Lord, Lord Farmer, and the noble and learned Lord, Lord Mackay of Clashfern The Bill’s family impact test issued by the Ministry of Justice stresses multiple times that a central policy intention behind the legislation is to promote opportunities for reconciliation where that is possible. I admire the stated aim, but this amendment reflects the view that the Bill as it currently stands lacks ambition in this respect. Without funding for essential marriage support services, this policy goal will mean little to struggling families across the country. Families who desperately want to stay together, but are at a loss as to how to move forward, need support. It is one thing to provide an opportunity for reconciliation, but another thing entirely to provide a means of reconciliation According to Relate, the UK’s largest provider of relationship support: “Evidence suggests that low income families are likely to experience increased strains on their relationships because of financial pressures. Their financial vulnerability also means they are less able to afford relationship support.” This may well be having a very real bearing on family breakdown statistics. By the age of five, almost half of children in low-income households have seen their families break apart, compared to only 16% of children in higher-income households. Funding for counselling services could make all the difference to families who struggle to get by financially—families like Laura’s, on a household income of £16,000 per year, who told Relate: “I want my husband and I to stay together because I know we truly love each other, as well as for the sake of the family, but desperate situations push people towards desperate measures, such as contemplating divorce. I am trying to stay strong for my family by blocking things out emotionally, which I know isn’t healthy but I have nowhere to turn. What we need is to speak to somebody objective who can help us to find a way forward. I agree there should be more funding for relationship support—healthy relationships create healthy families which in turn creates healthy citizens.” Unfortunately, loving someone is not always enough and there may come a time where we all need more support and guidance. In a context where the Government are moving to reduce the time for reconciliation by promoting divorce within six months, it is vital that we invest more in marriage support and focus some of that money specifically on the shortened divorce process. This amendment rises to this challenge and is particularly important because, unbelievably, answers to Parliamentary Questions reveal that the Government are not allocating any funds for marriage support through Section 22. This is extraordinary, especially when we consider previous government undertakings in this regard. On 1 February 2017, for example, the Minister in the other place stated that “the Department intends to continue to work very hard to ensure that marriage gets the support it needs to continue being a strong bedrock for the families and the children for whom we want to secure the best possible outcomes in the future.”—[Official Report, Commons, 21/02/17; col. 389WH.] It also makes no sense. The Relationships Foundation’s Cost of Family Failure Index in 2018 estimated the annual cost to the Government of family or relationship breakdown to stand at £51 billion—my colleague and noble friend Lord Browne has already referred to this figure—which is up from £37 billion 10 years ago. The scale of this crisis demonstrates that proper investment in marriage support services is long overdue. The move would also be in line with public opinion. ComRes polling from 2017 showed that 76% of British adults believe that extra money should be spent strengthening families In this context, where the Government are proposing to reduce the time for divorce and thus reduce the opportunity for reconciliation within divorce, it is especially vital that they now adopt a new approach to marriage support. Providing funding to parents in conflict, who do not have to be married, is no substitute for marriage support, which should not be limited to those who have children. We need a significant, serious focus on marriage support When difficulties arise in relationships, giving up often seems easier than going on. This Bill risks making giving up easier, while doing little to meaningfully support those who want to go on. It communicates the message that marriage breakdown is often a sad inevitability and that, if you get to that point, the law will make it easier for you to “get the relationship over with”. I suggest to noble Lords that we can do better than that. Let us be a country that believes in fighting to rescue relationships, so that when they hit the rocks our response is not simply to mitigate the fallout, but to offer a lifeline of support to families in the form of counselling. Amendment 21, and indeed Amendment 3, will help us rise to this challenge. I very much hope that the Government will support this.
ParlaMint-GB_2020-03-03-lords.u156	My Lord, I support Amendment 21 and Amendment 3. Amendment 21 speaks about funding for marriage support services, and says: “In subsection (1)(a), at the end insert ‘, both before and during a marriage’.” The reality is that many young people are not really prepared for marriage. Many go into it with great expectations: that everything will be rosy, everything is going to be beautiful, and that they are going to have a great life. They do not realise that the reality of life for everyone can be facing difficulties and hardships—not only financially, but in family circumstances There are many reasons for family breakdown and, certainly, each one is a tragedy. There used to be an old statement in our home: “a family that prays together, stays together”. It is also true that a family that talks together can stay together. The tragedy today is that families no longer talk together the way that they once did, because they are talking into an iPhone or an iPad. I was raised on a farm, and when I was a child there was a large family table we sat around and talked together. The reality is that, in the homes built today, you could not do this because the kitchen or living room is so small the family could not get around the same table. So where do they go? They go to their rooms. They used to sit before a computer but it is not like that any more; they just sit with an iPad. I sat in a home recently, where a family was gathered for a family bereavement. There was a young person of 17 years of age there. We were having conversations about the grandmother at the home, the background of the family and their upbringing and the day that young person’s mother got married. That young person heard nothing. We sat for 35 minutes. He did not speak, and neither was he listening because he was completely absorbed in his phone The Government should do more to encourage families to talk together. Then, I believe, many of them will stay together. The tragedy is, even within relationships, husbands and wives no longer converse as they used to. If you have a problem, the best way is to share it because a problem shared is a problem halved. Therefore, there should be more preparation for young people before marriage, and during marriage they should receive more encouragement. Certainly, when it comes to the possibility of a family breakdown, society should encourage the family unit to stay together—not to make them unhappy, but to build relationships again.
ParlaMint-GB_2020-03-03-lords.u157	My Lords, I am so grateful to all noble Lords who spoke about this group. We do not support families by lecturing them, hectoring them or even creating obstacles to divorce. We support families with fellowship, with community, with solidarity and with social infrastructure. As I have said, I would like people to have access to lawyers—we wicked lawyers, but when you need us we are not so wicked—in time times of trouble, but also to counselling and relationship support long before there is trouble and, indeed, all through their lives. I really have taken on board the points that were made by two noble Baronesses at least about timing, because this support should be available very early in life and, as noble Lords opposite have said, perhaps even before people entertain the idea of marriage. That was the reason for supporting the noble and right reverend Lord, Lord Harries, in Amendment 3, although I take the points about timing and do not want to delay noble Lords further on this I hope the Minister will take the opportunity, in responding to this group, to set out what the Government propose more generally by way of this kind of provision for counselling and relationship support, because it seems, to me at least, all-too scant at the moment.
ParlaMint-GB_2020-03-03-lords.u158	My Lords, I will begin with Amendment 3, moved by the noble and right reverend Lord, Lord Harries of Pentregarth. I am grateful to the noble and right reverend Lord, not only for his thoughtful contribution to the debate and the scrutiny of the Bill but for meeting me to discuss his proposals. The Government share the sentiment underlying this amendment, and the observations of a number of noble Lords that couples considering divorce should have available to them information about the services in question, and that where reconciliation is still possible, the legal process should not dim that prospect. On the second point, the Bill introduces for the first time a minimum timeframe of 20 weeks from the application to when the court can be asked to make the conditional order of divorce. The Bill also retains the two-stage procedure for obtaining a divorce under the distinctive procedure of English law, so that each step on the way to divorce requires an intentional and, indeed, conscious decision to end the marriage The Government’s view is that best prospect of saving a marriage is when difficulties first arise, not much later when divorce proceedings have begun. In the University of Newcastle evaluation of pilots to test the information-meeting provision that was central to the no-fault provisions in the now-repealed Part II of the Family Law Act 1996, the report noted: “If the objective of providing information is to facilitate marriage saving, the evidence suggests that it will be more effective if it is provided while spouses are still together and before they make the decision to live apart.” The Government share the desire to encourage more couples to resolve any disagreements about children or financial arrangements through mediation, avoiding, wherever possible, the need to seek a court adjudication. For these reasons, the Government do not support this amendment but believe that its laudable ends can be achieved by other means.
ParlaMint-GB_2020-03-03-lords.u159	I thank all noble Lords who have spoken to these amendments. I was slightly surprised that my noble friend Lady Meacher was so hostile to my amendment, as it would not require the divorcing couple to do anything and would not in itself delay the process of divorce. It would mean simply that they receive information, treating them as mature human beings who are aware of the information available As the Minister said, I had a very useful meeting with him, in which he outlined some ways of making people more aware of relationship support and mediation services through the internet. We talked about the possibility of there being a question on the original application form asking the applicant whether they are aware of these services. Perhaps when he comes back on Report he could spell out in more detail what he has said to the Committee and to me. I realise that this is not a matter for legislation, but perhaps he could put on the record the kind of thing which might appear on either the original application or online. With that in mind, I beg leave to withdraw my amendment.
ParlaMint-GB_2020-03-03-lords.u160	That the draft Regulations laid before the House on 30 January be approved.
ParlaMint-GB_2020-03-03-lords.u161	My Lords, I shall also speak to the Tax Credits, Child Benefit and Guardian’s Allowance Up-rating Regulations 2020 The Social Security (Contributions) (Rates, Limits and Thresholds Amendments and National Insurance Funds Payments) Regulations set the national insurance contributions rates, limits and thresholds for the 2020-21 tax year. They will allow the Government to deliver on their manifesto commitment to cut national insurance contributions for 31 million hard-working people across the United Kingdom. National insurance contributions, or NICs, are social security contributions. Payment of NICs determines eligibility for the state pension and other contributory benefits. NIC receipts go towards funding the NHS and these same contributory benefits I will first outline the changes to the class 1 primary threshold and class 4 lower profits limit. The primary threshold and lower profits limit indicate the points at which employees and the self-employed start paying class 1 and class 4 NICs, respectively. These thresholds will rise from £8,632 to £9,500 per year. These changes, promised in our manifesto, underline the Government’s commitment to ensure that work pays, putting more money into the pockets of hard-working people. They will benefit around 31 million taxpayers, with a typical employee £104 a year better off compared to 2019-20. Increases to the primary threshold and lower profits limit do not impact on state pension eligibility. This is determined by the lower earnings limit for employees and payment of class 2 NICs for the self-employed The lower earnings limit will rise in line with inflation from £6,136 to £6,240 per year. The upper earnings limit, where employees start paying 2% NICs, is aligned with the higher-rate threshold. As announced at the 2018 Budget, it will be frozen and remain at £50,000 per year The self-employed pay both class 2 and class 4 NICs. The rate of class 2 NICs will rise in line with inflation from £3 a week to £3.05 a week. The small profits threshold is the point above which the self-employed must pay class 2 NICs. This will rise with inflation from £6,365 to £6,475 per year. For class 4 NICs, as already outlined, the lower profits limit will rise to £9,500. The upper profits limit is where the self-employed start paying 2% NICs. This is also aligned with the higher-rate threshold and will remain at £50,000 per year For employers, the secondary threshold determines where they start paying employer NICs. This will rise with inflation from £8,632 to £8,788 per year. The level at which employers of people aged under 21 and apprentices aged under 25 start to pay employer NICs will remain frozen at £50,000 per year. Finally, class 3 contributions allow people voluntarily to top up their national insurance record. The rate for class 3 will increase in line with inflation from £15 to £15.30 per week The regulations also make provision for a Treasury grant of up to 5% of forecasted annual benefit expenditure to be paid into the National Insurance Fund, if needed, during 2020-21. A similar provision will be made in respect of the Northern Ireland National Insurance Fund. I hope that this is a useful overview of the changes we are making to bring rates of support and contributions to the Exchequer in line with inflation. I commend to the House the draft regulations Moving on to the Tax Credits, Child Benefit and Guardian’s Allowance Up-rating Regulations, the Government are committed to delivering a welfare system that is fair for claimants and taxpayers while providing a strong safety net for those who need it most. These regulations will ensure that tax credits, child benefit and guardian’s allowance increase in line with the consumer prices index, which had inflation at 1.7% in the year to September 2019.
ParlaMint-GB_2020-03-03-lords.u162	My Lords, I wish to say a few words about child benefit. I will not repeat the general arguments about the four-year benefit freeze that I made in Grand Committee but simply want to underline the implications of that freeze for child benefit, particularly because the freeze about to end must be seen in the context of the treatment of child benefit since 2010 Child benefit had already been frozen between 2010-11 and 2013-14 and was then increased by only 1% for two years before being subjected to the freeze in working-age benefits. This means that, with the exception of two years when inflation was really low, its value has been reduced every year since 2010. The result is that not only has its real value been reduced by around 6% because of the four-year freeze but, according to the House of Commons Library briefing, it is now worth 17% less for the first child and 16.5% less for subsequent children than it would have been had it been uprated in line with the CPI since 2010. That means a loss of nearly £370 this year for a two-child family. The Resolution Foundation calculates that for second and subsequent children the benefit is now worth less than when it was fully introduced in 1979, is less than half as generous as it used to be compared to average earnings and, shockingly, is less generous than the post-war family allowance. For first children, it is close to an historic low. The Resolution Foundation concludes that “it is fair to say that child benefit is at its stingiest in forty years.” Thus, while we are of course all pleased that the freeze has come to an end, as required by law, simply uprating benefits in line with inflation is not good enough. The Minister said that an extra £800 million was going to be spent on this and tax credits. Is that £800 million simply due to inflation-proofing? If so, it is not extra at all but simply keeping things as they are. If austerity is genuinely coming to an end, the Government should make good at least some of the loss that child benefit has suffered during the past decade, as it is unfair that families with children should bear the brunt of austerity. Raising child benefit by more than inflation would be much more effective in helping low-income working families than a further rise in personal tax allowances It is not just the benefit that has been frozen but the thresholds for the high-income charge introduced in 2013, which are still frozen. I will spare noble Lords the principled and practical arguments against the introduction of the charge, but, having introduced it, is there not a responsibility on the Government to ensure that the thresholds keep pace with median earnings? Both the Resolution Foundation and the IFS have analysed the effects. According to the IFS, in the last financial year around 270,000 more families lost some or all of their child benefit than would have been the case had the threshold been price-indexed. The difference would be bigger still had it been earnings-indexed, which is arguably what it should be unless the Government want to hit families lower down the income distribution than originally intended Unless there is a change of policy, the IFS warns that by 2022 as many as a fifth of families will be affected. Moreover, if the higher-rate tax threshold continues to be indexed in line with inflation while the child benefit threshold remains frozen, it points out that “for the first time significant numbers of families without a higher-rate taxpayer will lose some Child Benefit”, possibly as many as 120,000 by 2022-23. Is this really what the Government want? Extrapolating further into the future, the Resolution Foundation points out that, because the income charge is applied to an individual’s income and universal credit is based on family income, there could come a point when some people are simultaneously receiving universal credit and being subjected to the high-income child benefit charge. As it observes: “This would be somewhat absurd, as well as creating marginal tax rates of near 100 per cent.” As the IFS points out, cutting benefits “by stealth” in this way “can do nothing for trust in government.” Can the Minister explain the justification for freezing the thresholds? As a matter of urgency, could he take a message back to the Treasury asking the Chancellor to stop the rot in the next Budget and increase the thresholds, preferably in line with earnings but at the very least in line with prices, and restore them to their position when introduced There was a time when the Conservative Party strongly supported child benefit, which of course replaced child tax allowances as well as family allowances. It acknowledged the important role it plays in recognising that children reduce taxable capacity at every income level, in strengthening work incentives, in providing families, particularly mothers, with a degree of financial security and in supporting the next generation regardless of the family they are born into. It hailed it as “simple and well understood”, although it is rather less simple now because of the high-income charge Some 75 years ago, during the final stage of the then Family Allowances Bill, Eleanor Rathbone told MPs: “In early days I used to describe meetings of employers and employed, landowners and rentiers sitting round a table competing for their share in the national income with a woman coming from behind and holding out her hand, saying, ‘I am the mother, the future citizens and workers depend on me; where is my share?’ This Bill gives the mother through her children her share, although it is only a very little share so far.”—[Official Report, Commons, 11/6/1945; cols. 1419-20.] Can the Minister assure us that the Government are committed to ensuring that children now receive their fair share through the child benefit scheme that replaced family allowances, or are we witnessing the gradual destruction of Eleanor Rathbone’s dream?
ParlaMint-GB_2020-03-03-lords.u163	My Lords, we are indebted to the noble Baroness, Lady Lister, for illuminating the underlying policy issues that underpin these statutory instruments. There is a real fear in my party—and I know in hers—that the changes that are taking place today embed, in effect, austerity for those on benefits and those on the lowest incomes. However, because we are looking at statutory instruments, I am going to make my comments extremely narrow. I recognise that for the annual rerating of NIC contributions and various other benefits, we are simply implementing a mechanism that has been through a normal parliamentary process. Frequently, this has been part of a Budget; it would certainly have been debated in both Houses, and MPs would have had an opportunity to express an opinion in the Commons if they wished to make changes. However, I am somewhat at a loss—and perhaps the Minister will help me—as to how any of that applies to the changes in PT and LPL It is not that I have a particular objection to the changes, but it appears that their basis lies in the Conservative manifesto, not in actions taken in the other place either in the form of a Budget—because the Budget is not due for another week—or in a finance Bill, which is where I would expect fundamental changes such as this, which affect most working people, to be embedded. It is hard to accept that changes are being made to national insurance contributions, which have a major impact on the Budget, but not within the context of the Budget. I am rather concerned that the Government might be returning to a pattern that we have seen in the past, when major policy change was introduced by statutory instrument rather than through primary legislation or being put into the Budget framework, where full debate and challenge could take place. It happened with universal credit, as I think everybody who is present in the House today will remember, and I am now concerned to see this appearing here within two of these statutory instruments. So that is where I would like the Minister to focus: to explain why a change which, as far as I can see, perfectly belongs to next week’s Budget and a finance Bill, is appearing in a statutory instrument, where, by definition, the debate is extremely limited and challenge is, frankly, near impossible.
ParlaMint-GB_2020-03-03-lords.u164	My Lords, I will take a similar self-denying ordinance to that of the noble Baroness, Lady Kramer, and speak relatively briefly. I would like simply to put on record my support for the excellent speech by my noble friend Lady Lister. I join with the noble Baroness, Lady Kramer, in failing to understand why this is not part of the Budget. Because it is not part of the Budget, it is lacking in process. In some senses, virtually all the changes that the Minister described are designed to introduce the CPI increases of 1.7%. Insomuch as that has previously been announced in budget processes, I cannot object, except on the wider basis that my noble friend Lady Lister outlined There is one particular increase, however—the increase in PT, which I am told is the “primary threshold”—which is not in line with inflation. Its excuse for being introduced is that it is in the Conservative manifesto. I have a copy of that manifesto and I have to admit that I could not find it. Fortunately, a member of the Treasury was able to advise me that it was on page 15—which was conveniently not numbered, but never mind. It says: “We not only want to freeze taxes, but to cut them too. We will raise the National Insurance threshold to £9,500 next year—representing a tax cut for 31 million workers.” I thought that a basic rule of introducing a change of policy would be that it would be properly costed. Just to make sure that this was not trivial, I did a few sums. The effect, as the Minister said, is to increase the threshold by £868; it would have increased a little anyway because of the 1.7%, but the policy impact is something like a real £720 increase. If you multiply that by the 12% rate and the 31 million people involved, you get a figure of, say, £2.7 billion. My concern is that such a sizable sum ought to have been properly set out and illustrated The Explanatory Memorandum says: “A Tax Information and Impact Note has not been prepared for this instrument as it gives effect to previously announced policy and it relates to routine changes to rates, limits and thresholds.” Well, it does not. This one is clearly a policy change, and clearly the cost is a few billion pounds. Will the Minister tell us how much it will cost? Why was it not set out in the Explanatory Memorandum? Surely it is improper to introduce a national insurance change that is a reduction in taxation without calculating its cost and putting that in the public domain.
ParlaMint-GB_2020-03-03-lords.u165	My Lords, I will try to deal with the queries raised by the noble Baronesses and the noble Lord. I will start with the question asked by the noble Baroness, Lady Lister, on the impact of the historic benefit freeze. We have to put all these events into some context. When the freeze was originally announced in 2010, we were putting the public finances back on track. For example, before 2010, welfare spending was rising at an unsustainable rate. Between 1997-98 and 2010-11, welfare spending rose by £84 billion in real terms—a 65% increase. The Government are committed to building a welfare system that ensures that work pays, that there is a strong safety net for people who need it, and that the system is fair for claimants and taxpayers. As I mentioned in my earlier comments, this is a substantial payment back into the system to support some of our most needy and vulnerable people. However, the Government are not able to provide a blank cheque for an unlimited uprating from the years of austerity that we have had to come through.
ParlaMint-GB_2020-03-03-lords.u166	I asked some specific questions, which I do not believe the noble Lord has answered. I will not get into a long debate about sustainability and so forth, although I addressed that in Grand Committee—there is no evidence at all that it was unsustainable. First, I asked about the extra £800 million to which the noble Lord referred. What is that? Is it simply raising in line with inflation? If so, that is not new money. I asked him what the justification was for continuing to freeze the high-income charge threshold, and whether the Government were still committed to child benefit.
ParlaMint-GB_2020-03-03-lords.u167	The answer to the first part of the noble Baroness’s question is that this is what it will cost; the figure I mentioned earlier in my comments, which I think was £800 million, is the cost. The second question was: what about the people at the top end? Again, I am proud to represent a Government who are focusing our attention on those at the very bottom end of income, so this is where we are at the moment. I cannot speak for the Budget—
ParlaMint-GB_2020-03-03-lords.u168	Can I just check the Minister? The area that I was concerned about, which is the increase in the PT, affects virtually every taxpayer and is not in any way concentrated at the bottom end of employment.
ParlaMint-GB_2020-03-03-lords.u169	I was dealing with questions asked by the noble Baroness, Lady Lister; if I understand correctly, she was concerned—
ParlaMint-GB_2020-03-03-lords.u170	I point out that if the Government were really concerned about those at the bottom end, they would put more money into child benefit rather than personal tax allowances. Personal tax allowances are no good at all to families at the bottom end, whereas child benefit is extremely helpful to them. If they were really concerned about people at the bottom end, as I argued in Grand Committee, they would be raising basic benefits by more than inflation this year to start making up for the freeze, which was much bigger than expected because inflation was higher than anticipated. I therefore ask the Minister not to say that the Government care most about people at the bottom end.
ParlaMint-GB_2020-03-03-lords.u171	With the greatest respect to the noble Baroness, the policy of our Government, progressively over the past 10 years, has been to get people into work. We are now seeing some of the highest levels of employment since the war, and in the last year we saw earnings start to outstrip inflation. That has taken a long time, but that is what we have done. We strongly believe that, if we are to help the most vulnerable people in society, the best way is through the dignity of employment and earnings, which is why we have focused on that area The noble Lord, Lord Tunnicliffe, asked about the primary threshold and lower profits limits. Again, this comes back to what I said to the noble Baroness, Lady Kramer, which is that, yes, this is a manifesto promise. We said on page 15, as the noble Lord quite rightly said, that we were going to do this; this is what this statutory instrument achieves today; it will be a tax cut for around 31 million people; and it is £104 a year, which, for people at the bottom end, is a meaningful improvement in their lives.
ParlaMint-GB_2020-03-03-lords.u172	Could the Minister explain why it is appropriate to do that through a statutory instrument, and to what extent that undermines the ability of Parliament to hold the Government accountable? I am sure that he has great respect for his Members in the other place, but they may well have had opinions on this issue. They may have had the opportunity to express them in the sense that the SI has gone through the other place, but I very much doubt that they have had the opportunity for any kind of detailed debate or challenge. In addition, they cannot possibly know what the consequences are, because it has to be in the context of a Budget, where, presumably, the loss of revenue is made up for in some other way or by borrowing, and those are major consequences. As the noble Lord, Lord Tunnicliffe, pointed out, the numbers are not de minimis but incredibly significant.
ParlaMint-GB_2020-03-03-lords.u173	I respectfully repeat what I said to the noble Baroness: we are trying to focus support at the bottom end of the income scale. To deal with the noble Baroness, Lady Kramer, since 2010 we have seen over 700,000 fewer children living in workless households and over 1 million fewer workless households overall. We believe that that is how you deal with poverty and improve dignity. The NIC regulations set the rates, limits and thresholds for the 2020-21 tax year. They allow for the collection of £120 billion of NICs to fund the state pension and contribute to NHS funding, and deliver on the Government’s promise to deliver a tax cut for 31 million working people. I commend the draft regulations to the House.
ParlaMint-GB_2020-03-03-lords.u174	I have another question. I asked specifically: are the Government still committed to child benefit? The Conservative Party used to be committed to it; are the Government still committed to it? The Minister gave me no answer, which implies that he is not.
ParlaMint-GB_2020-03-03-lords.u175	My Lords, I have absolutely no indication that we are not committed to child benefit.
ParlaMint-GB_2020-03-03-lords.u176	That the draft Regulations laid before the House on 30 January be approved.
ParlaMint-GB_2020-03-03-lords.u177	That the draft Regulations laid before the House on 16 January be approved Relevant document: 3rd Report from the Secondary Legislation Scrutiny Committee
ParlaMint-GB_2020-03-03-lords.u178	My Lords, I draw the House’s attention to the fact that the Secondary Legislation Scrutiny Committee described this instrument as an “instrument of interest” in its third report of 30 January This draft legislation will allow the Government to target the national insurance and employment allowance at those businesses that need it most. Employers pay class 1 national insurance contributions on their employees’ earnings above the secondary threshold, set at £8,632 this year. That is charged at 13.8% and contributes the largest business tax by revenue in the UK The employment allowance was introduced in 2014 to help businesses with employment costs and to encourage businesses to grow and hire more staff. It is claimed by more than 1 million employers to reduce their employer NIC bill by up to £3,000. Since its introduction, it has taken 590,000 businesses out of paying NIC altogether. I remind noble Lords that the employment rate is at an all-time high of 76.2%. Since 2010, youth unemployment has halved and 3.7 million more people are in employment. This is a nationwide phenomenon. In the past year, three-quarters of employment growth was outside London and the south-east At present, all businesses—from greengrocers to Goldman Sachs, butchers to Barclays and pubs to Primark—can receive a relief from the Government of up to £3,000 off their total employer NIC bill. Big businesses get the same benefit as small ones. However, for larger businesses, that £3,000 is a small amount relative to their total employment costs, and is therefore unlikely to encourage them to take on more staff. It is right to target the support at smaller businesses for which this £3,000 makes a difference to the cost of doing business. It is for this reason that the Government decided to restrict the employment allowance to smaller businesses in the 2018 Budget, which means that, from April 2020, only businesses with an employer NIC bill below £100,000 will be eligible for the employment allowance. More than 99% of micro-businesses with fewer than 10 employees and 93% of small businesses with fewer than 50 employees will remain eligible for the employment allowance. Around 80,000 employers will lose the employment allowance. This constitutes just 8% of businesses currently receiving it, all of which have a wage bill above £700,000 a year Targeting the employment allowance at smaller businesses means that it falls under EU de minimis state aid regulations, which relate to small amounts of aid that can be given without notifying the European Commission. Most businesses can receive up to €200,000 of de minimis state aid cumulatively in a three-year period. Under the de minimis regime, to claim the EA, businesses need to notify HMRC annually as part of the existing claims process and confirm that they can receive the employment allowance without exceeding their cap. After consulting widely, we removed the requirement to specify exactly how much state aid businesses receive, to make it easier for them to claim the reformed employment allowance. As the Prime Minister announced, we will develop our own separate and independent policy on subsidies when the transition period has ended. We will have a modern system for supporting British business in a way that fulfils British interests I hope that noble Lords will agree that while the employment allowance aids small businesses, giving large businesses with a wage bill of £700,000 or more £3,000 off their NIC bill is not good value for money. The Government have committed to go further with their support for small businesses. As the Government look to level up across the country, this reform will raise more than £1 billion over the course of this Parliament to fund vital public services and target support for small and medium-sized businesses I am grateful for the House’s consideration of these regulations and for any points that noble Lords may like to make.
ParlaMint-GB_2020-03-03-lords.u179	My Lords, I will be extremely brief. I am supportive of this change. It seems appropriate that the employment allowance is focused on the smallest businesses. I fully accept what the Minister says: that small businesses will be far more motivated to take on additional staff than any large business by this—in effect—grant On reading this, it seems that one of motivations is to make sure that the employment allowance is covered by only the de minimis regulations in the EU. Am I correct that it is the Government’s long-term policy focus to direct this aid towards small businesses, and that this is not just an accommodation to what they see as an EU framework—in other words, that it portends the future? Can the Minister give us any further assurance that any money saved will be redirected into the small business community?
ParlaMint-GB_2020-03-03-lords.u180	My Lords, the Explanatory Memorandum states: “The purpose of this reform is to target the Employment Allowance to support smaller businesses.” It directs us to Employment Allowance: Excluded Persons Regulations 2020, a document published in January this year, which repeats that statement: “This reform is designed to focus the Employment Allowance at the original intended beneficiaries: smaller businesses.” This is rubbish. You have businesses that can currently claim this £3,000, you have a very large group of businesses whose NI bill is less than £100,000—for which the rules will not change one iota as a result of this SI—and you have another group in the £100,000-plus category that will get nothing. It may be the Government’s intention to focus on smaller businesses, but this SI has no such effect. In fact, the sole impact of this SI is to save the Government money. I do not mind this, and the statutory instrument is perfectly reasonable. I just do not like the fact that false claims are made in this document. Unless the noble Lord is able to give me the assurance that the noble Baroness, Lady Kramer seeks, it seems improper to claim that taking money from one group while doing nothing about another somehow focuses more money on the group that you are not going to change.
ParlaMint-GB_2020-03-03-lords.u181	I thank noble Lords for their comments. I think I can answer the noble Baroness, Lady Kramer, and the noble Lord, Lord Tunnicliffe, together with regard to our commitment to supporting small businesses. It is very much our intention to do this. We have a manifesto commitment to increase the employment allowance. On the issue that he raised, I hope that by freeing up some of the money that is frankly not particularly benefiting larger business, we will have some flexibility to help those at the lower end. That is very much our policy, and I hope we will hear more about this in the Budget, which I of course cannot forestall I turn to the noble Lord’s technical comment about burdens, and certainly commend him for his forensic analysis of those numbers. I will write if I get this wrong but I genuinely think that we are trying to make claiming this a bit easier. We are removing the need to list de minimis state aid. Therefore, to fill this form in—I hope—needs only a few minutes, as his arithmetic would indicate. However, I will write to him formally if I have got the wrong end of the stick, because I am not as well informed as he is on that item These regulations make important changes by restricting eligibility for the employment allowance to businesses with an NIC below £100,000. They enable the Government to target support at small and medium-sized businesses which need it most. As I have mentioned, they will raise £1 billion over this Parliament to fund public services and to continue to support small businesses. I commend these draft regulations to the House.
