ParlaMint-GB_2020-10-13-commons.u1	What assessment he has made of the effect of the National Security Law on the people of Hong Kong.
ParlaMint-GB_2020-10-13-commons.u354	It is always a pleasure to follow my hon. Friend and neighbour the Member for Hyndburn (Sara Britcliffe) I welcome the tiered system because it increases the simplicity of the messaging. That is very welcome, because it is what our constituents need more than anything else at the minute. The vast majority want to comply; they want to do the right thing. But for the past couple of weeks—I speak as the Member for Burnley, where we have had a higher case rate than most places in the country—the complexity of the messaging has been difficult. The next thing that they want is light at the end of the tunnel. They want to know that there is something to look forward to. Will Ministers look at the four-week review period to see if there is a way to bring that down? The worry is that at four weeks, if we are placed into extra restrictions—into tier 3—at some point next month, we are looking at Christmas before there is even a review of when those measures could be lifted. As many Members have said, where this virus spreads, it spreads in the one thing we hold very close to each other—our relationships. We live together, we grieve together, we celebrate together, and we compete together. I get the sense from some that they think that the only option is to lock down completely. I do not think that is the right thing to do. We absolutely need to limit interactions, but it needs to be targeted in the right place, at the right time, for the right length of time. Sacrifice is important and it is sacrifice that will get us through this, but it cannot be without hope That brings me to test and trace, which is the best tool we have to make sure that our sacrifices are time-limited. We have an enormous testing capacity, and Ministers should be congratulated on that. We have done more than many other countries. But the capacity in itself does not protect us; what protects us is how we use it. I ask Ministers, either today or in the future, to update us on the rapid testing that will be delivered in five minutes or 20 minutes, because that is how we will get those human relationships back. That is how we will get football fans back into stadiums, children into schools when there is an outbreak, and all the other things that we want to do. If Ministers could do that, the hope that I spoke of that gives people a light at the end of the tunnel will come back.
ParlaMint-GB_2020-10-13-commons.u355	I pay tribute to the Minister and his colleagues for all the hard work they are doing at this time I fully understand, as the Member for West Dorset, a very rural seat, that many colleagues in the House represent constituencies that have far more difficult situations with coronavirus than I and my neighbours in Dorset. I know full well that Ministers in the Cabinet will be treading the difficult line between public health and safety and the economy. However, in my constituency, I have 100,000 residents, 400 geographical square miles, 132 parishes, 117 pubs, and two people who are poorly in hospital with coronavirus symptoms. We are faced this evening with a motion that will in effect close our village pubs at 10 o’clock. That is deeply, deeply damaging to our community. It is putting hundreds and hundreds of jobs at risk. I have to ask the Minister and his colleagues to consider that this one-size-fits-all approach to the 10 pm curfew really is not right for rural parts of Britain such as mine, where it will be deeply damaging to the economy. Can I just ask the Minister and his colleagues to take this away? I shall have real difficulty supporting the Government on that this evening—real difficulty—and I very much ask him to see what can be done.
ParlaMint-GB_2020-10-13-commons.u356	I would like to talk briefly about the need for a plan, the use of language and the use of science. I am delighted that the Minister is here, because he is a very diligent Minister and I know he listens closely to his colleagues First, we need a longer-term plan than the one that I think is on offer. We need a sense of strategy and a sense of clarity. We may be living with this virus for months or, in the worst case scenario, for years. Waiting for the cavalry in the shape of a vaccine is taking longer than we hoped, and there is a chance—a small chance—that it may never happen, but even if we get that vaccine in the weeks and months ahead, it may only be a mitigation, not a cure-all The promised return to normality by December clearly has not happened, so we need to articulate what is paramount to protect people as much as possible, while ensuring that the cure is not worse than the disease. I think that, at times, our posture has been reactive. That does not mitigate the fact that lots of good stuff has been done: our economic response has been powerful; Test and Trace, even imperfect, is an extraordinary achievement; and likewise, the Nightingale hospitals We are getting there, but I do not think we are there yet, and I think the answer needs to be more of a plan and perhaps more of a decentralised approach. Many of us have had concerns about this. We have said these things to the Whips, and I have been very careful about saying so publicly, but I think we are now at a juncture where it is beneficial that I and other colleagues are saying this Secondly, on language, I do not think the language of battle helps. Does the Minister agree with Professor Sikora, who has said: “If you try to scare people with worst case scenarios, it doesn’t work” Talk of battle should be replaced by talk of “Keep calm and carry on”, because that is the language that I think we need Thirdly, and perhaps most critically, the Government talk about following the science, but actually it depends what question we ask the science. If we say, “Defeat the virus: suppress it in any way you can”, we get one course of action, and potentially a very destructive one. We must accept that the virus cannot be defeated, but be determined to mitigate it to protect as much as possible the elderly and the vulnerable, while trying to limit the damage to other people’s lives through increased cancer deaths, heart disease and strokes and—God knows—what must be happening to mental health in this country with people cooped up so much. We need a sense of balance To me, on the pubs issue, and on gyms and swimming pools, there is absolutely no evidence that shutting a pub or the restaurant in Yarmouth I was in on Saturday at 10 o’clock, or shutting a swimming pool or shutting a gym, actually helps prevent the transmission of this virus.
ParlaMint-GB_2020-10-13-commons.u357	I am glad to follow my hon. Friend the Member for Isle of Wight (Bob Seely), but also my hon. Friend the Member for Devizes (Danny Kruger), who spoke earlier, and I will pick up his theme I represent constituents in Cornwall, and we are the only part of the country that is a different colour to the rest, because actually we have reducing coronavirus numbers, which is why the 10 o’clock curfew makes no sense. We have talked again this afternoon—I do not want to rehearse everything that has been said, or anything—about consistency, yet we have told pubs they need to close at 10 o’clock but we have done absolutely nothing to curtail the sale of cheap alcohol in supermarkets. Once again, we are seeing the supermarkets doing everything they can to maximise their take on the back of the coronavirus. Those in the pubs that have been told to close are looking out of their window and seeing large groups of people, after curfew, drinking alcohol they have bought in the Co-op, dare I say, or other high street stores and supermarkets. We know that poor health leads to greater risk of severe covid outcomes and we are concerned with the risk to health because of coronavirus, and the Government are not known to dither or delay, but one area—it is completely relevant—where the Government have dithered and delayed is the introduction of the minimum unit price for alcohol. What the Government could do right now to reassure pubs, which are not affected by that piece of legislation or that tax, is to curtail cheap alcohol sales in supermarkets, which would not only improve people’s health but give the pubs a chance to recover. If the Government are not prepared to change the curfew, they must be prepared to give pubs a fair chance The Government are already considering that; they could bring this forward. It would reduce the drinking culture, which is not helping, and improve health outcomes, which would improve people’s chances of surviving coronavirus and increase the Treasury’s income, which has to be something it is very concerned about The Government had no restraint in imposing the 10 pm curfew. They have shown that they can move quickly and aggressively when that is needed to protect people’s health. Why do they not do exactly the same and introduce the minimum unit price for alcohol?
ParlaMint-GB_2020-10-13-commons.u358	I completely support the Government’s efforts to help bring coronavirus under control, to keep us safe and to protect the NHS and our economy. The easy clinical solution would have been a total lockdown, so the new tiered system is a mark of the effort going into providing responses that are tailored to localities Everyone understands that social contact poses a risk of contagion, so managing those contacts in pubs, cafes and suchlike is absolutely key. We want to keep those pubs open where we can—not just because of the jobs they provide directly and through the supply chain, but because pubs are often the only place of contact for many isolated people. I think of the Chapel House wet-only community pub in Gornal in my constituency, and James, the landlord, who is still making things work with about half the normal clientele. However, James has told me that if his pub is to retain table-only service, he will have double the staff as well. That is an equation he can balance for the next month or so only by dipping into reserves My appeal is for us to revisit the risk profile of table-only service in wet-only pubs, and to consider perhaps more creative suggestions that might be even better. At the moment, new, young staff might be covid- asymptomatic and moving from table to table taking orders, and then coming back serving that table. Can we not look, perhaps, at more creative ideas, such as a table calling system on rotation, so that an individual from each table, wearing a mask, is called to the bar systematically All I am asking is that we revisit the science around this specific issue. Whatever the outcome, I feel certain that Dudley people, and people in Gornal, will play their part in defeating this virus.
ParlaMint-GB_2020-10-13-commons.u359	I have no choice but to be brief, so I shall make three short points. First, lockdowns hit poorer people—those on shifts, those in insecure work, those who work in retail or hospitality, those who work alone and those who live in flats or smaller houses. Poorer people suffer when the economy suffers, so it is deeply regrettable that Labour Members have called for a second full national lockdown. That again reaffirms their position as the party for economic destruction. I urge the Government to resist calls for a full second national lockdown. That would be harsh and destructive, and it would condemn people on low incomes to much more difficult lives Secondly, what happened in Peterborough during the last lockdown was remarkable. Stevie Wiley, Ishfaq Hussain and Zillur Hussain, as well as countless others, inspired a city. We looked after the vulnerable. We delivered food to those who were shielding. We fed our rough sleepers. We come in different shapes and sizes, and from different ethnic groups. We even speak different languages, but we came through this as one city—perhaps more than any other city—although I do not want to do this again. Couples remain unmarried. Serious medical conditions remain undiagnosed and, in the case of my father, who died during lockdown, we are still unable to say goodbye in the way I would like. To be honest, I still grieve over this Peterborough has a rate of 56.4 cases per 100,000 people. For a big city with intergenerational households, dense housing and economic challenges, that really is a remarkable achievement. We have done the right thing and we do not want to be in tier 2. I want the Minister to hear this very clearly: we do not want to be in tier 2 and we will do everything we can to prevent this That brings me on to my final point. So many pubs and restaurants in Peterborough feel as though they are being punished for doing the right thing. They have gone to considerable expense to prepare themselves for these restrictions, and the 10 pm curfew in my city is having a devastating impact. Pubs and restaurants have closed—it is not that they might be closing—as a result of this. Why? When I look my local pub landlords and bar managers in the eye, I struggle to answer that. So I urge the Minister to review that 10 pm curfew, communicate why he feels it is a good idea, listen to the industry and reflect on what I have said today.
ParlaMint-GB_2020-10-13-commons.u360	It is a pleasure to be called in this debate, Madam Deputy Speaker, and to see the Minister for Health on the Front Bench—I have huge respect for him. This issue is one of national interest, is it not? This is not about party politics; it is about what we as individual MPs think is best for our country. MPs such as me, who disagree with the Government to a large extent, are not heretics. We do not want to “let it rip” and we do not want to see the elderly die; we are just trying to gauge as best as we can what is best for our country. Just because one or two, or a few, of us disagree with the Government, it does not mean to say that we are violently opposed to what they are doing. We have huge sympathy for them, as we have never been here before. But I ask myself every morning, and I have asked doctors and professionals this: if we locked down the whole country again for two, three or four months and covid almost disappeared, what would happen when the door opened and we all came out again? That little virus would be there, saying, “Hello, I’m back” and it would infect us all again, because it is a pandemic This virus is not going to go away. Two days ago, I spoke to a professor who is working hard on a vaccine at a Southampton hospital and he was optimistic that a vaccine could be found. That is great news, but all vaccines come with a health warning—they do not necessarily do the job, as we have seen in the past. Flu is still here. People who get the vaccine still get the flu. Flu mutates and new vaccines have to be produced. So even if we get a covid vaccine—it would be good news and I would, of course, welcome it—the pandemic will still be here Is all this worth shutting down the country for? My hon. Friend the Member for Peterborough (Paul Bristow) does not want to be in tier 2, but all tiers are, in effect, shutting down the economy in local areas, to a lesser or greater extent. As a country, we are paying a terrible, terrible price, economically, socially, mentally, financially and in health terms. Millions of our constituents are suffering in unimaginable ways. I will end by talking about my parents, who, sadly, have passed away. I know for certain that were they alive now, they would say, “Richard, get out there. Get the country going again. Protect those like us as best as you can, but for God’s sake get the country back on its feet.”
ParlaMint-GB_2020-10-13-commons.u361	With one minute, I call Dehenna Davison.
ParlaMint-GB_2020-10-13-commons.u362	I know time is short, so I will keep it brief, Madam Deputy Speaker. The key point I want to get across is that, obviously, public health must be a priority but we must not forget the real human stories behind every one of the statistics. So we should look at not only the number of covid deaths but the economic impacts that lockdown measures are having right across our country. I have been banging the drum for our hospitality sector, pushing for additional support for it to protect those people who have spent their entire lives building up strong businesses that are integral to their local communities, right in the heart of those communities. I think of people such as Christian Burns and Cheryl Jeffrey. We must do all we can to try to protect them as best as we can as we move through this pandemic.
ParlaMint-GB_2020-10-13-commons.u363	As hon. Members will see, I have less than six minutes to respond. I regret that I may slightly disappoint the House in that—untypically for me—I will not be able to take interventions, having agreed with the Chair to enable the maximum number of Back-Bench contributions We have heard many different views and perspectives today, and although I may not personally fully share all of them, each represents an important and sincerely held point of view. Whatever the differences of approach among hon. Members, it is clear that all Members passionately share the common objectives of protecting lives and livelihoods. No one should doubt the underlying unity of purpose in this House. As the Secretary of State set out, we have seen rapidly rising levels of transmission and infection, followed—with a time lag—by rising hospitalisations, particularly in the north-east and the north-west, and, sadly, increasing levels of deaths. I think it was my hon. Friend the Member for Hyndburn (Sara Britcliffe) who pointed out that this disease is sadly now moving from younger people into older, more vulnerable age groups. We therefore need to take further measures to protect the public and the NHS—as we have done throughout the pandemic—as we enter winter At the same time, we seek to ensure that individuals and businesses are not subject to restrictions that are disproportionate to the risk in their area or to the risk that this disease poses. We need to continue to suppress infection rates and transmission. This is not just about protecting health; it is also about protecting our economy. As hon. and right hon. Members have said, regrettably there are no easy choices here. That is why the Government are recognising reasonable calls for a simplified and clearer set of regulations, by putting in place a simplified, tiered framework so that individuals and businesses can clearly understand the rules in their local area, the restrictions in place and what they will need to do to comply with them. This helps to build on the consent and compliance that many colleagues have mentioned that comes with taking people with us and clarity of messaging The Government are acutely sensitive to the impact that these restrictions will have on local areas, and hon. Members have spoken passionately on behalf of their constituencies today, including a large number who have made points about the 10 pm curfew, as the House and others will have heard. We have worked and continue to work closely with local leaders to seek a consensus on the actions that we are taking at each level. In the time preceding these announcements, we increased engagement with local authorities at official level, and had meetings with local leaders and directors of public health. Their valuable insights have helped to shape the new system set out in three of these sets of regulations today. I have to say that I know of no Minister who has done more to engage directly with colleagues, councils and communities than my right hon. Friend the Secretary of State Local authorities and local leaders will be involved in any further actions and decisions about what level each area falls into. Having previously spent almost 10 years as a local councillor, I pay tribute to the dedication of council officers and councillors. I am clear about their vital role, working in partnership as part of a national approach. We recognise that there are elements of the restrictions that are difficult for individuals and businesses. I pay tribute to the British people and recognise the huge sacrifices that they have already made. That is why it is right that my right hon. Friend the Chancellor has introduced further support measures, alongside the very extensive support package that he set out to the House earlier in the year The measures in these regulations are reasonable and proportionate, given the increased rates of transmission that we are seeing and in the context of our clear commitment to keep education settings open, and businesses open as much as possible. I reassure the House that throughout, as evidence and the science—I use that term in the plural—develop and evolve all the time, we continue to keep that under review, and I approach emerging scientific evidence with an open mind. I urge hon. Members to join me today in supporting these regulations relating to the covid alert levels and enforcement action, tracing and businesses, recognising the very challenging infection point that this country sits at today, with rising infection and hospitalisation rates. The fight against this virus is certainly not over and we must all continue to play our part in tackling it. These measures seek to do that in a proportionate and clearly understandable way. This House and its collective wisdom are vital to getting it right, and I hope that this evening the House will demonstrate that wisdom and vote for these measures.
ParlaMint-GB_2020-10-13-commons.u364	I beg to move, That the clause be read a Second time.
ParlaMint-GB_2020-10-13-commons.u365	With this it will be convenient to discuss the following: Government new clauses 9 and 10. New clause 1—Sea Fish Industry Authority: powers in relation to parts of UK— ‘(1) The Fisheries Act 1981 is amended as follows (2) In section 2(1) (duties of the Authority)— (a) after the third “of”, insert “(amongst other things)”, (b) delete the words “as a whole” (3) After section 3 (powers of the Authority), insert— “3A Exercise of functions in relation to different parts of the UK etc The Authority may exercise its functions separately and differently in relation to— (a) the sea fish industry in different parts of the United Kingdom, (b) sea fish and sea fish products landed in different parts of the United Kingdom, (c) sea fish and sea fish products trans-shipped in different parts of the sea within British fishery limits adjacent to different parts of the United Kingdom.”.’ The primary purpose of this new clause is to give the Sea Fish Industry Authority greater flexibility to exercise its functions separately and differently in different parts of the UK. It inserts a new clause into subsection 3, which will enable the Authority to do this. New clause 2—Sea Fish Industry Authority: delegation of functions— ‘(1) The Fisheries Act 1981 is amended as follows (2) After section 3A (exercise of functions in relation to different parts of the UK etc.), insert— “3B Delegation of functions (1) The Authority may authorise any other person to exercise on its behalf such of its functions and to such extent as it may determine (2) The Authority may give to any person authorised under this section to exercise any of its functions— (a) financial assistance (by way of loan, grant or guarantee), (b) other assistance including assistance by way of the provision of property, staff or services, for the purposes of those functions.” (3) The giving of authority under this section to exercise a function does not— (a) affect the Authority’s responsibility for the exercise of the function, or (b) prevent the Authority from exercising the function itself.”.’ This new clause inserts a new clause which will allow the Authority to authorise any other person to exercise on its behalf any of its functions to the extent determined by the Authority. It will also allow the Authority to give any such person financial and other assistance to do so. New clause 3—Sea Fish Industry Authority: accounts and reports— ‘(1) The Fisheries Act 1981 is amended as follows (2) In section 11 (accounts and reports)— (a) after subsection (2) insert— “(2A) The statement of accounts must specify the total amount of income received in the financial year from levies imposed under section 4 in relation to sea fish or sea fish products landed in Scotland or trans-shipped within the Scottish zone.”, (b) after subsection (7) insert— “(7A) The report must include details of how income received from levies imposed under section 4 has been applied in the financial year in respect of each part of the United Kingdom by the Authority in exercising its functions including in particular details, in respect of each part of the United Kingdom, of how the income has been applied by the Authority in— (a) promoting the efficiency of the sea fish industry in that part, (b) promoting the marketing and consumption of, and the export of, sea fish and sea fish products relating to that part.”.’ This new clause is intended to ensure that the Authority reports how income received from the levies it imposes has been applied in respect of each part of the United Kingdom. New clause 4—Sea Fish Industry Authority: plan relating to allocation of Scottish levies— ‘(1) The Fisheries Act 1981 is amended as follows (2) After section 11 (accounts and reports), insert— “11A Plan relating to allocation of Scottish levies (1) Before the start of each financial year, the Authority must— (a) prepare a plan setting out— (i) an estimate of the total amount of income that the Authority expects to receive during the financial year from levies imposed under section 4 in relation to sea fish or sea fish products landed in Scotland or trans-shipped within the Scottish zone (“Scottish levies”), and (ii) a description of how the Authority proposes to apply that income in the course of exercising its functions, and (b) refer the plan to the committee appointed under paragraph 16(A1) of Schedule 1 (“the Scottish committee”) for approval of the Authority’s proposal mentioned in paragraph (a)(ii) (2) If, as a result of relevant regulations, the Authority estimates that the total amount of income that it expects to receive from Scottish levies during a financial year is greater than the total amount of income that it received from Scottish levies during the previous financial year, the Authority’s plan prepared under subsection (1) for the financial year must include a statement describing how the Authority proposes in particular to apply the additional income from Scottish levies in the course of exercising its functions (3) For the purposes of subsection (2)— (a) “relevant regulations”, in relation to a financial year, means— (i) regulations made by the Authority under section 4(2) during the previous financial year, and (ii) regulations which the Authority expects to make, and to be confirmed by the Scottish Ministers, under section 4(2) during the financial year, (b) the total amount of income received by the Authority from Scottish levies during a previous financial year is the total amount of such income as recorded in the Authority’s accounts kept under section 11(1) in respect of that year (4) The Authority— (a) must publish a plan prepared under subsection (1) as soon as reasonably practicable after receiving the Scottish committee’s approval as mentioned in subsection (1)(b), and (b) may publish the plan in such manner as it considers appropriate (5) The Authority must, as soon as reasonably practicable after publishing a plan under subsection (4)— (a) send a copy of the plan to the Scottish Ministers, and (b) lay the plan before the Scottish Parliament (6) The Authority must have regard to each relevant plan— (a) in the exercise of its functions, and (b) in particular, in authorising any other person under section 3B to exercise any of its functions on its behalf (7) A person who is authorised by the Authority under section 3B to exercise any of the Authority’s functions must have regard to each relevant plan in the exercise of those functions (8) In subsections (6) and (7), “relevant plan”, in relation to the exercise of a function, means— (a) the latest plan published under subsection (4), and (b) any earlier plan published under that subsection in so far as it contains a proposal mentioned in subsection (1)(a)(ii) (or, as the case may be, in subsection (2)) to apply income during the financial year in which the function is being exercised.”.’ The primary purpose of this new clause is to ensure the Authority sets out an annual plan that outlines how it intends to apply the levy income it expects to receive. This plan must make comparison to the levy income of the previous year and where the levy income is expected to be higher detail how the Authority proposes to apply the additional income from Scottish levies. New clause 5—Sea Fish Industry Authority: committee for Scotland— ‘(1) The Fisheries Act 1981 is amended as follows (2) In schedule 1 (the Sea Fish Industry Authority), in paragraph 16— (a) before sub-paragraph (1) insert— “(A1) The Authority must appoint a committee for the purpose of assisting the Authority in the exercise of its functions in relation to the sea fish industry in Scotland (A2) The committee is to consist of or include persons who are not members of the Authority (A3) The Authority must consult the committee on the exercise of its functions in relation to the sea fish industry in Scotland.”, (b) in sub-paragraph (1), before “committees” insert “other”, (c) in sub-paragraph (2), for “such committees” substitute “committees appointed under this paragraph”.’ This new clause’s new provisions require the Authority to appoint a committee for the purpose of assisting the Authority in the exercise of its functions in relation to the sea fish industry in Scotland. They additionally require the consultation of this committee on the exercise of the Authority’s functions in relations to Scotland. New clause 6—Sea Fish Industry Levies: powers in relation to Scotland and the Scottish Zone— ‘(1) The Fisheries Act 1981 is amended as follows (2) In section 4 (levies)— (a) in subsection (2), for “Ministers” substitute “appropriate Ministerial authority”, (b) in subsection (7), for “Ministers” substitute “appropriate Ministerial authority”, (c) after subsection (8) insert— “(8A) In this section, ‘appropriate Ministerial authority’ means— (a) in relation to sea fish or sea fish products landed in Scotland or trans-shipped within the Scottish zone, the Scottish Ministers, (b) in any other case, the Ministers.”, (d) in subsection (9), after “order” in both places where it occurs insert “of the Ministers”, (e) after subsection (9) insert— “(9A) Any order of the Scottish Ministers— (a) under subsection (2) is subject to the negative procedure, (b) under subsection (7) is subject to the affirmative procedure (9B) Before laying a draft Scottish statutory instrument containing an order under subsection (7) before the Scottish Parliament, the Scottish Ministers must consult— (a) the committee appointed under paragraph 16(A1) of Schedule 1, and (b) such other persons as they consider appropriate.” (3) In section 14 (interpretation of Part 1), in the definition of “the Ministers”, in paragraph (c), after “with” insert “(except in the case of an order under section 4(2) or (7))” (4) In schedule 2 (Sea Fish Industry Levies)— (a) for “Ministers” in each place where it occurs substitute “appropriate Ministerial authority”, (b) after paragraph 3 insert— “4 The Scottish Ministers must, before making an order confirming any regulations, consult— (a) the committee appointed under paragraph 16(A1) of Schedule 1, and (b) such other persons as they consider appropriate 5 In this schedule, ‘appropriate Ministerial authority’ has the same meaning as in section 4 of this Act.”.’ The primary purpose of this new clause is to devolve, to the Scottish Ministers, the control of the Scottish aspects of levies imposed by the Authority. Currently, levies imposed by the Authority require confirmation by the relevant Ministers for England, Wales and Northern Ireland with the agreement of the Scottish Ministers. The new clause intends to ensure that levies imposed in relation to Scotland require confirmation by Scottish Ministers. New clause 7—Sea Fish Industry Levies: definitions relating to Scotland and the Scottish Zone— ‘(1) The Fisheries Act 1981 is amended as follows (2) In section 14 (interpretation of Part 1), after the definition of “the Ministers” insert— “‘Scotland’ and ‘the Scottish zone’ have the same meanings as in the Scotland Act 1998 (see section 126(1) and (2) of that Act);”.’ This new clause inserts a new clause which makes consequential new clause to section 14 (interpretation of Part 1) of the 1981 Act by inserting definitions of “Scotland” and “the Scottish zone”. New clause 11—Safety Regulation Within the Exclusive Economic Zone— ‘(1) The Secretary of State shall, after consultation, develop a regulatory regime for fisheries in the Exclusive Economic Zone with regard to— (a) adherence to the Torremolinos International Convention for the Safety of Fishing Vessels 1993 and Cape Town Agreement of 2012 (b) regulation of safety of navigation by fishing vessels within the EEZ (2) For the purposes of subsection (1) the regulatory regime shall be agreed with devolved administrations, whose consent shall not be unreasonably withheld, and shall come into force no later than 31 December 2022 (3) For the purposes of subsection (1)(b) “regulation of safety of navigation” shall include, but not be limited to, regulation of acts by a person in charge of a fishing boat which causes or attempts to cause a collision or risk of collision with another vessel within the EEZ (4) For the purposes of subsection (3), a “person in charge of a fishing boat” shall include the master, the owner and the charterer (if any) of that vessel (5) A person guilty of an offence under regulations made under this section shall be liable on summary conviction to— (a) imprisonment for a period not exceeding two years, (b) a fine, or (c) both.’ The purpose of this new clause is to give the Secretary of State power to make regulations governing the safety of fishing vessels working within the EEZ in accordance with existing treaty obligations. New clause 12—Safety of Fishing Vessels in the Exclusive Economic Zone— ‘(1) A person in charge of a fishing boat commits an offence if that person uses the vessel to— (a) harass or impede another vessel within the EEZ, or (b) endanger the safety of another vessel and/or those crewing it within the EEZ (2) For the purposes of this section (1), a “person in charge of a fishing boat” shall include the master, the owner and the charterer (if any) of that vessel (3) For the purposes of subsection (1), the Maritime and Coastguard Agency (MCA) shall be responsible for— (a) monitoring the conduct of vessels within the EEZ, and (b) passing information to a prosecuting authority (4) A person guilty of an offence under this section shall be liable on summary conviction to— (c) imprisonment for a period not exceeding two years, (d) a fine, or (e) both. (5) The court by or before which a person is convicted of an offence under this section may award compensation for loss of earnings or damage to property caused as a consequence of the offence (6) Where a fisheries protection officer, an official of the Maritime Coastguard Agency or a Police Constable has reasonable grounds to believe that an offence has been committed under this section, he shall have power to detain in port any vessel or equipment used in the commission of that offence (7) Any property detained under subsection (6) shall not be held for longer than seven days unless authority to extend that period is granted by (f) a Sheriff in the Sheriff Court in Scotland; or (g) a judge in the Crown Court in England, Wales or Northern Ireland (8) Any property held under subsections (6) or (7) shall be liable to forfeiture at the conclusion of any criminal proceedings brought under this section.’ The purpose of this new clause is to give the Maritime and Coastguard Agency (MCA) appropriate powers to enforce safety within the limits of the UK’s Exclusive Economic Zone. A person guilty of an offence shall be liable to criminal prosecution and civil proceedings for damage, loss of earnings and injury. Amendment 2, in clause 1, page 1, line 12, leave out subsection (2) and insert— ‘(2) The “sustainability objective” is that— (a) fish and aquaculture activities do not compromise environmental sustainability in either the short or the long term, and (a) subject to subsection (a) fishing fleets must— (i) be managed to achieve economic, social and employment benefits and contribute to the availability of food supplies, and (ii) have fishing capacity that is economically viable and does not overexploit marine stocks (2A) The sustainability objective is the prime objective.’ This amendment makes the sustainability objective the prime fisheries objective and alters the definition of the “sustainability objective” to make other objectives subject to environmental sustainability in the short and long term. Amendment 57, in clause 1, page 1, line 14, after “the” insert “short and” This amendment would change the ‘sustainability objective’ to require that fish and aquaculture activities are environmentally sustainable in both the short and long term. Amendment 1, in clause 1, page 2, line 32, at end insert— ‘(b) seafood landings into United Kingdom ports are increased and maximised; and (c) that an average of not less than 65% of seafood caught in English waters, across all relevant species, should be landed in English ports.’ This amendment would amend the “national benefit objective” to include a commitment to increase seafood landings into the United Kingdom and create a specific target for English ports. Government amendments 4 to 11, 36 and 12 to 24 Amendment 3, in schedule 3, page 53, line 24, at end insert— ‘Prohibition on fishing boats greater than 100 metres in length in English waters 1A (1) Any sea fishing licence issued by the sea fish licensing authority for England must include a condition prohibiting the use of a fishing boat greater than 100 metres in length in any of the protected areas specified in subsection (2) (2) The protected areas to which the prohibition in subsection (1) applies are marine conservation zones and marine protected areas as defined in the Marine and Coastal Access Act 2009. (3) The Secretary of State may by regulations add to the list of protected areas in subsection (2).’ This amendment would include in the sea fishing licence conditions a prohibition on using a fishing boat longer than 100 metres in protected areas in English waters. Government amendments 25 to 35 and 37 to 56.
ParlaMint-GB_2020-10-13-commons.u366	This Bill marks a really important step forward as we leave the inflexibilities of the common fisheries policy. It puts in place the framework necessary for the UK to operate as a responsible, independent coastal state. It allows us to ensure that we have sustainable fisheries to provide benefits for future generations The Bill’s fisheries objectives place sustainability front and centre. Six out of the eight objectives relate to protecting the environment. It is critical that we are able to balance those objectives as we need to. Additional quota we receive following the negotiations will be allocated in a new way, and I am pleased that two consultations on quota distribution were published today. That makes good our commitment in the 2018 White Paper, of which my Secretary of State is particularly proud, having put a lot of work into it himself This Bill is the product of collaborative and constructive working across all four Administrations of our nation and I am pleased that all the devolved legislatures have consented to the Bill. It was, unfortunately, however, important to wait until we had that consent before we brought forward further amendments on their behalf and that is why I am slightly embarrassed to say that the Order Paper is full of very technical Government amendments. Many are amendments that the devolved Administrations could have made themselves, but given the pressures on all the parliamentary timetables in the run-up to the end of the transition period, we felt that in a spirit of co-operation we should, if possible, make these changes for them.
ParlaMint-GB_2020-10-13-commons.u367	I understand the position with regard to the devolved Administrations, but I do not understand the position with regard to Government amendment 36 and the Channel islands. Why has that been brought to the House at this stage in proceedings?
ParlaMint-GB_2020-10-13-commons.u368	I will, if I may, come to that very shortly. It is an important point and one that I personally am very interested in, having been on the Select Committee on Justice and written a report on that very subject The most substantive changes in the amendments cover provisions that make clear the ability of the devolved Administrations and the Marine Management Organisation to delegate functions between each other, the extension of schedule 10 marine conservation powers to the Department of Agriculture, Environment and Rural Affairs and amendments to Northern Irish and Scottish statutory instruments to bring them in line with UK and Welsh SIs under schedule 2. The final amendments are needed to implement the international treaty with the Faroe islands Government amendment 36 includes a permissive extent clause that will allow the UK Government to legislate for the Crown dependencies to ensure compliance with our international obligations. That follows a great deal of discussion with the Crown dependencies and I recognise that they take their international obligations seriously. This is a subject I personally have long been very interested in and I have discussed the matter with the Lord Chancellor and my hon. Friend the Member for Bromley and Chislehurst (Sir Robert Neill), as well as other Members across the House I reassure Members and, indeed, the Crown dependencies, that activation of the permissive extent clause would only ever be used as a last resort and I am looking forward to continuing discussions with the Crown dependencies on that in the next few days and weeks.
ParlaMint-GB_2020-10-13-commons.u369	Will the Minister give way?
ParlaMint-GB_2020-10-13-commons.u370	I would be delighted to give way to my former Chair.
ParlaMint-GB_2020-10-13-commons.u371	My hon. Friend does know this, because she was a great servant of the Justice Committee when she was a member: it is not just a question of continuing discussions. As things stand, the Governments and legislatures of both Jersey and Guernsey object. It is not just that they do not think a permissive extent clause is necessary; they object to its inclusion in the Bill. It is truly unprecedented for the Government to insist upon a permissive extent clause without the agreement of the relevant Crown dependencies. Why, even in an emergency, go down this rather provocative step? Why not wait until such time as an emergency arises and let them legislate, as they have indicated they would?
