ParlaMint-GB_2020-09-15-commons.u1	What fiscal support he is providing to mitigate the economic effects of the covid-19 outbreak.
ParlaMint-GB_2020-09-15-commons.u300	I thank the hon. Gentleman for allowing me to make good my deficit in not answering his question fully. I am happy to try to do so now. I understand that before the Bill was introduced, the Joint Ministerial Committee, with Ministers on both sides, was working on a programme, with some success, I understand, by which all these issues could have been ironed out in a collaborative and consultative way with each of the Governments of the devolved nations, but that has now been torn asunder. I look forward to the answer to the question about how this collaboration will work in the future, given that the Bill simply overlays that with an unelected quango and the ability for the BEIS Secretary and this Parliament to make the ultimate decision.
ParlaMint-GB_2020-09-15-commons.u301	I think I have the answer—it might not be the one he thinks he is conveying—which is, there is none. There is no answer to how disputes will be resolved because it does not appear that that has actually been achieved.
ParlaMint-GB_2020-09-15-commons.u302	I think I can clear some of this up. Essentially my hon. Friend is right and the hon. Member for Inverness, Nairn, Badenoch and Strathspey (Drew Hendry) is not right. The very meetings the hon. Gentleman has just described are still going on and will deliver five frameworks by the end of the year, so I hope he will withdraw his remarks about how that programme is not being co-operated with, because that is simply wrong. My hon. Friend is correct in that the section he refers to in the explanatory notes is, as the Under-Secretary of State for Business, Energy and Industrial Strategy, my hon. Friend the Member for Sutton and Cheam (Paul Scully) will explain later, being delivered alongside the Bill.
ParlaMint-GB_2020-09-15-commons.u303	I am very grateful for that clarification The hon. Member for Inverness, Nairn, Badenoch and Strathspey also said that the Office for the Internal Market was overlaying that process. That is not correct either. It is an advisory body that informs the decisions made by the common frameworks agreement. Perhaps I did not hear him correctly, but on both those points he did not sound precisely on point.
ParlaMint-GB_2020-09-15-commons.u304	The hon. Gentleman is highlighting the fundamental weakness of the Bill from our perspective. The internal market is a shared asset between the four countries of the UK, but what is missing from the Bill is clear intergovernmental structures to govern it.
ParlaMint-GB_2020-09-15-commons.u305	The hon. Gentleman is absolutely right. “So get on with it”, would be my suggestion to him and his colleagues. I have heard several points of strong opposition to the Bill rather than engagement. A more constructive engagement with the UK Government would help everyone, because as he rightly says the internal market is a shared asset between the four component nations of the UK. So I urge him and his party to encourage that work with the UK Government On the specific clauses in the Bill, I have a general point to make. We are very keen as politicians to do the new things, set new regulations, but we spend very little time checking whether they work or whether the regulatory body is doing any good or indeed doing what it said it would do in the first place, so it is important to get a bit more precision from the Government in some of the words they use in the Bill Clause 29 talks about the reports—the Minister may be able to help—the Competition and Markets Authority must prepare or report on. Clause 29(5)(b) states: “developments as to the effectiveness of the operation of that market.” The word “effectiveness” can have lots of different meanings to lots of different people. What remit are we giving to the Office for the Internal Market on how it will judge the definition of an effective operation of the market? Does it, for example, include whether the operation of the market continues to have the consent of all constituent devolved Administrations of the United Kingdom? Does it mean that the country has an adequate spread of production across the country? Does it mean that each market is promoting competition? Does it mean that prices are going down? The word “effectiveness” covers a lot of issues That issue also relates to clause 29(8), which states: “So far as a report under this section is concerned with the effective operation of the internal market in the United Kingdom, the report may consider (among other things)—…(i) competition, (ii) access to goods and services, (iii) volumes of trade” I would say that that is a partial list. There may be other aspects that we would wish the Office for the Internal Market to look into when it considers the operation of the internal market, some of which I have mentioned. For example, is the Minister considering, or would he consider, that that should include the impact of the internal market on consumer rights? Should it include regional disparities? Most importantly, should it include innovation and competition Clause 30(3)(a) talks about advising on proposed regulatory provisions on request. This is an important issue relating to the points raised by the hon. Member for Inverness, Nairn, Badenoch and Strathspey, which is not only on the decision authorities but the scope for devolved Administrations to raise issues with the Office for the Internal Market. Clause 30(3) states: “The condition is that it appears to the requesting authority that— (a) the regulatory provision to which the proposal relates would fall within the scope of this Part and be within relevant legislative competence, and (b) the proposal should be further considered in the light of the significance of its potential effects on the operation of the internal market in the United Kingdom.” It seems to me, particularly in light of the desire of devolved Administrations to have some potential for innovations in regulations such as minimum alcohol pricing, that that “and” might be better considered as an “or”. It would be feasible for devolved Administrations to raise issues which may be outside the scope of their current remit of responsibilities, but for which the devolved Administrations, elected by their local voters, wish to see as a potential regulatory change in the future. What is the harm that could be caused by enabling that to be considered by the Office for the Internal Market The hon. Member for North East Fife (Wendy Chamberlain) tabled amendment 21 to clause 35, which relates to participation in the Competition and Markets Authority. Obviously, she may wish to speak to her amendment directly, but I draw the attention of the Minister to the issue of participation in the CMA. It is a relevant question to ask who will be on those bodies. We put the so-called great and the good on such regulators, but we do not really know who they are. What oversight do we have of their performance? What oversight and decision rights do we have of appointments? Would it not be a consideration to spread that beyond this Parliament to include devolved Administrations? I urge my hon. Friend the Minister to look carefully at the amendment tabled by the hon. Lady, as well as her new clause 4 I welcome the Bill. As the hon. Member for Carmarthen East and Dinefwr (Jonathan Edwards) mentioned, the internal market is a shared asset and we all want it to work effectively. The Bill is a very good start in making us move in the right direction, but we need some prudence in its implementation. I am very grateful to the Minister of State, Cabinet Office, my hon. Friend the Member for Norwich North (Chloe Smith) for her intervention to clarify some points on where we stand in relation to the common framework.
ParlaMint-GB_2020-09-15-commons.u306	Before I consider part 4, I wish briefly to set the context of the comments that I will make Yesterday, Scotland’s friends in the EU and the wider international community were concerned that a UK Prime Minister was prepared to sacrifice the rule of law in a vain attempt to save his own bacon. Of course, there is disbelief that this arrogance is voiced outside the Cummings bubble, but the deliberate trashing of the UK’s international standing is now endorsed by 340 parliamentarians so can no longer be regarded as the ravings of a few. They are all now complicit in this grand folly of legislation. The Bill is a disgraceful piece of legislation led by a Prime Minister whose words mean nothing and a party that is lurching ever further to the right, breaking the rules, acting unlawfully and now rewriting its own laws, while rubbishing any moral authority the UK had to hold rogue states—
ParlaMint-GB_2020-09-15-commons.u307	Order. The hon. Gentleman should resume his seat. I draw his attention to the fact that he needs to address the amendments before us. This is not a Second Reading speech all over again; it is important to address what is before the House today.
ParlaMint-GB_2020-09-15-commons.u308	Thank you, Dame Rosie. My preface to my comments was just to set the scene, which is what I am doing, but as I move on my comments will relate to the amendments The Prime Minister has presided over a summer of U-turns, U-turned on his own Brexit deal and turned away from the rule of law. The comments in terms of Scotland can be summed up by the Law Society of Scotland’s reflections on the Bill. It has stated that “as a matter of principle” the Bill should comply with the oldest principle of international law, “pacta sunt servanda (agreements are to be kept)” Quite unfortunately, Scotland has a head start in knowing the hollowness of such a principle. [Interruption.] I’m sorry?
ParlaMint-GB_2020-09-15-commons.u309	Order. The hon. Gentleman cannot have conversations across the Chamber. I would be grateful if he moved on to the amendments before us as quickly as possible. Thank you.
ParlaMint-GB_2020-09-15-commons.u310	This debate is focused on part 4, in which the authority of the Competition and Markets Authority and the wide-ranging and poorly specified powers of the UK Government’s man in Scotland are nothing short of a British nationalist inquisition. There are wide-ranging powers that cut to the very heart of the devolution settlement across every policy area—powers that the Government claim they will never use; they are there just in case. Well, Scotland is not buying it, and we are not having any of it. Devolution is the settled and robustly expressed will of the Scottish people, and it must be for the Scottish people alone to decide whether it should ever be restricted or changed in any way Part 4 of this wrecking-ball Bill takes decision-making powers away from Holyrood and hands them to the unelected body of the Office for the Internal Market. This office of inquisition will have the power to pass judgment on devolved laws and could quickly become the target of rich corporate lobbyists determined to see activities such as fracking go ahead against the will of the Scottish people.
ParlaMint-GB_2020-09-15-commons.u311	Is not the power grab compounded by the fact that the Government clearly intend to push this legislation through without legislative consent to the Bill from any of the devolved Administrations? When they ask, “Where is the power grab? Give us an example,” that is it. They are refusing even to accept the fact that the devolved legislatures will not consent to the Bill and they will not engage in its detail. The power grab runs right the way through this process.
ParlaMint-GB_2020-09-15-commons.u312	I thank my hon. Friend for his contribution—
ParlaMint-GB_2020-09-15-commons.u313	Will the hon. Gentleman give way?
ParlaMint-GB_2020-09-15-commons.u314	If I could just answer my hon. Friend, who is absolutely right. I will address the notion that there is a power surge of any shape or form shortly.
ParlaMint-GB_2020-09-15-commons.u315	Sorry, I was a bit keen. Do you agree that without the Bill—without the internal market structure—Scotland would be worse off? [Interruption.] Forgive me, but let me explain my point. I will not talk about whisky, because we always do that when we are talking about Scotland; I will talk about lenses for glasses, which are often made in Scotland. A large number of them are made in Scotland and go across the whole UK. If we did not have the internal market structure, then there could be tariffs—restrictions—on their being sold in, say, Wales or England. So why would you not want to accept this now?
ParlaMint-GB_2020-09-15-commons.u316	Order. May I just point out that it is very important not to use the word “you” to another Member? We speak to the Chair, so it is “the hon. Member” rather than “you”, just to clarify that.
ParlaMint-GB_2020-09-15-commons.u317	The hon. Lady raises a really interesting point. I wanted to get it into my remarks, and she has now given me a very clear avenue in which to do it. I cannot understand how she could come up with the suggestion that the UK would enforce its own internal tariffs, but with regard to Scottish competitiveness in this internal market, Scotland is already at a disadvantage. There is a company in my constituency that imports chassis from the EU but does not make its lorries here completely—like many of its EU competitors, it buys certain parts and puts them together. Those EU companies would be allowed to import a fully completed vehicle without any tariff, while that company would be subject to a high tariff on the importation of those chassis and therefore at a competitive disadvantage. That is because of Brexit. I am grateful to the hon. Lady for her point. I would also be grateful if the Minister took cognisance of my comments and gave me a detailed response about how the Government will protect companies such as that in my constituency from this type of disadvantage in the importation of completed vehicles.
ParlaMint-GB_2020-09-15-commons.u318	The internal market does not just guarantee costs and prices of things—it also guarantees standards. One of my favourite Scotland-to-England exports is BrewDog’s Punk IPA. How can the hon. Member, without the internal market, guarantee that my pint of Punk IPA in Peterborough is the same quality as in Aberdeen?
ParlaMint-GB_2020-09-15-commons.u319	I thank the hon. Member for raising yet another very helpful point. The problem is not whether the quality of Punk IPA will be consistently high in the north and the south, or even in Europe if it is still able to import it; the problem is that the quality at the lowest level will have to be accepted everywhere. It is not the highest level that is the issue; it is the lowest level. I will now try to make progress. I hope that it is now beginning to make sense, Dame Rosie, why I had that preamble. As I said, devolution is the settled and robustly expressed will of the Scottish people, and it is for them alone to decide if it should ever be restricted or changed in any way. If this law had been in force during the past 20 years of devolution, it would have affected Scotland’s ability to prioritise important issues like free tuition for Scottish students or to set important health policies such as minimum unit pricing for alcohol and introducing the smoking ban before other nations. Those would all have been at risk and may not have happened. Looking forward, there are things like the procurement of changes to food standards that can be imposed on Scotland as devolution is reduced to the powers of compliance, complicity or subjugation. Can you imagine the howls from Government Members if the EU had proposed such legislation? Yet they are content to do this to Scotland, and then tell us that we should be grateful. What a charade Well, Scotland is not buying it and we are having none of it. This legislation strips powers of decision making away from our democratically elected representatives in Holyrood. In an email to MSPs on 14 September, the Royal Society of Edinburgh warned that, while final decision-making power ultimately would remain with the UK Government, the use of that authority by the CMA against the wishes of devolved Administrations “would constitute a failure of intergovernmental relations” The reality is that part 4 grabs the powers of devolution and gives them to an unelected, barely accountable quango. The Bill grabs the powers of devolution, animal welfare, forestry, voting rights, food standards and energy—all currently the purview of the Scottish Parliament. The Government say that they are empowering Scotland; the truth is that they are robbing Scotland of democracy itself.
ParlaMint-GB_2020-09-15-commons.u320	How does the hon. Gentleman reconcile what he has just said with what the Scottish Retail Consortium has said, which is that protecting the UK internal market means that “Scottish consumers” will “benefit enormously” It talks about the importance of the “largely unfettered internal single market” In the consortium’s view, Scotland welcomes the measures to protect the UK internal market.
ParlaMint-GB_2020-09-15-commons.u321	The way that I reconcile it is that I am talking about democracy and the hon. Member is talking about trade, and I would say that democracy is slightly more important than trade The Bill would make Scotland’s Parliament and our law meaningless and smash devolution. And what of the protestations of this Government’s man in Scotland and his self-congratulatory talk of a power surge? It is crystal clear now that the only power surging is to the CMA, to the Office for the Internal Market and to the Secretary of State in Scotland.
ParlaMint-GB_2020-09-15-commons.u322	I wonder whether my hon. Friend agrees that the protestations that there is some kind of power surge are simply incompatible with the suggestion that the Office for the Internal Market will be set up in such a way as to enable it to lie above the powers of the Scottish Parliament.
ParlaMint-GB_2020-09-15-commons.u323	I thank my hon. Friend for those comments, because they illustrate very well the sophistry with which the whole charade has been presented. We are told that it is a power surge, and a power surge it is; but it is a power surge in the wrong direction—it is a power surge away from the devolved Government of Scotland. To judge by past behaviour, those powers will be used to interfere, undermine and diminish not just the elected Government of Scotland but the very voice of the Scottish people Yesterday, I heard Members claim in this Chamber that the Bill would strengthen the Union, and in their mind that may be true, but the Union is not being strengthened by a shared vision, mutual respect or other honourable means. It is the strength of bondage, of subjugation and of the pomposity that only Unionist voices matter. I’ve got news for you: it does not strengthen the bonds of the Union; it exposes the bondage of the devolved nations and illustrates why Scotland must choose an independent future. “Lead Not Leave”; “broad shoulders of the Union”; “Vote No to stay in the EU”; “We Love You Scotland”—well, nothing epitomises our Union of equals like the Prime Minister bestowing the effective status of viceroy of Scotland on the right hon. Member for Dumfries and Galloway (Mr Jack), his very own Union Jack Today, the international community knows something that the Scottish people have known since 2014: believe not a word, not a promise, not even a vow. To this Government, agreements are always optional. The Bill does not strengthen the Union; it strengthens the case for Scottish independence.
ParlaMint-GB_2020-09-15-commons.u324	I want to look at the clauses. On clause 28, it is proposed that “Scotland” be left out. On clause 29, amendment 29 would insert that following a legislative appeal from all the devolved powers, we would have a consultation before any changes. On clause 35, it is proposed that prior to publishing any information, the CMA must consult all Scottish, Welsh and Northern Ireland Ministers and the devolved Administrations. All these amendments seem to have one thing in common: they are asking for all consultation on how we move our internal market forward to be done with the devolved powers in the United Kingdom. Many in the House have raised the issue of who will be holding the CMA to account. We here represent the entire United Kingdom. We are elected to represent all parts of the United Kingdom.
ParlaMint-GB_2020-09-15-commons.u325	Is the hon. Lady therefore confirming that Westminster should take sovereignty over the devolved Administrations and the will of the Scottish and Welsh Parliaments?
ParlaMint-GB_2020-09-15-commons.u326	Absolutely not—that is not what I am saying.
ParlaMint-GB_2020-09-15-commons.u327	That is what I heard.
ParlaMint-GB_2020-09-15-commons.u328	Let me clarify for you. An internal market is something that is brought together historically. When we look at successful internal markets of the past, where have they been successful? We can look at the single market within the EU and at the 13 original colonies in the United States. They were 13 separate entities that had no regulatory system and were bound together by an internal market that allowed for free trade and the movement of goods and services. This Bill is not a political Bill—it is an economic Bill to enhance our competitiveness with the world. It is not to detract from the powers of Scotland—it is to make Scotland stronger through the power of free trade within the internal market I have been listening very carefully to what hon. Members across the House have been saying and the points that you have been raising, and I am very sympathetic to your cries about a lack of democratic representation. That is why I voted to leave the EU: for the very reason of the lack of democratic representation by the European Commission, which oversees the single market.
ParlaMint-GB_2020-09-15-commons.u329	Is the hon. Lady aware of the Sewel convention? If so, what is her objection to amendment 29, in the names of my hon. Friends?
ParlaMint-GB_2020-09-15-commons.u330	Amendment 29 states: “Following legislative approval from all devolved administrations” Are you asking for all the devolved Administrations to be represented at the federal level?
ParlaMint-GB_2020-09-15-commons.u331	The Sewel convention, which was put on a statutory footing—before the hon. Lady was a Member of the House, but many of us who were at that time will remember it—states that this Parliament will not normally legislate in respect of devolved matters without the consent of the devolved Administrations. That convention exists. It is on a statutory footing, so what is her objection to amendment 29?
ParlaMint-GB_2020-09-15-commons.u332	I would argue that this is not an infringement of your rights or those devolved powers. This Bill is about enhancing all of our abilities to work in a single internal market to allow goods and services to flow freely. My hon. Friend the Member for Loughborough (Jane Hunt) mentioned glasses being made in one part of the Union and then being put together in another part. We have this so that we can frictionlessly move goods and services through the United Kingdom without tariffs and restrictions. There has to be a system through which that federal system is united, in terms of the economic objectives that we are setting, making ourselves globally competitive.
ParlaMint-GB_2020-09-15-commons.u333	rose—
ParlaMint-GB_2020-09-15-commons.u334	I will not give way—I will make some headway and then give way in a moment. When we talk about the internal market, we are talking not about a political objective, but about an economic objective—to remove regulatory obstacles from more goods and services in the UK so that we are able to trade freely among ourselves and make ourselves globally competitive. We are removing the technical, legal and bureaucratic barriers to allow its citizens to trade and do business freely, for its citizens to enjoy products from all over the UK When SNP Members raise concerns about state aid, I would imagine that they are referring to the EU structural funds or the EU development funds, the criteria for which have, in the past, benefited certain deprived areas in regions in Scotland and other parts of the United Kingdom. I can understand how there would be concern, and perhaps something could be established to look at how that fund and the targets were set to help in disadvantaged and impoverished areas where the EU structural funds have helped to improve the livelihoods of people in the United Kingdom, and to look at how we move that forward. This is not a Bill to take any political power: it is to make us stronger economically. It is purely on the grounds of economics—
ParlaMint-GB_2020-09-15-commons.u335	Is my hon. Friend aware of the decisions being made in Shetland that if the nationalists get their way and there is separation of the United Kingdom following a second referendum, Shetland will seek to go independent itself? Therefore, not only are the nationalists seeking to break up the United Kingdom, they are seeking to break up Scotland.
ParlaMint-GB_2020-09-15-commons.u336	My hon. Friend makes an excellent point.
ParlaMint-GB_2020-09-15-commons.u337	I do not want to break up the United Kingdom. As I have said, I am a Unionist and I want to see a functioning UK internal market. Does the hon. Member think it is respectful for her Government to give details of the Bill only the night before it was published to Welsh Government Ministers, who also want to see a functioning internal market and want to make sure our country functions effectively and economically in the way she suggests?
ParlaMint-GB_2020-09-15-commons.u338	I thank you for your point, but I wonder if you would find it respectful for the EU to threaten to put a tariff in the sea—[Interruption.] No, that is a completely valid point to raise. I find that to be disrespectful of our sovereignty and our ability to govern internally.
ParlaMint-GB_2020-09-15-commons.u339	I will carry on. On that point, the EU’s threat to disrupt our food exports from mainland Britain to Northern Ireland as negotiating leverage fundamentally undermined our credibility and our sovereignty within the United Kingdom itself. The Bill will strengthen our ability to create—
ParlaMint-GB_2020-09-15-commons.u340	On the point about credibility, does the hon. Lady think it is just possible that the reason that credibility has been lost is because of her Prime Minister disagreeing with himself rather than for any other reason?
ParlaMint-GB_2020-09-15-commons.u341	You say it was mentioned by the SNP earlier about wanting to throw off the bureaucratic chains and wanting to have democratic representation, but that is exactly why I voted to leave the European Union, and that is why I will fight to make sure that we have a regulatory system that has less red tape and that has representation. We talk about democratic representation, but we are representing the will of the people who voted for Brexit in one referendum and we are delivering the result. Scotland also—[Interruption.]
ParlaMint-GB_2020-09-15-commons.u342	Order. Can I just remind Members on both sides of the House that these are very specific amendments that are being debated. We cannot go back to a Second Reading debate.
ParlaMint-GB_2020-09-15-commons.u343	Thank you, Sir Graham I will conclude by saying—
ParlaMint-GB_2020-09-15-commons.u344	Will the hon. Lady give way?
ParlaMint-GB_2020-09-15-commons.u345	I probably should make headway. I am trying to understand and sympathise with the amendments that have been tabled, but I do not feel that they are in any way needed to enhance what is in the Bill. I urge hon. Members to vote to keep the Bill the way it is.
ParlaMint-GB_2020-09-15-commons.u346	Before I call the next speaker, because a number of new Members are participating in Committee, I remind everybody that Members speak through the Chair, so saying “you” is a reference to me—and I might take that personally. I call Beth Winter.
ParlaMint-GB_2020-09-15-commons.u347	This Tory Government leadership said during the Brexit campaign that leaving Europe would enable the British people to take back control. This Bill does the opposite of that. It is driving a race to the bottom by harmonising standards in a way that gives the UK Government the power to overrule the devolved nations. Experience tells us that this Conservative Government have repeatedly refused to commit to higher standards in legislation, and there has not been negotiation, involvement or informed consent to any of this with the devolved nations While it is important, as the UK leaves the EU, for us to have a system to harmonise standards across the four countries, any internal market legislation should look to do the least possible on a centralised basis and as much as possible on a decentralised basis. In the view of the Senedd in Wales, there already exists a successful regime to form the basis for all future arrangements: the common framework This attempt to harmonise standards throughout the UK is, in fact, an attempt to replicate the EU’s internal market but with some crucial differences. In the EU, dispute resolution is independent and done in a way that prevents bigger members from being able to force smaller states to accept undesirable standards. Under the Government’s proposals for the UK, the opposite will be true, as the Conservatives prefer a mutual recognition principle of harmonising standards, so that the lowest standards legislated for by any of the UK Parliaments must automatically be adopted by all Devolution is not just an abstract concept. It has allowed the Welsh Government and the Scottish Government to develop more ambitious standards and policies than their Westminster counterparts, such as protecting the NHS as a publicly owned service and developing world-leading standards on food, animal welfare and the environment, which are now under threat from the Conservatives’ internal market Bill I am an environmentalist, and I have a great interest in reducing the use of plastics. The Minister for European Transition in Wales, Jeremy Miles, has spoken on this issue in the last couple of days. The Welsh Government propose to introduce a ban for nine single-use plastic items, but the UK Government propose a similar ban on just three of those nine items. The principle of mutual recognition in the UK could mean that Wales will be unable to enforce the ban on the sale of the other six items. The Chair of the Senedd Legislation, Justice and Constitution Committee, Mick Antoniw MS, has stated that it is clear from this Bill that the aim of the Tory Government is “to cement their neoliberal economic and social agenda into the framework of a centralised… state”, and that the Bill shows their “contempt for devolution, the constitution and the rule of law” I agree with him Mutual recognition is a blunt instrument, and it is not clear why this path is the Government’s preference when it renders the notion of common frameworks completely obsolete at a stroke. The Government have previously supported a common frameworks approach. In fact, all four UK Government signed up to that in 2017, although it should perhaps not come as a surprise that the Government in Westminster are prepared to sign things in bad faith. Common frameworks would allow for a genuinely collaborative approach between Westminster and the devolved Administrations, with standards between the nations being harmonised through discussion and negotiation between equals—I stress that point: equals—as opposed to new obligations being imposed on the devolved Governments against their wishes under the new mutual recognition principle.
ParlaMint-GB_2020-09-15-commons.u348	My hon. Friend is making a very strong speech and getting to the nub of this issue. She has explained why we should be concerned about unilateralism. I share her concerns about food and environmental standards. We have also seen this with covid testing in recent days, including in her own constituency—unilateral decisions are being taken at a UK level to reduce testing in Wales, which is having an impact on our constituents. Does she agree that there is absolutely a reason why we are so concerned about the way that the Bill is being put forward?
ParlaMint-GB_2020-09-15-commons.u349	I do, and I thank my hon. Friend for his contribution Labour’s new clause 2 proposes a common frameworks approach. I will be voting for it, and I do not see a valid reason for any Member of the House not to do the same. New clause 2 supports the objective of the Bill—the creation of a UK single market to reduce barriers to trade—while still respecting the principles of devolution, which is supported by a strong majority of Welsh people. Diolch yn fawr.
ParlaMint-GB_2020-09-15-commons.u350	Today we are debating the creation of the OIM. I will try to keep my comments brief and not repeat what has been said. Clauses 28 to 39 set out that the OIM will provide independent and technical advice to the Parliaments—that includes the Westminster Parliament and the devolved Administrations—on any regulation that might damage our internal market. That market is hundreds of years old and spreads from where I live in Cornwall to the rest of the UK, including, happily, Northern Ireland, and that is why we are here today. The OIM is vital to ensuring the integrity of the internal market. We should pay particular heed to the National Famers Union’s comments that the UK’s internal market should operate as effectively as it does now. This body will ensure proper competition and fairness for our businesses, which, I hope will be reassured. I am pleased that the body will have responsibilities and be accountable to this Parliament and all devolved Administrations, so that all parliamentarians, in all of those Administrations, have the opportunities to scrutinise its findings.
ParlaMint-GB_2020-09-15-commons.u351	Does my hon. Friend agree that we should be pursuing a system that supports British jobs for British people, and that is what this Bill seeks to pursue? If we maintain the status quo, we have a system in which EU law intervenes on us and we open our procurement to all manner of companies from overseas within the EU. That does not support British jobs, particularly given that we know that some of these countries have under-the-radar state aid, which is unfair to British companies.
ParlaMint-GB_2020-09-15-commons.u352	I thank my hon. Friend for his comments and agree 100% with what he said. I want to confine my comments to the specific measures we are discussing today. We are here today, with this Bill progressing through the House, for exactly the reason he set out and because of the comments made at the joint committee’s negotiating table, where what I will refer to as a “foreign power”, as the Prime Minister did yesterday, is trying to interfere in our internal market. That is why we are here. While wanting to keep my comments specific, I must absolutely reiterate that point I am hearing what Opposition Members are saying about devolution and their fears that they are being overruled by Westminster, but that is simply not the case from what I have read in this Bill. The advice goes equally to all the devolved Administrations and all politicians get the chance to sit and scrutinise it.
ParlaMint-GB_2020-09-15-commons.u353	Will the hon. Lady give way?
ParlaMint-GB_2020-09-15-commons.u354	If I may, I will make some progress. I wish to talk about similarity with the Committee on Climate Change, which spoke to all the devolved Administrations and gave advice to all of them. From that advice, this Westminster Government have formed the Environment Bill, and I am happy to be serving on that Bill’s Committee—I hope it will sit later this autumn. That Bill is facing very little opposition in this place, because it is what we are calling a “broad framework”, and the semantics can be decided after, in this place and by experts in the field. Although I take a great interest in environmental issues and am passionate about them, I am not an expert and I would not expect to be. I hope that those specifics—the targets and everything else being met by that Bill—will be decided with much input from those people.
ParlaMint-GB_2020-09-15-commons.u355	I do not know whether the hon. Lady is aware that Scotland has more stringent targets on net zero emissions than the rest of the UK. So if there were a conflict over a new project, does she think the Scottish Parliament would simply have to accept a ruling from the OIM and break its own environmental commitments by doing so?
ParlaMint-GB_2020-09-15-commons.u356	That discussion would have to be done on a case-by-case basis. I do not agree that the Westminster Government should overrule and I do not think they are doing so in this case, because we are talking about an advisory body. If the Scottish Parliament does not agree with what it is saying and the Scottish people do not agree with the Scottish Parliament’s view on that, the people of Scotland can change their politicians at an election, as we can elsewhere.
ParlaMint-GB_2020-09-15-commons.u357	I am going to make some progress and will draw my remarks to a conclusion quickly The reason we are here today and why this Bill is having to be put through Parliament is because of negotiating in bad faith at the joint committee. I was so pleased to hear the Prime Minister’s remarks yesterday that if the treaties come into conflict, Her Majesty’s Government will ask for arbitration—I was reassured by that. These are all things that have to happen, have to be said and have to be set into domestic law in order for us to proceed at these negotiations. That is the only reason why we are debating this Bill today.
ParlaMint-GB_2020-09-15-commons.u358	It is a pleasure to serve under your chairmanship, Sir Graham. This Bill is difficult for the Scottish National party. It is offensive to our values, it is not our world view, and it is being introduced in pursuit of a project that Scotland comprehensively rejected. We are engaging in good faith, but we do not consent to this project. Scotland does not consent to the way the Bill is drafted However, I was not sent by the people of Stirling to showboat and walk away, or to grandstand and not try to find solutions. As is typical of all our amendments, we have tabled amendments 28 and 29 in good faith, and to insert into this dreadful Bill the principle of consent from the Scottish Parliament and other devolved Administrations. If we cannot do that, we seek to exempt Scotland from this madness. We are engaging in this process in good faith. We are working within the constitutional reality of the United Kingdom, and by rejecting the amendments, this House will prove, in full view of the people of Scotland, that the constitutional reality of the United Kingdom does not work for us I was sent here to try to find solutions, and amendments 28 and 29 do that. We believe that decisions for Scotland should be made in Scotland. It is a fundamental principle of devolution that, unless reserved to this place, decisions should be made by the democratically elected Parliament of Scotland. That principle was endorsed by the people of Scotland with 74% of the vote in 1997, and those Government Members who are keen on referendums should be aware that they are up-ending a deeply held principle of the people of Scotland As I have said, this Bill is a poor piece of legislation, and it did not need to be this way—that is what I find so frustrating. It is offensive morally, politically, even intellectually, but it did not need to be that way. We are open to negotiation and to frameworks. We respect the fact that we have left the European Union—we regret it deeply, but it has happened. As a solicitor by trade, I accept that a domestic legal construct is needed to replace the single market legislation of the European Union, but it does not need to be this abomination. We could do this better. Our amendments seek to make this bad Bill better. We will still not be keen or in favour of it, but it does not need to be the naked power-grab that it is Part 4 of the Bill seeks to replace 60 years of juris- prudence from the European Court of Justice and the European Commission, democratically overseen by democratically elected Members of the European Parliament, and member state Governments who are themselves democratically elected—60 years of expertise on how the single market and internal competition works.
ParlaMint-GB_2020-09-15-commons.u359	Will the hon. Gentleman give way?
ParlaMint-GB_2020-09-15-commons.u360	Oh please.
ParlaMint-GB_2020-09-15-commons.u361	I’m back. To clarify that point, it is actually the European Commission that oversees the single market, and it is that unelected body that oversees and creates the market framework—[Interruption.]
ParlaMint-GB_2020-09-15-commons.u362	I thank the hon. Lady for that point. In my 15 years at the European Parliament I was always struck by how many unelected bureaucrats had been democratically elected by the people they served. It is great to engage with something that does not quite exist, such as the European Commission that the hon. Lady wishes did exist For those who are against unelected bureaucrats, I suggest only that they consider the reality of the Bill. The Bill replaces 60 years of jurisprudence, overseen by experts in the European Commission and the Court of Justice—be they democratically elected MEPs or democratically elected member state Governments—with a group of people who will be unelected. They will be appointed, but they have not been appointed yet. We do not know who they are. They will be operating a competition policy that has not as yet been revealed by this Government, who are so desperately negotiating with themselves that they cannot tell our European partners what they are trying to do. Those people will be operating with a budget that has not yet been shown to us, and with jurisprudence that does not yet exist. It takes a heroically Panglossian approach to think that that can be created in a matter of months.
ParlaMint-GB_2020-09-15-commons.u363	Could the hon. Member clarify for me how he thinks replacing 60 years of jurisprudence will be terribly difficult, yet replacing 300 years—[Interruption]—will be simple?
ParlaMint-GB_2020-09-15-commons.u364	Order. Stick to the point of the amendments.
