ParlaMint-GB_2020-03-12-commons.u1	1. What steps he is taking to improve bus services in (a) rural and (b) other areas.
ParlaMint-GB_2020-03-12-commons.u348	It is, I think, a pleasure to follow the hon. Member for Glasgow Central (Alison Thewliss), who sits with me on the Treasury Select Committee, which has eight women members out of 11. I think I did detect one thing that she welcomed in the Budget, which was the end of the tampon tax. I was glad to hear one thing that she welcomed The Budget was delivered in truly exceptional circumstances, in the context of a coronavirus outbreak. As we sit here today, the US stock market opened down at its limit again and had to close for the second time this week. This is truly a difficult and challenging economic environment for the Chancellor as he delivers his Budget. I am sure that all colleagues were impressed with the way in which our new Chancellor delivered the Budget. He did so with the confidence that looked as though he had been working all his life to deliver it, whereas he had been in post for only four weeks. It was a remarkable performance that got an exceptional Budget done in exceptional times. It delivered on so many of the promises in our manifesto—promises that the British people voted for last December I have heard a number of people this afternoon reference the unprecedented nature of the coronavirus, and I think everyone has welcomed the measures that were taken in the Budget. They all reflect the fact that this is a temporary situation; we know that it will come to an end, but we do not know when. The measures were also timely, and they were very targeted at those who will be most adversely affected. I think there was a collective agreement in yesterday’s speeches and today’s that the measures were necessary and welcome. They also come against a backdrop that continues to be very distorted in certain fundamental ways in terms of the global economy and in terms of our own economy. It is quite remarkable that this week—on Monday—the two-year bond in the UK switched to a negative interest rate for the first time. Before I came into politics I was a portfolio manager for over two decades, and I never saw anything like this. What is happening on the markets is really quite unprecedented Similarly, since the financial crisis, when the Bank of England implemented quantitative easing and added Government bonds to its own balance sheet, it has not been able to unwind those holdings. It has actually had to increase them over the past decade, holding now some £425 billion-worth of bonds. There are some really fundamental and long-standing distortions on the Government’s own balance sheet. Twelve years on from the financial crisis, the Government still, on behalf of taxpayers, hold shares in RBS. I know that the Red Book says that the Government are planning to reduce those holdings by 2024, but I note that since January the value of those holdings has fallen by half. I would love to hear from the Minister what the plans are for the RBS shares There was also a lot in the Budget statement about the long-term plans for levelling up the British economy, and a lot that we can welcome across the House in terms of long-term infrastructure spending. We all recognise—certainly on the Government Benches—that Governments have no money of their own. They have only the money that they can borrow or the money that they can take in taxation from a productive economy. The growth in public spending that is in this Budget is much faster than the overall growth that is projected in the economy. Government Members all recognise that this is an exceptional response to exceptional circumstances, but we cannot carry on doing that. As the Institute for Fiscal Studies said today: “Obviously, that is not sustainable for any prolonged length of time.” Effectively, what the Chancellor did in the Budget was to say that the money that is going to be invested in the long-term plan—that levelling up, that infrastructure investment—is going to generate a greater rate of return for the economy than the OBR assumes in its forecasts. I can see that in my constituency, where I am campaigning for the redoubling of the Cotswold line, for example. There is a proposal on the table for nine miles of Cotswold line to be redoubled. That has a business case of a 4:1 ratio, so it is clearly something that would be really positive for the local economy. The Secretary of State spoke in his opening remarks about the research and development spending that is in the Budget, and he mentioned that there is a 7:1 ratio for spending on research and development. I can see it in terms of the spending for flood defences that is in the Budget. How valuable that will be for the communities in West Worcestershire that I hope will benefit from it. The same can be said for investment in superfast fibre and improving rural mobile phone signals. This money should receive a greater rate of return in economic growth than is currently forecast by the OBR I have three quick questions in the minute left to me. First, on the £22 billion of public R&D investment and the £800 million specifically for an advanced research projects agency, will it link with what we are doing on defence research budgets through the Defence Science and Technology Laboratory and taking some of those inventions to market through the Ploughshare scheme? What is the vision for those investments? In what sectors will they likely be invested, and how will we measure success over time? Secondly, are we extending the maturity of our debt and taking advantage of these low interest rates? Thirdly, as I mentioned before, what is the plan for RBS Finally, I recognise the exceptional conditions in which this Budget was delivered.
ParlaMint-GB_2020-03-12-commons.u349	It is a pleasure to follow the hon. Member for West Worcestershire (Harriett Baldwin) This Budget is the Government’s attempt to make a turn in the road. Gone are the logic, the rhetoric and the assumptions that have driven UK spending policy for the past decade. If nothing else, it is testament to the Conservative party’s capacity for reinvention and its hunger for power. For the avoidance of doubt, that is not an insult In truth, the Chancellor had little choice but to change course, because the backdrop to the Budget was a flat economy and an anaemic forecast for future growth—that is even before the impact of the coronavirus. Growth estimates are down this year to just a little over 1%, and to around 7% over the next five years. Growth that weak is not levelling up but levelling down. Such weak economic growth leaves the Government no alternative but to fund their spending plans largely by borrowing money in a way that the Conservative party has for years derided as irresponsible and reckless. Add to that the impact of the Brexit path the Government have chosen, which is the defining decision that now dare not speak its name. If the line has gone out from No. 10 not to talk about it, the OBR did not get the memo because it is there in black and white. The OBR estimates a potential loss of 4% of GDP over the next 15 years—lost output, lost income and lost tax revenue The Secretary of State for Business, Energy and Industrial Strategy claims this is the most business-friendly Government ever. In truth, this is the first Government in living memory to relegate economic prosperity to behind issues of sovereignty. That is not a claim from me; it is a policy set out by the Prime Minister and his chief Brexit negotiator In more ways than one, this Budget is just starting to fill a hole the Government have dug for themselves. If low interest rates allow them to borrow for investment, it was also true some years ago when they derided such suggestions. Of course, new investment in infrastructure is welcome and long overdue, certainly in places like the Black Country. We have too many derelict factory buildings, too much unused development land and too much unremediated land, all of it standing as a physical reminder of the lack of investment over the Tory years, but simply calling themselves a new Government cannot disguise the fact that they are amending an investment shortage that they decided on in the first place. As I said, they are just starting to fill a hole they dug themselves Carbon capture and storage has been announced and abandoned almost as many times as the A303 project at Stonehenge, but neither has been announced quite so often as the potholes fund—the Albert Hall should have been well and truly filled by now with those announcements We have heard a lot of this before, and it could and should have started years ago, but it would be complacent of my party to rest on those criticisms alone because this is a shift in fiscal strategy—there is no doubt about that—and responding to it will require more than reaching for the same slogans as before. There has been much talk in recent months about what constitutes a good Opposition. The first step is to oppose the Government and Conservative party we actually have in front of us, rather than the ones we wish were in front of us. When our opponent has adapted, we have to adapt, too. That is something we must do Infrastructure investment is definitely needed, but addressing regional inequality is about people and their life chances. Where they were born, where they live and what kind of family they come from, those things should not limit people’s opportunities and chances to make the most of their life Alongside the bricks and mortar, we need: a deep-seated effort to tackle educational inequality; good quality, affordable childcare to make sure parents can take up jobs; an early-years effort to tackle the appalling development gap that afflicts some children, even by the time they start school; second-chance skill training to equip people for a new labour market and to give them the tools they need to reach their full potential; and the support for social mobility needed to break through the charmed circles that still characterise too many of the professions and too many of the best jobs in this country. If there really is to be levelling up, it is about a lot more than tarmac and concrete; it is about people’s lives and the chances they have. We are still in the early stages of the coronavirus response, and no one can be sure about its health and economic impacts. There is broad cross-party support for the measures announced by the Chancellor yesterday, although we will continue to press for there being no penalty for those who choose to do the right thing, whether they are self-employed, on a non-permanent contract or anything else of that nature That takes us so far, but this is a global pandemic and is now being defined as such. Where is the global leadership in tackling this? Where is the co-ordinated economic response? Where is the concerted effort from world leaders to act together to face a virus that respects no borders? It is hard to escape the conclusion that, had this virus erupted a decade ago, there would have been a will to have a much more international response. With this generation of leaders, with nationalism on the rise and with international institutions and actions having been so disparaged and derided, that will has so far not been there It is not too late. We could lead in calling for that effort. If we do not, we will have to hope that the retreat into national responses does not cost us dearly.
ParlaMint-GB_2020-03-12-commons.u350	I ask for the usual courtesies for maiden speeches, of which we have three this afternoon I call Sally-Ann Hart to make her maiden speech.
ParlaMint-GB_2020-03-12-commons.u351	Thank you, Mr Deputy Speaker, for calling me to give my maiden speech, which is something I have just got to get done I thank the residents of Hastings and Rye for putting their faith in me and the Conservative party by electing me as their representative in Parliament. It is an honour to represent them all, and I pledge to work hard and to serve them all Beautiful Hastings and Rye is a gem of a constituency that has a huge amount to offer residents, visitors and tourists alike. We own history. We have an abundance of natural attractions found in our beautiful beaches and glorious countryside. We have a wealth of historic towns, buildings and gardens, and we have world-renowned festivals—including our piano festival—art galleries, vineyards and attractions such as the Source skatepark, the biggest in Europe. We are proud to have hosted the world crazy golf championship since 2003. We have amazing communities of churches and volunteers, which reach out to help our most vulnerable and in need We have one of the oldest beach-launched fishing fleets in the country, dating back more than a thousand years, which must be preserved and, more importantly, allowed to flourish as we leave the EU. Regaining control of our waters will re-establish and strengthen the heart and soul of Hastings and Rye and all our fishing communities from John O’Groats to Land’s End Tourism plays a significant role in the local economy, supporting nearly 30% of local jobs. The local councils work hard together with local businesses and community groups to be innovative in boosting the tourist, arts and culture offer. There is huge potential for growth, and as we leave the European Union the Government must continue to focus on initiatives and measures that will maximise tourism’s contribution, not only for Hastings and Rye’s rural coastal economy, but for the UK as a whole We have a number of successful manufacturing businesses, particularly in the vacuum engineering and defence sector. Economic growth outside the tourism sector must be a priority, as the constituency continues to suffer from poverty. Hastings is failing to thrive, despite significant sums of money being invested. The constituency may be in the affluent south-east, but it is one of the most deprived in the country Yesterday, the Chancellor praised a Scot, John Logie Baird, for inventing the television, which he did—in Hastings, the birthplace of television. That sense of creativity, innovation and dynamism has never left the town. There is so much talent waiting to be unleashed, but there is a lack of investment, confidence, aspiration and hope—something that I am determined to change. We must develop opportunities for all to excel. As such, I was proud to stand on a manifesto commitment to level up When it comes to education, skills and qualifications, we are in the bottom five of the most unqualified, unskilled populations. We have a duty to improve the quality and breadth of education. Education is fundamental in unlocking the potential of Hastings and Rye, to support and encourage economic growth. Continued investment in primary school education is necessary to give our children the best start in life. Secondary education is not just about academics. We need to offer the best technical and vocational training to improve the chance and quality of employment for more of our young people, making them nationally and globally competitive We also need to provide better education and support for people with special educational needs and disabilities to enable them to access work experience and employment and to be properly paid for the jobs they do. Giving them the support they need must not be something their families have to fight for; it must be a given Family, however comprised, is the single most important influence in a child’s life. I say that as a wife of 27 years —I thank my lovely husband for coming to support me today—and as a mother of three adult children. All children thrive in loving, secure families, but some families need help, support and extra resources and we have to focus on early intervention and prevention. We have not placed enough value on the role of family life and I am determined that that will change Looking back at the maiden speeches of my last four predecessors in Hastings and Rye, I saw that they all highlight the necessity of improvements to the A21, known locally as the “snail trail” from London to Hastings, as an essential prerequisite to economic development in the constituency. Although I welcome the Chancellor’s announcement on investment in our roads, I am standing here nearly 50 years later, making the same point as my predecessors: to have any chance of levelling up opportunities in Hastings and Rye or of unleashing the potential of our residents and businesses, this Government need to invest in the A21 and in the local rail and bus transport infrastructure. A good transport infrastructure platform combined with a skilled local population will encourage existing businesses to grow and new businesses to start up, boosting economic growth in Hastings and Rye and combating poverty. As such, I will be raising this point at every possible opportunity until a solution is found I would like to pay tribute to my predecessor, Amber Rudd. Amber was elected in 2010 and built a reputation locally for being a hard-working MP. She secured improvements to rail times and progress on electrification. She is particularly proud of her ARSE—the Amber Rudd seaside express, the first ever almost-direct Hastings to London commuter train. She also secured the link road and investment in infrastructure and skills to help local people into work and better paid careers I am Geordie born, with Scots and a touch of Northern Irish blood coursing through my veins, representing the East Sussex constituency that I am proud to call my home and where I have raised my family. As such, I hope this blend can be the best of British. Our Union is precious, our one nation. Our freedom and independence come from our departure from the EU. This is our time; let us grab the opportunities together and make this kingdom united and our Britain great.
ParlaMint-GB_2020-03-12-commons.u352	I congratulate the hon. Member for Hastings and Rye (Sally-Ann Hart) on a confident and optimistic maiden speech. She certainly has very big shoes to fill, but from what we have just heard I feel confident that she will do a fantastic job of representing her constituents. I had the pleasure of spending new year in Hastings and Rye a couple of years ago, and I now regret that I did not hitch a ride on the Amber Rudd seaside express. I could recognise in everything the hon. Lady said what a fantastic place it is, and they are lucky to have a fantastic new MP. I was particularly pleased to hear the hon. Lady refer to children with special educational needs, because they need everybody to give them the voice that they otherwise would not have. I look forward very much to the hon. Lady’s future contributions to debates in this Chamber I will move on to the matter at hand. My right hon. Friend the Member for Hayes and Harlington (John McDonnell) was right to focus on the social crisis we face in this country. In that light, I would like to take a moment to consider the impact of the Budget on people with mental ill health. This Government regularly talk about helping this group of highly vulnerable people, without following up on their words Although it is right that the Chancellor has focused this week on tackling the immediate threat of coronavirus, the measures he has put in place are necessarily temporary. Many people with mental ill health face long-term challenges that temporary measures will not alleviate. The Government are speeding up the payment of benefits, including statutory sick pay, to people unable to work because of coronavirus, and that is the right thing to do, but for thousands of people with mental health problems, the benefits system pushes them further away from work. The roll-out of universal credit, ignoring the major failings during the pilot stages, has pushed many people with mental ill health into poverty and deeper mental health crises. A five-week wait for the first payment, and insensitive assessments, to put it mildly, in which people who are mentally vulnerable are forced to recount in detail examples of trauma and even attempted suicide, can easily worsen their health conditions and make them less capable of work. There is nothing in this Budget to tackle any of the root causes of that After years of NHS underfunding, mental health campaigners including Mind and Young Minds have been calling for greater levels of investment, but there was no mention in the Budget of investing in the wellbeing of NHS staff who are leaving in droves because of unimaginable stress and workloads. And there was no mention of investment in the crumbling and unsafe facilities people with mental health problems have to use. Indeed, two thirds of mental health trusts estimate that they need between £50 million and £150 million extra in capital investment over the coming years. How much longer can we go on putting people with mental ill health in mixed-sex wards that leave patients at risk of sexual assault, or leaving patients who are at risk of suicide where they cannot be properly supervised because the facilities are inappropriate In December 2018, Professor Sir Simon Wessely completed his independent review of the Mental Health Act 1983 and made recommendations for improving that legislation and the services that follow on from it. Fifteen months later, there has still been no response from the Government to that important review, despite a string of Ministers championing the review from the Dispatch Box. While we wait for a formal response, we also wait for the funding to match, but we heard nothing at all about any of that in the Budget. The Government must not forget people with mental ill health. They should be investing in staff recruitment and training, high-quality facilities, and the support people need to live the independent, fulfilling lives that they all deserve to lead I would like to take a moment to look at the continuing inappropriate use of violent restraint against patients with mental ill health. This House unanimously passed my private Member’s Bill, Seni’s law, in November 2018. The Bill establishes a new system aimed at reducing the use of restraint and eliminating deaths in mental health custody of the kind experienced by Seni Lewis and far too many others. Seni’s law won unanimous support, in all parts of the House, yet 16 months later the Government have still not announced a commencement date, despite originally promising that we would have it within six months of the legislation being enacted To people with mental ill health, it looks like the Government just do not consider them a priority. I am aware that the Under-Secretary of State for Health and Social Care, the hon. Member for Mid Bedfordshire (Ms Dorries), who is responsible for mental health, is self-isolating with coronavirus, and I wish her a speedy recovery, as I am sure we all do, but that does not excuse the months of dither and delay that have held up the important provisions of this Act coming into force. I hope that the first thing she will do when she has recovered and is back at her desk is give us a commencement date for Seni’s law. It will not even cost the Chancellor a penny to do it This Budget is a missed opportunity for people with mental ill health. The Government keep saying that mental health is a priority, but the funding does not follow the rhetoric. I hope the Chancellor will reflect on serious omission in the Budget and work with his colleagues across government to make mental health services, and the people who rely on them, the priority they need and deserve to be.
ParlaMint-GB_2020-03-12-commons.u353	I am very pleased to call Andy Carter to make his maiden speech.
ParlaMint-GB_2020-03-12-commons.u354	We are, I think, drawing to the end of maiden speech season. Over the past few weeks, I have heard, and seen, many hon. Friends give very moving speeches, speaking with incredible passion for their constituencies. Indeed, I have learned much about the lives and places across these isles. I congratulate my hon. Friend the Member for Hastings and Rye (Sally-Ann Hart), who talked so warmly about her constituency I wish to begin by paying tribute to my predecessor, Faisal Rashid, who represented Warrington South for only a short period, arriving in this place in 2017. Before becoming a Member of Parliament, Faisal made history in Warrington by becoming the borough’s first Muslim mayor, and I thank him for the work he did to forge relationships between different communities in Warrington I am the third Member of Parliament since 2010 for Warrington South, and, if I may, I would also like to pay a brief tribute to David Mowat, who represented the area for seven years from 2010. David was an excellent constituency MP who did many things in this place to change the lives of Warringtonians. I really saw that when I was campaigning. During the election, I was knocking on people’s doors and they told me that they would like to vote for him. Fortunately, I was able to convince them that it was me they needed to vote for. David was also a very effective Health Minister, and I thank him for the advice and guidance he has offered. I also wish to express my thanks to the Warrington Conservative Association for all its support in getting me to this place Having thanked my political predecessors, I want to show my love and appreciation to my family for giving me the space and opportunity to turn a political interest into a fully-fledged obsession: to my wife Aggie, who keeps me grounded with questions as challenging as any I hear on the doorstep; to my son Harry, who this season gave me permission to miss the occasional Saturday morning under-12 Appleton boys football match so that I could go knocking on doors; and to my mum and my brother Richard—thank you for your love and support. By the way, I checked this morning and the Appleton FC U12 Pythons are at the top of their league. They are having a pretty impressive season and promotion beckons, and I thank the parent coaches for the work they do to support the boys and girls at Appleton football club I may not have been born there but I am really proud to say that Warrington is my hometown. We are at the very centre of the north-west, both geographically and economically. When I am describing where my constituency is, I say, “Well it is in the golden triangle of the M6, M60 and M56 motorways, equidistant between Manchester and Liverpool, on the route of the west coast main line.” We hope it will be on the route of the new Northern Powerhouse Rail line. Warrington Bank Quay station would be a fantastic hub for rail in the north-west—something that I look forward to discussing with the Minister of State, Department for Transport, my hon. Friend the Member for Pendle (Andrew Stephenson), in the coming weeks It is not just roads and rail in Warrington—we have got water too. We are on the banks of the Mersey and crossed by the country’s first canal, the Bridgewater, and we have the engineering miracle that is the Manchester ship canal. Anyone who lives in Stockton Heath, Walton or Latchford will tell you how gracefully, and slowly, a fully-loaded cargo ship passes through the swing bridges, as traffic comes to a halt and we all gaze at the ocean-bound vessel as it moves through the town centre, a good 20 miles from the sea We are incredibly lucky to have lovely Cheshire villages: Grappenhall, with its stone cobbled streets, and the original Cheshire cat carved into the stone on St Wilfrid’s church tower; and tranquil Lymm Dam, home of “The Bongs”—wooded banks, in Cheshire dialect—a favourite for dog walkers and nature lovers. We have our famous golden gates, recently given a new lease of life and looking splendid in front of the town hall. We have Great Sankey and Penketh, once part of Lancashire, to the west of the town, with the latter home to the dominating, but soon to be demolished, Fiddlers Ferry power station One thing people notice when they step off the train at Warrington Bank Quay is a smell; for 136 years, Warrington has been home to washing powder. We have produced the powder that keeps the country’s clothes clean. Soap-making history dates back to the 1750s, when Joseph Crossfield and Son opened a small works. Sadly, that is coming to an end, as Unilever has just announced the closure of its plant, bringing an end to manufacturing in the town, and I offer my thoughts and support to the 123 people who, this week, have found out that they are losing their jobs That said, Warrington South is seeing tremendous renewal. It is an area that has changed, in some cases beyond all recognition, with new homes built. We have Chapelford, a new urban village, which was once RAF Burtonwood. We have business parks such as Lingley Mere, home to big employers who are making the most of our fantastic location. For some, the prospect of too much change is a genuine concern, and I share the view of many of my constituents on the need to maintain the green space while taking every opportunity to regenerate areas of our town centre I have had a few weeks to think about what I might like to mention in my maiden speech, and being able to take this opportunity to do so during the Budget debate gives me great scope to talk about the role that small business plays in our economy and the impact that some of the decisions the Chancellor made yesterday will have on families in my constituency and across the country. Before I do that, I want to briefly mention an area in which I have been involved and that I hope I can champion here, too The UK needs advanced technical skills at all levels if we are to prosper in the 21st century. We need a workforce that can develop new products, stretch and reuse existing resources, and meet the challenges of the future. Through creativity and innovation, investing in our schools and developing better links with employers, we need to generate the skills for the future. That must be part of our thinking Let me turn to the Budget. As someone who was, until recently, running a small family business, many of the announcements made yesterday resonated with me greatly. My constituency has some of the highest levels of new start-ups anywhere in the UK—successful businessmen and women who are willing to go it alone, working to support not only their own family but the families of their employees Small and medium-sized enterprises account for three fifths of all employment and around half of turnover in the UK private sector, so getting the landscape right is vital. Increasing the business rate retail discount to 100% for the next year, and its expansion to the leisure and hospitality sectors, will benefit our town centres For many self-employed homeworkers, the delivery of the next generation of broadband cannot come soon enough. I welcome the record £5 billion funding commitment to support gigabit-capable broadband I conclude by mentioning an area that is on the fringes of Warrington but offers much employment to my constituents: Daresbury science park, which has developed into a brilliantly innovative campus with an incredibly bright future. As the Secretary of State said earlier, the Budget promises more investment into high-risk and high-reward science. At Daresbury, they are pioneering big-data analytics and artificial intelligence, with the potential to create a further 9,000 jobs over the next 15 years. I am particularly pleased to see the additional £400 million promised for the forthcoming year for research, infrastructure and equipment I urge Ministers to look at the golden triangle of Warrington as a place to invest. When Warrington wins, we all triumph. When our nation climbs, as it will with this Budget, we all soar.
ParlaMint-GB_2020-03-12-commons.u355	It is a privilege to follow the hon. Member for Warrington South (Andy Carter) and to congratulate him on a warm and confident maiden speech. I welcome his generous tribute to Faisal Rashid, not only for his brief period in the House but his work as mayor and local councillor before that. The hon. Gentleman is right to highlight the potential of Daresbury science park in particular. The House will look forward to hearing much more from him in the years ahead The Financial Times pointed out this morning that yesterday marked the end of the Tory promise to eliminate the deficit. For a large part of the past decade, ending the deficit appeared to be the Tories’ raison d’être, but we cannot blame the current Chancellor for concluding yesterday that his Tory predecessors’ policies on the deficit had comprehensively failed and that the result has been, to quote the Chancellor yesterday, “a decade-long slowdown in productivity.”—[Official Report, 11 March 2020; Vol. 673, c. 282.] In what was a remarkable phrase, the Chancellor told us yesterday that his was a plan to “fund…our future prosperity.” I have never heard any Chancellor previously claim that we could spend our way to prosperity, but that is precisely what many Members on the Conservative Benches used to accuse Members on the Labour Benches of believing. It is now apparently official Tory policy. Repudiating past Tory policy is no bad thing, though, and I wish to welcome a number of the measures in the policy area of the Work and Pensions Committee, which I chair I warmly welcome the wider availability of statutory sick pay; the faster access to employment and support allowance; and the £500 million hardship fund for disbursement by local authorities, which recognises, as I suggested in my intervention earlier during the excellent speech of my right hon. Friend the Member for Hayes and Harlington (John McDonnell), the need for central Government funding to replicate what the old social fund used to do until it was abolished by the coalition I welcome the changes on universal credit. The suspension of the minimum income floor means that self-employed people whose income takes a hit will get at least some extra help from universal credit. The truth is, though, that the minimum income floor should not be there, and there is a strong case for making its suspension permanent I also welcome the reduction in the maximum rate of repayment of advances, and the longer period of repayment, although those measure will take effect only from October next year As my hon. Friend the Member for Croydon North (Steve Reed) said, the Budget did not address the fundamental problems with universal credit. Research by the Trussell Trust has found that people on universal credit are two and a half times more likely to need help from a food bank than people in otherwise similar circumstances who are still on the legacy benefits. That is a remarkable statistic that underlines the scale of the problems that universal credit is causing Even more startling is the article this month in The Lancet. I do hope that Ministers will weigh very carefully the dry academic prose in that article, which concludes that up to the end of 2018: “An additional 63,674 unemployed people will have experienced levels of psychological distress that are clinically significant due to the introduction of Universal Credit” It goes on to suggest that over one third of them “might reach the diagnostic threshold for depression.” About one quarter of those ultimately expected to be on universal credit are on it at the moment. The Government say that the rest will be on it by the end of 2024. The Office for Budget Responsibility yesterday expressed its traditional and well-founded scepticism about that timetable, and suggested it is likely to take two years longer than the Department for Work and Pensions says. Given that the harm being caused by universal credit is so well documented, I do not think it is viable for the Government simply to press on What is it about universal credit that is causing such hardship? I think it is the delay—never before a feature of the social security system—of five weeks between applying for benefit and being entitled to payment. That is why the Select Committee has made it the subject of our first major inquiry. We want to work closely and constructively with Ministers and the Department to identify workable and affordable solutions to what is, incontrovertibly, a very serious problem I want to make one final point. One of yesterday’s Budget’s few revenue-raising measures was the increase in the immigration health surcharge. One might think that this is about increasing the charge to tourists coming to the UK to take advantage of the NHS, but it is not. It is a major burden being imposed on a large number of modestly paid working families, a large number of them in my constituency, and I cannot see how it can be justified. These are families who are settled in the UK, often with children who have been born in the UK, and who are on the 10-year pathway to indefinite leave. They are given leave to remain for two and a half years at a time. They are paying their taxes, like everybody else who uses public services, but every two and a half years they have to pay thousands, on top of their taxes, in visa charges, and now they will have to pay even more through this immigration health surcharge. They have already paid tax and national insurance. How can these swingeing additional charges be justified?
ParlaMint-GB_2020-03-12-commons.u356	It is a great pleasure to call, to make his maiden speech, Mr James Grundy.
ParlaMint-GB_2020-03-12-commons.u357	Thank you, Madam Deputy Speaker. It is a great pleasure to speak in this Budget debate, and I do so as the first Conservative MP representing Leigh since 1880—140 years ago. The last Conservative representing Leigh to speak in a Budget debate was Richard Assheton Cross, who was Benjamin Disraeli’s Home Secretary. I cannot promise to match during my time here his impressive achievements—or indeed his impressive beard To speak of a more recent incumbent, it is only right that I pay tribute to my predecessor, Jo Platt. I think I might have made history by being the first person to apologise to a defeated opponent in a victory speech, because Jo is genuinely lovely. I have known Jo since she was elected to Wigan Council in 2012, for the Astley Mosley Common ward, and I cannot ever recall a bad word passing between us. I am sure the whole House will join me in wishing her well I should also like to pay tribute to Andy Burnham, who did so much to help the families of the victims of Hillsborough. He also, much to his credit, spoke generously about the role the former Prime Minister, my right hon. Friend the Member for Maidenhead (Mrs May), played in resolving that matter Leigh is a proud northern town with a strong local identity, rooted originally in coalmining and textile manufacturing. Indeed, my own family worked in those mills and mines several generations ago, and I am proud to say so. Though the mines and mills are long gone, the proud identity remains, and it is my firm belief that we can again become a prosperous and wealthy town if this Government invest in and deliver for the north. And I believe they will—I intend to make sure of it I welcome the creation of the £4.2 billion local public transport fund, and I particularly welcome the commitment to improve transport links between Liverpool and Manchester, as my constituency lies almost exactly halfway between those two great cities. It is long overdue. On that note, I do hope that funding can be found to reconnect Leigh to the national rail network, with a new station at Kenyon Junction—the first railway junction to be constructed in the world. Furthermore, the good people of Golborne would dearly like to see their station reopened. I welcome the commitment to spend £700 million on new strategic road schemes, and hope that money can be found to complete the Atherleigh Way bypass to ease the terrible congestion affecting the whole constituency, but in particular the town of Atherton and my home village of Lowton, where at Lane Head the poor air quality can at times reach levels worse than parts of central London. As the Prime Minister might say, we need to get bypass done I welcome the proposals to push for the development of brownfield sites. For too long, Wigan Council has sought to develop precious greenfield sites in the teeth of opposition from local residents. It is time to regenerate our town centres, and I think that the Chancellor’s decision to exempt businesses with a rateable value of £51,000 or less from business rates will be a massive boost towards reaching that objective. There is much more that needs to be done to bring Leigh town centre up to scratch, but this will be of great assistance Leigh is the town that invented the spinning jenny, helping to kick-start the industrial revolution. When people go shopping at Leigh market or go to the pub to celebrate the victories of the greatest rugby league team in the borough of Wigan—Leigh Centurions—they should be able to do so in a town centre they can be as proud of as any other in the north. I appreciate that I may have upset several Opposition Members with that comment, particularly the hon. Member for Makerfield (Yvonne Fovargue). She may be willing to intercede on behalf of a team that begins with a “W”, but I remind her that, while it is indeed an excellent team, Warrington does not lie within the confines of the borough When the Chancellor eventually visits for a drink to celebrate a victory by Leigh Centurions—made all the sweeter by the freeze on beer, wine and spirit duties—I do hope that he might visit via Tyldesley, which I hope, in years to come, will be the location of a line connecting Leigh to the excellent Metrolink system, which in due course would be a natural upgrade to the existing guided busway. While in Tyldesley, I hope that the Chancellor will visit neighbouring Astley, home to the Lancashire mining museum, which features the last standing pithead in all of Lancashire. I am sure that he agrees that such places are a vital part of our cultural heritage and must be preserved And now, I shall ask the Chancellor not to spend money on something: the Golborne spur of HS2, which affects thousands of people in my constituency, including my own family. As the Secretary of State said, it would cost between £2 billion and £3 billion, while delivering very little for that amount of money. There we go, I have just saved the taxpayer between £2 billion and £3 billion—not bad for my first speech I suppose I had better bring my speech to an end, for as I have set out my perfectly reasonable list of demands I have noticed the Treasury team turning an increasingly ashen hue. I reassure them that I am not an unreasonable individual. I do not expect everything I have asked for—not at once, anyway. To quote a former Chancellor, I have a “long-term economic plan” for my constituency of Leigh People across my constituency welcomed the Chancellor’s Budget yesterday. Let it be the first step towards restoring prosperity to towns such as Leigh, and delivering on the promises we made to those who voted for us—many for the first time in their lives. May the votes they have lent to us be treated with a lasting legacy—a legacy worthy of the name.
