ParlaMint-GB_2020-11-17-commons.u1	What steps his Department is taking to increase covid-19 testing capacity.
ParlaMint-GB_2020-11-17-commons.u297	My right hon. Friend is making an important point, and there is clearly friction on this side over what we see as the crux, but does he accept that the United States and Australia—two free-market nations—will have significantly tighter restrictions after this Bill than we will, and does that concern him?
ParlaMint-GB_2020-11-17-commons.u298	Of course we should look at the example of other countries; I am sure we will do so during the course of the Bill. However, I would say to my hon. Friend that those two countries are very different in their markets and the size of their economies. The pool of capital that is available to start-up companies in the US is vastly greater than it is in the UK at the moment, although I hope that will change, for reasons that I will go on to discuss. Australia, conversely, is a much smaller economy, which does not have the network of policy regulatory innovation that we have We have been a leader; that is our international reputation, and one reason that transactions are conducted in this country is the confidence in our rule of law. We should emphasise and champion that, rather than feeling compelled to follow what other countries are doing in their entirety. Our policy—our industrial strategy—must be to make Britain an even more attractive place for innovative companies to be founded and to stay—not because they are compelled to do so, but because the environment that we provide, in terms of scientific research, educated and trained people, the availability of capital at every stage in their development and the public policy environment make it an attractive place for them to want to be Neither must our regime establish, in my view, a list of countries that cannot invest at all in the UK. The test must genuinely be about national security. That is very appropriate. China has been mentioned already in these discussions, and of course it is right and proper that the national security concerns that the House has about China should be reflected through this regime, and these powers are important for that. However, when I was sitting in my right hon. Friend the Secretary of State’s place, I fought hard to save, for example, British Steel in Scunthorpe, Skinningrove and Teesside. The Chinese steelmaker that bought the company, Jingye Group, is essential to the employment of many tens of thousands of people across the north and the east of England, and more in the supply chain. From my recollection, there was no intellectual property vulnerability in terms of its operations. Indeed, the retention of that substantial steelmaking capacity has enhanced our economic resilience, whereas losing it would have seen us relying on imports. I might say the same for Geely, the owner of the London Electric Vehicle Company, which my hon. Friend the Member for Stratford-on-Avon (Nadhim Zahawi), being a west midlands MP, will be familiar with, and which gives valuable jobs to many people.
ParlaMint-GB_2020-11-17-commons.u299	My right hon. Friend is making a very good case for why it is important to look at each investment in its own right. Geely, which bought the London Taxi Company, produced electric vehicles and now exports them to the Netherlands and France while continuing to manufacture in Coventry, is a good example of why that is so important. Does he agree that it is simply not good enough for this country to say, “China is Communist and we will not accept Communist investment, and therefore we will not accept Chinese investment.”? We must be a great deal more sophisticated and open than that.
ParlaMint-GB_2020-11-17-commons.u300	I would say to my hon. Friend that the Bill’s focus on national security is absolutely right. We should have a beady eye on national security, with substantial powers, as my right hon. Friend the Member for Chingford and Woodford Green (Sir Iain Duncan Smith) said, to enforce that. I think the Bill has it right in its focus on national security The Committee that examines the Bill will need to consider in detail some of the provisions of the Bill as it is presented on Second Reading. It is essential to provide investors and UK firms with a sense of predictability and confidence, but that can be undermined if the law has administrative consequences that are unintended and not provided for. For example, there are strong reasons to think that there may be a deluge of notifications, as the hon. Member for Dundee East said, when the new unit in the Department is set up, and it must be geared up to handle that right from the outset The prospect of five years’ imprisonment for directors and fines of 5% of turnover, as my right hon. Friend the Secretary of State commends, for failure to notify under a mandatory regime within sectors defined as broadly as communications and transport is, in my view, likely to lead to many small transactions being notified under the voluntary regime for peace of mind regarding those very strong sanctions against an inadvertent breach. It is an enormous challenge for the Department to set up a new unit, especially since the current regime—or the previous one, since the powers are live—has dealt with a very small number of transactions each year As Secretary of State, I reduced the turnover threshold for review from £70 million to £1 million only two years ago. This Bill contains no de minimis threshold, and I will be interested to see during the passage of the Bill evidence of why a zero de minimis threshold is necessary, especially when the definition of technology assets extends to “ideas, information or techniques”, which is very broad. This could result in a very large number of very small transactions being notified defensively Even if businesses are confident that they will not be covered by the mandatory notification requirement, the advantages of voluntary notification and clearance, with its exemption from the five-year look-back, may prove to be very attractive and very important in baking in the approval of a transaction against reversal more than five years in the future. It is clearly the ambition of the right hon. Member for Doncaster North to add further public interest tests. As we approach the general election, it may well be attractive, as a defence against the action of future Governments, for companies to notify even when they do not have to. It is very important that the Department is geared up for that Much of the Science and Technology Committee’s work in recent months has been concerned with the nation’s response to the coronavirus. If we can learn one lesson from that—for example, from problems with the test and trace system—it is that, to have public confidence, we need to properly anticipate demand and to set up to meet it from the outset. If that demand is not supplied, public confidence, which is crucial for investment, will be undermined.
ParlaMint-GB_2020-11-17-commons.u301	Does not the coronavirus provide us with another lesson, which is that Government historically have not been terribly good at assessing risk and modelling the response to it? I say that as a former Minister, like my right hon. Friend. I was always surprised, in all the Departments I served in, at how little time is spent on modelling outcomes of the kind we are now enduring.
ParlaMint-GB_2020-11-17-commons.u302	My right hon. Friend is right. To look ahead, we need to develop the capabilities to do that, and for a unit in the Department that previously did not have that responsibility—it was with the CMA, advised by others—that is a steep learning curve The foundational feature of the UK’s commercial reputation in the world is a place where people and businesses all around the world can be confident in investing. That derives in no small part from a public policy regime that is rational, stable and rigorously and efficiently administered. We should continue to aspire to take a global position of leadership in this area, so I welcome the focus of the Bill and its ambition to bring our arrangements up to date. I look forward to helping ensure that we can be proud of the Bill and see it as a contribution to our continued reputation for having the highest standards of corporate government and investment security in the world.
ParlaMint-GB_2020-11-17-commons.u303	Before I begin my remarks, I should declare my interests as chair of the all-party parliamentary group on technology and national security and the parliamentary internet, communications and technology forum APPG, whose members will no doubt have interest in the Bill; as the chair of a global network of legislators interested in artificial intelligence regulation called the Institute of Artificial Intelligence; and lastly, in my capacity as Chair of the Business, Energy and Industrial Strategy Committee, I have had discussions with the management of ARM, its founder Hermann Hauser and the CEO of Nvidia about the proposed takeover I support the Bill and thank the Secretary of State for briefing me on its contents last week. The ability to scrutinise foreign investment and to intervene when there are national security interests is not only a critical function of the state but an increasingly important one, given the impact of technology and data on every part of our economy and our infrastructure, and the use of that avenue to cause harm to Britain’s interests. It is on that basis that we should have a robust scrutiny function, but it should also be finely balanced with the transparent, clear and pro-investment framework brought forward under this Bill. I agree with other colleagues around the House that, by international standards, Britain has been a bit of a laggard in recent years in bringing forward a robust foreign investment regime, and that is why we support the Bill, but I have a few questions today, which I hope the Minister might try to answer in summing up First, on the definition of sectors, the 17 sectors identified include some dual-use functions such as quantum computing, which at this point in its development seems obvious and indeed is in line with the recommendations of the Science and Technology Committee inquiry into quantum computing in the last Parliament, when I was a member of that Committee. However, as has been noted, other sectors are identified merely as “artificial intelligence” or “energy”. Artificial intelligence, for example, is a general purpose technology that will increasingly apply to every aspect of our economy, so how we ensure robust and clear definitions will clearly be important It has been noted that there is a risk under the Bill of over-reporting as an insurance policy. I wonder whether lessons could be learned from other regulators—for example, by introducing regulatory sandboxes within the units in the Department where interested individuals might be able to come to set forward in advance the transaction and get some initial advice on whether it falls within the definitions. If it does not, I think there will be a risk of over-reporting, but also of court cases that dispute the definitions, which, in their own right, can be fairly limited in statutory instruments and will probably not apply to every circumstance. I reaffirm the comment from the Opposition Front Bench on engaging with Parliament on the sector definitions under the statutory instruments—and not just with Parliament as a whole but with the relevant Select Committees, including my own. I also note the interest of my hon. and right hon. Friends from the Science and Technology Committee, the Foreign Affairs Committee and the Defence Committee in this matter Secondly, on the definition of national security, there has been some debate in advance of the publication of the Bill on whether the Government were intending to go beyond national security and to look at broader economic or jobs-related issues. As my right hon. Friend the Member for Doncaster North (Edward Miliband), the shadow Business Secretary, said from the Dispatch Box, we think that there is some legitimacy to Ministers having a right to intervene when, for example, a major employer or a sector that is strategically crucial to the British economy is under threat from a legitimate overseas acquisition that could have an impact on British jobs or British industrial capacity. I welcome the comment that this is a broader industrial strategy conversation and note the Department’s intention to rewrite that, as previously advised before Christmas, although it will presumably now take longer. I look forward to that broader debate, but I agree with colleagues on a cross-party basis that at least some legal structure around the definition of national security would be helpful, for reasons I will come on to later Thirdly, this is not just about mergers and acquisitions; as the Government’s Project Defend assessment has shown, there are very long supply chains relating to critical national infrastructure, through which components are sourced from companies in jurisdictions about which Ministers might legitimately have national security concerns. I would be interested to hear whether Ministers plan to expand the scope of the Bill or bring forward other legislation in future to deal with supply chain intervention, in addition to or alongside merger and acquisition issues I also note that while clause 7 of the Bill covers all the corporate vehicles such as limited liability partnerships, trusts and limited companies, it excludes individuals. This is probably very limited, because individuals would not want to take on the liabilities of buying big companies, but I am sure there are potential cases where individuals will buy intellectual property or assets in their own individual right, whether it is a licence to intellectual property or actual property, as my right hon. Friend the Member for North Durham (Mr Jones) mentioned, and they would fall out of the scope of this Bill. I would be interested in the Minister’s view on that Fourthly, the application of the Bill applies from the date of presentation, not from the date the Bill becomes law. It would be useful, given that this is now the regime in the UK, for the Department to set out what current takeovers will be subject to it. Colleagues have mentioned the ARM-Nvidia takeover, which of course is important to the British economy. I understand from press reports that the Department has not felt able to confirm whether that will be subject to this legislation, but I think it would be in Ministers’ interests to be quite clear about that Equally, I would stress again the comments from the Opposition Dispatch Box about the length of retrospectivity. Five years seems a very long time, and I would be interested to understand why a period of five years has been adopted by the Government. One of the attractive natures of the British economy is our policy stability and the way in which the rule of law functions, and I share the concern that five years is a long time. There could be a change of Government, a change of Ministers, a change in leadership in the unit in the Department or a change in the view on national security that could start to unwind a transaction many years after it had gone through. Ministers need to consider that carefully Fifthly, we are still waiting for confirmation of the Government’s intentions for our post-Brexit competition and state aid policy regime. Ministers have been quick to table statutory instruments to say that the European regime will not apply from 1 January but have not yet set out what will. The Bill is implicated in that process. It is the start of a post-Brexit state aid and competition policy. If the Minister feels able to give us a bit of a glimmer in his closing remarks about when the details of our post-Brexit competition and state aid policy might be published, I would be grateful. Lastly, I am not entirely clear what the assessment process is under the Bill. In previous examples, such as the hostile takeover of GKN by Melrose, in which I declare a constituency interest, the national security assessments were undertaken by the Secretary of State for Defence and, perhaps for fair reasons, were done without much oversight or transparency. Given that all those sectors will now be subject to national security assessments, will it be the Ministry of Defence, the Department for Business, Energy and Industrial Strategy, the intelligence services or another body that undertakes them? It would be useful to have some transparency about who is making the assessment and how the Secretary of State will ultimately balance very difficult decisions In sum, I will support the progress of the Bill. I share some concerns about the speed and why it has been brought forward so quickly, and I reiterate my point about the statutory instruments, therefore, being an important part of parliamentary scrutiny when they are introduced. I hope that Ministers will engage fully in the consultation process with stakeholders to ensure that the new framework is not only fit for purpose but gets the crucial balance right between national security concerns and maintaining Britain’s leadership as a pro-investment economy that fits with our broader regulatory position post Brexit.
ParlaMint-GB_2020-11-17-commons.u304	I start, as many other hon. Members rightly have, by paying tribute to the ministerial team and the team of civil servants for their consultation on the Bill with not just Members of this House, but the wider business community. It is a hugely important Bill. When, no doubt, some of it becomes an Act, we will all be living with the consequences, which are difficult to imagine in a fast-changing world in which technology is evolving I welcome enormously not just the consultation that the Secretary of State has already contributed to, and which he has welcomed, but that which he has also invited, because that is a really important part of the next few weeks and months. It shows wisdom and extreme judgment to make sure that the Bill survives contact with the enemy I welcome the fact that the Bill has been crafted to recognise the competition that we are seeing increasingly between states. The Minister in his place, my hon. Friend the Member for Stratford-on-Avon (Nadhim Zahawi), as a former member of the Foreign Affairs Committee, knows only too well what we are seeing around the world and has regularly spoken with me about the various natures of competition that he, too, envisions. I welcome that he sees the Bill as being about the UK’s response and ensuring the prosperity and happiness of the British people around the world Power is not just about state power; it is also about the economics of strategic challenge through business. As the sadly likely recession following the covid pandemic rises, the reality is that state capitalism will pose a greater problem. As the wells of private sector investment dry up, companies able to draw on national reserves may do better Other countries have already seen that and reacted early. In March, in response to similar pressures that the Secretary of State responded to earlier, the Australian foreign investment review board reduced the threshold to zero for calling in acquisitions. In August, France reduced the shareholding required to trigger an inquiry from 25% to 10% for similar reasons. The United States has not followed suit on that basis, but the CFIUS regime, as we all know, is one of the most mature in the world. The Committee on Foreign Investment in the United States has, in some ways, led the way, so the need to adapt to changing circumstances is not so immediate For our Government to introduce the Bill now is a welcome demonstration that the UK sees the changing circumstances and recognises that state-owned enterprises pose a different threat from five, 10 or 20 years ago. The Bill also recognises, in the 17 sectors that other hon. Members have spoken about, the rapid pace of technological change that we are seeing and the urgency of making sure that we realise what we are looking at. As assets are being developed that are essential to our continued prosperity and security, they now emerge much more quickly than we ever imagined Indeed, I would argue that two of the biggest strategic losses for the United Kingdom in recent years were the 2014 sale of DeepMind to Google and the 2016 sale of ARM to SoftBank, but they have been completed. What those two firms have both enabled, however, is quite phenomenal. Deep Mind, which one can pretty safely say is the world’s premier AI company, is an extraordinary asset. When it started in 2010, it was seen as a sideline, but today in 2020 it is seen very much as the main event The UK is not directly comparable with some of the other countries that we have spoken about. Some people have mentioned France, Germany or Australia, but the UK has about double the foreign direct investment of France or Germany, and our international co-operation—our links abroad—are quite different Here I declare that my entry in the Register of Members’ Financial Interests shows that I, too, invest in businesses across the UK, and the reason why is that I think, as a Conservative, that if someone believes in business, they should put their money where their mouth is. I am proud to support some young people who have come up with some ideas, some of which may succeed and one of which may even make me as rich as the Under-Secretary of State for Business, Energy and Industrial Strategy, my hon. Friend the Member for Stratford-on-Avon—[Laughter.] This Bill looks at the challenge that such businesses are starting up with, and here I pay tribute to my constituency neighbour and right hon. Friend the Member for Tunbridge Wells (Greg Clark) who spoke about the de minimis clause—the minimum amount that should be called in. Of course, it is absolutely right that companies can evolve. Technology can adapt very quickly, and ideas that one thought were insignificant can become very significant However, the reality is that that rarely happens overnight and, with the nature of British capitalism being as it is, the value of a company will be appreciated in the market a long time before the technology is appreciated by the Government. Therefore, although I understand why the minimum number is set at zero, there is an argument—I would welcome the Government’s thoughts on this—for setting it even as low as £1 million, which is actually a very small sum these days for many of the venture capital enterprises in our country. I welcome the fact that this Bill makes the important distinction between national interest and national security. I see the hon. Member for Aberavon (Stephen Kinnock) in his place, and I know well that if this Bill were about national interest, he would be making one of the strong speeches about the steel industry that I have heard him make over the past five years, but this Bill is not about that. This Bill is fundamentally about the threats to the UK people and to our national security, not just our immediate interests It is important to make that distinction in the long term because, of course, to change that would be to fundamentally open a different question. It may be one that Opposition Members or, indeed, some Government Members, would wish to engage with, but it would be a big change to the investment environment of the United Kingdom. It would change our employment structures considerably and challenge many of the services that are built on the UK economy, from law and accountancy to finance and investment. It is a rather larger question, and I am glad that it is not included in the scope of this Bill The Government recognise that more consideration is needed, and they could do a little more, if I may say so, just to advertise the consideration that they are looking for in the 17 sectors. Having spoken to many lawyers in recent days—a confusion of lawyers, in fact—and to several businesses, it is quite clear that, although the consultation is welcomed, not all are as aware of what is required as would be beneficial If I may, I am going to start claiming some credit for some of this, because the Minister will know that the Foreign Affairs Committee has long pressed for tougher measures to protect our vital national security interests against growing threats. In our May 2018 report entitled “Moscow’s Gold”, we highlighted the corrupt investments associated with the Kremlin, but not unique to that Mafia-style regime, that have direct implications for the UK’s national security. The sanctions regime we rejected is a welcome addition to the state’s arsenal against those who seek to damage our national security. In 2019, we went further: in our report, “A cautious embrace: defending democracy in an age of autocracies”, we recommended that the Government establish a power to block listings on the UK markets on national security grounds as a matter of urgency. The Government have now announced their intention to do so to stop companies with questionable ownership from taking advantage of UK listings The fact that the Bill builds on both those reports is enormously welcome. They also led us to ask some pretty important questions about how the Government could achieve their aim, because there are various elements in which those questions exposed gaps or failures in the British structure that would allow the Government to be properly informed of where to get the information. That is why I will ask a few initial questions, before the Foreign Affairs Committee spends a few weeks hearing evidence and listening to commentators on the Bill and investors, practitioners and lawyers about its application. Indeed, we may even suggest amendments To turn to my first question, the Government have been clear that state-owned entities and sovereign wealth funds are not inherently more likely to pose a national security risk, especially if they have operational independence in economic investment strategies. This is of course important for many countries around the world, including Norway and many others, who operate very large sovereign wealth or national pension programmes. However, regimes such as that of the Chinese Communist party use opaque ownership structures to hide state interference. Will the Minister tell us what structures will be created and legal powers given to ensure that we can draw on the expertise and knowledge of those Departments and agencies across Government, including the Foreign, Commonwealth and Development Office, to shape decisions accurately? It is clear to all of us that UK missions around the world will need to be actively involved to ensure that the information required to take decisions is provided in a timely manner My second question is about the fact that this Bill provides gateways for disclosure of information to my right hon. Friend the Secretary of State and disclosure by him to a public or overseas authority. What we really need to know as well is not just how much he is able to exchange, but how much he is able to draw on other intelligence agencies and other partners and particularly, perhaps, on those in democratic and law-abiding countries, including the European Union, as we will no longer be part of the investment screening regulation and we have never been part of the different agencies or regulators in the United States, Australia and many other countries. Who are the likely partners with whom he is intending to share and how will we support each other Thirdly, the best estimate of the impact assessment suggests that the new notification regime will cost about £49 million a year and about £425 million over 10 years. Those numbers are, of course, uncertain. The new regime is expected to result in up to 1,800 notifications a year, which is a vast increase compared with the approximately 60 notifications a year that the Competition and Markets Authority currently deals with. The Bill introduces an investment security unit that will be staffed by 100 officials. May I seek assurance that this unit will have the capacity and necessary competencies to effectively screen this high volume of transactions and to expand if notifications are more than expected? The Minister will have heard from many people that there is the possibility that voluntary notification will result in a much higher level of disclosure than anyone is currently expecting, and therefore, the 100 officials could rapidly become overwhelmed and the timelines that he has very sensibly set out, of 30 and 45 days, could become impossible.
ParlaMint-GB_2020-11-17-commons.u305	Does the hon. Gentleman agree that this unit or some of the individuals in it will need a high classification of security clearance? Without that, they will not be able to make informed judgments on some of these applications.
ParlaMint-GB_2020-11-17-commons.u306	I agree entirely with the right hon. Member that what we are looking at here is a multi-agency taskforce, not a BEIS departmental body. The reason, of course, why it has to be a multi-agency taskforce is that, as he says quite correctly, the need to have access to high-level intelligence is clear, but so is the need to be able to understand the changing nature of the technology and, indeed, the changing nature of some of the individuals and groups that may be affected. It is, after all, entirely possible that a company owned one day by one individual abroad is likely to be, or is in the direction of being, controlled by a rather less salubrious individual only a few days later, and the need for such multi-agency taskforce access is clear Insufficient resources would of course cost delays and have a serious impact on the UK economy. Indeed, it could lead to the various obstacles that I know the Minister has been incredibly careful about avoiding, which is why he has made the scope of the Bill so narrow. I am sure that he will be able to help me in assuring me that this group will have the resources it needs. Fourthly, given the sensitivity of the cases—my mistake: I was going to repeat exactly what the right hon. Member for North Durham (Mr Jones) said, so I shall skip it. I was going to ask for exactly the same As this Bill makes its way through the House, the Foreign Affairs Committee will be following it closely. As I have said, we will be conducting various hearings with various people along the way in the next few weeks, and we will, I hope, be making welcome suggestions that the Minister will be able to consider. Properly implemented and with due consultation and consideration, this new investment regime should provide certainty and transparency for UK businesses and investors in this country. It is an important and valuable change to our laws to ensure that our businesses are able to prosper in the safe knowledge that the information they develop and the innovations they provide allow the happiness and prosperity of these people, our friends and our allies.
ParlaMint-GB_2020-11-17-commons.u307	It is a great privilege to follow my hon. Friend the Member for Tonbridge and Malling (Tom Tugendhat). I especially agree with him that the Minister and his team have been exceptionally good at communicating this over the past weeks, so long may that continue With the right clarifications, I stand to support the Second Reading of the Bill. It is incumbent on all of us here to think in terms of the contribution we can make to our collective livelihoods—a contribution of security, a contribution of transparency and a contribution of prosperity. On prosperity, the Minister and other colleagues have been working hard to assuage some of my concerns. I gravitate towards this side of the House because I believe in opportunity—the opportunity that overseas investors see in the UK to grow market share, reach new customers and develop cutting-edge technology, thanks to access to the brightest brains on the planet, and a confidence that a penny put into Britain today can become a pound tomorrow. We do not want the Bill to herald in uber-protectionism by stealth; otherwise I would have great difficulty in subscribing to it Foreign direct investment is a powerful contributor to the UK. Indeed, conservative estimates show that FDI has created over two Boltons-worth of jobs. That is 600,000-plus jobs, as the Minister actually told me last night, so I hope that is correct. Over 57,000 new jobs were created as a result of FDI in 2018-19 alone. The “World Investment Report 2019” showed that the total value of the UK’s inward investment stock was $1.89 trillion—the third highest in the world, and worth more than the figures for Germany and France combined. Indeed, the northern powerhouse has been one of the top winners from FDI. Manchester has been recognised as Europe’s fifth best large city for business, ranking ahead of places such as Rotterdam. Bolton is a significant recipient of FDI through, for example, the £250 million redevelopment of the Crompton Place shopping centre, and this is central to our town’s rebirth. We need to be on the ball, as the value of the UK’s inward FDI has been falling. In 2016, the value of inward FDI was equal to 10% of GDP, which fell to 2% in 2018. I welcome the new Office for Investment, as we must not lose out to friendly competitors on our own doorstep. FDI contributes so much to our economy and society Moving on to security and transparency, the Bill seeks to contribute by putting the UK on a similar footing to other major economies, such as the US, France and Germany. Indeed, the CFIUS regime in the US reviews certain foreign investments in businesses to determine whether such transactions threaten to impair US national security. That is a sound premise and one that every nation state should embody: protecting one’s core sovereign interest. Indeed, the Bill aims to offer more security for British businesses and people and protection from actors or, indeed, actresses harbouring malign intent I appeal to the Minister to ensure that the Government will only use their brand- spanking-new powers exclusively on national security grounds and not for broader economic or political measures. Mission creeping may lead to capital seeping. I encourage the Minister to articulate how to safeguard against spurious applications of the new powers. Some analogous screening systems are viewed as not transparent, such as those that do not give parties the opportunity to debate the conclusions. I understand the intention of our own UK version is to allow a quicker, slicker investment process for investors I also understand that a new digital portal will be made available to investors, and the Government have committed to a 30-working-day service timeline. Along with mandatory notification of investments in key sectors, that provides much-needed transparency for firms, while providing proportionate defence against those targeting sensitive UK assets Finally, my humble contribution to today’s debate will imminently fly towards the Minister, like a not quite national security-protected Airbus paper plane. Alas, I have penned a mnemonic. According to Hansard, the word “mnemonic” has only been used once in this House, and without actually producing one. This could be an epic fail, so the House should brace itself. I will give way to the Minister if he would like to intervene straight away or, indeed, anyone else in the Chamber who can rhyme off the 17 industries that may feature in this final legislation. If not, forever hold your peace. Silence—great. It goes like this, and it does not roll off the tongue. It is CQC—which we are all very familiar with—CASCADED MS TEAM. C is for communications. Q is for quantum technologies. C is for computing hardware. I could go on, but I will simply repeat again: CQC CASCADED MS TEAM. That, hon. Ladies and Gentlemen, along with the Bill’s contribution to security, transparency and prosperity, is how I would like to personally contribute to today’s debate.
ParlaMint-GB_2020-11-17-commons.u308	I was going to say it is a pleasure to follow the hon. Member for Bolton North East (Mark Logan), but I am not sure that it is. I welcome any measure that aims to protect or increase our national security. We live in an interconnected world now—a global world—in which capital is no respecter of national boundaries. We also live in a world in which nation states are using strategic investment as a way to pursue their own national interests, and there was mention earlier of the Chinese belt and road initiative We also live in a world in which nations or individuals use investments to launder money or to buy influence or protection, as was highlighted in the Intelligence and Security Committee’s Russia report. So the measures in the Bill are to be welcomed but, as the hon. Member for Dundee East (Stewart Hosie) said, the issues that it addresses were raised seven years ago in the ISC report on Huawei. None the less, I wish to mention a few areas where the Bill is still deficient The right hon. Member for Chingford and Woodford Green (Sir Iain Duncan Smith) mentioned the Secretary of State’s role. A call-in will be triggered on whether a transaction creates a risk to national security. Notification takes place in one of two ways—a transaction is notifiable either under four criteria or under a voluntary system. I believe the voluntary system is fraught with administrative difficulties and needs to change. However, I want to focus on how the assessment is then made and the role that the Secretary of State plays in deciding whether a case goes forward. I do so by reference to a recent case—that of the Cobham company The Bill would not have prevented the £4 billion sale of Cobham to a US company, even though the Ministry of Defence had huge issues around the sale, partly because it would allow unauthorised persons to understand either the details of the MOD capacity and activities, or give them a more strategic picture of the capabilities and activities that had been built up. The MOD said that the transaction posed a risk to the existing MOD programmes if the merger entity took decisions to exit from an investment or to move offshore the associated capabilities At the time, Lady Cobham’s concern was that Cobham would be split into various entities and sold off—and, lo and behold, that it is exactly what is happening. It has gone from four divisions to nine, and the risks to national security were clearly evident at the time. I see nothing in the Bill that would have stopped that, because it comes back to the decision of the Business Secretary I am not anti-business in any way, but I am not sure that BEIS takes a view in terms of security issues, which would be perhaps more evident in the Ministry of Defence and so on. So there is an issue about who takes the final decision on such bids’ going forward. I would prefer that to be a decision of the national security committee or a sub-committee of that, so that we may have in-depth intelligence reasoning—and I accept that such decisions should be taken on national security grounds only. If we look at the United States model, we see that some very dubious decisions are taken there on national security grounds, which, frankly, are more to do with protectionism rather than anything else.
ParlaMint-GB_2020-11-17-commons.u309	Does the right hon. Gentleman agree that there is a real role for Committees of this House in such processes and that the ability to subpoena both witnesses and papers would add not only depth to the Government’s investigation but protection to the Business Secretary who was forced to take the decision?
ParlaMint-GB_2020-11-17-commons.u310	I agree. There is an issue, in some of these cases, around national security. A point was raised earlier in the debate about whether the ISC should look at such decisions. Certainly there is an argument for an annual report, which I would welcome. I said earlier that I had a fundamental problem with one individual’s taking such decisions, and I am sorry, but I do not think that the new investment security unit is the vehicle. The hon. Gentleman has referred to it as a taskforce, but unless it has national security at its heart, the push for business to get things moved on will take over, rather than what we should be looking at—national security. So decisions should not be left with the Business Secretary The other issue I raise is with supply chains. We all know that supply chains are now very complicated, long and diverse, from small companies right down to SMEs. I asked who will map those supply chains. We might say that small companies will self-notify, but would we miss things? There is a key role here for our security services in terms of flagging up things about particular companies, and I do not see that in this process. A small company very low down the supply chain, which may have only a very small element of either a nuclear project or a defence project, might lead to a security risk. I do not think that the new investment security unit will be able to deal with this. That is a role for our security services, which should be at the heart of this, rather than just being a member of the taskforce The other area I wish to focus on is in relation to the core areas. Listing them in the way that they have been listed is not helpful. For example, the term “military dual use” brings in a whole host of issues. Is a vehicle that is used for military purposes “dual use” even if it has a civilian use? Trying to define things in a list is actually very unhelpful. I would sooner come at it from the point of view of security and intelligence-driven information, which would inform the decisions that are taken. I am also a bit reluctant for things to be added to that core list by secondary legislation Then we come to an area that has already been touched on, which is the role of universities. The Bill mentions “moveable property, ideas, information or techniques which have industrial, commercial or other economic value.” When does an idea become a commercial value? I personally think that we need to be looking carefully at this. There is some perfectly legitimate and important foreign investment in our universities, and I do not want to stifle it, but if we have, for example, a Chinese or Russian company investing in a university, particularly in a research programme, is that covered by this Bill? At the initial stage, the investment goes in, but there is no actual product as such. A separate look at that needs to be part of our overall assessment, and, again, that can only be done not from a broad brush stroke approach, but from letting our security services look at some of these areas The other point I want to make is to do with land, which is referred to in the Bill, but, again, what is strategic? Would it be allowable, for example, for a Chinese or Russian company, or any company, to start buying up real estate with Government offices on it? The other thing that the Bill does not really cover—the Minister might say that there are measures to cover this—is the issue relating to the well-trailed arguments about the way in which Russian and former eastern European countries have used the property market in the UK, not only to launder money but to build up huge assets in terms of power and influence. I have just two final points. One is referred to in the appeal system as closed hearings. Members may be aware of what closed hearings are. This is where intelligence, which is an informed decision, goes before a court within a closed hearing. These hearings are mainly used in terrorism-related activities or other national security cases. I would be interested to hear from the Minister in his summing up exactly how he envisages that working in relation to this Bill and how he will manage closed cases, because they are very controversial. At the moment, for example, there are a lot of legal challenges to cases when intelligence goes before the court and then it is ruled that it cannot be heard in open hearings. I just wondered what the Minister has to say on that My final concern is around the time limit, which I do not quite understand. It is six months from the date that it comes available to the Secretary of State. I am very opposed to anything that is retrospective, because, as has already been argued, to try to unpick these things will be very difficult. I just want to understand from the Minister the reason behind the five-year retrospection Yes, I welcome this Bill, but what it should have at the heart of it is security and intelligence. At the moment, there is too much emphasis on business. I am not arguing for one minute that we should get security and intelligence looking at every single investment decision. I am pro-investment, but the balance here is possibly wrong if we are trying to stop what we all want to stop, which is malign activity in our economy.
