ParlaMint-GB_2020-09-21-commons.u1	What steps he is taking to support the domestic manufacture of defence helicopters.
ParlaMint-GB_2020-09-21-commons.u308	Will the hon. Gentleman clarify for the record whether, if the amendment were to proceed and the consent of the Northern Ireland Assembly were required, that would constitute a unilateral breach of the protocol in how that consent would be given? Could a petition of concern be lodged against it, thereby giving his party and anyone else—Members of Trade Unionist Voice, for example— a veto over the way forward?
ParlaMint-GB_2020-09-21-commons.u309	The first aspect of that question is the intended breach, and the answer is clearly no, because amendment 68 talks about “new requirements”, and if the hon. Gentleman reads the content of the amendment, he will see that. The Northern Ireland Assembly has cross-community voting mechanisms not to provide vetoes but to encourage consensus. The hon. Members on the Benches to my left know exactly why those provisions were brought in, and they know the importance of them, but they tend to believe that they are worthy of use only when there is an issue for which they wish to use them. That is hugely regrettable. When I talk about the consent of the Northern Ireland Assembly, I know that there are cross-community mechanisms to ensure that we get to a place of consensus. I do not believe in stalemate or in logjams. I have spent my political life trying to resolve them. I hope that when I contribute on issues in this House, people respect the fact that, although I do not necessarily agree with everyone, I try to get to a place where we can agree Businesses in Northern Ireland that buy from GB and wish to sell to GB want to know what their trading position will be. They were promised the best of both worlds, yet day after day they are learning about the bureaucratic and administrative burdens that are going to be placed upon them. They want answers. I know that the Minister will respond thoughtfully to the debate, and that he will pick up on some of the additional issues that I have raised on amendment 68. I hope he does that. I hope he offers some clarity and comfort for businesses in Northern Ireland, and I hope he outlines just how the Bill will assist them. I believe that it will not do so, however, so I hope that he gives us some clarity as to what steps the Government are prepared to take in the Finance Bill to resolve these overarching and burdening issues, which remain unresolved, through the Joint Committee.
ParlaMint-GB_2020-09-21-commons.u310	This has not been the most edifying spectacle for the House of Commons over the past few days, but I hope that, at the end of the day, we can find a constructive way forward. I say that it is not edifying because, although much of the purpose of the Bill is important and valuable, to act in contemplation of something that most of us would regard as unworthy—namely, to breach an international obligation—is not something that one should ever seek to discuss lightly. Equally, it is not something that can ever be an absolute, because there can be certain extreme and pressing circumstances where such a derogation is permissible, but the bar has to be a very high one. That is why the discussions that have taken place between some of us and the Government, and the Minister’s response, are important, as far as my thinking is concerned. On the face of it, as my right hon. Friend the Member for Maidenhead (Mrs May) observed, without safeguards and caveats, clauses 42, 43 and 45 would without more ado be unconscionable, and we could not support them I want also to speak to my amendment 4 and the Government’s amendment 66, which I hope will provide a means of reconciling that position with the need to find a constructive way forward.
ParlaMint-GB_2020-09-21-commons.u311	Will my hon. Friend give way?
ParlaMint-GB_2020-09-21-commons.u312	If my hon. Friend will allow me to develop my point a little, I will of course give way to him in a moment Without a parliamentary lock, I do not believe that it will ever be appropriate for a sovereign Parliament to contemplate breaking an international obligation. There has to be a test for the parliamentary lock to be met. I welcome, therefore, the Minister’s comments on Government amendment 66 and the test that he has adopted—and that was previously put out by Downing Street—at the Dispatch Box in respect of the high bar that would have to be met before the House could or should be persuaded to support such a course of action. For me and, I suspect, many other Members, the bar would have to be a high one.
ParlaMint-GB_2020-09-21-commons.u313	Does my hon Friend agree that that bar becomes very apparent when dealing with the essential question of sovereignty and whether the EU is recognising sovereignty in the negotiations in the way that was clearly stated in the protocol and in the essential elements of the agreement? We are sovereign and our constitution is special in that respect, compared with some other countries that have provisions in written constitutions.
ParlaMint-GB_2020-09-21-commons.u314	Let me put it this way: if my hon. Friend is saying that the test is something akin to that in article 46 of the Vienna convention on the law of treaties, which permits a departure from an international obligation if the violation that causes it is “manifest and concerned a rule of its internal law of fundamental importance”, I am not a million miles away from him. It is not an exact analogy and I do not think my hon. Friend was trying to make one, but it would have to be something similarly fundamental From my point of view, one could conceive—I use my words carefully—that a Government might be able to persuade the House that there was such a threat to the position of Northern Ireland in the United Kingdom, and to the welfare of its economy and people, that one might take such a step. That is why, having thought and hesitated for some time, I am prepared to allow the Government the opportunity to make that case. None the less, it is a high bar, and I have to say that the fact that other jurisdictions—be it the EU or others—may have derogated from international treaties is not of itself persuasive. Many of us would need to be persuaded by the evidence that was brought in relation to the specific circumstances that might trigger the bringing into force of the three clauses under the arrangements set out in Government amendment 66. That is the point and will be the only test that will be relevant.
ParlaMint-GB_2020-09-21-commons.u315	I have sympathy with the argument that the hon. Gentleman is making, but I have to say that the practicalities will take us in a very different direction. Last week, No. 10 Downing Street was briefing out that the hon. Gentleman and those who agreed with him would have the Whip removed if they followed through on his amendment. That is the pressure under which Government Members will be put. May I suggest to the hon. Gentleman that it is possible the Government have accepted his proposition because they see it as something that in practice will not cause them any difficulty?
ParlaMint-GB_2020-09-21-commons.u316	I shall make two points to the right hon. Gentleman. First, he knows my record does not indicate that I am always in terror of voting against the Whip. Secondly, if anything like that was being briefed out, I never heard it, it was never said to me and I am shocked that any Government would brief such a thing without saying it to the face of the Members concerned.
ParlaMint-GB_2020-09-21-commons.u317	I can confirm that when on the Sunday I conveyed to the Government my concerns with regard to aspects of the Bill and said that on Monday I would be resigning as the Prime Minister’s special envoy for freedom of religion or belief because of real concerns about aspects of the Bill, no one at all from No. 10 ever said that the Whip would be withdrawn; instead, they said that they understood and accepted my decision.
ParlaMint-GB_2020-09-21-commons.u318	That does not surprise me; it is consistent with my own experience. I say gently to Opposition Members that the issues at stake are too serious to be part of what might otherwise be an understandable bit of partisan knockabout. That is not what we are talking about.
ParlaMint-GB_2020-09-21-commons.u319	The hon. Gentleman mentions the seriousness of the issue; it is that serious that the British Government’s senior Scottish Law Officer, the Advocate General, has resigned. Does the hon. Gentleman really believe that Scottish constituency Members, based on that premise, should walk through the Lobby and vote with the Government?
ParlaMint-GB_2020-09-21-commons.u320	It is presumptuous, it seems to me, of the hon. Gentleman to try to suggest how any of my hon. and right hon. Friends might choose to vote, just as it would be presumptuous of me to take a view as to why any Member does or does not remain a member of the Government. I have a very high respect for the noble Lord, Lord Keen of Elie. I just observe that his resignation came before the terms of the Government’s amendment were announced and it was tabled, and before the declaration which the Minister has read out from the Dispatch Box was in the public domain; I perhaps regret the timing of that, but I respect Lord Keen’s position, and that is unchanged, and I do not think relevant to the case that we must make here.
ParlaMint-GB_2020-09-21-commons.u321	I must press on now, and not take any further interventions for some time out of respect for others who wish to speak in this debate The Government now accept that they must come to the House and make their case. I think that they recognise that that case would have to be a persuasive one, and that the level of breach by the EU—which would have to be a breach of its obligation of good faith, which in turn would be a breach, it seems to me, of the obligations under article 26 of the Vienna convention to operate in good faith—would have to be made out before I and many others would be prepared to vote for such a course, because of the potential consequences for our international reputation and standing. That is why I am prepared to adopt the formulation of the Lord Chancellor that such a thing might be acceptable in extremis. This is not a carte blanche for the Government, and, in fairness, I do not think Ministers have ever taken it as such; I think they know that it weighs heavily to do such a thing. If the Government move amendment 66 at the relevant stage tomorrow, I will be prepared not to press my amendment, but it is to give the Government the chance to make their case as to why such an exceptional step should be necessary It is not wise or constructive to conflate the positions of domestic and international law in this debate; they operate in different spheres, and much of what we are looking at would be in relation to treaty law. A test that is not dissimilar—although it can never be exactly the same—to those considered in the Vienna convention is, therefore, not out of the way I welcome, too, the fact that the Minister indicated that the measures that would be initiated would include the arbitral provisions under the protocol to the withdrawal agreement. To try to oust those provisions would be a material breach of the agreement on our part, and would be unconscionable. Under certain circumstances the timeframe for that might not be capable of being resolved in such a way that we might not have to take some proportionate and temporary action ourselves to safeguard a vital interest, but I am sure the Minister and the House will note that I choose my words carefully in all those regards. This is not a green light to treating our international obligations lightly or cavalierly; it is an opportunity for the Government to justify why it might be necessary. One cannot give undertakings as to what that might be until we have seen the evidence at the appropriate time, and I am sure the Government know that, too. But I hope that in practice this also has the desirable effect of enabling the negotiations to proceed and, at the end of the day—with good faith on both sides, which I hope, underneath, is still there—we can get an agreement with the European Union and leave on the terms of a deal. That may not be as good as I would have liked, but much of what I have been doing ever since the referendum is trying to mitigate a circumstance that I did not wish for but which I believe has to be addressed head-on for the sake of the country. If we can achieve an agreement, I hope these provisions will be otiose and we will see no more of them. The rest of the Bill is necessary because we need a proper and efficient working of our internal market once we leave the European Union. Therefore, my other motive for adopting the course that I have is not to obstruct the rest of the Bill needlessly It is in that spirit—which has, in fairness, been reflected in my exchanges with the Minister—that I set out the case for why the amendment is important to debate and to consider. If the Government are able to deliver in the terms that we have discussed, I will give them the chance to make their case, if it ever be necessary, in the profound hope that we never actually get to that.
ParlaMint-GB_2020-09-21-commons.u322	I rise to commend to the Committee amendments 46 to 48, amendment 41 and new clause 7, which stand in the name of the hon. Member for North Down (Stephen Farry) There has been so much invocation of the Good Friday agreement, in favour and against the measures in the Bill, that I think it bears repeating some of what is and is not contained and implied in that generation-defining agreement. Those who have read the agreement will know that it does not really talk all that much about borders, trade and internal markets, because, frankly, the EU had settled all those things, and in 1998 the prospect of either Government choosing to leave the security, opportunity and prosperity of the EU would have been considered insanity Violence was the reason for the continuing fortifications. The Good Friday agreement was the document that articulated most clearly the argument, which had been made by John Hume and others for so many years, that violence was neither needed nor justified. It took the gun out of Irish politics and ensured that the purported justification of those behind the violence was addressed. The agreement was then endorsed by the people of Ireland, north and south, in overwhelming numbers, and endorsed by both Governments, as the only way to achieve your politics. It took away the excuse and put peaceful constitutional views to the fore. It meant that Unionists, nationalists and others could have their views with dignity and that we all had a decent pass forward The Good Friday agreement does not say much about borders and trade, but it does say a lot about relationships, aspirations, consensus and respect, and I think that those are the values that unfortunately have been most damaged and will be most damaged by the Bill. The declaration that accompanied the agreement—
ParlaMint-GB_2020-09-21-commons.u323	Will the hon. Member give way?
ParlaMint-GB_2020-09-21-commons.u324	Do you know what? I will give way, but only once, because for a few years your party held court here, and they were terribly damaging years for Northern Ireland, and it is time that the majority voice, which is against these proposals, was heard.
ParlaMint-GB_2020-09-21-commons.u325	I am delighted that the hon. Member has given way. She casts a considerable aspersion on the Members of her party who were here for several years, but who obviously did not do as good a job in the House as she now purports to be doing, but I will leave that thought with her. Her party is in a coalition Government with my party and with Sinn Féin at the present time—obviously her words about co-operation will now ring very true indeed. Given that her party is in that coalition Government with Sinn Féin, is she actually telling the House that she believes that Sinn Féin or others are on the cusp of going back to terrorism because of what is happening here tonight?
ParlaMint-GB_2020-09-21-commons.u326	No, obviously I am not. Only somebody with absolutely no understanding or who is so disingenuous would ask the question of where the violence comes from as if just a hope is a good enough reason to ride over a solemn peace treaty. Only somebody who either misunderstands or misdirects people would ask such a disingenuous question, and ask it repeatedly. We know that unfortunately there are many people of different political hues who have always sought to use violence as an excuse. That is why my party and others did the heavy lifting to ensure peace, while your party stood outside, waved placards and did everything it could to thwart the Good Friday agreement. So I will take no lectures or disingenuous questions, thank you very much The Good Friday agreement did talk about democratic and agreed arrangements, the democratic process and the primacy of the rule of law. It talked about close co-operation as friendly neighbours and partners in the EU. Each strand of the agreement has been damaged by the last few years, and they will be damaged further by the Bill. Strand 1, which deals with internal relationships in Northern Ireland, is damaged by injecting these binary choices and by trespassing into the devolved field. However, I will not, for reasons of time, go over the points that I and others made last Wednesday evening, about what undermining the devolved settlement might do Strand 2, which deals with relationships on the island of Ireland, will be utterly undermined by the creeping borderism that will follow from the Bill and the disruption of the north-south frameworks. Strand 3 deals with the east-west relationships, which clearly have been strained almost to breaking point over the past few years. It is because of the primacy of relationships that barriers to trade and aspiration offend the Good Friday agreement. Those who are seeking to say, “It isn’t written down anywhere, so there is no problem here” need to understand that The SDLP profoundly regrets the development of any barrier—east-west; the border in the Irish sea—for reasons of trade and economy, but also because we understand that borders have symbolic meaning to people, and we understand that this is particularly hurtful and egregious to those of a Unionist or British identity We have enjoyed, for the last 20 years, interdependence and free movement east, west, north and south, and it is Brexit and these decisions that are forcing the choice. It is not re-fighting the last campaign to remind people that the problem is not the protocol, it is not the EU and it is not uppity Irish nationalists, but it is this Government’s failure to choose between a higher degree of alignment with the EU, which offends the European Research Group, the ability to diverge, which will upset and offend people of a Unionist background, and the nuclear option of forcing a hard border on the island of Ireland. Quite clearly, the last two weeks have shown and give some reassurance that the UK will have no trading partners if that is the course it chooses.
ParlaMint-GB_2020-09-21-commons.u327	The hon. Member says it is not the fault of the EU, but can we just remind ourselves that it was the United Kingdom Government who gave an absolutely cast-iron guarantee that we would put up no infrastructure on the border between north and south in Ireland? It was the EU that kept threatening to do that, even though alternative arrangements could be developed to obviate that need. I fail to understand why people just do not want to believe that, except that they want to blame the United Kingdom Government, not the EU.
ParlaMint-GB_2020-09-21-commons.u328	It is funny, but we do not hear so much about the alternative arrangements, and this from a party that has us all queuing around the estate because it could not put in place any alternative arrangements for voting. We heard a lot about them for a lot of years, but the magic sovereignty dust that was supposed to solve all of our problems has not yet been produced However, it is true that the choices, and they are very difficult choices, are being forced by that Government. We wish that the Government had picked the first of those options. We wish they had picked a higher degree of alignment with the EU, but they did not, and they cannot keep reopening the wound every time they try to deal with the contradictory promises they made. Whatever Bill the Government bring in, the choice will be the same. You cannot opt out of the biggest free trade bloc in the world and then feign shock when the trade is not completely clear, and you cannot refuse to do the first of the two things and then pretend that they are going to happen To suggest that any of this is about protecting the Good Friday agreement or the people of Northern Ireland is beyond a parody. We have worked intensively with businesses and other parties to try to address some of the barriers that we accept will exist, but we have to remind the House and others that it is this Government’s choice and the failure of the DUP for the last three years to do anything about those choices that has brought us to this point, and people must own those decisions. The Joint Committee is the place to address those difficulties and those operational issues, and there are the dispute mechanisms We see and we very much acknowledge the anxiety that east-west barriers to trade create, but even with the politics and the identity issues stripped out, it is a regrettable fact that the sea border is more practical and more manageable than a border across the island of Ireland, given that there are three such points of entry into Northern Ireland and 108 border crossings between the Republic of Ireland and Northern Ireland. I do not say that to be hurtful; I say it because it is true. I bit my tongue several times during the speech from the hon. Member for Belfast East (Gavin Robinson), whose opinion is always considered. I bit it for a number of reasons. Not only because of course your party opposed giving a consent mechanism to the Northern Ireland Assembly on article 50 and opposed giving consent on the sequencing, but because you speak about the sequencing. We have seen what has happened with the gamification of the sequencing and the gamification and using of Northern Ireland as a pawn by the UK Government in order to achieve outcomes and to justify no deal. The last thing I had to bite my tongue about was your saying that the petition of concern is not used as a veto. Members can look it up, but your party has used it 86 times. It used it numerous times to veto, for example, equal marriage for absolutely no reasons of offence to the United Kingdom.
ParlaMint-GB_2020-09-21-commons.u329	I think the second-last point—the penultimate point—was right, and I agree with the hon. Member. However, on the petition of concern and the cross-community voting mechanisms, she knows the reason they are there. She does not like it when people use them for reasons that she does not agree with, but she knows the reasons they are there. We were not the only ones to use it. We do not have the power to use it by ourselves. But the aspiration for us all must be building consensus.
ParlaMint-GB_2020-09-21-commons.u330	It certainly should. I am not going to rehearse the figures, but I believe that the Democratic Unionist party used the petition of concern approximately two thirds of the time. You do not have the power to use it now because the electorate took that power off you, because it was wielded inappropriately so many times. I am acknowledging very clearly the barriers and impediments that this will create and the intentions of many to try to address those, but whatever the value of trade east-west—I see and acknowledge that value, but it is often cited by people who seem to know the price of everything and the value of nothing—the reality is that there are more people and more units that move up and down the island than move between the two islands. In fact, after 1 January next year, there will be more external crossings into the EU on the island of Ireland than there will be in the rest of the continent’s borders Those who support the Bill and the last few years of poor decision making have to acknowledge the intellectual and moral failure in a position that says that a border down the Irish sea is absolutely impossible technically and impossible to bear politically, but that somehow forcing one on the island of Ireland is dead-on, that we can deal with that with a bit of administration and that people are being overly sensitive. Imperfect though I acknowledge the protocol is, it is the baseline protection against the border, so repudiation of the protocol therefore makes a border a lot more likely, and inevitable I agree with the right hon. Member for Maidenhead (Mrs May)—we believe that the clauses we are dealing with today are irredeemable—and I appreciate her interventions very much. Over the few years that she served as Prime Minister, while I frequently did not agree with what she said, I could always acknowledge that she was trying to respect the sensitivities. I respect those who are trying to manoeuvre their party to the right place. I know that that is a very difficult thing to do, particularly when 21 decent MPs were sacked for refusing to vote for the previous Bill, and now they will be sacked if they do vote for the withdrawal agreement—I think that is the sequencing of things The amendments that we have tabled seek to protect the protocol and put the commitment to the Good Friday agreement into the Bill. While I appreciate the Minister’s words, my hon. Friend the Member for Foyle (Colum Eastwood) has made it clear that the words do not mean anything if you refuse the opportunity to give it legislative effect. Amendment 47 tries to put in place an understanding and an assurance that all of the Bill’s operation will be compatible with all the legislation that underpins the Good Friday agreement. While the UK’s intention is clear—I accept what it is trying to do, but I think it is doing it inappropriately and I do not think it will work—it is about rejecting EU jurisdiction, and the fact is that because of the international treaty that is the Good Friday agreement, international law has jurisdiction in Northern Ireland. That is welcome, and the rights and safeguards in the equality of opportunity section of the Good Friday agreement confirmed the incorporation of the convention on human rights into Northern Ireland law, with direct access to the courts and remedies for breach of the convention, including power for the courts to overrule Assembly legislation on grounds of consistency. That point is echoed again in strand 1 of the agreement, and it must be very clear that my party, certainly, could not and would not have signed up to the Good Friday agreement without those commitments, but this Bill casts them into the wind It is clear that we are not talking about narrow and specific breaches. These are going to be open-ended and unchecked powers, and there will not be any qualifications or consultations to test their basis. I sought assurances on Wednesday night from the Minister that there would be limits to the powers, and I did not receive that assurance Members may think that this is all a big game of chicken, or a negotiating strategy or whatever with the EU. I urge them to remember the words of the late John Hume, a former Member of this House, who said very clearly, “Victories are not solutions”. The agreement that he designed talked about the obligations of the British and Irish Governments to promote the harmonious and mutually beneficial relationships between the peoples of these islands. I dearly hope that that can somehow still be our future. We are all in the business of trying to deliver solutions for our constituents. I appreciate that some of you are trying to deliver a Brexit and your Brexit deal, however ill-advised I think that is. I am trying to deliver stability and reconciliation in Northern Ireland, but I believe your Bill prevents both of us from proceeding.
ParlaMint-GB_2020-09-21-commons.u331	Order. I did not interrupt the hon. Lady, but I would just like to remind Members, especially new ones, that if you say “your”, as in “your party”, it is a reference to my party, and it was not my party. Also, I remind people to use temperate language when they can. There were just one or two instances where the hon. Lady was sailing a little close to the wind. I just say to all Members present that there are still a lot of people on the call list. The closer to five minutes the speeches are, the more of our colleagues will be able to contribute to the debate.
ParlaMint-GB_2020-09-21-commons.u332	I will bear your comments on timing in mind, Sir Graham, and try to rattle through. It is a pleasure to follow a very powerful speech from the hon. Member for Belfast South (Claire Hanna). We may disagree on some quite fundamental things, but I very much welcome her input to this debate I rise to support the Bill and the Government amendments, because we need to ensure that goods and trade can flow freely across our United Kingdom without unnecessary barriers. I see regaining control of how we regulate our economy as one of the key benefits of Brexit. That is not because I want any kind of race to the bottom. I want to maintain high standards. In some areas, there is clearly a case for introducing more rigorous regulation, for example to bring an end to the live export of animals for slaughter or fattening, but regaining domestic control over regulation will enable us to produce rules that are more targeted and more effective at tackling the problem they are designed to address, and which we can update more quickly as circumstances change. All those could be crucial in improving our global competitiveness, and in supporting jobs and growth during this time of grave economic damage caused by covid-19 I spent six years in the European Parliament before coming to this place and I was heavily involved in debates on the creation of new EU regulation. I spent nearly two years of my life on the markets in financial instruments directive. I can say, from seeing the process at first hand, that it is long and painful to produce EU legislation, and that it frequently produces outcomes that are inflexible, bureaucratic, heavy-handed and create unnecessary costs. I believe that in this House and in this nation, we can do better. We can deliver a regulatory system that is more responsive, more agile and more proportionate As we have heard from many speakers, and as we well know from the debate over the past year, the Northern Ireland protocol will inevitably have an impact on the flow of goods across the Irish sea. That was one of the most painful compromises that was made in reaching agreement on the withdrawal treaty. Certainly for me that was one of the things I found most difficult in deciding whether I could support it. However, there can be no doubt that the Government are pressing ahead with implementing the protocol. Extensive preparations have been made by the UK Government for a new system for compliance with both customs and sanitary and phytosanitary obligations, as required by the protocol. It is simply not true to allege that the Government, with this proposed legislation, are somehow ripping up the protocol or repudiating the treaty What we cannot do is let the European Union run down the clock on securing agreement on the scope of the key concept of goods at risk of being re-exported to the EU, because that would mean a default would kick in requiring customs compliance for all goods coming from Great Britain to Northern Ireland. That, of course, would lead to a full customs border between Northern Ireland and Great Britain, violating article 4 of the protocol. It would also change the status of Northern Ireland within the UK, contrary to the provisions of the Belfast agreement Concern about the potential for the EU to adopt an unreasonable and absolutist approach to the question of goods at risk is, frankly, compounded by the Commission’s current refusal to list the UK as a country is deemed fit to export food to the EU. As Environment Secretary, I was able to secure that authorisation in the event that we had left at the end of January without an exit treaty, but I have to say that it was not an easy process. The UK’s compliance with all current EU laws, including on food and animals, should mean that giving us third country status is a straightforward administrative decision, so it is therefore very hard to understand why the EU is withholding consent, for example, for us to export products to the European Union, which it permits from countries with which it has far weaker links and which have, arguably, far less rigorous standards. They include, to take just a few, Russia, Serbia, Chile, Thailand, Ukraine and Cuba. Even the Republic of Iran is on the approved list for certain products.
ParlaMint-GB_2020-09-21-commons.u333	It is a pleasure to follow the right hon. Member for Chipping Barnet (Theresa Villiers). Although I fundamentally disagree with her on Brexit, I certainly recognise her work in Northern Ireland when she was Secretary of State. I refer, in particular, to her work on the Stormont House agreement, though I think it is worth noting that that is another agreement that the Government are in the process of breaching as well I primarily want to speak to the amendments of which I am the lead sponsor—amendment 41 and new clause 6—but also to make wider reference to part 5 of the Bill. In brief, amendment 41 seeks to ensure that everything in part 5 is consistent with international law obligations and also with the Good Friday agreement in all of its parts, though it would be preferable to strike clauses 42 to 45 from the Bill in their entirety, but, at this stage, amendment 41 is a catch-all to try to ensure that it is compliant insofar as that is possible. New clause 6 is about putting into law the correct approach to addressing the issue of export declarations and other exit procedures in terms of trying to get a good resolution through the Joint Committee I want to make some general comments about the threat to international law that is contained in part 5 of the Bill and to echo that the Government amendment is essentially cosmetic. It does not address the issue. I am someone who is usually a gradualist and who will bank progress, but this is not that type of situation. This will not convince anybody of the UK’s good intentions. In essence, the threat to breach international law will still be codified in the legislation and that is not a basis on which any state can do business internationally. It will undermine the ability of the UK to manage its existing agreements, and also to conclude future agreements. The reputation of the UK internationally will fall with very serious consequences. Our ability to hold other regimes to account for breaches of democracy, human rights and the rule of law will be compromised; and the UK does have a strong record in that regard, or at least had a strong record up until this particular point in time More specifically, part 5 will undermine the ability of the UK to conclude a future relationship arrangement with the European Union. That will have severe consequences for the UK economy. To me, it seems as if a dead-end approach is being adopted by those who claim to want such a deal, and I am not quite sure how that will be a sustainable position Even beyond that, the prospects of a US-UK trade deal are very much called into question. For those who have the fantasy of an Atlanticist approach to replace the relationship with our nearest neighbour, I really struggle to understand how they believe that the approach they are taking will actually allow that dream to be realised. Of course, we should all want a deal with the United States, albeit one that we negotiate from a position of strength—people have some genuine concerns about that—but I am not sure that people fully appreciate whow difficult that will be, particularly in terms of Congress and what Speaker Pelosi and indeed some members of the Republican party have said. This is an ultimate dead end, and Members who still believe it is doable need to reflect very seriously on what has been said to them I will also comment on what I think is a major misunderstanding, or lack of understanding, in some parts of the House with respect to the Good Friday agreement. At times, I get the sense that the Government are almost twisting the understanding of the Good Friday agreement to fit their particular political objectives. It is important that Members understand that a fault line runs right through Northern Ireland. Anyone familiar with history will well appreciate why I am saying that. Northern Ireland is both a divided society and a contested space, particularly with regard to the latter in that there are different constitutional aspirations for the future of that part of the world. We have been on a journey through the Good Friday agreement, but the work of building integration and promoting reconciliation is still very much in progress. More needs to be done It is true—this is where the Government are placing all their emphasis—that the principle of consent is a core aspect of the agreement. I concur with that, and indeed it is recognised fundamentally within the withdrawal agreement, although people may have different aspirations regarding where that goes in due course. However, the agreement is also about the interlocking relationships, the internal dynamics in Northern Ireland, the north-south relationship and the east-west relationship, and the wider context of the improvement of Anglo-Irish relations, which gave rise to the agreement in the first place and which, up until now, have been working to try to ensure that the agreement stays on course.
ParlaMint-GB_2020-09-21-commons.u334	Will the hon. Member give way?
ParlaMint-GB_2020-09-21-commons.u335	Yes.
ParlaMint-GB_2020-09-21-commons.u336	Order. It is not possible to speak from those Benches. The hon. Gentleman must find another place in the Chamber.
ParlaMint-GB_2020-09-21-commons.u337	Thank you, Sir Graham. The hon. Member mentioned the protectionism in the Belfast agreement. That is its name: the Belfast agreement. Unfortunately, from a Unionist perspective, the protections that we were sold as ensuring and enshrining our right to be part of the United Kingdom until such time as the people of Northern Ireland decided otherwise are being eroded from below our feet by the withdrawal agreement and the clause associated with Northern Ireland. That has to be recognised. Do you recognise, as a Unionist, that this does not give you much comfort?
ParlaMint-GB_2020-09-21-commons.u338	I am grateful to the hon. Member for his intervention. I think his question was aimed at me, rather than you, Sir Graham. First, just to give Members some encouragement, Members from Northern Ireland can sort out some choreography at times in terms of speaking, so all is not lost entirely, but it is important that the hon. Member appreciates a number of points As I said, the principle of consent is hard-wired into the withdrawal agreement. At the same time, however, I think it is naive not to accept that what had been a relatively stable situation in Northern Ireland around the constitutional question has become much more fluid in recent years, to a large extent because of the fallout from Brexit. Whichever way things emerge over the coming months there will be some degree of political instability in that respect, and it is incumbent on us all to try to come to terms with that, to manage that and to keep people on board, making Northern Ireland work over the months and years to come I also stress to the hon. Member that another way of looking at the agreement is that it was, in essence, a grand bargain. We are approaching the centenary of Northern Ireland next year. For most of its history, Northern Ireland was a contested state and some people did not accept its legitimacy. We had a situation, for example, where the Irish constitution had a claim on the territory of Northern Ireland through articles 2 and 3 With the Good Friday agreement, arguably for the first time we had a sense that the vast majority of people on the island of Ireland accepted the legitimacy of Northern Ireland as an entity, albeit with the ability to change recognised as part of that agreement. That was a major win, particularly for Unionism. At the same time, there was a recognition of the interlocking relationships—in particular, the north-south aspect—on the island of Ireland. The problem is that Brexit has come in and destabilised that. In particular I have to say to my Unionist colleagues that their charge headlong into Brexit, given that grand bargain, was most irresponsible and short-sighted It would not have been possible for the Good Friday agreement to be concluded if the UK and Ireland were not simultaneously part of the European Union—in particular, the customs union and the single market. The protocol is a product of the UK’s decisions, choices and red lines on Brexit, so if there are concerns, grumbles or complaints about it, it is a product of decisions taken primarily by people in this Chamber over the past number of years In essence, there is a trilemma at the heart of this: the UK set out three mutually incompatible objectives, only two of which can be realised at any one time. The first was that there would be an open border on the island of Ireland, the second was that the whole of the UK would leave the customs union and single market, and the third was that special measures for Northern Ireland were ruled out. The first has been a given for the best part of four years, and was rightly recognised at the start of the Brexit negotiations. The second was the determination of this House, which ruled out a softer version of Brexit, with the entire UK remaining part of the customs union and single market—an outcome that would still have been consistent with the referendum result. The third is something that the UK has essentially had to concede through the protocol Whatever way we look at this, when a decision was taken to leave the customs union and single market, some sort of interface was going to have to be managed with the European Union’s single market and customs union. The backstop was the first attempt—I believe it was much maligned and a missed opportunity. The protocol was the next alternative, and the Prime Minister bought into it last October. It is an attempt to square an impossible circle, but we have to do our best in that regard; there will not be a neat and easy solution. The protocol is imperfect, but it represents the bare minimum of what is required to address the particular challenges and circumstances that Northern Ireland faces Like the hon. Member for Belfast South (Claire Hanna), I do not want to see any borders anywhere inside these islands, but we have to face the reality that some line will have to be drawn on a map, and wherever it is, some political, emotional and psychological implications will arise from it. It is easier to manage that down the Irish sea than on a land border, as a purely pragmatic analysis of the situation. As has been said, there are seven crossings down the Irish sea, and potentially more than 200 on the land border. People talk about the value of east-west trade, and I certainly recognise that, but the counterpoint to that is to recognise the sheer number of movements on the island of Ireland. The opportunity to have some degree of regulation is more readily applied on the Irish sea interface because there is more dead time, in terms of air and sea travel, than there is on the land border, with land-based transport and much more just-in-time delivery. Those are the sad choices that we are being asked to face up to in Northern Ireland We need to make the protocol as light touch as we can to move from what is essentially a solid line on a map to a dotted line. We need to work through the Joint Committee to address the outstanding issues and agree the future relationship. That would make the application of the protocol much easier. To make progress in both respects, the UK has to build up the trust and confidence of the European Union. Essentially, the UK is asking the EU to take it on trust that certain procedures that would otherwise be rigorously required under the terms of the protocol can be disapplied, with flexibilities and modifications shown. The situation with the UK threatening to breach the very withdrawal agreement that gives rise to the protocol will not give the European Union confidence that the UK will honour any flexibilities that it chooses to grant through the protocol New clause 6 sets out perhaps one example of the type of situation I am referring to. In essence, the protocol reflects the fact that Northern Ireland remains part of the UK’s customs territory, but the EU customs code is applied down the Irish sea. That was the compromise—I stress that—worked out last year by the Prime Minister, among others.
