ParlaMint-GB_2016-02-23-commons.u1	1. What steps the Government are taking to support the global abolition of the death penalty.
ParlaMint-GB_2016-02-23-commons.u322	Macmillan Cancer Support has warned that cancer patients could be at risk of losing their homes if proposed Government cuts to ESA go ahead. Does the Minister have anything to say to Macmillan?
ParlaMint-GB_2016-02-23-commons.u323	What I would say is that Macmillan has also said that many people diagnosed with cancer would prefer to remain in real work or return to their job during or after treatment. It is important that the House recognises—[Interruption.] If the hon. Member for Pontypridd (Owen Smith) would like to intervene he is very welcome to do so, but I think he should let me finish my point before he starts chuntering away. It is essential that people suffering with cancer get the right support. Obviously, when people are in the ESA support group and are unable to work, they will remain in the support group and be supported financially If I may come back to the point on Lords amendment 1—
ParlaMint-GB_2016-02-23-commons.u324	rose—
ParlaMint-GB_2016-02-23-commons.u325	Is this on Lords amendment 1?
ParlaMint-GB_2016-02-23-commons.u326	It’s about Macmillan.
ParlaMint-GB_2016-02-23-commons.u327	I give way to the hon. Gentleman.
ParlaMint-GB_2016-02-23-commons.u328	I am grateful to the Minister. She prays in aid Macmillan. Will she confirm that it is opposed to the £30 a week reduction for members of the ESA work-related activity group? It is not in favour of it; it is opposed to it.
ParlaMint-GB_2016-02-23-commons.u329	I think Macmillan, alongside the Government, recognises that those on the support group will, rightly, not be affected. They will be supported, because they are in the support group and therefore obviously ill.
ParlaMint-GB_2016-02-23-commons.u330	Will the Minister give way?
ParlaMint-GB_2016-02-23-commons.u331	No, I will not give way. I am speaking to Lords amendment 1.
ParlaMint-GB_2016-02-23-commons.u332	Will the Minister give way?
ParlaMint-GB_2016-02-23-commons.u333	I am going to make some progress on Lords amendment 1, and then I will give way to the hon. Gentleman I turn to why statutory income measures failed. They are flawed as they do not drive the right action to transform children’s lives. It is worth demonstrating that with a few examples. The Government are undertaking crucial reforms to improve people’s life chances, such as introducing the national living wage and increasing the personal allowance for the hardest-pressed families. Those policies will provide support for the hard-working families who need it the most, yet, according to Labour’s failed approach to measuring child poverty, their introduction would have supposedly led to an increase in child poverty. That failed approach incentivised the wrong actions. For example, it led the previous Labour Government to tackle the symptoms of poverty through expensive income transfers, such as spending more than £300 billion on working-age welfare and tax credits between 2003-04 and 2008-09, with very little return. The strategy failed to tackle the root causes of child poverty and did not make a long-term difference to children’s prospects.
ParlaMint-GB_2016-02-23-commons.u334	I will give way shortly The number of children in relative poverty remained broadly unchanged. In short, there are fundamental weaknesses in that system, which the Government are seeking to put right through our life chances measures.
ParlaMint-GB_2016-02-23-commons.u335	The Minister would perhaps want me to remind her that child poverty fell by 1 million under the Labour Government, which is something we should be proud of. Her own advisers advised against removing the child poverty indicators, so why is she headstrong in ignoring the advice not just of the other place but her own commission, which has said that this is wrong?
ParlaMint-GB_2016-02-23-commons.u336	We discussed this issue in Committee. I just reiterate that the Government are right in our approach: we are focused on tackling the root causes of poverty. Ultimately, as the Prime Minister said in his recent life chances speech, we are here to make sure we can tackle those long-term root causes. This is not just about measurement. The economy cannot be secure if we spend billions of pounds on picking up the pieces of social failure. Economic reform and social reform are not two separate agendas, they are connected to one another. Therefore, it is imperative that we focus our resources on how we can transform people’s lives, which is through tackling the root causes. The path I urge the House to take is the one that will incentivise the right action, and the one that the evidence tells us will make the biggest difference to children’s life chances. That is precisely why the Government are seeking to introduce the life chances measures contained in the Bill. The statutory measures on worklessness and educational attainment, combined with the non-statutory measures in the forthcoming life chances strategy—such as family breakdown, problem debt, and drug and alcohol dependency—will drive the right actions to transform children’s lives.
ParlaMint-GB_2016-02-23-commons.u337	Will the Minister give way?
ParlaMint-GB_2016-02-23-commons.u338	Just bear with me a second. [Hon. Members: “Ooh!”] There is no need to be childish. I will give way to the hon. Member for Ilford North (Wes Streeting).
ParlaMint-GB_2016-02-23-commons.u339	I am grateful and surprised that the Minister has given way. I am sure the Prime Minister is delighted to see her back on message today, as she has not been in the past few days. She talks about the measures in the Bill. How can she go against the advice of her own Government’s commission when it says that “it is not credible to try to improve the life chances of the poor without acknowledging the most obvious symptom of poverty, lack of money.” When is she going to listen to the Government’s own advisers?
ParlaMint-GB_2016-02-23-commons.u340	Let me remind the hon. Gentleman that we continue to publish data on low-income households. This information is still being published—[Interruption.] It might not be the information that the hon. Gentleman wants to know about, but we are publishing it, alongside doing something that previous Labour Governments successively failed to do—transforming lives, addressing the root causes of poverty and, importantly, ensuring that we tackle the causes that have led to child poverty in the long run.
ParlaMint-GB_2016-02-23-commons.u341	The hon. Member for Denton and Reddish (Andrew Gwynne), who made a point about child poverty but is no longer in his place, seemed to indicate that owing to the recession under the last Labour Government, child poverty fell. Does that not show the fallacy of Labour arguments and reveal that we are trying to seek the root causes of poverty rather than provide some measure that simply does not work?
ParlaMint-GB_2016-02-23-commons.u342	My hon. Friend is right. It is absolutely clear that when children are the future of our country, it is right to focus on delivering better life chances for them. When we publish the life chances strategy in spring, we will make the biggest difference to children’s life chances now and in the future. We must seek to rescue a generation from poverty by extending life chances right across our country. We must build a country where opportunity is more equal, with stronger communities and young people who can face the world with a background of experiences and characteristics that we know are vital for their success. As my right hon. Friend the Prime Minister said, we must seek to “transform the life chances of the poorest in our country and offer every child who has had a difficult start the promise of a brighter future.”
ParlaMint-GB_2016-02-23-commons.u343	Did the Minister see the report published by the Centre for Social Justice last month, which set out a way of combining the life chances indicators—interesting information will be provided in them—with income indicators, so that we do not ignore income, which is so clearly a key aspect of the whole issue?
ParlaMint-GB_2016-02-23-commons.u344	I thank the right hon. Gentleman for his intervention and his comment. We will publish the life chances strategy in the spring, and I think it will give us every opportunity to consider holistically all the factors that can lead to better outcomes for children and families. I recognise the right hon. Gentleman’s point. On the back of the remarks I have made, I urge hon. Members to support the Government motion and reject Lords amendment 1 Let me deal now with Lords amendments 8 and 9, which as you indicated, Mr Deputy Speaker, impinge on the financial privileges of the House. These amendments would simply delete clauses 13 and 14 from the Bill. This would reverse the plan, announced in the summer Budget and endorsed by this House, to align the amount paid to ESA claimants in the work-related activity group to that which is paid to JSA claimants, and to align the amount paid to universal credit limited-capability-for-work claimants to that of the UC basic rate. Let me take this opportunity to stress the Government’s strong belief that this reform is the right thing to do. It is part of our efforts not just to improve people’s life chances but importantly to support them going into work so that they can reach their full potential. Let me explain why Record employment levels and strong jobs growth in recent years have benefited many, but those benefits have yet to reach those on ESA. While one in every five JSA claimant moves off benefit each month, this is true of just one in 100 ESA claimants in the work-related activity group. This Government believe that people with health conditions and disabilities deserve better and deserve more support. [Interruption.] I appreciate that Labour Members have no solutions for tackling the wider issues surrounding welfare and would rather simply continue to spend public money in an unsustainable way. We have listened to charities and campaigning organisations who say that improved employment support is key to helping people with health conditions and disabilities to move closer to the labour market and, when they are ready, into work.
ParlaMint-GB_2016-02-23-commons.u345	I look forward to reading the Minister’s White Paper, but is she not approaching the matter the wrong way round? Should she not introduce the White Paper first and then look at making changes to ESA? What does she say to her colleague, the hon. Member for South Cambridgeshire (Heidi Allen)—I look forward to hearing her contribution later—who said on “ConservativeHome” this morning: “The beauty of this intermediate WRAG group is that it is just that—intermediate, on the road to returning to work but not quite there yet”?
ParlaMint-GB_2016-02-23-commons.u346	I rather think the hon. Gentleman makes my point for me in the sense that those in the work-related activity group need more support. Currently, they have been getting too little support. That is exactly the purpose of our reforms. We believe that we must tackle this issue, and provide—yes—the right financial security for individuals, but at the same time also look at the most effective ways to improve the wellbeing of those individuals by giving them support to get back to work. Almost half a million people in the work-related activity group get too little support to move back into work. We currently disincentivise them from doing so. As I say, they deserve better than that, and the Government are determined to take the necessary steps to transform their life chances by supporting them into work The Government are committed to ensuring that disabled people are able to participate fully in society, and we have set out our ambition to halve the disability employment gap. It is a duty of Government to support those who want to work to do so, and most people with disabilities and health conditions, including the majority of ESA claimants, tell us that they want to work. Some 61% of those in the work-related activity group tell us that they want to work, and we mean to put those people’s ambitions at the centre of what we do.
ParlaMint-GB_2016-02-23-commons.u347	We have established that Macmillan Cancer Support disagrees with the Minister on this issue. Parkinson’s UK, Mind, and Rethink Mental Illness, whose chief executive wrote to all of us, say that they strongly disagree. So can the Minister tell us the name of any organisation representing disabled people that agrees with the position that the Government have taken?
ParlaMint-GB_2016-02-23-commons.u348	What I would say to the right hon. Gentleman is that we have been working with organisations and disability groups, and we have actually been listening to them. [Interruption.] Rather than making generalised comments from a sedentary position, Labour Members should realise that we are working with those organisations as we move forward with our White Paper—
ParlaMint-GB_2016-02-23-commons.u349	Will the Minister give way?
ParlaMint-GB_2016-02-23-commons.u350	No, I will not The ESA system was set up by Labour in 2008 to support people with health conditions and disabilities into work. Despite being set up with the best of intentions, it has failed the very people it was designed to help. The original estimates were that far more claimants would move into work. A White Paper was published in 2008, setting out that the then Labour Government aimed to reduce the number of people on incapacity benefits by 1 million by 2015 We have spent £2.7 billion this year on the ESA work-related activity group, but as I mentioned earlier, only around 1% of people in this group actually move off the benefit every month. I think it is fair to say that this benefit is not working as anyone intended it to work and, most importantly, it is failing claimants badly. The Government are committed to spending taxpayers’ money responsibly in a way that improves individuals’ life chances, and helps to move people off benefits and into work Those in the work-related activity group are given additional cash payments, but very little employment support. As the Prime Minister has recently stated, this fixation on welfare treats the symptoms, not the causes of poverty, and over time, it traps people into dependency. That is why we propose to recycle some of the money currently spent on cash payments, which are not actually achieving the desired effect of helping people move closer to the labour market, and put it into practical support that will make a genuine difference to people in these groups In addition to the practical support, which is part of a real-terms increase that was announced in the autumn statement, we need to reflect on how spending the £60 million to £100 million of support originally set out in the Budget will be influenced not only by Whitehall, but by a taskforce of representatives from disability charities, disabled people’s user-group organisations, employers, think-tanks, provider representatives and local authorities. So far, we have worked with charities including Scope, Leonard Cheshire Disability, the Royal National Institute of Blind People, the National Autistic Society and the Disability Action Alliance During the passage of the Bill, Members of this House and the other place raised concerns that we are expecting claimants who have been found “not fit for work” to be able to work. That is not the case. Claimants in the work-related activity group have been found to have “limited capability for work” and that is very different from being unfit for any work. Of course there may be limitations on the type and amount of work people in the work-related activity group can do, and they may also need workplace adjustments, but employment is not ruled out. That is the reason for the ESA permitted work rules. The distinction is important, because the misconception helps to drive people further away from the labour market, perpetuates the benefit trap, and undermines the life chances of claimants.
ParlaMint-GB_2016-02-23-commons.u351	The Minister has mentioned fluctuating conditions. It is well known that mental health problems cause fluctuating conditions which are very hard to deal with, but 50% of the people affected by the cut in ESA have such problems. Surely that has not been built into the Government’s thinking. What analysis has the Minister made of the impact?
ParlaMint-GB_2016-02-23-commons.u352	I have just touched on what we are doing to find extra employment support. As I have said, we are working with other organisations, and I have named only some of them. However, the issue of mental health is crucial to the way in which we connect our systems, working with the NHS. A joint working group from the Department for Work and Pensions and the Department of Health is looking into how we can help members of the ESA work-related activity group with mental health conditions, provide signposts for them, and secure treatment for them as well.
ParlaMint-GB_2016-02-23-commons.u353	When the Opposition talk about income, what they really mean are welfare benefits. That is not what we mean when we talk about income. All the evidence shows that 75% of children in relative poverty will be removed from the poverty indicator if both parents in the household are working. There are now more children in families in which people are working than ever before: that is this Government’s record As for ESA, some of us have met people with significant disabilities who are working, such as the people from National Star College in Gloucestershire who are now working with EDF Energy. It is amazing to see what a difference that makes not just to their incomes, but to their overall life chances and life happiness.
ParlaMint-GB_2016-02-23-commons.u354	My hon. Friend is right to highlight the importance of work to people who have previously been locked out of employment opportunities. We have many schemes, but Disability Confident is a very good example of how we can work with employers to deliver sustained employment opportunities for people with disabilities. The Government are doing additional work on a wide-ranging employer strategy, working with employers specifically to establish how we can address the disability employment gap and how they can give people with disabilities more structured and sustained employment opportunities It is important to recognise that the changes in employment and support allowance and universal credit work together, and cannot be dealt with in isolation. We have invested a significant amount in universal credit to ensure that we keep people connected and engaged with the labour market from the outset of their claims. Unlike those claiming employment and support allowance, universal credit claimants with a health condition or disability are offered labour market support, when that is appropriate, at the very start of their claim. That helps them to remain closer to the labour market, even if they are not immediately able to return to work. It also provides them with employment support, advice or training to get back into work, which, in the long run, will help them to obtain jobs I stress that this change does not affect those in the ESA support group or the universal credit equivalent. It also does not affect the premiums that form part of income- related ESA. Moreover, existing ESA claimants will not be affected. There will be no cash losers, and the policy applies only to those who apply for ESA and subsequently enter the WRAG from April 2017. We also aim to protect those who move off ESA to try to work. Those who were receiving the component and returned to ESA within 12 weeks because they could not cope with work will be able to reclaim ESA and receive the component again. Hopefully, that will help to dispel the myth that everyone who is currently in the work-related activity group will be affected by the change. Universal credit works in a different way from ESA, but we aim to put similar protections in place This reform is a first and necessary step towards a wider reform package. In the autumn statement, my right hon. Friend the Chancellor announced that the Government would publish a White Paper this year that would set out our plans to improve support for people with health conditions and disabilities to further reduce the disability employment gap and promote integration across health and employment. That will include exploring the roles of employers Clauses 13 and 14, together with the additional practical support announced in the Budget, will provide the right support and incentives to help people with limited capability for work move closer to the labour market and, when ready, into work. In the light of those arguments, I hope that Members will feel able to support the Government.
ParlaMint-GB_2016-02-23-commons.u355	I support Lords amendment 1, which deals with child poverty reporting obligations, and amendments 8 and 9, which relate to the proposed cuts in the employment and support allowance work-related activity component and the universal credit equivalent Lords amendment 1 places a reporting obligation on the Secretary of State, requiring an annual report on child poverty to be laid before the House. The amendment stipulates that the report must include information on the percentage of children living in poverty as originally described in the Child Poverty Act 2010, and based on household income and material deprivation The Bishop of Durham, who moved the amendment in the Lords, emphasised the importance of income to an understanding of child poverty and children's wellbeing and life chances. He said that income measures would not supplant the Government's other measures relating to worklessness and educational attainment. These measures will ensure that the income-based measures of child poverty, which have been collected in the UK and other developed countries for decades, will be retained, allowing year-by-year comparisons and holding the Government to account Various charities, including the Children's Society, the Child Poverty Action Group and End Child Poverty, have called on the Government not to abandon the income-based measures of child poverty, as has the Equality and Human Rights Commission. In a letter published in The Times today, 177 child health academics have written in support of retention of those measures. Even UNICEF has urged the Government to retain the income-based measures that are used in the 35 OECD countries, and that allow inter-country comparisons As has already been mentioned, the Government’s own 2014 evidence review of the drivers of child poverty found that a lack of sufficient income from parental employment—not just worklessness—was the most important factor standing in the way of children being lifted out of poverty. Even the Minister, in a recent Westminster Hall Debate, acknowledged that “Income is a significant part of this issue, but there are many other causes as well.”—[Official Report, 26 January 2016; Vol. 605, c. 72WH.] The Social Mobility and Child Poverty Commission’s 2015 annual report found that 2.3 million children were living below what is currently defined as the child poverty line, and the Resolution Foundation has estimated that in 2016 alone a further 200,000 children, predominantly from working households, will fall into poverty. That is on top of the projections of the Institute for Fiscal Studies that the falls in child poverty at the beginning of the century risk being reversed. The 1% uprating of benefits by itself in 2013 was estimated to have pushed 200,000 more children into poverty Given the Bill and the four-year benefit freeze, it is entirely probable that the increase in child poverty will rise even more steeply. A recent inquiry by the all-party parliamentary group on health in all policies into the impacts of the Bill on child poverty and health showed clearly that it could lead to an increase in the number of children facing the misery and hardship of poverty by as many as 1.5 million by 2020.
ParlaMint-GB_2016-02-23-commons.u356	I am sure my hon. Friend will agree that there are one or two things that we cannot allow Ministers to get away with. Tax credit, for example, was introduced by a Labour Government because the Conservative Government had done nothing about child poverty in the 1990s. More importantly, the Government say they want to get people into work, but in actual fact people who do get into work get zero-hours contracts, and women cannot get child tax credits as the Government have cut that. So much for doing something about child poverty! In Coventry there are 18,000 people using food banks. The Government are doing nothing about child poverty.
ParlaMint-GB_2016-02-23-commons.u357	My hon. Friend makes some very valid points and I am going to come on to some of them in a moment The implication of these measures in terms of the future health and wellbeing of children is stark. There is overwhelming evidence that child poverty has a direct causal impact on worsening children’s social, emotional and cognitive outcomes. One witness to the all-party inquiry said: “As children’s lives unfold, the poor health associated with poverty limits their potential and development across a whole range of areas, leading to poor health and life chances in adulthood, which then has knock-on effects on future generations.” There was unanimous agreement from those who provided evidence to the all-party inquiry that although there is a positive correlation between worklessness and educational attainment and poverty, they are not indicators or measures of poverty. Let me reiterate that two thirds of children in poverty are from working families.
ParlaMint-GB_2016-02-23-commons.u358	My hon. Friend is making an excellent case. Does she agree with the Institute for Fiscal Studies and others who have said that the prognosis for child poverty over this decade under this Government is bleak, and that what we are seeing in amendment 1 is the Government trying to hide information about what is happening to child poverty, rather than trying to tackle the underlying causes that lead to it, and that that is disgraceful?
ParlaMint-GB_2016-02-23-commons.u359	My hon. Friend makes a key point, and I will come on to some of the specifics shortly.
ParlaMint-GB_2016-02-23-commons.u360	The hon. Lady talks about in-work poverty, but can she confirm that under the last Labour Government in-work poverty rose by 20%?
ParlaMint-GB_2016-02-23-commons.u361	No So how does living in poverty affect children’s development? People—
ParlaMint-GB_2016-02-23-commons.u362	Will the hon. Lady give way?
ParlaMint-GB_2016-02-23-commons.u363	May I just make these points? Then I will give way to the hon. Gentleman. People on low incomes are often juggling to heat or eat, as we heard in this morning’s Westminster Hall debate on the bedroom tax. Being able to pay their rent is an increasing issue; 443,000 are currently affected. Having a secure, warm home with healthy, nutritious food are basic physiological needs. When these needs are not met, people’s health suffers both physically and mentally. This is particularly the case for children as they are developing. Being in work or well educated does not guarantee these essential needs; money does. Again, I make my key point: two thirds of children in poverty now are from working families The lack of evidence, to which my hon. Friend the Member for City of Durham (Dr Blackman-Woods) was alluding, is stark. Why was there no Government impact assessment of these proposals? We should look at the evidence from the United States, for example. It has been analysing the effects of its social security reforms, and that shows that programmes that focus specifically on parental employment failed; in fact, they had no effect or exacerbated children’s health issues. Conversely, programmes focused on supplementing the income of low-income families improved health.
ParlaMint-GB_2016-02-23-commons.u364	Indicators are exactly that; they are not things that can be tackled, whereas this Bill seeks to refocus the Government position on the underlying causes and symptoms. Does the hon. Lady agree that far from being hidden, the figures that she seeks to include in this Bill will still be reported in the households below average income report?
ParlaMint-GB_2016-02-23-commons.u365	The point here is about making the Government accountable for their policies that may in turn be affecting those measures I know the hon. Member for Gloucester (Richard Graham) wanted to intervene, too.
ParlaMint-GB_2016-02-23-commons.u366	The hon. Lady is very kind. Both her party and ours are committed to ending child poverty, so the starting point is the same. The difference, in a sense, is the value of the relative indicator. She knows that one of the difficulties with the relative indicator is that quite often it will apparently improve during times of recession, but go down in times of growth. How effective does she think that is, therefore? About £300 billion was spent on benefits between 2003 and 2008. How effective does she think that expenditure was?
ParlaMint-GB_2016-02-23-commons.u367	As a former public health academic, I will answer in the following way. We know the value of having indicators that we can compare over a long period; that is internationally recognised. They provide an opportunity for this Government and future Governments—and past Governments as well—to be monitored and to be held to account for their policies and the way in which they affect child poverty.
ParlaMint-GB_2016-02-23-commons.u368	Does my hon. Friend agree that it is important to remind those on the Government Benches that the Child Poverty Act 2010 had four measures: a relative poverty measure; an absolute poverty measure; a persistent poverty measure; and a material deprivation poverty measure? We were not relying on one simple measure.
ParlaMint-GB_2016-02-23-commons.u369	My hon. Friend is spot-on, and again this is what the Lords amendment is asking for: that the exact same measures be included I want to sum up on this point by referring to one of the witnesses, who is a clinical expert in child health. He said the Government are trying to refocus child poverty from “income-based indicators” to factors related to “family breakdown, debt and addiction”, conflating “the consequences of child poverty, with the cause—a lack of material resources.” That sums it up so well Let us turn now to the UK’s infant mortality rate, a proxy for the health of the nation. It is currently in the highest quarter of all EU15 countries. I was shocked when I heard that, and for under-fives we have the worst mortality rate in all of northern Europe. We should be ashamed of that. We know that infant mortality is strongly linked to poverty and material deprivation. We know from national statistics that there is a fivefold difference in the infant mortality rates between the lowest and highest socioeconomic groups. There is not a law of nature that says that children from poor families have to die at five times the rate of children from rich families.
ParlaMint-GB_2016-02-23-commons.u370	My hon. Friend is giving a characteristically calm, evidence-based explanation of why money matters, so does she agree that it is disappointing continually to hear the myth from the Government Benches that educational attainment or poor health is what causes poverty, rather than poverty that causes those things?
ParlaMint-GB_2016-02-23-commons.u371	Again, my hon. Friend sums it up perfectly.
ParlaMint-GB_2016-02-23-commons.u372	This is a serious question. If the hon. Lady is saying that the evidence shows that the mortality rate of poor children in this country is worse than in the whole of the rest of Europe and the benefits that we are giving are greater than those in the whole of the rest of Europe, something is not working. What does she think needs to be done to improve that?
ParlaMint-GB_2016-02-23-commons.u373	Again, the hon. Gentleman possibly does not have all the evidence. On spending-to-GDP comparisons, we do not do particularly well. The Marmot review of health inequalities concluded: “One quarter of all deaths under the age of one would potentially be avoided if all births had the same level of risk as those to women with the lowest level of deprivation.” Again, we should recognise that we are talking about people living in our constituencies. Evidence to the all-party inquiry showed that eliminating UK child poverty would save the lives of 1,400 children under 15 every year. Furthermore, good early development is strongly associated with many positive outcomes in later life, including higher educational attainment and improved employment prospects in adulthood. As another of the witnesses to the inquiry said, we are facing a child poverty crisis. Having made real progress in reducing child poverty in the UK, it is imperative that we continue to invest in our children, and protect and support the most vulnerable in our society. The introduction of the so-called “living wage”, the increase in personal tax allowances and more free childcare will not, as the Institute for Fiscal Studies has clearly shown, offset the net loss to low-income households from tax and social security changes, including those in this Bill. I therefore urge Members from all parts of the House to support this amendment—our children’s futures depend on it Lords amendment 8 seeks to remove clause 13 and Lords amendment 9 seeks to remove clause 14. Clause 13 seeks to abolish the employment and support allowance work-related activity component for new claimants from April 2017 and replace it with universal credit. That would mean that social security support for people with a disability, impairment or serious health condition will reduce from £102.15 to £73.10, a cut of nearly £30 a week or £1,500 annually. The Government have argued that this is needed to “remove the financial incentives that could otherwise discourage claimants from taking steps back to work.” The Lords rejected this on a number of grounds. First, people in the ESA work-related activity group have gone through the work capability assessment and been found not fit for work. This includes 5,000 people with progressive conditions such as multiple sclerosis and Parkinson’s—conditions that will not improve. It also includes people with cancer. A survey conducted by Macmillan Cancer Support found that one in 10 cancer patients would struggle to pay their rent or mortgage if ESA were cut. The key issue is that these people are not fit for work, so suggesting that removing financial incentives will somehow make them fit for work is ridiculous.
ParlaMint-GB_2016-02-23-commons.u374	rose—
ParlaMint-GB_2016-02-23-commons.u375	I am sorry but I have given the hon. Gentleman a number of opportunities to intervene Secondly, there is overwhelming evidence of the extra costs faced by sick and disabled people, the associated poverty they experience as a result, and the clear implications for their condition. We know that 5.1 million out of the 12 million disabled people in this country live in poverty. We also know from the Extra Costs Commission that disabled people are twice as likely to live in poverty, 80% of which is due to the extra costs they face because they are poorly—because they have a disability Lord Low of Dalston, Baroness Grey-Thompson and Baroness Meacher’s excellent report “Halving the Gap?” expressed real concerns that the Government’s assessment of the impacts of this cut on disabled people, including the potential increase in the number of disabled people living in poverty, was inadequate. They assessed that the cut in financial support would have an injurious impact on this vulnerable group. The Equality and Human Rights Commission agreed, with its analysis being that it “will cause unnecessary hardship and anxiety to people who have been independently found unfit for work.” Thirdly, there is scepticism that there are employment opportunities for those sick or disabled people who may recover from their condition in the future. Approximately 1.3 million disabled people who are fit and able to work are currently unemployed, accounting for the disability employment gap of nearly 30% between disabled and non-disabled people. The Government have rightly said that we need to halve that, but they have been less open on how that can be achieved, and I agree with what the hon. Member for Airdrie and Shotts (Neil Gray) said about the disability White Paper. There is one specialist disability employment adviser to 600 disabled people trying to get into work.
ParlaMint-GB_2016-02-23-commons.u376	My hon. Friend is making a powerful point. Like me, she will see many of these people at her regular surgeries. It is clear to me from talking to them that the required support just is not there, and it is very expensive support that is needed. The Government talk a good game but do not deliver.
ParlaMint-GB_2016-02-23-commons.u377	My hon. Friend is absolutely right. I was about to move on to the support that is provided for disabled people through Access to Work. Last year, only 36,800 people received such support. Although I support the Disability Confident scheme, we must recognise that, across the country, there are only 112 active employers who support that initiative. How can we encourage and help disabled people who are fit to work into work when such limited measures are on offer? It is all topsy-turvy.
ParlaMint-GB_2016-02-23-commons.u378	Does the hon. Lady agree that the incidence of disability and the incidence of lack of work opportunities do not go hand in hand, and the problem is not evenly distributed throughout the UK?
ParlaMint-GB_2016-02-23-commons.u379	The hon. Gentleman makes a very valid point The suggestion that working four or five hours a week should recoup the loss of income with the introduction of the so-called living wage has been questioned by the Equality and Human Rights Commission. The Disability Benefits Consortium, a coalition of more than 60 disability charities, has said that the proposed cut will push sick and disabled people further away from work and into poverty. It will not help, as the Government have claimed. A recent survey shows the concerns not only of disabled people—seven out of 10 of them think that their condition will deteriorate with the introduction of the ESA WRAG cut—but of the public as well. A Populus poll of 2,000 adults in January revealed that 71% think that cuts to social security will make the UK a worse place for disabled people.
ParlaMint-GB_2016-02-23-commons.u380	This Government spend £50 billion a year supporting people with disability and health conditions. That is more than France and Germany. If what the hon. Lady is saying is true, it is not just about money, is it?
ParlaMint-GB_2016-02-23-commons.u381	Again, we need to look at our spend as a proportion of GDP. We are 19th out of 32—[Interruption.] No, France and Germany spend more. We spend 1.3% of GDP. We are 19th out of 32 EU countries. Contrary to what this Government perpetually claim about our generosity, we are not good at all in terms of the actual spend in relation to GDP. It was 1.6% of GDP in 1960. Now it is 1.3%. It is shameful. On those grounds, I ask all Members across the House to consult their consciences and support amendment 8. Let me move now to clause 14. Again, the Government have been more than a little disingenuous when they suggest that the reduction in social security support applies only to new ESA WRAG claimants from 2017. From this April, 492,180 people currently on ESA WRAG will start to migrate across to universal credit, which, as many people know, combines a number of benefits, including ESA, into one amalgamated benefit Clause 14 removes the limited capability for work component for the work element of universal credit. That means that everyone currently on ESA WRAG will ultimately be transferred on to universal credit and will also have their support cut by £29.05 a week, or £1,500 a year.
ParlaMint-GB_2016-02-23-commons.u382	Does my hon. Friend agree that there is a stark difference between the warm words of the Minister for Community and Social Care earlier on, when he talked about parity of esteem for mental health, and the proposals to penalise people with acute and chronic mental health problems?
ParlaMint-GB_2016-02-23-commons.u383	I thank my hon. Friend for his intervention. I absolutely agree with him What has been hidden so far is that this cut will also affect disabled people who are in low-paid work. Currently, 116,000 disabled people in low-paid work and working more than 16 hours a week receive the disabled workers element of working tax credit—about £60 a week—which they get as a result of being on disability living allowance or personal independence payments. They need that payment to cover the additional costs that they face as a result of work. Under universal credit, the limited capability for work component is the main additional financial support for disabled people in work and is meant to cover those extra costs. However, unlike the disability element of working tax credit, that is available only after working disabled people have been through a work capability assessment. If the Government go ahead and remove UC’s limited capability for work component from working disabled people, the inevitable impact will be disabled people dropping out of the labour market, thereby increasing, not reducing, the disability employment gap. It will have exactly the opposite effect to the one that the Government say that they want to achieve.
ParlaMint-GB_2016-02-23-commons.u384	rose—
ParlaMint-GB_2016-02-23-commons.u385	I am sorry; I am not going to take any more interventions Further cuts are bound to be made as the hasty consultation on the personal independent payment earlier this year is pushed through. The Government have tried to regenerate the economy on the back of the poor and disabled. Work does not protect against poverty, and the poor and disabled have been made to pay the price. This is about cuts to our social security system.
ParlaMint-GB_2016-02-23-commons.u386	Will the hon. Lady give way?
ParlaMint-GB_2016-02-23-commons.u387	No, I will not Instead of denigrating claimants in our social security system, we should recognise the important role that the system plays. Like the NHS, the social security system is based on principles of inclusion, support and security for all, assuring dignity and the basics of life for all, should any one of us become ill or disabled, or fall on hard times. Many hon. Members in all parts of the House believe that the Bill is a step too far, and I urge them to support Lords amendments 1, 8 and 9.
ParlaMint-GB_2016-02-23-commons.u388	Order. Everyone can see that a large number of hon. Members want to speak in the debate, which has to conclude at 5.36 pm. If Members can keep their speeches as brief as possible, we can get everyone in.
ParlaMint-GB_2016-02-23-commons.u389	Everything comes to he who waits—and that was a long wait, everyone will agree. I will try to be brief, as I have seen how many Members want to speak I want to explain why, despite some misgivings about minor details, the Lords amendments are not just wrong but a retrograde step that would make matters worse. No one in the Chamber would disagree that it is a policy failure that only 1% of WRAG claimants exit the scheme to take up employment. We should not lock that into legislation, as that policy failure is unacceptable. I see constituents who have come to my surgery because they are marooned in a no man’s land. Some have been found to have limited capability for work in the work capability assessment, and some have exhausted all avenues of appeal, but for various reasons they do not feel comfortable with transitioning to jobseeker’s allowance, even though in theory they might receive greater support to re-enter employment if they did so. I endorse the disability charities saying that we need more disability advisers in Jobcentre Plus. That is one use to which we could put the extra £100 million that the Government talk about.
ParlaMint-GB_2016-02-23-commons.u390	Will my hon. Friend give way?
