ParlaMint-GB_2016-12-15-commons.u1	1. What progress has been made on rolling out broadband to rural communities.
ParlaMint-GB_2016-12-15-commons.u355	On a point of order, Mr Deputy Speaker. I am sorry I have not given you notice of this point of order, but it occurred today. We had two very important departmental Question Times: the Department for Culture, Media and Sport and the Department for International Trade. We tried to cram in, in an hour, two Departments, with topical questions lasting only seven minutes. It clearly did not work. I am pleased the Leader of the House is in his place. Many Members were left disappointed and unable to scrutinise the Departments, which is what they came in to do. I am not sure whether this is something you control, Mr Deputy Speaker, or whether it is some other organisation, but it would seem sensible if we could go back to having an hour for DCMS questions and an hour for International Trade questions.
ParlaMint-GB_2016-12-15-commons.u356	As the hon. Gentleman knows, this is not a matter for the Chair, but it is certainly a matter for the usual channels. I am sure they can have a discussion and reflect on it. There is a nod from the Leader of the House. I know what a great man he is and I am sure that that will all be looked into as a matter of course and duty.
ParlaMint-GB_2016-12-15-commons.u357	On a point of order, Mr Deputy Speaker. The Leader of the House is now present. Further to my earlier point of order, I wonder whether you would allow him to correct the record.
ParlaMint-GB_2016-12-15-commons.u358	If the Leader of the House wishes to do so, I am always willing to hear him, but if not—[Interruption.] It is up to the Leader of the House. As much as the hon. Member for Glasgow South (Stewart Malcolm McDonald) wants to entice the Leader of the House, it is for the Leader of the House to choose The right hon. Member for Leicester East (Keith Vaz) has been very, very patient. His patience is now running thin. He has been up and down waiting to present his Bill—he is going to wear out the carpet Bill Presented Diabetes Inpatient Care Presentation and First Reading (Standing Order No. 57) Keith Vaz presented a Bill to require the Secretary of State to ensure that all diabetic patients are identified on admittance to hospital and have their diabetes condition monitored while in hospital by a specialist diabetes team; and for connected purposes Bill read the First time; to be read a Second time on Friday 24 February 2017, and to be printed (Bill 115).
ParlaMint-GB_2016-12-15-commons.u359	I beg to move, That this House notes the statement presented to the Treasury Committee on 20 July 2016 by Dr Andrew Bailey of the Financial Conduct Authority (FCA); endorses his statement that the ad hoc creation of a compensation scheme within the FCA was not entirely successful and lacked perceived authority to treat customers with fair outcomes; believes that the recent headlines and allegations in the press against RBS will lead to pressure for a similar scheme; notes that many debates in this House over the years have focused on similar subjects with different lenders; believes that what is needed is not ad hoc compensation schemes, but a long-term, effective and timely dispute resolution mechanism for both regulated and unregulated financial contracts; and calls on the FCA, the Department for Business, Energy and Industrial Strategy and the Ministry of Justice to work with the All-Party Parliamentary Group on Fair Business Banking to create a sustainable platform for commercial financial dispute resolution In time-honoured fashion, I thank the Backbench Business Committee for allowing us to bring the motion to the main Chamber. I expect that many hon. Members will wish to raise constituency matters. Many constituents have experienced mis-selling by banks and had loan dealings with them. Today, we are trying to move beyond individual cases, serious as they are, to try to find a broad permanent resolution system I would also like to thank the hon. Member for Aberconwy (Guto Bebb) and my hon. Friend the Member for Berwickshire, Roxburgh and Selkirk (Calum Kerr), who were my predecessors as chair of the all-party group on fair business banking. The all-party group rose out of the interest rate hedging product mis-selling. We can lay that at the door of many different banks—Clydesdale, Royal Bank of Scotland, HBOS, HSBC and so on—but today I want to direct the Minister to the point that, after eight years of dealing with this problem, we need to look to the future and a more permanent resolution. I suspect many hon. Members will have cases, as I have, where it is not just that an individual’s business has been affected or that money has been lost; the impact on an individual’s mental health is also a very serious issue.
ParlaMint-GB_2016-12-15-commons.u360	I thank the hon. Gentleman for raising this incredibly important issue. Does he agree that along with all the people who suffered the horrendous loss of their business and livelihood, we need to think about whistleblowers, the incredibly brave people who risk everything to expose wrongdoing? They need to be properly treated, too.
ParlaMint-GB_2016-12-15-commons.u361	The right hon. Gentleman makes a fair point. In my experience, it has been those very whistleblowers who have suffered most in terms of mental stress. They started off trying to present justice to the community, the banking world and small businesses, and ended up losing their job, their family and their partnerships. They are still suffering to this day The issue is also economic. We have had eight years where, although there has been economic growth, levels of productivity have been poor, if not flatlining. A lot of that is due to the underperformance of the small business sector. It is not just individual businesses that have been affected by mis-selling and the lack of resolution. It has carried on to a lack of investment in new businesses, and it has been an additional factor in important entrepreneurs withdrawing from the business process. Unless we find a permanent resolution, we will not be able to create the economic growth that I know all of us in this House hope to see.
ParlaMint-GB_2016-12-15-commons.u362	My hon. Friend is right that a number of Members have constituency cases. He will be aware of my constituent, Mr Neil Mitchell, whose business was forced into administration by the RBS Global Restructuring Group. He finds himself almost in the role of whistleblower by trying to take private legal action. Does my hon. Friend share my disappointment at the lack of willingness of RBS to engage in dispute resolution, in particular the unwillingness of the chief executive to meet my constituent personally? Does he share my hope that the proposals in the motion, which I was glad to sponsor, can be taken forward?
ParlaMint-GB_2016-12-15-commons.u363	I take my hon. Friend’s point. There are so many individual cases. They cut across all the nations of the United Kingdom and Members of all parties. My plea to the Minister is that we desperately need to find a permanent resolution.
ParlaMint-GB_2016-12-15-commons.u364	My hon. Friend made a good point about encouraging small businesses. It is important that we get a fair deal for small businesses. He will be aware of the case of my constituent, Mr Jim McGrory, who was looking to refinance at a preferential rate, but was faced with high exit fees and termination clauses that had not been made clear in the terms and conditions. That is crucial for small businesses, and it was crucial for Mr McGrory.
ParlaMint-GB_2016-12-15-commons.u365	Indeed. That brings us to the nub of the issue: the imbalance in power between an individual small business and a bank.
ParlaMint-GB_2016-12-15-commons.u366	I have a constituent in a similar situation to the constituent of my hon. Friend the Member for North East Fife (Stephen Gethins). My hon. Friend the Member for East Lothian (George Kerevan) is right to talk about an imbalance. My constituent’s business was put under by the Royal Bank of Scotland. He found that taking legal action was almost impossible, because RBS, bailed out by the taxpayer, was in a much stronger financial position than he was. My hon. Friend’s suggestion of an alternative mechanism gives at least a real chance for these businesses to take on the massive banks, which the public have bailed out.
ParlaMint-GB_2016-12-15-commons.u367	Indeed. It is clear in Scotland—it might be true of other parts of the UK—that the major banks have signed up many solicitors, making it almost impossible for someone to find a lawyer to represent them, even if they want to take action against a bank, difficult as that would be, given the financial ability they wield in court.
ParlaMint-GB_2016-12-15-commons.u368	Does the hon. Gentleman also agree that the absence of a clear dispute resolution process actually incentivises bad behaviour and sharp practice? If the banks know that there is no proper mechanism to challenge wrongdoing, it encourages that bad behaviour.
ParlaMint-GB_2016-12-15-commons.u369	rose—
ParlaMint-GB_2016-12-15-commons.u370	Order. I just want to remind hon. Members that opening speeches are usually up to 15 minutes long—there is some flexibility—and to warn them that I will be applying a formal limit of up to eight minutes so that everyone can get a fair shot.
ParlaMint-GB_2016-12-15-commons.u371	For that reason, having been reasonably accommodating, I will press on to the nub of my argument For a permanent resolution of the problem, we need three different mechanisms. First, we need a shift in the legal onus on banks to provide a duty of care or good faith in how they deal with customers, particularly business customers. That is open for broad debate—over the years, the banks have been unwilling to accept a narrow duty of care—but we need to redress the balance between major banks and small business clients by providing a mechanism around the legal onus on banks. I would even accept it, initially, if the banks collectively were prepared to come forward with a solution themselves. Secondly, given that many small companies end up insolvent, we need a more balanced insolvency practice to remove the possibility of banks or lenders being tempted to force small and medium-sized enterprises into unnecessary or premature insolvency. Finally, we need a new permanent and effective redress system for banks and small businesses in dispute. In effect, putting those three together, we need to change bank culture In order, I hope, to build some common ground with the Minister, I should acknowledge that the Government have already moved some way in recognising this issue. The Government’s impact assessment on the establishment of a small business commissioner in the Enterprise Act 2016 reads: “The Government is concerned that for small firms, negotiating a contract with a larger business can be challenging… Government has been told that small businesses often feel intimidated and accept such terms (rather than walking away from a proposed contract or refusing to agree to a change) and there is concern that larger firms”— for that, read “banks”— “sometimes use their market power to impose unfavourable terms.” That, I think, is what lay behind the issue of the hedging products sold to small businesses during the economic boom in 2006 to 2008. The Government have recognised the general problem, therefore; it is just a matter of how we resolve it Just to show that there is a broader political agreement on this, from right and left, I want to quote the Minister of State, Department for Environment, Food and Rural Affairs, the hon. Member for Camborne and Redruth (George Eustice), who wrote a piece for the Free Enterprise Group three years ago, entitled “Defending the rights of those who take risks”, in which he wrote: “Over the years...the banks have contractually extended their rights through their ‘standard terms and conditions’ to give LPA”— the Law of Property Act 1925— “receivers general powers of sale, to set aside the limit on the fees that a receiver may charge and to load all associated costs on to the borrower. They have even moved to grant themselves the right to peaceably re-enter properties over which they have a charge without any recourse to the courts. The contractual extension of power taken by the banks goes well beyond what was originally envisaged in the Law of Property Act 1925.” In other words, the banks have gradually extended their powers of receivership, making it increasingly difficult for small companies in financial difficulties to get redress, and leading to the situation with RBS’s Global Restructuring Group, which has now re-entered the public domain with the initial report from the Financial Conduct Authority I expect the Minister to tell us that ultimately, if there is to be a change in the redress process, it has to come from the FCA. To that end, the all-party group on fair business banking has been consulting the FCA, and subsequent to that, I raised the matter with Mr Andrew Bailey, its new chief executive, when he appeared before the Treasury Committee. I asked if he drew any relevant conclusions from the FCA’s experience with the banks in drawing up ad hoc processes of redress for the various mis-selling schemes, and he said that he did. He said that the problem arose where schemes lay “outside the regulatory perimeter”—much of the mis-selling was of unregulated products—but that the FCA had learnt from the experience, having come late to it, that businesses felt they had not had their day in court. He went on: “Now, they do not want to have a literal day in court because that is obviously very expensive. However, what I conclude from this is that it”— the ad hoc procedures— “is not satisfactory from the point of view of the FCA, because the FCA has been involved in creating a lot of bespoke processes. We discussed this on the board a number of times. Were there to be a mechanism that could substitute for these—let us loosely call it a tribunal, for the sake of argument—rather like the ombudsman but for more complex cases, because corporate cases often are more complex, this would be a big step forward. From the point of view of the things that come out, we are creating a lot of work for ourselves. However, I am very sympathetic to the people involved, so we have to do it. However, if there were to be a process that could substitute for this…I think this would be a big step forward.” We are proposing the idea of a tribunal. At this stage, it is a generic proposal, and there are issues to be discussed. It would, for example, cross the boundaries of the devolved Administrations, so if we went down this road, there might have to be separate institutional tribunal procedures in Scotland. There are also financial issues, but since we are dealing with redress where the FCA has decided that a bank has been involved in mis-selling—in other words, since we are already in the territory where a bank is going to pay—any permanent tribunal system could be funded by the banks. The all-party group is open to a general discussion with the Government about how to proceed, but the general backing from the FCA is there; it is just a matter of the detail This is important because the issue has not gone away. The situation with RBS GRG is coming back into the public domain. RBS has put forward a new ad hoc procedure for dealing with complaints from small businesses put into GRG. We have advance notice of a report, not yet finalised by the FCA, in which, having taken technical advice, it has clearly found a conflict of interest in how RBS handled the cases of companies put into GRG: the part of the bank taking over and reselling properties from the insolvent companies was part of GRG. In effect, therefore, the bank was putting companies into insolvency, taking their property and handing it over to another part of the bank, and generating cash that way Given that this issue has reappeared and that there is a public debate over the nature of the redress system, we are not looking at legacy items; we are looking at a future situation in which the Royal Bank of Scotland is creating an ad hoc redress system that we need to ensure is a correct one I know that other Members want to participate in the debate. The bottom line for the Minister is that there is now an ongoing process of debate and a general consensus, even from the FCA, that we need a more permanent resolution system and that we need to go beyond just looking at insolvency law. The door is open for the Government to join the rest of us on both sides of the House to ensure that that resolution process is provided.
ParlaMint-GB_2016-12-15-commons.u372	As I said, we will have a voluntary limit of up to eight minutes. If it is not voluntary, it will have to be imposed.
ParlaMint-GB_2016-12-15-commons.u373	It is a great pleasure to follow the hon. Member for East Lothian (George Kerevan). I congratulate him and I congratulate the Backbench Business Committee on granting the debate. I rise to speak as chairman of the all-party group on alternative dispute resolution. We are about to embark, in tandem with the hon. Gentleman’s all-party group, on an inquiry into precisely what he has proposed in the debate. We will be looking at the sort of dispute resolution that could be put into place for these sort of disputes I want to concentrate on the part of the motion that refers to the creation of “not ad hoc compensation schemes, but a long-term, effective and timely dispute resolution mechanism” that can be used to help solve these sort of issues. The hon. Member for East Lothian has set out admirably the reason for doing that, but I would say that the dispute mechanism already exists in the form of the alternative dispute resolution regime. I shall say more about that Businesses, including small and medium-sized enterprises, are left with no option except prohibitively expensive appearances in court. One of the great advantages that the alternative dispute resolution system brings is the potential to reduce the costs involved. This is not something that is strange to the financial services sector. A large number of commercial sectors automatically include alternative dispute resolution clauses within their commercial contracts The all-party group held a meeting on this recently, where we went through subject by subject, looking at how ADR could be incorporated within the system and used more often. We looked at the commercial area in quite substantial detail. One of the great things we were able to do was to bring together quite a disparate body of people who operate in the ADR field to see whether there were some common threads between them in approaching disputes such as those the hon. Gentleman mentioned and taking them forward The good news is that there was quite a lot of agreement about what we were aiming for, even though some of the methods of getting there were slightly different. For us, ADR includes arbitration, mediation, adjudication, expert determination, dispute boards and online dispute resolution. We also looked at examples to see how those elements could be—some already are—incorporated by financial services sectors in their contracts. The good news is that these were already being incorporated into contracts, so what we needed to do was to put pressure on the sectors to include them as a matter of course in their contracts, because that would help to solve these disputes.
ParlaMint-GB_2016-12-15-commons.u374	Will the hon. Gentleman clarify which sectors of the financial services he is referring to? Is it the retail sector or the business-to-business sector that is incorporating ADR? I have not seen many commercial contracts with ADR clauses in them from the banks.
ParlaMint-GB_2016-12-15-commons.u375	From memory, I think it was the business-to-business sector primarily, but there is absolutely no reason why it cannot include the business-to-retail sector as well. There is a great deal of ability for individuals to bring quite complex cases in a way that does not involve going to the courts, as I shall explain We are running out of time, so I shall deal with the issue right now. We all know that trying to bring a case to court is a very expensive business. It requires extremely expensive lawyers. What the arbitration or mediation process holds out is the ability for an individual to sit in arbitration and mediation between people in order to bring the dispute to a much earlier resolution. It could be said that this does not take away the need for a court to be involved, which is absolutely true, because the awards of the arbitration panel or the mediator have to be enforced by the courts. However, that is a long-stop for the ADR process, and I think we will see it being brought into play more infrequently Of course, Lord Justice Briggs has commented that he would prefer to see “alternative dispute resolutions” not called that—he wants the “alternative” taken out so that they are called “dispute resolutions”. I think that fits well with our own view of things. The other side is the issue of time and stress involved in taking forward cases within this sort of framework. It is absolutely true that the arbitration and mediation process takes away a lot of the stress of appearing in court and allows these sort of issues to be settled in a much more friendly way I look forward to the work that our two all-party groups will do on this issue. I think that the framework is already there, and I think we need to encourage banks to include clauses within their commercial contracts so that we can get back to ADR becoming the standard mechanism for resolving disputes, rather than using the internal complaints procedures of the companies as the starting point and the ending point of much of the discussion that takes place on these issues. On that note, I am happy to allow another Member to continue the debate.
ParlaMint-GB_2016-12-15-commons.u376	It is a pleasure to follow the hon. Member for Henley (John Howell), a fellow member of the Justice Committee and chair of the all-party group on alternative dispute resolution, of which I am a member. I welcome his contribution, and the motion in the name of the hon. Member for East Lothian (George Kerevan), to which I was pleased to add my name, as a Labour MP; I support its objectives on a cross-party basis The issue is of great importance, and the Minister has a duty to the House to respond in a positive way to the very straightforward demand made by Members today—a demand that we establish a universal mechanism that allows businesses and others in non-regulated sectors an appeals mechanism, so that they can have an independent review of their situation. The motion is important, and I support it. The demands are clear, and have not come out of the blue. The motion clearly refers to the statement made by Andrew Bailey of the Financial Conduct Authority to the Treasury Committee on 20 July 2016. He said that we needed to look at the fact that “the ad hoc creation of a compensation scheme within the FCA” had not worked, and that there was no mechanism in place for many businesses—Members will no doubt mention them today—to find a resolution. Remember, these are small businesses facing big banks that have the time, money, expertise and often patience to try to see out the complaints being made. The motion, which calls for an effective, sustainable platform for resolving commercial financial disputes, is therefore absolutely right and timely Although many financial firms may be regulated, business and commercial banking remains an unregulated activity in the UK. Businesses do not have the same level of protection as consumers; they have to rely on internal complaints procedures and on the Financial Ombudsman Service, which may not be well equipped to deal with some of these cases. Businesses have to consider the potential for expensive, protracted activity through the courts. All of this effectively militates against fairness when opportunities have been denied or wrongs done I am particularly concerned about the Royal Bank of Scotland, which remains in public ownership. We taxpayers still endorse and act on behalf of the bank. The Minister has to look at not just the complaints procedure proposed by the hon. Member for East Lothian on behalf of the all-party group on fair business banking, but the Government’s responsibility, on behalf of every taxpayer, for the services provided by, and the attitudes and responses of, a bank that remains owned by me, my hon. Friend the Member for Bootle (Peter Dowd) on the Front Bench and every Member of this House This matters because over 12,000 companies were pushed into RBS’s controversial turnaround division, called the Global Restructuring Group. We are talking about real pressures and real actions affecting real businesses, and the bank having acted unfairly. Indeed, it has now recognised that it acted unfairly and has provided a compensation scheme of its own, but there is no independent scrutiny of it, and not necessarily any independent endorsement of it yet, because as the hon. Member for East Lothian said, this has not yet been finalised. RBS has a major commitment to those 12,000 businesses. This also matters because of cases such as that of my constituent Clive May of Mold in Flintshire, north Wales. With his permission, I will detail his case. He experienced at first hand the actions of RBS in relation to the Government-sponsored enterprise finance guarantee scheme. Mr May was the owner of a successful business employing 100 people in north Wales. It was a construction company, building houses and factories. The company had banked with RBS for many years when Mr May was approached by RBS and asked to take up the EFG scheme, which was designed by the Labour Government to support the growth—not the closing down—of businesses through the difficult times of the recession between 2008 and 2010 Mr May believed that the enterprise finance guarantee scheme would support the expansion of his business. He was informed that his overdraft, for which he had always met his responsibilities, and which was not excessive, as he could meet the liabilities, was to be taken over by the EFG scheme, and that his business’s cash flow would therefore be protected and developed. That was a falsehood on the part of RBS, because the moment he took up the EFG scheme, RBS placed the company in its distressed department and cut his overdraft.
ParlaMint-GB_2016-12-15-commons.u377	It has been a pleasure to work with the right hon. Gentleman on what I regard as a scandal. Surely he is making the incredibly serious allegation that not only was an individual destroyed, but there was misuse of public money.
ParlaMint-GB_2016-12-15-commons.u378	Absolutely, and I make that allegation here today. RBS has acted appallingly in its treatment of my constituent. Before Mr May took up the EFG, his business was making new contracts, had excellent cash flow, and never once went over its agreed overdraft limit. The moment Mr May took part in the EFG scheme, RBS took from the Government the money underpinning that overdraft, closed down his overdraft and ruined his business. That is important because Mr May exemplifies the small business facing the big bank. He and his wife Kerry have spent four years arguing this case—along with me as their Member of Parliament—having meetings with RBS, and looking at court cases, and now at criminal activity, which has been reported to North Wales police, because there are allegations of fraud. That is also being looked at by the Crown Prosecution Service, which is reviewing the case. All of that is because of concerns about how RBS has acted, but there is no mechanism to drag this case forward apart from Mr May’s personal determination and will to hold RBS to account. The Financial Services Authority cannot do that; he has to have the will himself, with the support of his family and his MP. That is not acceptable That is why I support the proposal of the hon. Member for East Lothian. Mr May’s business and similar businesses need this mechanism to ensure that they get fairness when they face banks such as RBS, which is in public ownership, that treat them with disdain.
ParlaMint-GB_2016-12-15-commons.u379	I am very glad to be called to speak in this debate. I support the motion, and congratulate the hon. Member for East Lothian (George Kerevan), with whom I serve on the Treasury Committee, not just on securing this debate, but on the excellent work he has done in having the initiative to bring forward the all-party group on fair business banking. I am glad to be a vice-chair of it, and am grateful to him for the invitation to take that role. I shall make three points: the first is about incentives; the second is about the cost and accessibility of courts; and the third is about complexity I have spoken previously in the House about the incentives for bad behaviour, particularly in relation to accounting under the international financial reporting standards, and liability. It is appropriate that the House is so well packed with Scottish National party Members, because I know at least one of them will be glad to hear that I recently attended an event at the Adam Smith Institute, where I helped launch the book “Legislating Instability: Adam Smith, free banking and the financial crisis of 1772”, by Tyler Beck Goodspeed, a brilliant American economist working in the UK. That event may seem irrelevant, but it goes to the heart of what is wrong today. The book shows that the Scottish banking system, characterised as it was by unlimited strict liability among partners, had very good, strong incentives for the owners and staff of banks to behave well. I am grateful to the hon. Members who are nodding in agreement Of course, we have come a long way since then, and we are not about to go back to free banking, much as I would wish us to. I shall quote an actuary, whom I do not wish to name, who talked about his work: “I have examined around 100 individual cases, all of which had the same negative qualities. It is a case of bank salesmen deliberately withholding key information about the risks embedded in the ‘hedging’ products they sell. The term ‘hedging’ is therefore itself misleading Overall, the process is disgusting. Banks sold derivative products on top of loans to their clients which those banks knew would render them less creditworthy at the point of sale, and therefore render the business more likely to fail. How this can be described as ‘hedging’ by any financial organisation with a scrap of integrity is beyond me.” I agree. The actuary went on to say: “This misleading use of language, unfortunately, is maintained by some of the ‘experts’, some of whom charge large fees for reports to take into the courts. If these reports miss out on key risks, the cases become far weaker, possibly to the point that the case fails. At the best, the bargaining power of victims is much reduced.” I want to pick up on that experience, because my second point is about the cost and accessibility of the courts system. This points to why our debate is so important. I am sure that the hon. Member for East Lothian has, like me, heard evidence in constituency casework and from the authorities showing that the system that was set up was not adequate to the task in hand. Indeed, I am sure many Members will have constituents whose businesses have been in grave difficulty, and whose lives have been affected, who found that the system failed them However well intentioned the authorities were in setting up the system, it has not worked well. We need to find some middle ground between the courts, which are too expensive, complex and require expert evidence—often either unavailable or too expensive to purchase at quality—and the failed semi-formal system. The court system, its inadequacies and the necessity of avoiding it is an old problem—Matthew 5:25 refers to it—and the Government have quite some task ahead of them if they are to deal with this matter As for complexity, even Treasury Committee members, who have been elected by the House to deal with such issues, have found derivatives fabulously complex and difficult to follow. If that is true of those of us who are charged with developing the expertise, it will no doubt be true of the small business people who buy the products. To ensure that similar problems do not reoccur, the Government may want to consider whether small businesses —limits on size is something else to consider—ought to be treated as consumers for regulatory purposes I am glad that we are interested in a tribunal system funded by the banks, and that we are open-minded. Although my hon. Friend the Member for Henley (John Howell) is not in his place, I am grateful that he will be working with the APPG to take things forward. Finally, I again congratulate the hon. Member for East Lothian. I look forward to making progress, and to hearing what my hon. Friend the Economic Secretary to the Treasury has to say.
ParlaMint-GB_2016-12-15-commons.u380	I thank my hon. Friend the Member for East Lothian (George Kerevan) for securing this important debate. As others have rightly pointed out, those most negatively affected by the absence of a financial dispute resolution platform are largely small and medium-sized enterprises. The importance of such businesses to our general economic wellbeing cannot be emphasised enough. Some 67% of all UK workers are employed by small and medium-sized enterprises, which are not protected by the Financial Ombudsman Service. That figure amounts to 17 million employees, or over half the UK’s workforce. As such, it is important to recognise when discussing such businesses, which are at risk of going under owing to the burden of financial disputes, that it is not only the business owners who are at risk: the employees and their families will also feel the knock-on effects These vital small businesses face numerous structural challenges not faced by larger businesses. They have far fewer resources, meaning not only finances, but time, labour and information. In addition, they often have far less experience to draw upon than larger, more established businesses. The structural challenges mean that there is a substantial imbalance when SMEs get into financial disputes with large businesses or large banking institutions. The larger party involved in such disputes is inherently at an advantage, both in the context of a dispute resolution outwith the legal system and within the court system For small businesses that come into dispute with a financial institution, the first step is to submit a complaint to the institution’s internal complaint procedure, but many SMEs are fearful of even taking that first step. Unfortunately, it is unsurprising that SMEs feel sufficiently intimidated by financial institutions not to submit a complaint when they feel unfairly treated. According to statistics from the Bank of England, total lending from UK banks to other banks has more than quadrupled since 1990. However, lending from UK banks to businesses involved in production has remained stagnant. In addition, the Basel III international capital adequacy regulations, introduced in the wake of the financial crisis, have made lending to SMEs more expensive, further incentivising banks to lend to other banks, rather than to SMEs Just last week, I was approached by a small business from my constituency that has developed an innovative new technology that recycles waste and creates clean energy while minimising emissions. It reached out to me because it has struggled to obtain sufficient funding to move forward with the project, despite having built a test facility. That is just one example, but it demonstrates the degree to which small businesses struggle to obtain financing and credit. It is no wonder that many small businesses do not want to submit complaints to a financial institution. With so little credit available to SMEs, it is more than understandable that they want to protect their access to a limited available line of credit, even if it means being treated unfairly.
ParlaMint-GB_2016-12-15-commons.u381	The hon. Gentleman is making an important point, highlighting that the UK’s highly centralised banking model is broken. In addition to considering dispute resolution and firmer protections for businesses, we should look at an alternative banking structure based on community banks, under which banks are ingrained in their communities and know their local businesses.
ParlaMint-GB_2016-12-15-commons.u382	I wholeheartedly agree with that excellent point As mentioned in today’s motion, the Financial Conduct Authority has set up several ad hoc schemes to address systemic misconduct by financial institutions. The schemes have been widely criticised, and, as others have mentioned, even Andrew Bailey, the new chief executive of the FCA, has said that they have left those affected by bank misconduct feeling unfairly treated. The recent review of the mis-selling of interest rate hedging products demonstrates the shortfall of the ad-hoc compensation schemes and their inability to reach fair outcomes for customers Last year, just before Christmas, I was approached by a constituent who had been mis-sold an interest rate hedging product. In 2001, my constituent and several co-investors used their retirement savings to create a small business that would purchase commercial property in Glasgow. However, they had insufficient capital to purchase their first property outright and therefore sought a loan from a bank. Despite the banks involved with the mis-selling claiming that customers were under no pressure to purchase the product, my constituent informed me that he could not find a single bank that would lend the money without including the interest rate hedging product. My constituent was told that this was to protect the customer in the event of interest rates continuing to rise. Having no other choice, my constituent’s business took out a 25-year loan that included the aforementioned product Many in the Chamber will be aware that interest rates fell during the financial crisis. The inclusion of the product in the loan resulted in my constituent’s business—set up on pension scheme earnings—owing £30,000 per quarter in interest alone during the biggest financial crisis in modern history. When it became apparent to my constituent that his business had been mis-sold the product, he began the complaints process in the hope of receiving some sort of compensation. However, the bank with which he took out the loan continually refused to provide him with the relevant paperwork for the loan, making it difficult for my constituent to continue the process.
ParlaMint-GB_2016-12-15-commons.u383	Does my hon. Friend agree that a fundamental problem with the current ad hoc redress system is that it does not allow the complainant access to the information they need? A tribunal system would put the complainant and the bank on an equal footing and allow that information to be made available.
ParlaMint-GB_2016-12-15-commons.u384	I entirely agree. Such a practice is entirely undesirable and not befitting of any bank, particularly one in public ownership, as has been mentioned before The delay and avoidance tactics used by the bank, combined with the FCA’s own recommendation that claimants should not take legal action, meant that my constituent's case surpassed the six-year time limit on taking court action. His business did not receive any compensation from the bank as a result of the ad hoc scheme overseen by the FCA. Unfortunately, my constituent’s experience is far from rare, as many Members have shown. The compensation scheme for the mis-selling of interest rate hedging products was bank-centric and lacked sufficient FCA oversight. The review was set up in conjunction with the banks and allowed them to make redress offers that did not reflect an objectively fair outcome. The case of my constituent and the experiences of others who have been treated unfairly by banks clearly demonstrate the wide scope of financial disputes, particularly those between small businesses and financial institutions After hearing about the experiences of constituents from across the UK shared by Members today, it is apparent the ad hoc schemes set up by the FCA have lacked sufficient clarity and that the creation of a commercial financial dispute resolution platform is necessary. I am happy to support the motion presented by my hon. Friend, and I welcome the support that has been expressed in the House today.
