ParlaMint-GB_2016-01-26-commons.u1	1. What his policy is on the autonomy of prison governors; and if he will make a statement.
ParlaMint-GB_2016-01-26-commons.u259	Will the hon. Lady give way?
ParlaMint-GB_2016-01-26-commons.u260	I am afraid that I am nearly at the end of my speech, so I will finish The lobbying legislation looks to many in the sector too much like another deliberate and shameless act by a Government who are too scared to debate their record or to be open to scrutiny and challenge. The health of our democracy depends on people’s right to campaign on the issues they care about. The 2014 Act was an attack on our democracy. It limits the rights of charities to fight for important causes. It has left expert organisations that have a vital contribution to make to public debate unsure whether they are allowed to speak out. We seek to protect the right of charities to have a loud and respected voice in our democracy. I commend new clause 3 to the House.
ParlaMint-GB_2016-01-26-commons.u261	I congratulate the hon. Member for Redcar (Anna Turley) on her first speech from the Dispatch Box in the Report stage of a Bill. She gave a thorough explanation of her case on behalf of the official Opposition, although I am not entirely sure that I agreed with all of it. No doubt she gave it a lot of thought. She certainly gave us the benefit of her views I will not follow the hon. Lady up and down the badger setts of England and Wales, if that is all right with her, but I will speak to amendment 1, which stands in my name. I will do so, with the greatest of respect, in a slightly less aggressive way than her, although there is nothing wrong with aggression when one has something decent to say. I must declare an interest, as is indicated on the Order Paper, because I am a patron of Unlock, the charity that seeks to help people with convictions, and a trustee of the Prison Reform Trust. Both positions are unpaid I became interested in prison issues, the rehabilitation of offenders and so on when the Prime Minister, then the Leader of the Opposition, appointed me in the middle of the last decade as shadow Minister with responsibility for prisons and probation. As a consequence of that appointment, I visited about 65 of the 140 or so prisons, young offender institutions and secure training units throughout England and Wales. It became apparent to me—it was not a new idea, in that others had discovered it previously—that one of the things that contributes to the high levels of reoffending among those people who have been sent to prison and come out again, particularly among youngsters, is that they do not have a job or somewhere settled to stay, and that they have, to put it loosely, relationship problems. If we can do something to help people to form strong, stable relationships with families, partners or others, and if we can find them somewhere stable to stay and live, and if we can help them to get training or work, the chances that they will reoffend and go back to prison are very much reduced As a consequence of the voyage of discovery that I went on from 2005 or so until I was appointed shadow Attorney-General in 2009, I wrote a paper called “Prisons with a Purpose”. I hope that the Secretary of State for Justice—I see his Parliamentary Private Secretary, my hon. Friend the Member for Newark (Robert Jenrick), sitting in his place to my left—is picking up many of the ideas that I and my right hon. Friend the Member for Arundel and South Downs (Nick Herbert) pushed forward in that period of opposition I suppose it is not a surprise that I have become attached to the Prison Reform Trust and to Unlock, but in speaking to my amendment 1, which is long—it is set out on page 5 of the amendment paper—I invite the Government to have a little think about the disqualification or waiver procedure that applies to people with criminal records, either in so far as they may be trustees of charities that have an interest in looking after ex-offenders, or in so far as they may be employees of those charities I hope that the framework of the amendment is clear in itself but, if I may—I will be as quick as I can because I know that my right hon. Friend the Member for Cities of London and Westminster (Mark Field) and other right hon. and hon. Members wish to catch your eye, Madam Deputy Speaker—I hope he and the House will forgive me if I take a little time in setting out what I intend to do. I should confess at the outset that I am very grateful to the Prison Reform Trust in assisting me in preparing for today’s debate The purpose of my amendment is to require the Secretary of State to lay before Parliament, before clause 9 comes into force, a report on the impact of the extension of the disqualification framework on people with criminal records who are trustees of, or who are employed by, charities that work with or employ ex-offenders. I intend to urge the Government to provide us with further clarification of the impact of the extension of the disqualification framework on people with criminal records and charities that work with or employ ex-offenders. The amendment also provides an opportunity for the Minister to outline in more detail how he and his Department intend to conduct the review of the waiver process to ensure that people with criminal records who are existing employees or charitable trustees, or who are seeking or intend to seek employment or a trusteeship in a charity, are not unfairly discriminated against Clause 9 and the policy behind it are entirely worthy and understandable. We clearly do not want people who are engaged in terrorism to be using charities to move money around or to hide their outrageous behaviour; that is not controversial, but one problem might be the unintended consequence of the clause on people whom the Government may not want to impact. One has only to read out clause 9(5) to realise that someone who comes within “Part 1 of the Terrorist Asset-Freezing etc Act 2010…or…the Al-Qaida (Asset-Freezing) Regulations 2011” is not someone whom we want to be involved in charities. That is not a problem, but I am concerned about the unintended consequence of that perfectly understandable and worthwhile clause.
ParlaMint-GB_2016-01-26-commons.u262	We probably know more about Roman law than trust law from our time at university, but as I recall, it was indeed in 1602 and thereafter, during James I’s time, that charitable heads came into play. That is not unimportant to the debate. There has been a lot of radical change quite recently, which has upset the very essence of what charities should be about, as my hon. Friend the Member for Aldridge-Brownhills (Wendy Morton) pointed out.
ParlaMint-GB_2016-01-26-commons.u263	Clearly, I need to take my right hon. Friend around with me in a knapsack, particularly when I am speaking in the Market Harborough Conservative club. He is just the chap they want to hear more from To return to the serious point we are discussing, a longer period to enable charities, the Charity Commission and the Government to work out how best to move forward with the clause 9 provisions would be to the advantage of all. That would enable us to get rid of any glitches and look out for any Heffalump traps that may be lying there for the unwary My hon. Friend the Minister was very kind and met me in his Department with his officials on Tuesday 19 January. It came across to me that he was in listening mode and that the Government are very likely to move towards me to some extent. If he does, that would be very helpful. If he is able to say so on the Floor of the House, that would be even more helpful. That would enable me to do what I promised him and not press my amendment to a Division. I am here to try to produce clarity and better legislation. If he and I can do that together, in partnership, then everybody goes home happier I would like to touch briefly on a number of the paragraphs in my amendment. There are 11 areas specified. I appreciate that the Government have tabled their own amendment, which to some rather limited extent alleviates some of my concerns, but to be honest with my hon. Friend the Minister, the Government will need to go a little bit further than amendment 3 if all the concerns the charities I speak for, or have some connection with, are not to have their worries continue Subsection 23(a) deals with the first problem area: “the number of people employed by charities who will be affected by the extension of the disqualification framework to cover senior management positions” For reasons of time only, I will not set out extensively the arguments that apply here, but we are concerned about an absence of detail so far expressed in Committee or in any other public pronouncements made by the Government in relation to this particular impact. I urge the Government to do a bit of work to see how many people employed by charities will be affected by the extension of the disqualification framework insofar as it relates to senior management positions Subsection 23(b) relates to “the number of people who are trustees of, or employed by, charities who will be affected by the extension of the list” Again, will the Government please have a think about this and recognise that it is not a negligible problem? This is not just a whinge from a trustee of the Prison Reform Trust. This is quite an issue, which needs to be thought about. The impact of clause 9 needs to be considered in co-operation with the charities and the Charity Commission, so we can get this right for the long term I will provide just one example in relation to paragraph (b): a glitch caused by an unwitting failure to consider the Rehabilitation of Offenders Act 1974, as reformed in 2014. Under the 2014 amendments to the 1974 Act, rehabilitation periods for a convicted person were to some extent reduced. For example, an individual convicted of a sexual assault is sentenced to three years in prison. Assuming the individual does not reoffend, that conviction will become spent seven years after the end of the sentence. However, they will remain subject to the notification requirements indefinitely, with a right to review after 15 years. Under the Bill as currently drafted, the individual would automatically be disqualified from being a trustee for at least 15 years and potentially for the rest of their life. Under the 1974 Act, as amended, once an individual has been convicted, if they remain conviction-free for a defined period of time they are legally recognised as being rehabilitated. That is just a simple discrete example of where the Government, the Charity Commission and the charities sector need to get together and see how best to move forward Subsection 23(c) relates to “the impact of the new disqualification framework on former offenders who are seeking, or intend to seek, employment in the charitable sector, including on their recruitment, retention, career prospects and long-term rehabilitation and resettlement” I made this point in general at the outset of my remarks. The one thing we, as people interested in reducing recidivism, need to concentrate on is getting people back to work, or getting people into work—of course, many people in prison have never been in work. If we want to get them back or into work, we need to reduce the barriers to that as sensibly as we can Subsection 23(d) relates to “the impact of the new disqualification framework on former offenders who are currently employed in the charitable sector, including on their retention, career prospects and long-term rehabilitation and resettlement” That is the same point, but with a different shade Subsection 23(e) deals with “the impact of the new disqualification framework on people with criminal records who are trustees or employees of charities which are partners in, or are contracted by, community rehabilitation companies (CRCs) and its impact on the successful running of those organisations”. In line with Government policy under the coalition Government in the previous Parliament, community rehabilitation companies have been set up. They are contracting with charities to deliver rehabilitation and probation services. It would be a pity if good policy was undermined by making it much more difficult for ex-offenders to work with more recent offenders in order to rehabilitate them. Again, we need to think very carefully and collectively about that Subsection 23(f) deals with “the effectiveness of the existing waiver process provided for under section 181 of the Charities Act 2011” Charities have significant concerns regarding the effectiveness of the existing waiver application process and the ability of the Charity Commission to administer the additional applications that will result from the introduction of the new framework without any additional resources. In the past six years, the Charity Commission processed only six waiver applications. The Government suggest that this shows it is effective in granting waivers but that fails to recognise the disproportionately low numbers of waiver applications compared with the number of trustee positions and the estimated number of people with unspent convictions for existing disqualifying offences. Once one has expressed the point, I hope its obviousness becomes clear to the Government. Again, the charities I speak for, the Charity Commission and the Government need to sit around a table and thrash out how best to deal with that. As we say, six to 12 months is not long enough for that to be achieved Subsection 23(g) deals with “the impact of the new disqualification framework on the number of applications for waivers to the Charity Commission” It must follow, surely, that the extended disqualification framework is highly likely to increase the number of waiver applications, not simply as a result of the extension but of an increased awareness of the framework that will inevitably flow from the production of guidance and general awareness raising. The Government, however, have not provided any assessment of a likely increase in waiver applications as a result of the extension of the disqualification framework. More troubling is that the Minister has confirmed that no additional resources will be provided to the Charity Commission to administer the waiver application process. The obvious inference is that the process will slow down and become more sclerotic. I hope it will not, but let us discuss the matter and iron out the problem in advance.
ParlaMint-GB_2016-01-26-commons.u264	I am grateful for the opportunity to reaffirm some of the concerns expressed in Committee that have not been addressed, but which will be addressed by the amendments tabled by my hon. Friend the Member for Redcar (Anna Turley). I have had a long association with several different charities in a professional context, as a member of staff, as a volunteer and as a donor, whether through a regular standing order or money in the tin. Going back to earlier comments, I think that people know what they are signing up to when they support charities, whether it is a charity’s campaigning effectiveness or its direct work with beneficiaries. We ought to pay tribute to the remarkable work that our large and diverse voluntary sector does, from the largest to the smallest of charities In my constituency, we have a variety, from Barnardo’s, headquartered in Barkingside, through to smaller branches, such as the Barkingside branch of the Royal British Legion. There are also other charities such as Hopes and Dreams, set up by volunteers to help children with life-threatening or life-limiting conditions to enjoy experiences that enrich their lives at a difficult moment for them and their families. These are remarkable people doing remarkable work It is disappointing, therefore, that the voluntary sector, particularly in recent times, has been in the headlines for the wrong reasons and for what I would describe as the misdemeanours of the few, however large and significant they might be. It is also disappointing to hear the unnecessary condemnation of far too many. Hon. Members and others in the media have used intemperate language to bash a charity sector that does a remarkable amount of good and which should be cherished and celebrated, not derided and denigrated Like my hon. Friend the Member for Redcar, I am concerned that the warnings mechanism in the Bill does not carry a right of appeal. When I was a chief executive of a charity, had I received a warning from the Charity Commission for any aspect of our work, I would have taken it very seriously, and I would have expected trustees to take it very seriously too, yet we have heard in Committee and on Report today that the commission may issue warnings for what are relatively minor infringements—I even hesitate to use the word “offences” —of guidance. There is a difference between best practice and regulation. Of course, we expect charities to uphold the letter of the law, but there is also a great deal of best practice out there, and we should not necessarily be slapping warnings on charities for falling short of best practice, when a more informal route might result in a better outcome I particularly welcome the new clause dealing with the disposal of assets. In Committee, we talked about the origins of the Government’s proposals around what might be described as the disposal of assets. We were talking about the seizure of assets, particularly in relation to their proposals for housing associations and right to buy. I am happy that housing associations and the Government are moving forward on the basis of agreement, but we should be in no doubt about how the Government reached that position: not through negotiation or evidence-based argument, but through threats, bullying and the cajoling of housing associations, with the threat that if they did not comply and work with the Government on right to buy, the latter would simply legislate for it. To me, that seems to go against the very essence of the Charitable Uses Act—sometimes referred to as Elizabeth’s law—which was referred to earlier. Indeed, I must apologise to the right hon. Member for Cities of London and Westminster (Mark Field): it was, in fact, an Act of 1601, and I would not want people to review the record and find that they were inadvertently misled on this issue.
ParlaMint-GB_2016-01-26-commons.u265	Is the hon. Gentleman angling for an invitation to the Market Harborough Conservative club?
ParlaMint-GB_2016-01-26-commons.u266	What a kind invitation. Were the Conservative majority in Harborough slightly more marginal, I would be happy to visit on many occasions, but will have to pass this time and focus on matters closer to home and my majority Going back to the Charitable Uses Act of 1601, there is a long established principle that donations, bequests and legacies given to charities really ought to be used for the purpose that their donors intended. What my hon. Friend the Member for Redcar has set out in new clause 2 would give people the confidence that they could donate to charities or leave bequests to them knowing full well that independent charities would not be compelled “to use or dispose of their assets in a way which is inconsistent with their charitable purposes.” I therefore strongly endorse new clause 2, and I am glad she has tabled it for discussion this afternoon The final area I want to focus on is campaigning. As someone who has been a charity campaigner—both professionally and through my voluntary contributions to the work of charities—this is an issue I feel strongly about. As I said in my earlier intervention, I am still at a loss to understand the problem that the gagging law was trying to solve, because Charity Commission guidance has always been clear that charities cannot campaign for party political purposes and certainly cannot use charitable funds for the purposes of party political campaigning. It would therefore be completely unlawful for a charity to say around a general election, “We completely disagree with the Conservative party’s policy on x, and would therefore encourage you to vote for one of the other parties,” or, “The Labour party policy on y is inconsistent with the views of the charity, and therefore you should vote for another political party.” What has always been perfectly in order and, I would argue, desirable is for charities to be an effective voice for civil society and to ensure when policy is up for debate, whether during our deliberations in this House, in one of the devolved Parliaments or Assembly, or in local authorities up and down the country, that they can draw on their wisdom and experience, and the evidence base they gather—through desk research, commissioned research or, more often than not, their direct experience of working with their beneficiaries—to make sure that decision makers are well informed That is a real benefit to our democracy, and I am afraid that the cries from those on the Government Benches—that this change has not had a chilling effect—are simply untrue and unfounded. Whereas the Conservative party is usually found in this Chamber arguing against red tape, the gagging law has had completely the opposite effect. Indeed, I am aware of campaigners and finance officers in charities having to sit there with their spreadsheets prior to the last general election and try to calculate whether something would be a constituency spend or a national spend, whether a collaboration with other charity partners would be workable within the law or where spending would be apportioned. I am afraid that the gagging law has imposed real and unnecessary burdens on charities. If people are concerned about how charities are spending their money, they should certainly be more concerned about the amount of time and money they might spend complying with unnecessary Government regulation than they should ever be concerned about whether they are sending briefings to Members of Parliament or asking parliamentary candidates to sign up to specific pledges or causes It really sticks in the throat that lots of Members of Parliament are very happy to turn up to photo ops at their party conferences or out in their constituencies with the Guide Dogs or children at a local youth club, or to go along and see all the great work an animal rights charity does—they are happy to issue press releases and enjoy the photographs—but when those charities come back to talk about the impact of their voting record or public policy they have supported or might consider supporting, suddenly this is considered a huge inconvenience or, even worse, people want to argue that it is illegal.
ParlaMint-GB_2016-01-26-commons.u267	It is a pleasure to speak after the hon. Member for Ilford North (Wes Streeting). I do not agree with everything he had to say, but one thing I do have in common with him is a great love of London as a whole. I love walking through London, and it was only last summer that I went to Barkingside for the first time. I realised how important Barnardo’s was at the time—certainly in Victorian times, when it was a little Essex hamlet. I also saw the new housing development on that very site, which will clearly make a big impact, with some social housing—and, I suspect, possibly a bit of private housing, probably to help fund it. That development will be a real asset in the community that he represents I also thank the hon. Member for Redcar (Anna Turley), who spoke from the Front Bench, for her contribution. I remember a similar instance in opposition many moons ago—about 10 years ago—when I was speaking on the National Lottery Bill. I thought we had tabled an excellent set of sensible amendments that the House would surely take on board. I should not disappoint her too early on, when there are another two hours and 11 minutes of debate left, but I suspect that she might not get her way. Both Labour Members who spoke are from the 2015 intake, and they spoke eloquently. I would like to acknowledge from the Government side my sympathy for the hon. Lady, who has had to get involved in the major issue of the steelworks in Redcar. We must all have a huge amount of sympathy for her. Having to navigate that issue as a local constituency MP as well as doing day-to-day work here in Westminster must be incredibly difficult I have a little bit of sympathy with some of what the hon. Lady said, despite our rather fierce earlier exchanges. I believe it to be almost axiomatic in public life that once organisations such as the Charity Commission are set up, corporatised and granted ever-burgeoning budgets and staffing, they see their mission as expanding their empire of influence. This Bill has been a salutary example, in part at least, of the operation of such tactics. Problems have been identified that have long since been addressed and largely solved by the passion, commitment and the graft of volunteers, quietly—often informally and unpaid—working in their communities. To take one apposite example, the extent of the local charitable activities of many of this nation’s leading independent schools has been transformed over the past decade, let alone the last generation. Yet rather than welcoming, heralding and trumpeting the success of the big society, which is what I think this amply represents, we risk promoting big bureaucracy in the shape of the Charity Commission. We must resist some of the amending provisions, especially new clauses 2 and 3, which we will doubtless debate further, and I want to take the House on a short journey within a stone’s throw or two from here.
ParlaMint-GB_2016-01-26-commons.u268	Will the hon. Gentleman acclaim that the greatest triumph of the big society was the work of its poster-girl, Camila Batmanghelidjh, from the kids society?
ParlaMint-GB_2016-01-26-commons.u269	As a matter of fact, I believe it was called Kids Company, not kids society. She was an individual who had worked with a number of politicians. There are issues that I am sure should rightly be addressed by Select Committees and others about what precisely happened in regard to Kids Company I was about to take the House on a short journey from this Chamber to the site in Tothill Street where the Harris Westminster Sixth Form centre stands. Since its foundation in 2014, this academy has been the focus of substantial collaboration and co-operation with Westminster School, one of the oldest foundations in this country, which is even closer at hand in the curtilage of Westminster Abbey. That co-operation includes teaching classes with small intakes in subjects such as Latin, Greek and German. For over a decade, the school has routinely offered science outreach and summer school partnerships to several local maintained schools As the local MP for the past 15 years and an erstwhile president of the St Andrew’s youth club, the oldest youth club, on Old Pye Street, I know it has played a massively important role in the local community. Many people live in social housing, so the club was a magnet for young boys and girls—initially just boys in the 1860s, but girls in more recent times—not just from the immediate Westminster area, but from further-flung places south of the river, too. I was well aware that when the club lost funding from the local authority, it was Westminster School that stepped into the breach, providing cash and gym apparatus. I suspect that scores of other local charitable organisations could tell similar stories about the time, money and equipment quietly donated by the Great School, which has been an integral part of the local fabric since 1179 Charitable status, as Members have pointed out, rightly depends on what the charity in question is established to do, rather than on a Charity Commissioner’s subjective analysis of public benefit. Here I agree with much of the thrust of what was said by Opposition Members. While we all appreciate that charitable status confers financial and reputational benefits, I strongly believe that the Charity Commission is not the appropriate means of prescribing how independent schools or other organisations should satisfy the public benefit test Indeed, it appears that for party political reasons, independent schools, rather than other charitable bodies, are in the sights not just of many MPs—dare I say, particularly on the Opposition side—but of leading lights in the Charity Commission. Surely a more sensible approach, one that avoids any accusation of political and particularly party political bias, would be to work on some non-statutory guidance to these organisations about the anticipated nature of their public benefit engagement We should also recognise that many independent schools do not have the capacity or the financial resources to sponsor academies—some lack the playing fields, drama, arts and music facilities, commonly assumed to be the norm in private schools. In truth, there is still plenty of co-operation and sharing going on between independent and nearby maintained schools—a healthy, informal co-operation, which stands to be undermined by any proposal to define levels of contribution or to extend the public benefit, as we have understood it in the past. It is worth saying that it takes two to tango: there is little that independent schools can do if the state sector head at the nearby school refuses an offer to work together. It is surely invidious to place burdens of the sort proposed if the independent school in question does not have the ability to achieve the Charity Commissioners’ objectives I shall not detain the House. We are having an interesting debate, and in truth I share some of the concerns expressed by Opposition Members that part of this legislation purports to solve problems that many charitable organisations and independent schools in particular have by their own efforts done much over the years to alleviate. Indeed, some of what is set out in the Bill betrays worrying assumptions that underlie an outdated sense of “groupthink” that besets the Charity Commission. I very much hope that, in its wisdom, the House will today reject some of the amendments, particularly new clauses 2 and 3 if they are pressed to the vote. Failing that, I trust that the Government Whips will achieve the same ends.
ParlaMint-GB_2016-01-26-commons.u270	It is an honour to speak in the debate. I hope not to detain the House too long. Let me first congratulate the right hon. Member for Cities of London and Westminster (Mark Field) on mentioning the late noble King James VI, given that the only charitable organisation that still exists from his reign is, of course, ScotsCare—based here in London and doing fantastic work Concerns have been raised in Scotland about the possible impact of this Bill because of the myriad issues it raises relating to the governance of charities across these islands. I am sure that these concerns will be shared by Northern Ireland Members, too. The right hon. Gentleman mentioned the burgeoning budgets of the Charity Commission for England and Wales, but between 2007 and 2015, its budget was cut by 48%, so let us scotch that myth straightaway No one should be in any doubt that in the space of the last 18 months civic society has been rocked by the recommendations of the Etherington report, and this crisis of trustee leadership that has brought us to this very point. To be clear, the level of trustee oversight in national organisations leaves a sour taste in the mouth—not just of those in this Chamber, but more importantly of those who have volunteered as trustees in the majority of charities across these islands. It is telling that the organisations that have caused the most concern are the so-called national charities with well kent faces that have been held in high regard. What is the impact on the organisations so far investigated? It is limited, yet the impact on the majority of small charity trustees has been profound. They find themselves labelled in the mire of mismanagement, which has led us to this point, as they have been sullied by the bad practice and lack of due care Some may say that these small and medium-sized organisations will not be impacted by this legislation, yet we fail to recognise the profound impact this period will have on their ability to recruit, retain and develop their volunteer trustees. It is commendable that many Members in this Chamber are themselves trustees. The Minister for Civil Society, who is no longer in his place, noted that point, and I commend him for it. However, merely being an MP should not qualify someone to be a trustee through default of their position, as it were I am sure that the Members to whom I have referred are well versed in their areas of interest—notably the issue of ex-offenders, about which they have spoken eloquently today—but I am also sure that some Members, especially those who were elected at the most recent general election, were asked at the time of their election whether they wished to join various charities as trustees or directors merely on the basis of their predecessors’ having undertaken such a role. I believe that that in itself exposes a misguided approach to trustee recruitment, although it must be said that it is taken by only a small number of charitable bodies, and appears to have been adopted mainly by the larger organisations.
ParlaMint-GB_2016-01-26-commons.u271	I oppose new clause 3, because it seeks to alter fundamentally the way in which charities have historically operated in this country. I believe that, in creating a formalised political role for charities in our society, we risk undermining their ability to work independently for the common good, and diminishing their standing in the eyes of the public. I have serious doubts about the need for the new clause, on both a moral and a practical basis. In my view, the status quo already allows charities to lobby Governments in a constructive way, while remaining politically impartial Serious concerns have been raised about the additional cost of political campaigning, and the potential impact that the new remit may have on a charity’s abilities to raise funds. We ourselves are acutely aware of the fact that even a very localised campaign can be extremely costly. Extending the scope of charities to allow them to campaign for or against a law, policy or decision at any level of government would inevitably incur a significant amount of additional cost, and I think that the money would be better spent on fulfilling the charities’ original aims and objectives.
ParlaMint-GB_2016-01-26-commons.u272	Does the hon. Lady not agree that the way in which a charity collects and spends its money in order to deliver its charitable mission on behalf of its service users is the preserve of its trustees, and that it is not for us to decide such operational or, indeed, moral matters in the House of Commons? It is certainly not for us, as individual Members of Parliament, to dictate to charities how they should spend their money and deliver their charitable aims; that is up to the trustees.
ParlaMint-GB_2016-01-26-commons.u273	I understand where the hon. Gentleman is coming from, but I believe that new clause 3 will encourage charities to go down that route and, perhaps, stray from their original intentions, however well-meaning they may be, thus inadvertently—not intentionally, I admit—misleading the public. I fear that the inclusion of the new clause could conceivably allow us to reach a point at which a large cancer charity, for instance, spent more on lobbying national and local government than on investment in research on and development of new cancer drugs. I think that that is what the hon. Gentleman was alluding to, but I disagree with him. For me, this raises a number of major issues The first issue is the impact on donations. Charities rely heavily on public donations to fight for their specific cause or issue. The Charities Aid Foundation estimated recently that in 2014 alone, £10.6 billion was donated by the British public to a vast array of good causes. By politicising charities, we risk donors turning away from charities whose cause they support because they do not necessarily share the charity’s political agenda or party alignment Secondly, the new clause would serve to allow larger national charities, which already dedicate significant resources to lobbying Members in this place, to strengthen their influence over Government policy and decision making. That would be to the detriment of smaller, often local, charities, of which we all have many examples, which would be further marginalised from the decision-making process because they simply could not afford to compete for airtime There is also a third point. Like many others, I would be deeply concerned if those charities that are very much a cornerstone of our society—the Royal British Legion, Macmillan, Age UK and the NSPCC, to name but a few—suddenly became vulnerable to infiltration from those who wanted to push a specific political agenda or to use the charity to criticise or support the Government of the day, rather than running it as a force for good I am sure hon. Members will agree that we do not really need any more politicians. Yes, it is only right and proper that charities should play their role in shaping our society by seeking to influence Government, nationally and locally, but they also have much more to offer society without widening their scope into out-and-out political campaigning—or, as some might call it, the dark arts. That is why I will be voting against the new clause this afternoon.
ParlaMint-GB_2016-01-26-commons.u274	It is a great pleasure to speak in today’s debate. We often have wonderful debates in this place about what Britishness is about and what our culture is about. I actually think that the voluntary sector in this country represents the best of British—that is, the best of English, Welsh, Scottish and Northern Irish. As politicians, we do not always say thank you, but our starting point today as we consider the Bill should be to say a very big thank you to our hard-working and diverse voluntary sector in this country We should also remember that most charities in this country are relatively small. They operate in communities, and it is not our job in this place to be a pain in the neck for the 900,000-plus trustees of charities around the country who give their time voluntarily to make management and governance decisions, or for the charities’ many volunteers. The motivation of those people is undoubtedly to do good in our society and in our country We cannot, of course, forget the exceptions—the horror stories—including the dreadful death of Olive Cooke, who appears to have been hounded by 90 charities sending her 460 letters asking for donations in the course of one year. Nor can we forget the undercover Daily Mail report on what appeared to be severe malpractice in the call centre from hell. And nor should we forget the case of Kids Company and all the abuses that went on there. Incidentally, those abuses could and should have been dealt with by the Government and by the Charity Commission under its existing powers. We see those cases as exceptions, but they are nevertheless important and it is right that we are having this discussion today in Parliament Members on both sides of the House will see elements of voluntary activity in their own political traditions, and we can certainly develop some sort of empathy with different parts of the voluntary sector. We on this side of the Chamber can look to the labour movement, the co-operative movement, the working men’s and women’s organisations and a whole range of other bodies, but I know that the Minister for Civil Society, the hon. Member for Reading East (Mr Wilson), will also be moved by Edmund Burke’s notion of the little platoons. What I ask today is that he does not overburden those well-behaved little platoons in our country with red tape when it is not needed. Most of us would agree that where regulation is needed, the sector itself generally does that job best. I, for one, would give a warm welcome to the fundraising preference service, which will deal with some of the totally unacceptable abuses of practice in fundraising.
ParlaMint-GB_2016-01-26-commons.u275	I join the hon. Member for Clwyd South (Susan Elan Jones) in thanking the many charities that do fantastic work and that we often speak about in this place. We all have many examples that we have often shared with each other I welcome the Bill, and it is a privilege to speak today, having spoken on Second Reading and served, with other Members, as the Bill passed through Committee. I believe that it strengthens the powers of the Charity Commission and that those powers are welcome. It will strengthen and improve the relationship between the Charity Commission, charities, trustees and, importantly, the public. The Bill is, indeed, called the Charities (Protection and Social Investment) Bill For me, the Bill is about achieving a balance between scrutiny and accountability and trust, responsibility and respect, particularly in the wake of the handful of sad, and often tragic, stories that emerged during the course of last year, one of which has already been mentioned, the collapse of Kids Company I am, however, a firm believer that this must be proportionate, as I said on Second Reading. I think of some of the small charities in my constituency, such as Rosie’s Helping Hands, the Aldridge youth theatre—we often do not think of it as a charity, but it is—and, on our doorstep, St Giles hospice. Such charities are often led by the local community and by local people. Local people contribute their time, effort and energies as well as their money, and they give something back to the local community I want to speak against some of the amendments, particularly new clause 3 on the power to make representations and amendment 8 on warnings, which I will deal with first. The Bill is at its heart about transparency and restoring trust in the eyes of the public. That is why I feel that the power for the Charity Commission to place on record where warnings have been given is important, and that is why I will vote against amendment 8 New clause 3 is about the power to make representations, which we have had a lively debate on in Committee and again today. We should remind ourselves of the following two points. First, deliberate abuse of charities has been found to occur only very rarely. The vast majority of charities do good work and are reputable organisations; we must never forget that. We must also remember that charities can, and do, make representations already, often very successfully. As I have said before, all of us as Members of Parliament receive representations from many charities during the course of our work. But there is a difference between non-political campaigning to raise awareness of a particular issue, even if the aim is to change policy or legislation, and what is being proposed in this new clause. I firmly believe this Bill is about strengthening the public’s trust in charities, and for me the idea of enshrining in legislation through this new clause the right to undertake political campaigning activity completely undermines that.
ParlaMint-GB_2016-01-26-commons.u276	Will the hon. Lady give way?
ParlaMint-GB_2016-01-26-commons.u277	I am normally very generous in giving way, but I have almost come to the end of my speech, so I will conclude New clause 3 risks moving what is fundamentally the apolitical activity of a charity to something that becomes completely politicised, and that goes against the grain.
ParlaMint-GB_2016-01-26-commons.u278	I am extremely grateful to be called to speak in this debate and to follow the hon. Member for Aldridge-Brownhills (Wendy Morton). I was not able to intervene on her just now, but I want to make the point that, while she was talking about political activity and campaigning in her eloquent speech, which reached out to all parts of the House in many regards, she failed to mention party political campaigning, yet all campaigning is political. Political activity is not always the preserve of party politics. That point has been lost in the debate so far Many Members have blurred the boundaries between party political activity and political activity. All social intercourse between different communities, and people within communities up and down the country, is political exchange and should be celebrated. Our new clause seeks to protect the long-standing tradition that charities can engage in political processes within their communities and also seek to influence party politics, but not actually become part of a party political process.
ParlaMint-GB_2016-01-26-commons.u279	My hon. Friend is making an important point. All of us as Members of Parliament will from time to time be contacted by charitable organisations that seek to influence policy makers and policy informers to change the laws of the land. For example, it would not be outwith the role of an organisation like Shelter to campaign for MPs to get changes to homelessness policies that we might be debating. That is political.
