ParlaMint-GB_2016-01-20-commons.u1	1. What recent discussions she has had with the Northern Ireland Executive on economic development.
ParlaMint-GB_2016-01-20-commons.u223	Order. Before calling the next Member to speak, I point out that we have about two hours remaining, which means another hour and a half on this group of amendments, with a large number of Members wishing to speak. I would be grateful if Members kept their remarks as short as possible so that we can get everyone in.
ParlaMint-GB_2016-01-20-commons.u224	Amendment 1, which stands in my name, is a probing amendment, as I wish to ascertain the Government’s position on a number of products marketed by a constituent of mine through an online marketing company called Focus Supplements. Several weeks ago he came into my constituency surgery. He was very concerned that the products he sells, quite legally—they are effectively health supplements used for various reasons, which I will talk about later—might fall within the ambit of the Bill I want to ensure that the Minister and the Department know that there are substances out there that are being marketed by perfectly honest, decent and legal companies, such as Holland & Barrett, and indeed on eBay, that might fall within the ambit of the Bill. It might criminalise substances that are perfectly innocuous, and indeed that are in some demand. I have no personal experience of those products, and I am very supportive of this Bill, so I would not have tabled the amendment or asked for clarification from the Minister if I thought that the substances I have listed would lead to any harm. The purpose of my amendment is to see whether those substances might fall foul of the Bill, and indeed whether clause 3, which has already been discussed, can be fleshed out at this stage, as that would help people listening to the debate Many of these products are used by people to combat anxiety, to aid sleep, to enhance memory and learning and to improve focus, and as such they are used as dietary supplements. Cholinergics increase choline in the brain and contain a substance that is found naturally in many foods—foods rich in choline include smoked salmon, fried eggs, chicken livers and Brussels sprouts. Indeed, there are recommendations in some health regimes around the world that people should take a certain level of choline every day in their diet Racetams—I hope I am pronouncing these correctly—are sometimes called nootropics. They can in some cases improve one or more functions of the brain. They can improve working memory, motivation or even attention—perhaps Members of this House should take such supplements to improve their attention in some debates. Various products are listed in the amendment as miscellaneous. Oxitriptan, a precursor for serotonin, is sold in health shops such as Holland & Barrett. L-Theanine is found in green tea and is available from companies such as Nature’s Best. Tongkat Ali is available from various health shops. Resveratol, I am reliably informed, is an excellent substance that is found in red wine. Sulbutiamine is two thiamine—vitamin B1—molecules When my constituent, Jack Baldwin, met the MHRA, it indicated it was perfectly legal for him to sell those products, but it stressed it was important that no medicinal claims was made for them. Indeed, in many other countries, including the USA, none of the substances listed in amendment 1 are controlled substances and it is perfectly legal to use, own and sell all of them. One of the problems with a lot of these products is that they are relatively young—only 10 years old in some cases. Although many have been subject to studies at academic level, they have not gone through the rigorous testing that medicinal drugs would necessarily go through. Nevertheless, they do not seem to be the sort of products that this Government or this Minister are seeking to ban.
ParlaMint-GB_2016-01-20-commons.u225	My right hon. Friend is exactly right, for two reasons. First, many fitness supplements and other supplements work through the brain. There is no doubt about that—growth hormone-related ones do, and benign things like sage oil do. The other problem she faces is in the definition in the explanatory notes, which says that a psychoactive substance is a substance that causes “a range of effects including, but not limited to hallucinations; changes in alertness, perception of time and space, mood or empathy with others; and drowsiness.” All of those could apply to everything from antihistamines to, as I say, something as benign as sage oil. The problem is that if we are not careful we will end up with bad law that will undermine the status of people such as her constituent.
ParlaMint-GB_2016-01-20-commons.u226	I could not put it better myself. That is what concerns me about the Bill. The point was made that if this is seen to be a blanket ban—and a stupid ban because it bans perfectly innocuous substances—that will undermine the very purpose for which the law is being passed.
ParlaMint-GB_2016-01-20-commons.u227	Does not the right hon. Lady think that if we treat these nootropic drugs differently from all the other new psychoactive drugs, there is a danger that we give them some credibility or approval? There has been some research into their harm, or otherwise. The trials have been poorly designed, and they have not found any great dangers in them, but they would not be accepted as being right for a medicinal drug. I understand her constituent’s commercial interest, but would it not be dangerous to treat this group the same as any other and thereby give the public the impression that they are harmless, because we do not know that?
ParlaMint-GB_2016-01-20-commons.u228	I do not think that putting them on the exempted list means that anybody should draw the conclusion that they are harmless. They obviously have an effect of some sort on individuals; otherwise, my constituent would not have, as he reports to me, 32% repeat orders for many of these substances. I take the hon. Gentleman’s point. However, in relation to cholinergics, the National Academy of Sciences has said that choline is a dietary requirement, as I mentioned, and the Food and Drug Administration has recommended 425 milligrams of choline intake a day. With regard to racetams, oxiracetam, for example, has been shown to improve step-down, retention and acquisition performance in research carried out on rats, I believe, and was supported in a paper in “Behavioural Brain Research” in 1996. I have various other references citing good research carried out into these drugs; some, I admit, have not had so much research into them The purpose of amendment 1 is to make sure that the law of unintended consequences does not apply to this Bill. The Minister needs to reassure my constituent, and the many organisations such as online companies and health food shops that sell these substances, that either they do not fall within the ambit of this Bill, and that therefore they need not concern themselves about falling foul of it, or, if he thinks that these substances need more research, to tell us what needs to be done. I expect, at the bare minimum, that he will undertake to review the products that I have listed in the amendment and to let us know, after discussions with the ACMD, what he intends to do. I hope that he will be able either to add these products to the exempted list or to let us know that the Bill does not apply to them. If it does not, he needs to reassure my constituent by letting me know the timescales within which he will investigate these products and perhaps others that might be brought to his attention.
ParlaMint-GB_2016-01-20-commons.u229	It is a pleasure to follow the right hon. Member for Chesham and Amersham (Mrs Gillan), who is one of the most distinguished and respected Members of this House, and makes her case very powerfully. I owe her an apology. Because of the speed with which the Home Affairs Committee had to look at the Bill, owing to the timetable that the Government gave us, we did not have the opportunity to explore properly the points she has made or to take evidence from her constituent and others who might have felt that they were going to be affected by it. If we had had more time, we certainly would have had them before us. I am sure that, as is our policy, when we come to review this Bill in a few months’ time we will have the opportunity to consider exactly what its effect has been. I thank her for tabling the amendment and for reminding the House of the importance of all the other products that might be caught by the Bill I want to commend the Minister, who is rapidly becoming one of my favourite Home Office Ministers, partly because he agreed to be Father Christmas at the Westminster kids club party, and did it so well, but also because he is prepared to listen to the House. He said he would look at the work of the Select Committee and try to reflect some of it in the amendments he tabled in Committee, and he did so in the case of many of our recommendations. Yesterday he sent me—I thank him for giving me plenty of time to read it for today’s debate—the Government’s response to the Bill’s Committee stage and to our recommendations I thank the hon. Member for Enfield, Southgate (Mr Burrowes) for last year pushing the Select Committee to hold an inquiry before the House had to consider the Bill on Second Reading. Again, we were caught out by the Government’s timetable being moved forward, as a result of which we did not have all the time in the world to consider these things. However, I thank him for doing it. I thank members of the Bill Committee, some of whom are here today, for the work they did at very short notice to ensure that that happened. The hon. Member for Louth and Horncastle (Victoria Atkins) attended many of the Committee’s sittings despite the fact that she was serving on two other Committees at the same time The Government have moved on several of the points that we have made. They were right to legislate—there is no question about that. This has been in the in-tray of successive Home Office Ministers for a number of years. The previous Labour Government were committed to doing something about it—it was in our manifesto, as our excellent shadow Home Office Minister said—and I am sure that if the votes had fallen in the opposite direction, we would have a Labour Minister introducing a similar Bill. I therefore say well done to the Minister for doing this and for incorporating most of what we have suggested I particularly want to talk about amendments 1 and 5. It is very important that we give support to voluntary organisations such as the Angelus Foundation, which invariably know more than Government, because they draw on the experience of real, live people, and they are prepared to come together voluntarily to try to warn the public and Parliament about the risks of these substances. I am glad that we are not using the term “legal highs” any more, because, as the report clearly says, that encourages people to want to try them I agree very much with the shadow Minister’s comments about education, which I am sure the Minister will echo. We cannot do too much to persuade young people that they should not be taking these substances. My children are 20 and 18, and they are away at university. It is every parent’s nightmare that one of their children, on a night out after studying and doing their work, will be offered a substance that is perfectly legal, take it, and then be ill and, in some cases, die. The Home Affairs Committee therefore absolutely support the Government’s tough approach.
ParlaMint-GB_2016-01-20-commons.u230	My right hon. Friend says that the name “legal highs” attracts people to the drugs. Does he not think that if we change their name to “illegal highs”, they will become even more attractive to adolescents?
ParlaMint-GB_2016-01-20-commons.u231	They may well do, but we are not going to call them “illegal highs”. The Bill does not seek to change their name. The effect of the Bill is to ban the substances that cause death. It is not about relabelling. I have great respect for my hon. Friend, who was a distinguished member of the Home Affairs Committee. I know that his position is to liberalise the law on drugs, but that is not my position and nor is it that of the Committee. Although we miss him, and I know he would have forced most of our reports to a vote, we do not miss him that much.
ParlaMint-GB_2016-01-20-commons.u232	If I get called, I will speak in support of the right hon. Gentleman’s excellent Committee’s report. It is every parent’s nightmare that their child should die of drugs. Whether they are legal or not is neither here nor there. If we legislate in a way that makes the use of illegal drugs more likely, which is what will happen if amendment 5 is not carried, we will not be serving our children and others.
ParlaMint-GB_2016-01-20-commons.u233	The hon. Gentleman is absolutely right and he brings me on to the issue of alkyl nitrites. The shadow Minister, my hon. Friend the Member for West Ham (Lyn Brown), has said—this was a bit of shock for me after 28 years in this House—that Ministers have stood at the Dispatch Box having had poppers. I think that is what she said and it was a great surprise to the House. She obviously knows more than I do about such issues, even though she claims that she knew nothing about drugs until she became the shadow Minister with responsibility for drugs.
ParlaMint-GB_2016-01-20-commons.u234	Having served on the Bill Committee alongside my hon. Friend the Member for West Ham (Lyn Brown), my recollection is that Ernest Bevin of the post-war Labour Government had a bit of a heart murmur and was prescribed amyl nitrate by his doctor. It is alleged that he sniffed poppers around the Cabinet table.
ParlaMint-GB_2016-01-20-commons.u235	I thank my hon. Friend for that information. I wonder whether they are still in use around the Cabinet table The Minister has moved some way since the Home Affairs Committee report’s recommendation 45: “We accept the evidence given by Professor Iversen, the National Aids Trust, and the Gay Men’s Health Collective on alkyl nitrites” Professor Iversen said that they were “not seen to be capable of having harmful effects sufficient to constitute a societal problem”, and therefore we recommended, unanimously, that they should not be banned. We said that if the Government were to present evidence that changed that position and our view, they should, of course, be added to the list of banned substances. Indeed, the report states: “If in the future there is any evidence produced to the contrary, then ‘poppers’ should be removed from the exempted list or controlled under the Misuse of Drugs Act.” As a result of the immensely able work of the hon. Member for Finchley and Golders Green (Mike Freer), the Minister wrote to me last night proposing that a review should begin. He felt that there should still be a case for putting poppers on the banned list, but that if the evidence changed he would come back to the House, or by some other order, and put them on the exempted list. I think that that approach is the wrong way around The shadow Minister has asked me for my view and I have listened to the hon. Member for Winchester (Steve Brine), who I know also has constituents who are very concerned about drugs issues. The Committee, which also addressed the banning of laughing gas, does not believe that this particular case has been made. This is my personal view and other Committee members can, of course, say what they want, but when we considered the issue and voted unanimously on it, we did not consider poppers to be harmful The Minister wrote back to us and told us that poppers are beneficial, as if in some cases they may well be mandatory. He wrote that “the Government recognises that representations have been made to the effect that ‘poppers’ have a beneficial health and relationship effect in enabling anal sex for some men who have sex with men, amid concern about the impact of the ban on these men. In consultation with the Department of Health and the Medicines and Healthcare products Regulatory Agency (MHRA), the Home Office will now consider whether there is evidence to support these claims and, if so, whether it is sufficient to justify exempting the alkyl nitrites group (or individual substances in the group).” Although I welcome that approach—it is a really positive step forward—it is actually the wrong way around. A better course of action would be to put alkyl nitrites on the exempted list, conduct the review and then come back to the House or by order and change the position. It is what we like to call evidence-based decision making. That is what we have said consistently over the eight years I have chaired the Home Affairs Committee There is a lot of emotion out there about drugs, and a lot of people have great concerns. Some, such as my hon. Friend the Member for Newport West (Paul Flynn), are passionately in favour of liberalisation, while others have a different position, but why take a position of banning and then unbanning? That affects the huge authority that the Government have in respect of this very important Bill. The Minister has the whole House with him on it. I doubt we are going to divide on many issues, which is pretty rare for Home Office Bills. I am trying to think of another Bill where that has happened. There is always a division of some kind, but why divide the House on this issue when there is no reason to do so I call on the Minister to accept amendment 5, or to not oppose it, and to let us move forward constructively. He could have his review, come back and then everyone in this House will accept what the experts say. Without equivocation, I give him a guarantee that if the review decides that poppers are harmful, I will be the first in the Division Lobby with him, supporting that view. But to ban and then unban sends a powerful message to a section of our community that they are not being listened to, and to experts who have given evidence to us that they are wrong I urge the Minister, even at this late stage—as I have said, he is a Minister who listens to the House, the Home Affairs Committee and individual views—to look at the issue again and ensure that alkyl nitrites are put on the exempted list until his review is concluded.
ParlaMint-GB_2016-01-20-commons.u236	Order. Quite a large number of Members still want to speak. At this rate, if Members go over 10 minutes we will not manage to get everybody in. I cannot impose a time limit, but if Members are brief we can get everyone in.
ParlaMint-GB_2016-01-20-commons.u237	I will be very brief, Madam Deputy Speaker It is a pleasure to follow the Chairman of the Home Affairs Committee. I agree with nearly every part of his argument and I certainly agree with the conclusions of the Committee’s report. I commend every Member who took part in its deliberations. I want to leave enough time for my hon. Friend the Member for Finchley and Golders Green (Mike Freer) to speak, because he has been fighting a battle behind the scenes to ensure that this Bill does not do anything really daft. Sometimes a measure is proposed that becomes personal to oneself and one realises that the Government are about to do something fantastically stupid. In such circumstances, one has a duty to speak up. I use poppers—I out myself as a popper user—and would be directly affected by the Bill. I am astonished by the proposal to ban them, as are very many other gay men. It simply serves to bring the whole law into disrepute. If this drug—which I use and which has, as the Opposition spokesman, the hon. Member for West Ham (Lyn Brown), said in her extremely good speech, been used for decades—is banned, respect for the law will fly out of the window All the effects warned about in paragraph 43 of the Home Affairs Committee’s report—in particular, the Gay Men’s Health Collective warns that a ban would result in increased class A and B drug use and increased transmission of sexually transmitted infections—will obviously happen. Driving the supply underground will simply put the trade in the hands of criminals.
ParlaMint-GB_2016-01-20-commons.u238	It is right to focus on supply, which is the focus of the Bill. It is important to give the clear message that the Bill will not ban use, but supply: it will not ban the continued personal use of poppers, but it will ban their supply The issues are complicated. There are controls on alkyl nitrites in that the sale of poppers to under-18s is caught by the Intoxicating Substances (Supply) Act 1985. There is a wider debate about whether that is a proportionate response for under-18s. However, there are already controls on supplying under-18s. We need to be aware that this is a complicated area of law, beyond the issues relating to psychoactive substances.
ParlaMint-GB_2016-01-20-commons.u239	I know that my hon. Friend has done a significant amount of work on this and that he, too, has been trying to use his influence in the right direction. He kindly sent me a message saying that he has been working to make sure that we do not do something really daft on this issue. He is, of course, loyal to Conservative Front Benchers, as am I—or I try to be—but we may differ on how to influence them. I will not be party to something that I know is, frankly, really foolish by voting for such a piece of public policy The issue is about supply. The policy might put someone like me into the hands of criminals if he wanted to get a supply of something that he used to think was perfectly okay. Under legislation that I think is absurd, someone like me—obviously not me, because I will, of course, respect the law of the land—might be so minded, and would then find himself in the hands of those who supply everything with which they might conceivably tempt people It is manifestly stupid to go down the path we are going down. Let us get the evidence; if the Government then come forward with a case that convinces the Chairman of the Home Affairs Committee and his colleagues, we can then discuss the issue in due course. Please let us not have a ban.
ParlaMint-GB_2016-01-20-commons.u240	Supply does seem to me to be a very grey area. I understand that the policy is not intended to victimise current users, but it puts them in a position—dealing with a criminal—in which they might be susceptible to blackmail if they are a public figure. It seems to me that it will criminalise people whom it does not intend to criminalise.
ParlaMint-GB_2016-01-20-commons.u241	Indeed. I suppose I have advertised the fact that I may be vulnerable to that. I therefore plead with the House to make sure that I do not find myself caught in this particular situation. Given that the issue relates to my personal experience, as well as to my experience as a Justice Minister with responsibility for offenders and offender management, I implore my colleagues at the very least, if they do not want to be seen voting against the Government, not to be associated with putting the Bill on the statute book. It is a real mistake, and it would be sensible to do anything possible to ensure that amendment 5 is accepted, with our looking at and considering the matter again in due course.
ParlaMint-GB_2016-01-20-commons.u242	I am not alone in having a constituency that has been blighted by the use of legal highs. I do not like the term “legal highs” because, unfortunately, the very words attract young people to them. I have been concerned about that for a long time I commend the Government on introducing very strong legislation for us to consider in the House. The Chair of the Home Affairs Committee, the right hon. Member for Leicester East (Keith Vaz), referred to the Minister as his “favourite” Home Office Minister. When he brings such legislation before the House, the Minister is the favourite of many Members. My constituents will be grateful to him for the proposed changes. I am not at all in favour of liberalising drug use, so it is quite clear where I am coming from. I think the Government have the same stance, which I welcome I welcome that stance because, just last year in my constituency, we saw an example of the heartbreak, illness and trauma that results from legal highs. A young man, Adam Owens, a constituent of mine—I know his father and stepmother quite well—was found dead in the town of Newtownards in my constituency of Strangford as a result of his addiction to legal highs. The case shocked not just my constituency, but the whole Province. It left the family devastated, and they told me the very nature of their concerns. Adam’s step-mum Dawn said: “Legal highs are a major problem around here and something has to be done about it.” I welcome the fact that the Government are now doing something about it.
ParlaMint-GB_2016-01-20-commons.u243	Is the hon. Gentleman aware that in Ireland, after the introduction of legislation very similar to the Bill, not only did every one of the 102 head shops close, but no Irish domain websites now sell such substances? We obviously hope that there will be the same effect in England and Wales.
ParlaMint-GB_2016-01-20-commons.u244	I mentioned the closure of the head shops, which is really good news—good stuff. I also referred to the detective sergeant in the Drugs and Organised Crime Bureau. He outlined an issue that the Irish are now trying to address. It is good to be able to refer to other examples of hard and fast legislative change to address such issues. In the Republic of Ireland, they have been partially successful in relation to online sales—they are almost there—but we must also do that I commend the Minister and the Government on what they have introduced. This is the sort of legislation that I and my constituents, as well as people from across the whole of Northern Ireland, want. I look forward to supporting the Minister when it comes to a vote—if it comes to a vote.
ParlaMint-GB_2016-01-20-commons.u245	I thank the shadow Minister for a balanced speech that contained some well-judged comments. I also thank my right hon. Friend the Minister for his courtesy when I took a delegation to him from the National AIDS Trust, Stonewall, Millivres Prowler and Boyz magazine to discuss this topic It is clear not just from this debate, but from the debate that has been raging in the gay press over the past few months, that there is considerable concern over the need to ban poppers. What has come to the fore over the past few months while I have been working on the topic is the complete lack of empirical data one way or the other. I appreciate that the Home Office believes—I have no reason to think that this belief is not genuine—that deaths have occurred from the use of poppers. However, that evidence has never been forthcoming I therefore decided to do a bit of research of my own. I would like to draw attention to some American research, particularly that of Dr Thomas Hall of the University of California in Los Angeles, who gave evidence to the Gay Times for a report on the effects of isopropyl nitrite. I will not quote the whole document, you will be pleased to know, Madam Deputy Speaker, but he said: “There is very little specific research on the health effects of alkyl nitrites other than amyl nitrite.” He went on to say: “My summary statement would be that in the grand scheme of drugs of abuse, the risks from nitrite poppers are fairly benign… Isopropyl nitrite and other nitrite poppers appear to be far less harmful to the body in general than chronic alcohol consumption.” I then looked at The New England Journal of Medicine, which stated in 2010: “To our knowledge, over the past 10 years, there have been only two case reports of visual loss after inhalation of poppers, and the anatomical basis of this injury remains elusive.” Finally on medical research, I turned to the US Department of Health and Human Services report of January 2014. It stated: “To date, use of alkyl nitrites as a psychoactive substance among MSM”— men who have sex with men— “has received little attention in addiction textbooks, where they are subsumed among other inhalants.” We have heard about that today. The report continues: “This is unfortunate, because lumping these disparate agents together based on mode of administration”— that is, inhalation— “obscures substantial differences in both mechanism and typical risk between alkyl nitrites, which act on a specific…pathway, and inhaled solvents and propellants” that have other effects. That is about the sum of the medical evidence that I could find In the absence of medical evidence or hard facts in the UK, I wrote to the Advisory Council on the Misuse of Drugs. The chairman could not have been more blunt. He said that poppers were “not seen to be capable of having harmful effects” There has been talk of a medicinal benefit to poppers, which I thought was an interesting turn of phrase until I received an email. I have to bow to the knowledge of our SNP colleagues, because it was from a gentleman from Croy in Inverness. He said: “Alkyl nitrites are carried, used and, when the need arises, shared by many people who work in the countryside as the first line of treatment if one is bitten by an adder.” I confess that adders are not common in Finchley and Golders Green. Mr Joyce of Croy went on to say: “A substantial number of people are bitten each year in Britain and the bite is rarely fatal, but whether that is because the venom is not particularly powerful against modern healthy humans or because treatment, with Alkyl nitrite or one of the eight known anti-venoms, is almost always administered very quickly is a question that is open to debate.” That email shows that there is a conflict between the views that are held and what limited information and fact are out there in the public domain I support the view that there is a need to provide up-to-date empirical evidence. There also needs to be proportionality. Everything that we do carries a risk, whether it is smoking or anything else. If one drinks bleach, one will be harmed, but we are not proposing to ban bleach. When we seek to control, regulate or ban anything, we must deal with it in the round and consider the proportionality of doing so I welcome the response to the Home Affairs Committee report, because it states that an investigation will be under way shortly into the impact of the ban on the relationships of gay men and women. I am told that this issue affects not just gay men, but gay women. The Chairman of the Home Affairs Committee, whom I would like to call my right hon. Friend, talked about anal sex. That is quite a crude way of saying that poppers can facilitate sex, through the relaxation of muscles. However, this is not just about the physical side of a relationship. If people want their relationship to be as intimate as possible and poppers facilitate that, they are an important element in the emotional wellbeing of that couple. Therefore, if we are talking about the medicinal benefits, we have to include the emotional and mental health benefits that the use of poppers in a relationship can bring When we are talking about risks—I have mentioned proportionality—it is important that we do not start banning things on the basis of one or two incidents. There has to be a significant risk of significant harm to a significant number of people, otherwise we would be banning cigarettes and alcohol tomorrow I say to the Minister that the investigation and report must be as open and transparent as possible. I ask him to give an assurance when he responds that evidence will be taken not just from organisations such as Public Health England, elements of the NHS and the ACMD, but organisations such as the National AIDS Trust, the Terrence Higgins Trust and Stonewall. It should also be taken from organisations such as Millivres Prowler, which I believe is the largest retailer of poppers in the UK, because it has a strong, relevant and up-to-date evidence bank of how poppers are used and how they are sold. Because it is a reputable retailer, it also has an enormous amount of data on the illegal import of the more dangerous poppers that are coming in through the internet. I hope that the Minister will also say that evidence will be taken from the international bodies, a few of which I mentioned earlier, that have done medical research into the benefits or disbenefits of the use of poppers Finally, if the Home Office decides that there is a risk that needs to be mitigated, but that an outright ban is not necessary, I urge it to consider licensing poppers for sale through sex shops. That would allow some level of control, regulation and protection, without the need for an outright ban, which might lead people to be exposed to all sorts of underground drugs There is a lot of work to be done. I welcome the swift action of the right hon. Member for Leicester East (Keith Vaz). Members might think that my conclusion will be that I will support Opposition amendment 5, and I have to say that the Opposition have spoken a lot of sense. However, I will support the Government because I want an exemption based on empirical evidence. If poppers are exempted by the summer recess, as outlined in the response to the Home Affairs Committee report, that exemption could not be easily overturned on the whim of a future Home Office Minister, because it would be based on empirical evidence, whatever it says. On that basis, I will support the Government on this issue.
ParlaMint-GB_2016-01-20-commons.u246	I think that I have to beg to move the amendments that stand in my name. If I have not to beg, I have to do something else, I am sure.
ParlaMint-GB_2016-01-20-commons.u247	Speak to them.
ParlaMint-GB_2016-01-20-commons.u248	Oh, I am speaking to them and not begging at all. I wish to speak to the amendments that stand in my name, amendments 12, 13, 14, 15 and—along with Labour colleagues—amendment 5 We support the aims of the Bill to protect public health and to go after the big guys—the ones who are making a profit out of other people’s endangerment—rather than going after the individuals who decide to try these substances for whatever reason. In that respect, however, I do not think that we are quite there yet, which is why we have tabled our amendments.
ParlaMint-GB_2016-01-20-commons.u249	I am sure that the hon. Lady knows that the situation she has just described in which youths place an order with a dealer and then distribute the substance among their friends is entirely consistent with the law as set out in the Misuse of Drugs Act 1971. The message is that if you buy the drug and then distribute it, you are a supplier in the eyes of the law. I would be interested to know why she thinks there should be a distinction between these substances and the more serious drugs that are dealt with under the 1971 Act. Surely we are still trying to achieve the same aim: to stop the supply of harmful substances.
ParlaMint-GB_2016-01-20-commons.u250	My understanding was that we were trying not to mirror the Misuse of Drugs Act. We have moved on, and this Bill is not about criminalising individuals for possession, as they can be under the Act. The Bill does not have to mirror the Act exactly. The key issue is the effect that criminalising a young person for a foolish mistake can have on their life chances. Drugs blight enough lives already—that is certainly the case in my constituency—and we do not need to penalise someone who is acting on behalf of his or her peer group, a small group of friends, without any financial motive. These young people are not drug suppliers. Obviously, we might question the sense of their decision to buy drugs, but it should not be a criminal offence. A young person could be pressurised by their peer group to purchase these substances, and they might do so in order to gain the recognition of their peers, but if they were caught they could end up with a substantial criminal conviction.
ParlaMint-GB_2016-01-20-commons.u251	Surely the point is to introduce clarity to the young people that the hon. Lady is describing. Ecstasy is a class A drug, and if a young person buys it, they risk going to prison for a very long time if they are prosecuted and convicted. If a young person buys one of these new psychoactive substances that is minimally different from MDMA, and the dealers get round the problem by saying that it is just a little bit different from ecstasy and therefore does not fall under the 1971 Act, that young person could be placed in a very difficult position. They would have to be a scientist to know the difference between the two substances. My question is: should we not be encouraging clarity to differentiate between those drugs, to enable young people to know that they should not be buying those substances and distributing them?
ParlaMint-GB_2016-01-20-commons.u252	I am not arguing that we should not be discouraging young people in that way. I am arguing that if someone buys these substances for themselves and a couple of friends, we should not criminalise them as though they were drug dealers when they clearly are not. I worry that, further down the line, Members of this House will be contacted by the parents of someone who has foolishly purchased such a substance on behalf of himself and one or two friends and has been convicted of supplying drugs. That young person’s life chances would be greatly diminished. Of course we hope they will be discouraged by our telling them what will happen to them if they make these purchases, but I certainly do not think we should punish them and label them as a drug dealer for stupidly buying stuff for their friends. On the whole, people pass a strong moral judgment on anyone with any kind of a conviction relating to drugs, but an even stronger judgment is passed on anyone convicted of supplying drugs. We are talking about a young person getting these substances for himself and his friends, not a young person who has become a drug dealer, yet that is what the conviction would be for.
ParlaMint-GB_2016-01-20-commons.u253	Following the arguments being put forward from the other side, does the hon. Lady agree that the two most deadly drugs, which are taken by millions of people in this country and which cause addiction and a huge number of deaths, are tobacco and alcohol? Has she contemplated the effects that banning those two drugs would have throughout the world?
ParlaMint-GB_2016-01-20-commons.u254	The hon. Gentleman would not expect me to disagree about the considerable harm that tobacco and alcohol can cause, but today we are talking about new psychoactive substances. I take his point, but it is important to carry on discussing what we have come here to discuss Any Member in the Chamber today who has children could face a situation in which their child was silly enough, along with some friends, to experiment with some currently legal highs. They might be fortunate enough not to be damaged physically or mentally by their experience, but they could still be convicted of a drug dealing offence just for stupidly experimenting Amendment 14 deals with the question of internet purchases. It seeks to highlight the fact that the Government are criminalising the use of drugs for personal consumption that have been purchased over the internet and that are then shipped into the UK for use by an individual. The Government suggest that they are moving forward and that they are not seeking to criminalise individuals unnecessarily. Indeed, the Bill indicates that those who purchase in other ways will not be committing a criminal offence. However, this part of the Bill will still unnecessarily criminalise people I would strongly prefer law enforcement agencies to use their time and effort to prevent the large-scale importation of psychoactive substances for distribution in the UK, rather than concerning themselves with the purchase of these substances for personal use by one individual. In a previous debate on the Bill, the Minister for Policing, Crime and Criminal Justice stated: “The spirit of the Bill is that we do not want to criminalise individuals for possession, but we are going to criminalise the sale and purchase of these substances.” We asked for further clarification, and he said: “I apologise: I kind of misled the House unintentionally on individual possession. I was talking about intent to supply, not intent to use. Making a purchase from a foreign website would be caught, but the purchase on its own from a website or foreign website would not, and I apologise if I misled the House on that point.” My hon. Friend the Member for Angus (Mike Weir) pressed the Minister and pointed out that clause 8 stated that a person commits an offence if “the person intentionally imports a substance,” and “the person…intends to consume the psychoactive substance for its psychoactive effects” He went on to say: “It seems to me that if someone imports and possesses even a small amount of the substance over the internet he is criminalised, but if he bought it in a head shop, for example— in this case the head shops would be gone, so if bought in the street— “he would not be criminalised, which seems to be a strange provision.” The Minister’s response was: “That is not the Bill’s intention. As we go through the Bill in Committee we will endeavour to iron out those concerns.”—[Official Report, 19 October 2015; Vol. 600, c. 737-9.] I was unable to be on the Committee as I was serving on another Bill Committee but I can read Hansard, I have hon. Friends who served on that Committee and I know that in Committee the Minister voluntarily offered this statement: “Possession in a club would not be an offence; indeed, possession is not an offence under any part of the legislation, unless in a secure facility. It is important to send that message out.”––[Official Report, Psychoactive Substances Public Bill Committee, 27 October 2015; c. 37.] I would like some clarity from the Minister on that How much longer have I got, Madam Deputy Speaker?
ParlaMint-GB_2016-01-20-commons.u255	There are no time limits in this debate but many Members want to speak and the list is getting longer and longer, so the longer the hon. Lady speaks, the less others will have a chance to do so.
ParlaMint-GB_2016-01-20-commons.u256	I will move on, then. I will take out all my killer arguments and bring them up when the Minister is summing up I shall make one more point, which is about purchasing online. If we are saying that it is not a criminal offence to purchase down a dark alley, which is where people would have to purchase if they intended to purchase these psychoactive substances, but it is a criminal offence to do so over the internet, we will end up with a situation where two people, brother and sister, could try to do exactly the same thing, and one of them would be a criminal but the other would not. Which of them, the boy or the girl, is most likely to be gung-ho enough to meet a criminal drug dealer down a back alley? It is far more likely that women are going to be criminalised because they are less likely to want to go and meet the drug dealer in person Amendment 15 proposes sentencing commensurate with the potential harm done by the substance involved. In Committee the Minister said that he supported the principle behind the amendment, so we should like to hear where he stands on it today On poppers, I am proud that the SNP championed this from the start. It was great to hear so many passionate speeches of support from both sides of the House, so I shall say nothing further and let someone else speak.
ParlaMint-GB_2016-01-20-commons.u257	I shall speak to new clause 3. First, though, I welcome the constructive approach taken by my right hon. Friend the Minister to engaging with Members on all sides of the House during the passage of the Bill—a constructive engagement which, I believe, has enhanced the positive aspects of the Bill. I am pleased that the broad consensus across the House is that this is an important piece of legislation about public protection What we have heard clearly today is a call for evidence-based policy making. That has been echoed in a number of contributions on different amendments and new clauses, and we should all sign up to that. In that spirit, I tabled the new clause primarily as a probing amendment to examine and draw out the Minister’s comments on an increasingly confused law in respect of the medicinal use of cannabis. The existing law is an impediment to research into the effects of cannabis on mental health and general research on the medicinal benefits of cannabis and cannabis derivatives.
