ParlaMint-GB_2016-06-27-commons.u1	1. What plans his Department has to ensure future defence co-operation with allies and partners.
ParlaMint-GB_2016-06-27-commons.u368	I fail to see how a Prime Minister who is working his notice can actually guarantee the continued involvement of the devolved Administrations for what is possibly a two-year period. However, can he confirm that the Scottish Government’s initial involvement will mean that they are able to represent the will of Scotland, which is to stay in Europe?
ParlaMint-GB_2016-06-27-commons.u369	The Cabinet agreed this morning that there should be the greatest possible involvement of Scotland, Wales and the Government in Northern Ireland in drawing up and understanding all the challenges that we need to meet in this negotiation.
ParlaMint-GB_2016-06-27-commons.u370	Has the level of lies, malice and exaggeration in both campaigns not degraded public discourse to a level where no one will believe politicians in the future? Is this not a threat to the whole status of politics and democracy?
ParlaMint-GB_2016-06-27-commons.u371	I do not actually agree with that, and I think the turnout showed that people took this referendum campaign very seriously.
ParlaMint-GB_2016-06-27-commons.u372	The complex negotiations prior to triggering article 50 will shape the future of Britain, so would it not be right for the British public, in the cold light of day, to have a referendum on the facts in front of them so that they can see the future, with a backcloth of being able to remain at home in Europe if they so wish?
ParlaMint-GB_2016-06-27-commons.u373	We had a referendum on a very important, principled question about in or out. Now what needs to happen is that the different models of out need to be properly examined. Parliament should debate them, and the Government should make a decision. That is what needs to be carried out.
ParlaMint-GB_2016-06-27-commons.u374	Why does the Prime Minister not just commit to match the money for Wales, the north-east and all the other places that currently receive EU funding? He has made lots of commitments already today, so he could certainly do that. I will do a deal with him: if he does, I will make a contribution towards building a statue of him somewhere in Wales.
ParlaMint-GB_2016-06-27-commons.u375	I am so glad that my resignation has set off such a chain reaction, including from the hon. Gentleman. It has been like filling a leaky bucket—the more you pour in, the faster you have to go. I have forgotten what the question was now—[Interruption.] Oh, the money. Obviously, it is at the point at which Britain leaves the European Union that a future Government will have to make the decision on how to match the money for Cornwall, the money for Wales and the money for farming. That is not a commitment I can give now. I very much hope that a future Government will be able to do that, but it will depend on the economic circumstances and the decision at the time.
ParlaMint-GB_2016-06-27-commons.u376	The constituency I represent voted by over 67% to remain, and in Scotland, of course, the figure was 62%. Can the Prime Minister understand the democratic deficit that exists in Scotland, where we are being dragged out of Europe against our will?
ParlaMint-GB_2016-06-27-commons.u377	My constituency voted by a majority to stay in the European Union, as did most of Oxfordshire, I am pleased to report, but we are one United Kingdom, and we take this decision on a United Kingdom basis.
ParlaMint-GB_2016-06-27-commons.u378	There are over 1.5 million 16 and 17-year-olds in the UK, and the referendum was won or lost, depending on your point of view, by 1.5 million votes. Does the Prime Minister still have no regrets about not allowing our 16 and 17-year-olds a say in their future?
ParlaMint-GB_2016-06-27-commons.u379	I am sorry, but I do not think it would be right to change my mind about an issue simply because it would have helped my side in the debate.
ParlaMint-GB_2016-06-27-commons.u380	You’ve done it before.
ParlaMint-GB_2016-06-27-commons.u381	Quiet you at the back That is why I stuck to the view I have taken all along that 18 is the right age. I often find, going round secondary schools in the country and in my constituency, that when you ask sixth formers, there is quite strong support—sometimes majority support—for keeping the age at 18.
ParlaMint-GB_2016-06-27-commons.u382	How does the Prime Minister’s devolution respect agenda apply to the 78% of constituents in Glasgow North who voted to remain? What is his message to one of my constituents whose parents live in Spain and are increasingly concerned about the impact that this vote will have on their healthcare in future years?
ParlaMint-GB_2016-06-27-commons.u383	I would say, very respectfully, that we had a vote on Scotland remaining in the United Kingdom and we had the Edinburgh agreement which said that the result should be respected. That meant that Scotland was part of the United Kingdom, and the United Kingdom has now had a vote on its membership of the European Union. That is how we do things.
ParlaMint-GB_2016-06-27-commons.u384	Seven thousand people are employed in the ceramics industry across the city of Stoke-on-Trent. Fifty per cent. of their trade is with the European Union, and their employers are incredibly concerned about the future. What reassurances can the Prime Minister give that the industry is still safe outside the European Union?
ParlaMint-GB_2016-06-27-commons.u385	The ceramics industry is a classic example of one that needs to make its voice heard. I will make sure that happens and that we get a good negotiation, because if, at the end of two years, Britain were to come out of the European Union without an adequate deal, we could be facing quite large tariffs on, for example, ceramic products. That is a very good argument for why we need to think this through carefully, then trigger article 50 and make sure, during that process, that we protect the access of those industries to this vital market.
ParlaMint-GB_2016-06-27-commons.u386	Earlier in his statement the Prime Minister described the financial and economic reaction to Brexit as an “adjustment”. I presume that was a euphemism. Does he believe that trillions of pounds being wiped off the share value of global companies, the pound at a 31-year low, and the threat of tens of thousands of jobs moving to the continent is just an “adjustment”?
ParlaMint-GB_2016-06-27-commons.u387	The reason I used the word “adjustment” is this: there are clearly short-term financial and volatility effects, as we have seen, but my worry is that there will be longer-term uncertainty effects. People and businesses will be concerned about the UK’s access to crucial markets, and so there might therefore be a more fundamental adjustment. Now that the decision has been taken to leave, we need to make sure that we get the best possible access to the market so that the adjustment is as small as possible.
ParlaMint-GB_2016-06-27-commons.u388	What assurances can the Prime Minister give to businesses in my constituency on the future of regeneration projects that were funded through the EU and the jobs that are linked to them?
ParlaMint-GB_2016-06-27-commons.u389	The budget money is set out from 2014 to 2020, and while we are members of the EU all that money will continue to be spent. The crucial decision will be for the next Government at the point of departure, which could be 2017, 2018, 2019 or later, then to give reassurances to the hon. Gentleman and his constituents about how that European money might be replaced with something else
ParlaMint-GB_2016-06-27-commons.u390	If everybody is to get in, the questions now need to be much shorter. Otherwise, I warn people, they will not get in, and then they will be upset.
ParlaMint-GB_2016-06-27-commons.u391	Does the Prime Minister agree that there are profound lessons to be learned at the Government Dispatch Box, and indeed at the Opposition Dispatch Box, about how we listen to and responsibly address the perfectly legitimate concerns that good, decent working-class people have about things like unskilled immigration, and the consequent self-evident alienation they feel from their current political leadership?
ParlaMint-GB_2016-06-27-commons.u392	Immigration was a key issue in this campaign. I was hoping that the welfare restrictions I had negotiated would help to address that, because people in this country feel a very clear sense that someone should not have something for nothing—that people should pay in before they take out. But clearly that was not enough to reassure people. Also, there has been a lot of immigration from outside the EU over many, many years. People want to see the system brought under control and management, and that is what needs to happen. We need to have a rational debate about it—I think there is a quite a lot of common ground between the two parties—and that is what we should get on with.
ParlaMint-GB_2016-06-27-commons.u393	The Prime Minister said that a leave vote was like putting a bomb under the economy. Is that part of his long-term economic plan?
ParlaMint-GB_2016-06-27-commons.u394	Obviously, I said that I thought our economy would be better off if we stayed in. The British people have made a different decision. Now we need to make sure that we do our best to safeguard our economy in the new reality.
ParlaMint-GB_2016-06-27-commons.u395	In the last debate that we had on the EU, the Foreign Secretary said that the problem for the UK was that we had no experienced trade negotiators left in the civil service. What are the Government now doing urgently to train up people so that they can negotiate on trade deals?
ParlaMint-GB_2016-06-27-commons.u396	Obviously, we are going to be increasing our capacity in that vital area.
ParlaMint-GB_2016-06-27-commons.u397	Earlier this year, Mr Speaker, you gave me and my community the great honour of commemorating the Clydebank blitz in your own home. Since that period in 1941, NATO and what became the European Union have delivered military and economic peace and prosperity for Europe. Do not the British Government, led by this Prime Minister, agree with my community that he has delivered us from peace into unparalleled chaos?
ParlaMint-GB_2016-06-27-commons.u398	What this Government have delivered for Scotland is record rates of employment growth and business growth as part of a successful economy. The people of the United Kingdom have decided to take a different path with respect to Europe, but we must do all we can to continue to safeguard the economies of all the countries of the United Kingdom.
ParlaMint-GB_2016-06-27-commons.u399	As anyone who played an active role in the remain campaign will know, immigration was the top concern for a huge number of people who voted leave because they believed that the renegotiation would lead to the ending of free movement. I regret that, but does the Prime Minister believe that if those who inherit this situation try to airbrush that out, it will end in tears?
ParlaMint-GB_2016-06-27-commons.u400	As I have said, I think that one of the most difficult decisions for a future Government will be how to balance access to the single market—the best we can get—with decisions about immigration. I do not know what exact answer can be found. The answer I found was welfare reform, which was bold and brave because it meant reducing welfare payments to newly arrived migrants. Those changes will now not go ahead, so that extra draw will continue for the next couple of years, but we have to find an answer to that problem. In a way, that is the puzzle we have now been set by the British people, which is, “We want access to the single market and we recognise the economic argument, but you’ve got to do better when it comes to immigration.”
ParlaMint-GB_2016-06-27-commons.u401	In response to repeated questions from Members on the SNP Benches, the Prime Minister has attempted to reduce one of the most ancient and proud nations on this planet to the status of an English shire county. May I suggest to him that if he is going to keep doing that, the Leader of the Opposition will have no need to find a shadow Secretary of State for Scotland, because there will be no Scotland Office to run in this place?
ParlaMint-GB_2016-06-27-commons.u402	That is not what I was doing. Scotland is an incredibly proud part of our United Kingdom and I believe profoundly in the importance of the Scottish nation, Scottish nationhood and all that it brings to our United Kingdom. I was simply making the point that when there is a UK-wide decision, not everybody gets what they want. [Interruption.]
ParlaMint-GB_2016-06-27-commons.u403	Order. The Prime Minister is very robust and perfectly capable of looking after himself, but I do think that when he addresses this House, very comprehensively, and attends to all our questions, he is entitled to a courteous hearing and not to be persistently heckled.
ParlaMint-GB_2016-06-27-commons.u404	May I thank the Prime Minister and the Leader of the Opposition for their condemnation of yesterday’s racist attack on the Polish Social and Cultural Association in my constituency, which I visited this morning? The centre was built almost 50 years ago by the same generation of Poles who fought for this country in the battle of Britain, Monte Cassino and the battle of the Atlantic. Will the Prime Minister express his solidarity with the Poles and all our migrant communities, which are, in the wake of last Thursday’s vote, feeling under threat?
ParlaMint-GB_2016-06-27-commons.u405	I am very happy to do that. As someone who used to live in the hon. Gentleman’s constituency, I know some of the Polish centres and restaurants quite well. They have made an amazing contribution to our country. He mentions the battle of Britain. We should always remember that—I do every time I go past the Polish war memorial—and we should say to those people, “You make a great contribution to our country. You are welcome and you can stay, and these attacks are hateful.”
ParlaMint-GB_2016-06-27-commons.u406	Young people across the UK voted overwhelmingly to remain in the EU, so what specifically will the Prime Minister do to reassure and support young people now that the opportunities to live, learn and work across the EU have been taken away from them?
ParlaMint-GB_2016-06-27-commons.u407	The point is that they have not yet been taken away from them. I urge young people to make their voice heard so that as we go into this negotiation to leave the EU, we try to get the very best arrangements for people’s ability to study, travel and work, and all the benefits that young people want.
ParlaMint-GB_2016-06-27-commons.u408	Our great research institutions rely heavily on funding through the European Union. The Prime Minister suggests that nothing changes immediately, but for researchers the threat feels immediate and real. What support will he give to people to help them through these uncertain times?
ParlaMint-GB_2016-06-27-commons.u409	The point I can add to what I have said before is that, of course, all contracts will be honoured, so if a British university has won a contract under the Horizon 2020 programme or whatever, that will continue during the life of that contract. Obviously, the key decision post-leaving will be about how we put in place arrangements to safeguard our excellent research facilities and universities.
ParlaMint-GB_2016-06-27-commons.u410	The Prime Minister has rightly condemned the worrying wave of post-Brexit racism, so will he absolutely commit to the Prevent strategy and, indeed, to reviewing funding for community cohesion generally, to stamp on these emboldened xenophobes?
ParlaMint-GB_2016-06-27-commons.u411	I certainly think we should continue with the Prevent strategy and I am very happy to look at any ideas for things that we can do to strengthen our attack on hate crimes.
ParlaMint-GB_2016-06-27-commons.u412	The farming community will be affected by this vote almost more than any other. It, too, was promised a continuation of subsidies and support. What reassurance can the Prime Minister give it that this will indeed be the case?
ParlaMint-GB_2016-06-27-commons.u413	I can say what I said during the campaign, which is that as far as I am concerned, I want a living, working countryside where we continue to support our farmers. That was guaranteed as part of the EU up to 2020. What is going to happen now is that those farm payments will continue up until we leave and, at the point at which we leave, a new Government will have to make a decision. Certainly, I will be pressing for continued support for agriculture because, as I say, our countryside is as it is because it is farmed, and long may that continue to be the case.
ParlaMint-GB_2016-06-27-commons.u414	Devastated citizens are unimpressed by party leaders who simply say that they did their best in this campaign. Will the Prime Minister take the opportunity at the end of this long session to say sorry for what he has done?
ParlaMint-GB_2016-06-27-commons.u415	I made a pledge to hold a renegotiation and a referendum. I kept that pledge, and we carried it through in this House. I am sure that we have all got lessons to learn, but all I can say is that I threw absolutely everything into that campaign. I believed head, heart and soul in what I was saying. I was absolutely convinced of the merits of my case, and I did everything I could to get it across. But, in the end, if you hold a vote like that and you lose, you have got to accept the view of the British people. In my view, accepting it means that you have also got to accept that it is time for someone else to take the leadership of this great country forward, and that is why I have done what I have done. We have all got, I am sure, lessons we have learned and all the rest of it, but I am proud of the action that I took and the fact that I fought as hard as I did.
ParlaMint-GB_2016-06-27-commons.u416	Forty-eight per cent. of the country wake up sick at heart and angry every day. Now, large numbers of people who actually voted for Brexit are also waking up sick and angry when they find out they were lied to about money for the NHS and about immigration. How does the Prime Minister hope to build unity in this country with a Government who may well include people who misled the British public in this referendum?
ParlaMint-GB_2016-06-27-commons.u417	We now have to come back as one Government who have accepted the will of the British people to leave the European Union, and we have to find the best way for our country as we do that. That should be the focus. There is no point refighting the campaign. We have had the campaign and we have had the decision, and now we have to make it the best we can for our country.
ParlaMint-GB_2016-06-27-commons.u418	May I take this opportunity to thank the Prime Minister for attending the national armed forces event in Cleethorpes on Saturday? People were very appreciative, particularly after the events of the previous 48 hours, and it was particularly appreciated by the forces, both past and present Although the Prime Minister has clearly stated this, some of my constituents have nagging doubts about whether the Government will actually deliver Brexit. Perhaps it would be appropriate at the end for him to reaffirm yet again that that will happen.
ParlaMint-GB_2016-06-27-commons.u419	First of all, I thank my hon. Friend for the warm welcome that he and the people of Cleethorpes gave me on Saturday. I have heard some of this stuff about hiding away after the referendum. I was on the stage on Armed Forces Day with representatives of our brave armed forces. There was an enormous crowd in Cleethorpes, a brilliant display and a very good fly-past, march-past and all the rest of it. A lot of people said, “You’ll never hold a referendum and you’ll never have a renegotiation; it will never actually happen.” All those things did happen, and now what needs to happen is that we obey the will of the British people. We are a democracy, and that is what we will do.
ParlaMint-GB_2016-06-27-commons.u420	I thank all colleagues, but in particular the 110 Back Benchers who questioned the Prime Minister. Perhaps I can thank the Prime Minister for the enormous dignity, grace and good humour that he has displayed this afternoon in attending, in detail and at length, to our inquiries. I say very genuinely—I hope on behalf of the whole House—something that we do not say often enough: thank you.
ParlaMint-GB_2016-06-27-commons.u421	On a point of order, Mr Speaker. In this House, we fight passionately for the rights of British citizens, but leaving the EU impacts directly on EU citizens in the UK and UK citizens in the EU, whose rights, we have heard from the Prime Minister, are secure but only in the short term. Do you believe that the procedures of this House are fit for purpose when it comes to ensuring that the Government represent the interest and ensure the security of EU citizens in the UK and UK citizens in the EU effectively?
ParlaMint-GB_2016-06-27-commons.u422	Forgive me, but I must say to the right hon. Gentleman that I do not think that there is a matter contained within that purported point of order that relates to the procedures of the House for the protection of the interests of European Union citizens. Notwithstanding the expression of unrivalled solemnity on the face of a former Deputy Leader of this House as he put that point of order to me, I am still struggling to come to terms with the notion that it is a point of order rather than a point of perfectly legitimate and understandable concern, frustration and anxiety. In so far as it is the latter, the right hon. Gentleman is a sufficiently experienced and accomplished parliamentarian to find several opportunities further to expand on his concerns in the days and weeks that lie ahead.
ParlaMint-GB_2016-06-27-commons.u423	On a point of order, Mr Speaker. Have you been approached by the Leader of the House about the House’s business and even the Government’s legislative programme being reviewed, given the dramatic decision made by this country last week? [Interruption.] You were not listening to a word I said, Mr Speaker, so shall I ask again?
ParlaMint-GB_2016-06-27-commons.u424	As a courtesy, I should hear the hon. Gentleman again. I am not sure the point will improve with repetition, but we can try. I beg his pardon for listening to someone else at the same time. Let him say it again. It was something to do with the Government’s legislative programme, but I am sure it is not tendentious.
ParlaMint-GB_2016-06-27-commons.u425	Let us see whether I can improve on my point of order. Have you been approached by the Leader of the House about an urgent statement so that we can review the House’s business and even the Government’s legislative programme, given the dramatic decision that was taken last week?
ParlaMint-GB_2016-06-27-commons.u426	The short answer to that is no. There will be the opportunity of business questions on Thursday, an occasion with which the hon. Gentleman, in view of his Front-Bench responsibilities, is very familiar, but on the question whether I have had any indication about a business statement before then, or an intended revisiting of the business of the House or of the legislative programme, the answer is no.
ParlaMint-GB_2016-06-27-commons.u427	On a point of order, Mr Speaker. It has been brought to my attention that in a Westminster Hall debate about broadband that I attended and spoke in on 24 June 2015, I sadly failed to declare a financial interest, although my notes show that I wished to do so. I want to take this opportunity to correct the record, and to apologise profusely to the House for my error in not doing so on 24 June last year.
ParlaMint-GB_2016-06-27-commons.u428	I am very grateful to the hon. Gentleman for giving me notice that he wished to raise this matter. I also appreciate, as doubtless will the House, that he has now, albeit somewhat belatedly, put the record straight. Let me thank him on the principle of “better late than never”.
ParlaMint-GB_2016-06-27-commons.u429	On a point of order, Mr Speaker. This morning, the Chancellor indicated two contrary views. One was that we face great turbulence in the immediate days and weeks, and the other was that he would postpone the emergency Budget until after the Tory leadership crisis has been resolved. Much of what we face during this crisis will have an impact on the Government’s finances, including issues covered by the Finance Bill. Should we not have greater clarity before we undertake scrutiny of this Finance Bill?
ParlaMint-GB_2016-06-27-commons.u430	If the matters of which the hon. Gentleman wishes to treat are contained in the Bill, he may very well have a perfectly good opportunity to air his concerns and undertake his scrutiny today. I am very grateful to him for giving me notice of this point of order. It is perfectly clear that the Government intend to proceed with the Committee stage of the Finance Bill today, and the proceedings will be taken in accordance, as they must be, with the programme order agreed by the House on 11 April. Although the hon. Gentleman is a new Member, he is a very accomplished and experienced person with much life experience. [Laughter.] I mean that he is a person of the world—a cerebral individual. Although debate must focus on the amendments selected, I have no doubt that he will find ways to weave into his contribution some reference to the general concerns that he has just ventilated. I am sure that he will find his own salvation. I have every confidence in him, and he should have every confidence in himself. We will leave it there for now Finance Bill (Ways and Means) (Taxable Benefits (Application of chapters 5, 6 and 7 of part 3 of the Income Tax (Earnings and Pensions) Act 2003)) Resolved, That— (1) The provision made by Resolution 4 of the House of 22 March 2016 (taxable benefits (application of Chapters 5, 6 and 7 of the Income Tax (Earnings and Pensions) Act 2003)) be varied and supplemented as follows (2) In section 97 of the Income Tax (Earnings and Pensions) Act 2003 (living accommodation to which Chapter 5 applies), for the subsection (1A) inserted by paragraph (2) of that Resolution substitute— “(1A) Where this Chapter applies to any living accommodation— (a) the living accommodation is a benefit for the purposes of this Chapter (and accordingly it is immaterial whether the terms on which it is provided to any of those persons constitute a fair bargain), and (b) sections 102 to 108 provide for the cash equivalent of the benefit of the living accommodation to be treated as earnings.” (3) In section 114 of that Act (cars, vans and related benefits to which Chapter 6 applies), for the subsection (1A) inserted by paragraph (3) of that Resolution substitute— “(1A) Where this Chapter applies to a car or van, the car or van is a benefit for the purposes of this Chapter (and accordingly it is immaterial whether the terms on which it is made available to the employee or member constitute a fair bargain).” (4) In section 120 of that Act (benefit of car treated as earnings)— (a) in subsection (2) after “case” insert “(including a case where the cash equivalent of the benefit of the car is nil)”, and (b) after subsection (2) insert— “(3) Any reference in this Act to a case where the cash equivalent of the benefit of a car is treated as the employee’s earnings for a year by virtue of this section includes a case where the cash equivalent is nil.” (5) In section 154 of that Act (benefit of van treated as earnings)— (a) the existing text becomes subsection (1) of that section, and (b) after that subsection insert— “(2) In such a case (including a case where the cash equivalent of the benefit of the van is nil) the employee is referred to in this Chapter as being chargeable to tax in respect of the van for that year (3) Any reference in this Act to a case where the cash equivalent of the benefit of a van is treated as the employee’s earnings for a year by virtue of this section includes a case where the cash equivalent is nil.” (6) In section 173 (loans to which Chapter 7 applies) for the subsection (1A) inserted by paragraph (5) of that Resolution substitute— “(1A) Where this Chapter applies to a loan— (a) the loan is a benefit for the purposes of this Chapter (and accordingly it is immaterial whether the terms of the loan constitute a fair bargain), and (b) sections 175 to 183 provide for the cash equivalent of the benefit of the loan (where it is a taxable cheap loan) to be treated as earnings in certain circumstances.” (7) The amendments made by this Resolution have effect for the tax year 2016-17 and subsequent tax years And it is declared that it is expedient in the public interest that this Resolution should have statutory effect under the provisions of the Provisional Collection of Taxes Act 1968.—(Mr Gauke.) Finance Bill (Ways and Means) (Travel expenses of workers providing services through intermediaries) Resolved, That— (1) The provision made by Resolution 8 of the House of 22 March 2016 (travel expenses of workers providing services through intermediaries) is varied as follows (2) In section 339A of the Income Tax (Earnings and Pensions) Act 2003 inserted by paragraph (1) of that Resolution, in subsection (6), for paragraph (a) substitute— “(a) in section 51(1)— (i) disregard ‘either’ in the opening words, and (ii) disregard paragraph (b) (and the preceding ‘or’), and” (3) The amendment made by paragraph (2) has effect in relation to the tax year 2016-17 and subsequent tax years And it is declared that it is expedient in the public interest that this Resolution should have statutory effect under the provisions of the Provisional Collection of Taxes Act 1968.—(Mr Gauke.)
ParlaMint-GB_2016-06-27-commons.u431	I beg to move amendment 22, page 14, leave out lines 7 to 10 and insert— ““(1A) Where this Chapter applies to any living accommodation— (a) the living accommodation is a benefit for the purposes of this Chapter (and accordingly it is immaterial whether the terms on which it is provided to any of those persons constitute a fair bargain), and (b) sections 102 to 108 provide for the cash equivalent of the benefit of the living accommodation to be treated as earnings.””
ParlaMint-GB_2016-06-27-commons.u432	With this it will be convenient to discuss the following: Government amendments 23 to 26 Clause stand part Clauses 8 and 9 stand part Amendment 2, in clause 10, page 15, line 29, after “omit”, insert “, except in the case of a low emissions vehicle,” Amendment 3, page 15, line 38, at end add— “(3) For the purposes of this section, a “low emissions vehicle” means any car first registered on or after 1 April 2017 which emits 0.06g or less of nitrous oxides per kilometre.” Clauses 10 to 12 stand part That schedule 2 be the Second schedule to the Bill Clause 13 stand part Government amendment 27 Clauses 14 and 15 stand part Amendment 180, in clause 16, page 24, line 35, at end add— “(2) The Chancellor of the Exchequer shall undertake a review of the impact of the abandonment by HMRC of its valuation check service for Small and Medium-sized Enterprises, including its associated impact on employee share ownership schemes, and report to Parliament within six months of the passing of this Act.” Clause 16 stand part Government amendment 28 That schedule 3 be the Third schedule to the Bill Clauses 17 and 18 stand part New clause 1—Review of income tax treatment of workers providing services through intermediaries— “The Chancellor of the Exchequer must conduct a strategic review of the impact on workers defined as providing services through intermediaries of their treatment for income tax purposes, including the differential impact on different types of worker, and must publish the report of the review within six months of the passing of this Act.” New clause 3—Tax treatment of workers employed through intermediaries— “The Chancellor of the Exchequer must, within six months of the passing of this Act, publish a report on the impact of the current system of employment through intermediaries on the treatment for tax purposes of the employment income of workers employed through an intermediary or umbrella company, including the role of intermediaries and umbrella companies.” New clause 10—Employee share schemes: value for money— “The Chancellor of the Exchequer shall, within six months of the passing of this Act, publish a report giving HM Treasury’s assessment of the value for money provided by each type of employee share scheme.”
ParlaMint-GB_2016-06-27-commons.u433	It is a great pleasure to speak on the Government measures in this group. I will say at the beginning of my remarks that, as I mentioned to Mr Speaker earlier, and as you will have no doubt noted, Mrs Laing, I am somewhat incapacitated by a back strain. I will of course take interventions, but with your permission, I will remain standing during those interventions—bobbing up and down will be a little discomforting. May I have your permission?
ParlaMint-GB_2016-06-27-commons.u434	Please—[Interruption.] No, do not sit down. I was about to say that if the Minister had not made that point I was going to offer my permission. Having once been in the dreadful position of standing at that Dispatch Box on crutches with a broken leg, I know that although it is possible to stand still, going up and down is exceedingly difficult. I am sure the whole House has every sympathy for the Minister and will concur in giving him permission to remain on his feet.
ParlaMint-GB_2016-06-27-commons.u435	Thank you, Mrs Laing. I am grateful for those remarks The measures I will outline ensure the simple, clear and fair tax treatment of employment income and benefits, strengthen incentives to choose the cleanest cars and vans, and ensure that those who have used artificial arrangements to avoid paying tax pay their fair share. Given the number of measures selected for debate, I will briefly set out how I will speak on them today. I will first discuss clauses 8 to 11, concerning company car taxation and the van benefit charge. I will then outline clause 7 and clauses 12 to 17, which address tax treatment of income and certain benefits. Finally, I will outline clause 18, which addresses disguised remuneration schemes I turn first to clauses 8 to 11. Clause 8 will increase the appropriate percentage for conventionally fuelled cars by three percentage points in 2019-20; it will also widen the tax advantage of ultra-low emission cars over conventionally fuelled cars in 2019-20 compared with previously announced plans. As a result of the changes, in 2019-20 a basic rate taxpayer driving a popular ultra-low emission company car will be £113 better off. Clause 9 makes a minor technical update to ensure the legislation works as is intended in 2017-18 and 2018-19. The update applies to a small number of rare company cars. It is estimated that exposure to nitrogen dioxide is linked with 23,500 deaths annually in the UK, costing approximately £13.3 billion As was announced in the autumn statement in 2015, clause 10 retains the three percentage point supplement for diesel company cars until 2021. That will support the UK’s transition from diesel cars to cleaner, zero and ultra-low emission cars. As a result, a basic rate taxpayer with an average ultra-low emission company car will save an additional £150 in 2016-17, compared with an employee who has an average diesel company car Clause 11 retains the van benefit charge for zero-emission vans at 20% of the rate paid by conventionally fuelled vans for 2016-17 and 2017-18, rather than increasing it to 40% and 60% as currently planned. That means that a basic rate taxpayer who drives a zero-emission van will save £126 in 2016-17 and £258 in 2017-18. Together, clauses 8 to 11 will incentivise business and employees to take up the cleanest cars and vans. That will help to ensure that the market for those new technologies becomes established in the UK, and to support the UK’s carbon emission and air-quality targets In anticipation of what we will hear from the Opposition, let me turn to amendments 2 and 3 to clause 10. The amendments would require the exemption of diesel cars from paying the supplement if they achieve the same level of nitrogen dioxide emissions as petrol cars. I appreciate that hon. Members want to incentivise people to purchase the cleanest cars, but the amendments would only introduce confusion and uncertainty. They are not linked to the wider regulatory programme to achieve the latest air quality standards, even when cars are driven on our roads. Clause 10 retains the supplement until 2021 when those new standards will be mandatory for all new cars. That approach is transparent and easy to understand, and it will give consumers confidence that all new diesel cars are comparable to petrol cars. Our approach incentivises people to purchase the cleanest cars, and in anticipation of what will be said later, I hope that Labour Members will not press the amendments to a vote Let me consider those clauses that clarify and simplify the tax treatment of income and certain benefits, and ensure fairness in the tax system. Clause 7 will clarify how the cash equivalents of certain taxable benefits are calculated, and ensure that fair bargain does not apply to those taxable benefits in kind where the level of computing the value of the benefit is set out in statute. The Government have made minor technical changes in amendments 22 to 26, which ensure that the legislation works as intended Clause 12 and schedule 2 will provide clarity that all income from sporting testimonials for an employed or previously employed sportsperson will be taxable. However, we are aware that careers in sport can be short, so we have also introduced an exemption for the first £100,000 of income received from a sporting testimonial that is not contractual or customary. The Government believe that that is a fair compromise, and the vast majority of employed sportspersons who have testimonials will not be impacted. Clause 13 introduces a statutory exemption for certain benefits costing up to £50 that employers provide to their employees. That will simplify the tax treatment of those benefits and reduce the administrative burden for employers. To ensure that the exemption is not misused, a £300 annual cap will apply in certain circumstances. That sensible and simplifying measure will reduce burdens on employers and HMRC alike Clause 14 will ensure that no individual or business can obtain an unfair tax advantage through claiming tax relief on home-to-work travel and subsistence expenses. It is an established principle in the UK that people are not able to claim tax relief on the cost of ordinary commuting, and the vast majority of workers are not able to do so. Individuals who are engaged through intermediaries—such as umbrella companies and their employers—currently benefit from that relief and the cost of commuting from home to work, simply because of the way they are engaged to work.
ParlaMint-GB_2016-06-27-commons.u436	Has the Minister considered whether this measure will have a disproportionate impact on rural communities where travel is much more expensive and sometimes an overnight stay is necessary when undertaking those roles?
ParlaMint-GB_2016-06-27-commons.u437	I will say a little more about clause 14, but I believe that this is a matter of fairness. For the vast majority of people, home-to-work costs do not have tax relief, and it is right to apply the same rules across the board. If there is a difference in treatment just because an arrangement is made through an umbrella company or other form of intermediary, clause 14 will put those workers on the same terms as everybody else. That underpins the Government’s commitment to ensure that the tax system is fair and treats all individuals who are doing the same thing in the same way.
ParlaMint-GB_2016-06-27-commons.u438	I understand the Minister’s argument, but this measure will offer a disincentive to many people who have chosen to go down the contracting or self-employed route. Does he share our concern that that may act as a disincentive to entrepreneurship, given that being a contractor or self-employed could be the first step to forming another business and employing other people?
