ParlaMint-GB_2016-03-23-commons.u1	1. If he will estimate the contribution of golf to the economy in Scotland in the last 12 months.
ParlaMint-GB_2016-03-23-commons.u300	New clause 6 relates to the Chiltern review group. The Chiltern area of outstanding natural beauty, which has been a designated landscape for more than 50 years, is the only AONB affected by phase 1 of HS2. As it stands, 8.8 km of the AONB is still exposed to the line and remains untunnelled and above ground. It will be a permanent scar on the landscape, and the effects will be irreversible. A Chilterns AONB review group would provide local authorities and key stakeholders with the opportunity to identify greater measures of mitigation and work collaboratively with the promoter to ensure that this precious area was protected to the highest possible level during the construction and operation of the railway When the project was first announced, I was assured that local people would have a chance to input their views and expertise into the plans for HS2, but, so far, those opportunities have been limited. This group of amendments would make sure that local people and councils had genuine influence over the future of their area, which will, I believe, be irretrievably damaged by HS2.
ParlaMint-GB_2016-03-23-commons.u301	I am grateful to my right hon. Friend for giving way. Is not new clause 7 actually defective? There does not appear to be any duty to replant trees that have died.
ParlaMint-GB_2016-03-23-commons.u302	My right hon. Friend makes a valid point. He will notice that there are a large number of amendments on the Order Paper in my name. I have not had the advantage of parliamentary draftsmen; I have had only lawyers, friends and my own wits, with the Clerks of the House to fall back on. However, I think that as a probing amendment, new clause 7 will make its point.
ParlaMint-GB_2016-03-23-commons.u303	Does my right hon. Friend agree that the problem of trees and ancient woodland demonstrates not only a lack of commitment but a deep lack of understanding by HS2 of these environmental issues?
ParlaMint-GB_2016-03-23-commons.u304	My hon. Friend makes a good point. I remember considering the matter in a debate in Westminster Hall, which I believe he led. Like me, he is a passionate and long-term supporter of the Woodland Trust, which does valuable work to preserve our precious ancient woodland and to create more native woods.
ParlaMint-GB_2016-03-23-commons.u305	I was at the debate about ancient woodland to which my right hon. Friend referred. Does she agree that more ought to be done to try to protect those precious ancient woodland habitats? I understand the economic reasons, but what about the ancient woodland?
ParlaMint-GB_2016-03-23-commons.u306	My hon. Friend has already made a name for herself in the House for defending our environment, and I hope that she long continues to do so. I agree with her entirely. The Woodland Trust wants ancient woodland to be removed from the “no net loss” calculation, and it is disappointed that HS2 has not done everything that it should or could do to avoid the loss of ancient woodland.
ParlaMint-GB_2016-03-23-commons.u307	I am sure that the right hon. Lady will acknowledge that when HS2’s original estimate of the amount of ancient woodland was reviewed by the Woodland Trust, that estimate was increased by 78%. It is appalling that the initial environmental survey conducted by HS2 did not record accurately the amount of ancient woodland involved.
ParlaMint-GB_2016-03-23-commons.u308	The hon. Gentleman’s point about inaccurate assessments is, I am afraid, repeated throughout dealings with HS2. This is a particularly bad example. The Woodland Trust petitioned HS2 for a minimum planting ratio of 30:1 to compensate for the fact that irreplaceable habitats will be lost, and the planting of 2 million trees along the wider route is just the starting point. I would have hoped that that could be put in the Bill, which would have made the provision legally binding and ensured that at least some structured replanting and maintenance took place.
ParlaMint-GB_2016-03-23-commons.u309	May I underline our commitment to no net environmental loss and our commitment to plant 2 million trees, which will be managed to the best arboricultural standards? One of the problems that we had with the assessment of ancient woodland was getting access to land to carry out such assessments, because some landowners would not grant us access. That will not be a problem with further phases, because we have taken those powers as part of the Bill.
ParlaMint-GB_2016-03-23-commons.u310	I am grateful to my hon. Friend for that clarification. I wish I could take it at face value.
ParlaMint-GB_2016-03-23-commons.u311	As I am sure the right hon. Lady agrees, the Minister’s assurance that there will be no net loss is not worth the air time it is given. Ancient woodland is, of course, as Natural England precisely characterises it, “irreplaceable”. The idea that there can be no net loss of something that is irreplaceable is simply a contradiction in terms.
ParlaMint-GB_2016-03-23-commons.u312	The hon. Gentleman makes a very valid point. Quite frankly, the fact that anybody actually says they would replace ancient woodland just shows the ignorance of some of the people dealing with this matter.
ParlaMint-GB_2016-03-23-commons.u313	rose—
ParlaMint-GB_2016-03-23-commons.u314	The Minister is determined to get in again. As we have not heard a lot from him, I will give way.
ParlaMint-GB_2016-03-23-commons.u315	May I just make the point that translocation of ancient woodland soils is recognised by Natural England as an important mechanism for aiding the creation of ecologically valuable woodlands? If properly planned and undertaken, that can be an important element of compensatory measures, where the loss of ancient woodland is unavoidable.
ParlaMint-GB_2016-03-23-commons.u316	I again thank the Minister for that clarification.
ParlaMint-GB_2016-03-23-commons.u317	I am very concerned about the protection of ancient pastureland. In one particularly egregious case in my constituency, HS2 Ltd suggested that it replace ancient woodland on ancient pastureland, which is even rarer and more valuable.
ParlaMint-GB_2016-03-23-commons.u318	rose—
ParlaMint-GB_2016-03-23-commons.u319	I think my right hon. and learned Friend has had a similar experience.
ParlaMint-GB_2016-03-23-commons.u320	My right hon. Friend is absolutely right. Those managing pastureland to produce wild flowers were told that, after years of husbandry, somebody was going to stick a wood on it. HS2’s reaction was simply to find a bit of land on which to stick some trees.
ParlaMint-GB_2016-03-23-commons.u321	I make no comment. That speaks for itself.
ParlaMint-GB_2016-03-23-commons.u322	Will the right hon. Lady give way?
ParlaMint-GB_2016-03-23-commons.u323	I think I have given way enough to the hon. Gentleman. I want to make some progress because so many Members want to speak on this group of amendments, and we have so little time I have tabled new clauses, drafted by a very senior lawyer, on a proposal that is of particular importance to everybody—the adjudicator. The proposal is of great importance and would improve the project immeasurably. New clause 8 provides for an independent regulatory body regularly to review and monitor progress during construction, and to hold HS2 to account in delivering what has been promised in environmental and other mitigations. The construction commissioner or complaints commissioner proposed by the Department for Transport simply will not have the remit or the expertise to monitor such a large project. In addition, it can only cover claims of up to £7,500. I believe we need truly independent scrutiny by an independent body. Some of the panel members should have relevant expertise, and most importantly, it should have enforcement powers The history of this project is full of errors and omissions, including the downplaying of the environmental impacts, together with the “It will be fine” and “The people along HS1 did not complain” attitude of the promoter. We cannot trust what HS2 is currently offering. At the moment, it is in effect responsible for policing itself The Government assure us that the environmental minimum requirements and the code of construction practice offer the necessary protections, but close examination of the documents does not provide such reassurance. The devil is always in the detail. In practice, it means that although HS2 is required to adopt measures to reduce the adverse environmental effects reported in the environmental statement, it only has to do so “provided that such measures are reasonably practicable and do not add unreasonable cost or delay to the construction or operation of the project” In effect, that gives the nominated undertaker, which is in charge of monitoring itself, a “get out of jail free” card.
ParlaMint-GB_2016-03-23-commons.u324	Is my right hon. Friend as concerned as I am that if HS2 is its own policeman, corners will be cut when the budget comes under further pressure, as it undoubtedly will, and local people and the environment will suffer as a result?
ParlaMint-GB_2016-03-23-commons.u325	I think that will happen. Once this project is on its way, it will be easy to say that this would delay it or that would cost more. Presumably, it will be very easy for HS2 to say that almost any environmental mitigation could cause delays to the project and add to the cost, and therefore that it is not reasonably practical to implement it I have looked at the complaints process. It cannot be sensible or practical to have a complaints process that ends up with the Speaker of the House as the adjudicator of last resort for dispute resolution in relation to the construction of HS2 and, most importantly, the implementation of environmental mitigation. I do not want to be fobbed off by the Minister with reassurances that the Department for Transport has covered it all with the construction commissioner, because we can be very sure that it has not. We owe the people burdened with this project, and the communities that are being destroyed, that extra level of scrutiny and protection, and somebody whom they can turn to immediately My remaining new clauses concern the tunnels and the look of this project in my constituency. I will summarise those points briefly because many people want to speak. It is not fair to say that my constituency has not been protected at all by additional tunnelling. As the Minister said in his opening remarks—I am told I am to be very grateful—there will now be a tunnel for two thirds of my constituency. My constituents are grateful for that, but 8.8 km of the route through the area of outstanding natural beauty is outside the tunnel. When we are doing such brilliant tunnelling with Crossrail 2, and when we know that tunnelling expertise in this country leads the world, why are we not using that to tunnel under a nationally protected piece of the environment? I have tabled these new clauses to remind the Minister that we will not give up on this issue at any stage, and I hope that the House of Lords will also give it due consideration I have tabled an amendment on traffic, which is important because the traffic assessments from HS2 have been atrocious. I have also tabled amendments on pylons, and the possibility that we will be able to take the opportunity offered by HS2’s construction phase to ensure that if pylons are above ground, they are designed to fit in with the countryside, but that if possible they could be placed underground I see that you are getting anxious, Madam Deputy Speaker, as am I, because the Government have not given us enough time to do justice to these new clauses. I am sorry that I have not been able to deploy all my arguments, but in the interest of allowing others to speak, and knowing that time has been taken out of this debate by the Opposition’s forcing a vote on something that is not relevant to now or to my constituents, I will let others speak.
ParlaMint-GB_2016-03-23-commons.u326	New clause 22 deals with Euston, which is in the middle of my constituency. It is not easy to convey to the House the devastating impact that HS2 will have on my constituency, but let me try. HS2 will come into Primrose Hill and crash through to Euston, destroying everything in its path Let me give the House the sheer numbers affecting my constituency: 2,986 people live within 60 metres of the construction site, a further 3,186 live within 120 metres, and 11,414 within 300 metres. That is 17,568 people in my constituency within 300 metres of the construction site. Some 220 family houses will be demolished, and up 1,000 people will lose their homes. Unless there is a plan for an integrated station at Euston, there is the risk that another 150 family homes will be lost, affecting another 600 people—1,600 people are at risk of losing their home Many of the family homes that are not destroyed will be affected by noise, and, according to HS2’s own figures, 1,025 family homes—that is 4,000 people—will be affected by noise that requires mitigating measures. Measures are already in place to consider up to another 850 homes and another 3,400 people. Some 7,000 people in my constituency could need noise mitigation measures because of what will happen with HS2 at Euston That is not the end of it. If Euston is redeveloped, 3.5 million tonnes of spoil will need to be removed from the site, which is the equivalent of 26 miles of tunnelling for Crossrail. All that must come out of Euston, and there is no guarantee or assurance that that will be done by rail. The net effect for my constituents is the risk of 800 two-way lorry movements a day to remove that spoil, and 90% of those lorries will be HGVs That brings me on to air quality, which is notoriously bad in London. It is particularly bad in the Euston area, and the HS2 environmental statement indicates that HS2 will have a substantial impact on nitrogen dioxide levels in a third of locations in the Euston area. If that was not enough on its own—it will have a devastating impact on the constituency—let me throw in two further factors The first factor is time. The original HS2 Bill was premised on the completion of a new HS2 station at Euston by 2026. For my constituents, that seemed like a long time. In September 2015, the Government lodged “Additional Provisions 3”, their current plans for Euston. A new station is now to be developed in three phases. Stage A, to the west of the existing station, involves the construction between 2017 and 2026 of six platforms needed for phase 1. Stage B2, the construction in the second phase of further platforms within the existing station but not all of it, is intended to be completed by 2033. The redevelopment of the existing station, stage B2, is unfunded and unplanned, and may begin before or after 2033—half a station in twice the time Another factor—there are more I could add to this litany of devastation in Holborn and St Pancras—is that even in 2033, having endured a construction site for the best part of 20 years, my constituents will not see a complete and integrated station in their constituency. On 1 December 2015, Tim Mould QC, HS2’s counsel, outlined to the Select Committee that a new integrated station at Euston is “not deliverable within appropriate funding constraints” and that this is the assessment of “the government, the Chancellor, the Prime Minister” There is no timetable for Government funding to complete the final phase. As a result of the lack of planning and integration, Crossrail 2, which hopes to have an integrated station, is now planning on the basis that it may have to build part of its station in Somers Town, removing 150 buildings and displacing another 600 people—half a station in twice the time, with twice the damage.
ParlaMint-GB_2016-03-23-commons.u327	I will be extremely brief on the issue of the adjudicator. I listened very carefully to what the hon. and learned Member for Holborn and St Pancras (Keir Starmer) said and I have great sympathy with all the points he makes. This is why I am bound to say that I find it so odd that the Government will not accept the creative idea of having an office of the HS2 adjudicator. The scale of the project makes it desirable to have an independent arbitration authority to resolve the inevitable disputes that will arise over the way in which the scheme is carried out. If I may say so to the Minister, I would have thought it very much in the Government’s interests to accept this idea; otherwise, the burden will inevitably fall on Members of Parliament whose constituencies are affected, and the House’s time will be taken up with constant arguments about how HS2 is not observing its obligations or carrying out the work in accordance with the intention it originally presented This is going to cause massive problems for the Minister and his Department and will probably clog up some of the House’s business time. It is all the more reason to have an independent adjudicator who is approachable exactly like an ombudsman and who can take on some of that burden and do it professionally and in a manner that reassures people and commands respect. I therefore strongly urge the Minister to accept new clause 8. It would be regrettable if the Government did not, because, as I say, an extra burden would fall on their shoulders as a result of the many problems that will inevitably arise during construction of the project.
ParlaMint-GB_2016-03-23-commons.u328	I wish to speak to new clause 22 on the construction of an integrated station at Euston There have been many discussions and consultations between HS2 and Camden Borough Council about Euston, and the new clause draws on the assurances that HS2 gave to Camden. The thrust behind this long and technical new clause reflects the fact that the redevelopment of Euston presents an enormous opportunity to build something of real worth to accommodate not only the station to the west for HS2 phase 1 and all its works but the redevelopment of the mainline station, and to take into account the requirements of phase 1 and, in due course, phase 2, including in anticipation of Crossrail 2 in the fullness of time.
ParlaMint-GB_2016-03-23-commons.u329	The hon. Gentleman is right to talk about the integration between Crossrail and Euston and what might be possible at Euston, but does he agree that it is completely mad that HS2, which will be coming from the north, does not go to St Pancras or even connect with HS1 to enable people to travel to the continent?
ParlaMint-GB_2016-03-23-commons.u330	That point has been raised several times. The intention, as expressed in the documents, is to have a pedestrian connection between them An overarching approach to an integrated station would not only take account of all the anticipated works but achieve the objectives of securing the best possible outcomes for the residents of Camden and minimising the enormous disruption they will undoubtedly suffer. Many properties will be demolished and other properties will be in extremely close proximity to the works; public open spaces will be lost; there will be fleets of heavy goods vehicles and commercial vehicles; and noise pollution will undoubtedly disrupt the peaceable enjoyment of many properties, including in places such as Cobourg Street, which is a tranquil community with a quiet courtyard at its heart, notwithstanding its close proximity to busy traffic and the railway station. Businesses in streets like Drummond Street will also be disturbed We are asking the good people of Camden to put up with a great deal and to make huge sacrifices for the benefit of the nation, and Labour has tried to do all it can, in new clause 22 and in Committee, to mitigate the impact on the quality of life for residents. We acknowledge the sincerity of the Minister and his colleagues in working to that objective, but we take the view that this is so important that the assurances given ought to be in the Bill and have the full force of law We seek to minimise the amount of excavated material and construction materials transported into and around the site by road and to have as much as possible moved by rail. Camden Council has developed a Euston area plan, and we propose that any designs for the enlarged Euston station take full cognisance of that plan and other such framework documents and relevant guidance. The assurances talk of various boards, including the Euston strategic board, the Euston station strategic redevelopment board and the Euston integrated programme board, which bring together a number of prescribed partners. We seek to ensure that the nominated undertaker—the relevant body carrying out the HS2 works—is obliged to participate in those boards, as the assurances given by HS2 so describe.
ParlaMint-GB_2016-03-23-commons.u331	Does the hon. Gentleman agree that if Euston station were holistically designed and developed, it would provide a huge opportunity for regeneration in the Euston area and produce a lot of good quality local affordable housing to replace some of the affordable housing that will be devastated by HS2?
ParlaMint-GB_2016-03-23-commons.u332	I agree entirely with the hon. Gentleman’s intervention. That is the thrust of our new clause, which I trust he will support. It stipulates that the redevelopment board will advise the Secretary of State on the delivery of an “integrated and comprehensive design” for the enlarged Euston station, and it is for the integrated programme board to make sure that the designs and construction plans for Euston fit with proposals for other Euston schemes. Access is a real issue, so while the construction is under way, which it will be for many years, we want to ensure that pedestrians and cyclists have continuous access through the site, east to west and north to south, insofar as it is “reasonably practicable” to do so. A design panel will work to ensure that the relevant partners can agree an appropriate design. Whoever is appointed for these purposes by HS2 will be obliged to work with that panel to ensure full buy-in to the design. Indeed, there will be an obligation on the nominated undertaker to take proper notice of the recommendations made by the design panel, and if for some reason the nominated undertaker does not follow those recommendations, our new clause states that it will be required to explain why that is so. The new clause makes sure that the community is properly engaged throughout the construction works at Euston so that its concerns will be recognised and its voice heard The provision is even more important, given today’s publication of the Parliamentary and Health Service Ombudsman’s report on a complaint about HS2. It effectively concludes that there are fundamental problems with the way HS2 Ltd communicates with the residents affected by their plans and the way it handles complaints The report dealt with specific complaints, but it is worrying that the Chairman of the Public Administration and Constitutional Affairs Committee has said: “There is still a culture of defensive communication and misinformation within this public body and that is not acceptable. Unless those responsible for delivering HS2 understand that first and foremost they serve the public, they will continue to be criticised for having complete disregard for the people, some of them vulnerable, who are impacted by this large-scale infrastructure project.”
ParlaMint-GB_2016-03-23-commons.u333	rose—
ParlaMint-GB_2016-03-23-commons.u334	If my hon. Friend would not mind, I am conscious of my time drifting away The Chairman continued: “We expect HS2 Ltd to prioritise its response to Ian Bynoe’s forthcoming recommendations on communication and engagement and on complaint handling. This is a matter of primary importance for HS2 Ltd, and must be treated as such.” I trust that the Minister will take on board the criticisms of the Committee and make sure that any necessary cultural and other changes are made so that there is no such repetition. I urge him further to consider, even at this late stage, accepting our representations in the context of this new clause The new clause also provides that when the Secretary of State sets out the Government’s periodic railway investment plans, in what we have come to term “control periods”, he or she should set out the costs of and funding for the anticipated works in the planning period before the works start and during the control period in which the works will fall Yes, previous infrastructure projects have had similar assurances woven into them and they have been observed, but this is such a huge infrastructural undertaking, the likes of which has never been done before in such a manner, on such a scale or over such a lengthy period of time. We believe that the people of Camden need to have more than just the assurances that have been given. On this occasion, we believe that we have to take the extra step of working those assurances directly into the Bill. The Minister will not need me to remind him that throughout the Public Bill Committee Labour tabled a number of amendments and new clauses that pressed the Government to justify the inclusion of wide-ranging blanket powers granted to the Secretary of State for the purposes of the construction and operation of HS2. Each time the Minister responded by resisting our attempt to curtail the scope of the Secretary of State’s powers on the basis that the Government was taking a “belt and braces” approach so as to be absolutely sure. I am now therefore asking for the loan of his belt and braces— not to protect my dignity, but to protect the people of Camden I do not intend to impugn the sincerity of HS2 Ltd or of the Minister, and he knows that. In the light of the comments from the Public Administration and Constitutional Affairs Committee and the special set of circumstances that apply, we firmly believe that these provisions need to be enshrined in statute. I shall test the will of the House on new clause 22 by putting it to the vote
ParlaMint-GB_2016-03-23-commons.u335	I have tabled some fresh amendments that are designed to help colleagues whose constituencies are along the line of route. In particular I shall highlight the important issue of the adjudicator, and I shall support my right hon. Friend the Member for Chesham and Amersham (Mrs Gillan) on new clause 7. I want to impress on the Government that when I was Secretary of State for Environment, Food and Rural Affairs and published the “Natural Environment” White Paper, it was made clear that the objective was for a net positive outcome from offsetting. That is more ambitious than no net loss, and it can be achieved by, for example, combining offsets and regenerating degraded land such as the Tame river valley on the east of Birmingham, where the spur to Birmingham station will be built.
ParlaMint-GB_2016-03-23-commons.u336	New clauses 34 and 35, which I tabled, relate to construction at Canterbury Works and Alexandra Place in my constituency. I shall say something about the environmental impacts, but before that I want to make a point about the poor communication on the part of HS2, which has also been mentioned by Conservative Members Last October, along with volunteers, I delivered letters to constituents living near Canterbury Works. It was the first time that many of them had even heard of the plans, which is simply not good enough. Many of the people who live near Canterbury Works and the Alexandra and Ainsworth estate speak English as a second language, and HS2’s poor communication meant that they had no idea of what was coming along the tracks towards them as a result of this devastating scheme. My new clauses would change that situation, and give some information and assurances to the people whose lives will be blighted by the scheme At Canterbury Works, which is in the Brent area of my constituency, a vent shaft will be built in a very deprived area next to a school playground. Parents of pupils at the school have told me repeatedly how detrimental the construction will be to their children’s education, health and welfare. Arancha, a constituent and the parent of a pupil at the school, raised specific concerns about air pollution. She said: “Children will be directly affected by the impact of noise levels from construction, causing disruption to their learning experience, in particular for the percentage of pupils with Special Educational Needs” Her concerns do not stand in isolation; they exist in a socioeconomic context that demands that south Kilburn be given a better deal than the upheaval being imposed by HS2. The areas surrounding the proposed vent shaft in Brent are in the top 1% in the country for income deprivation affecting children. Let me turn to the other borough in my constituency, Camden. At Alexandra Place, another vent shaft will be built adjacent to crowded businesses and residential properties, and 100 vehicles a day will be emitting dangerous fumes within the confines of narrow roads that are surrounded on all sides by apartment buildings. Residents of a care home and the children living in the apartments on Alexandra Place will face increased risks to their health for many years. An article in The Sunday Times in October said that pollution in London was stunting the growth of children’s lungs, so when the Select Committee report states that “together” the two sites that I have named are “the most sensitive” locations for vent shafts in an urban area, its words should be taken seriously I know that there is not much time, so I shall finish by saying that I do not object to transport schemes or infrastructure projects without giving them the utmost consideration. However, I am proud to call my constituency of Hampstead and Kilburn home, because it is where I grew up, and the welfare of my constituents comes first. This scheme will blight their lives. It will affect the most vulnerable, and the years of construction will cause confusion and upheaval to people already living in deprived communities. This is my reason for speaking out against a scheme that will affect the most vulnerable in Hampstead and Kilburn.
ParlaMint-GB_2016-03-23-commons.u337	I should like to add my support to the amendments relating to the office of the adjudicator, which have been debated so well this afternoon. It is critical for my constituents to have someone who can intervene between them and HS2, and the cross-party, high-level legal support for those amendments should be noted by the Secretary of State and the House The amendments tabled in my name are specific and I shall deal with them briefly. New clause 23 relates to Mixbury. The estimated frequency of the trains means that the noise will be almost continuous in that unspoiled village, which has as many stables as houses. HS2 has failed to engage with the community in Mixbury—this is a good example of failure to engage—on the question of adequate noise mitigation. The community is so concerned that the villagers are considering fundraising to install noise barriers themselves. I would like the House to take note of that New clause 24 relates to Wardington, which, like so many areas in my constituency, has an existing traffic problem. HS2 construction traffic will turn that problem into a vision of hell. The Select Committee agreed that the village would struggle to cope. We have made sensible suggestions, including the movement of spoil by conveyor over the A43 and up the haul road. The new clause asks the Secretary of State to commission a review of the problem New clause 25 relates to bridleways. My constituency has been repeatedly dissected over the centuries, including by the Oxford-Birmingham canal and, 29 years ago, by the building of the M40. Both brought great benefits to our area, but our bridleways have suffered. I am determined that they should not suffer again, particularly in pursuit of a scheme that brings no benefit to my constituents.
ParlaMint-GB_2016-03-23-commons.u338	Given the lack of time, I shall speak only to amendment 16, tabled in my name, which seeks to give statutory protection to Wormwood Scrubs common. I should really say “more statutory protection” because, as metropolitan open land and strategic defence land, it is already protected by an Act of Parliament. More importantly, it hosts an extraordinary range of sports and pastimes. Thousands of disabled children ride at the pony centre every year. An organisation called the Friends of Wormwood Scrubs is seeking to protect its 200 acres of semi-wilderness, which form a substantial proportion of my constituency—an area in which open spaces are at a premium However, in the time since HS2 was proposed, we have been asked to put a viaduct across it, and we have been told that it could be turned into formal gardens and that it could be amenity space for the luxury flats being built around the HS2 route. We are now being told that it will be a transit way for hundreds of thousands of people to walk across, which would essentially destroy this London landmark forever Although I clearly will not today get the protection that I am seeking, I thank the Select Committee for recognising my representations and acknowledging that they were my only representations. I say to the Government and to HS2 Ltd that it will be a crime if this open space is despoiled over the course of the development I wanted to make some more general comments as I think my constituency will see more development than any other. I will not say that I am as adversely affected as other hon. and right hon. Members, and some of the development is of course welcome, but if I am able to catch your eye on Third Reading, Madam Deputy Speaker, I can perhaps make some of those points then. I entirely support what my hon. and learned Friend the Member for Holborn and St Pancras (Keir Starmer) and my hon. Friends the Members for Hampstead and Kilburn (Tulip Siddiq) and for Ealing Central and Acton (Dr Huq) said about the effect on their residents and businesses. As they used to be my constituents, I mention the residents of Wells House Road, Midland Terrace and Stephenson Street, whose homes will be blighted for many years to come and will be entirely surrounded by HS2 works I could have tabled something similar to new clause 22 asking for the Old Oak Common development to be regulated, but that should not be necessary because the London Sustainable Development Commission is there to deal with such matters. At the moment, however, it is not working. I hope that it will work under a new Mayor, because we currently have unregulated development on the site and a huge opportunity cost, which is not allowing for proper exploitation of and investment in that land.
ParlaMint-GB_2016-03-23-commons.u339	The new clauses and amendments principally concern environmental issues, which the Government take very seriously. The Bill and the environmental minimum requirements establish robust environmental controls that have proved to be an effective mechanism on other projects, such as Crossrail and the channel tunnel rail link. In addition, many of the new clauses and amendments relate to issues on which we have already provided assurances through the Select Committee process. Some comments were made during the debate, not least from the Opposition Front-Bench team, about those assurances not being worth the paper on which they were written, but they are commitments made to Parliament by the Secretary of State and are enforced by Parliament. The process worked well for Crossrail and the channel tunnel rail link, so we do not need a belt when have more than adequate braces—or “gallusses” as we call them in my part of the world. The Select Committee process led to nearly 400 alterations to the scheme and provided some 1,600 assurances and undertakings to those affected by HS2 I specifically want to touch on new clause 22, relating to the development of an integrated station at Euston, and I was pleased that the hon. and learned Member for Holborn and St Pancras (Keir Starmer) managed to catch your eye, Madam Deputy Speaker. We share an ambition for the integrated redevelopment of Euston station and assurances have been provided to the London Borough of Camden. Indeed, I recently met the leader of the council to discuss such matters. Work is already under way regarding the commitments given in the assurances to Camden, Transport for London and the Greater London Authority on the overall integration of works at Euston and the co-ordination with Crossrail 2. I can also confirm that funding is available to progress initial feasibility work for the preparation of an outline masterplan for Euston station, which includes the classic, Network Rail element of the station.
ParlaMint-GB_2016-03-23-commons.u340	Will the Minister inform the House how many conventional platforms will have to be sacrificed at Euston to accommodate HS2?
ParlaMint-GB_2016-03-23-commons.u341	We have made it quite clear that phasing the development of the high-speed platforms at Euston will give us the opportunity to carry out some of that work, and we have changed the phasing to make it possible to operate other services into Euston. Indeed, we estimate that around a third of HS2 passengers will alight at Old Oak Common and use the Elizabeth line to access central London or Heathrow. While I recognise the desire to highlight the importance of such issues through new clause 22, legislation is unnecessary for Euston when progress has been and is being made Transparency was mentioned by several hon. Members, including my hon. Friend the Member for Banbury (Victoria Prentis), and we have appointed a residents commissioner to hold HS2 Ltd to account for how it communicates with residents and have committed to appoint a construction commissioner to deal with complaints that cannot be addressed by HS2 Ltd and its contractors. I hope that also reassures my right hon. and learned Friend the Member for Beaconsfield (Mr Grieve) On the Chilterns area of outstanding natural beauty review group, we have already committed to establish a Chilterns AONB group.
ParlaMint-GB_2016-03-23-commons.u342	Will the Minister give way?
ParlaMint-GB_2016-03-23-commons.u343	I must make progress because we have only a minute left. On residential demolitions, we have committed to, and are progressing with Camden Council on, the replacement of all lost social housing in Euston as a result of HS2. On the prohibition of vehicles, an issue raised by my right hon. Friend the Member for Meriden (Mrs Spelman) and my hon. Friend the Member for Banbury, the Bill already requires local authorities to approve local routes, so the amendment on that is unnecessary Many of the proposed new clauses and amendments would duplicate existing obligations already made to Parliament, and I do not believe it necessary to include them in the Bill. I therefore urge hon. Members to reject the proposed new clauses, new schedules and amendments.
ParlaMint-GB_2016-03-23-commons.u344	In the light of the unsatisfactory reply from the Minister and the fact that he has relied again on saying that his appointees are adequate for the scrutiny of this project, I will have no other choice than to push new clause 8, which deals with the office of the HS2 adjudicator, to a vote. As for new clause 6, I beg to ask leave to withdraw the clause Clause, by leave, withdrawn.
ParlaMint-GB_2016-03-23-commons.u345	I inform the House that the amendments on the Order Paper have not been selected.
ParlaMint-GB_2016-03-23-commons.u346	I beg to move, That the Bill be now read the Third time Our railways and roads power our economy. It is almost two centuries since this House gave its backing to the pioneering railway from London to Birmingham—a line that changed our country, and on which many of our great cities still rely today. Of course, we could leave it as it is for another two centuries—congested and unreliable—and suffer the consequences in lost growth, lost jobs and lost opportunities, particularly in the midlands and the north. However, the House has already shown that it can do much better than that, by backing a new high-speed route, alongside other transport investments in road and rail access across the country In 2013, Parliament passed the High Speed Rail (Preparation) Act 2013, paving the way for HS2. That was backed by welcome support and co-operation from all parts of the House, for which I thank all parties. We have made outstanding progress since then. British contractors are bidding to build the line. British apprentices are waiting to work on it. British cities are waiting to benefit from it. That is why today’s vote is so important.
ParlaMint-GB_2016-03-23-commons.u347	Will the Secretary of State give way?
ParlaMint-GB_2016-03-23-commons.u348	If the hon. Gentleman will forgive me, a lot of people have been here all afternoon. We have a fairly short period for Third Reading, and I want to give other people the opportunity to speak On what will be a Great British railway, phase 1 will be the bedrock of the new network. Phase 2a will take it to Crewe. Phase 2b will take it onwards to Manchester and Leeds Our trains are more than twice as busy as they were 20 years ago, and growth will continue. HS2 will help us to cope. It will work, it will be quick, it will be reliable, it will be safe and it will be clean. When it is finished, we will wonder why we took so long in getting around to building it Many hon. Members will want to speak, so I will keep my remaining remarks short. I will touch on the detail of the Bill. I will also set out the work that has been done on the environment; then I want to describe what will come next, including what we are doing to build skills and manage costs First, the Bill authorises the first stage of HS2, from London to Birmingham. The Bill has undergone more than two years of intense parliamentary scrutiny since 2013. Even before the phase 1 Bill was introduced, the principles of HS2 were extensively debated on the Floor of the House. In April 2014, we had the Second Reading of the phase 1 Bill There was then a special Select Committee. I thank all members of the Committee, particularly my hon. Friend the Member for Poole (Mr Syms), who chaired it so ably. I also pay special tribute to my hon. Friends the Members for North West Norfolk (Sir Henry Bellingham) and for Worthing West (Sir Peter Bottomley), who, along with my hon. Friend the Member for Poole, sat on it for the whole Committee stage The Committee heard over 1,500 petitions during 160 sittings. It sat for over 700 hours, and over 15,000 pieces of evidence were provided to it. It published its second special report on 22 February this year. The Government published their response, accepting the Committee’s recommendations Many of the changes made to the scheme in the Select Committee related to the environmental impacts. Building any road or rail link has impacts, but we will build this link carefully, and we will build it right. For example, HS2 Ltd has today started to procure up to 7 million trees to plant alongside the line to help it blend in with the landscape. The changes made in Select Committee will mean less land-take, more noise barriers and longer tunnels.
ParlaMint-GB_2016-03-23-commons.u349	I totally understand the economic reasons for this project, but may I just put in a bid for nature and for ancient woodland to be given the reverence it deserves? Much of it is already going to be undermined and threatened, so will the Secretary of State please ensure that this irreplaceable habitat is given all the reverence it deserves?
