ParlaMint-GB_2016-10-18-commons.u1	1. What recent assessment he has made of the political and security situation in Kashmir.
ParlaMint-GB_2016-10-18-commons.u391	On the need for transparency in appointments, what is my hon. Friend’s view of the appointment of James Purnell as head of radio? That has happened at a time when the BBC is bringing in diversity quotas across all its employment, and yet Mr Purnell got that job with no competition whatsoever. Anyone would think that the job had been made for him.
ParlaMint-GB_2016-10-18-commons.u392	It is a new post and it was literally made for him. It was not advertised widely for other people to apply for it. My right hon. Friend the Member for Maldon said in his speech—I said this in an intervention as well—that, regardless of people’s views of the capabilities of James Purnell, or concerns that people may have about his past political involvement, the key thing is the process that was run to appoint one of the most senior directors at the BBC. Why was there no competition within—or, indeed, outside—the BBC involving people who may have had the requisite skills to apply for the job? If we are going to be critical of the way in which Rona Fairhead was appointed as interim chair of the BBC—as I have said, that should have been a clear and transparent process—that should also apply to other senior executives, including those on the BBC board. That certainly applies in the case of James Purnell; I agree with my hon. Friend the Member for North West Leicestershire (Andrew Bridgen).
ParlaMint-GB_2016-10-18-commons.u393	Does the hon. Gentleman agree that the transparency applied to those on top salaries should also be applied to those who are on contracts that enable them to avoid tax either by paying only corporation tax on money that is paid directly to them, or by participating in tax avoidance schemes, which the BBC now uses for hundreds of its well-paid employees?
ParlaMint-GB_2016-10-18-commons.u394	I completely understand the point that the hon. Gentleman is making. People must certainly pay the taxes that are due on the income that they receive, wherever it comes from. That applies to BBC executives as much as to anyone else. I note what the Secretary of State said in her intervention a few moments ago, and I believe that this is something that we must keep under close review. If BBC Talent is trying to use a loophole by channelling more of its income through independent production companies to avoid having to declare it—our concern, through the work of the National Audit Office, is that there has been an acceleration in that process and that people are trying to get around the rule in the new charter that those who earn more than £150,000 should declare what they earn—we should look again at the matter in the mid-point review I want to touch on the comments about the Scottish Six made by my friend on the Culture, Media and Sport Committee, the hon. Member for East Dunbartonshire (John Nicolson). As I was the acting Chair of the Committee and a member of the Committee when we discussed the matter, I was able to give my view on the significance of the Scottish Six. We felt—I certainly felt this, and I hope the hon. Gentleman agrees—that we were calling for the BBC in Scotland to be given editorial independence over the six o’clock news, so that it could reflect the fact that devolution made certain news items less relevant to the Scottish audience than to the rest of the UK audience. We envisaged that the BBC in Scotland would have the editorial independence to make those decisions and the freedom to change the running order of the programme if it chose to do so. The Scottish Six would still be a national news programme, but it would be broadcast from Scotland, it would be produced and edited in Scotland and it would have a Scottish perspective on the national news. We considered the fact that the BBC was comfortable to make that decision with radio, so why should it not consider doing so for television That is, of course, an editorial decision for the BBC to make, but one of the things that the Committee hoped to do with this recommendation in the report was to give the BBC a shove and say, “You have been looking at this for quite a long time, you have tried various different formats and you have tried to make a decision. Here is our view, but it remains something for you to do.” I agree with the comments made a few weeks ago by the Secretary of State. I think I am right in interpreting her as saying that, as others have discussed, the Government should not dictate to the BBC what it should do about this; it is a decision for the BBC to make Finally, I want to touch on the BBC iPlayer, which has been mentioned. It is important that we remove the loophole whereby people can get out of paying the licence fee by watching programmes—both catch-up and live—on the BBC iPlayer. This also takes us into important new territory that the BBC should explore. By far the most practical way to police such an arrangement would be to give each licence fee payer a PIN that they could put into a portable device to access the iPlayer, to prove that they had paid the licence fee. That is common in other digital services that people use all the time, and it would be the simplest and most logical way to proceed. It would certainly be a lot easier than having digital enforcement cameras—a modern-day version of the TV detector van—going around, trying to work out whether people were viewing the BBC online One of the reactions of people in the BBC to such a suggestion is that they do not like the idea of licence fee payers becoming subscribers, or of the BBC becoming a subscription service. I do not think that that would be the case at all. That suggestion is simply an acknowledgement of the fact that new technology allows people to access BBC services in a different way. Those services are still free to access and use for people who pay the licence fee. We would simply be using new technology to make them more readily available I believe that a sensible step forward would be to have complementary subscription services that gave people deeper access to the back catalogue and enabled them to stream other programmes that might not be available for broadcast. That would allow the BBC to grow its revenues from its back catalogue and to be innovative in its programme making. It would in no way represent a shift away from the licence fee-funded BBC; it would simply be a recognition of the fact that new technology, platforms and tools will allow the BBC to innovate in ways that simply were not possible in the past. Over this charter renewal process, I would like to see the BBC taking further steps in that direction.
ParlaMint-GB_2016-10-18-commons.u395	The renewal of the BBC charter is taking place at a seminal moment for the BBC and for the broadcasting industry in general. The dominant position of our public service broadcasters is being challenged by Netflix, Amazon Prime, and cable and satellite TV stations more broadly. As I said in the debate on diversity in the BBC, it is worrying that there has been a trend among ethnic minorities in this country and certainly among first-generation immigrants to return to broadcasters in their original languages and to turn away from the BBC Clearly, the BBC is in a unique position both as a national broadcaster and as one of our most cherished institutions, right at the heart of our social fabric and our shared national conversation. At a time in our country when, very sadly, there has been a rise in hate crime and there is a deep concern on both sides of the House and across all political parties about a divided Britain, it is very important that the BBC understands its responsibility—this cuts to the heart of its distinctiveness—to be at the centre of such a shared conversation and of the manner in which we can see reflections of ourselves. Even though I am very clearly on one side of the Brexit debate, I must say that I absolutely want to see reflections in the BBC of people in this country with an older age profile, those from working-class backgrounds or those who live in our seaside towns, as much as I want to see reflections of so many of my constituents, who speak over 200 languages.
ParlaMint-GB_2016-10-18-commons.u396	I entirely endorse what the right hon. Gentleman has said. Does he agree that the BBC did a very good job during the referendum campaign in holding a fair balance of both sides of the argument? Irrespective of the fact that he is on one side and I am on the other, does he share my slight concern that the BBC has not held that balance quite so well since the referendum came and went?
ParlaMint-GB_2016-10-18-commons.u397	I will not be tempted into talking about the BBC’s coverage during that debate, but given the salaries paid to senior executives and talent, and much has been said about that today, the BBC’s real understanding of the true fabric of this country beyond west and north London, where so many of the executives seem to live—I say this as a representative of a north London constituency—and the way in which it portrays things that are often quite difficult and reaches into places that are quite at odds with each other are genuinely important. The BBC does that not just in its news coverage, but in the sorts of documentaries and dramas it commissions and in the sorts of faces that become those that so many British people from different backgrounds allow into their front rooms during the day We debated diversity in the BBC for the first time on the Floor of the House back in April, and I welcome the new public purpose in the draft royal charter, published last month, which unambiguously commits the BBC to “reflect, represent and serve the diverse communities of all of the United Kingdom’s nations and regions” I am quite sure that, right across the House, we are celebrating that move. May I congratulate the right hon. Member for Wantage (Mr Vaizey) on his work on diversity during his time as the Minister for Culture and the Digital Economy? I really enjoyed being a Culture Minister in a previous Government, and it was my belief that there would never be a Minister as good as me, but it turns out that there was The draft BBC framework agreement states that the “BBC must make arrangements for promoting…equality of opportunity”, irrespective of gender, disability, race or sexual orientation. Crucially, the draft agreement also sets out that the BBC must publish an annual report on the effectiveness of its policies for promoting equality of opportunity. This is a really important point. In the 16 years since the BBC published its first diversity strategy, it has not published any evaluation of the effectiveness of its efforts. If we are to see real progress, we must first know what works and what does not work. Members who spoke in the debate in April will be well aware that since 1999 we have had 30 BBC initiatives and strategies aimed at improving the representation of black, Asian and ethnic minority communities, but between 2011 and 2015 the proportion of the BBC’s workforce that was from a black, Asian or ethnic minority background has increased by only 0.9 % to 13.1%, and only 7.1 % of the BBC’s senior leadership in TV are black, Asian or minority ethnic It worries me that the BBC is one of the organisations in which we routinely hear language such as, “This person or that person is going to be the next director-general,” “This person or that person will one day be head of drama,” or “This person or that person is at Sky or Channel 4 and we expect them to come across in a few years’ time.” Given the profile of those people, I am likely to bump into them if I happen to go down Muswell Hill Broadway on Saturday afternoon. That is not good enough. We should not have that expectation. We should reach far beyond that. It is just a bit too cosy and we do not want that kind of cosy friends relationship—despite the nice things I said about James Purnell, who is a friend of mine—in at our national broadcaster.
ParlaMint-GB_2016-10-18-commons.u398	Does the right hon. Gentleman recognise that one of the problems in encouraging more people to enter the BBC is that often work experience positions are advertised with no pay, or not advertised at all? People have to be fairly well off to go to work at the BBC for a couple of months without earning a penny piece.
ParlaMint-GB_2016-10-18-commons.u399	It is clearly not possible for a young person, or even a slightly older person, who is not situated in London or does not have parents who can put them up and see them through, to take up those opportunities. It will exclude swathes of people, and the standard has to be higher In the previous debate, there was much reflection on other broadcasters, and some people asked me, “Why are you picking on the BBC?” Let me be clear: I will always consider myself a tremendous friend of the BBC. In my own television viewing and radio listening habits, I constantly switch on the BBC and I am really pleased with so much of its output. But because it is the national broadcaster, it has a higher standard. I pay tribute to my good friend Baroness King, who is leaving the UK to go to the United States but who has done a great job as head of diversity at Channel 4. She has led the way, and Channel 4 is being bold on targets, taking a 360° approach and setting clear guidelines for its independent producers. It is leading the debate consistently, bringing people such as Idris Elba into this place to lead the public conversation. My challenge to the BBC is to say, “We expect you to occupy the same territory and to go further.” It should not be about this House leading the BBC in that direction: the BBC should, to some extent, lead us in the future. We expect a higher standard, and the public purpose should ensure that reflecting and representing the diversity of the UK is embedded into the BBC.
ParlaMint-GB_2016-10-18-commons.u400	In any large organisation, including this place, people are always being identified by their peers, with people saying, “That fellow or that lady is going to go to the top.” It seems a bit rich to say that the BBC should not do that when all organisations have that sort of culture. I do not think it means to have it.
ParlaMint-GB_2016-10-18-commons.u401	The hon. Gentleman is of course right, but more often than not, when we rely on those statements and they come to pass, we miss out on seeing and looking at people who do not fit the mould, most often—I say this with great respect—of the white, upper-middle-class men who have occupied that role in the past. It might have been said about the leadership of the hon. Gentleman’s party in the mid-1970s that “So-and-so is going to take that role,” and Margaret Thatcher did not fit the bill. Of course we get people occasionally breaking through, but I am saying that, really, our national broadcaster has to do a lot more. When we look at the top leadership team over consecutive years and decades, progress in this regard really has been quite slow The crucial point is that we need to see progress in terms of the BBC’s latest diversity strategy, which was announced in April and runs to 2020. Off-screen employment is just as important as on-screen employment, as the hon. Member for Maidstone and The Weald (Mrs Grant) suggested in her excellent contribution, so a pledge to have a workforce at least as diverse as any other industry is welcome. The make-up of senior management and leadership positions is arguably more important than who is being hired as apprentices or runners, so targets of 50% women, 15% ethnic minorities, 8% people with a disability and 15% LGBT individuals in leadership roles is an ambitious goal, but it represents a huge step forward It is important that diversity requirements are embedded into contracts with suppliers and independent production companies commissioned to produce content. Yesterday, the BBC unveiled new commissioning guidelines that make it compulsory for independent production companies to “consider” diversity and state that there will be “a conversation” about diversity plans ahead of all commissioning decisions. One has to ask, what does that actually mean in practice? The new guidelines use the word “consider” 12 times, but do not set out any specific minimum requirements except to have a diversity and inclusion policy in place. In fact, the guidelines only use the word “must” once: people “must” tell the BBC if they cannot work with these guidelines. The BBC has committed to opening up its budgets to independent production companies by removing all existing in-house guarantees except for news and news-related current affairs. By the end of the current charter period, 100% of drama, comedy, entertainment and factual hours will up for grabs, and in 2019 competition will also be introduced into children’s, sport and non-news current affairs programmes. In this new “era of the indies” this will become increasingly important. If the BBC is serious about reaching the ambitious targets it has set for itself, it needs to be clear about what is expected of independent production companies. I have to say that guidelines requiring only “consideration” or “a conversation” about diversity appears weak In contrast, Channel 4’s commissioning diversity guidelines state that at least one of the lead characters must be from an ethnic minority background, or have a disability, or be LGBT, that at least 15% of the production team must be from an ethnic minority or have a disability and that at least one of the senior directors, editors or producers must be from an ethnic minority or have a disability. That is much bolder. I was watching Channel 4’s “National Treasure” last week—a wonderful four-part drama touching on the terrible issue of sexual abuse in our society. Julie Walters was wonderful, as were her grandchildren. It struck me as I watched the programme with my wife, having put our own mixed-race children to bed, that the two lead white characters were well-known actors, but their grandchildren were mixed race. I thought, “Great! They have done it.” They had reflected gently what was needed—this episode was not central to the storyline—and there it was: a reflection of my family and my children that is rarely seen on television. That is how it can be done, which is why I am surprised that considering or thinking about a conversation is all we have had in the BBC context There has obviously been a debate raging for some time; it has been led by Sir Lenny Henry, to whom I pay tribute. We have seen a 400% increase in the number of programmes produced in the English regions and outside the M25 since 2003, which must be a good thing. We celebrate that fact that television is being made in parts of our country where it was not previously made. It brings us back to the business of embedding and hard-wiring diversity as a consequence of the decision. We do not want to lose out because of the attempt to make TV in Wales, Scotland and beyond. I recently met the BBC director of content, Charlotte Moore, and I gained a real sense of her commitment to the issue, which was one I really wanted to raise Let me raise again a point that others have made about the now very important position of Ofcom for the BBC. Ofcom’s chief executive, Sharon White, recently warned that the BBC is falling short on stories that reflect all the nations of the UK and their communities. Last year, Ofcom’s review of public service broadcasting found that over half of BAME viewers felt that they were under-represented in public service broadcasting. Ofcom is well aware of the issues, and it is now up to the new regulator to hold the BBC to account if it falls short on its promises. I hope that the Minister will be able to update us in his later remarks on how the Government plan to ensure that the provisions of the charter and agreement are acted on. It seems clear to me that the BBC must be required to publish full data on all elements of its diversity and equal opportunities policy and that Ofcom must analyse and evaluate the data to come to a judgment on progress made each year Another important point is whether the BBC’s targets, which are, after all, only an aspiration, should be combined with a minimum standard or benchmark. I hope that the Minister will confirm today that the Government will call on Ofcom to set the minimum standards for BBC diversity, in terms of both on-screen portrayal and off-screen employment We have made real progress on making this issue central in the charter, and I congratulate the Government on achieving that. Now is an important moment for our country, emphasised greatly by the social division that exists in Britain at this point in our history. We do not want to see ethnic minorities turning to first-language stations abroad. We need that national conversation, which must be complex and rich. Difficult though it sometimes is to achieve, a lot of people are paid quite a lot of money to get this right. Now is a time when we must get it right, so that I am not here in five years’ time having the same debate about ring-fencing, targeting and the BBC taking diversity seriously.
ParlaMint-GB_2016-10-18-commons.u402	I am grateful for the chance to speak in this important debate, and I greatly welcome the publication of the draft charter. It is worth recalling that at various points during the run-up to the charter there was some debate about whether we would have to extend it in order to give us time to cover all the bases, as it were. It is great testament to the previous Secretary of State, my right hon. Friend the Member for Maldon (Mr Whittingdale), whom I see in his place on the Back Benches, that since the election in May 2015 to today we have a draft charter before us. It is also great testament to him that, as we can see, he does not have two horns on his head and is not carrying a pitchfork. He is not here to consign the BBC to the depths of hell, nor did he intend to do so when he was Secretary of State I have absolutely no time for those who think that my right hon. Friend the Member for Maldon came to office with an agenda to bury the BBC, and that he was somehow seen off by the might of 38 Degrees and the effectiveness of Labour Front Benchers. Nothing could be further from the truth. In fact, my right hon. Friend is a great supporter of the BBC. He merely made the deeply obvious points that we were going through a charter review, and that the whole point of a charter review was to examine what the BBC does and whether it could be helped to do things better I used to joke that we could complete the charter review within 24 hours, but it took us slightly longer. However, as Members now know, the review does not shake the BBC to its core foundations, but makes some very welcome and long overdue changes. One of the biggest issues that we had to consider was whether the licence fee was sustainable, which was a perfectly rational issue to consider. I think it became pretty clear that the licence fee, like democracy, was the “least worst” of the options before us. Nevertheless, my right hon. Friend has given the BBC an opportunity to trial subscription services, and he was right to do so, because—as has already been mentioned—the BBC will face extraordinary competition, not from its terrestrial broadcast rivals but from the likes of Netflix, Amazon, Facebook, Apple and Google. It is appropriate that, in a digital age, the BBC should start to consider how best to raise its income, and, indeed, how best to distribute its content Not many Members have mentioned radio. We forget too easily, when we talk about the Poldarks or Ed Balls on “Strictly”, that a major part of the BBC’s output is on the radio. BBC local radio is extremely important, particularly to us in the House. All those people who huff and puff and say “I wouldn’t pay my licence fee for this kind of nonsense” are only too happy to wake up to the “Today” programme and go to bed with the Radio 4 midnight news. The BBC does an outstanding job in radio, and it is important for it to continue to do so Let me say something about the subject of James Purnell. I do not have a problem with his being an old leftie; what I have a problem with is the fact that he does not seem to believe in digital radio. I am a passionate supporter of digital radio, but James thinks that everything must go on to the internet. My right-wing friends should really want him to be made director-general, because he would probably put the entire BBC online within 24 hours of being appointed. If James is watching the debate—online—I urge him to back digital radio, because I think that it will be the medium through which we listen to radio. It is at a tipping point, and we need the BBC as a very senior partner in it Let me also say, as part of the whole conspiracy theory debate, that I welcome my right hon. Friend’s decision to provide for a mid-term review of the charter. As I have said, given the current rapid technological changes, it will be very useful to see whether a subsequent Government can make changes that will help the BBC I want to touch on four key aspects of the whole charter debate. First, there is the issue of Ofcom regulation. That was part of the reason for my quip about how we could complete the charter review in 24 hours. It seemed to me that the biggest fundamental change on which everyone was agreed was the replacement of the BBC Trust by Ofcom regulation, because the trust clearly did not work I have particular praise for the Minister for Digital and Culture and, in her absence, my right hon. Friend the Secretary of State—and, indeed, the Prime Minister—because I think they were right to decide, when they came to office, that the chairman of the new BBC Board should be appointed through an open process. If I may echo the words of the hon. Member for Garston and Halewood (Maria Eagle), that is not a criticism of Rona Fairhead, but I think it was quite wrong that there was not an open process for the appointment of the chairman of an entirely new body, and I am pleased that there is to be such a process now. It is obvious that the BBC Board is completely independent. It always was independent even under the proposals made by my right hon. Friend the Member for Maldon before the change of Government, but it is clearly even more independent now, for the benefit of the conspiracy theorists who think we are trying to take over the BBC I urge the Government to be as flexible as possible on the detail of how Ofcom goes about the task of regulating the BBC. I have no doubt at all that the chief executive of Ofcom, Sharon White, will do a superb job. Those of us who strongly believe in press freedom should watch out for a Trojan horse, however: if Ofcom is required to regulate the BBC, we will need to look carefully at how it regulates the BBC’s web content and print-like content. I do not want to see press regulation come in by the backdoor through Ofcom regulating what the BBC does online; I want Ofcom to regulate the BBC’s broadcast content—television and radio To my intense pleasure, a great deal of this debate has focused on diversity. I thank the right hon. Member for Tottenham (Mr Lammy) for his very kind words about what I have done and return the favour, as I would to my hon. Friend the Member for Maidstone and The Weald (Mrs Grant) if she were in the Chamber, about the work they have done on diversity, along with many others. As my right hon. Friend the Member for Maldon will confirm, not a meeting on the BBC went by without my banging on about diversity, and I am very pleased that it is one of the six purposes and that it is very prominent. I praise all the other campaigners outside on the work they have done, in particular Simon Albury from the Campaign for Broadcasting Equality We have made progress. I was talking to the playwright and theatre director Kwame Kwei-Armah when he came over a few weeks ago. A play he has produced, “One Night in Miami”, is now on in London. He said that, coming back after spending five years in Baltimore, he does see a change, but that is anecdotal and we must keep the pressure on to ensure we see greater diversity. We are not talking simply about black and minority ethnic diversity or gender equality; it is also very important to emphasise the greater diversity we need to see in the representation of people with disabilities, who are too often forgotten in this very important debate. We must make real progress on that We have reached a tipping-point, and the backlash has begun. We now see extraordinary newspaper headlines suggesting, for example, that the BBC is anti-white because it wants to promote diversity. Nothing could be further from the truth Even if there was not a moral case for diversity and equality, there should be an economic case for every broadcaster. As the right hon. Member for Tottenham indicated, broadcasters are losing audiences, catastrophically among the younger generation—those aged between 18 and 24, who are moving online. Those audiences will move to where the content appeals most to them. If they do not see people who look like themselves on the screen, or do not hear stories written and produced by people like themselves, they will turn off in their droves and go online to where that content exists. So there is an economic necessity, and we can make progress The right hon. Gentleman praised Channel 4. Considering the tone of so many of the debates we have about broadcasting, there is a great irony in the fact that it was actually Sky that was the pioneer. That great man Stuart Murphy—who has since left Sky, not under a cloud, I hasten to add, but because he wanted to write a novel—simply said, “These are the targets; we’re going to meet them,” and just got on with it. I am pleased to see the progress we have made on diversity but, as many Members have emphasised, the proof of the pudding will be in the eating I have given my right hon. Friend the Member for Maldon notice that I am going to give the competitive content fund a good kicking. I hope the new Minister will stamp his authority on the process of the charter review by ditching the fund. As my right hon. Friend the Member for Maldon knows, I argued strongly against it behind closed doors and now, liberated on to the Back Benches, I can make my opposition to it public. It seemed to me neither fish nor fowl; it is too small to take on the BBC. It is perfectly valid to argue that having one public service gatekeeper is too few and we need two, but if that is the case we should take £500 million from the BBC—although I do not want to give the Minister any ideas—because £20 million is not enough; it is merely an irritant The competitive content fund would also in effect create what the critics of the BBC would see as a new bureaucracy producing content that nobody wanted to see. People have mentioned the importance of having diverse content and children’s content, and I want to see the BBC and all our public service broadcasters making that kind of content. I do not want to listen to a BBC executive in two or three years’ time saying that that is the job of the competitive content fund. I want that content to be on our main screens. We must not allow the fund to let broadcasters off the hook. I am a practical man, however, and if the Minister for Digital and Culture is intent on pursuing the competitive content fund I suggest he give it to the British Film Institute, which at least has experience in awarding public money for making brilliant British films and has a strong commitment to diversity I also want to comment on the movement of responsibility for the free licence fee for the over-75s to the BBC. The BBC has been raided on a number of occasions, and the arguments for those raids have varied in their strength. The raid by the last Labour Government to pay for the digital television switchover was potentially justified, because it was argued that the BBC should help to meet the cost of an infrastructure change that would benefit it.
ParlaMint-GB_2016-10-18-commons.u403	One of the more worrying raids, or trades, involving the BBC taking on funding in return for having the licence fee involved the decision that it should no longer receive direct Government funding for that prized open-source intelligence asset, BBC Monitoring at Caversham. May I appeal, through my right hon. Friend, to the Secretary of State in her absence that no decision is taken to implement the current recommendation to close Caversham Park and radically reduce the funding for BBC Monitoring until the Foreign Affairs and Defence Committees have taken the opportunity to visit Caversham Park, which we have been invited to do by the Under-Secretary of State for Culture, Media and Sport, my hon. Friend the Member for Reading East (Mr Wilson)? This is a matter of the greatest concern. The reduction in funding was entirely to be anticipated, but it should not have occurred.
ParlaMint-GB_2016-10-18-commons.u404	I have just been indulgent to my right hon. Friend because quite a few of my constituents work at Caversham and have been in touch with me to express their concerns. I thank him for his very welcome intervention and I echo his call. I hope that the Minister will pass on to his colleagues in the Foreign Office the need to note the sagacious views of my right hon. Friend and his colleagues on the Select Committee on the future of monitoring at Caversham and how it should be funded and analysed. Returning to the other raids on the BBC, the digital infrastructure raid was perhaps appropriate. We then took the underspend and spent it on broadband. If the Minister is clever enough, as I know he is, not to proceed with the competitive content fund, we could put more of that money into broadband. I know that he has made incredibly rapid progress on the roll-out of broadband since he took up his present ministerial position, and I know that he will want to reach the new target of 100% by the end of next year. I thought I would just throw that in, because everyone said I was so useless at the job—[Hon. Members: “Aah!”] Thank you. This is turning into a pantomime, Madam Deputy Speaker—
ParlaMint-GB_2016-10-18-commons.u405	Oh no it isn’t!
ParlaMint-GB_2016-10-18-commons.u406	I was about to say that I was going to get things back on track The second raid was undertaken by the then new Secretary of State, my right hon. Friend the Member for South West Surrey (Mr Hunt), and me when we froze the licence fee in 2010. That moved the cost of the World Service on to the BBC’s books. Again, that was mildly justified in the sense that some operational savings could be made as a result. The Government have now started to fund the World Service separately The third raid related to TV licences for the over-75s, which we mitigated by taking some other costs off the BBC. Indeed, my right hon. Friend the Member for Maldon, the man who was supposedly going to bury the BBC, actually secured from the Government an inflation-linked increase in the licence fee to counter the effect of that change The fundamental point is that they were raids. It is ironic that successive Governments, and indeed the BBC, have resisted a statutory basis for the BBC because that would undermine its independence. Without a statutory underpinning, however, how much money Ministers might take out of the licence fee is effectively down to their whim and how far they are prepared to bully the BBC. Over the past decade or so, too many Ministers, myself included, have seen the licence fee as a pot into which they can occasionally dip I do not propose a solution here, but as someone now liberated from collective responsibility I simply wanted to raise the matter and urge not necessarily the Government but the House to think hard over the coming years about how we protect the BBC. As so many Members have said in this debate, the BBC is a great treasure. It should be funded to get on with the job independently and should have light-touch regulation in order to adapt to the rapidly changing technologies that now dominate our lives The draft BBC charter gets pretty much everything right. I commend my right hon. Friend the Member for Maldon, the former Secretary of State, and apologise for giving one or two of his pet projects a kicking. He did an absolutely superb job overall, particularly given the timetable. I must also praise his officials, mainly because they are glaring at me from the Box, and those who are not here, who also did an outstanding job in securing this draft charter. I commend the Minister for Digital and Culture and the new Secretary of State for the able way in which they have taken the draft charter forward.
ParlaMint-GB_2016-10-18-commons.u407	There is plenty of time for the debate this afternoon, but the House will be aware that a great many people have indicated to the Chair that they would like to take part. If by self-denying ordinance every hon. Member behaves honourably and speaks for approximately 10 minutes, they will all have an equal chance of participating. If that does not work, I will have to impose a time limit.
ParlaMint-GB_2016-10-18-commons.u408	I begin by saying that I chair the National Union of Journalists’ parliamentary group, the secretariat of which is included in my entry in the Register of Members’ Financial Interests. It is a great pleasure to follow the right hon. Member for Wantage (Mr Vaizey), who was an extremely able and successful Minister at the Department for Culture, Media and Sport, holding the post of arts Minister for a record six years. He demonstrated again this afternoon that with wit and charm he is able to defend some really poor policies The BBC is a first-class institution, but it is now at risk. As everybody knows, Lord Reith’s vision was to educate, inform and entertain free from political interference and commercial pressure. We now have a much weaker commitment to reflect the UK and its culture and values to the world. A large part of the draft agreement, which I thought was a strange document when I read it, between the Secretary of State and the BBC relates to the limitations that will be placed on the BBC’s independence and how it will fulfil its role in a competitive environment. We seem to be moving rapidly away from Lord Reith’s vision An early section of the draft agreement deals with the role of the BBC as a UK public service and the public interest test. The agreement states that the BBC must consider public value relative to “any adverse impact on fair and effective competition” In other words, when the BBC makes changes to its delivery of the public services set out in the document, its first thought is the impact not on listeners, viewers or citizens, but on its competitors. That undermines the distinctive role of the BBC. When the Secretary of State was appointed, I thought that that was really positive and that we would have somebody in this role who had not spent years in the media milieu and would therefore bring a fresh approach. I was therefore extremely disappointed to discover that she had appointed as her special adviser the former chief political correspondent of The Sun. The obsession with the BBC’s impact on other broadcasters seems to suggest that the hand of Murdoch is evident in the document Let us look at some of the specifics in the agreement. Paragraph 67 is headed “Defence and Emergency Arrangements”, but it covers far more than just those things. Its provisions set out no limit to the Government’s power of censorship, and it is possible that the Government could interfere with editorial judgments and broadcasting content. Now let us look at the section on competition. Obviously, the BBC, supported by public money in the form of the licence fee, is in a special position and there are risks of it abusing that position. There was a long-standing argument about whether The Listener was competing unfairly with the New Statesman, The Economist and other weekly and monthly magazines, and now the argument is about whether the BBC’s web content is competing unfairly. What is strange about this charter, and this is where it goes wrong, is that there has been a move from the margins—from a small problem that was acknowledged and needed to be dealt with—to place the position of the competitor right at the centre of BBC decision making about what public services it needs to provide. The BBC will have to consider the positive and negative market impact of its activities, and Ofcom must keep that in mind when reviewing new and changed services. There must be concern that commercial broadcasters will be able to launch anti-competitive challenges against the BBC, including to existing programmes and scheduling The right hon. Member for Wantage talked about radio, and there is a particular concern about what is proposed for BBC radio. At the moment, the BBC contracts out to the private sector the production of 20% of radio programmes, but it is proposed that by 2022, at least 60% of BBC radio programmes will be contracted out. That is a massive change in how radio programmes are made, and I am concerned about it from two points of view. First, and most importantly, in what sense will we have BBC radio, with its characteristic and distinctive quality, if more than half of it is produced by the private sector? Secondly, there is the question of the practical feasibility of doing this. When more than half the radio programmes are made by external producers, the BBC’s in-house capacity will be limited. Members who are concerned about that matter might like to sign early-day motion 551 The performance of the last BBC Trust seems to have been absolutely abysmal. I am sorry to say that that was due not to structures, but to the people who were in positions on the trust. It was completely irresponsible of them to take on responsibility for free licences for people over 75. I am pleased that the Prime Minister has insisted on an open appointment for the head of the new structure, but I do not think that the new unitary board, which includes five Government appointees, can truly be said to be independent The right hon. Member for Wantage pointed out that there had been a lot of top slicing. Since 2010, if we take account of the freeze on the licence fee and of the constant slicing away of money for different purposes, the BBC has experienced a real-terms cut of 25%, which is extremely significant I am pleased that the National Audit Office will be involved in looking at whether the BBC is properly managed, as it seems that its major problems are related to management, not editorial matters. I very much hope that that the growth in contracting out will not simply be a mechanism for people to evade scrutiny regarding high pay The Secretary of State began her speech by saying that the BBC is a trusted, valued and much-loved institution not just here in Britain, but across the world. I regret to say that those fine words do not seem to be supported with an approach on the charter that would preserve the BBC free from commercial pressure and political interference.
