ParlaMint-GB_2016-01-21-commons.u1	1. What steps his Department is taking to support small production companies based in Cornwall.
ParlaMint-GB_2016-01-21-commons.u357	Yes, I do. I really welcome that intervention, because it not only makes the point, but stresses it very strongly. Some councils are very good and introduce byelaws to ensure that burger vans cannot pull up outside a school, and that, if there is already a number of takeaway shops nearby, no more can open. Matters such as that need to be addressed by councils The pilots introduced by the previous Labour Government in Durham and Newham to look into the benefits of universal free school meals found many benefits to a child’s health, and research continues now that we have universal infant school meals. The pilots in Durham and Newham found a 23% uptake in vegetable consumption at lunchtime and a steep decline in the typical unhealthy packed lunch foods. For example, there was a 16% decline in soft drinks and an 18% decline in crisps. Those are all-important figures that the Government should remember, and both the Department of Health and Department for Education should look further into how best they can use the vehicle of universal free school meals to help improve children’s health Although universal free school meals are protected in the Government’s comprehensive spending review—this followed a concerted campaign by school food campaigners, myself and others in the House—there is another area that the Government must consider when looking to improve the health of our children: holiday hunger. Children are in school for just 190 days of the year, and the rest—a total of 170 days—is totally down to their parents. Some may say that that is how it should be and that when we lock the school gates for the holidays it is none of our business what children eat, whether they eat or what they get up to. None the less, with the growing use of food banks in school holidays and the reports that children return from the longer school holidays noticeably thinner and unhealthier, the issue is one that we can no longer ignore If there is a push for better food provision in our schools, then we need to be doing much more during the holidays so as not to undo the hard work that goes into improving the life chances of children during term time. That is why the school food all-party group, which I chair, has established a holiday hunger task group, which last year launched its “Filling the Holiday Gap” guidelines to provide organisations and local authorities wishing to provide food during holidays with the resources to offer healthy and nutritious food. Late last year, it published its update report, which called for action to be taken by the Government When the Government’s childhood obesity strategy is published, I hope that there will be significant mention of the benefits that school food, especially universal free school meals, can have on a child’s health, and of how it can be used to address the growing childhood obesity crisis. There is evidence out there to support using universal free school meal provision to its fullest, instead of squandering its potential, to improve the health of our children This is a moment when the Government can really make a difference to children’s lives and I hope that all options and avenues will be pursued so that children are given the healthy food that they need to fuel their education and to make them as healthy a version of themselves as possible so that they grow into fit and healthy adults.
ParlaMint-GB_2016-01-21-commons.u358	It is a pleasure to follow the hon. Member for Washington and Sunderland West (Mrs Hodgson). I thank my hon. Friend the Member for Totnes (Dr Wollaston) for calling this important debate. I am sure that Members can all see that I am a man who likes his food, and that I am not particularly in a position to lecture others on obesity. At the same time, I cannot ignore the fact that too many children in this country are obese, that poor children are more likely to be obese than rich children—boys and girls in the lowest quintile are three times more likely to be obese as those in the highest quintile—and that those living in towns are more likely to be obese than those living in rural areas. Those are unpalatable facts. It is right and proper that we investigate, and, where we have clear evidence, take the appropriate action However, the evidence does not suggest that childhood obesity is a problem that is getting significantly worse. The proportion of obese children in year 6 is higher than it was in 2006-07, but for reception children the proportion has fallen over the same period. Moreover, there has been a significant decrease in the proportion of British children, aged two to 10, who are obese.
ParlaMint-GB_2016-01-21-commons.u359	Will my hon. Friend go back and look at those figures in more detail? What he will see is that, although those figures are falling for the wealthiest children, they are rising for the most disadvantaged children. We are seeing a widening of the gap, which masks the underlying problem.
ParlaMint-GB_2016-01-21-commons.u360	My hon. Friend makes a very good point, and I will come on to that in a bit more detail. The important element is that any approach we take must be evidence-based. I absolutely agree with her that we need to look at all the evidence I stated that the proportion of those aged two to 10 who were obese had gone from 17% in 2005 to 13% in 2013. The evidence suggests that childhood obesity rose quickly in the mid-2000s and has slightly fallen ever since. That is an important fact for two reasons. First, it suggests that our education programmes in our schools and the Government-backed campaigns on obesity within the last decade have had a positive impact in halting the increase in childhood obesity. Secondly, it undermines the scaremongering that suggests that childhood obesity is rocketing year on year. It simply is not; the reality is much more complex As my hon. Friend the Member for Totnes has already mentioned, there is a growing clamour for a sugar tax on soft drinks to combat childhood obesity. She has called in a recent article for a 20% tax on sugary drinks as part of that overall solution. Her calls have been echoed by the British Medical Association and other public health campaigners. I have huge respect for my hon. Friend, but I think that a sugar tax is completely the wrong answer. A sugar tax is illiberal and patronising —in my view, nanny statism at its worst Given how sugar tax campaigners argue, one might think that consumption of sugar in the UK is at a record high. It is not. Consumption of sugar per head in the UK is falling, from a high of more than 50 kg a year in the 1980s to less than 40 kg a year now. What is more, soft drink consumption in the UK is falling. The latest household food survey from the Department for Environment, Food and Rural Affairs shows that household soft drink consumption purchases have fallen by 5.2% since 2011 and by 19% for high-calorie soft drinks in the same period. Regular soft drink purchases are now at their lowest level since 1992.
ParlaMint-GB_2016-01-21-commons.u361	Does not the hon. Gentleman agree, though, that a sugar tax would be eminently fiscally responsible? It would gather revenue, increase life chances, increase health and reduce health costs. From the point of view of the Exchequer, it would be very sensible. Can he not come up with other sensible ideas like that?
ParlaMint-GB_2016-01-21-commons.u362	The hon. Gentleman makes an important point and, of course, that would make sense if the evidence suggested that a soft drink tax implemented anywhere else in the world had actually worked and had the effect that he suggests. He is right to suggest that there are a lot of other measures that we as a Government and that businesses and organisations can take to address this issue; I do not believe that the sugar tax is the right one Sugar tax advocates have pointed out the introduction of a sugar tax in Mexico and the corresponding 6% decline in soft drink sales since the tax was introduced. However, research in The BMJ does not show evidence of a link between the introduction of the tax and the small decline in soft drinks consumption. Further taxes on non-essential energy dense foods were also introduced at the same time as the sugar tax, and they accounted for a higher proportion of Mexicans’ daily calorific intake. As the authors of the research admitted, “we cannot determine the independent role of each” of the taxes. The research even acknowledges that there is a lack of information on nutritional data for packaged drinks in Mexico, which means that researchers cannot see what the fall in soft drink consumption meant for a decline in sugar intake As many Members may know, Mexico does not have safe drinking water. As a high-profile advocate of the sugar tax in Mexico, Alejandro Calvillo, stated: “We know that there are people who drink a lot of sodas and they don’t have access to drinking water.” How can we possibly compare the results in a developing country that has unclean, unsafe drinking water with how a tax might operate here in the United Kingdom? Instead, let us compare like with like. When sugar taxes have been tried in developed nations such as France, they have had a negligible effect on reducing consumption. Denmark scrapped its sugar tax on soft drinks in 2014 and labelled it an expensive failure. The Danish Ministry of Taxation labelled food and drink taxes as “misguided at best and may be counter-productive at worst” They even described it as an expensive liability for business, and, as we all know, a sugar tax would be a very bitter pill for British businesses to swallow Study after study on soft drinks taxes in the USA also shows that they have a negligible impact on sugary drink intake and calorie consumption. What is more, the small decline in sugary drinks is almost entirely offset by consumption of other sugary products.
ParlaMint-GB_2016-01-21-commons.u363	My hon. Friend is very generous to give way again. I wonder whether he has had an opportunity to look again in detail at the article in The BMJ to which he refers. He is citing the figure of 6%, but the article makes it clear that by the end of the year the decline was 12% overall, and—more importantly, if we are to address the issue of health inequality—17% among the heaviest users. He might wish to update himself. I am happy to share the paper with him.
ParlaMint-GB_2016-01-21-commons.u364	I thank my hon. Friend and I would be delighted to take another look at that piece of research My hon. Friend has made a case for the sugar tax to protect the poorest, and I think that that was the point that she was just making. As I have mentioned, and this is a good point, the poorest children are the most likely to be obese. However, the statistics show that, in low-income households in Britain, soft drink purchases dropped by 14% between 2007 and 2013. Perhaps a 20% sugar tax on soft drinks is not very much to celebrity chefs such as Jamie Oliver and some of those who are pushing the idea of a sugar tax, but for those on the lowest incomes—who we know, proportionally, buy these products—about 12p a can or 37p per 2 litre bottle is a massive amount of money.
ParlaMint-GB_2016-01-21-commons.u365	I think that the point is that we are talking about a tax on sugary drinks and there are alternatives, such as drinks with artificial sweeteners. We are not making it so that these people do not have a choice. There are two different sides of the argument.
ParlaMint-GB_2016-01-21-commons.u366	I thank my hon. Friend for that intervention. As someone who spent five years working in the soft drinks industry, I think she makes a valuable point. We need to question what we want our children—and adults —to drink. Do we want them drinking sugar or sodium benzoate, acesulfame and aspartame? That is a whole separate debate that we can have. I tend to choose to drink diet variants myself, but those options are there and the industry is driving people towards those lower calorie drinks. Let us take Britvic Soft Drinks as an example. Members will notice that they can buy a 600 ml bottle of diet Pepsi or Tango for the same price as a 500 ml full-sugar variant. The industry is already encouraging behavioural change To return to the Mexican experiment, 63% of sugar tax receipts have been collected from low-income households and 37.5% of receipts came from those in poverty. As I mentioned before, particularly with soft drinks but across the board, labelling has never been better, nor has the choice for consumers. The industry is doing a huge amount of work to encourage behavioural change and do the right thing I am conscious of the time and that lots of Members would like to speak, so I will conclude. I welcome a debate on childhood obesity and a clear strategy to reduce it. There are a huge number of measures that we as a Government could take ourselves and that we could encourage businesses and organisations to take, but let us ensure that the strategy is based on solid evidence. I strongly believe that a sugar tax is not the answer.
ParlaMint-GB_2016-01-21-commons.u367	Order. Before I call the next, very experienced, Member to speak, let me remind less experienced Members that when there are time limits, the first two interventions are compensated for and the clock stops, but after that the clock continues. I just want to ensure that no one gets a horrible fright.
ParlaMint-GB_2016-01-21-commons.u368	I will stick to my eight minutes, Madam Deputy Speaker, and I will not give way, if that helps—[Interruption.] All right, I will give way It is a pleasure to follow the hon. Member for Colchester (Will Quince). He is hard on himself; he is not obese, just very well built. I know that his enthusiasm for curry is known throughout Colchester, so that might be a contributing factor. It is a pleasure to speak in the debate and I congratulate the hon. Member for Totnes (Dr Wollaston) not just on how she chairs the Select Committee on Health but on how she brings issues to the House, especially this critical issue of childhood obesity. I am delighted to see the Minister at the Dispatch Box, as she gets it. She is the Minister responsible for diabetes and whenever we in the all-party group on diabetes ask her to deal with these issues, she has always been very open and transparent. I think that she is on the same page as the rest of us That helps me put aside at least half of my speech because I do not need to repeat the statistics that Members who are experienced in these matters know all about—the cost of diabetes to the national health service, the worry that over half a million people have type 2 diabetes and are not aware of it, the need for prevention and awareness, and the importance of protecting our children. The figures given by the hon. Member for Totnes are clear. The problem gets worse as children get older and the figures are so worrying that if we just stand still, the crisis of childhood obesity will continue.
ParlaMint-GB_2016-01-21-commons.u369	With reference to standing still, the debate today has largely focused on sugar and our intake of it. One of the key things we need to do to tackle the challenge of childhood obesity is to focus on activity—getting people to be physically active, through sport or, as I increasingly believe, outdoor recreation. The Department for Culture, Media and Sport sports strategy, which focuses more on outcomes and includes outdoor recreation, could help to tackle the crisis that we are facing. Does the right hon. Gentleman agree?
ParlaMint-GB_2016-01-21-commons.u370	Absolutely. The hon. Gentleman is looking at someone who constantly tells people to move more, but prefers to go by car rather than walk. It is a wonderful thing to say, but it is a different matter to get us on to those bicycles, on to our feet and involved in physical activities. My physical activity extends to table tennis, which is not the best way of losing weight and ensuring that my type 2 diabetes is under control. The hon. Gentleman is right—those lifestyle changes are necessary and they need to happen at a very young age. Schools, teachers, kids and parents need to be involved in ensuring that there is more activity because that will help in the long run We should be pretty dramatic in the way we deal with the problem. As you know, Madam Deputy Speaker—as you have no doubt shown the film to your children at some stage—Mary Poppins thought that a spoonful of sugar helped the medicine go down, but a spoonful of sugar, or nine teaspoons of sugar in a can of Coca-Cola, does not help the medicine go down—it makes matters worse In the short time available, I shall concentrate on the need to ensure that retailers do their bit to bring down the sugar content in sugary drinks. I am full of praise for the Mayor of London, the hon. Member for Uxbridge and South Ruislip (Boris Johnson), for going one step further than waiting for a sugar tax, which I understand is still on the agenda. There was a feeling that the Government had rejected that, but there were newspaper reports that the Prime Minister was still considering the matter. Perhaps the Minister can tell us when she winds up The retailers, having been invited by the previous Secretary of State for Health to be part of a voluntary arrangement, did not keep their side of the bargain. Despite the great declarations that were made by the previous Secretary of State, which I am sure were well intentioned, it is difficult to control global empires to ensure that they reduce the amount of sugar in drinks. We therefore have to take drastic measures. That is why I support a sugar tax, as enunciated by the Chair and other members of the Health Committee. We need to do that. We also need to do what the Mayor has done. Putting up the price of sugary drinks in City Hall is an extremely important way of sending out a clear message. Simon Stevens has said that he would do the same thing at NHS hospitals. How many of us turn up at local hospitals and see vending machines openly trying to sell us sugary drinks such as Coca-Cola I recently returned from a holiday in India. Whenever I asked for water or Diet Pepsi or Diet Coke, I was told it was not available. There is an interesting read-across to other Government Departments. The big retailers may be more conscious of the fact that the British House of Commons is interested in the issue, but in countries outside western Europe and the United States, they may feel that they can dump their sugary products without offering an alternative. Before we get to the issue of the sugar tax, which, as I said, I support, there is much that retailers can do I recently visited a branch of Waitrose in West Bromwich. I was interested to see that all the sugar-free products had been put in one kiosk in the middle of the store, so when people walked in they were not overwhelmed by the promotion of two-litre bottles of Coca-Cola for the price of one—they looked at the kiosk, where there were only no-sugar products. That is a way of encouraging those who purchase—I am not saying dads do not do it, but in most cases mums—to go to the kiosk and try to think positively about buying products that are free of sugar As I said in an intervention, there are things we can do. If we go to the Tea Room to have our lunch after this great debate, what is on offer? Club biscuits, Jaffa cakes, the most fantastic Victoria sponge—marvellous stuff that the Administration Committee offers us. The fruit is at the side, between the refrigerated drinks and the till. By the time I get there, even I, with my type 2 diabetes, am sometimes tempted to go for the sugary products and the chocolate. Why do we not promote the food and drinks that are healthy That is why, like others, I commend what Jamie Oliver has done. We need people like that, who have captured the imagination of the British people, to ensure that the public and the press help in the efforts to reduce sugar. Finally, I lavish praise on my hon. Friend the Member for Swansea West (Geraint Davies), who has introduced a Bill to provide for better labelling. We still do not have effective product labelling. It is important that we see such information because it will enable us to make informed choices If we do nothing, the obesity crisis will get much worse. We are not drinking at the last-chance saloon. That is now closed. We are outside and we are ready for firm Government action. That is our request to the Minister. Because of her own commitment to these issues, I know she will react positively.
ParlaMint-GB_2016-01-21-commons.u371	Order. I am afraid I have to lower the time limit on speeches to seven minutes now.
ParlaMint-GB_2016-01-21-commons.u372	I am delighted to take part in this important debate and congratulate my hon. Friend the Member for Totnes (Dr Wollaston) on securing it As we have been hearing all afternoon, we are facing a crisis of obesity among our children. That is storing up trouble for the future for our nation, as it has implications for the personal health of those individuals, and will create wider social problems and economic challenges—loss of productivity because of ill health and the cost to the NHS, as we have heard. It is therefore right that the Government take the issue seriously and develop a comprehensive plan to address it. We need to be realistic. The issue is complex and there is no silver bullet that will solve the problem of childhood obesity in one hit. There needs to be a comprehensive plan and a combination of measures to encourage greater activity and participation in sport and to address aspects such as diet, labelling and lifestyle. Parents must be at the heart of any strategy. We cannot replace their role and responsibility in raising their children and deciding what is best for their children’s welfare and future. We must never lose sight of that. Many parents feel that they are fighting a losing battle. The greatest influence on many children growing up today is no longer the parents and the household, but the media and the marketing budgets of multinational companies. Even the simple fact that in most shops a bottle of water is more expensive than an equivalent-sized can of fizzy, sugary drink—I think that is the case even in this place, so perhaps we should address that here—is evidence of the losing battle that many parents feel they are fighting in teaching and enabling their children to make the best choices In the time remaining I want to address the sugar tax. I am privileged to have one of Jamie Oliver’s Fifteen restaurants in my constituency. Only a few days after my election, the restaurant got in contact and asked me to lead a campaign for the introduction of a sugar tax. I have to say that my first response was to say no, because I am at heart a low-tax, small-state Conservative; my natural inclination is never to raise taxes. In fact, I want to cut taxes and have fewer taxes, so I did not particularly warm to the idea of introducing a new tax. Also, I do not want to see the state interfering in people’s lives, and particularly family life, any more than is absolutely necessary. Members will also be able to tell from my physique that I am not renowned for being a diet fanatic. In fact, I have been on only one diet in my life, and that was when my wife persuaded me to try the Atkins diet, with the bribe that I could eat as much bacon as I liked However, having looked at the evidence, I have come around and now believe that the Government should seriously consider introducing a sugar tax, because it would send a clear message about what is right and help people to make the right choices. In this country we have many taxes that are designed not only to raise revenue, but to educate and to influence people in the choices they make. I think that a sugar tax would be another step towards helping people, and particularly helping parents to help their children, to make the right choices. It would send a clear message that sugary drinks are not good for us. The Government would also be seen to be providing leadership on the issue, making a very clear and bold statement A tax on sugary drinks is not a silver bullet. It needs to be part of an overall package and a comprehensive strategy that includes better labelling, as we have heard, better education and encouraging physical activity. But I have been convinced that it needs to be seriously considered as part of the strategy to send that clear message and help parents make the right choice. I welcome the fact that, as the right hon. Member for Leicester East (Keith Vaz) suggested, there might have been a little movement in the Government’s position. I encourage the Minister to take back the clear message that the Government should seriously consider introducing a tax on sugary drinks as part of the overall strategy. It is something we need to see move forward, and a clear message needs to be sent.
ParlaMint-GB_2016-01-21-commons.u373	I am pleased to be called to speak in this debate. I thank the hon. Member for Totnes (Dr Wollaston) for setting the scene so comprehensively, and for speaking along the lines that I and, I hope, most Members in the Chamber agree with. I declare an interest, because I am a type 2 diabetic, as is my friend and colleague the right hon. Member for Leicester East (Keith Vaz). He and I have many things in common. We are both type 2 diabetics and we both support Leicester City football club—who would have believed that Leicester City would be top of the league? They are equal with Arsenal now, so there we are. I am very pleased to share that as well Obesity is at epidemic levels across the nation. Although strategies and responses have been developed, achieving results and driving down levels of obesity appear to be very difficult, which is disappointing. I am not here to argue or fall out with anyone—that is not my form—but I do not agree with some of the things that have been said today. For example, I am in favour of a sugar tax. My colleague, Simon Hamilton, who is the Health Minister in Northern Ireland, is against a sugar tax. I am in favour of it because I think that it would be the best thing. I think that sometimes we have to make decisions for people and that we have to do what is right. We have the power in this House to bring in legislation that hopefully can be used for the benefit of all Northern Ireland has the worst levels of obesity in the United Kingdom. Just over 24% of the 1,300 children from Northern Ireland who were surveyed by researchers at the Institute of Education in London were found to be not just overweight, but obese. We all know that the Ulsterman and the Ulsterwoman are fond of an Ulster fry. I used to be, but now I am allowed a fry only once a week because I am a diabetic. Believe it or not, as a diabetic I used to weigh 17 stone, but now I weigh 13 stone, so we can address the issue if we put our minds to it. Had I known what diabetes was about before I became a diabetic, I think I would have taken steps to change. I did not know it then because I was not interested. I did not know it because I did not realise there was anything wrong, but things were wrong. Sometimes we have to educate ourselves and take important steps and move forward by legislative means Members have referred to a balanced meal. Some people who carry a bit of weight think that a balanced meal means one hamburger in each hand. We have to think about this seriously. A balanced meal is not two hamburgers and big bottle of Coke; it is much less than that Obesity levels for 11-year-olds are higher in Northern Ireland than they are in other parts of the United Kingdom; in Wales the figure is 23%, in England it is 20%, and in Scotland it is 19%. It was reported in the news the week before last that every child in the United Kingdom will eat their body weight in sugar each year. Just think about what that means. That is four or five stones of sugar. Adults probably eat their body weight in sugar as well—not me, though, because I am a diabetic.
ParlaMint-GB_2016-01-21-commons.u374	I am interested to know why sugary soft drinks, in particular, are being targeted. Why are we not looking at cereals, biscuits and cakes as well? Why is it just sugary drinks?
ParlaMint-GB_2016-01-21-commons.u375	I am happy to look at sugary drinks because we have to start somewhere, but I will happily look at cornflakes and other foods as well, so they should not think that we are going to let them off. The issue is that there are nine teaspoons of sugar in a can of fizzy drink, so we need to address the issue where it starts We cannot ignore the statistics, because they are very clear. The fact that by age 11 a quarter of children in Northern Ireland are not just overweight, but obese is an alarming statistic. I think that a comprehensive and robust approach will be required if we are to address that. One way to doing that is through education in schools. I think that we need to bring that education in at an early stage. I think that the Minister will probably respond along those lines I fully support having a tax on sugar, which I think would be a step in the right direction. If we do that, we can move things forward and address the issue of obesity and people being overweight very early. Without addressing this serious health issue at the earliest stage possible, it will lead to problems for the health of the person in question, and for public health and society as a whole. I found some statistics on obesity the other day. The obesity epidemic in Northern Ireland has led to a doubling in just three years in the number of callouts for firefighters to help obese people. Those are startling figures. We can sit and ignore those and say, “No, we’re not going to tax sugar,” or we can address the issue early on. I say that we should do it early on. Let us do it now Dr Hilary Cass, president of the Royal College of Paediatrics and Child Health, has said that if the problem is not tackled now, it will rapidly get worse. She said: “We should be worried because if we do not fix this problem now, we will see unhealthy kids turning into unhealthy adults with diabetes, heart disease and kidney problems.” Why is it that it tends to be those on low incomes who are overweight or obese? It is quite clear to me, but perhaps it is not clear to others. I think that it is because their income dictates what they buy. If they do not have much money, they will buy the cheapest food they can, even if it is not the healthiest food, and more often than not cheap food contains levels of fat and sugar that are far too high. The issue of low incomes is therefore something we have to address as well, for those whose food choices are dictated by what is in their pockets We should be tackling these issues now not only because that is the right thing to do morally, but because it makes economic sense. The right hon. Member for Leicester East referred to the supermarket that had all the chocolate and sugary foods in one aisle in the middle of the shop. That is where they should be. They should not be at the checkout, where kids will see them and want their chocolate bar or their bottle of Coke. We have to address that issue as well Despite greater education on food and nutrition, there is still an obesity epidemic. Children are getting too many of their calories from sugars—on average, three times the Government’s recommended amount. That only contributes to an overall overconsumption of calories. One in three children are overweight or obese by the time they start secondary school, and that is a very clear problem that needs to be addressed. Childhood obesity is associated with conditions such as insulin resistance, hypertension, asthma, sleep problems, poor mental health—we cannot ignore that in children; we cannot think that they do not have it, because they do—early signs of heart disease, and an increased risk of developing cancer. The hon. Member for Colchester (Will Quince) referred to the need to have more physical activity in schools, and that issue could be addressed. Ministers mentioned it during this morning’s Culture, Media and Sport questions, so they recognise it as well. I have mentioned just a small number of the health costs of not acting to address this epidemic It is not just health that suffers because of inaction on this epidemic. Health problems associated with being overweight or obese cost the NHS more than £5 billion annually. Poor dental hygiene costs the NHS £3.4 billion a year, of which £30 million alone is spent on hospital-based extractions of children’s teeth. The total societal cost of obesity in the UK in 2012, including lost productivity, was £47 billion. The evidence is clear There can be no one solution to this complex issue. We need to enhance our nutritional education strategy, tackle poor diets through legislation, and encourage greater physical activity among our children. Given the shocking statistics that we have all spoken about, it is clear that despite health being a devolved issue, obesity, and obesity in our children, is truly a national problem. As such, it will require a national solution and a comprehensive approach.
ParlaMint-GB_2016-01-21-commons.u376	I, too, pay tribute to the Health Committee for its great work. I pay tribute particularly to the Chairman of that Committee, my hon. Friend the Member for Totnes (Dr Wollaston), and to my hon. Friend the Member for Erewash (Maggie Throup) for her work in the all-party obesity group This is a very important topic. It is also a very emotive one, as we have heard, especially for those of us who are generally instinctively against Government interference and taxation, and want small government. I have wrestled with that, like my hon. Friend the Member for St Austell and Newquay (Steve Double), but I have come round to the idea that when it is necessary to interfere, and when we have to balance out these freedoms with doing the right thing by our children, then we do need to consider all options. I have been slowly persuaded, but am now comfortably persuaded, on issues such as the sugar tax. So unfortunately, probably for the first time ever, I disagree with my hon. Friend the Member for Colchester (Will Quince). However, I am sure that it will be the first of many such times over coming years The evidence is overwhelming. Like the hon. Member for Strangford (Jim Shannon), in researching this topic I found that the numbers are astounding. The figures are overwhelming, and very alarming. I will not repeat them, but the report contains many such figures, and it is well worth a read One of the issues that comes up again and again is food marketing. Research tells us that children as young as 18 months can be influenced and are capable of recognising brands, which is a truly astounding fact. The House will be aware that current regulations on TV advertising mean that foods high in fat, saturated fat, salt and sugar are banned from being advertised during children’s programming, but many organisations, as well as the report, have suggested that that should extend up to the 9 pm watershed, and with considerable reason, given the evidence. The latest Ofcom figures show that two thirds of children watch television during what is considered adult airtime, with peak viewing for children between 7 pm and 8 pm. The British Heart Foundation found last year that during just one episode of “The X Factor”, a programme that is quite popular with children, there were no fewer than 13 junk food adverts. The issue is even more acute with online advertising, where adverts are often attached to videos, including music videos. That is probably worthy of a debate in itself Let me turn to food standards in schools, where there has been a tremendous breakthrough over the past few years. Those of us who visit schools look on with envy at the school meals now compared with the ones that many of us had to suffer years ago. Yet in many schools up and down the country, we have the farcical situation where lunches provided by schools are generally very healthy, but the food children themselves bring into schools, or is provided by their parents, is often not healthy. We can only imagine how frustrating it is for teachers, and indeed everybody who works in schools, including my wife, to see children filling themselves up with junk food at school and knowing there is little they can do about it. We need more co-operation between schools, and between parents and teachers. I back the Committee’s proposal that nutritional guidelines should be published for packed lunches and that, where necessary, teachers should be able to have, perhaps robust, conversations with parents so that these guidelines are followed Of course, diet is very important, but so is physical activity, as has been mentioned many times. I back up the supportive comments about the DCMS’s sports strategy. In The Times on Monday we saw a snack guide that included information on how long it would take to burn off the calories of various foods. It is easy to laugh at things like this, but it showed that a chocolate bar, bag of crisps and a bottle of Coke would require almost one hour of running or more than two hours of walking to burn off. How many children, or indeed parents, know that? Given that a child could consume all those things on top of, or instead of, a healthy meal, while doing no exercise, it is a really alarming picture. We must do more to encourage and enable exercise I am blessed to represent a primarily rural constituency. It is very easy for me and my family to get outdoors, to go on bike rides, and to go on public pathways. I am well aware that not everybody in the country has those privileges. Councils and local government need to do much more to enable access to healthy outdoor living and sports facilities. Planning plays a part in this too. When I see planning proposals for housing developments, I find it remarkable how little provision there is for recreational facilities, or indeed access to countryside. Cities fare far worse than the countryside in this regard.
ParlaMint-GB_2016-01-21-commons.u377	My hon. Friend is making an important speech covering a wide range of actions that need to be taken to tackle the obesity problem. Does he agree that this is not just about the sugar tax or product placement? The scale of the problem is such that we need a whole range of steps where the Government take a lead in showing how serious the problem is, and a whole range of actions to make sure that a difference is made quickly.
ParlaMint-GB_2016-01-21-commons.u378	I thank my hon. Friend for that intervention; I could not agree more. Indeed, she has stolen my conclusion. It is absolutely the case that this is a very complex matter that covers so many areas that it is difficult to fine tune it. I hope that we can avoid focusing purely on the sugar tax, as important as it is We must recognise and praise the fact that up and down the country there are some great experiments going on, with schools practising innovative ways to encourage physical activity. For example, Commando Joe’s goes into schools and encourages team building and physical activity. I give credit to Bengeworth academy in Evesham in my constituency where we have our own Commando Joe—a gentleman called Chris Parry who works alongside staff and children having previously done four tours of Afghanistan with the Marines. He is doing great work, and long may that continue As my hon. Friend the Member for Faversham and Mid Kent (Helen Whately) said, this is not just about healthy eating. It is also about planning, education, labelling, and information, and the cost in healthcare if we do not do anything—we need to cover so many areas. If the aim of this debate was to give the Government ideas about what they could do to help in this area, then I am sure that by the end of it that will have been achieved.
