ParlaMint-GB_2016-03-22-commons.u1	1. What progress has been made on improving cancer survival rates.
ParlaMint-GB_2016-03-22-commons.u349	I do. My hon. Friend is absolutely right. The fact of the matter is that this Government are taking the difficult decisions on infrastructure—on things such as nuclear power and airport capacity.
ParlaMint-GB_2016-03-22-commons.u350	Will the hon. Gentleman give way?
ParlaMint-GB_2016-03-22-commons.u351	I will not at the moment, but I might later The previous Labour Government, in very benign economic circumstances—mainly driven, of course, by debt and borrowing—failed to take those decisions I welcome the Budget in general terms—of course, I took issue with the Chancellor’s comments about Brexit, and I think the OBR’s anodyne comments on Brexit were misrepresented. However, there were some good things in the Budget, which was not a redistributive Budget from poor to rich, but largely a redistributive-neutral Budget, as the Institute for Fiscal Studies said.
ParlaMint-GB_2016-03-22-commons.u352	Will the hon. Gentleman give way?
ParlaMint-GB_2016-03-22-commons.u353	I will not at the moment I welcome the lifetime ISA. I welcome the tax crackdown on offshore property developers and transfer pricing. It was good to see the changes in the personal allowance, which will take many of my constituents out of tax Indeed, my constituency is in a very fortunate position, and I pay tribute to the Chancellor for delivering nothing short of a jobs miracle. We have seen the largest reduction in youth unemployment in the history of my seat—and probably in England as a whole—at over 70%, and there has been a more than 60% reduction in adult unemployment. We also have record numbers of apprenticeships. That is taking people out of poverty. That is the great record of this Government The decision to resile from the commitment on PIP was absolutely right. There is a moral, social equity issue—[Hon. Members: “A U-turn.”] It is a U-turn—that was well spotted by Labour Members. However, it was absolutely right to make that decision. It was right for my right hon. Friend the Member for Chingford and Woodford Green (Mr Duncan Smith) to point up the juxtaposition of tax reductions for well-off people and the change in PIP. However, it ill behoves Labour Members to lecture the Government, when they voted against every welfare change in the last Parliament. What would they have done, and what would they do now? It is incumbent on the Opposition to come through with a coherent, comprehensive alternative on fiscal policy, public expenditure and tax Let me raise two issues that have caused me some concern with the Budget. The problem the Government have encountered, which we have discussed over the last few days, has given rise to a proper debate about intergenerational fairness. We need to look again at pensioner benefits. We cannot discuss welfare without looking at things such as the triple lock and pensioners benefits. I rarely agree with my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke), but he is absolutely right that we cannot see these things in a vacuum, and it is important that we look again at means-testing and pensioner benefits. It is morally wrong to make large transfers of wealth from the young to the old. There has to be a consensus on this issue One suggestion I would make is that, if we are going to means-test pensioner benefits, we should perhaps link that to the most acute societal issue we have at the moment, which is adult social care. We should have co-ordination and integration between acute district hospitals and the provision of care and housing for older people. I think there are older pensioners who would understand that, and it is something the Treasury needs to go forward with and look at very seriously The second concern is that, as we speak, Cambridgeshire County Council—it is not my local authority, because Peterborough City Council is a unitary authority—is looking at the devolution plans for East Anglia. At the moment, those do not stack up. We have not had enough information—in some senses, I am reprising the comments of my hon. Friend the Member for North West Norfolk (Sir Henry Bellingham) yesterday—and we need more. The proposal has been rushed to get it in the Budget statement. It needs to be finessed. We need to carry businesses with us. Neither local enterprise partnership agrees with it. The majority of councils are, at best, ambivalent, and that includes Cambridge City Council, which has rejected it. We need to look at this proposal again.
ParlaMint-GB_2016-03-22-commons.u354	Will the hon. Gentleman give way?
ParlaMint-GB_2016-03-22-commons.u355	I will not at the moment It may be that there are synergies between Lowestoft and Peterborough, or between Norwich and Ipswich, but I have yet to see them. Let us have more information about funding, governance, infrastructure spending, the role of an executive mayor and what will happen to the existing local government structure. I am not against this in principle, but we cannot promise £30 billion of spending over the next 30 years without more facts. We need to see those, and that is the challenge I give to those on the Treasury Front Bench
ParlaMint-GB_2016-03-22-commons.u356	We learned many things from last week’s Budget, and we have learned perhaps even more from the fallout since. However, the overriding message we seem to be getting is that, six years into his job, the Chancellor cannot keep a promise and does not seem to learn from his past shambolic Budget mistakes. He promised to balance the books by last year, to get debt falling as a percentage of GDP each year and to keep welfare spending within his welfare cap, but on virtually all of his own fiscal targets, as the independent Office for Budget Responsibility confirmed last week, he has failed to deliver Of course, this Government’s shortcomings go much further than the Chancellor’s own meaningless targets. A mere six months ago, the Prime Minister told his party conference that he would govern according to “one nation, modern, compassionate” Conservatism. This is the same Prime Minister who last week cheered on a Budget that cut capital gains tax, raised the threshold for the 40p rate, further cut corporation tax, and would see the poorest losing about £1,500 a year in the next few years while some of the richest gain £200. To top it off, the Chancellor pledged to slash disability benefits by up to £1.3 billion a year, which the OBR estimated would lead to some 370,000 disabled people losing an average of £3,500 a year.
ParlaMint-GB_2016-03-22-commons.u357	I want to give some context on the important point about capital gains tax that is being made by the Opposition. Jim Callaghan created capital gains tax when he was Chancellor in 1965, but it has always been lower under Labour Chancellors than under Conservative Chancellors. Even after this change, capital gains tax will be 2% higher under this Chancellor than it was under Alistair Darling, and indeed Gordon Brown in the previous Labour Government.
ParlaMint-GB_2016-03-22-commons.u358	I do not understand the hon. Gentleman’s point. He is digressing on details of capital gains tax when the point I am clearly making is about the context in which the cut has been made, where the burden of this Budget very much falls on the poorest and the most vulnerable in our society. If that is compassionate Conservatism, bring the nasty party back I am pleased and relieved that the Government have backed down on this issue within less than a week. However, I am angry that those people who rely on the personal independence payment, including 1,100 people in Newcastle upon Tyne North, have endured days and weeks of huge anxiety about how they would cope if this level of support was cut. It is unforgivable. I remain equally concerned about how the existing reforms to PIP are quite clearly failing disabled people. Constituents continue to get in touch with me following my recent question to the Prime Minister because they have been told that they are no longer eligible for a Motability vehicle despite its clearly being the only means by which they can leave the house, or indeed get to work. The new PIP assessment is fundamentally flawed. I strongly urge the Work and Pensions Secretary and the Chief Secretary to the Treasury to revisit this issue with fresh eyes and look at reforming the current PIP changes before they embark on any further welfare reform Despite the Chancellor’s so-called “revolution in the way we govern England”, with the pledge last May to give local areas greater control over local transport, housing, skills and healthcare, it appears that he does not place the same faith in local communities when it comes to our schools. Last week’s Budget confirmed that, far from handing control to local communities, the Government are about to embark on the greatest ever centralisation of our schools system, which will see an end to the role, now a century old, of democratically accountable local authorities as the stewards of our children’s education. My Front-Bench colleagues have already highlighted the glaring black hole in the finances of this plan—£560 million—which raises questions about the extent to which the schools budget will be raided to make up the shortfall.
ParlaMint-GB_2016-03-22-commons.u359	My hon. Friend mentions the schools budget. I do not know whether she is aware that in Coventry one or two academies are already in serious trouble because of falling numbers as a result of certain changes in the education budgets.
ParlaMint-GB_2016-03-22-commons.u360	I appreciate my hon. Friend’s point. It is not just local academies that are in trouble—there are some much bigger and more serious questions that we need to raise. First, why are the Government doing this? There is no proof whatsoever that academies per se raise educational standards. It is a distraction that schools now need to focus on this rather than on their educational attainment. Secondly, how will the Government enable the local political leadership to drive up standards and work together, as happened so effectively with the London Challenge, if the power and decision making is so centralised in Whitehall Is the Department for Education even fit for purpose to deal with over 20,000 schools across the country—about 3,400 secondaries and almost 17,000 primaries? There are signs that it is already struggling with its current workload of 4,000 schools. As the Education Committee, of which I am a member, recently uncovered, the Department could not even deliver its annual accounts to Parliament in time and required a statutory extension, and there remains doubt as to when it will ever be able to present them. This mass rush to conversion will only add to the current mess. We need only look at the fiasco of the free schools application process, where there is no clear rhyme or reason to the Department’s decisions to authorise new schools We see a Department in disarray. Of particular concern for my constituents is how the forced academisation process will fit alongside the large-scale programme of house building that is planned for our area. As a result of the coalition’s national planning policy framework, some 21,000 new homes are expected to be built in Newcastle by 2030, a large proportion of which will be in my constituency. That will require new school capacity, but who will be the guiding mind that will match and create that new school capacity in an area that will be controlled by Whitehall? Newcastle City Council already finds itself in the impossible position of being unable to establish new community schools to cope with existing demand. How on earth will it be able to deliver the right school places across Newcastle upon Tyne North when every school is accountable to the Secretary of State Finally, in addition to the fact that apprenticeships were not mentioned in the Chancellor’s Budget even though we were promised that they would be, another glaring omission was the lack of any announcement about how the Government intend to protect our regional airports from the impact of devolving air passenger duty to Scotland. That is crucial to Newcastle airport, which supports 12,000 jobs in the region, and through which £300 million of goods are exported every year. All talk of a northern powerhouse will be completely undermined if the Chancellor fails to deal with the issue urgently.
ParlaMint-GB_2016-03-22-commons.u361	It is a pleasure to follow the hon. Member for Newcastle upon Tyne North (Catherine McKinnell). This Budget, like my right hon. Friend the Chancellor’s previous Budgets, helps to create jobs. That is the right thing to do, which is why I continue to support the strategy of lowering business taxes to encourage growth. The corporation tax cut will benefit 1 million companies in Britain, and the business rates measure will help 600,000 small businesses. Cutting capital gains tax, as my hon. Friend the Member for Newark (Robert Jenrick) has carefully laid out, will help to boost enterprise. Reforming stamp duty and abolishing national insurance contributions will help the smallest businesses of all The Government have my wholehearted support in putting the next generation first. Our philosophy in the Conservative party is that debt is the most unethical thing of all to leave to the next generation, and I am proud that we continue to pay down the country’s debts; to reduce spending that cannot possibly have the consent of those who are yet to come; and to steer towards a surplus, which will put the public finances in the strongest position for today’s youngest Making it feasible for young people to buy a home or to save in a pension is crucial to intergenerational fairness, which is why I think that the lifetime ISA in this Budget is a positive thing. It should be seen alongside all the other measures that are already helping people in every corner of this country to get their first home. Ultimately, building homes is the most important way to provide homes at a price that can be afforded, and I urge the Chancellor and Housing Ministers to continue to build.
ParlaMint-GB_2016-03-22-commons.u362	With the average pay for somebody on a zero-hours contract at £189 a week, how does the hon. Lady expect them to save in an ISA or buy a house?
ParlaMint-GB_2016-03-22-commons.u363	I make two points to the hon. Gentleman. First, the percentage of people on zero-hours contracts remains about 2.5% of all who are in work. Secondly, as he will know from the small print of the Budget, for every £4 that somebody saves, the Chancellor will put in £1. That means that at the rate that the hon. Gentleman cites, for example, it is possible to consider taking up a savings product It is vital that those who come out of education and skills training have every possible opportunity, which is why the Budget is right to keep up job creation and investment in infrastructure. It is also crucial that we try to represent the values of the next generation. Generation Y —my own generation—and those coming after us value enterprise. Many will set up their own businesses, and many will work in a totally different pattern over their lifetime, so the Budget is smart to turn attention to the growing army of the self-employed. Many of the smallest businesses of all will welcome a drop in their NIC burden.
ParlaMint-GB_2016-03-22-commons.u364	Will my hon. Friend use this opportunity to congratulate the Government on the start-up loans scheme, which has done so much to help young people to go into business and fulfil their entrepreneurial objectives?
ParlaMint-GB_2016-03-22-commons.u365	I certainly will, and I welcome my hon. Friend’s reminder of that. I am sure he will agree with me on my next point, which is that we should also prize the ethical approach to business of many of those entrepreneurs. We should welcome the measures in the Budget that begin to make sense of taxing multinationals in the 21st century. The Government have my full support in ensuring that our tax system demands and gets a fair contribution from companies large and small, domestic and global Let me turn to the welfare measures in the Budget. As is well documented, Generation Y has a sceptical approach to the welfare state, and support for the welfare state has steadily declined by generation. We should therefore remind ourselves of the basic principles of what welfare is for. It is a safety net for when we are unable to look after ourselves, perhaps because of sickness, old age or disability. It is a safety net that we will all need in one way or another, so we all have a responsibility to maintain it. Because we are going to live longer on average than previous generations, we need to make sure it is affordable for the future. We also, of course, expect the richest to pay most. In summary, we need a sensible method of working out who needs most support and how to get it to them I did not support the measures announced in the Budget seeking to reduce support for the disabled through PIP. The manifesto on which I and my hon. Friends stood at the last election made it clear that we would spend less on welfare, but that we would do so by protecting the most vulnerable. I have supported the Government’s welfare reforms since 2010, principally because they put work first. Universal credit puts work first, as does the most recent reform of the rate for those who are on employment and support allowance and can work. In the 21st century, we should not write off people from work and independence; the policy of spending more on helping people to work despite a disability or a health condition is right In some cases, our welfare reforms have been about injustice in other ways, such as in relation to the removal of the spare room subsidy. For example, the pay to stay policy in our current Housing and Planning Bill will relieve taxpayers of subsidising the housing of those who may well earn more than they do, such as, dare I say it, the leader of Norwich City Council. These reforms are about fairness for taxpayers who foot the bill for a benefit they themselves could not expect to enjoy I am in the Chamber today to speak up for many constituents who simply want us to use limited resources to provide properly for those who need support. I helped constituents to record their concerns during the consultation on aids and appliances, and I am very pleased that my right hon. Friend the new Secretary of State for Work and Pensions has stopped that measure. We should protect the disabled and make savings elsewhere Our manifesto clearly pledged us to back pensioners. At some point in the future, however, we will have to look again at universal benefits. As I have said, the welfare state is a safety net, which means that pensioners need a decent income. That is why I wholeheartedly support the triple lock. But it does not necessarily mean that the most well-off pensioners need benefits as well, as my hon. Friend the Member for Peterborough (Mr Jackson) and my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke) have already argued. When others are more in need—and, indeed, when there must be a balance with other generations—is it right to maintain such policies A Mrs Brown recently wrote to the Norwich Evening News letters page: “Excuse me, but as a baby boomer I was…brought up in post-war abject poverty. We got an apple or orange for Christmas...I worked for everything I have. We never had credit and only had anything we could pay for or we went without.” She is of course right. I deeply respect her and all my constituents, from any generation, who have worked hard and done the right thing. I am making an argument for fairness in the future, for helping those who most need it and for balance between the generations
ParlaMint-GB_2016-03-22-commons.u366	It is a pleasure to follow other speakers in this Budget debate There is not a single Member of the House who has not received scores of letters in the past couple of weeks from people deeply concerned by what the Budget proposed on personal independence payments. Let me give the House just one example from my constituency. A woman living in a rural area, about 15 miles from the nearest railway station, was about to lose her Motability vehicle, which she uses to get to work, and she has a pretty severe disability I think it is abhorrent and extraordinary that the changes—we welcome them, whether they be resiled from, U-turned or whatever—have come about because of the internal workings of the Tory party, not because of the requirements of people in the most need and those of disabled people across our country. There is no morality in the way that decision was made, and the Government should hang their head in shame for all that has happened in the past few days On infrastructure, others have noticed—indeed, my hon. Friend the Member for Leeds West (Rachel Reeves) wrote an article about it—that according to latest figures from the National Infrastructure Pipeline, which monitors public and private sector projects of more than £50 million, only 114 of 565 major projects are under construction. In 2013 The Economist published an article entitled “Let’s try to catch up with Mali”, which noted that OECD figures showed how low Britain ranks for infrastructure investment, including for rail, roads, airports and energy The Government now claim, as the Chancellor said, to be opening the door for growth in north Wales, but it is difficult to open a door to anything if people cannot get there. All the rhetoric about a northern powerhouse matters precious little if we do not deal with things such as tackling accident blackspots and single-track highways on both sides of the A483 and A5, or if we do not make it quicker and safer to travel on both sides of the border. We must also start speeding away with HS2 to Crewe, which will transform the economies of north and mid-Wales, and we need more direct trains to London on the Wrexham to Shrewsbury line to take the pressure off the Chester line and give us better connectivity. We should sort out a proper north Wales train infrastructure to Manchester and Liverpool airports, and we should consider what should be happening with 4G. I was intrigued to see astronaut Tim Peake out in space wishing us all a happy St David’s day, because he would not have managed to do that if he had been on a mobile phone in Llandrillo The hon. Member for Norwich North (Chloe Smith) spoke about an ethical dimension for corporate taxation, but one issue that the Government did not consider in the Budget—although they needed to—is the insidious closure of banks across our country. In Wales, 130 bank branches have closed or will close over five years. That is simply unacceptable, and those banks that close their branches are not paying anything back to wider society My final point is about measures on philanthropy or rather the lack of them in the Budget. Gordon Brown introduced millennium gift aid in a previous Budget, and if the right hon. and learned Member for Rushcliffe (Mr Clarke) were here now, he would say how either he or John Major introduced the initial gift aid proposals in 1990. There was no mention of anything to do with philanthropy in this Budget, however, and it is time to consider that issue in greater detail. That might involve the implementation of a gift aid package for text donations, or another look at corporate philanthropy—those are just some of the measures that I am trying to fit into a five-minute speech on a mixed Budget Finally, in my last few seconds, I welcome what the Chancellor said about EU membership. There are three MPs in Denbighshire. I might be the only one who welcomes the stay-in vote, but I do.
ParlaMint-GB_2016-03-22-commons.u367	I am grateful for the opportunity to support this one nation, responsible and pro-enterprise Budget. Tucked among the beautiful Yorkshire dales in my constituency is a thriving community that is built on the jobs provided by our small and medium-sized businesses—businesses such as the Wensleydale Creamery, whose cheese has taken a slice of Yorkshire to kitchen tables around the globe, or Tennants Auctioneers, a fourth-generation family business that is now one of the UK’s largest private auction houses Before I arrived in this place, I spent my career investing around the world in companies such as those, and providing the capital to help them grow. I am delighted that this Budget recognises what my own experience has taught me: for growing SMEs, there are few more important ingredients for success than solid access to finance. Indeed, there are few more important ingredients for our nation’s success than growing SMEs. Small and medium-sized businesses account for more than half of private sector employment. They are responsible for three quarters of the jobs created since the recession. They are also delivering social justice—the unemployed are six times more likely to find work with a smaller company Those companies need the fuel of deep capital markets to power their growth, but despite improvements, it is still not always easy for SMEs to get the funding they need. The challenges they face fall into two distinct categories: debt and equity. For debt finance, companies can go either to banks or to the corporate bond market, but our bond markets are underdeveloped. Europe’s economy is the same size as that of the United States, yet its bond market is only a third as big, which means that our companies are too reliant on banks for their debt needs. Indeed, they are four times more reliant on banks than their American counterparts. At a time when banks are rightly deleveraging, the reality for British companies is that far too many loan applications go without success. There are also problems for companies wishing to access equity finance. Although we are a European leader, the UK’s venture capital market still has room to grow. Adjusted for GDP, the US’s VC market is seven times the size of the UK’s. We also lag behind Sweden, South Africa, Ireland and Israel. That matters because equity is the kind of capital that SMEs need to grow beyond their early stages. Thanks in part to the policies of this Chancellor, our nation has become one of the world’s start-up capitals, but we must now focus our energy on growing those start-ups, for just 3% of British companies manage to expand beyond 10 employees, which is half the success rate of companies in the United States The Government have consistently shown that they understand those challenges, which is why they created the seed enterprise investment scheme, which has helped more than 3,000 companies to raise early-stage finance; why they launched the funding for lending programme to ease credit for SMEs; and why they fund the British Business Bank to power our growing companies.
ParlaMint-GB_2016-03-22-commons.u368	I agree wholeheartedly with my hon. Friend. Getting enough capital, and venture capital in particular, and allowing small businesses to grow, especially those that traditional banking systems do not necessarily support, is key to stimulating more growth in our economy. I very much welcome his comments.
ParlaMint-GB_2016-03-22-commons.u369	I am grateful to my colleague, the Chair of the Select Committee on Environment, Food and Rural Affairs, for those comments. I will go on to some of those points in due course I am delighted that the Budget goes even further to encourage investment in our businesses and our job creators. I am confident that reducing capital gains tax rates together with a brand-new 10% rate for long-term investments in private businesses will unlock millions in much needed funding. From speaking with investors this past week, it is clear that those policies have cut through and generated a fresh wave of enthusiasm for investing in British companies. On debt, I welcome the Budget’s further help for businesses rejected by traditional banks, which will now more easily be able to access alternative providers of finance Whether it is cheesemakers in the Yorkshire dales or FinTech companies in Old Street, the Chancellor has always backed the aspirations of Britain’s growing companies. By continuing to close the tax loopholes that Labour left open, the Budget has another message: Britain is becoming not only the best place to do business, but the fairest place to do business. This is a Budget for the little guy, for a new generation of British ideas, and for a country where the rules do not bend for big balance sheets. It is a responsible, one nation, pro-enterprise Budget that will get our companies the vital funding they need to unleash their potential, and I commend it wholeheartedly to the House.
ParlaMint-GB_2016-03-22-commons.u370	I want to focus on apprenticeships and the levy, which is key to opportunities for young people in Bristol South. I support the 3 million target by 2020. It is an ambitious target but we should be ambitious for our young people. In many ways, Bristol is a booming city, with the highest household income outside London and easily the highest productivity of any big conurbation outside the capital, but apprenticeships are important in Bristol South because, as UCAS tells us, it sends fewer of its young people into higher education than any other constituency. Other opportunities are a lifeline to Bristol South’s young people. Apprenticeships and training are the route to a better future for so many people living in our communities. Although Bristol South is not home to a huge number of large companies, very many small and medium-sized enterprises are based there, owned by and employing local residents. I may disagree with the hon. Member for Richmond (Yorks) (Rishi Sunak), but I am glad he mentioned SMEs. I am particularly interested in the role that they are going to play in the delivery plan for apprenticeships and how the levy is going to work for them Last week, three important interventions emerged and caused me concern. First, the co-chair of the Government’s delivery board confirmed that SMEs will not be in the levy system when it launches, and that only firms paying the levy will have access to the new funding system from April 2017. Secondly, at the FE Week annual apprenticeship conference, we heard from the former Business Secretary about concerns that the levy may in fact be a revenue-raising measure, rather than a genuine one. Thirdly, we saw comments from the Social Mobility and Child Poverty Commission, which was concerned that the number of young apprentices has flatlined since 2010 and that many of these apprenticeships do not offer people a foundation they can build on I would like the Government to guarantee that every penny of the £3 billion this levy is expected to raise will be invested back into improving training and apprenticeships; that SMEs will have their fair share; and that the special and unique opportunities and challenges that SMEs bring to the apprenticeship table will be fully taken into account. How will young people, business, colleges and other training providers in Bristol South be able to access these opportunities? What guarantee can the Government give that my constituency will receive its share The Government plan for apprenticeships seems very much at the drawing board stage, so I am inviting firms in my constituency to help. I have issued an open call to SMEs in Bristol South to set out their ambitions for the shape of apprenticeship schemes over the next decade. I am sure the Government agree that the reaction and responses of employers to the levy will make or break the target. Will the Government therefore please accelerate the publication of the action plan, showing how the target will be met, how the levy will work and other fine details of the grand plan, so that I and others can work in Bristol South, alongside employers, colleges and other training providers, to promote and encourage full engagement An additional key consideration is the number of Bristol South residents who are not yet ready to take up an apprenticeship, so the detail of the Government’s plans for pre-apprenticeship training is of interest. It is essential we ensure that Bristol residents are not blocked from accessing these valuable opportunities because of a lack of existing skills I also have concerns about the realism of the 3 million target by 2020. Do the Government agree that there is a genuine danger that an apparently arbitrary target will risk a dangerous trade-off between quantity and quality? I heard of a call to my constituency office this week about a young person in Bristol South who was on an apprenticeship and was being asked to work from 7 am to 7 pm, with very poor support. That highlights the importance, in driving towards the 3 million target, of not ignoring the quality of that experience and support offered to young people. I also fear that post-19 loans will deter people from accessing training for the skills that employers need, which would have a negative effect on my constituency, so I look forward to reassurances on that from the Minister Earlier today, the Chancellor said to a Conservative Member—I hope he extends this to others—that where constituency MPs raise the issue of vital services for their constituency, this Government are listening In concluding, let me say that for me this is not a party political issue; I make my points in the spirit of co-operation and what is best for the people of Bristol South, who have sent me here to represent their interests. This is key to their ambition and aspiration.
ParlaMint-GB_2016-03-22-commons.u371	Parents in Bedford and Kempston will have wanted a Budget that said, “Yes, we are going to make sure you get a good job. Yes, we are going to make sure you get a decent amount of pay, whatever job you do. Yes, we will make sure you can keep as much of your taxes as possible. And, yes, we will deliver a Budget that will make sure that your children have a better future than you do.” The Chancellor, in his robust performance today, has demonstrated that this Budget can deliver on all those items I was shocked to hear the response from the shadow Chancellor, as he seemed to spend 20 minutes of his speech trying to hold the Chancellor to account for something that the Chancellor is not doing. That shows part of the Labour party’s problem: there is no coherence in its approach to this Government. I would therefore like to provide a bit of coherence in my criticism of one aspect of this Budget—the sugar tax. I do so because it is not what it says it is, it will not raise the taxes ascribed to it and it will not achieve the health benefits that were its original vaunted purpose It is clear that this is not actually a sugar tax. There will be no tax on sugar in cakes, puddings or confectionary. That might be great for food manufacturers, restaurant owners and chefs, but it is not actually a tax on sugar. It is not even a tax on soft drinks, because sugars in milk-based drinks or fruit juices are not covered either. In fact, it appears to be a tax not on sugar, but on five companies: Coca-Cola, Britvic, AG Barr, Nichols Vimto and Lucozade Ribena Suntory. The Government ought to be careful about having very specific taxes targeted on very specific companies, because they will be open to challenge at the Commission or in the courts.
ParlaMint-GB_2016-03-22-commons.u372	My right hon. Friend the Chancellor made it very clear in the Budget that one of the objectives of the so-called sugar tax was to get companies to change their behaviour by making low-sugar drinks rather than full-sugar drinks. I used to drink a lot of full-sugar Vimto, but I now drink no-added-sugar Vimto. Does my hon. Friend accept that that is also one of the aims of the tax?
ParlaMint-GB_2016-03-22-commons.u373	It is bizarre for the Government to attack one of the sectors of British industry that has done the most to innovate and bring in new products, while ignoring other parts of the industry that have not made the same changes. As my hon. Friend rightly says, the core of the issue is the impact on obesity. Office for National Statistics figures show that obesity among adults doubled between 1993 and 2013. The proportion of obese children in 2013 was 9.5%, which was higher than in 2012, but lower than in 2006-07. The products being targeted originate from way before the current obesity issue. Irn-Bru, which is often described as the national drink of Scotland, was introduced in 1901. Robinsons Barley Water was introduced in 1935, and Coca-Cola in 1886 The Government are ignoring the advice of Public Health England which, in its October 2015 report, said that it is not possible to compare the impact of price increases achieved by, for example, the introduction of a tax on sugar sweetened drinks, with other factors, such as the demonstrated effects of marketing on children or the impact of in-store promotions on purchasing habits. Nevertheless, the general tone of the available evidence is that restrictions on marketing and promotions may be more effective than fiscal measures.
ParlaMint-GB_2016-03-22-commons.u374	Does my hon. Friend not think that it would be better for the Government to work with the companies to reduce the amount of sugar in their drinks, rather than bringing in any form of tax? In the end, all we will do is to make it more expensive for poorer people to buy these drinks. That will not necessarily stop them drinking them, whereas if the amount of sugar in them could be reduced, that might have a greater effect on their diet.
ParlaMint-GB_2016-03-22-commons.u375	My hon. Friend, the Chair of the Environment, Food and Rural Affairs Committee, speaks with enormous sense and knowledge. He is, of course, absolutely right. It is much better to engage the industry than arbitrarily to impose a levy, especially one with such great uncertainty. The OBR states: “The tax will operate with a specific revenue target of £500 million for the second year of implementation” It goes on—here is some real Budget gobbledegook—to say: “From a pre-behavioural yield of over £900 million, the behavioural responses lower the yield to around £500 million a year. As a new tax likely to prompt a large behavioural response, these estimates are clearly subject to significant uncertainty.” Well, there we have it—not a clue at all.
ParlaMint-GB_2016-03-22-commons.u376	Surely the two-year lead-in for the sugar levy is the right approach because that tells the manufacturers to reformulate. Surely the future and health of our children are more important than anything else.
ParlaMint-GB_2016-03-22-commons.u377	The health of our children is, of course, extremely important, but, as I said, the sector is already innovating. There have been remarkable reductions in the sugar content of soft drinks compared with what has happened in other sectors, in which there has been no change in the amount of sugar that people consume. There are question marks over whether the levy will have the impact on health it is supposed to achieve. In Mexico, for example, where a sugar tax was recently introduced, the calorie reduction amounted to six calories a day. This regressive measure goes much against the principles that the Chancellor himself rightly outlined as the overarching ethos of the Budget.
ParlaMint-GB_2016-03-22-commons.u378	Does the hon. Gentleman agree that this tax, which has many ambiguities, simply indulges our celebrity chefs and gives them more credence than they deserve?
ParlaMint-GB_2016-03-22-commons.u379	I could not be more delighted to have given way to the hon. Lady, because she is quite right. The sugar tax is a passion of TV chef Mr Jamie Oliver, who is just the latest in a line of celebrities—think of people such as Mr Russell Brand and Mr Benedict Cumberbatch—to use their position to influence public policy. To quote The Independent, the “chief beneficiaries of star-studded attempts to raise the profile of a good cause are the celebrity themselves” Can we have a new levy on policy pronouncements by well-heeled celebrities who sprinkle their fame to dazzle Ministers into ill-thought-through changes? The levy could pay for the unintended consequences for the public of their brief, highly jaundiced opinions. Emma Thompson’s pronouncements alone should secure the defence budget.
ParlaMint-GB_2016-03-22-commons.u380	The Chancellor of the Exchequer’s Budget and the figures reported by the Office for Budget Responsibility—considered by many to be a contradiction in terms—demonstrate yet again the Chancellor’s inability adequately to manage the economy. He has failed on several key economic indicators and missed the targets the Tories have set for themselves. Notably, debt, deficit and borrowing levels are even worse than he promised last autumn Given time constraints, I shall summarily mention a few of the problems with the Budget, before focusing on a concern that has not been adequately covered by others. Page 136 of the OBR forecast shows that inflation is set to rise significantly from its current close-to-zero rate.
ParlaMint-GB_2016-03-22-commons.u381	Does my hon. Friend agree that a sharp rise in inflation can have a negative impact on working households?
