ParlaMint-GB_2016-01-07-commons.u1	2. What steps she is taking to reduce the level of fuel poverty.
ParlaMint-GB_2016-01-07-commons.u371	I am concerned that some Government Members appear to have missed much of the main point of this debate. For clarity, I remind them that the opening line of the motion states: “That this House, while welcoming the equalisation of the state pension age” I do not think anyone is suggesting that there is not an argument to be made for equalising the pension ages of men and women. There are serious long-term pressures that mean that it should be addressed with a degree of urgency. However, there is a fairness argument to be made about the way in which it should be done I, too, have been contacted by a succession of constituents—a succession of women who appreciate that action needs to be taken, but who are exasperated utterly by the continual shifting of the goalposts and the unfairness of not knowing where the finishing line will be, just to mix my sporting metaphors. They do not know when they are likely to be able to retire These women accepted the first change as something that had to happen. Perhaps it would adversely affect them, but they were persuaded that changes needed to take place. I am not claiming that they were delighted, but they did at least accept it. What worries the women I have heard from and women throughout the UK is that the first change proved not to be sufficient, the second came without warning and there is no guarantee or even probability of belief that it will be the final change These are women, as has been mentioned, who worked through times when the working environment for women was far harsher than it is now. They suffered more blatant sexism than is the case for younger women who enter the workplace now.
ParlaMint-GB_2016-01-07-commons.u372	The hon. Lady is making a powerful case about how unfair this situation is. Does she agree that there is a particular unfairness for women born between 1951 and 1953, such as my constituent Catherine Kirby, who will be left worse off on a weekly basis because they will not qualify for the new flat-rate state pension, whereas men will? Does she agree that it would be simple to solve the problem by allowing women in that position to opt for the single-tier pension?
ParlaMint-GB_2016-01-07-commons.u373	The hon. Lady makes an excellent point We are talking about people who were forced to accept being passed over for promotion. Some of them are still fighting for compensation for unequal pay. These people were given scant consideration when pregnancy and motherhood forced them to take time away from the workplace. Surely they deserve a little more consideration from the Government than they have been given so far. It gets more and more difficult for people to pick themselves up and get back into the workplace with the same enthusiasm as they did before if they feel that they are kicked back at every turn. I accept that Baroness Altmann has a track record of campaigning for justice in this field, as has been mentioned. I certainly welcome the fact that we have someone with such a track record as Pensions Minister, but she appears to be a lonely figure in this Government. The pressure that is being applied by the Chancellor and the Prime Minister to drive down public spending means that she can do little on her own. The strange worship of the austerity idol, as I call it, constrains any attempt by any spending Department to deliver anything that might look like fairness or help for the poor and disadvantaged.
ParlaMint-GB_2016-01-07-commons.u374	Does my hon. Friend agree that, given that the Minister in the coalition Government, Steve Webb, indicated that he was aware that not everyone who was affected by the changes was aware of them, the Government must take responsibility for that? Questions must be asked about why women were not more fully informed by the Government and were left in the dark for so long.
ParlaMint-GB_2016-01-07-commons.u375	Absolutely; I agree with my hon. Friend and look forward to the Minister addressing those points when he speaks With the Government’s assault on benefits in full flight, we should remember that pensions and pensioners account for the largest share of benefit spending in the UK and that the Chancellor’s gimlet eye will turn inexorably towards pension provision when the other stones have been bled dry I do not think that any working woman is asking for special treatment on her pension. I certainly do not think that any of the many women who have contacted their MPs with concerns over these changes is a shirker or a scrounger. They simply want a bit of fairness and a sound knowledge of what the future is likely to bring. Women who started their working lives under one set of pension rules look like they may finish their working lives under their third set of pension rules, provided that there are no further changes down the line Providing these women with as much certainty as can be mustered and making sure that they will not lose out financially have to be the watchwords for the Government over these changes. As has been suggested, a gentle transition would be far more in keeping with the need to ensure that we do not exacerbate pensioner poverty or drive more of the most vulnerable members of society into poverty. I urge the Government and the Minister to keep that in mind.
ParlaMint-GB_2016-01-07-commons.u376	I congratulate my hon. Friend the Member for Paisley and Renfrewshire South (Mhairi Black) on securing this important debate and on moving the motion with such an impassioned, articulate and typically powerful speech. I also pay tribute to the hon. Member for Worsley and Eccles South (Barbara Keeley) for her speech and for being a co-signatory to the motion. I pay tribute to my hon. Friends the Members for Kirkcaldy and Cowdenbeath (Roger Mullin) and for Ross, Skye and Lochaber (Ian Blackford), who have consistently and effectively raised this issue since their election in May By the same token, I must pay tribute to the Women Against State Pension Inequality and their campaign to urge the Government to make fair transitional state pension arrangements for women born after 6 April 1951. In particular, it is important to show our appreciation to Anne Keen, who first raised the petition on this issue after receiving a letter from the DWP which said that her expected retirement age had been increased. Far from getting 15 or indeed five years’ notice, she was notified only 18 months before her 60th birthday. What an absolute scandal and disgrace. Last night the petition had more than 107,000 signatures. I imagine that it is now approaching 108,000. That is testimony to all those who have worked so hard to bring this matter to the Government’s attention, including constituents of mine in Airdrie and Shotts Unashamedly, the Government are shifting the goalposts at very short notice for hard-working women—women who have gone to work, bettered our industries, raised children and supported families, but who have not had equal employment opportunities, access to independent pension funds or the opportunities that we have today. These women who have made enormous contributions to our society for the betterment of us all will see their retirement age rise without fair or proper notice.
ParlaMint-GB_2016-01-07-commons.u377	Does my hon. Friend agree that the Minister must come to the Dispatch Box and give an explanation to my constituents in Livingston, some of whom retired and finished their employment before they had even heard the news and many of whom did not have time to prepare or save before the news was upon them?
ParlaMint-GB_2016-01-07-commons.u378	I wholeheartedly agree. Sadly, those are typical stories that have played out across the Chamber today. It is this simple but dramatic injustice that is so galling The simple truth is that women born in the 1950s will be disproportionately burdened by the Government’s plan for many reasons, not least because men of the same age are and have long been in a better position to offset at least part of the loss through savings or a private defined contribution pension scheme The Pensions Policy Institute, in its submission to the Work and Pensions Committee on the Government’s pension reforms, emphasised that point by illustrating that only 65% of women in the 55 to 59 age range are economically active compared with around 76% of men. The gap is even greater among those in the 60 to 64 age bracket: 34% of women are currently economically active compared with 54% of men.
ParlaMint-GB_2016-01-07-commons.u379	My hon. Friend is making some excellent points. Does he agree that some Government Members seem not to recognise the sense of injustice and grievance that exists among women born in the mid-1950s, such as my constituents Andrea Gregory and Wilma Robertson, who have worked all their lives, paid all their taxes and had their retirement postponed by the state not once, but twice? The word that they use is “robbery”. They feel that they are being made to pay for a financial crisis that was not of their making.
ParlaMint-GB_2016-01-07-commons.u380	I wholeheartedly agree. There have been some noteworthy speeches from Government Members, but some that have sadly not met the same standard. I hope that the Minister will show some contrition and introduce transitional arrangements. Many women who have had their retirement plans shattered will be forced, through no fault of their own, to accept zero-hours contracts—temporary and low paid contracts that offer no financial security and poor return for their labour when, relatively recently, they expected to be enjoying a hard-earned retirement. Little, if any, thought has been given to the many women who care for their grandchildren or elderly relatives. It is not always possible to return to work in those circumstances and at this time in their lives I, my SNP colleagues and many other hon. Members of all parties agree with the reasons for the equalisation of the state pension age. However, the increased speed of the plans, with poor notice and no transition arrangements, is of great concern. The Government are betraying women and I am worried that there will be further undue hardship if they do not address the blatantly evident inequality. Not transitioning appears to be another example of the Government making cuts in pursuit of their budget surplus holy grail, with no consideration of the impact The Government must take some responsibility for their failure not to notify and fully prepare women for a longer wait. That means bringing forward the transitional protection and righting the injustice for those already and those set to be affected. I hope that today we will not get the same complacent ministerial reply that we heard to the recent Westminster Hall debate in which I was involved The Government are being warned today that the campaign will not go away. The women in the WASPI campaign will fight this all the way, and will be supported wholeheartedly by my SNP colleagues and by Labour Members. The Government need to sort the matter out with the same speed with which they delivered tax cuts for the rich when they got the opportunity, or they will forever be remembered for their betrayal of pensioners, particularly female pensioners.
ParlaMint-GB_2016-01-07-commons.u381	Order. I am sorry to say that I will have to drop the speech limit to three minutes and ask Members to keep interventions to an absolute minimum so that we can wind up in time.
ParlaMint-GB_2016-01-07-commons.u382	It is a pleasure to take part in this Backbench Business Committee debate. I commend the hon. Member for Paisley and Renfrewshire South (Mhairi Black) for her opening remarks and pay tribute to the WASPI campaign, particularly to Marion and Anne and all the other ladies who helped campaign on this important issue. I have worked long and hard with them over the past few months. We have had meetings with my hon. Friends the Members for Worsley and Eccles South (Barbara Keeley) and for Torfaen (Nick Thomas-Symonds). I lobbied my constituents with the WASPI group in Morrisons in Denton recently and I think that I was the first in this Parliament to raise the issue at Prime Minister’s Question Time. I am therefore glad that the subject has been brought to the Floor of the House for a full debate. A very real injustice has been done to this group of women born in the 1950s. We can go through the history again: there have been two changes to their state pension age and, if that were not bad enough, the real injustice has been the acceleration of the process, which has left many women who were not expecting the changes having to make alternative arrangements. When it came to the private pensions of Members of Parliament, those within 10 years of their normal state pension age could remain on the old scheme, but the group of women we are considering have had no chance to put in place their alternative arrangements.
ParlaMint-GB_2016-01-07-commons.u383	Government Members have asked Opposition Members for our transitional arrangement suggestions. I made some. I gave examples from other countries: some have bridge pensions while others look after people who are made redundant. It is up to the Government, who have made the £30 billion pension grab, to come up with ideas.
ParlaMint-GB_2016-01-07-commons.u384	My hon. Friend is right. When the Pensions Act 2011 was debated in the House of the Commons, the current Secretary of State said, “but we will consider transitional arrangements.”—[Official Report, 20 June 2011; Vol. 530, c. 52.] Where are they? Those ladies are still waiting. It is about time the Secretary of State came to the Dispatch Box and set out those transitional arrangements, because those women cannot wait forever We have already had the first U-turn from the former Pensions Minister, who said that he was not properly briefed. That says a lot about the calibre of Liberal Democrat Ministers in the former coalition Government. Now we have a Pensions Minister in the other place, who was a champion for those ladies until she took the Queen’s shilling. She now says that she cannot do anything about it. What utter nonsense. What is the point of having a Minister if she cannot do anything about it? It is time that Ministers in the Department for Work and Pensions got off their backsides and did something to help those women Following on from my hon. Friend the Member for Swansea East (Carolyn Harris), I will give the Minister some friendly advice. I appreciate that it is not his area of responsibility but that of the noble Lady at the other end of the building who speaks on pensions. My hon. Friend likened the WASPI ladies to wasps. Wasps can be pests and nuisances. They cannot easily be bashed away and, when that happens, they get angry and come back. If they are really annoyed, they sting and, unlike bees, they can sting more than once. Let us have some justice for these ladies; it is long overdue.
ParlaMint-GB_2016-01-07-commons.u385	I congratulate my hon. Friend the Member for Paisley and Renfrewshire South (Mhairi Black) on bringing this debate to the House through the Backbench Business Committee, and on opening it so powerfully From my experience of meeting my constituents at surgeries, I have learned of women affected by this cack-handed change by the Government who are living in damp housing, unable to afford the necessary housing repairs, and I have heard harrowing stories of marriages breaking up due to the financial pressures forced on them through no fault of their own. During my research on the issue, I met WASPI and I thank them for not only meeting me and my hon. Friend the Member for Kilmarnock and Loudoun (Alan Brown), but for their tireless work in campaigning to right this injustice. WASPI has expressed several concerns about the implementation of the 1995 and 2011 Pensions Acts, mainly, although not exclusively, about communication and timescales.
ParlaMint-GB_2016-01-07-commons.u386	Does my hon. Friend agree that it is ridiculous that women should have such short notice, or no notice? One of my constituents found out that she had an extra six years to wait not through a letter from the Government but from her insurance salesman.
ParlaMint-GB_2016-01-07-commons.u387	I could not agree more. I have received an email in the past hour from a constituent who turned 60 in March and was not aware of the changes and is coming to meet me tomorrow at a surgery. The problem is still going on My shorter contribution to the debate will centre on fairness. I believe that it is fair that both sexes will receive their state pension at the same age, but the rapid rise in the age of eligibility for the state pension has been unfair for hard-working men and women who have paid into a system all their lives in good faith.
ParlaMint-GB_2016-01-07-commons.u388	Does my hon. Friend agree that the changes to the state pension mean that women are finding out that retirement is four, five and six years further away than they thought and that that not only leads to financial difficulties but is cruel and heartless? It happens in the context of a lifetime of low pay and inequality faced by far too many women.
ParlaMint-GB_2016-01-07-commons.u389	I am pleased my hon. Friend has made that point for me. Given the time limit, I had to delete that section of my speech Hard-working men and women have paid into the system expecting, in good faith, the state to help to support their retirement. The combination of equalisation and increasing the pension age has been devastating for some women As I have said, WASPI has no problems with the principle of the policy; rather, it has problems with its implementation. These rapid and rushed changes have had a significant impact on a large group of women: 2.6 million women, if we accept the Department for Work and Pensions estimates. The changes have meant that some women may have to wait an additional six years to receive a state pension. From the first day of their working lives, these women have been advised to plan accordingly. At the very last minute, the Government have altered the plans that these women have had for years. This, in essence, is why the women affected feel deeply aggrieved and betrayed by the actions of subsequent Governments The Secretary of State for Work and Pensions, in answer to my written question on the communication of the changes to the pension age entitlement, replied that the DWP wrote to all individuals directly affected to inform them of the changes to their state pension age. However, from speaking to WASPI and local constituents this does not appear to have happened on the scale or to the degree that the Secretary of State indicated. I have spoken with women affected. They have said they received the DWP letter far too late, with only a few months’ notice of the increase in the pension age. I have also heard of letters sent to wrong addresses. In one case, unfortunately, a constituent who came to my surgery—another is coming in tomorrow—had no knowledge whatever of the changes It has come to light that the UK Government informed a large number of women affected only 14 years after the changes were made.
ParlaMint-GB_2016-01-07-commons.u390	Does my hon. Friend agree that there has almost been some maladministration? I have just heard from my constituent, Susan Casey, who received a letter when she turned 50 to say that her retirement age would be in 2014. She was born in 1954. It is most unfair not only that she has been losing out, but that she has been misinformed.
ParlaMint-GB_2016-01-07-commons.u391	Absolutely. This seems to have happened to a whole a catalogue of women. It is an absolute disgrace We encourage individuals to plan for the future, but if during their working lives the Government make changes to the state pension, it is only appropriate and fair that the Government communicate them adequately to allow people to re-plan financially for their retirement. I phoned one of my constituents yesterday and asked her how she would like the Government to respond to this issue. Her request was simple: she wants the Government to accept that they made a mistake with how hard and how fast the changes were introduced. That should not be a difficult concession for the Government to make, as the previous Pensions Minister himself has already accepted that mistakes were made It is important for the Government to learn from the mistakes they have made and to review how the changes were introduced. We need clearer channels of communication between the DWP and individuals when it comes to pensions. I hear all too often that the information the DWP sends out is confusing and unclear. I would ask that the current Government sit down with WASPI and consider ameliorating some of the financial stress that the changes have brought, and perhaps extend the timeframe We know the problem. We cannot sit idly by and allow cack-handed policy implementation from subsequent UK Governments to devastate the lives of so many people who have worked so hard for so long. The Government cannot shirk their obligations. They must accept responsibility, apologise and correct this as a matter of urgency. Ignorance will simply not suffice.
ParlaMint-GB_2016-01-07-commons.u392	I just remind hon. Members that nine more people wish to catch my eye and we need to start wind-ups at a quarter past 2. If people insist on taking more interventions, as they are doing, there will be those who will not be called to speak. With that in mind, I call Philippa Whitford.
ParlaMint-GB_2016-01-07-commons.u393	A lot of the issues have already been covered. The issue of equalisation is totally accepted, but in response to a Government Member who is no longer in his place I should say that we did point out that the life expectancy increase is not equal. In parts of Scotland we have huge differences in life expectancy, which relates to wealth, in particular. Women who are lower paid, who are unlikely to have a decent pension, who have no chance of having any other kind of pension are exactly the ones who do not get this extended life expectancy We also heard from a Government Member that women were definitely written to and that maybe they chose to ignore it. However, we know from FOI 3231 that the information campaign was from 2009 to 2013; in other words, 14 years later. I am sad to challenge Labour Members, but the DWP in 2004, under a Labour Government, recognised from its survey that only 46% of women knew what was coming. For most of these women it is not an extension of a year or 18 months; it is literally a change from 60 to 66.
ParlaMint-GB_2016-01-07-commons.u394	One of my constituents from Strathaven contacted me this week to say that she had only heard about the changes through word of mouth and a web search. At 59, the Government website suggested she could retire at 62. That was then changed and put up to 64-and-a-half. The changes are unfair because they penalise people at the later stages, when they cannot make alternative arrangements.
ParlaMint-GB_2016-01-07-commons.u395	We have heard from right across the Chamber about the lack of communication and the acceleration of the age extension, and the fact that women could do nothing about it. This is built on a generation of women who had a lifetime of poor pay. We need to think about that going forward Auto-enrolment does not cover the modern worker who has multiple mini-jobs, as they are called. Their combined earnings are not considered. We will therefore have another pension debate in another 30 years about the people who have been left with no pension because of current approaches to work. We know that the derived pension benefit from their husbands is not counted. We know that only 22% of women who retire this year will qualify for the full flat-rate pension. This is just unacceptable. We are talking about women who are often unemployed at 60. They are facing jobseeker’s allowance and multiple job applications. They do not qualify for free transport here in England, free prescriptions or any other benefits, such as cold weather fuel payments. For these women, this is a multiple and accelerating problem We have been asked by those on the Government Benches—they are now horrifically empty for such an important debate—to come up with a solution. I understand that HMRC is looking at the higher rate of pension relief, which may claw back £45 billion. That more than covers the £30 billion, which we are told would cover full transitional arrangements. High level tax relief is for the wealthiest people, those who this week, the first proper working week of the year, have already earned more than the average wage. Three-quarters of them are men. The route we should be following is to take away money that goes to people who probably, despite their long life expectancy, will not live long enough to spend it, and share it more equally with women who have been very badly treated. This is an issue of fairness and the Government have a responsibility to deal with it.
ParlaMint-GB_2016-01-07-commons.u396	I congratulate my hon. Friend the Member for Paisley and Renfrewshire South (Mhairi Black) on bringing this important issue to the House today and thank her for articulating this inequality so passionately. I am glad that Women Against State Pension Inequality is holding us to account, in spite of the problems I understand it has had in reaching some MPs This is a concern for millions of people across the UK, one that continues to gain momentum as the impact on women’s lives looms larger. It is important to stress that Plaid Cymru supports the principle of equalising the state pension age. I note that Lloyd George, who brought in the original state pension, represented part of my constituency There is no reason why a woman should be expected to retire earlier than a man. Originally, it was put in place to reflect the age at which husbands retired and the discrepancy between the ages of husbands and their wives. That is not appropriate in an age of modern equality I speak today in opposition not to the purpose of equalisation but to the process. The accelerated timetable simply does not give women sufficient time to prepare for retirement I want to concentrate on the situation in Wales. The Government claim to be making the changes in response to an increase in life expectancy, but both life experience and life expectancy vary significantly depending on which part of the UK we look at. Unfortunately, this means that Wales will be hit particularly hard by the changes. For example, a new-born baby could expect to live to the age of 87 in parts of England, but just 76 in parts of Wales. At 71.4% of the UK average, income per head in Wales is the lowest in all the UK nations and regions. The average gross salary for a Welshman is £25,200, but a woman in Wales earns on average just £20,500—a fact that this Government and the Welsh Government should be ashamed of I reiterate that Plaid Cymru welcomes the equal treatment of women with regard to the state pension age, but this also requires the equal treatment of women in other spheres, such as the workplace, earnings and life opportunities. The UK Government are keen to push ahead with the former as a way to cut social protection budgets, but they are doing precious little fully to secure the latter. I urge the Government to phase in the equalisation of the state pension age over a longer timeframe to give women nearing retirement adequate time to prepare. The current timeframe is too fast and will cause undue hardship. These women cannot go back and live their lives again, and they deserve better treatment from the Government. I urge them to rethink. In a case of such fundamental inequality, and given that these people vote, none of us can afford not to consider this matter in detail and to end this inequality.
ParlaMint-GB_2016-01-07-commons.u397	I congratulate the hon. Member for Paisley and Renfrewshire South (Mhairi Black) and my hon. Friend the Member for Worsley and Eccles South (Barbara Keeley) on introducing this important motion. The hon. Lady spoke with passion and force and characterised the problem facing many women born in the 1950s throughout Britain and Northern Ireland who are now faced with decisions they did not think they would have to make in such an accelerated fashion. Many of them are in receipt of, or have been in receipt of, low pay and undertake onerous and strenuous jobs in caring professions—for example, as nurses or home helps providing care within their own families to ageing parents. This places an additional strain on their health, yet, despite that burden, they will, because of this pensions ordeal, have to work for longer and for a smaller pension Women in my constituency, many of whom are associated with the WASPI campaign, which I congratulate, will be affected by these changes, because of the mirror legislation passed by the Northern Ireland Assembly. The equalisation of the state pension age is, in principle, to be welcomed, but it would be better if this symbol of gender equality was accompanied by transitional protections to ensure that women do not lose out. I recognise that, as life expectancy increases and many people stay in education longer before entering employment, the pension system must adapt. However, women in lower-paid work—home helps and carers, for example—and more physically straining jobs might not necessarily enjoy such an increase in life expectancy, yet they are the people likely to suffer most as a result of these changes, without being given adequate time to prepare That injustice and unfairness is the issue the Government need to address now. The previous coalition Government failed to recognise it, and instead wanted ordinary women to pay for a financial crisis they had nothing to do with. The responsibility for it should not lie at the door of women born in the early 1950s, yet they will be expected to work for longer and for a smaller pension than that which they had expected and planned for. They did not plan for this because they did not realise it was happening.
ParlaMint-GB_2016-01-07-commons.u398	I congratulate my hon. Friend the Member for Paisley and Renfrewshire South (Mhairi Black) on securing this important debate No one today has disagreed with the concept of equalisation. To bring the pension age for men and women into line promotes the sort of gender equality I have campaigned for, but the way the changes have been implemented amounts to an injustice for women, in the form of a faster roll-out than promised; little or no notice of changes; and no time for women to make alternate arrangements.
ParlaMint-GB_2016-01-07-commons.u399	Is this not the 10th major change in these women’s working lifetimes and by far the worst and the one that impacts on them the most?
ParlaMint-GB_2016-01-07-commons.u400	Absolutely. If there had been more women in the House over the years, perhaps those changes would not have taken place Many women expecting to start drawing their state pensions only found out in 2011 that they would face a delay. I acknowledge the hard work of WASPI and its vociferous approach to ensuring the matter is addressed. These women have experienced at first hand the consequences of the Government’s failure to provide timely and appropriate communication when implementing significant policy changes. The facts are simple: these women were not given sufficient notice. In fact, the Government did not actively inform any women for 14 years. That is simply not sufficient. The Work and Pensions Select Committee suggested 10 years, and even the Chancellor acknowledged in the spending review that 10 years’ notice must be given in the future. To me, that sounds like an admission of guilt and something the Government must address. They know they have short-changed these women and that they must take action. They must now face up to that truth In my time as an MP, I have been contacted by many female constituents. I was contacted by a lady from Carnwath who was born in 1956 and began working for the local council in 1978. The age of retirement impacted on her choice of career and mortgage. She could have been better prepared for her retirement had she been given adequate notice. Another constituent told me she had worked for the NHS for 42 years and had retired last May. With one year’s notice, she was informed that she would no longer receive the state pension, and she has since taken on part-time employment to fill the gap. That is simply unacceptable Similar themes have emerged in all my conversations with constituents: women working hard and earning less than men but still not having their contribution to society recognised by the Government. I am sure that many of my colleagues on the Women and Equalities Committee, who would have been here today had it not been for a Committee visit, would have echoed the same sentiments from the Conservative Benches. Sadly, their colleagues have failed them in that regard. I must also highlight the submissions to the Committee’s inquiry into the long-term effect of the gender pay gap and the impact of low-paid work on women Such sentiments are echoed throughout all constituencies across the country. There are women in every constituency who have signed the petition calling on the Government to take action. The way the changes have been implemented is unfair. The women affected have spent years paying into the system and rightly expect that to see them through their retirement. We owe it to them to make fair transitional state pension arrangements for women born in and after the 1950s. I hope the Government will heed these remarks.
ParlaMint-GB_2016-01-07-commons.u401	I want briefly to talk about the situation of two women who have contacted me. The first was born in July 1953 and expected to retire at 60. This initially increased to 62 years and three months. She had no problem with that because she had been given plenty of notice and agreed with the gradual move towards equality of retirement age for men and women. Then, of course, with no warning, the retirement age was increased, so she now has to wait until she is 64 before she gets her higher state pension. The injustice is in the way it has been done—on a sliding scale—which means that some people in her class at school will get their pensions almost two years before her, despite their having worked for the same length of time and the same number of pension years. My constituent is still working but says she is fortunate because she has a good civil service pension. She is deeply concerned, however, that many other women rely on their state pension and now find they have to wait for many more years to get it, as discussed this afternoon. Another constituent of mine is in that unfortunate position. She worked for 20 years as a secretary, and although the male workers in the company were automatically enrolled in the company pension scheme, women were not. It was very different for women in those days. My constituent has arthritis and is continuing to work as a cleaner because she simply cannot afford not to. She also agrees with pension reform to equalise the retirement age. That is not a problem for women; it is the way it is being done that is so very upsetting. Younger women have had to time to adjust to, and plan for, these retirement dates and the changes. Women such as my constituent, however, do not have that opportunity I am willing to give the Government the benefit of the doubt and say that perhaps they did not understand just how many women would be affected. I can accept that, but what I cannot get my head around is why they are refusing to look at it again. To me, this is simply callous. You know so many women are being affected; you could look again; you could listen; you could change things—[Interruption.] Apologies, Madam Deputy Speaker I ask the Government to look again at the people who have been disproportionately affected. They should listen to what those people are saying and get up and do something to help.
ParlaMint-GB_2016-01-07-commons.u402	Happy new year, Madam Deputy Speaker, although the people I really hope have a happy one are the women who have been suffering under this injustice for too long On 20 June 2011, the Secretary of State for Work and Pensions advised MPs during a debate on the Pensions Act 2011 that he would be considering “transitional arrangements” to provide assistance to the worst-affected women, yet later that year, only completely inadequate transitional arrangements were accepted. In the same 2011 debate, the Hansard record reveals that although concern was expressed by many Members, the extent of the problems, not least the lack of effective communications, support and the transition, was not as well understood as, thanks to the WASPI ladies, it is today Today gives us an opportunity to begin to set the record straight and to give the Government the chance to right a wrong. Much more recently, on 24 January 2014, Ros Altmann, now the ennobled Baroness who has become the pensions Minister wrote: “Women in their late fifties or more today have been the most disadvantaged by the UK pension system”, and she also pointed out: “For years, women have been the second class citizens in both state and private pensions. This particularly affects women already in their late 50s...Women…typically…earn less than men when they are working, once again leaving them with less chance to save for a pension and leaving them with lower state pensions as they lose out on the earnings-related element of the system.” Let us recall, too, that women born in the 1950s did not have the same breadth of employment opportunity as men. In the early years of employment, it was still legal to ban women from joining private pension schemes if they married or worked part time. Women were encouraged to pay the married women’s stamp, which meant they accrued no state pension rights at all, and the state pension system did not credit them if they worked full time raising a family. In other words, the pension system was designed by men, for men Thousands of women are now struggling to fill the gap before they have access to their state pension, and no adequate impact assessment has been undertaken by the Government. They have simply left these women to get on with it. Some are planning to use up what savings they have, and others who may have very small private pension pots are choosing to pull them all down to help fill a gap that is the creation of this Government. The Government must act.
ParlaMint-GB_2016-01-07-commons.u403	I want to pay tribute to the WASPI campaigning group, a group of non-political women who have come together to demonstrate and raise awareness of the serious issues involved. They had to resort to freedom-of-information requests to hold Government Departments to account, and these demonstrated the lack of communication about the Pensions Act 1995. What that group said, what we have heard today and what we hear from our constituents is how the combination of the 1995 and 2011 Pensions Acts is shattering people’s lives Some women have spent their whole lives planning to retire at 60 and they now find that they might have to work an extra five or six years. Nobody here can imagine the impact and the stress that this could wreak on family life. Some women have already retired on the basis that they would have enough income to get by until they reached what they thought was going to be the state pension age of 60. These include women who have been out of the workplace for up to five years and now find themselves in the position of having to find employment again. This is difficult enough when they have been out of the workplace, but it is further compounded by the austerity measures in the public sector. Some of these women had financial advisers and took early retirement, but their advisers did not tell them about the impact of the 1995 Act One of my constituents was made redundant from the civil service, which allowed her to care for her husband, who has now sadly passed away. Now she has discovered that she needs to get back in the workplace for a further five years. How is she going to do that at the age of 60, bearing in mind that only 34% of women in the 60 to 64 age range are economically active? Another constituent has been lucky enough to get back into work, but she feels that having to pay national insurance again while she is working these extra years rubs salt in the wounds. Another constituent, Jan Buchanan, simply says she has been robbed of over £30,000 Another aspect of the excellent information gathered by the WASPI group is its submission and recommendations on how the Government should communicate with people in future about their pensions and how to make financial information and its impact clearer. I recommend that the Government take that on board We have heard that the previous Pensions Minister now admits that acceleration in 2011 was a mistake, but he has taken the easy option of blaming the civil service and the Tories. I do not think that is acceptable either. Two months ago, the Chancellor found £27 billion pounds and as we have already heard, money could be found for bombing Syria and £5 billion has already been wasted on the development of the future Trident programme This Government continue to tell us that they take pride in being able to take tough decisions. We will give them an open goal and an easy decision—they should change their minds on the transitional arrangements and help these people whose lives have potentially been ruined.
ParlaMint-GB_2016-01-07-commons.u404	I am grateful for the opportunity to speak on behalf of the Democratic Unionist party, and I shall put forward a viewpoint that expresses the concerns that many Members have already raised. I congratulate the hon. Member for Paisley and Renfrewshire South (Mhairi Black) on setting the scene so passionately and in such a well-focused manner A large group of women born in the mid-1950s have had their entitlement to a state pension fundamentally altered by the last Government. Instead of being entitled to their state pension at 60 as they had expected and planned for during their entire life, they now do not qualify at all until the age of 66. Equalising the state pension age is a good move for gender equality in the long term, but in common with many other Members, I have been inundated with messages from constituents who are concerned that their whole life’s plans are going to be thrown up in the air by these unplanned and unexpected changes The Office for National Statistics has released research showing that women born in 2064 can expect to live for 100 years. That statement shows that the long-term reform of the pension age is necessary, and statistics on issues other than our ageing population also reinforce that. However, thousands of women across my constituency will be affected by these changes and the publicising of their impact has not been adequate. Thousands of women might not even be aware of these changes, which could have a drastic impact on their lives Margaret from my Strangford constituency wrote to me with a heartfelt plea, which I am sure echoes the views of many women across the whole of Strangford, Northern Ireland and the rest of the United Kingdom. She says: “The stress I feel at times is awful. I thought that at this stage in my life I would have time for the ‘me’ things in life. Women my age have worked hard, we were the generation of the working wife and mother. We are, at this age, the generation of looking after grandchildren and ageing parents. We were given very little time to prepare for this extended retirement age…I feel this latest update in retirement age is unfair as all the plans I had disappeared.” She underlines the point by saying: “I was told several years ago that retirement age would be 62 so I had set that as a target for my future plans. Then 18 months ago I am informed that the retirement age was upped to 66. How could our own Government treat us this way?” I ask the Minister to answer that question of how the Government could let such people down so badly It is important to give consideration to the fact that women who are going to be affected by these changes grew up and worked in a time when income inequality was still rife. The women affected were in the workplace in environments drastically different from today’s. They had none of the advantages young women have today in a more equal professional and working environment. The DWP issues state pension forecasts to working-age people who had not received any type of forecast in the preceding 12 months. Despite this being issued after equalisation was agreed, the letter made no reference whatever to the changes. The opportunity to communicate the changes to affected women early and clearly has been missed, but it is not too late, even today, for the Minister to say that it is possible to make a difference, and to make the process much easier for those women. We need a coherent Government strategy, and we need it to be implemented as soon as possible to assist the women who are affected by these changes through no fault of their own.
