ParlaMint-GB_2016-03-10-commons.u1	1. What steps his Department is taking to implement its road investment strategy.
ParlaMint-GB_2016-03-10-commons.u354	I, too, welcome the great progress that has been made on apprenticeships to date and the overall positive tone from across the parties in support of them. The Minister mentioned broadening out apprenticeships. Can he tell me what progress has been made in encouraging apprenticeships in highly seasonal industries, such as farming and tourism?
ParlaMint-GB_2016-03-10-commons.u355	I am grateful to my hon. Friend for that question, not least because I have been working with him and others on the possibility of establishing a pilot. Our minimum requirement that an apprenticeship has to last 12 months poses problems for very seasonal businesses, which will employ people for perhaps six or nine months, but not a continuous 12-month period. With the tourism industry, in which he is particularly interested, we are looking at establishing a pilot whereby an apprentice may be employed for 12 months out of a 15-month period. Hopefully, such an approach would encourage more apprenticeships in that and other sectors.
ParlaMint-GB_2016-03-10-commons.u356	When the contracts were agreed for the £97 million Titanic signature project in east Belfast 10 years ago, social contracts and clauses for apprenticeships were novel—and welcome—but it quickly became increasingly clear that while the developer was happy to satisfy the required number of apprentices, it did nothing to sustain them. When apprentices became less inclined to remain in their apprenticeships or fell away, their numbers were not refilled, so the end result was that the apprenticeships were not completed as promised. How will the Minister ensure that, although an apprenticeship must last 12 months, those who enter the system go through and complete the process?
ParlaMint-GB_2016-03-10-commons.u357	The hon. Gentleman raises an important concern. The truth is that most industries are telling us that they have a huge skills need, so unless an employer loses a big contract or does not find a new contract to replace one that comes to an end, it is relatively unlikely that they would want to lose an apprentice in whom they had invested quite a lot of training. Most apprentices do not reach their maximum productivity until after they complete their apprenticeship. I am hopeful that employers, and particularly those that are paying the levy every year, will want to create apprenticeships and invest in them, because they will want to use these skills for the long term.
ParlaMint-GB_2016-03-10-commons.u358	Bristol South sends the fewest young people to university in the country, so I view apprenticeships as the key to aspiration and share the Minister’s evangelicalism. On his way back from Taunton in the west country, if he wants to stop off in Bristol South to see some of the work that we are doing, he will be most welcome Yesterday I asked the Prime Minister whether he had a delivery plan or was making up the policy as he went along; others have described it as iterative and agile. We await the details of the levy, of how the targets will work in practice, and of how colleges and other providers will be supported in their important work. Given that there is a desire to speak with one voice across the House on this subject, will the Minister please say a little more about when the delivery plan will be forthcoming?
ParlaMint-GB_2016-03-10-commons.u359	The hon. Lady is right that we have many questions to answer, because we are making substantial policy interventions to try to ensure that we meet our targets for both numbers and quality. If those questions are not fully answered in April, I will be severely disappointed.
ParlaMint-GB_2016-03-10-commons.u360	The Government are doing fantastic work in promoting apprenticeships. The Minister has been supportive in my constituency, having visited apprenticeship providers in the area, and he is welcome to come back. I am facilitating a meeting with local businesses to set the ambitious target of creating 50 new apprenticeships in 50 days. Apprenticeships represent a fantastic opportunity for young people to earn while they learn and make it far more likely that they will secure future employment. Will the Minister support me in my ambitious plan to get more people into good apprenticeships locally?
ParlaMint-GB_2016-03-10-commons.u361	I congratulate my hon. Friend on embracing the cause and on setting herself and local businesses the target of creating 50 new apprenticeships in 50 days, which will be of vast benefit to the people of Morley and Outwood.
ParlaMint-GB_2016-03-10-commons.u362	I am probably fairly unusual in this place in that I am a former apprentice. Indeed, I am now also a current apprentice, along with some of my new colleagues. I therefore welcome the Government’s commitment to creating another 3 million apprenticeships during this Parliament, in addition to the 2 million created in the previous Parliament. Businesses in my constituency are doing their bit. Will the Minister join me in congratulating and thanking some of the businesses that are creating opportunities for my constituents, such as Redroofs nursery, Rosegarth nursery, the Royal Southampton Yacht Club, and Crest Nicholson?
ParlaMint-GB_2016-03-10-commons.u363	I am delighted to do that. My hon. Friend’s list included a house builder, which gives me the opportunity to point out that there are some fantastic apprenticeships at all levels of construction—not only bricklaying and site carpentry, but project management, architecture and the like—as well as in childcare and a whole range of industries. Apprenticeships are a solution to almost every skills need.
ParlaMint-GB_2016-03-10-commons.u364	Finally, I call Mims Davies.
ParlaMint-GB_2016-03-10-commons.u365	Thank you, Madam Deputy Speaker—and then there was one I welcome the Minister’s statement ahead of National Apprenticeship Week. Does he agree that it is vital that we encourage the participation of young women in traditionally male-focused apprenticeships? Will he join me in commending the 800 employers that are already working with Eastleigh College, which we have both visited and where I will be this evening? Such businesses are employing talented young women such as Maisie, who visited Parliament this week and is undertaking an advanced apprenticeship in construction and the built environment.
ParlaMint-GB_2016-03-10-commons.u366	That is a great note to end on: a young woman who has decided that the opportunities for her future career lie in the construction industry and an advanced set of skills. Last week, when I visited Doosan Babcock, I was introduced to two young apprentice riggers who were moving unbelievably heavy pieces of power plant equipment, and both those young women were absolutely delighted with what they were doing.
ParlaMint-GB_2016-03-10-commons.u367	I thank the Minister for his evangelical statement
ParlaMint-GB_2016-03-10-commons.u368	I beg to move amendment 1, page 1, line 10, leave out “First Minister and the deputy First Minister acting jointly have” and insert “Northern Ireland Policing Board has” This amendment provides for two members of the Independent Reporting Commission to be appointed by the Northern Ireland Policing Board instead of jointly by the First Minister and deputy First Minister.
ParlaMint-GB_2016-03-10-commons.u369	With this it will be convenient to discuss the following: Amendment 7, page 1, line 10, leave out “First Minister and the deputy First Minister acting jointly have” and insert “The Justice Minister, after consultation with the First Ministers and subject to the approval of the Executive Committee, has” This amendment provides for two members of the Independent Reporting Commission to be appointed by the Northern Ireland Justice Minister following consultation with the First Ministers, subject to the approval of the Executive Committee, instead of jointly by the First Ministers. Clause 1 stand part Government amendment 3 Clauses 2 to 5 stand part.
ParlaMint-GB_2016-03-10-commons.u370	Amendment 1 relates to the independent reporting commission on paramilitary activity, the function of which is to examine general paramilitary activity within Northern Ireland, and its report will hopefully see a move away from terrorist activity. We have made huge and significant progress over recent years, but we want a total end to the terrorist campaign and paramilitary activity Murders have happened both recently and in the distant past. We have heard about loyalist paramilitary activity and killings, and the hon. Member for North Down (Lady Hermon) has made many representations about the disappearance of Lisa Dorrian, which has clearly had a major impact not only on her family, but on the community. We have also seen IRA murders in recent times—Robert McCartney, Denis Donaldson, Paul Quinn and more recently Kevin McGuigan in Belfast. What strikes me is the brutality and the clinical way in which those murders were carried out—the hallmark of the IRA in the past. The murders were not carried out by amateurs; they were carried out by professional terrorists and remind us of the IRA and other terrorist organisations. We want to bring an end to that. We must not forget that the Chief Constable of the Police Service of Northern Ireland said recently that the IRA and the army council still exist. We need to deal with that and to ask whether the IRA and the army council are still inextricably linked to Sinn Féin, which is in government in Northern Ireland Amendment 1 relates to the appointment of two members to the independent reporting commission by the First Minister and Deputy First Minister. I accept that the “Fresh Start” document states that the Executive will appoint those two members, but we are seeking a move away from political appointments because it would be helpful if the appointments were made by a more independent body. When Northern Ireland parties were progressing aspects of the Stormont House proposals last year, it was suggested that the appointment of the proposed historical investigations unit director would also be done by the First Minister and Deputy First Minister. During the many discussions on that process, there was some level of agreement that there could be other, better ways of making that appointment. The Ulster Unionist party put forward suggestions for an independent process, but given others’ concerns about that, the option of the director being appointed by the Northern Ireland Policing Board carried some weight among all the parties involved in the talks.
ParlaMint-GB_2016-03-10-commons.u371	The hon. Gentleman will be well aware that the Policing Board was established by the Police (Northern Ireland) Act 2000. In tabling amendment 1, I am sure that the hon. Gentleman has checked that it would be within the Policing Board’s powers to make appointments to the independent reporting commission.
ParlaMint-GB_2016-03-10-commons.u372	I thank the hon. Lady for that helpful intervention. We discussed the matter at length during the talks last year, into which all parties had input, including officials from the Northern Ireland Office and the Department of Justice. We felt that the Policing Board could be such a mechanism. I suppose that, in fairness, some people might say that it is still semi-political, and it is, but it has independent members so it can cross the political divide towards independents and lay people. That is why we felt that it was a good option for making appointments in this process, particularly given the fact that the Deputy First Minister has, by his own admission, said in the past that he was a senior member of the Provisional IRA. Obviously, there is still a question mark over whether he is still a member of the IRA army council.
ParlaMint-GB_2016-03-10-commons.u373	Will the hon. Gentleman accept that on the Policing Board there will be members such as Gerry Kelly and Caitríona Ruane who have terrorist backgrounds as well? The situation will therefore be no different from the one he is describing with the Deputy First Minister.
ParlaMint-GB_2016-03-10-commons.u374	I thank the hon. Gentleman for that intervention, and I agree with the first aspect of it. Yes, there are members of Sinn Féin and members who were former terrorists on the Policing Board, but the difference is that it is an organisation with a much broader base. There are independents, and it is likely that there will be only one member of Sinn Féin on an appointment panel with seven, eight or even nine lay members. Obviously, as things stand, there would be just the First Minister and the Deputy First Minister. There is a significant difference, I think, but I take the point.
ParlaMint-GB_2016-03-10-commons.u375	Will the hon. Gentleman also accept that when the decision rests with the First Minister and Deputy First Minister there is a power of veto by one of the Ministers, which would not be the case if members were appointed by the Policing Board?
ParlaMint-GB_2016-03-10-commons.u376	I have not seen the option of veto exercised to a great degree with other appointments, so I would have concerns about whether that would work in this case By and large, there was a degree of support for the historical investigations unit director possibly being appointed by the Policing Board, but if that appointment was to be made by another independent body, we would be quite happy to consider that. In fact, the Ulster Unionist party initially proposed that the decision should be made by an independent body, not the Policing Board. The proposal to use the Policing Board came from another political party and we said as a compromise that that could be an option, which seemed to engender support That is our view. I should have thought that it would have received broad support, but perhaps that is wrong. In general, I think it is important that we try to move away from that political appointment process into a more independent one, because clearly we are dealing with very sensitive issues and material, so it is important that we have people of the right ability and calibre. The Policing Board has a track record, I know, and although I take the point made by the hon. Member for South Antrim about members of Sinn Féin being on the Policing Board, it has appointed the past three Chief Constables, the past three Deputy Chief Constables and a significant number of Assistant Chief Constables. Clearly, the board has done a lot of work on the appointment process for significant police officers and high-profile police officers, so I would argue that as they are well-versed in making such appointments the process might have been better and more independent if they made the decision rather than just the First Minister and Deputy First Minister.
ParlaMint-GB_2016-03-10-commons.u377	We are unable to support the proposition behind amendment 1. We are not against the concept of moving towards greater independence for such appointments, but in the context of getting a political agreement that was not possible, as the hon. Member for Fermanagh and South Tyrone (Tom Elliott) rightly acknowledged. The Stormont agreement therefore gives the responsibility for making the appointment to the Office of the First Minister and Deputy First Minister. I listened carefully to what the hon. Gentleman said and would echo the comments of my hon. Friend the Member for East Antrim (Sammy Wilson)—East Antrim, not South. We have not yet redrawn the boundaries in Northern Ireland, although we are going to We have two difficulties with the proposal to use the Policing Board. May I say that having served on the Policing Board, I fully support it as an institution. It does a good job on the whole question of accountability in policing. Our objection is not on the basis that the Policing Board is somehow deficient, but the hon. Member for Fermanagh and South Tyrone revealed his true objective and motivation when he talked about the suitability of the Deputy First Minister to be involved in this appointment because of his alleged past in the IRA I have a lot of sympathy with what the hon. Gentleman is saying, but the difficulty I have is twofold. First, as my hon. Friend the Member for East Antrim rightly pointed out, we have three Sinn Féin members on the Northern Ireland Policing Board: Gerry Kelly, Pat Sheehan and Caitríona Ruane. At least two of those members have past convictions for IRA terrorism, so passing responsibility to the Policing Board does not resolve the difficulty the hon. Gentleman refers to, in terms of victims and survivors of the conflict in Northern Ireland having a problem with anyone from Sinn Féin being involved in the appointments process—a concern I have much sympathy with I depart from the hon. Gentleman on the second point made by my hon. Friend, on the question of the veto. The current arrangement that gives us a veto in the office of the First Minister over who is appointed is surely a far stronger safeguard to ensure that the people who are appointed to this very sensitive role are people that the victims and survivors community can have confidence in. If we go to the Policing Board, there is no such veto. Indeed, the political influence on the Policing Board is outweighed by the independent influence. I emphasise that I have nothing against the current structure of the Policing Board; I am merely making the point that if you want to exercise a degree of accountability on this issue and ensure that the people who are appointed to this very sensitive role are appropriate for that role, having a veto gives you the leverage to ensure that that happens, whereas if you pass it to the Policing Board you lose that veto For those reasons, we will not be able to support the amendment.
ParlaMint-GB_2016-03-10-commons.u378	I am pleased to serve under your chairmanship, Mr Crausby. I rise to speak in support of amendment 7 On Second Reading, I said that we must cast our minds back to the reasons for the independent reporting commission. This all emerged in the violence and terrorism of last year when two people lost their lives: Gerard Davison at the beginning of May, in the Lower Ormeau and Markets area of south Belfast; and Kevin McGuigan, somewhere in that same location. As a result of those deaths and the breakdown of relationships around the Executive table, we had negotiations on the Stormont House agreement. During those negotiations, the SDLP circulated papers to the three Governments and all parties on a whole enforcement approach, and a whole community approach. We believe that the answers and the solution must come not only from Government and from political parties but from the wider community. There must be a buy-in to a solution, to the eradication of terrorism, violence and antisocial behaviour and to an upholding of democratic principles. We also believe that, although “Fresh Start” was designed and managed to be a two-party deal, there should have been all-party work on the membership of the independent reporting commission. How can the work of that commission and its mandate, which includes the Irish Government and Dublin representatives, be reconciled with that approach by Sinn Fein? During the Second Reading debate, I asked the Secretary of State to say precisely what new moneys would be made available to the National Crime Agency and the Police Service of Northern Ireland, when those moneys would be released and what the split between the two would be. That set some of the background for our amendment. Like the Ulster Unionist party, we feel that the credibility of the independent reporting commission would be enhanced if it involved the Executive more widely rather than just the First and Deputy First Ministers. We believe that it is not a Policing Board matter, which is why we have specified that the two members will be appointed by the Justice Minister in consultation with the First and Deputy First Ministers, subject to Executive approval, hence providing the transparency and accountability that are required in this particularly vexatious issue. All of us on these Benches are agreed on one point. We want to see an end to violence, paramilitarism and terrorism. Above all, we want to see the upholding of democratic principles of government and in the wider civic community I support our amendment 7 in this group.
ParlaMint-GB_2016-03-10-commons.u379	In following my hon. Friend the Member for South Down (Ms Ritchie) in speaking to our amendment, I want to deal with a few of the points that have been made about this group of clauses on the independent reporting commission At the original Stormont House talks in late 2014, the SDLP proposed that the agenda should include paramilitarism and organised crime. It did not take the murders that subsequently happened to tell us that that was still a serious issue that should not be ignored in any serious negotiations. Unfortunately, we were not supported by other parties, who seemed to believe that that would somehow not be a problem. So we are now addressing an issue that other parties chose to ignore. Whenever the murders happened last year, a political crisis was created over issues that parties chose to ignore and then dramatically tried to advertise.
ParlaMint-GB_2016-03-10-commons.u380	The hon. Gentleman will forgive us if we take his comments as tongue in cheek, given that we were told after the Good Friday agreement in 1998 that these problems were all being dealt with, and the agreement was a comprehensive approach to resolving the issues relating to our conflict in Northern Ireland. We are still dealing with them 18 years later so he should not point the finger at those of us who warned in 1998 that the agreement was deficient in that regard.
ParlaMint-GB_2016-03-10-commons.u381	Without getting drawn too far away from the subject of the Bill, none of us pretended that the 1998 agreement would absolutely solve the problems or dissolve any of the paramilitary organisations. We committed to a framework for decommissioning and a number of other changes. We consistently supported the existence of the Independent Monitoring Commission to deal with the questions of ongoing paramilitary activity. In this House, whenever the previous Secretary of State, the right hon. Member for North Shropshire (Mr Paterson), announced that the IMC was being wound up, some of us said, “You are taking away the monitoring commission because Sinn Fein has made a political issue of it, but the issue of paramilitarism has not gone away, and it will come back.” We pointed out that something like the IMC would end up being needed. That is exactly what happened last year Some of us have been consistent about recognising where there are problems and that they need to continue to be addressed. We were right about the questions arising when the IMC was wound up with no procedure to deal with ongoing concerns. We were right to say that the issue needed to be addressed in the Stormont House agreement. We were right in the proposals that my hon. Friend the Member for South Down has described when we said that we needed an enforcement approach and a whole community approach to secure an end to paramilitarism, as well as all the other changes that were needed to achieve a wholesome society. We were the only parties that advocated such proposals. To an extent, some of the sentiment of that is reflected in the agreement, but in a highly edited, partial and incomplete way, and that is why we have tabled our amendments We used to have an Independent Monitoring Commission that reported. Now we have an independent reporting commission. The legislation does not seem able to say “monitor”. The “Fresh Start” agreement refers to the term “monitoring”, but for some reason “monitoring” is not in the Bill. It is as though the legislation has carefully avoided saying anything that the commission will actually do. So we have to look at the “Fresh Start” agreement to see what the commission might actually do. For some reason, it is avoided in the lengthy clauses of the Bill The right hon. Member for Lagan Valley (Mr Donaldson) said that under the “Fresh Start” agreement the appointments, as well as the one appointment by the British Government and the one by the Irish Government, were to be made by the First and Deputy First Ministers. They were not. The hon. Member for Fermanagh and South Tyrone (Tom Elliott) is correct. The “Fresh Start” agreement said that the Executive shall nominate two members. Therefore, our amendment is consistent with what is in the “Fresh Start” agreement. It says that the appointment should be made, rather than by the First and Deputy First Minister, by the Justice Minister after consultation with the First and Deputy First Minister and in agreement with the Executive. So our amendment is more consistent with the “Fresh Start” agreement than the clause or the right hon. Gentleman’s amendment.
ParlaMint-GB_2016-03-10-commons.u382	The hon. Gentleman is right that the “Fresh Start” document says that the Executive are supposed to make the appointment. Perhaps the Secretary of State or the Minister of State will tell us why the legislation did not say that the Executive as opposed to the First and Deputy First Minister were to make the appointment so that there could be a collective decision by the Executive rather than a decision by just two Ministers.
ParlaMint-GB_2016-03-10-commons.u383	I fully accept the point, and I hope that the Secretary of State and the Minister have heard it. It would be useful if they addressed it It is unfortunate that, every time something is referred to as a role of the Executive it ends up becoming an appointment by the First and Deputy First Minister. With all that can be said about their acting jointly, people know that the habit has been that distinct and separate appointments have been made. There is not the trust in the appointments system. It is very like what Macaulay said about Disraeli and Gladstone. One of them is a charlatan and knows it; the other is a charlatan and doesn’t know it. So people do not have full confidence in the appointments system when something wider is required The “Fresh Start” agreement specifies that a number of things will be done by the Executive. The work towards an end of paramilitarism and a lot of other commitments in the “Fresh Start” agreement are put in the name of the Executive. I will be addressing the limitations of that in subsequent amendments and new clauses. We are meant to have an approach that is about all the parties, and all the parties may not be on the Executive. If this is about an all-party approach, we should be creating mechanisms that involve all the parties and we should not pretend that these issues will become the sole responsibility or property of the Executive. Nor should we pretend that the due responsibility of the Executive is discharged simply by the First and Deputy First Minister making appointments. I do not believe that any of that is adequate The fact that we needed to be back in Stormont House for talks on the negotiations after the crisis showed it was not sufficient that things were done between the First and Deputy First Minister. We had a crisis and needed all-party talks to bring us back from the brink. The First and Deputy First Minister’s positions and parties had brought us to the brink. Now we seem to be ending up with mechanisms that mean that everything will be done by the First and Deputy First Minister in future. So none of the lessons has been learned. None of the mistakes in the scoping of past negotiations, the scoping of the agenda or the politics of how these things are managed has been learned from I know that the amendment has been tabled by the Ulster Unionist party in respect of the role being conferred on the Policing Board. As the party which argued most in the Stormont House negotiations that the key roles in the Historical Investigations Unit should be appointed by the Policing Board, I do not agree with the amendment. After all, the HIU has a role which will involve constabulary powers. If there is a policing element to it, the evidence can be gathered, investigated and referred for prosecution. The role of the reporting commission is quite different. Nobody saw that there would be huge tension—apart from dealing with some of the cases that have already been looked at by the Historical Enquiries Team—between the role of the Chief Constable and the PSNI, and the role of the HIU There could, arguably, be difficulties between the reporting commission and the Chief Constable. For example, last year in the aftermath of the two murders, when the Chief Constable made an assessment that shared publicly the police’s working theories in relation to that murder, something of a political crisis was created and a panel was set up to look at those issues, including to say whether it accepted what the Chief Constable had said. It would be odd if the reporting commission, which was in part appointed by the Policing Board, had to look at issues that had been the subject of comment by the Chief Constable. That might be a dilemma for the Policing Board and might raise tensions. I do not believe that the Policing Board appointment answers the question.
ParlaMint-GB_2016-03-10-commons.u384	Does the hon. Gentleman accept that his party was to the fore in proposing that the Policing Board would be instrumental in the appointment of senior members of the HIU? There could easily be a conflict between the HIU director or directors and the police. If the proposed arrangement will work for the HIU, I do not see why it should not work for the reporting commission.
ParlaMint-GB_2016-03-10-commons.u385	I do not think the potential conflict would be the same. Obviously, there is the issue that was considered in the talks that some of the cases that had already been dealt with by the HET are currently the subject of PSNI investigation. Whether they will be referred to the HIU or reopened by the ombudsman is a factor in that. The prospect of any potential tension around the Chief Constable’s role was among the reasons why we said that appointment by the Policing Board would be a sensible way forward A different issue arises in relation to the role of the reporting commission. If we take the example of the controversies last year, the panel, which was a proto make-do version of the reporting commission, had to examine issues on which the Chief Constable had rightly spoken. Obviously, there was argument and tension about that.
ParlaMint-GB_2016-03-10-commons.u386	I think the hon. Gentleman was arguing that in future the Executive may not consist of all five parties and there will be parties in Opposition. In that situation, would it not make sense for the commission, whose job is to hold the Executive and the two Governments to account, to have its members appointed by the Assembly and the Parliaments, rather than the Executive?
ParlaMint-GB_2016-03-10-commons.u387	There is a wider possibility in that, which may take us further away from what was said in the Stormont House agreement. The hon. Gentleman is right. We need to ensure an all-party approach and we will address that problem in future amendments and new clauses, which I will not venture into now We believe that the way in which the Government have taken matters forward and the way in which the “Fresh Start” agreement has been framed do not recruit and keep engaged the span of cross-party interest that there should be both in the Assembly and beyond. It mistakenly shorthands too much to the Executive, then translates that as meaning simply First and Deputy First Ministers, with all the limitations and difficulties that that brings Furthermore, with the Commission appointed in that way by the Assembly, the process for doing that would become more complicated, and it is complicated enough at the Policing Board level. We think that appointment by the Justice Minister, following consultation—properly to give them their due—with the First and Deputy First Ministers, in agreement with the Executive, would be a way of reflecting some of the wider interests without creating difficulties for the Policing Board, adding to the list of appointments that it makes, and maybe creating tensions with some of its other appointment roles It should be recognised that the issues that have been highlighted by both the Ulster Unionist party and ourselves in respect of the appointments are not the only questions that should be asked in respect of the ill-defined role of the reporting commission, and how well that sits with the wider responsibilities that the hon. Member for Amber Valley (Nigel Mills) referred to. If we are serious about the whole community approach alongside the enforcement approach, there needs to be something much more collective and better defined than the Government have provided for in the Bill.
ParlaMint-GB_2016-03-10-commons.u388	It is appropriate that I place on record at the outset our appreciation for the independent reporting commission, the creation of which is important. I think I speak for the whole Committee in welcoming it Our debate on amendments 1 and 7 illustrates one of the great problems faced by any of us involved in the politics of Northern Ireland: the search for independence. With a population of 1.7 million, where, as is often said, everybody knows everybody, it is almost impossible to find anybody who is completely Simon-pure and separated from any accusation of community bias. The search for that person who is completely independent has in the past taken us to Finland, to South Africa, to Canada, and to Canada and back to Canada, and it will probably continue to do so It is intensely important that we realise that we are dealing with a conflict between aspiration and actuality. Everybody wants a completely independent nominating system, but nobody whom I have yet heard can come up with a mechanism to achieve that beyond peradventure and beyond criticism.
ParlaMint-GB_2016-03-10-commons.u389	In his comments, I am sure that the hon. Gentleman did not mean to cast any sort of aspersions on the composition of the Independent Monitoring Commission, which did monitor and did report. The proposed body will do both and will be called the independent reporting commission. We had Lord Alderdice, John Grieve, a retired senior member of the Garda Siochana and a retired American police officer, who did a fantastic job on the Independent Monitoring Commission. I am sure the hon. Gentleman meant to add a sentence to say that we had full confidence in their independence in the IMC.
ParlaMint-GB_2016-03-10-commons.u390	That is precisely what I was about to say. The point I was making is that we may succeed. Quite often we succeed, but sometimes it is against the odds. The search for that additional independence continues. The hon. Lady is, as ever, completely right in this matter When the hon. Member for Fermanagh and South Tyrone (Tom Elliott) introduced amendment 1, he was right to mention some of atrocities—not just the recent atrocities, but the murders of Paul Quinn and Robert McCartney. I spent a great deal of time with Paul Quinn’s parents, and it is important that we never forget that horrific murder. Even though it was some years ago, the memory is still raw The right hon. Member for Lagan Valley (Mr Donaldson) focused the debate by talking about the veto safeguard that exists in the current system. It is immensely important that we realise the significance of that. If we are trying to find a mechanism for a nomination process, the proposed process is about as close as we are going to get. I will listen with interest to what the Government say, but we also need to pay attention to amendment 7, which was tabled by the SDLP. The hon. Member for Foyle (Mark Durkan) pointed out, rightly, that the predecessor to the current Secretary of State had some of these issues pointed out to him at the time. It would have been better if we had considered them then, instead of now Just as these amendments illustrate one of the problems of finding people to appoint who are beyond criticism, they also illustrate one of the great strengths of Northern Ireland politics. Even when politicians are elected from a particular community, and may even be from a particular community, there has never been, in my hearing, any suggestion that they have failed to represent every aspect of their community. That is noteworthy, and we say it far too rarely on the Floor of the House. That aspect of life in Northern Ireland gives me great hope for the future The Opposition support the Government on this issue, which is an unusual position for me to be in. My hon. Friend the Member for Gedling (Vernon Coaker) and I would like to hear more about these issues, and particularly about the points made in amendment 7, but for the time being, we think that the clause is about as good as we are going to get.
ParlaMint-GB_2016-03-10-commons.u391	It is a privilege to serve under your chairmanship, Mr Crausby. I thank hon. Members for their contributions and for the suggestions that they have made in the amendments As we have discussed, the first five clauses of this short Bill concern the independent reporting commission. This new body is one of a raft of measures set out in November’s “Fresh Start” agreement to tackle the ongoing impact of paramilitary activity. The commission, which is to be established through an international agreement between the United Kingdom Government and the Irish Government, will have an overriding objective to promote progress towards ending paramilitary activity Although the IRC has different functions from the Independent Monitoring Commission, it builds on the precedent set by that commission, which was in operation between 2004 and 2011, monitoring activity by paramilitary groups and overseeing implementation of security normalisation measures I will now speak about the clauses and related amendments. Clause 1 makes reference to the functions of the new independent reporting commission, as set out in the “Fresh Start” agreement. Those will be: to report annually on progress towards ending paramilitary activity; to report on the implementation of the measures of the Government, the Northern Ireland Executive and the Irish Government to tackle paramilitary activity, including overseeing implementation of the Executive’s strategy to end paramilitarism; and to consult a wide range of stakeholders, including law enforcement agencies, local councils, communities and civic society organisations The reports of the commission will inform the Executive’s programme for government through to 2021. The commission will be independent of the sponsoring Governments and will have significant discretion in fulfilling its functions. That independence will help to ensure the credibility of its reports and its success in engaging with the necessary range of stakeholders. The Secretary of State may provide the commission with such resources and funding as she considers appropriate Finally, in line with the “Fresh Start” agreement, the commission will be made up of four members—one nominated by the UK Government, one by the Irish Government and two by the Executive. Clause 1(4) confers on the First and Deputy First Ministers the power to jointly nominate the Executive members Two amendments have been tabled to that subsection. In amendment 1, the hon. Members for South Antrim (Danny Kinahan) and for Fermanagh and South Tyrone (Tom Elliott) propose that the power to nominate two members be conferred on the Northern Ireland Policing Board instead of the First and Deputy First Ministers. The “Fresh Start” agreement provides that two members of the new commission will be nominated by the Executive. The Northern Ireland Policing Board is not, however, part of the Executive, and the amendment would therefore not be consistent with the terms of that agreement In amendment 7, the hon. Members for Foyle (Mark Durkan), for South Down (Ms Ritchie) and for Belfast South (Dr McDonnell) propose that the power to nominate be conferred on the Northern Ireland Minister of Justice, following consultation with the First Ministers, and subject to the approval of the Northern Ireland Executive Committee. While the Government recognise the interest that the Justice Minister, in particular, will have in the nominations, it is our view that the First and Deputy First Ministers, acting jointly, are the most appropriate office holders to nominate members on behalf of the Executive as a whole, in view of the objective and functions of the commission We would of course encourage the First and Deputy First Ministers to consult their Executive colleagues—in particular the Justice Minister—before making nominations. It is also open to the First and Deputy First Ministers to refer the nominations to the Executive Committee and, indeed, to consult more widely. For example, amendment 1 proposes a role for the Northern Ireland Policing Board, and that could certainly provide helpful recommendations regarding candidates for nomination. I also noted that the hon. Member for Foyle highlighted the difference between the HIU and the IRC—two different bodies with very different functions. His point is well made when it comes to the reference to the Northern Ireland Policing Board.
ParlaMint-GB_2016-03-10-commons.u392	Does the Minister think the appointment by the UK Government should be subject to a pre-appointment hearing by the Northern Ireland Affairs Committee?
ParlaMint-GB_2016-03-10-commons.u393	I am all for parliamentary transparency and scrutiny of the Government’s decisions. We will take my hon. Friend’s suggestion on board and reflect on it—that is the best way to proceed. All four stakeholders will hopefully be serious and respected figures to ensure that the public believe that the commission’s reports are credible and that the commission really is a proper step towards reducing paramilitary activity in Northern Ireland.
ParlaMint-GB_2016-03-10-commons.u394	I am grateful to the Minister for considering the idea, but as we are appointing somebody who needs to be seen to be impartial and whose role is to hold the Government to account, having that independent oversight of the appointment to show that Parliament has confidence in it would help the credibility of the post.
ParlaMint-GB_2016-03-10-commons.u395	The Northern Ireland Affairs Committee is certainly not prohibited from examining the appointment by the UK Government, and it will no doubt be able to make recommendations or to make its views known. As to whether that is formally part of the process, the best thing, as I said, is to reflect on that. If my hon. Friend would like, I will write to him with a response or, hopefully, get back to him before the Bill’s stages are completed I turn now to clauses 2 to 5. Clause 2 deals with the exercise of the functions of the new commission. The clause provides that the objective of the commission is to promote progress towards ending paramilitary activity connected with Northern Ireland. The commission will be required to exercise its functions in the way it considers most appropriate for meeting that objective The commission will also be under the duties not to: prejudice the national security interests of the United Kingdom or Ireland; put at risk the life or safety of any person; have a prejudicial effect on the prevention, investigation or detection of crime; or have a prejudicial effect on any actual or prospective legal proceedings. With the exception of the duty not to have a prejudicial effect on the prevention, investigation or detection of crime, those were all duties to which the Independent Monitoring Commission was subject. The new duty is now considered necessary given the shift in investigative responsibility for paramilitary activity in Northern Ireland. Its intention is to ensure that the Police Service of Northern Ireland can engage fully and meaningfully with the commission.
ParlaMint-GB_2016-03-10-commons.u396	The Minister cites clause 2, which says the independent reporting commission’s objective is to “promote progress towards ending paramilitary activity connected with Northern Ireland.” For the record, will the Minister confirm that the commission is absolutely free—actually, that it will be called on—to report that paramilitary activity connected with Northern Ireland may well be initiated, instigated or supported from within the Republic of Ireland?
