ParlaMint-GB_2016-11-01-commons.u1	1. What steps her Department is taking to improve safety in prisons.
ParlaMint-GB_2016-11-01-commons.u326	I beg to move, That this House disagrees with Lords amendment 11.
ParlaMint-GB_2016-11-01-commons.u327	With this it will be convenient to discuss the following: Lords amendment 12, and Government motion to disagree Lords amendment 13, and Government motion to disagree Lords amendment 14, and Government motion to disagree Lords amendment 15, and Government motion to disagree Lords amendment 338, and Government motion to disagree Lords amendment 339, and Government motion to disagree.
ParlaMint-GB_2016-11-01-commons.u328	The Investigatory Powers Bill will provide a world-leading framework for the use of investigatory powers by law enforcement and the security and intelligence agencies. It will strengthen the safeguards for the use of those powers, including through the introduction of a double lock for the most intrusive powers, and it will create a powerful new body responsible for oversight of them. This is the most important piece of legislation this Government will bring before the House I will turn first to the amendments tabled in the other place by Baroness Hollins. As we have just heard from my right hon. Friend the Secretary of State for Culture, Media and Sport, the Government will hold a landmark public consultation relating to the governance of the press and its relationship with the public, police and politicians. This consultation will give everyone with an interest in these matters an opportunity to have their say on this vital issue, which affects each and every one of us in the country. I hope the whole House will welcome the announcement, which shows the Government’s commitment to addressing the issues and recommendations set out in the Leveson report in the most appropriate way This is an emotive subject for Members, in both this House and the other place, where Earl Howe set out the Government’s position in relation to this issue during the debate on Report. I hope the House will indulge me while I set out the key points. As I said at the start of my remarks, the Investigatory Powers Bill is one of the most important pieces of legislation the Government will bring forward. It will provide a world-leading framework for the use of investigatory powers by law enforcement and security agencies and, in doing so, protect this nation from some of the most serious crimes and threats. We should not forget that the Bill will also strengthen the safeguards for the use of those powers, and it will create a powerful new body responsible for that oversight We heard yesterday in the Lords from peers on all sides about the importance of the Bill and the careful cross-party scrutiny that has got it into the very good shape that it comes back to the House in today. The Bill will provide vital tools for our law enforcement, security and intelligence agencies. It is not, and never was, intended to provide for the regulation of the press Whatever the merits of the provisions introduced by Baroness Hollins, this is not the place for them. Their inclusion is a distraction from the very important aims of the Bill. Moreover, they threaten to undermine an important provision in the Bill.
ParlaMint-GB_2016-11-01-commons.u329	While I entirely accept that this is not the place to deal with those matters, I hope the Minister will recognise that there is very strong feeling on these Benches that the issues in relation to Leveson do need to be dealt with as a matter of some urgency. While I agree that we should not, therefore, accept the amendment, I very much hope that he and other Ministers will ensure that these matters are brought to the House at the earliest possible opportunity, so that they can be fully and properly dealt with.
ParlaMint-GB_2016-11-01-commons.u330	I am grateful to my right hon. Friend, and I do, of course, recognise the strength of feeling about press regulation, but I also recognise the strength of feeling about making sure we give our security services and our police forces the tools to tackle the paedophiles, the serious and organised criminals and the terrorists who threaten the state and my constituents.
ParlaMint-GB_2016-11-01-commons.u331	I am wholly in favour of most of the other provisions of the Bill, but that is not the point we are debating now; we are debating why the Government are reneging on their promise, made on 18 March 2013 as part of a package, that we would commence section 40 of the Crime and Courts Act 2013. Does the Minister not realise that if we keep getting statements such as the one we just had from the Secretary of State for Culture, Media and Sport, suggesting that the Government intend to kick this issue down the road yet further, their lordships are simply going to send the proposals back again, and again, and again, with probably even larger majorities?
ParlaMint-GB_2016-11-01-commons.u332	I know that the hon. Gentleman is an impatient individual, but 10 weeks is not a long time to wait in engaging in a consultation. [Interruption.] He says, “Three and a half years”, but what is 10 weeks on top of that?
ParlaMint-GB_2016-11-01-commons.u333	My hon. Friend makes a crucially important point. If SNP Members do not require the Sewel consents to be given, then implicitly, as we have an unwritten constitution and operate by convention, they would be giving media policy back to the United Kingdom Parliament.
ParlaMint-GB_2016-11-01-commons.u334	This is a very important point of principle.
ParlaMint-GB_2016-11-01-commons.u335	The Minister asked me a question. I can only remind him of what Mr Speaker said when he was in the Chair: that legislative consent is not required until the Bill has been amended, as the Minister will know very well. Legislative consent to those aspects of the Bill that require it is not sought from the Scottish Government until the Bill has passed through this House. He is therefore setting a false trap. He will remember a phrase from the Scottish Parliament, “My head does not zip up the back.” My head does not zip up the back, and I will not fall into his false trap, but SNP Members will give their support to the Lords amendment on this occasion.
ParlaMint-GB_2016-11-01-commons.u336	I think we can debate Zippy another time This is about an important issue of principle. Throughout all the Bills I have ever been involved in, we in this House have gone out of our way to make sure that we seek the up-front approval of the Scottish Parliament in an LCM before we start down the path of picking and choosing what we do or do not support.
ParlaMint-GB_2016-11-01-commons.u337	What the hon. and learned Member for Edinburgh South West (Joanna Cherry) said may well be true, but this is our last opportunity to approve or reject the amendment. If it goes back to the House of Lords, and all the other amendments that we make are agreed to, there will be no further opportunity to amend the Bill, so legislating now, without consent, would make the law.
ParlaMint-GB_2016-11-01-commons.u338	Not for the first time, my hon. Friend is absolutely right. This is the last opportunity to amend this Bill—there will be no going back. Should the hon. and learned Lady wish to go back, then we shall hear her options.
ParlaMint-GB_2016-11-01-commons.u339	The Minister is in a slightly unfair position because he did not pilot the Bill through the Bill Committee, but I did serve on the Committee, and he can check what happened with his ministerial colleagues. The Government accepted clause 8, on the back of which this amendment rides, as a result of an SNP amendment to reintroduce the tort—or, to use the Scots word, delict—in the Regulation of Investigatory Powers Act 2000. This further Lords amendment rides on the back of an amendment that arose from the historic event of the Government actually accepting an SNP suggestion. I was absolutely delighted about that and will mention it at every opportunity.
ParlaMint-GB_2016-11-01-commons.u340	In the words of the hon. and learned Lady, my head does not zip up the back either. This is an amendment to an accepted amendment. That does not mean that the amendment is accepted in relation to an LCM—we cannot make that assumption. We should reflect on Mr Speaker’s point that this House does not usually legislate on policy that is not agreed to by the Scottish Parliament in advance.
ParlaMint-GB_2016-11-01-commons.u341	We have developed a fascinating constitutional suggestion that amendments made by SNP Members of this House are senior to legislative consent motions given by the Scottish Parliament. SNP Members seem to be raising their status.
ParlaMint-GB_2016-11-01-commons.u342	I am keen to move on, but merely say that how SNP Members vote today will certainly be a clear sign of whether they are embracing a new principle on how we should choose to legislate on issues in Scotland As I said, this clause was never intended to provide a basis for claims against newspapers for voicemail interception—so-called phone hacking. Civil claims can already be brought in respect of such activity. In any case, the Bill makes such activity a criminal offence, as is surely right for such egregious interferences with privacy If there is a problem to be addressed, this is not the way to do it, and this is not the Bill in which to do it. This is the wrong amendment in the wrong Bill at the wrong time. Governance of the press is an important issue, and it is right that such an issue is subject to full consultation and dedicated scrutiny and consideration. It should not just be tacked on to one of the most important cross-party Bills that this House has debated. This Bill is about the security of the nation. It is a Bill to keep all our constituents safe. Members should ask themselves whether it is appropriate to jeopardise this Bill for the sake of opportunism in the other place.
ParlaMint-GB_2016-11-01-commons.u343	The solution, of course, would be for the Government to accept Baroness Hollins’s amendments, and then the Bill would be secured, since all of us in this place are broadly supportive of its stated intentions. Many of us have sat through these debates at great length for a very long time.
ParlaMint-GB_2016-11-01-commons.u344	Hear, hear!
ParlaMint-GB_2016-11-01-commons.u345	My hon. Friend is right to say so Does the Minister accept that the only objection to this measure that the Government are putting forward is that it is in the wrong place? That appears to be a fairly slim argument. Can he assure people like me who are perhaps wavering on this matter that the terms of reference of the consultation that the Secretary of State for Culture, Media and Sport announced earlier will be sufficiently robust and give a steer on the Government’s good intentions on section 40, because then we might be tempted to be a little more patient in the hope that that consultation will result in an outcome that makes Baroness Hollins’s amendments redundant?
ParlaMint-GB_2016-11-01-commons.u346	I hear my hon. Friend’s comments, but this is like saying, “Because we’re being blackmailed, we should give in to the blackmail.” The Bill will give powers to our security services and our police to deal with some horrendous crimes and threats to the security of the nation. That does not mean that because someone has tacked an amendment on to the Bill that is not really anything to do with it, we should just give in. We should say, “Let us have the debate about press regulation in the proper forum.” My right hon. Friend the Secretary of State has brought forward a 10-week consultation period. As the House will know, the Government have been put on notice that, at the end of that period, they will need to listen to and engage with everyone’s concerns and to come up with a position. That is not necessarily the end of this matter in Parliament—there will be plenty of other times when pieces of legislation that may be more appropriate come through.
ParlaMint-GB_2016-11-01-commons.u347	I thank the Minister for that reassurance. I welcome the Government’s approach, particularly in addressing the critical question of the Bill—the balance between security and privacy—and in accepting many of the recommendations on safeguards proposed by the Intelligence and Security Committee, whose Chairman, my right hon. and learned Friend the Member for Beaconsfield (Mr Grieve), is in his place. May I urge the Government not to allow the Bill, which is fundamentally about national security, to be conflated with, or held up by, the very different and much wider question of media regulation, as urged on us by the other place?
ParlaMint-GB_2016-11-01-commons.u348	The whole House will hear my hon. Friend’s comments. He is a dedicated campaigner on privacy—in fact, on both parts of the Bill—in terms of what he believes in, and he has been consistent throughout. The House should listen when he says that he wants to make sure that a Bill with good oversight is passed correctly, giving us the freedom then to move on to debate and shape press regulation in, rightly, a different forum.
ParlaMint-GB_2016-11-01-commons.u349	Will my hon. Friend give way?
ParlaMint-GB_2016-11-01-commons.u350	No, I am sorry On that basis, I urge this House to reject the Lords amendments in relation to clauses 8, 9 and 273.
ParlaMint-GB_2016-11-01-commons.u351	I rise to speak to the group of amendments and to Lords amendment 15 in particular. I pay tribute to the work of my right hon. Friend the Member for Leigh (Andy Burnham) and my hon. and learned Friend the Member for Holborn and St Pancras (Keir Starmer), who did so much work, on a cross-party basis, to bring the Bill to its current position. However, we still need to investigate unfinished business concerning the relationship between various authorities and the media. That is why the Labour party fully supports the Lords amendments, particularly Lords amendment 15 The Minister has told us about his landmark consultation, but we are baffled as to why it is needed when we already have the Leveson report, which had so much time, effort and expertise poured into it. It seems to me that the Minister’s vaunted landmark consultation is merely a stalling exercise.
ParlaMint-GB_2016-11-01-commons.u352	The hon. Lady is new to her position, as is the Minister. I served on the Bill Committee and she is right to point to the work that the hon. and learned Member for Holborn and St Pancras (Keir Starmer) did to build cross-party consensus on what could have been a difficult Bill to land. If the Lords amendments are ultimately rejected by this place and the other place caves in, will the Opposition continue to support the Bill, or will the hon. Lady use that as a crutch on which to base the withdrawal of their support?
ParlaMint-GB_2016-11-01-commons.u353	We are not in the habit of artifice or crutches. Let us see what Members in the other place do with the Bill, and then we will make our position clear The Opposition have consistently called for the Leveson recommendations to be implemented in full. The public have waited long enough. In 2013, following extensive consultation with victims of press intrusion, a new system of independent self-regulation was agreed by what were then the three main political parties. It is therefore disappointing that Members in the other place have had to table an amendment, and that we have to debate it, to get the Government to honour their promises. It is disappointing also that the Minister calls legitimate amendments, which have been passed in good faith in the other place, blackmail. What kind of way is that to talk about our friends in the other place?
ParlaMint-GB_2016-11-01-commons.u354	Is not the point that the amendments almost exactly replicate legislation that was introduced by Conservatives in another Act? It would be bizarre in the extreme for the Government to say that they should not become law. If the Government want their Bill, they can have it today. All they have to do is say, “Yes, we agree to all the amendments.”
ParlaMint-GB_2016-11-01-commons.u355	I am grateful to my hon. Friend for making an important intervention. Nobody is trying to hold up or halt the Bill. If the Government wish to have it, all they have to do is agree to the amendments.
ParlaMint-GB_2016-11-01-commons.u356	In that spirit, perhaps the hon. Lady could answer the question asked by my hon. Friend the Member for North Dorset (Simon Hoare): should the Bill not contain Baroness Hollins’s amendment, would the hon. Lady support it?
ParlaMint-GB_2016-11-01-commons.u357	I do not deal in supposition. Let us see what Members in the other place do with the Bill, and at that point we will debate it and the House will hear Her Majesty’s Opposition’s position.
ParlaMint-GB_2016-11-01-commons.u358	I have heard the hon. Lady say in other places what a future Labour Government would deliver. That, surely, is a supposition. She should deal with the supposition in question.
ParlaMint-GB_2016-11-01-commons.u359	When the hon. Gentleman heard me say those things, I was not yet shadow Home Secretary There were concerns when section 40 of the Crime and Courts Act 2013 was not commenced in summer 2015. The right hon. Member for Maldon (Mr Whittingdale), the then Secretary of State for Culture, Media and Sport, was asked about it by the Culture, Media and Sport Committee, but he refused to be drawn on it. He said at the Society of Editors conference in October 2015 that he was not minded to commence section 40. We believe that that is a breach of the cross-party agreement and that it breaks the promises made to the House and, perhaps even more importantly, those made to victims.
ParlaMint-GB_2016-11-01-commons.u360	For all the differences between me and the hon. Lady, I totally understand the importance that she attaches to section 40 and the issue of costs. I join her in wanting to scrutinise them very carefully and there will be ample time to do so, but may I gently say to her that it would be wrong and irresponsible to hold up, let alone frustrate, this Bill on account of those legitimate concerns, which can be dealt with separately and discretely?
ParlaMint-GB_2016-11-01-commons.u361	We are not attempting to hold up the Bill; all the Government have to do is accept the amendments Section 40 of the Crime and Courts Act remains unimplemented, despite widespread support in principle from Members on both sides of the House, including Front Benchers. The amendment, which the Government want to vote down, was tabled in the Lords by a Cross Bencher, Baroness Hollins, and overwhelmingly passed by 282 votes to 180. That is one of the reasons that I am shocked that the Minister regards it as blackmail. It would implement, as my colleagues have said, the same provisions as those contained in section 40 of the Crime and Courts Act in relation to claims against media organisations over phone hacking and other unlawful interception The amendment goes further. Unlike section 40, it would not require ministerial approval, which we regard as an improvement, so it would automatically implement section 40 in relation to phone hacking claims. That would restate the very clear intention of Parliament, as previously expressed in 2013. I repeat that the amendment would not be necessary if the Government had fulfilled their stated commitment to implementing section 40 Part 2 of the Leveson inquiry sought to investigate the original police investigation and corrupt payments to police officers and to consider the implications for the relationships between journalists, politicians and the police. We are therefore going to have to undergo further weeks of consultation. Previously, Ministers had said that part 2 would begin after the criminal cases relating to phone hacking had concluded. Then they said that they would make a decision on whether it would begin once all the criminal cases had concluded If we look at the provisions affecting journalists and the press in this Bill, we will see that there is no protection of journalistic sources. Law Officers may act on their own cognisance to access data, collect and retain them for 12 months, and share them with other bodies, including overseas agencies. It would be a simple matter to establish the identity of a whistleblower in any public or other body by trawling the journalist’s internet history. That would be detrimental to all of society and to fundamental press freedoms. The contradiction here is that there is a free-for-all in ignoring the thinking behind Leveson, and yet there is a failure to implement section 40. Some of the most irresponsible practices of the press go unchecked, and there is no recourse for anyone except the ultra-rich and those who can afford libel lawyers To function properly, the press should be able to hold all who are in power to account and unearth important wrongdoing. That is wholly in the public interest. But the Government stand accused of allowing muck-raking, savage attacks on the vulnerable and the defamation of those who cannot afford to defend themselves legally, while proper journalism in the public interest—holding the powerful to account, giving an outlet to whistleblowers and investigating matters in the public interest—is to be fatally undermined. The proposals, in their current shape, run the risk of being seen as a charter against valuable and public interest journalism, but for the worst journalistic excesses.
ParlaMint-GB_2016-11-01-commons.u362	I want to focus on several aspects of Lords amendment 15. First, I want to focus on what it is designed to do, in which I think it is fundamentally wrong-headed. It provides for an increase in the penalty that will be applied to newspapers where an accusation of phone hacking is made in a case that is brought against them. That is difficult, because in the ordinary course of events, a newspaper will want to protect its sources. A newspaper that tried to protect its source for a story would not be able to prove the negative that phone hacking had not been involved, even when it had not been. The immediate risk will be that newspapers will be reluctant to print investigative stories because they will be unable to avoid the double penalty of extra costs, even in the event that their story was true. The particular outrage of amendment 15 is that the press could report a story accurately, fairly and honestly but still find that, if they were taken to court by an aggressive litigant, they would have to pay the litigant’s costs. That is an absolute charter for the very rich to bully the press into not publishing stories about them. It will not help the poorest in society, who will not be able to afford the initial fees to get a case going, but anybody with any funds will be able to use it as an opportunity to bully the press into not printing anything disagreeable about them.
ParlaMint-GB_2016-11-01-commons.u363	My hon. Friend is making an excellent speech, as always. Does he agree that the regional press, which does not have the necessary resources, will be particularly vulnerable to such claims by the people he has described?
ParlaMint-GB_2016-11-01-commons.u364	My hon. Friend is absolutely right. The regional press and local newspapers will simply not be able to print stories that are critical of almost anybody. Perhaps MPs do not want any critical stories to be printed about them. We would be able to bully the local papers in our constituencies by saying, “We will bring a court action against you, and, by the way, we think that you might have been hacking our telephone,” and they would risk double costs. That is absolutely ruinous to a free press at a local and national level, because such costs run into hundreds of thousands of pounds. Even the biggest newspaper groups find that level of cost very difficult to absorb. The amendment will therefore get rid of the free press. Our press will be afraid to go after the rich and the powerful. It will be afraid to go after leading politicians whose friends can lend them the money to start a case off. It will be a supine press.
ParlaMint-GB_2016-11-01-commons.u365	As ever, I am listening to my hon. Friend’s comments with a great deal of interest. I fear, however, that he may be over-egging things a little bit. There are, of course, very large organisations behind the apparently small media outlets that he refers to. He probably received a note this morning, as I did, from News Media Association, pressing the case of smaller newspapers. In truth, it represents a smokescreen for the interests of larger press organisations. Does he not share my concern that we need to disentangle the very small press outlets that we heard about earlier from regional press, which tends to be controlled by larger operations?
ParlaMint-GB_2016-11-01-commons.u366	That is not what the amendment does. It includes all the press, so the Midsomer Norton, Radstock and District Journal will be included, as will the Farrington Gurney parish magazine. Every single publication will be included and will be under this threat.
ParlaMint-GB_2016-11-01-commons.u367	I hesitate to criticise the wisdom of my hon. Friend the Member for South West Wiltshire (Dr Murrison), but, from a journalistic perspective, I humbly submit that nobody in the modern media world feels as though they are working in an enormous environment with oodles of cash swimming about the place. This will have a chilling effect across national, local and regional media.
ParlaMint-GB_2016-11-01-commons.u368	My hon. Friend is right. Although some newspapers are part of bigger media groups, those media groups will not be willing to fund indefinitely loss-making newspapers. The journalism that is the core of not only the print media but most of what people get online, which is not covered by the measure anyway, comes from a narrowly profitable print media. If that ceases to have any chance of being profitable, where will all the internet content that people read for nothing come from? Where are the resources to provide us with investigations into wrongdoing? Wrongdoing—not only of politicians, but of institutions—is revealed year in, year out. Great footballing institutions were investigated by The Sunday Times. How will the newspaper be able to do that if it gets sued and has to pay double damages on merely the allegation that hacking has taken place? This is a real threat to press freedom Press freedom is of the greatest possible value, and it is one of the reasons why the United Kingdom is such a stable polity. The press shines a light on corruption, on criminality and on wrongdoing. It holds people to account. It brings them to book. Why do we give an absolute protection to whatever is said in the House, so that it cannot be contested in any court outside Parliament? We give ourselves that protection because we so value freedom of speech. We should be extending that protection as widely as possible—not holding it narrowly to ourselves, but allowing the country at large to enjoy the same benefit The chippy speeches made by those in the other place, and unfortunately in this House too, who have come under the spotlight of the press and had a rude story printed about them that they did not like—about a big scandal, a little scandal, something that caused offence or something that upset their spouse—ought not to be used to take away a fundamental constitutional protection of the greatest importance. That should not be done by the back door, by tacking something on to a completely different Bill in a hissy fit because the Secretary of State has not done it under existing legislation. That is quite a wrong way to proceed That brings me on to the second part of what I want to say. The first part is of overwhelming importance: the freedom of the press is an absolute, and it is much, much better to have a free and irresponsible press than it is to have a responsible but Government-controlled press. As my hon. Friend the Member for North Dorset (Simon Hoare) would like me to say, the principle of England free rather than England sober should be at the heart of our understanding of the press The constitutional aspects of how we legislate are also important, however. In this House we have very strict rules, which are implemented fairly by the Clerks and the Speaker, about the scope of Bills, and we cannot tack on random things that we feel it would be nice to have. The House of Lords, being a self-governing House, can tack things on. Its Members have lost the self-restraint that they used to have of following constitutional norms in relation to legislation. They showed that in the last Session of Parliament in relation to boundaries, and they are doing so again now. I am concerned that the SNP is not more worried about the Sewel convention.
ParlaMint-GB_2016-11-01-commons.u369	I hesitate to give the hon. Gentleman a lecture on constitutional procedure, but I can give him full comfort on the points he has raised if he cares to consult the devolution guidance note 10. It states: “During the passage of legislation, departments should approach the Scottish Executive about Government amendments changing or introducing provisions…or any other such amendments which the Government is minded to accept… No consultation is required for other amendments tabled. Ministers resisting non-Government amendments should not rest solely on the argument that they lack the consent of the Scottish Parliament unless there is advice to that effect from the Scottish Executive.” The note goes on to explain what happens in such a situation: “The Scottish Executive can be expected to deal swiftly with issues which arise during the passage of a Bill” With great humility, I want to say that on this occasion the hon. Gentleman is mistaken.
ParlaMint-GB_2016-11-01-commons.u370	Order. The hon. and learned Lady will very shortly have an opportunity to make her speech in full. I must urge hon. Members to make short interventions as we have only 55 minutes left for this debate.
ParlaMint-GB_2016-11-01-commons.u371	I will cover that point, and then swiftly come to a conclusion. The amendment was passed on 11 October, but there has been no response to it, and this is the very last opportunity to decide whether this provision should pass into law. If it passes into law, the Scottish Parliament will have had no opportunity to give its consent to what, in effect, is the repatriation of a power from the Scottish Parliament to the UK Parliament. It is quite right that the Government have not asked for such consent, because the change has not been made on a Government amendment, but SNP Members might well have wanted to seek the guidance of their friends in the Scottish Government to determine whether this was acceptable and to get their consent.
ParlaMint-GB_2016-11-01-commons.u372	rose—
ParlaMint-GB_2016-11-01-commons.u373	I will leave the hon. and learned Lady to come back to this point in her own speech These forms are very important. I would not pretend that I am anything other than a Unionist, but I believe that the Union will do well if we observe the norms and the courtesies between the various Parliaments. This Parliament must be exceptionally careful about overriding things that have been devolved, as media policy clearly has been, and we should therefore tread on such areas lightly The SNP should be cautious about using this in a politically opportunistic way, however convenient that may be. There will come a time when it is politically convenient for those on the Treasury Bench not to use the Sewel convention, but to get a Back Bencher to table an amendment that will go through without needing the Government to ask for consent at a very late stage in the proceedings, perhaps even as an amendment to a Lords amendment, and such an amendment will go through, with the Sewel convention brushed aside. If SNP Members say that that is perfectly all right and that that is the way to do it, that will leave such conventions in disrepute and will lead to rows between the constituent Parliaments. Basically, disrespect will be shown by one Parliament of another, which will become very serious constitutionally. For a one-day win, they may be risking a constitutional imbroglio.
ParlaMint-GB_2016-11-01-commons.u374	I rise to give the Scottish National party’s support to this group of Lords amendments Much was promised of the Lords when the Bill left this House—many Members had deep concerns about the Bill’s intrusion on civil liberties and about the security of data—but I regret, although I am not surprised, to say that the Lords amendments as a whole have not lived up to the expectations that some of us had. Although there have undoubtedly been some improvements in the safeguards afforded by the Bill, which we intend to support later—they are the result of Government amendments in the Lords that largely arose from suggestions made by the opposition and the Intelligence and Security Committee—we do not think those Lords amendment go far enough, and I will give specific examples of that later At the moment, we are dealing with the group of Lords amendments that some people, for convenience, have called the Leveson amendments. I want to knock firmly on the head any suggestion that Scottish National party Members or the Scottish Government are making any concessions in relation to the Sewel convention. Hon. Members would no doubt be very surprised if we did, but we are not doing so. Unlike the Minister, we are following the proper procedure, as laid down in devolution guidance note 10 on “Post-Devolution Primary Legislation affecting Scotland”. As I have already said, the note specifically comments on such amendments. In paragraphs 18 and 19, which I will read in full because this is very important, the note states: “During the passage of legislation, departments should approach the Scottish Executive”— or the Scottish Government, as they now are— “about Government amendments changing or introducing provisions requiring consent, or any other such amendments which the Government is minded to accept.” Clearly, Lords amendment 15 is not a Government amendment, and the Government are not minded to accept it. In such a situation, paragraph 18 says: “It will be for the Scottish Executive to indicate the view of the Scottish Parliament.” Very importantly, it goes on: “No consultation is required for other amendments tabled.” It is not therefore incumbent on the UK Government to consult the Scottish Government about opposition amendments. It goes on: “Ministers resisting non-Government amendments should not rest solely on the argument that they lack the consent of the Scottish Parliament unless there is advice to that effect from the Scottish Executive.” I know as a matter of fact that there is no advice to that effect from the Scottish Government, because I spoke to the Minister concerned about that at the weekend. Paragraph 19 says: “The Scottish Executive can be expected to deal swiftly with issues which arise during the passage of a Bill, and to recognise the exigencies of legislative timetables (eg when forced to consider accepting amendments at short notice). Nevertheless since the last opportunity for amendment is at Third Reading in the Lords or Report Stage in the Commons the absence of consent should not be a bar to proceeding with the Bill in the interim.” That is what the guidance note states, so the point made by the hon. Member for North East Somerset (Mr Rees-Mogg) is fallacious. This is not a Government amendment or an amendment that the Government are minded to accept; it is an opposition amendment. It is perfectly open to SNP Members to support the Lords amendment at this stage without making any concession. Only in the event that the amendment is passed by this House will it be incumbent on the Government to go to the Scottish Government and the Scottish Parliament to get a legislative consent motion. This point is a complete red herring.
ParlaMint-GB_2016-11-01-commons.u375	In the event that such a legislative consent motion were refused, would the hon. and learned Lady expect the Queen to refuse to give Royal Assent to the Bill, because that would be the only way to stop the Bill becoming law?
ParlaMint-GB_2016-11-01-commons.u376	I assure the hon. Gentleman that it would not come to that, because if the amendment is passed by the House, the Scottish Government will grant a legislative consent motion. The SNP, which is in opposition in Westminster and the Government in Scotland, has discussed this issue in detail over the weekend—I discussed it with the Scottish Government Minister—and we have a position on Lords amendment 15. I will now set out our position, but I am very conscious of the time, so I will be as brief as possible As I said earlier, Lords amendment 15 rides on the back of clause 8, and I am very proud to say that it arose from an SNP suggestion in Committee for such an amendment. We have heard about the effect of the Lords amendment. In my respectful submission, the effect will be good: no newspaper should be involved in telephone hacking, and if one is, it should face the consequences. I want to make the SNP position clear Section 40 of the Crime and Courts Act, about which we have heard much today, was passed in March 2013. It was part of implementing the Leveson inquiry recommendation that any new regulator set up by the press should be accredited as independent and effective. The purpose of section 40 is to provide costs protection for claimants and Leveson-regulated newspaper publishers. It was passed in this House with cross-party agreement, including the support of SNP MPs. There were rather fewer SNP MPs then than there are now, but my colleagues supported the then Bill. As has already been said, the UK Government have reneged on implementing section 40 on many occasions. Today’s announcement of a consultation kicks its implementation further into the long grass As has correctly been said, section 40 extends to England and Wales only, because the regulation of print media is devolved to the Scottish Parliament. The Scottish Parliament has provided cross-party support for the UK Government’s actions to implement the royal charter. The Scottish Government will continue to monitor the current press regulations and work with other parties in Scotland and at Westminster to ensure effective regulation of the media on a non-political basis The majority of the press, and in particular the regional press in Scotland, were not involved in the sort of malpractice that prompted the Leveson recommendations. It is therefore the view of the Scottish Government and the Scottish National party that any policy in this area in Scotland must be proportionate and must balance the freedom of the press with the public desire for high standards, accuracy and transparency That said, the protection afforded by section 40 when brought into force would be available to Scottish litigants who chose to sue newspapers based in England and Wales. Regrettably, a number of major newspapers based in England were involved in the sort of malpractice that prompted Leveson, and it is therefore right that such protection should be afforded. The limited amendments that we are discussing will not affect small or regional newspapers adversely at all, because they have not been involved in phone hacking, and, I assume, do not have any plans to become involved in it Scottish National party MPs are going to support the Lords amendments to provide costs protection across the UK for claimants and Leveson-regulated news publishers in claims for unlawful interception of communications, including phone hacking. I hope that as a result of the amendments some good, at least, will come of this Bill’s passage through Parliament, in the event that this House is minded to support them. I will be crystal clear that nothing I have said involves any concession whatever about the primacy and importance of the Sewel convention, which is now enshrined in legislation. If anyone is in any doubt on that, they should go away and read carefully the guidance note from which I have quoted at some length this afternoon.
ParlaMint-GB_2016-11-01-commons.u377	On memorandum 10, to which the hon. and learned Lady refers, is she saying that she is happy to accept the principle that in future when amendments come forward that are not Government amendments nor amendments that the Government are minded to accept, whether from a friendly Back Bencher or an unfriendly one, we do not have to consult the Scottish Government for a legislative consent motion?
ParlaMint-GB_2016-11-01-commons.u378	The hon. Gentleman is no doubt aware of what I did for a career before I came here. I have no intention of making any concession that goes beyond the four walls of what I have already said.
ParlaMint-GB_2016-11-01-commons.u379	I will be as brief as possible. First, let me say how much I have enjoyed this afternoon’s debate. For the past six years, as a Minister, having been locked up—
ParlaMint-GB_2016-11-01-commons.u380	You should be.
ParlaMint-GB_2016-11-01-commons.u381	Yes, I should be. But being locked up as a Minister, I did not have the benefit of hearing the wise constitutional pronouncements of my now prone hon. Friend the Member for North East Somerset (Mr Rees-Mogg)—very few hon. Friends will be able to see him as he is sunbathing at the moment. I have found myself in an “Alice in Wonderland” world, where the hon. Member for Hackney North and Stoke Newington (Ms Abbott) was praising the House of Lords from the Labour Front Bench, and my hon. Friend was attacking it. I really did not know where to turn. That is the first thing that has interested me in the debate The second is the extraordinarily complex constitutional argument going on about the various powers of the Westminster Parliament and the Scottish Parliament. I think we have come to the clear conclusion and have constitutional clarity that this House can now amend legislation that then goes into force in Scotland without waiting for a legislative consent motion from the Scottish Parliament. That is a welcome, if interesting, concession from the Scottish National party.
ParlaMint-GB_2016-11-01-commons.u382	The right hon. Gentleman should try very hard not to misrepresent what I have said. I have not made any concessions. I have quoted from the established procedures that are already laid down.
ParlaMint-GB_2016-11-01-commons.u383	As my hon. Friend the Member for North East Somerset pointed out, the Scottish Parliament has had plenty of time to let this House know its views on the amendment, but has not done so, and the hon. and learned Lady is now going to support it. She cannot answer the question put by the Minister, namely what would be the constitutional position if, having passed this amendment, the Scottish Parliament then refused the legislative consent motion. That question was also put by my hon. Friend the Member for North East Somerset; it was at that point I knew I was on to something, because I was going to ask her exactly the same question.
ParlaMint-GB_2016-11-01-commons.u384	rose—
ParlaMint-GB_2016-11-01-commons.u385	The hon. and learned Lady did not answer either of them, so she would not answer me and I will not take her intervention.
ParlaMint-GB_2016-11-01-commons.u386	Does my right hon. Friend agree that there is some help for us in this extremely big Bill at clause 232, on review of the operation of the Act? Although we cannot tell what the consultation on Leveson will come up with—there are four options in the document I have just read—we can come back in five years’ time and, if we are concerned about the implementation of section 40 of the 2013 Act, in our review of the Act this Bill will become we might be able to revisit a Baroness Hollins-type amendment from the other place.
