ParlaMint-GB_2016-02-02-lords.u1	To ask Her Majesty’s Government whether they have any plans to privatise the Land Registry.
ParlaMint-GB_2016-02-02-lords.u114	My Lords, I am grateful to the Minister for his progress report and for introducing the government amendments this afternoon. I am also grateful to him for the many meetings he has arranged since the Bill left this House, and in particular for the briefings on the outcome of the financial review As we stated at the outset and continue to make clear, we support the aims of the Bill. Our concern was that what could have been a more effective, ambitious and streamlined initiative to deliver free childcare has been let down by a lack of foresight and planning, and we continue to have that concern. So we were disappointed that the Government chose to reject our amendments in the Commons, because we believe that they would have enabled a more detailed analysis of the childcare funding system to take place, with properly costed long-term solutions to be put in place The amendments would also have ensured a proper degree of parliamentary scrutiny for a Bill which, as we rehearsed at the time, is skeleton in nature and relies on a raft of regulations to bring it to fruition. Instead, we will be reliant on debating secondary legislation —over which, quite clearly, we do not have the same influence—to agree the fundamentals of what the future childcare offer will be. I have listened carefully to the Minister’s outline of the next steps, and I am very grateful for the offer of continuing involvement in the regulations. I hope they will be as meaningful as he has now suggested, and let me make it clear to him that we will hold him to his word on this matter In the mean time, sadly, we are left with a Bill which is a pale shadow of its original ambition as set out by the Prime Minister at the election. The truth is that lots of parents who believed the election promises now stand to be disappointed. In order to bridge the funding gap, which, incidentally, we told the Government all along was a problem, the Government have now squeezed the eligibility for free places, so that less than half of all three and four year-olds will be eligible. The original plan was that 630,000 children would be eligible, and now that figure has been reduced to 390,000. It is the poorest parents who will lose out the most—those on the edge of the labour market with short hours, part-time work and zero-hours contracts. As we know, it is those parents, the most disadvantaged, whose children would benefit the most from the provision of quality childcare to help them to close the attainment gap. That is a fundamental regret of the Bill At the same time, despite the welcome injection of extra funds, the Government still do not appear to have squared the funding crisis. Research by the House of Commons Library has revealed a shortfall of £480 million over the Parliament, which means up to £470 per child per year. I am not sure that the latest figures announced by the Minister will square that figure. Those figures, which are backed by Ceeda research from the Pre-school Learning Alliance, make the case powerfully that the impact on the capacity in the system may lead to fewer rather than more places becoming available. In addition, as in the past, there appears to be no uprating mechanism, so that funding runs the risk of falling further behind over time. Will the Minister clarify how future costs will be evaluated year on year? He mentioned the national funding formula, but I am not sure that that will address those concerns I also regret that the Government did not pay more heed to our concerns and those raised by numerous stakeholders across the sector on these matters. Nevertheless, we do support the Bill. It clearly represents a step forward. For many parents, it will provide a welcome lifeline back into paid work and for many children it will become a new route into quality care, which will obviously give them a much better start in life. It addresses one segment of a much bigger problem of affordable childcare for all and the need to close the attainment gap between children on free school meals and their peers. In the mean time, we will continue to press this case. We will watch the rollout of the Bill with interest and we will participate in the scrutiny of the regulations with vigour. I thank the Minister for his commitment up to this point.
ParlaMint-GB_2016-02-02-lords.u115	My Lords, I thank the Minister very much for what he said today and for the discussions that he organised during the course of the Bill. The Bill is very different from the one that first saw the light of day in this House, which was only notable by its lack of detail. It has certainly gained considerable flesh on the original skeleton, and I am grateful for that. However, it is not necessarily a fully formed being just because it has grown throughout its progress. We still have some concerns about the detail that the Minister has finally given the House today There has been a broad welcome across the House, which we agreed with, for the Government’s additional childcare offer. I will comment on two particular aspects of the Bill in its final form, in the light of the discussions that we had in this House. First, we have always been concerned about the funding. There were wide discussions in Committee and on Report about the viability of providers if there were no adequate recompense for the hourly rate, and we welcome the additional funding that the Government have put into that, albeit that it is 30p an hour. I have great concerns that it will not up be upgraded annually by either RPI or CPI. If it is not, that will put additional stress on the financial viability of providers An issue that we on this side particularly raised in the course of the discussions was that of the additional capital that should be made available to enable providers to offer the further 15 hours, and there were many discussions about how that could be achieved. I welcome the Government’s capital fund that they have set aside for just that purpose, which demonstrates that some of the arguments we made have been recognised, albeit perhaps not enough, in my view.
ParlaMint-GB_2016-02-02-lords.u116	My Lords, I thank the Minister for the work that has been put into this Bill and I welcome it. I also thank him for the meetings that he arranged, which were extraordinarily informative and helpful, together with the documentation, which I have looked at but needs quite a lot of study to get a grip on the numbers I have two points. Like the Minister, I am keen to see implementation, so I am delighted that there will be projects moving forward early. How will the lessons that are learned from these early projects be applied to looking again at regulations, and how can we improve any further projects, which look rather like pilots, if I can use that word? I should be pleased to know how that learning is carried forward Listening to the noble Baroness, Lady Pinnock, I, too, have a concern that some of the poorest and most disabled children will not gain access to this funding. I have spoken to the Minister on a number of occasions about autistic children and children in specialist care provided by the non-governmental sector where it is very much at the whim of the local authority as to whether someone gains funding for their project. Can we at some point look at that? As far as I can see, the eligibility criteria have been changed because of the financial ceiling that is available for this work to go forward. Knowing how keen the Minister is on children and their education, and on giving them a good start, maybe in the lifetime of this Parliament, more children will be able to enjoy the benefits of early childcare places. When we learn about the benefits, maybe another childcare Bill will be introduced in the future.
ParlaMint-GB_2016-02-02-lords.u117	My Lords, I thank the noble Baronesses, Lady Jones, Lady Pinnock and Lady Howarth, who have spoken in the debate. Their contributions in today’s debate emphasise the extensive knowledge and experience of childcare policy across the House. This is a widely supported manifesto commitment, much anticipated by parents who want the Government to provide more help with their childcare costs. It is very pleasing to hear support across the House and the other place for the aims of the Bill and the Government’s commitment As has been highlighted during the passage of the Bill, we all recognise the benefits that free childcare can bring. This includes supporting those who are most disadvantaged by increasing their social mobility through providing opportunities to work or work more, rather than the availability of quality affordable childcare being a barrier to getting on. The amount of detail and certainty about the funding settlement for early years has increased significantly since noble Lords last debated this Bill, as I said earlier. As we have heard today from the announcements of the spending review, we are looking at a really positive position for early years. We have gone over and above our promise by investing a record amount in childcare and making a clear commitment to paying more to those providers who wish to deliver the free entitlement We want the increased rate to enable and encourage providers to deliver the entitlement. Following our comprehensive review of the cost of childcare and our significant additional investment, we are confident that this will happen. We firmly believe that we have established a sustainable rate for providers, taking into account the evidence that we gathered throughout our cost of childcare review. The upfront nature of our funding uplift, coupled with the introduction of a national funding formula, will help providers to manage future cost pressures, such as the introduction of the national living wage. We are confident in the work of the cost of childcare review, and there is no case for establishing a bureaucratic and costly process that repeats the review on an ongoing basis. The Government will monitor the implementation of 30-hour free childcare, for example, through the early implementers, and if any issues arise relating to funding they will be considered in the context of delivery of the whole policy The noble Baronesses, Lady Jones and Lady Pinnock, talked about eligibility. Parents will be eligible where they work the equivalent of 16 hours at national minimum or national living wage, whichever applies to them. The Government have also taken the decision to introduce a higher earnings threshold, so that where parents earn more than £100,000 per year each, they will not be eligible for the additional hours. I remind noble Lords that all three and four year-olds remain eligible for the first 15 hours of free childcare, which remains universal. We estimate that the additional 15 hours will benefit around 390,000 children As noble Lords will be aware, the free entitlement hours sit within a wider package of childcare support available to parents. This package includes the universal 15 free hours for three and four year-olds and disadvantaged two year-olds, tax-free childcare, and universal credit, under which parents can receive up to 70% of their childcare costs, increasing to 85% from April this year The noble Baroness, Lady Jones, is quite right about the 600,000 figure. This was the original estimate of the families who could benefit from the extended entitlement, but that included children in reception classes who could choose to stay in an early-years setting. The effect of the revised eligibility criteria is nowhere near as dramatic as the noble Baroness, Lady Pinnock, referred to. It is a reduction of 50,000 places, of which 9,000 are as a result of the income cap. Parents on zero-hours contracts will be included if they meet the minimum income requirement. In addition, part-time workers may well be able to access the entitlement and remuneration. It is important to note that they will all access the existing early education entitlement I thank the noble Baroness, Lady Howarth, for her remarks. The intelligence from early implementation will inform us about operational issues and market challenges as we finalise the functioning of the operational delivery system, enabling us to adjust our plans as we move towards full rollout in September next year. Shared learning from early implementation will provide us with early intelligence on how we can refine the system ahead of that time. The department has established a local authority working group, which the Minister, Sam Gyimah, met with in January. It will feed real-time intelligence back to the department on learning from the early implementers The noble Baroness also raised the case of disabled children, which is obviously an extremely important issue that was discussed at length by the Bill Committee in the other place and which I know is of interest to many noble Lords. The review found that the nature and level of support required by children with special educational needs and disabilities can vary significantly for each child, as does the prevalence of additional needs across each setting. The cost estimates reported in the review made allowances for these factors, but the review is very clear that funding for children with additional needs in the early years cannot be solved with a one-size-fits-all approach. In response, the Minister for Childcare has committed to consider early-years funding for children with special educational needs and disabilities as part of our wider consultation on allocation and a fairer funding system. The department is now working with the sector and local authorities on how this might work The message is clear: the Government are on the side of working parents, helping them to get on and supporting them at every stage of their life. That is why we are pressing ahead with these reforms, going further than ever before to help with childcare costs, help hardworking families and give people the choice to get into work or work more hours. This will all lead to having the right childcare in place, which will mean more parents can have a genuine choice, security and peace of mind when it comes to being able to support their family. The Bill clearly delivers on those objectives, and I hope that noble Lords will support the Government’s amendments.
ParlaMint-GB_2016-02-02-lords.u118	That this House do agree with the Commons in their Amendment 4.
ParlaMint-GB_2016-02-02-lords.u119	My Lords, I shall speak to Amendments 4 and 4A in this second group. Amendment 4, and Amendment 4A, tabled by the noble Baroness, Lady Pinnock, relate to flexible childcare provision for working parents. When we debated the amendment on Report, I was clear that the Government are fully committed to ensuring that sufficient flexible provision of childcare is made available to support hard-working parents. Indeed, if the new additional free hours are to support parents to work, they need to be delivered in a way that meets parental demand. We know that a large number of parents, particularly those on low incomes, work all year round and outside nine to five. We want to ensure that the new entitlement provides childcare to support their working patterns.
ParlaMint-GB_2016-02-02-lords.u120	Leave out “agree” and insert “disagree”.
ParlaMint-GB_2016-02-02-lords.u121	My Lords, noble Lords will recall that, on this side, we secured the support of the House for our amendment to include a flexible approach to the implementation of the additional 15 hours of free childcare. We did so because parents and providers told us that the main barrier to their working hours was access to childcare after school hours and during school holidays. Indeed, many parents—especially mothers—expressed to us the horror with which they viewed forthcoming school holidays, particularly the long six-week summer holiday, because of the difficulties they had in either affording childcare or dealing with it in some other way through family and friends. I have read with interest, and noted with satisfaction, that the Minister in the other place conceded the need for flexibility when he said: “I completely agree with the principle of the amendments tabled in the other place”.—[Official Report, Commons, Childcare Bill Committee, 10/12/15; col. 103.] I have listened very carefully to the Minister today and welcome his statement in support of the need for flexibility. We are, at last, all agreed: flexibility is important. Although we can all agree on the principle, it is the implementation that interests me. I also welcome and thank the Minister for his concessions towards implementing a flexible childcare offer. I am glad that, on this side, we have continually raised the issue of flexibility, which has put that bit of pressure on the Government to think about it and come up with an approach to dealing with it. It is absolutely vital to the lives of many working families that we address their difficult daily conundrums of “Am I going to get back from work in time to pick the children up?” or “What am I going to do in the school holidays?”—in fact, to have an offer which enables people to go to work with the worries of childcare not first and foremost in their minds I really do thank the Minister for what he said today. I will summarise it and then I will have a think about whether it is enough. First, he said that he will put in the regulations the need to support local authorities in developing a flexible approach. That seems to have it written down and, as long as the regulations are up to scratch, seems something that will work in providing flexibility. He also said that four out of eight of the early implementers—the pilot schemes, in my phraseology —will test this out. That also seems a very positive and constructive approach. He mentioned extra funding. I did not quite hear how much he said it would be. Perhaps he could repeat that in his response. If there is extra money, I am always in favour of that, especially if it is for childcare. I think he said that local authorities would be required to be transparent in their offer. Using the examples he gave of Bradford, Brighton and Hove, Swindon and so on would show other local authorities what they could follow and replicate. If that is transparent and open, that would also be positive I welcome the approach to childminders, who play an enormously important role in the provision of childcare in this country. To encourage them to do more than in their own domestic setting is very much to be welcomed because it will enable a more flexible offer to lots of working parents, who often use more than one provider to enable their working lives to continue. They drop their children off with childminders before work; then the childminder takes them to a professional provider and collects them; the childminder has them at the end of the working day and the school day, and they are collected from there. To envelop all the providers into one—I hope—coherent package is very much to be welcomed It seems that great strides have been made towards enabling a more flexible approach, both out of school hours and during the school holidays. I hope that will, first, enable more parents to develop their own skills in the workforce without those constant worries that their children are not being properly and adequately cared for; and, secondly, enable more families to become financially secure, albeit not the families that I mentioned earlier. Given that the Minister has made such a great stride towards meeting the thoughts that I had on the flexible offer in childcare, I will hear what other noble Lords say but I thank him for the movement he has made. I beg to move.
ParlaMint-GB_2016-02-02-lords.u122	My Lords, I will speak very briefly on these amendments. As noble Lords will know, we agreed with and very much supported the amendment originally proposed by the noble Baroness on Report and we still think that the principles behind it are important. We also noted, both on Report and in the Commons, Ministers’ wording when they agreed with what was proposed; that is, they agreed with the concept of flexibility and the need to build more flexibility into the system, so obviously that is very welcome. I suppose that my one remaining concern is that “flexibility” may be all things to all people. It can hide a thousand sins. I would like to drill a little more into what is meant by that word. The noble Baroness’s original amendment specifically referred to flexibility being in the context of extending opening hours beyond nine to five and making provision in school holidays. It would be very helpful if the Minister could confirm that “flexibility”, in his terms, is about those sorts of issues and not some weaker concept.
ParlaMint-GB_2016-02-02-lords.u123	My Lords, briefly, I support Amendment 4A. I reiterate my strong support for the principle behind the Bill: to help parents, particularly mothers, to enter and stay in the workforce by ensuring that their children have access to high-quality and affordable childcare My key concern today, which is something that we have pressed throughout the passage of the Bill, is that the extended free childcare should be available to everyone who needs it including those who work atypical hours. As we have heard, those might be early in the morning, late in the evening, at weekends and during the school holidays. The question that I ask myself is: does this Bill help low-income families and single parents—usually mothers—to enter and stay in the workforce? To be able to answer that with a resounding yes, we must be confident that the free childcare will be available on a flexible basis which matches the working patterns of all parents. I am thinking particularly of those people struggling at the very bottom of the income scale, who are generally in no position to negotiate their working patterns in the way that, thankfully, many parents working in professional and managerial positions or those in more stable jobs can We know from all sorts of surveys that there is much demand for flexible childcare outside of standard hours. We also know that the supply of it is currently very scant. The only figure which I will quote is from the Family and Childcare Trust’s annual childcare costs survey of last year. It found that only 14% of local authorities in England said that they had sufficient childcare for parents working atypical hours I know that the Minister understands this issue very well and I welcome the plans that he outlined earlier in this debate to ensure that low-income families needing flexible childcare will actually be able to find it at hours that suit their needs. It will be vital that the strong focus on flexibility of hours is reflected in the pilots and the regulations, and the Minister has made clear that it will be. I am pleased about that, but would press him to go a little further. He talked about transparency and the monitoring arrangements, all of which I welcome, but at what point will he decide to review whether those things have worked and whether the approach he has set out has delivered the intended results?
ParlaMint-GB_2016-02-02-lords.u124	My Lords, I thank all noble Lords who have participated in this debate for their contributions. I particularly thank the noble Baroness, Lady Jones, who has provided scrupulous challenge from the other side of the House throughout the passage of the Bill. She has seen the Bill through to the end of its passage, even though she has changed her responsibilities during that time. I also welcome the meetings and sessions we have held outside the Chamber, particularly on the funding review, which I hope noble Lords found useful I also pass on my thanks to the noble Lord, Lord Touhig, and the noble Baronesses, Lady Pinnock and Lady Tyler, who have provided a constant source of challenge to this policy, as they have today, always with the best of intentions. I pay special thanks to the noble Lord, Lord Sutherland, who provided support throughout the passage of the Bill, ensuring the relevant Peers were involved in the crucial steps we took to guarantee the Bill is the best that it can be to deliver this well-intentioned policy to support working parents. I look forward to continuing to work with him and other noble Lords as we produce regulations to make this policy a reality, and I welcome the important scrutiny I know they will provide Although we have not had an extensive discussion today on the quality of the entitlement and the workforce, I am thankful for the discussions I have had on these throughout the passage of the Bill, particularly with the noble Earl, Lord Listowel, and the noble Baroness, Lady Howarth. The Parliamentary Under-Secretary of State for Education and Childcare and I also thank all the officials in the Department for Education who have supported the passage of the Bill. Our particular thanks go to the excellent Bill managers who have so ably supported the Bill through both Houses: first Jenny Preece, then Katy Weeks The noble Baroness, Lady Jones, asked me to be a little clearer about what I meant by flexibility. She is always very suspicious and I am sure she thought that I was trying to use some mealy-mouthed words in that definition—I had hoped she would know me better by now. It covers all the things that she mentioned and others. It will of course depend on the particular needs in the area but it is meant in the widest sense: we are not trying any fastballs here. We believe that the funding we have come up with will be sufficient, including in terms of flexibility, but I note the quite technical points that she makes about the workings of this in relation to flexibility, as well as those made by the noble Baroness, Lady Tyler. I would be very happy to host a meeting when we have had feedback from the early implementers, particularly on this point, and to have further discussion about this. The points they raise are very important to making sure that this does actually work in practice. As for the points made by the noble Baronesses, Lady Pinnock and Lady Tyler, the summary given by the noble Baroness, Lady Pinnock, was spot-on—it is delightful to see that the art of precis is still alive and well. As I have said, noble Lords will be involved in drafting the regulations in this regard. As to the money, £30 million has been announced for the eight areas mentioned to deliver the 30 hours of free childcare to 5,000 children from September 2016. Four of these, as I said, will focus on flexibility. In addition, we have announced £4 million to support an additional 25 local authorities in testing innovative approaches to flexibility. We agree and understand that balancing capacity and flexibility is complicated, which is why the Government have announced these issues today. I hope that the noble Baroness does not have to think very long and hard whether what I have said today and the assurances that have been given will enable her to withdraw her amendment to the Motion.
ParlaMint-GB_2016-02-02-lords.u125	I thank all noble Lords who have contributed to this amendment on a flexible approach to the childcare offer and I thank the Minister most sincerely for the important offer that he has outlined today, which will take us very much in the direction of travel that I hoped we could achieve. With that, I beg leave to withdraw the amendment.
ParlaMint-GB_2016-02-02-lords.u126	That this House do agree with the Commons in their Amendments 5 to 7.
ParlaMint-GB_2016-02-02-lords.u127	My Lords, I do not know whether this is the appropriate time to do so, but before the Bill passes, I wanted to extend my thanks to the Minister and his civil servants for their courtesy throughout its passage. I know that it will continue to be extended to my noble friend Lord Watson for many months to come.
ParlaMint-GB_2016-02-02-lords.u128	That a Humble Address be presented to Her Majesty praying that the Order, laid before the House on 18 December 2015, be annulled (SI 2015/2045) Relevant document: 20th Report from the Secondary Legislation Scrutiny Committee
ParlaMint-GB_2016-02-02-lords.u129	My Lords, this is an important debate, and it is with regret that I felt that I must table this fatal Motion, as I am aware of the significance of this action, but regard the matter as so serious as to merit such a Motion. The order makes policy changes which will have far-reaching and detrimental effects—effects which will not only put our renewables industries in serious jeopardy but impact on our ability to deliver our legally binding renewable energy targets. Furthermore, the strong economic case for investing in the sector seems to have been ignored, neglecting what could and should be an extremely significant source of Britain’s future economic prosperity The feed-in tariff scheme is the Government’s main mechanism to encourage the deployment of small-scale, low-carbon electricity generation, and the order imposes two caps: one financial and one that controls generation capacity. The financial cap of £100 million applies to all renewables technologies right up until 2018, meaning that they will get approximately £35 million a year between them all for new-build deployment. The generation cap on each technology sets a quarterly maximum which, translated, means that even if there is demand, suppliers will be prohibited from meeting it. That is extraordinary micromanagement of an industry The industry understands that subsidies must end—there is no argument about that—but the economically sound way to respond to that is to reduce subsidies at a rate that allows the industry to continue to grow and move to a stable, subsidy-free footing. That is not what the Government are doing, alas. The rug is being pulled from underneath the industry, reducing the size of the workforce by up to half, just when other countries around the world have spotted the business opportunities in this sector and are increasing their investment. The steepness and abruptness of the Government’s proposals caused shockwaves across the industry—security, confidence and investment all undermined at a stroke The Secondary Legislation Scrutiny Committee states: “We draw this Order to the special attention of the House on the ground that it gives rise to issues of public policy likely to be of interest to the House” The committee further notes that there was a very high level of opposition to the DECC proposals in the responses to its consultation from the renewables sector, with a total of 54,630 written responses, of which 2,634 were unique responses. The majority objected to the proposed deployment caps and 90% disagreed with the proposed generation tariffs. Following the consultation, the Government made some changes: the reintroduction of the pre-accreditation scheme; the lessening of the reductions to the feed-in tariffs from 87% to 65%; and making tariff bands clearer—which are all very welcome. I have no doubt that the Government will argue in this debate that they moved following those representations, but I do not believe that they have moved one iota beyond their originally intended position Our renewable industries have been remarkably successful. In the new low-carbon sector in the United Kingdom, 11,500 companies are involved with 460,000 people turning over, in 2013, about £120 billion. The major player is solar. This is good for the economy and for the planet. The deployment limits will severely impact on the size of one of the cheapest low-carbon energy options just at the very moment that there is a need for greater deployment of renewables. Only one week ago, Ban Ki-moon said: “I call on the investor community to build on the strong momentum from Paris and seize the opportunities for clean energy growth. I challenge investors to double—at a minimum—their clean energy investments by 2020” However, investors will not come here. We are going in the wrong direction.
ParlaMint-GB_2016-02-02-lords.u130	My Lords, I should inform the House that if this Motion is agreed to, I cannot call the Motion in the name of the noble Lord, Lord Grantchester, due to pre-emption.
ParlaMint-GB_2016-02-02-lords.u131	My Lords, the statutory instrument before your Lordships’ House today is the latest in the recurring string of announcements from the Government that severely limit the UK’s renewables industry, the mishandling of which severely damages confidence among all investors in the sector. This SI contains massive restrictions in the deployment of small-scale renewables, including a 65% cut to the rate of feed-in tariffs available for small-scale solar, from 12p to 4.39p. It also contains a system of deployment caps and degressions that shackle the growth potential of what should be a flourishing new industry. The Government’s impact assessment puts the number of jobs lost at 18,700, which is half the number of jobs in the sector. This Feed-in Tariffs (Amendment) (No. 3) Order introduces quarterly deployment caps which, once capacity is filled, participants transfer to the next available quarter, with a 10% degression rate. Will the Minister explain to the House how this deployment cap will operate transparently for participants This is a terrible scheme. In the wake of the Paris agreement on climate change, everyone should be working together to bring forward investment in low-carbon and zero-carbon power. This sudden and severe change in policy with built-in cliff edges risks cutting the industry off at the knees rather than supporting it to get up and running on its own feet and guiding its graduation towards being subsidy-free. Your Lordships’ Secondary Legislation Scrutiny Committee drew attention to the high levels of opposition to these changes in responses to the consultation. Participants found it hard to be convinced on future deployment levels when the department was unable to substantiate its claims. Industry is losing faith with the Government on the way it is being treated The noble Baroness, Lady Featherstone, proposed from the Liberal Democrat Front Bench that the order be annulled. This is opportunistic posturing. Liberal Democrats can have short memories. They were willing participants in the coalition Government with the Conservatives. They had a Lib Dem Secretary of State at the Department of Energy and Climate Change who brought in the first alterations and cuts to the FIT scheme. In 2012, the then Lib Dem Secretary of State introduced changes with the following perverse logic and curious soundbite: “By lowering the tariff we can extend it to more people—making clean, green, renewable energy available to the many not the few” They did not set a long-term policy outcome. They did not base the policy on the best outcome for the UK to bring forward industry in partnership Our Motion clearly puts on record our serious concerns about the Government’s feed-in tariff policy. Nobody can be in any doubt about that. Labour in this House seek to take on issues where we believe progress can be made within the constitutional limitations we have as an unelected revising Chamber. Furthermore, this House has agreed that it should only rarely threaten to defeat statutory instruments, as to do so would be an effective veto on the Executive Government. The Motion moved today by the noble Baroness is at least the fourth on an SI from the Lib Dem Benches this Session, and there is a fifth fatal Motion to come. If they had all been Government defeats, there would have been as many fatal SI defeats as there have been since World War II, but let us not allow that to deflect the House from the tactics of the Conservatives. At least they have been consistent in bringing forward vague manifesto commitments by putting them in Bills—for example, cuts to onshore wind in the Energy Bill presently in the other place—in contrast to the unannounced policy changes being brought forward in the negative statutory instrument we have before us today. I understand the concern expressed that this is incompatible with the recognised conventions When the Minister replies, will he clarify why changes to the onshore wind regime merit a few clauses in the Energy Bill with grace periods and provisions that can be amended, whereas this order on solar energy generation and the solar RO changes to come in another SI are negative instruments that cannot be amended? What are the substantial differences that merit these different approaches? I recognise that the parent Acts may allow this, but to a wider audience they are inconsistent. In view of the strength of argument against the order, will the Minister withdraw it for future reflection?
ParlaMint-GB_2016-02-02-lords.u132	My Lords, the energy policy of this Government is in utter disarray. One can take no pleasure in their discomfort; the adverse effects will be felt by all of us in the immediate future and in the longer-term The Government ought to have taken a strategic approach to the supply of energy. The explanation of their failure to do so lies partly in their ideological tenets and partly in the mistaken lessons that they have drawn from a previous experience. The experience of denationalising the electricity industry has led them to believe that investment decisions could be left to the market. At the time of this denationalisation there were ample supplies of North Sea gas and the private companies were able to invest cheaply in gas-powered turbines for generating electricity. When these were placed alongside the existing conventional coal-fired power stations, there was an ample supply of generating capacity. With the decommissioning of the coal-fired power stations, this is no longer the case The Conservatives have come to believe that this experience provides a model for an energy policy. They have convinced themselves that a centrally directed strategic policy for energy provision is a thing of the past. They persist in believing that the private sector can be relied on to deliver a mixed portfolio of generating technologies. They imagine that in this way they can avoid the risk to government of choosing and pursuing an inappropriate technology The feed-in tariffs, which we are discussing today, became an important part of the laissez-faire approach when it was recognised that certain infant technologies might need some assistance. Households and small enterprises have been given incentives to pursue small-scale generation. The incentives consist of a pro rata payment for each kilowatt of electricity they generate, together with a so-called export tariff, which is supposedly tied to the amount of electricity that is fed into the grid. In the absence of a meter to determine how much electricity has been exported, it is assumed that 50% of the electricity generated by photovoltaic cells will be exported and that 75% of the electricity generated by wind turbines will be exported. The intention was gradually to reduce the financial support given to the infant industries via a process described as “degression”—a neologism unrecognised by most dictionaries Instead of a steady reduction in the support for small-scale generation, the Government have reacted to the success of the scheme and its consequent expense by proposing a step change in the support, which virtually abolishes it. Their reliance on a laissez-faire market-oriented policy has exposed the Government to the unintended consequence of a vigorous expansion of photovoltaic generation. There is now a significant industry devoted to the installation of the equipment and a major import bill to be paid to the suppliers of solar panels, who are predominantly the Chinese Why have the cuts been so drastic? The reason is that the expenditure in support of the feed-in tariff threatens to pre-empt too large a proportion of the expenditure allowed under the so-called levy control framework, which limits the expenditure on subsidies that are levied from consumer bills. The Government wish to devote these funds to other purposes, which are their support of nuclear power and fracking. However, by some quirk of European Union legislation that could easily be disregarded, the funds devoted to supporting infant enterprises under the levy control framework are accounted as government taxation and government expenditure. This is a matter of statistical classification, which would be regarded as unimportant were it not for the Government’s obsession with the nominal size of the budget and the budget deficit The effects of the withdrawal of support have been acknowledged in the Government’s own impact assessment. An infant industry will be threatened with extinction and many people will be thrown out of work The advent of photovoltaic electricity generation is important because of the manner in which it can stimulate further technological advances, as well as the way in which it promises to change consumer behaviour. The technology in question is that of smart metering, which will allow the price of electricity to be varied according to the level of demand, and which will inform the consumer accordingly. Consumers will become increasingly aware of the cost of grid-supplied electricity and of the desirability of avoiding its use during periods of peak demand. With smart metering, it should become self-evident to consumers that they should deploy energy -intensive electrical appliances only in off-peak periods The disarray of the Government’s energy policy, of which I spoke at the outset, is the result of their reliance on willing providers to undertake the required investment in electricity generating capacity. But there has been a dearth of willing providers. In consequence of their failure to invest, the large energy suppliers should bear the cost of maintaining the present feed-in tariffs. The prospective investors in nuclear power are the nationalised and semi-nationalised energy corporations of two foreign countries; namely France and China. There are now doubts regarding the commitment of EDF, the French national electricity supplier, to build the nuclear power station at Hinkley Point. If the French withdraw from this project, it seems likely that the Chinese will do likewise. What then will remain of the Government’s energy policy? They will have to rely on increasingly expensive supplies of gas. Their ambition to derive ample supplies of gas by fracturing the ground under our feet appears to me an implausible one. The alternative supplies of gas, which are from the Middle East, the north Atlantic and Arctic Russia, are beset by geopolitical hazards. Moreover, if we are to rely on imported gas to satisfy our energy needs, it will not be possible to fulfil the commitment to staunch our emissions of greenhouse gases I strongly support these Motions, which oppose the cuts in the feed-in tariffs, and I call on the Government to think again.
ParlaMint-GB_2016-02-02-lords.u133	My Lords, I rise to oppose both these Motions, but especially that in the name of the noble Baroness, Lady Featherstone. I should perhaps declare an interest, in that I have been a beneficiary of feed-in tariffs, albeit not with solar Feed-in tariffs cost about £1 billion a year—last year it was £851 million—and most of that goes on solar. That is a considerable sum of money, and every penny of it is added to the bills of electricity consumers. I find it significant and surprising that speakers so far have spoken up for the producers rather than the consumers. Adding that money to consumers’ bills hits the poor harder and rewards the rich, because electricity makes up a bigger part of the expenditure of the poor. So it is a regressive transfer of money from the poor to the rich What are we getting in return for this expenditure? We get rooftop solar running at 10% load factor, which is less than 1% of final electricity consumption. That is a trivial trickle. Most of it is generated on a summer’s day, rather than on a winter’s night when it is most needed The Minister’s own department’s renewable energy planning database shows that the UK has already given planning permission for sufficient renewable energy capacity to overshoot the 110 terawatt-hours required to meet the 2020 target contribution for electricity. The overshoot, if it is built, would be about 35%, but there is no budget for that excess. The department reckons a budget overshoot of £1.5 billion is possible. However, some people calculate that it could easily be £2 billion and that the department is being conservative My final point is political. I have checked my party’s manifesto, and it seems to me that the Government’s actions are entirely consistent with it. I am therefore extremely sorry that the noble Baroness should choose quite soon in her career in your Lordships’ House to introduce a fatal Motion. A lot of people are increasingly being left with the feeling that these fatal Motions are not just discrediting your Lordships’ House—they are actually intended to discredit your Lordships’ House.
