ParlaMint-GB_2016-04-27-commons.u1	1. What steps he is taking to increase democratic participation.
ParlaMint-GB_2016-04-27-commons.u224	This has been one of those occasions when I have felt very proud to be a Member of Parliament, and I commend both the Home Secretary and the shadow Home Secretary for the roles that they have played. I also commend Liverpool football club, which I do not think has been mentioned yet. The club never told the fans that it was time to move on; it has always taken ownership of a terrible, terrible tragedy This was allowed to happen because, in the eyes of the establishment, football fans were less than human. As soon as the police and the establishment see groups of people not as individuals but as less than human, we enter very dangerous circumstances. Before these people, it was the miners who were less than human. Perhaps we should think about the way we treat disabled people, asylum seekers or the victims of child sex abuse today, and wonder whether we think that they, too, may be less than human. Perhaps that is a lesson for all of us to consider As soon as this tragedy unfolded, the first instinct of South Yorkshire police was to protect their institution and their reputation, and to think nothing of the people who died, and their families, because they considered those people to be less than human. That instinct that they experienced instantly in April 1989 appears to be just as strong 27 years later, given the way they have conducted themselves during this latest inquiry. I commend everything that the Home Secretary has done, but may I ask her to consider whether she believes that the people of south Yorkshire should have confidence in the current leadership of South Yorkshire police, and whether, indeed, she has confidence in the chief constable of South Yorkshire police? Might she take the opportunity of the final moments of this exchange, during which she has conducted herself so magnificently, to ask the chief constable of South Yorkshire police, from the Dispatch Box, to consider his position—not just for the sake of the families, but for the sake of all the people who rely on that police force?
ParlaMint-GB_2016-04-27-commons.u225	The hon. Gentleman has referred to the leadership of South Yorkshire police. As I said earlier, people will vote for a police and crime commissioner next week, thus conferring that democratic accountability I responded earlier to questions from my hon. Friends about the wording of the statement issued by South Yorkshire police, but let me say again that I think it behoves them to recognise the import of yesterday’s verdicts. I hope that we will not see attempts to suggest that those verdicts were somehow not clear, or were in any way wrong. That jury sat through 296 days of evidence, and they were clear about the role of South Yorkshire police officers.
ParlaMint-GB_2016-04-27-commons.u226	I thank the Home Secretary, the shadow Home Secretary, and all colleagues for what they have said, and for the manner in which the exchanges on the statement have been conducted.
ParlaMint-GB_2016-04-27-commons.u227	On a point of order, Mr Speaker. May I seek your advice on how I can express my deep sorrow about something to which the Prime Minister referred earlier As you know, Mr Speaker, if Ministers make a mistake, they can correct the record. I hope you will allow me to say that I fully acknowledge that I have made a mistake, and I wholeheartedly apologise to the House for the words that I used before I became a Member of Parliament. I accept and understand that the words that I used caused upset and hurt to the Jewish community, and I deeply regret that. Anti-Semitism is racism, full stop. As a Member of Parliament, I will do everything in my power to build relations between Muslims, Jews, and people of different faiths and none I am grateful, and very thankful, for the support and advice that I have received from many Jewish friends and colleagues, advice on which I intend to act. I truly regret what I did, and I hope—I sincerely hope—that the House will accept my profound apology.
ParlaMint-GB_2016-04-27-commons.u228	The hon. Lady has found an opportunity to apologise. I thank her for what she has said, and it will have been noted by the House. I think that that is all I should say on this occasion.
ParlaMint-GB_2016-04-27-commons.u229	I commend the hon. Member for Bradford West (Naz Shah) for the words that she has just spoken On a point of order, Mr Speaker—a wider point of order —would it be possible for us to develop in our procedures an opportunity for the Prime Minister rapidly to correct any misleading impressions that he inadvertently gives during Prime Minister’s Question Time? For example, I know that he would be incredibly anxious today, following his general attack on the procurement policies of the Scottish Government with specific reference to the Forth crossing, to acknowledge that, in fact, 45% of the total orders, which amounted to £540 million, were placed with Scottish companies I know that the Prime Minister would also want to correct the misleading impression that there was no Scottish steel in the contract by acknowledging that steel from the Dalzell plate mill was used in the girders at either end of the bridge. And I fully understand that he would want to acknowledge that the reason why there was no Scottish bidder for the main subcontract was the closure of the Ravenscraig steel mill by a previous Tory Government in the 1990s, which removed our capacity to supply such steel I know, Mr Speaker, that the provision of such an opportunity would swallow up the entire time of the House, given the many mistakes that this Prime Minister makes, but in view of the clarity of this particular example, perhaps you could consider my new, innovative prime ministerial correction procedure.
ParlaMint-GB_2016-04-27-commons.u230	I am very grateful to the right hon. Gentleman for his point of order. It has been commented upon many a time and oft in recent years that I have sometimes judged it necessary and desirable somewhat to extend Prime Minister’s questions if I have felt that there has been excessive noise. I have done that because I have wanted Back-Bench Members to have their opportunity. However, there are limits. Even I would not seek to extend Question Time to absorb more than two and a half hours, notwithstanding the sedulous advocacy of the right hon. Gentleman and his obvious enthusiasm for my doing so.
ParlaMint-GB_2016-04-27-commons.u231	On a point of order, Mr Speaker. I seek your help in finding a mechanism whereby the House might be able to force a binding vote on the Government, as a matter of urgency, following the new Lord Dubs amendment to the Immigration Bill. Vulnerable unaccompanied children require help now, but it would seem that the House of Commons is not likely to consider the Bill for another two weeks, the intention being, presumably, to avoid further embarrassment to the Government Let me also say, Mr Speaker, that I should like to avail myself of that prime ministerial correction procedure in order to enable the Prime Minister to retract his comment that other European countries are able to cope with those children. They have, of course, asked the United Kingdom to participate in a relocation scheme, and Frontex has identified the issue of vulnerable children as one of the most concerning aspects of the refugee crisis.
ParlaMint-GB_2016-04-27-commons.u232	I am very grateful to the right hon. Gentleman for his point of order. He is, in a sense, performing a kind of double act today with the right hon. Member for Gordon (Alex Salmond), two seats to his left. What I would say to the right hon. Member for Carshalton and Wallington (Tom Brake), who is a very experienced denizen of the House, having previously served as its Deputy Leader, is twofold. First, as he knows, the scheduling of business is in the hands of the Government, notably in respect of Government business. Although his expectation, as things stand, as to when that matter will next be treated by the House may well be correct, it has not been announced Secondly, the scheduling will, in all probability, be announced at business questions tomorrow by the Leader of the House. If it is not, there will be an opportunity for that matter to be probed. I know I can say with complete confidence and with no fear of contradiction that just as the right hon. Gentleman is in his place now, so he will be at the appropriate time tomorrow, and I think there is more than a passing possibility that he will catch my eye.
ParlaMint-GB_2016-04-27-commons.u233	Further to that point of order, Mr Speaker.
ParlaMint-GB_2016-04-27-commons.u234	I am not sure it is, but I always like hearing the hon. Gentleman, especially as he has such a beaming countenance today. So let us hear the attempted “further” from the hon. Gentleman.
ParlaMint-GB_2016-04-27-commons.u235	We have heard the suggestion that the Prime Minister said something that was wrong. We heard from the right hon. Member for Gordon (Alex Salmond), from the Scottish National party, that the bit between the ends of the Forth crossing, which I would call “the bridge”, was actually made with steel that was not produced in this country.
ParlaMint-GB_2016-04-27-commons.u236	Whatever else may be said, and it may be a point of enormous interest, that is manifestly not a point of order. We will leave the matter there for now. If there are no further points of order, perhaps we can now come to the ten-minute rule motion in the name of the right hon. Member for Carshalton and Wallington. Whatever he may have to say tomorrow, I assume that today he intends to address his ten-minute rule motion.
ParlaMint-GB_2016-04-27-commons.u237	I beg to move, That leave be given to bring in a Bill to make provision about the regulation of landlords and private rented accommodation; to extend tenants’ rights, particularly in relation to the sale of occupied rental property; to cap letting agents’ fees; to require the Mayor of London to establish a mandatory licensing scheme in respect of private landlords in Greater London; and for connected purposes It is no exaggeration to say that we have a national emergency in housing. It is unacceptable that in 2016 millions of people still suffer daily from poor housing, and live in fear and desperation without a secure, affordable place to call home. This fear is tearing communities apart and risks further dividing our country between a very well-off minority and the rest of us. We have soaring house prices, with the average cost of a two-bedroom house in London now out of the reach of more than 80% of people, and a rental sector in which too many people on low and middle incomes are spending around two-fifths of their salaries on housing—something confirmed by a report in the Evening Standard yesterday—and often suffer at the hands of rogue landlords. This problem is not going to go away soon Over the past decade, London’s private rented sector has more than doubled in size to become the second-largest housing tenure in the capital. There are now almost 1 million private rented sector properties in London, housing over 2 million people—about a third of the population. For many of those people, living in the private rented sector works well, with short-term tenancy agreements offering them the flexibility they need to move homes quickly for new jobs or career opportunities. Many of their private landlords are responsible, carrying out repairs in a timely manner and returning deposits promptly. However, for many others the sector has become a tenure of last resort, rather than a housing destination of choice There have been huge changes in the demographics of the private rented sector in recent years with an increasing number of families, low-income and vulnerable households living in the sector, but conditions remain poor: a third of homes fail to meet the Government’s decent homes standard, with over 60% of renters having experienced either damp, mould, leaking roofs or windows, electrical hazards, animal infestation or gas leaks, according to a recent survey commissioned by the housing charity Shelter Just last week at my surgery I met a woman who, soon after she started describing the conditions in her rented property, broke down in tears. She and her young son could no longer face waking up to live or dead rodents in their flat. In this case, her landlord is trying to help, but the quality of the housing stock makes it very difficult to stop rodents getting into the property. A few weeks previously, at another surgery, a young woman came to see me with her mother. Repairs are outstanding on their rented property. The landlord is refusing to sort them out while at the same time putting pressure on them to leave their flat. I am sure every MP will be all too familiar with these types of cases. This is why I am supporting the measures put forward by Caroline Pidgeon’s London Liberal Democrat team to overhaul the private rented sector. We believe the measures will benefit tenants and good landlords, and shut down the Rachmans of this world The exact number of rogue landlords operating in the sector remains unknown, but there is a growing sense that the problem is getting worse as demand for housing, and the profits that can be made from renting out any accommodation in whatever condition, continues to increase. One in 20 renters say they have rented from a rogue landlord in the past 12 months. As a survey of local authority enforcement in the private rented sector carried out in March 2016 by my Liberal Democrat colleagues on the Greater London Authority shows, the enforcement of standards in the private rented sector by local authorities is highly variable, with recent cuts to local authority budgets further diminishing the resources available to councils to tackle landlords who provide poor or unsafe living conditions. The resulting patchwork of enforcement has left thousands of Londoners at the mercy of rogue landlords Much of the problem lies with the lack of effective regulation and enforcement in the sector. The Residential Landlords Association, which represents small private landlords, would welcome tougher enforcement. Unfortunately, enforcement and inspection is very weak. One third of councils in London—10 boroughs—failed to prosecute a single landlord for providing unsafe accommodation in 2014-15. On average, London boroughs inspected one in every 55 homes in the private rented sector using the housing health and safety rating system. There is significant variation in the level of enforcement activity, with some councils inspecting one in 14 private rented properties for hazards and others about one in 500 The private rented sector may have met the needs of tenants in years gone by, but the profile of renters, and the average length of tenancy, has changed dramatically in recent years. If some landlords are to lose their reputation as the property industry’s wild west cowboys, it is clear that a proper framework of regulation and enforcement is required. That is what is set out in the plans I am about to refer to, which would reform the private rented sector. My Bill seeks to implement them First, all landlords in London should be registered. This would make it easier to identify the scale of, and trends in, the private rented sector, and to ensure landlords can be traced easily Secondly, there should be a crackdown on rogue landlords through a licensing scheme. The Government should introduce a licensing scheme for all private landlords in London, with the aim of professionalising the sector, improving conditions and removing rogue landlords from the housing market. I accept that this proposal would not be welcomed by all landlords, but some accept a limited role, in certain circumstances, for licensing in some areas of London Thirdly, unfair letting agent fees for renters should be scrapped. Moving from one rented home to another can be very expensive, with high letting fees and large deposit requirements. I am told that agents try to poach landlords from each other to secure for themselves the fees that are triggered on a change of tenancy. Of course, they dangle the prospects of higher rents in front of the would-be landlord. In Sutton, a quick check suggests fees of around £400 to £500 when signing up a new tenant. When that is added to the six-week deposit—currently approximately £1,500 for a two-bedroom flat—a tenant would need to find a total of £2,000 upfront Fourthly, renters should be given extra rights when landlords sell up. There should be a requirement for tenants to be given first refusal to buy the home they are renting, should the landlord decide to sell it during a tenancy Finally, councils should be given the power to manage private rental property and offer longer tenancies. This would allow councils to develop, own and manage private sector rented homes, outside of housing revenue accounts, to improve the quality of homes in the sector, with the freedom to offer long-term tenancies. I call on the Government to work with private landlords, mortgage companies and freeholders to enable private landlords to offer longer tenancies. It is often the mortgage companies or the freeholders who are standing in the way of longer tenancies. This is a package that will make a real difference Neither I nor Caroline Pidgeon is claiming that these measures are the silver bullet that will solve London’s housing problems, because the fundamental challenge is a lack of supply, particularly of affordable homes, and that problem is no closer to a solution, given that fewer than 5,000 affordable homes were built in London last year, the lowest figure since the current Mayor was first elected in 2008. However, we believe that these proposals will improve the lot of private renters, some of whom suffer in poorly insulated, damp, mouldy properties with the threat of a retaliatory eviction hanging over the heads every time they ask for a repair. This has to stop. I urge the House to support this Bill Question put and agreed to. Ordered, That Tom Brake, Norman Lamb, Greg Mulholland, John Pugh and Stephen Timms present the Bill Tom Brake accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 13 May, and to be printed (Bill 168). Trade union bill (programme) (No. 3)
ParlaMint-GB_2016-04-27-commons.u238	I beg to move Government amendment (a) to Lords amendment 2.
ParlaMint-GB_2016-04-27-commons.u239	With this we will consider the following: Government amendment (b) to Lords amendment 2 Lords amendment 17, and Government motion to disagree, and Government amendments (a) to (c) to words restored to the Bill.
ParlaMint-GB_2016-04-27-commons.u240	The measures in the Bill aim to modernise the relationship between trade unions and their members and strike a fairer balance between the rights of trade unions and the rights of people who rely on public services, by ensuring that strikes happen only when unions have secured a clear, positive and recent democratic mandate. Consideration in the House of Lords has made important changes to the Bill, the great majority of which the Government believe will improve the Bill. However, the first group of amendments deals with those issues on which the Government do not support the proposed changes The first group is about electronic balloting and facility time. We have reflected carefully, in the light of the strong views expressed in debates in this House and in the other place, and I will take each issue in turn. As I have said before, the Government have no objection in principle to electronic balloting. I have also said before, and I am happy to say it again at the Dispatch Box, that it is likely to be common in 20 years’ time. We are seeking a degree of sensible caution on this matter.
ParlaMint-GB_2016-04-27-commons.u241	The Minister will remember our many conversations about this in Committee. He says that he is not opposed to electronic balloting in principle and he accepts that it might come in. We can see the Lords amendment before us and there are moves towards a pilot scheme. Electronic balloting is used by many organisations including the Law Society, many businesses and indeed the Conservative party for the purposes of the mayoral elections. Why not just do this now?
ParlaMint-GB_2016-04-27-commons.u242	I have greatly enjoyed debating the many detailed clauses of the Bill with the hon. Gentleman over a long period when he occupied a different post on the Opposition Front Bench, and if he will give me time, I will explain why I am not quite ready to rush to the nirvana that he describes We are seeking a degree of sensible caution to ensure that important votes—these are indeed statutory votes—are safe and secure, so I am not asking hon. Members today to reject the clause added to the Bill in the House of Lords on electronic balloting. However, I am asking for agreement to a small but important change to ensure that we proceed prudently on the basis of evidence as we take this important step.
ParlaMint-GB_2016-04-27-commons.u243	The Minister will no doubt have seen the evidence from the Electoral Reform Society that the incidence of fraud in electronic balloting is no different from the incidence of fraud in postal balloting. In the light of that evidence, what is his objection?
ParlaMint-GB_2016-04-27-commons.u244	The hon. Gentleman will have to be a little patient, because I am going to come on to talk about evidence from around the world of some of the problems that other systems have encountered when trying to embrace electronic balloting too quickly and without adequate preparation I appreciate from previous debates on the Bill in this House that there are differences of opinion about whether electronic balloting is sufficiently safe and secure. Lord Kerslake said that he personally was convinced that the case for it had been made, and we have heard from others in recent minutes that they too are so convinced, but Lord Kerslake was good enough to say that he appreciated that others were not. I remind the House that the Open Rights Group gave evidence to the Speaker’s Commission in which it neatly summed up the concerns over the security of online voting. It stated: “Voting is a uniquely difficult question for computer science: the system must verify your eligibility; know whether you have already voted; and allow for audits and recounts. Yet it must always preserve your anonymity and privacy.” That was the view of the Open Rights Group, and that is the view that we must investigate more carefully. Lord Kerslake explained that that was why his clause, added to the Bill in the other place, required that a review should be commissioned There have already been many reviews looking into this matter, such as those carried out by Electoral Reform Services, WebRoots Democracy and, of course, the Speaker’s Commission on Digital Democracy. They have made encouraging comments about a move to electronic ballots, but none has been able to provide assurance on managing the risks. While there is still this doubt, I can see merit in exploring the issues further. And of course the important difference is that this review will be specifically in the context of electronic ballots for industrial action. So, in accepting that there should be a review, we accept the spirit of the clause on electronic balloting. In fact, we accept virtually the entirety of the amendment made by the Lords on electronic balloting.
ParlaMint-GB_2016-04-27-commons.u245	I understand the position that the Minister is setting out, but I am struggling to understand his logic. If he is saying that electronic balloting is neither secure nor anonymous, is he implying that when Conservative party members vote for a particular candidate online in an internal Tory party election, it is neither secure nor anonymous?
ParlaMint-GB_2016-04-27-commons.u246	With the greatest respect, I would point out to the hon. Gentleman that that is an internal election within an independent organisation. We are talking here about statutory elections, which are important because the public has a deep interest in their result and it is quite right that we should hold them to a higher standard than we do others.
ParlaMint-GB_2016-04-27-commons.u247	The Minister sounds almost guilty of double standards on this issue. He says that he has accepted the majority of the Lords amendments, but he has neglected to adopt any of those components that require substantial action by the Government. What possible objection could he have to piloting an e-balloting scheme? I think he realises that he just does not have a reasonable argument against it.
ParlaMint-GB_2016-04-27-commons.u248	If Opposition Members will just give me a minute, they will be able to hear my argument. Then they can decide whether they think it is reasonable or not.
ParlaMint-GB_2016-04-27-commons.u249	Will the Minister give way?
ParlaMint-GB_2016-04-27-commons.u250	No, I am now going to satisfy Opposition Members by setting out my argument, after which I will be happy to give way if they want to comment on it. There is only one element in the amendment made by the House of Lords with which we cannot agree and that is the strategy for roll-out, which prejudges the outcome of the review and irrevocably commits the Secretary of State to press ahead with a strategy for the roll-out of electronic balloting, irrespective of the review’s findings.
ParlaMint-GB_2016-04-27-commons.u251	I am interested to hear what the Minister says about that. The last Labour Government piloted e-voting, and the Electoral Commission report afterwards indicated that there was no evidence of fraud or other things, but what did for it was the scandal around postal voting in certain areas. There was no evidence in the report that e-voting was any more corrupt or inefficient than any other type of voting.
ParlaMint-GB_2016-04-27-commons.u252	If the hon. Gentleman is correct and if there is no problem, the review will conclude so and will report to Parliament that there is—
ParlaMint-GB_2016-04-27-commons.u253	rose—
ParlaMint-GB_2016-04-27-commons.u254	No, I am not going to give way again; I am going to carry on with my argument. The review will report accordingly to the House The power to permit electronic balloting already exists in section 54 of the Employment Relations Act 2004, but we have not yet exercised it because we have not been convinced, and neither have any previous Government, including a Labour Government that held office for 13 years, that the system would ensure privacy, opportunity and minimise the risk of fraud and malpractice. There has been much positive progress in the way that technology can help to address such issues, which is reflected in the reports I have cited. We have been clear that we will be willing to use the power when we are convinced that the concerns have been adequately addressed. The legislation is framed in a way that requires us first to be satisfied on such matters, and for good reason. That is why, instead of a strategy for roll-out, I am today seeking agreement to a statutory requirement for the Government to publish their response to the review, which would be laid before Parliament, making it readily accessible to hon. Members, who could ask questions and raise matters in the House in the usual way.
ParlaMint-GB_2016-04-27-commons.u255	Before the Trade Union Bill reached the House of Lords, the Minister wrote a letter to ministerial colleagues that was leaked to the Socialist Worker, for which the Minister may have an explanation. Will he confirm that he will use secondary legislation to put e-balloting in place should the pilot be successful?
ParlaMint-GB_2016-04-27-commons.u256	Madam Deputy Speaker, I can assure you that my relations with the Socialist Workers Party or its newspaper are probably rather less good than the hon. Gentleman’s, so it was not through my good offices that it got hold of any document—not that I accept that it did get hold of any document The hon. Gentleman asks a reasonable question, and I have made it clear that the Government have no objection in principle and that we expect statutory elections eventually to move towards online voting, but we will do that with trade union strike ballots when we are convinced that such voting is safe. That is why we want an independent review that will report to Parliament. I will not prejudge its outcome, because if I did, it would be slightly pointless to have the review in the first place.
ParlaMint-GB_2016-04-27-commons.u257	rose—
ParlaMint-GB_2016-04-27-commons.u258	rose—
ParlaMint-GB_2016-04-27-commons.u259	rose—
ParlaMint-GB_2016-04-27-commons.u260	I am happy to give way and will do so first to the hon. Gentleman.
ParlaMint-GB_2016-04-27-commons.u261	The Minister said before that online voting was okay for the election of the Tory candidate for Mayor of London because the Conservative party is an independent organisation. I hope that he would accept that trade unions are also independent. Did the Tory party carry out a review into how secure the system was before it set up the discussions for having electronic voting for the Tory mayoral candidate?
ParlaMint-GB_2016-04-27-commons.u262	I am sure that the hon. Gentleman heard my previous answer and he must recognise that these are statutory elections. Internal elections for candidates in any party are not statutory. They might be subject to problems, but that is a problem for the organisation, not for the public. The public have a right to expect a higher standard in the consideration of statutory elections.
ParlaMint-GB_2016-04-27-commons.u263	rose—
ParlaMint-GB_2016-04-27-commons.u264	I will not give way to the hon. Gentleman; he has had a go. I will give way to the hon. Members for Brent Central (Dawn Butler) and for York Central (Rachael Maskell), who have not yet had a go, but all hon. Members are welcome to speak in this debate in their own right, so it would be right to make some progress.
ParlaMint-GB_2016-04-27-commons.u265	I am grateful to the Minister for allowing me to speak. He says that it might be pointless to have a review and all the other various stages, and I agree with him. A review of the technology is pointless, because it already exists. It has already been mentioned that the Conservative party has used the technology and, as a previous programmer, I can tell the Minister that it already exists and is secure. It has been used not only in various businesses and independent organisations, such as the Conservative party, but in “The X Factor” and various other TV shows. The Minister does not need a report; he just needs to move on to the next stage.
ParlaMint-GB_2016-04-27-commons.u266	The hon. Lady is a fan of “The X Factor” and so are many of us, but she will recognise that, important though it is to the public, “The X Factor” is not a statutory election. While I am absolutely happy to acknowledge her expertise, I hope that she will acknowledge the evidence of the Open Rights Group. It is not a Tory front organisation—she can investigate it—but an independent specialist organisation that gave evidence only last year and said that there were specific issues to overcome. She will also have to explain to the review why it is that several countries have experimented with online voting and then reversed the decision because they found it to be unsafe. The review will allow us—
ParlaMint-GB_2016-04-27-commons.u267	Will the Minister give way?
ParlaMint-GB_2016-04-27-commons.u268	Of course. I did say that I would give way to the hon. Lady.
ParlaMint-GB_2016-04-27-commons.u269	Will the Minister be specific and say how electronic voting is less secure than postal voting, which has additional risks?
ParlaMint-GB_2016-04-27-commons.u270	No, I will not be specific, because we are going to set up an independent review involving people with real expertise in the matter. The hon. Lady will be welcome to give evidence to the review, which will produce a report that will be laid before Parliament. She can then interrogate the report and the Government’s response.
ParlaMint-GB_2016-04-27-commons.u271	On the point being made by the Opposition about the Conservative party’s online voting, I found it impossible to get on to the site and was unable to vote for my candidate in the mayoral election. Did my hon. Friend experience the same issue?
ParlaMint-GB_2016-04-27-commons.u272	I did not have that issue, but that does show that there can be issues with online voting, as there can be with postal voting. While it is not a matter of enormous public interest, because it was not a statutory election, we would be very worried if a statutory election, such as a union strike ballot, was subject to the same level of problems.
ParlaMint-GB_2016-04-27-commons.u273	rose—
ParlaMint-GB_2016-04-27-commons.u274	Have I not given way to the hon. Gentleman already? I will give way one more time and then I will get on.
ParlaMint-GB_2016-04-27-commons.u275	Is the Minister seriously suggesting that whoever is the Conservative party candidate for London Mayor is not a matter of interest to the public? I find his argument bizarre.
ParlaMint-GB_2016-04-27-commons.u276	I am quite happy to explain again that it is not a statutory election The review will allow us to consider again the case for e-balloting and ensure that we have assessed the latest technology. Taken together, the review and the Government’s response will enable the Secretary of State to make a properly informed and transparent decision about the risks of achieving safe, secure electronic balloting, and therefore whether such a system should be rolled out.
ParlaMint-GB_2016-04-27-commons.u277	The Minister has invited us to contribute to the review. I wonder whether he will accept electronic submissions or do we have to get our quills and parchment out?
ParlaMint-GB_2016-04-27-commons.u278	The hon. Lady makes a good point—[Interruption.] My hon. Friend the Member for Salisbury (John Glen) suggests that submissions should be inscribed on vellum, and my right hon. Friend the Minister for the Cabinet Office has a particular enthusiasm for that means of communication, but I prefer the more modern kind, so I suggest that an online submission—perhaps even by WhatsApp—might be appropriate Turning to the reserve power to cap facility time, the Government do not agree with the Lords amendment.
ParlaMint-GB_2016-04-27-commons.u279	As my hon. Friend knows, I am in favour of electronic voting, but the route that he is taking is the correct one. The one real fear out there, which can be put paid to right now, is that this approach is designed simply to delay the onset of online voting. Will he tell the House that, when the Minister receives the report, it will be dealt with with appropriate dispatch?
ParlaMint-GB_2016-04-27-commons.u280	I thank my right hon. Friend for his contribution on this and other important matters. He has made a significant contribution to the improvement of this Bill. On his particular question, the amendment that we propose agrees with the noble Lords that this review should be commissioned within six months and then reported to Parliament. I have made it clear that we have no objection in principle to e-balloting. If the review suggests that it is safe to embrace, we will proceed with it. I think he will have noted that the amendment specifically suggests that we should be able to introduce pilots. One issue with the existing provisions is that it might not be possible to do a pilot without going for a full application. Such pilots might well be an appropriate phase after the review has been completed Let me return now to facility time and the facility time cap. The Government do not agree with the Lords amendment and, in consequence, I am moving amendment 17, which brings back the reserve cap, but with safeguards that respond to the concerns that were expressed in our debates and that led to the deletion of the clause in the other place and were the subject of quite forensic inquisition in both Houses. Together with the publication requirements, it is my view that a reserve power to cap facility time to a reasonable level delivers our manifesto commitment to “tighten the rules around taxpayer-funded paid facility time for union representatives.” I shall reiterate what I said when this House was previously considering the Bill. We are not seeking to ban facility time. That has never been our intention. Our strong preference is that transparency alone should be enough to change practices in the public sector, with employers voluntarily reducing their costs where they are found to be spending more on facility time than is reasonable.
ParlaMint-GB_2016-04-27-commons.u281	The Minister is being very generous. In the aforementioned leaked memo to which I referred earlier, there was an indication that there would be concessions and discussions with the devolved Administrations in relation to facility time. Will he confirm whether consultations have taken place with the devolved Administrations, or whether it is his intention to dictate to the devolved Administrations what the facility time should be for their own workforce?
ParlaMint-GB_2016-04-27-commons.u282	I am sure that the hon. Gentleman will understand that I never comment on articles in the Socialist Worker. He will also understand that we have regular conversations with Ministers in the devolved Administrations, but all of the matters addressed in this Bill are reserved matters. It is a matter not of dictating, but of this Government fulfilling their duty to legislate on the matters for which we have exclusive responsibility.
ParlaMint-GB_2016-04-27-commons.u283	Specifically on the point about devolved powers, is it not the case that in that letter the Minister received legal advice saying that there is a very weak case for enforcing those powers on the Welsh Government?
ParlaMint-GB_2016-04-27-commons.u284	The hon. Lady, who made an admirable and, for me, rather challenging contribution to our deliberations in Committee, knows that we do not comment on legal advice If publication, and the proper monitoring and recording that it necessitates, do not achieve the aim of bringing excessive spending on facility time back down to a reasonable level, it will be necessary to consider the imposition of a cap. A reserve power is very much a power of last resort.
ParlaMint-GB_2016-04-27-commons.u285	rose—
ParlaMint-GB_2016-04-27-commons.u286	If the hon. Gentleman will forgive me, I wish to explain what we are now proposing, because it is a little different from what we proposed previously. I will give way to him before I conclude on the facility time cap A reserve power is very much a power of last resort. Although our amendment 17 brings back the reserve power, we are not simply replicating the provision that this House considered previously and that was deleted from the Bill in the other place. The amendment before the House today incorporates a number of safeguards that will trigger how and when the reserve power to cap facility time would be exercised. We have listened to the concerns of Members of this House and the other place and have sought to address those concerns in the amendment.
ParlaMint-GB_2016-04-27-commons.u287	rose—
ParlaMint-GB_2016-04-27-commons.u288	Let me finish this bit, because I am trying to explain what is different about what we doing. I will then be very happy to give way to my hon. Friend.
ParlaMint-GB_2016-04-27-commons.u289	And me.
ParlaMint-GB_2016-04-27-commons.u290	Of course It is our intention that exercise of the reserve power will not even be considered before there are at least two years of data from the bodies subject to the publication requirement. Following the publication of the second year’s data, should a particular employer’s facility time be a cause for concern, having regard to all relevant factors, the Minister will send and publish a letter to the employer drawing attention to the concerns. The employer will have the opportunity to set out the reasons for the level of facility time. They will then have at least a further year from the date the Minister notifies it of concerns to make progress on its facility time levels. Nothing will be done until a third year’s data have been published. Only then will the Minister be at liberty to exercise the reserve power and make regulations to cap facility time for those employers.
ParlaMint-GB_2016-04-27-commons.u291	A person who enjoys facility time will spend a lot of that time trying to manage huge reorganisations and redundancies, most of which are the responsibility of the Minister’s former Government. Can he explain what he means when he says things such as “excessive” and “reasonable”? Over the past four years, Gateshead council has lost 48% of its budget and 2,000 people have been made redundant. People have been engaged day and night, trying to redeploy and retrain people. How on earth is a Minister in Whitehall going to be able to pull all that together and say, “Well, that works for them, but it does not work for others.”? It is nonsense.
ParlaMint-GB_2016-04-27-commons.u292	The hon. Gentleman is right. What is reasonable can vary according to the organisation and the situation of that organisation, which is why we want to collect two years of data before we establish what seems to be a reasonable level by looking at comparable organisations. I will come on to the fact that we will also be creating the possibility of removing the cap from an organisation if it has a particular situation, such as the one that he describes, that would justify a much higher level of spending on the different kinds of facility time.
ParlaMint-GB_2016-04-27-commons.u293	What my hon. Friend is trying to make explicit is that, across the trade union movement there are shop stewards who do an excellent job, day in, day out, but there are some situations where the facility time is taken advantage of. One merely has to think of Grangemouth. Can he be clear on this? He has struck the right balance in the way that he looks at things, but at no time has he said that all shop stewards are swinging the lead or that a lot of valuable work goes on.
ParlaMint-GB_2016-04-27-commons.u294	I am very happy to confirm and applaud what my hon. Friend said. In truth, I would be as worried if an organisation was declaring no spending on facility time as if it was declaring excessive spending on facility time. Helping people with training or with health and safety issues is not just appropriate, but vital in a well-run organisation. He will recognise, as will Members across the House, that there have been agencies and Departments—we have had direct dealings of this within the civil service—that were allowing an abuse of the system. We want to restore confidence in the system by making it clear that we need transparency. If there is still excessive behaviour, we will introduce a cap.
ParlaMint-GB_2016-04-27-commons.u295	In order to try to help the House understand why you feel that there is a need for this cap on facility time, could you tell the House what percentage of public sector employers excessively grant facility time and how many of them would this cap be beneficial in stopping?
ParlaMint-GB_2016-04-27-commons.u296	I am not at all sure, Madam Deputy Speaker, whether you feel that there is a need for a cap, but I think the hon. Gentleman was referring to me.
ParlaMint-GB_2016-04-27-commons.u297	Order. Let us clear that up. The hon. Member for Edinburgh East (Tommy Sheppard) will get used to the fact that if one says “you”, that means me. If one says “the hon. Gentleman”, that means the Minister.
