ParlaMint-GB_2016-01-22-commons.u1	rose—
ParlaMint-GB_2016-01-22-commons.u199	That is probably a helpful thing to put on the record. All Members have to use their time wisely and appropriately, whatever the business of the House is at any one time. That seems to have been a sensible thing to do. Thankfully, we have been able to give this small but important Bill the time and attention it deserves this morning I thank my hon. Friend the Member for Mid Dorset and North Poole (Michael Tomlinson) for tabling amendment 4, which seeks to oblige the Secretary of State to carry out public consultation that he considers appropriate—we have dwelt on that somewhat—before making regulations that make provisions consequential on the removal of the Secretary of State’s powers to appoint trustees to NHS bodies and to appoint special trustees. I do not believe that the amendment is necessary, for some of the reasons covered by others and on which I will try to elaborate Schedule 1 already makes a range of amendments to primary legislation that are consequential on the removal of the Secretary of State’s powers. They remove references to trustees in other legislation, because they would no longer make sense given that such trustees will no longer exist. The regulations that the Secretary of State does have the power to make under clause 1(2) are technical and remove any outdated references to such trustees, so that, in effect, tidies up all related provisions in primary or secondary legislation that might come to light in future It would, therefore, be unusual to consult the public. Members have given interesting examples of consultations in their own constituencies. It is fair to say that a degree of cynicism has been expressed, perhaps unduly, but I certainly agree with the principle that one should go into a consultation with an open mind. I assure the House that the Government seek to do that when they enter into consultations The situation with technical issues, however, is slightly different. The amendment seeks to consult the public on regulations that make technical, consequential changes, but proper scrutiny of such consequential changes is undertaken by Parliament. Indeed, Members have referred to such occasions. That is especially the case when consequential amendments are made by regulations to primary legislation, as the regulations are subject to debate and approval in both Houses. I hope that that gives some comfort to those who were concerned about the consultation issue Amendments 1 and 2 propose the retention in one form or another of the Secretary of State’s powers to appoint trustees, and we have had a good debate about that. Amendment 1 would give the Secretary of State the power to make provision, by secondary legislation, to re-establish the Secretary of State’s powers to appoint trustees to NHS charitable trusts. It would make such secondary legislation subject to the affirmative procedure and require that the draft secondary legislation be published three months before it is laid before Parliament Amendment 2 makes provision for the Secretary of State to appoint one or more trustees where he or she is satisfied that “exceptional circumstances exist, or…all the trustee positions in relation to a particular charitable trust have been vacant for a period exceeding three months” As has been said, independence is the next stage in the evolution of NHS charities. Now that NHS charities have the choice to become independent or to remain as NHS charities with corporate trustees, the Secretary of State’s powers to appoint trustees have served their purpose and are no longer necessary Before the Government’s reform of the regulation and governance of NHS charities, nearly all the largest NHS charities had trustees appointed by the Secretary of State. As other hon. Members have said, particularly the Bill’s promoter, my hon. Friend the Member for Aldridge-Brownhills, such charities were frustrated by the dual regulation of NHS and charity legislation, and one can quite understand why they felt limited in their ability to best support their beneficiaries. Many of the charities wanted the opportunity to become independent so that they could fully realise their potential. Other hon. Members have made good points about their need to express their independence and distance from the Government The Government’s reform of the regulation and governance of NHS charities has given those that wished to do so the opportunity to convert to independent status under the sole regulation of the Charity Commission. Six of the largest NHS charities with trustees appointed by the Secretary of State have already converted to independence, having decided that that is their best option for the future. The vast majority of the remaining 15 NHS charities with trustees appointed by the Secretary of State have indicated that they, too, plan to convert to independence in the near future. Three NHS charities with corporate trustee arrangements have also indicated that they wish to convert to independence At this point, it might be useful for the House and assist hon. Members who have tabled amendments that question some aspects of the Bill if I go a little into the history of this reform. It has always been a challenge to develop a system of regulation and governance that is workable for both the small number of very large NHS charities and charities with income of only a few thousand pounds a year. Within the sector, income is heavily skewed towards charities linked to large, high-profile hospital trusts, some of which have been mentioned during the debate. In 2012, the top five NHS charities accounted for more than a third of the total income, the top 15 for more than half of the total income and the top 30 for more than two thirds of the total income. However, the 50 smallest registered NHS charities had an average annual income of less than £10,000. The largest NHS charities require a different level of professional management.
ParlaMint-GB_2016-01-22-commons.u200	Does my hon. Friend agree that NHS charities helping to put defibrillators in public places are doing a good job for the country? I am trying to persuade all my churches to have defibrillators outside their buildings for the benefit of the community, and some have already done so. It is an important fact that charities within the health service do a huge amount of good out in the community, as well as in hospitals.
ParlaMint-GB_2016-01-22-commons.u201	My hon. Friend is absolutely right. Several hon. Members have mentioned charities in their area that are doing great work to increase the public availability of defibrillators. Perhaps I may take a moment to update the House on that matter. The Government were delighted, in partnership with the British Heart Foundation, to provide £1 million for defibrillators, meaning that this life-saving equipment will be given to communities right across the country—we have heard about several examples this morning, and my hon. Friend has mentioned another great example in Derbyshire—and that more people can be trained in cardiopulmonary resuscitation. That will make it easier for people to act in an emergency, and ultimately it will of course save lives I can update the House by saying that applications opened last October and interest was very high. The British Heart Foundation allocated funding to applicants who could demonstrate that the criteria had been met, and the application process has now closed. We look forward to hearing more about all the places around the country—I am sure that some of them will be in constituencies of hon. Members in the Chamber—where such life-saving work will be enabled.
ParlaMint-GB_2016-01-22-commons.u202	I am interested to hear the Minister’s remarks. Given the slightly negative perceptions of charitable work and the descriptions of things that could go wrong that we heard earlier, would she like to comment on the things that are going very well? Will she put on the record her thanks, on behalf of Her Majesty’s Government, to the Torbay Hospital League of Friends? Over 62 years, it has raised millions of pounds to support local people and it is currently running its “This Is Critical” campaign to provide equipment for the new critical care unit that is under construction at Torbay hospital.
ParlaMint-GB_2016-01-22-commons.u203	My hon. Friend is exactly right. At times, the debate has moved into rather gloomy territory. He used the “EastEnders” analogy. During the contribution of my hon. Friend the Member for North West Hampshire (Kit Malthouse), I began to think he was speaking to the Private Frazer amendment—the “We’re doomed!” amendment My hon. Friend the Member for Torbay (Kevin Foster) is right to bring us back to the great work that is being done. My experience of a local league of friends is similarly positive. Often, in the cut and thrust of our debates on legislation from Monday to Thursday we do not have time to put on the record the thanks of Parliament and the Government for the efforts of groups like his league of friends. It is welcome that this morning, when we have a little more time, we are able to put on the record our thanks to people who are not in the spotlight, but who are doing wonderful work in all our constituencies. I congratulate him on doing that and join him in praising the Torbay Hospital League of Friends.
ParlaMint-GB_2016-01-22-commons.u204	On that note, may I draw to the Minister’s attention one charity in my constituency? Like my hon. Friend the Member for Torbay (Kevin Foster), we have charities that support the local hospital, but we also have Action Medical Research, which does a wonderful job for children. It was formed back in 1952 and has the distinction of being supported by Paddington Bear, which is wonderful. It runs the largest regular London to Paris bike ride to raise funds to support research into diseases that affect young children. It is not directly linked to the NHS, but it is a wonderful medical charity. I hope that the Bill will empower many more such charities to get going.
ParlaMint-GB_2016-01-22-commons.u205	How nice it is to hear about that charity. I congratulate my hon. Friend on taking the opportunity to praise it and to shine a spotlight on a charity that so richly deserves it. Indeed, well done to him for name-checking Paddington in a debate that has been otherwise dominated by Peter Pan. We will see whether any more well-loved characters make an appearance before the end of the debate.
ParlaMint-GB_2016-01-22-commons.u206	I cannot lay claim to any characters in my constituency. It is not just the work that charities do in hospitals that is important, but the work that they do outside hospitals to make sure that people do not go into hospital. One of my local charities, Community Concern Erewash, recently linked up with the Alzheimer’s Society to work in the community to help people suffering from Alzheimer’s to cope in their own homes and stay in their homes a lot longer. Will my hon. Friend praise that charity and recognise the contribution that such charities make to our society?
ParlaMint-GB_2016-01-22-commons.u207	I am delighted to add my praise for my hon. Friend’s charity. I was honoured after the election to have dementia policy added to my portfolio as public health Minister. She is right to draw our attention to the need to work outside hospital to keep people safer in their own homes. As I know from working with dementia charities, large and small, much of that work is done by small local charities. I am delighted to echo her praise for the charity in her constituency To return to the amendments, although the largest charities require a level of professional management, the same is not required by many of the smallest ones. The corporate trustees arrangement, whereby the board of the trust or, prior to that, the board of the hospital acts as the trustee, is not sufficient to manage the large sums that are held by the largest NHS charities. They need a more professional approach, in many cases. The Government first took steps to address that issue in 1973. The Secretary of State took powers to appoint so-called special trustees to manage charitable property on behalf of hospital boards. Three hospitals—Moorfields, the Royal National Orthopaedic hospital and Great Ormond Street—appointed such special trustees to manage their charitable funds.
ParlaMint-GB_2016-01-22-commons.u208	Will the Minister give way?
ParlaMint-GB_2016-01-22-commons.u209	I will; it is only fair.
ParlaMint-GB_2016-01-22-commons.u210	By no means was I trying to give the impression that charity workers and trustees across the UK are not doing brilliant work. Most of them are well-minded, and efficient in disposing of their duties as they should. As I am sure the Minister will agree, much of our legislation involves dealing with exceptions. Most people live their lives largely untouched by legislation in this House—although more and more they are touched by legislation from over the water in Europe—but we are dealing with exceptions. All I was trying to do was to deal with an exceptional circumstance where a negative situation may arise, and I have nothing but admiration and optimism for the vast majority of charities, charitable workers and trustees.
ParlaMint-GB_2016-01-22-commons.u211	That is a helpful note of clarification. I sense we all felt that beneath the Private Frazer amendment lurked a Private Walker amendment instead. My hon. Friend is right to draw our attention to some very high-profile exceptions to the general rule. His exposition of the challenges that some high-profile charities face was compelling. It is helpful for us to have that on the record and to go forward with consensus on the merits of being a charity trustee Amendment 3 seeks to give the Secretary of State the power, in the regulations he may make, to make provision consequential on the removal of the Secretary of State’s powers to appoint trustees in clause 1(1) to make “provision for one trustee to be appointed by the NHS institution, service or function for whose benefit the charitable trust exists.” The guidance to NHS charities, produced jointly by the Department of Health and the Association of NHS Charities, suggests that the constitution of the new independent charity could provide for at least one trustee on the board being appointed by, or from, the NHS-linked body. It is a suggestion, rather than a binding obligation, that the new charities constitution should make this provision. The constitution of the new independent charity is a matter best decided by those nearest to the beneficiaries. In the case of an NHS charity with separate trustees, the board of the linked NHS body must support the terms of the conversion, including the terms of the new charity’s constitution, for the Secretary of State to agree to the revocation of their appointment. In the case of a charity with corporate trustee arrangements, it is self-evidently the board of the relevant NHS trust or NHS foundation trust that agrees the constitution of the new charity—again, offering that safeguard Ultimately, this is all about independence and local autonomy. The level and the nature of the agreement between the NHS body and the new charity needs to be a matter of local agreement. It is a matter for the local NHS and the charity to agree a constitution for the new independent charity that best meets the needs of beneficiaries Amendment 3 has similar technical difficulties to those I outlined in relation to amendments 2 and 4. It is unclear to which bodies amendment 3 relates, and what is meant by “the NHS institution, service or function” A service or function referred to in the amendment cannot appoint a trustee. Again, I am afraid that such regulation-making power would not be workable Amendments 5 and 6 seek to remove the requirements that the regulations, which may make provision consequential on the removal of the Secretary of State’s powers in clause 1(1), would have to be subject to the affirmative resolution procedure if they amend legislation. Instead, the two amendments propose that the removal of the Secretary of State’s powers should be subject only to the negative resolution procedure. We believe that the affirmative resolution procedure is the appropriate form of oversight for these regulations. Parliament should have the opportunity actively to debate and vote on secondary legislation that amends primary legislation. Making such regulations subject only to the negative resolution procedure would not provide an appropriate level of parliamentary scrutiny There has rightly been much discussion this morning about the appropriate level of parliamentary scrutiny—and indeed the meaning of the word “appropriate”—but I think there was a strong feeling in the House that there are moments when parliamentary scrutiny is very important, particularly when it can be done with the level of detail we have seen this morning. I believe the current level of parliamentary scrutiny provided for in the Bill for this regulation is appropriate, and there are a huge number of precedents to support this approach I thank my hon. Friend the Member for North East Somerset (Mr Rees-Mogg) for tabling amendments 7 and 8. The amendments seek to provide that the regulations that may be made by the Secretary of State under clause 2(1) to transfer trust property from appointed trustees for an NHS trust or NHS foundation trust back to the NHS trust or NHS foundation trust, should be subject to the affirmative resolution procedure. The amendments would also require that such transfers be accompanied by a statement by the Comptroller and Auditor General—again, a title that attracted a bit of debate in itself—that he is satisfied with the treatment of public assets and funds envisaged in the regulations.
ParlaMint-GB_2016-01-22-commons.u212	I am grateful for the Minister’s reassurance, and I am more than happy to accept it.
ParlaMint-GB_2016-01-22-commons.u213	I thank my hon. Friend. It gives me great pleasure, as a Minister at the Dispatch Box, to receive such a note of approbation from him, given that he is rather expert when it comes to Friday sittings and these technical amendments. I am honoured, indeed, by his intervention On amendment 9, my hon. Friend took the opportunity to praise a local charity in his constituency promoting the use of defibrillators. In common with other hon. Friends who drew attention to this, I thank his local charity for its work on this important undertaking. I am glad that, as has been mentioned, the Chancellor was able to give £1 million to this important cause, which is working with the British Heart Foundation to bring far more defibrillators into public places in North East Somerset and far beyond I thank my hon. Friend for his question about the use of the NHS logo. I know from his contribution on Second Reading that he has interest in its licensing. I hope I can put his mind at rest by confirming that independent charities, including former NHS charities, can use the localised NHS logo of the NHS organisation for which they raise funds. Independent charities can arrange permission to use the logo, if they are working in partnership with an NHS organisation. We heard examples of local charities working in close partnership. In addition to heaping praise, rightly, on the Torbay Hospital League of Friends, my hon. Friend the Member for Torbay mentioned a Paignton charity working closely with a local NHS body. That is a good example The NHS logo generates high degrees of trust and reassurance among patients and the public, as my hon. Friend the Member for Horsham (Jeremy Quin) drew out in his contribution. We all understand why. We can all cast our minds back to the many occasions when that trust and reassurance have been in the public spotlight. I think, in particular, of the opening ceremony of the Olympic games. Who can forget the spelling out of “GOSH”? I am sure will hear far more about that admirable institution on Third Reading The use of the NHS logo is carefully controlled because it indicates that the NHS is in some way accountable and responsible for the services or materials to which it is applied. It is a registered trademark and an important public brand, so there are strict rules governing the correct use of the NHS identity. Generally, the NHS identity guidelines do not permit independent charities to use the NHS trademarks in their names or promotional material, as it could cause confusion and give the public the incorrect impression that a charity is officially endorsed or organisationally linked to the NHS, as many hon. Friends have said. As I have mentioned, however, independent charities can seek approval to use the NHS logo, if they are working in partnership with it. An independent charity will often set up an agreement with a local NHS organisation to fundraise on its behalf. We have already heard some examples of close, long-standing links between charity organisations and the NHS, and I am sure that Members will be aware of many more in their constituencies. It is possible for a local organisation to use the NHS’s identity in a supporting position with respect to promotional and fundraising materials—on the proviso that there is a local agreement in place for the fundraising activity to benefit solely local NHS services It is fair to say that there has been some slightly wild speculation in the course of our debate about some of the far-flung places to which people might go, using NHS charity resources inappropriately. It is important to ensure that the association with the NHS is guarded. From a legal perspective, however, the amendment would make no change to the current position. The Secretary of State is the registered owner of a number of NHS trademarks. As such, the Secretary of State is already free to license trademarks to independent charities in accordance with his statutory powers and duties. Furthermore, as the registered trademark owner, the Secretary of State may set the terms of any such licence as he chooses, including specifying the notice period required for termination—an important power, as I think Members would agree. In some circumstances, it may be more appropriate to make provision for a licence to be terminated at shorter notice or immediately—where, for example, a charity is in breach of the licence terms On that important point, about which Members were rightly expressing a degree of concern, I hope I have been able to provide reassurance. I hope, too, that I have provided clarity as well as reassurance on some of the other amendments.
ParlaMint-GB_2016-01-22-commons.u214	May I ask the Minister about one further point? When the NHS logo is licensed to small charities, I hope the process will not be too bureaucratic or onerous for them and that the application of the regulations will not be too pettifogging.
ParlaMint-GB_2016-01-22-commons.u215	My hon. Friend is wholly consistent on this issue. Since he came here in 2010, I have been delighted to hear him stand up on many occasions for people who find overbearing state bureaucracy at either the national or local level. He seeks to ensure that any such bureaucracy is always light touch and appropriate. He rightly seeks reassurance and I think I can give him that. We would never seek to make the process overbearing. It would obviously be inappropriate, given that the central drive of the first part of this important private Member’s Bill is to bring clarity and to avoid double-regulation. It would be nonsense if any aspect of what we have discussed this morning added to the bureaucratic burden. We are trying to head in an entirely different direction—one of which I hope my hon. Friend, given his long-standing role as a champion in this House, will approve.
ParlaMint-GB_2016-01-22-commons.u216	My hon. Friend has twice referred in her speech to defibrillators and the money that the Chancellor has given to the British Heart Foundation to provide more of them. I urge her to continue to lobby the Chancellor on this issue. In his forthcoming Budget, he might be prepared to consider adding to that fund so that more people in the community could benefit from defibrillators.
ParlaMint-GB_2016-01-22-commons.u217	My hon. Friend has effectively just undertaken such an act of lobbying. The take-up of this fund is extremely encouraging, and I would be happy to give her more information, as I know she has spoken about this subject here on many occasions—as, indeed, have other Members. We had Backbench Business debates on it in the last Parliament, and I am sure it is one to which we will return. It is an area in respect of which parliamentarians can be great champions in their local areas. I greatly welcome hearing my hon. Friend speak with such enthusiasm about this matter.
ParlaMint-GB_2016-01-22-commons.u218	May I encourage the Minister to continue her lobbying efforts in that regard? In my area, the west midlands, just 12% of the population feel confident enough to use a defibrillator. What is important is not just the provision of defibrillators, but the training that accompanies it, which I know is being promoted by the British Heart Foundation.
ParlaMint-GB_2016-01-22-commons.u219	rose—
ParlaMint-GB_2016-01-22-commons.u220	Order. Before the Minister responds, I should point out that the subject of defibrillators is some distance away from any of the amendments. The hon. Gentleman might like to save it for Third Reading.
ParlaMint-GB_2016-01-22-commons.u221	I am sure we all recognise the truth of your judgment, Madam Deputy Speaker, but the example was given earlier of an NHS charity that had championed defibrillators in the local community, and I think that that is how the topic was introduced. My hon. Friend the Member for Mid Worcestershire (Nigel Huddleston) has made a good point, and I shall be happy to give him more information about the proportion of the fund that the British Heart Foundation has been able to spend on the training that he described I hope that what I have said about the amendments has been of assistance to the House.
ParlaMint-GB_2016-01-22-commons.u222	In the light of the reassurances that have been given, I beg to ask leave to withdraw the amendment Amendment, by leave, withdrawn. Third Reading
ParlaMint-GB_2016-01-22-commons.u223	I beg to move, That the Bill be now read the Third time Let me begin by thanking Members who are here today for giving up another constituency Friday to take part in the debate. Some of them were also present on Second Reading, including my hon. Friends the Members for Erewash (Maggie Throup) and for North East Somerset (Mr Rees-Mogg), who is no longer in the Chamber. I also thank those who served on the Public Bill Committee, absenting themselves from the debate on Syria to be present on that day, and, again, I thank Members on both sides of the House who sponsored my Bill last summer after my name had been drawn in the ballot, allowing Peter Pan to find his Wendy—or, at least, I hope so. I thank the Department of Health for its help, and, as a new Member, I thank those in the Public Bill Office, whose patience has been admirable. I should also record my thanks to the hon. and learned Member for Holborn and St Pancras (Keir Starmer) for supporting the Bill; sadly, he is not present today I welcome my new Tinker Bell to the Dispatch Box. I feel duty bound to reassure her that I remain on my guard for ticking crocodiles, Captain Hook and, of course, those unruly Lost Boys, although they are not here at the moment I am, of course, delighted that my NHS (Charitable Trusts Etc) Bill—commonly known, I hope and believe, as the Peter Pan and Wendy Bill, without brackets or Etc—has safely arrived at its Third Reading. There has been no exit stage left, or right, taking it directly to Neverland; it is still en route to another place, and, I trust, to Royal Assent On Second Reading, we were given many examples—some based on personal experience—of the importance of NHS charities and their role in supporting hospitals, patients, parents and staff. That has been underlined by the accounts that we heard today of the tremendous work that NHS charities do, and it also demonstrates the Bill’s importance in helping those charities to continue and flourish As I have mentioned before, NHS charities are regulated under charity law, but they are also linked to NHS bodies and bound by NHS legislation. They are charitable trusts, established under NHS legislation, and have as their trustee an NHS body such as a foundation trust, or trustees appointed by the Secretary of State for an NHS body. It should be borne in mind that NHS charities are distinct from independent charities established solely under charity law Funds donated to the NHS must be held separately from Exchequer funding provided by the taxpayer. These charities exist to support their beneficiaries, and there is a special relationship between them and the trusts with which they are associated. Some wonderful examples have been given today of local hospital charities and the special relationship that they have with their local NHS trusts The first part of the Bill makes provision to remove the Secretary of State for Health’s powers to appoint trustees for NHS charities in England and makes amendments to primary legislation concerned with this. It is important to remember that this fulfils a commitment by the Government in 2014, subsequent to a DOH review and consultation on the governance of NHS charities. The outcome of the consultation was that NHS charities would be allowed to convert to independence if they chose to do so and the Secretary of State for Health’s powers to appoint trustees to NHS charities under the National Health Service Act 2006 would be removed at the earliest opportunity It is fair to say that a number of the larger NHS charities called for reform because of concerns that the NHS legislative framework limited their freedom to grow and develop their charitable activity to best support their beneficiaries and to demonstrate to potential donors a visible independence from Government. That is an important point, and some have already grasped the opportunity to become independent while others are in the process and some are planning to do so in the future Collectively across the country about 260 charities currently exist to receive and manage charitable funds on behalf of NHS charities. I am sure Members will be interested to know that just over £345 million was raised by these charities in the last financial year, supporting patients and staff right across the country, so we should be doing all we can to support them. They make an outstanding contribution, yet their work often goes unheralded. I hope that today’s debate helps to publicise their work and the valuable contribution they make to hospitals as well as to the lives of patients, their families and clinicians. But just as healthcare moves on, so does the charitable environment, and there is a real need to place certainty in an already complex structure. I hope, and believe, that that is what this Bill will do There are currently 16 NHS charities that have trustees appointed by the Secretary of State for Health, and all of them are affected by my Bill. They are bound by charity law and NHS legislation. They are unincorporated and their trustees have unlimited liability.
ParlaMint-GB_2016-01-22-commons.u224	My hon. Friend mentions that NHS charities are bound by charity law as well as other legislation. We both sat on the Charities (Social Investment and Protection) Public Bill Committee. Can she expand on why her Bill should be a separate Bill and why its measures cannot go through as part of that Bill?
ParlaMint-GB_2016-01-22-commons.u225	My hon. Friend makes an interesting point. I also sat on the charities Bill Committee, and it comes back to the House next week, I believe. My Bill is a specific piece of legislation. It came about because of Great Ormond Street hospital and the need to move the right to the royalties. It also comes under the remit of the DOH, whereas the charities Bill is under the remit of the Minister for Civil Society and the Cabinet Office. My Bill, at its heart, goes to the fact that the original Act on the Peter Pan royalties and the extension to the signed copyright patent was unique—so that unique bit of legislation needed another unique bit of legislation Sixteen of the charitable trusts have chosen either to revert to a corporate trustee model or to become independent. Most hospital charities operate the corporate trustee model anyway, and we have heard a lot about that today. Many have indicated that they are seeking to make this transition and many others are also considering it Six charities have already completed the transition to independence. These include Barts Charity, which raises money for Barts Health NHS Trust, including St Bartholomew’s hospital. This was the first to receive an independence order. The others are Alder Hey in Liverpool, Birmingham Children’s Hospital Charity, which is close to my own constituency of Aldridge-Brownhills, Guy’s and St Thomas’ Charity, and the Royal Brompton and Harefield Hospitals Charity. They are all now able to benefit from greater independence and less bureaucracy, and that further demonstrates the benefits of the Bill. Great Ormond Street’s is one of the six to have converted to independence. I will come back to that, as well as to its unique status and the need for specific legislative change to remove the statutory obstacle currently preventing the charity from becoming fully independent. Of the remaining NHS charities, about half have agreed to convert to independence but have not yet formally informed the Department of Health, while the others are in discussion with their trustees and hospital boards Importantly, the Bill is supported by Great Ormond Street hospital and NHS charities more generally. It also has the support of the Association of NHS Charities, and I would like to put on the record my thanks to it for its help. Let me provide a quote from a chief executive of an NHS charity, as that is a good way of explaining why the Bill is important. This chief executive said that “this is exactly the right move for us as it deals with a peculiar anomaly in our status. Moving to full independence will mean that we can compete on a level playing field with other health and social care charities in our fund raising and other activities. No longer being seen as part of government.” On Report, we received some interesting amendments from hon. Members, who gave us the opportunity to explore and question a number of points in relation to the Bill. Although I am pleased they were not pressed to a vote and were not accepted, I believe each was worthy of our sincere consideration Turning now to the second part of the Bill, it is important to remind ourselves of the special link that Great Ormond Street hospital has with J. M. Barrie, who made a very generous bequest to it of the right of royalties to the “Peter Pan” stories. As I explained on Second Reading, J. M. Barrie bequeathed all rights to “Peter Pan” to GOSH in 1929. He died in 1937, with GOSH enjoying a further 50 years of royalties. On the eve of the copyright expiring, the J. M. Barrie bequest acquired its unique legal status as a direct result of Lord Callaghan’s amendments to the Copyright, Designs and Patents Act 1988. That reserved royalty income to the hospital trust and carried the stipulation of the creation of a special trust at that time. Though now held in perpetuity by GOSH, legislation is needed to enable the receipt of royalties to move to the new, independent Great Ormond Street Hospital Children’s Charity. My Bill, with its provision for amendments to the 1988 Act, will do that. It will enable GOSH to take full advantage of this move to independent status, thereby giving it greater freedom to attract additional funding. It will also reduce the burden of bureaucracy by leaving it under the sole jurisdiction of the Charity Commission I am sure Members will be interested to know that I have met representatives from the GOSH Children’s Charity, and, as I reported on Second Reading, I have visited the hospital to see for myself the work the charity does and the huge contribution it makes. I have also met members of staff and clinicians to hear about some of the cutting-edge research and treatments they are working on. My visit to GOSH further emphasised the importance of this Bill. One cannot go there and fail to be touched by the work that goes on there, the commitment, the dedication and the inspiration—it is truly amazing, as indeed is the work of all our NHS hospitals and charities As we all know, the work and influence of Great Ormond Street children’s hospital stretches way beyond Greater London, which is why so many Members are in the Chamber to support and watch the progress of this Bill. In the financial year 2014-15, the GOSH charity raised a staggering £80,981,000, an increase on the previous year’s figure In November, I am sure that avid newspaper readers will have noticed that The Independent and the Evening Standard launched their Gift to GOSH Christmas appeal, attracting celebrity backing as well as a pledge from my right hon. Friend the Chancellor of the Exchequer to match donations pound for pound from the Treasury with up to £1.5 million. I am fortunate enough to have an update from Great Ormond Street hospital, which tells me that to date £2.7 million has been raised as a result of that appeal. That reflects the warmth felt by the British public towards Great Ormond Street, as well as their generosity. The campaign still has not ended—it runs until 14 February—so who knows what the final total will be. Those funds are going to support things such as paediatric research and a new specialist unit for children with heart failure One of the most generous donors over the years has been, of course, J. M. Barrie, whose bequest of the royalties from “Peter Pan” is one of the reasons we are here today. It is amazing that even today, 79 years after the death of Barrie, the bequest is still a crucial source of income to the charity, which demonstrates that “Peter Pan” remains a firm favourite of us all. I must confess that I watched it over Christmas and, as one might expect, the book has had a permanent place on my desk for number of months. It is probably in my handbag in the Chamber today By supporting the Bill today, I believe that we are all doing a little bit to help the work of Great Ormond Street Hospital Children’s Charity by securing the J. M. Barrie income stream for the new independent charity. Without this Bill, it would be unable fully to complete its conversion to independent charity status. Without it, I believe that there could be risks to legacies to the charity, and I would not wish to see that happen. It also creates further complications, because operating two charities side-by-side requires a duplication of governance, separate accounts and, potentially, duplicate returns to the Charity Commission. The Bill is not just needed, it is wanted, and Great Ormond Street Hospital Children’s Charity has confirmed this. It is also supported by the chair of the hospital trust, Baroness Blackstone, who I must also thank for her support, and the charity’s chair of trustees To summarise my Bill, it has received support from Members on both sides of the Chamber, for which I am grateful, from Great Ormond Street Hospital Children’s Charity and from the Association of NHS Charities. It delivers on commitments that followed a Department of Health review and consultation on the governance of NHS charities, whereby charities were given the opportunity to seek greater independence under the sole regulation of the Charity Commission and the Secretary of State’s powers to appoint trustees were no longer necessary. It paves the way for sensible housekeeping We listened to some interesting amendments today that enabled further scrutiny of the Bill, for which I am grateful. I hope that this Bill, which I have believed in from the outset, does not end up in Neverland but heads out of this Chamber across Central Lobby to land safely on the Red Benches of the other place to continue its passage. I commend the Bill to the House.
ParlaMint-GB_2016-01-22-commons.u226	As we have heard, this Bill will improve the independence of NHS charitable trusts, and I am pleased to speak on Third Reading. As we have also heard, Great Ormond Street hospital provides essential care for many children in the UK and across the world through its research into many child health issues. I am glad that the Bill will ensure that the trust charity will continue to be able to benefit in perpetuity from royalties and other payments in relation to performances or publications of the play “Peter Pan”. I can assure the hon. Member for Aldridge-Brownhills (Wendy Morton) that the hospital’s research and care stretch well beyond Greater London The Bill will also remove the requirement for the Secretary of State for Health to appoint trustees of NHS charities. I hope that reducing the involvement of the Department of Health in NHS charities will provide the organisations with more freedom to grow, and with clear independence. I hope they will be able to attract additional donors; that is important for NHS charities such as the Salford Royal NHS Foundation Trust, which I mentioned earlier. The research that it has helped to fund spans a wide range of departments, from physiotherapy and urology to a joint project with the University of Manchester looking at factors that lead to complications for patients with type 2 diabetes. That shows what an important role our NHS charities can play in potentially life-saving research. Like many others, the charity has also focused on improving patients’ experience in the hospital. Equipment has been purchased by the charity to aid patients in their recovery. For example, the charity purchased reclining chairs for patients recovering from neurosurgery, which enable them to sit in a more comfortable posture NHS charities play a significant role in our hospital trusts. They provide funds for life-saving research and help NHS staff to provide the best care possible for patients and their families. On behalf on the official Opposition, I am pleased to support the Bill on Third Reading. It will help to ensure that NHS charities can continue their vital work supporting patients and staff in the NHS.
