ParlaMint-GB_2016-05-19-commons.u1	Will the Leader of the House give us the business for next week?
ParlaMint-GB_2016-05-19-commons.u221	May I echo what the hon. Gentleman has said? I heard about the new appointments just before I came into the Chamber. I very much hope that we can work together positively on a number of issues that affect both Scotland and the rest of the United Kingdom.
ParlaMint-GB_2016-05-19-commons.u222	I am sure that where there is a progressive movement, that will be the case I want to start with those areas on which there is common purpose, and there are some innovative transport measures—or at least promises of them. That said, if such measures are to gain support, the rhetoric will need to be followed by an inclusive vision that benefits all the nations of the UK. An area where that is not yet clear is investment in further research on autonomous vehicles. Obviously, safety implications and their deployment will need to be considered Such investment is welcome, but it will be meaningless to most of the UK nations if it is not supported by the necessary investment and innovation to deliver a truly universal mobile communications network. Let us not yet again take an approach through which benefits are seen only in some urban areas of the UK. Future network licensing deals should include a requirement, in the conditions of the contracts, for rural areas to be prioritised. These areas all across the nations of the UK have suffered for decades because of ill-thought strategy and, indeed, ignorance about the needs of those outside the largest cities. Linked closely to that is the need for broadband infrastructure. The SNP has campaigned for a universal service obligation for broadband, so we are pleased that that will be included in the digital economy Bill. The Scottish Government are committed to extending superfast broadband to 100% of premises—all businesses and homes. When I recently asked the Leader of the House in the Chamber to match that ambition, he said that he did not know how it could be done. I hope that the UK Government have, in the past few weeks, figured this out and that they will roll out action to match their words. If they do, it will indeed be positive news Putting the UK National Infrastructure Commission on a statutory basis is also welcome, but only if it looks beyond the old horizons and prioritises infrastructure for all the nations of the UK. To achieve that, we need more ambition on the development and deployment of electric vehicle infrastructure, so I agree with the remarks of the hon. Member for Nottingham South (Lilian Greenwood) about that. That and investment in autonomous vehicles must go hand in hand. It will be good if that happens, but let us see the detail because, once again, the Government should demonstrate that that matches the ambition of what they are saying We are entering a point in our development where, counter-intuitively, roads might actually provide another vision for the future of green transport, and I would like such an opportunity to be explored further by the UK Government. On green travel—indeed, on greener travel measures in general—we are seeking more ambition from the UK Government On active travel, we welcome the fact that the recent Budget did not remove salary sacrifice schemes—that will aid the promotion of cycling—but there is a huge opportunity for further investment in cycling, which would lead to healthier outcomes for people and healthy economic benefits. I urge Ministers to reconsider the lack of a strategic UK Government commitment to accelerating cycling infrastructure. Where is the promised five-year strategy and why, given the stated objectives in the cycling and walking investment strategy, is that not a headline at this time? We need greater vision, greater urgency and proof that words are equal to a true commitment The SNP Scottish Government are investing £l billion annually in public transport and other sustainable transport options to encourage people to get out of their cars. Since 2011, Scotland has built 190 km of cycling and walking paths to match the commitment to healthier lives for the people of Scotland, where the number of people cycling has increased by about a third since 2003 When the Secretary of State mentioned HS2, he said, if I am quoting him correctly, that he looks forward to it going to Birmingham, Sheffield, Leeds and Manchester. Ominously, however, he omitted Scotland from that list. The Scottish Government have committed to working in partnership with the UK Government on HS2, but the UK Government must demonstrate their commitment. Will he now confirm that that is correct and commit to the line going to Scotland, with the full investment needed HS2 is not the only possibility for cross-border rail development. The Borders rail link—a programme delivered on time and under budget by the Scottish Government—is now open for investigation for an extension all the way to Carlisle. The Scottish Government have said that they will support a feasibility study. Will the UK Government match that ambition by agreeing to consider whether that can be realised for the people on the borders? I hope so On investment in green measures, there is a future for green travel for surface users—through active travel and electric developments in relation to road and rail, especially if powered by renewable sources—but there remains no vision from the UK Government on alternative fuels for air travel. Once again, the UK is stuck in the vapour trail on this issue. Oslo has already become the world’s first airport to offer sustainable biofuels to all airlines—Lufthansa, SAS and KLM have already signed up to that—but there is no such commitment in the UK. The UK Government can change that, and I again urge Ministers to include aviation in the renewable transport fuels obligation We welcome the UK Government’s commitment to do more work on a UK airspace strategy. Such a commitment is overdue, and we ask that action in this area is accelerated to address the deficit of more than 40 years. If we continue to ignore that, there will be an increased risk of delays, higher carbon use and a damaging impact on commerce. Tackling this, and coming into line with the European Commission’s single European sky initiative, offers an opportunity to boost the UK economy and benefit all the UK nations Speaking of things up in the air, although nobody will be shocked by the lack of a commitment to deciding on airport expansion, it remains the jumbo in the room. I know that our frustration is actually shared by Government Ministers. I am certain that, freed from internal pressures, they would have made a decision by now, but they remain paralysed by orders arising from internal party politics Madam Deputy Speaker, you were in the Chair on the occasion when I overran the two minutes for my response to a statement on yet another delay on airport expansion, because I was trying to list the broken promises in relation to the many dates by which Ministers and, indeed, the Prime Minister had promised there would be a full and final decision. Such promises have been broken over and over, but when someone hears that long catalogue of missed opportunities for leadership, the frustration and anger caused by these delays immediately becomes understandable. You will be glad to know that, rather than repeat that exercise, I will just quote the Secretary of State’s words from way back in October 2012. He said: “in the south east the runways are filling up. And the jets are circling in our skies. That’s hitting our prosperity. It’s bad for the environment. It’s putting off investors. It’s costing jobs. And it’s holding Britain back.” He was right, but that was nearly five years ago. In spite of those sage words, the runways are now fuller, more jets are circling, the environment continues to be damaged and investors have indeed been put off. Who knows how many jobs that has cost?
ParlaMint-GB_2016-05-19-commons.u223	Given that the hon. Gentleman has now had time to study the Davies report and that he is so clear in his own mind, will he tell us which option he prefers?
ParlaMint-GB_2016-05-19-commons.u224	I would be delighted if the Secretary of State and the UK Government wanted to hand control of UK infrastructure development to the SNP, because as with the Borders rail link and the Queensferry crossing, we deliver things on time and under budget. By all means, give us the decision and we will make the choice Let me come on to why the decision is important for Scotland. More than 90% of international visitors to Scotland travel by air. More than a third use Heathrow as a hub and, if that is combined with Gatwick, I reckon that around half our international visitors travel through the south-east. It is not just about tourism; it is the £5 billion a year whisky industry and the £500 million salmon industry, and other shellfish and exports need to get to international markets. All the time the decision is pushed out and fudged, it harms the Scottish economy Another opportunity is open to the UK Government to assist not just Scotland but many other parts of the UK by bringing forward a commitment for public service obligations for linking regional airports point to point with the London hubs. That straightforward measure would point to a much more enlightened and inclusive air transport strategy. Market forces alone cannot provide fairness across all the regions and nations of the UK, and a strategic choice is needed We also support the establishment of the UK spaceport, which is an exciting opportunity.
ParlaMint-GB_2016-05-19-commons.u225	On my behalf, will my hon. Friend ask the Secretary of State to clarify his comments about this issue? I wanted to intervene on him, but unfortunately he did not hear me. He said that it would be up to market forces to decide the location of the spaceport. We have had discussions in this place about awarding a single licence to a UK spaceport, but multiple licences would be needed, because every vehicle has to be licensed. I hope that the Secretary of State will clarify whether he will let the market make the decision and if it will be possible to have multiple spaceports?
ParlaMint-GB_2016-05-19-commons.u226	That is a very important point, and I am delighted to underline it and to ask the Secretary of State to respond. We see this development as having great possibilities and we would anticipate that, when making their decision, the UK Government will fully appreciate the excellent potential sites in Scotland. We encourage the UK Government to work with the Scottish Government, Scottish local authorities and our public agencies to realise this potential in Scotland We would also welcome more detail on developing a genuine aerospace strategy, which must include supporting the industry to address the skills gap in the engineering sector. I urge Ministers to consider some of the work on gender-balance issues. Not long ago in the Chamber I quoted Bridget Day, the deputy director of the national aerospace programme with more than 40 years’ experience. She has highlighted her struggles as a woman in the industry. Only 11% of engineers are women, even though more than 20% of graduates are women. That is the lowest percentage of female employment in the sector across Europe There are also apprentice opportunities in shipping—transport should include references to shipping. The Scottish Government worked tirelessly, as they did on the Scottish steel issue, to save the iconic Ferguson shipyard, which is vital to providing vessels and employment for the future. Of course, this place has decided to delay the BAE order for the Govan and Scotstoun yards with the review of shipbuilding. That delay threatens jobs in Scotland and I hope that Ministers will take that message back to the Cabinet and get the Treasury to release the brakes on that development On the subject of shipping, we also have an opportunity to put right the dangerous deficit that has been allowed to continue around the seas of the UK, nowhere more strikingly than on the west coast of Scotland. My right hon. Friend the Member for Moray (Angus Robertson) has highlighted on many occasions the dangers and folly of removing maritime patrol aircraft from Scotland, but when the removal of one of Scotland’s two emergency towing vessels and the ongoing uncertainty over the remaining tug are added to that, it is easy to see why Ministers are facing calls from every quarter to commit to permanently securing the remaining vessel and reinstating the second. Those vessels, if deployed sensibly, can assist drifting ships, therefore preventing them from running aground, and head off disaster, protecting human lives and fragile environments. They are called emergency towing vessels for a simple reason: they are available for emergencies, such as when they were called in to rescue one of the UK’s nuclear submarines that had run aground off Skye. Their retention and reinstatement has been strongly urged by everyone who understands the risks from the seas around Scotland—the marine industry, marine unions, including Nautilus, every highlands and islands MP and MSP, local authorities and agencies. They have all pointed out that we cannot wait for a disaster to happen before there is a reaction, so protection is needed so that a disaster can be prevented The nations of the UK need not just warm words of support for good ideas, but a connectivity strategy: a plan for air; a plan for technology; a plan for suitable sustainable fuels; a plan for marine operations; a plan for health and wellbeing; a plan for tourism; a plan for trade and enterprise; and a plan for productivity. We must see more and better work from the UK Government on those fronts
ParlaMint-GB_2016-05-19-commons.u227	I am grateful to be called early in the debate. I apologise in advance for not being able to attend the wind-up speeches. I have an invitation from Her Majesty the Queen to attend a garden party at Buckingham palace this afternoon. I am sure that the Minister will understand that I am keen to do so I am pleased to be able to speak in this debate. Yesterday in the Gracious Speech we learned of the Government’s plans to ensure that the UK will be at the forefront of technology for new forms of transport in a modern transport Bill. This is an incredibly exciting time for the country as we push forward towards a modern transport revolution, which—most excitingly—includes the potential for the UK’s first commercial spaceport. I shall return to that point later The magnitude of the progress we are poised to make becomes very clear when we consider the many years of neglect our transport system has suffered, especially in Cornwall. However, at long last, we are seeing serious investment in the county’s transport infrastructure that will create the opportunities for the future. A £60 million project dualling a section of the A30—the main route linking Cornwall to the rest of the country—is well under way, and when finished will relieve massive congestion and delays. I am incredibly proud to be part of the Government who are finally delivering this project, which was cancelled by the Labour Government when they came to power in the 1990s. A further 9-mile stretch of single carriageway further west on the A30 is also due to be upgraded in the coming years. This route experiences a 25% rise in traffic flow in holiday periods, so the House will understand how important such projects are to the ongoing growth of the area For many years, residents of St Austell and the surrounding villages have been making impassioned calls for an upgraded link road between St Austell and the A30. Now their calls have finally been answered by the Government. This project, which will go ahead thanks to funding from the local major’s fund, will have a significant positive impact on congestion and traffic issues in my constituency, as well as unlocking future potential economic growth It is not just the roads that are being upgraded. The south-west is set to benefit from new trains, replacing ones some 40 years old, and an upgraded Riviera sleeper service, and reports are being commissioned to look into cutting the journey time to London by nearly half an hour and at the much needed additional route through Devon. Meanwhile, passenger numbers at the UK’s fastest growing regional airport, Cornwall-Newquay airport, continue to grow. Thanks to the Government’s backing, it has been able to fly into the jet age with its link to Gatwick, as well as seeing new routes opening up. Through all of this, Cornwall is being transformed and its potential is starting to be realised, but there is still more to do With our unquestionable appetite to demonstrate our aspiration for growth and better times ahead, Cornwall is now eagerly edging towards the forefront of the next generation of travel opportunities and is proving itself to be the right choice for the UK’s first spaceport. Although we still await the release of the final bid criteria, it is clear Newquay has established itself as the frontrunner in this process and is the best option of the six shortlisted. Newquay airport already has a wide and long runway, with the added bonus that it has the capacity to be extended fairly easily. The airport is already established and thriving, continuing to go from strength to strength, and I am sure it will embrace the growth and development the spaceport would bring. The proposed site is ideally located right next to the coast, another key factor in this process. It has easy access to uncongested airspace and of course it is not in a densely populated area Making Newquay’s bid even more attractive are the hugely beneficial links that already exist between the airport’s neighbouring Newquay Aerohub enterprise zone and Goonhilly Earth Station, after the Chancellor announced the extension of the enterprise zone to encircle Goonhilly, last autumn. This boost for Cornwall’s space ambitions works to make the area even more attractive for commercial investment. As well as enabling the possibility for space tourism or high-speed travel, the spaceport provides an opportunity to embrace the commercial satellite market even further. The UK is already a world leader in the satellite business, but with a spaceport we could finally secure satellite launch facilities of our own This is, undeniably, a once-in-a-lifetime opportunity for Cornwall and for my constituency to transform our economy. We will see job opportunities and well paid careers in cutting-edge technologies. In one of the lowest-pay areas of the country, we will see higher-paid jobs brought about and, as well as welcoming new people to the area, the next generation of skilled Cornishmen and women will be able to stay in the county they love to call home, instead of being forced to move away for skilled jobs. For decades, Cornish people have been unfairly torn between their love for and desire to live in their beautiful homeland or seek serious job opportunities elsewhere. I count myself incredibly lucky to have been able to make a living without having to leave Cornwall, working in a number of sectors over many years, as well as running my own business. Sadly, that has not been the case for many of my peers, who were forced to move away in search of other opportunities, and this is still happening today, with scores of talented, skilful young people leaving Cornwall behind, often never to return. This has gone on for far too long and we can stop it. Our young people deserve the chance of having a real opportunity just as much as the rest of the country does Clearly, the spaceport needs a home that will embrace the brand-new sector of space tourism, and Cornwall can and will pioneer this. As well as boosting visitor numbers from within the UK even further, this could be the key to finally getting a large portion of the country’s overseas visitors to the south-west; only a small percentage of overseas visitors currently venture out of London, and the benefits of this would of course be felt right across the south-west Furthermore, Cornwall has historically led from the front when it comes to industry. Our tin mining and china clay activities are world-renowned, and have transformed the landscape and future of Cornwall. The county is also at the forefront of inventions: the mighty Cornishman Richard Trevithick harnessed high-pressure steam and created the world’s first steam railway locomotive; Humphry Davy saved hundreds of lives with his revolutionary miners’ safety lamp; and of course the first ever radio transmission was sent across the Atlantic ocean from Cornwall, by Marconi. But despite that incredible heritage, Cornwall has been stifled, unable to build any further on those major advances. For too long, Cornwall has been unable to live up to its true potential. Often forgotten by Westminster, its ambitions have been ignored, but the tide is changing and Cornwall is on the up, under this Government. The granting of Newquay spaceport would be another major advancement for the region, and we are ready. The county, and Newquay in particular, is already a premier tourist destination, with millions of people flocking to the area to enjoy all it has to offer. Not only is Cornwall already equipped for such an influx of visitors, but we understand tourism better than anyone else—our communities thrive on it and have done so for more than a century The Government’s latest infrastructure commitments and achievements in Cornwall that I outlined at the beginning show their commitment to the county, and the six Cornish Conservative MPs are unequivocally working hard within a Conservative Government to deliver for Cornwall. What better time than now to push this forward? The Government’s ongoing commitment to the county shows a belief that Cornwall holds the key to a fairer distribution of growth and is real evidence of our one nation vision. It is a belief that Cornwall can pave the way forward in this exciting new sector and a belief that Cornwall will deliver. The right choice is clear: Newquay’s bid for the spaceport holds the excitement and enthusiasm for exploration, the spirit of adventure and the capability to be the driving force in scientific and technological advances. Let us make the right choice—for Newquay, for Cornwall and for the country.
ParlaMint-GB_2016-05-19-commons.u228	There is a great deal to welcome in this Queen’s Speech in relation to transport, and it is reassuring to see how many issues addressed in it reflect the requests that have come from the Select Committee on Transport. The real test will be whether the promised measures are implemented and do not simply remain aspirations, and of course we will have to see the important details of what is being proposed. I am pleased that the National Infrastructure Commission is to be made a statutory body charged with producing strategic vision for 2050. I just hope that we are not still discussing the issue of increasing hub capacity in the south-east when we get to that date. It is very important that a decision on aviation capacity in the south-east is made soon. Heathrow is the right location and it is important that a decision is made, in the interests of this country as a whole, and on behalf of the regions and nations of this country The northern powerhouse also features in the Queen’s Speech, and that is extremely important. Again, we do not need to hear more words; we need to see implementation of proposals and ideas that have been put forward. That means that Transport for the North needs to have effective powers and full accountability, but I do not see any mention of that in this Queen’s Speech. It is of course particularly important that electrification schemes that have already been proposed are properly costed and implemented. We do not want to see any more stop-start processes, where promises are made but much needed schemes are then either delayed or cancelled. When we are looking at much needed improvements across the Pennines—the trans-Pennine improvements and the so-called HS3—it is important for Ministers to remember that trans-Pennine improvements are not confined to Manchester and Leeds, but also include Liverpool, Newcastle, Sheffield and Hull, to name a few of these very important places I am very pleased that HS2 is going ahead, but I would like more clarity from the Minister on the stories now being circulated about possible changes to phase 2. To get maximum impact from that important infrastructure, HS2 needs to be linked with other rail investments, as we have been promised. For example, we need to enable a direct line to be built from Liverpool to link up with both HS2 and HS3. That is just one example of the way in which major infrastructure investments of national importance can also bring great benefits to the regions of this country I am pleased about the modern transport Bill, as the promises it makes for the commercial development of transport innovations are extremely important for this country, and that has too often been neglected. I also note the reference that has been made to the importance of using new technology for road safety. It is important to realise that although the trend on road safety over a decade or so is one of improvement, there has been a change in very recent years. In the last year for which we have recorded figures, 2014, we regrettably saw an increase in road casualties: 1,775 people were killed on our roads, and 22,807 people were seriously injured. Using technology to improve road safety is important, but technology on its own cannot do the job. Education and promotional campaigns and enforcement are also important. I remind Ministers that, yes, having the latest technology matters, but we also need more people enforcing the rules of the road and looking at bad driver behaviour, and we need more road traffic officers. This year, the Transport Committee produced a report that showed the impact of reductions in road traffic officers. For improved road safety, we need to harness the technology that is there and to use new technology, and we also need education and enforcement. The three go together I give a special welcome to the bus services Bill, although we have yet to see the critical detail of it. For too long, buses have been treated as the Cinderella of public transport, yet more people use buses than any other form of public transport. They are a lifeline for millions of people, enabling them to get to their jobs and to access important local amenities. This Bill—I hope I can repeat this when we see the detail of it—is an attempt to put right the weaknesses of the Transport Act 1985, which left bus services at the mercy of the free market, with local authorities picking up the tab for unprofitable services. London, which was spared deregulation, has gone from success to success, with franchise services using the private sector, but the private sector being employed to implement the transport plans decided by the public sector, Transport for London In the rest of the country, when local government cuts started to bite and financial cuts started to be implemented, local authority support for those subsidised services inevitably fell away. Increased numbers of people in communities have found that they are left out of essential transport services, with no access to work, hospitals and shops. It is not solely rural communities that have been affected, although they have been very badly affected; significant parts of towns and cities are losing not only night-time services, but important day-time services as well.
ParlaMint-GB_2016-05-19-commons.u229	I thank my hon. Friend for making those points. I agree with what she says. Night buses have been cut from Little Hulton in my constituency, which means that people cannot get into Manchester. Does she agree that among those who are excluded from these services are people with sight loss and that this Bill is an opportunity to make all new buses accessible for people with sight loss through next-stop and final-destination announcements?
ParlaMint-GB_2016-05-19-commons.u230	I thank my hon. Friend for her comments, and I certainly agree with her. A proper public transport service that includes buses has to be accessible for all people, and proper facilities should be available to enable people with sight loss and with other sorts of disabilities to use the service. This is a very important opportunity to do that. Indeed, the whole pattern that we have seen since bus deregulation is that, while services in London, where deregulation did not take place, have increased, services elsewhere in the country have reduced and bus fares have increased. That is not acceptable, and it cannot be tolerated any further. Measures to try to remedy that by having quality partnerships and quality contracts—the partnerships have been effective in some areas—have not resolved the basic question I look forward to the publication of the bus services Bill. Given the situation that currently operates so successfully in London, the proposal now is to enable devolved areas with an elected mayor to use franchise services. However, I would like to see the detail of how that can be extended to other sorts of authorities as well and to see what financial support goes with that. The power to make bus services accessible, accountable and effective is extremely important, but the finance to make that a real possibility must be there to go with it, so I look forward to seeing that In summary, I welcome some very important measures in the Bill. We need them to be enacted and not just to remain aspirations, and we need proper funding, too. It is vital that proper transport infrastructure is provided nationally, regionally and locally. It is also important that there are effective transport services that are accessible and passenger friendly. The test of whether this Queen’s Speech will deliver those objectives is yet to come.
ParlaMint-GB_2016-05-19-commons.u231	I wish to focus my remarks on neighbourhood planning and the effects on housing delivery, but first let me draw the House’s attention to my entry in the Register of Members’ Financial Interests. Just before the Under-Secretary of State for Transport, my hon. Friend the Member for Harrogate and Knaresborough (Andrew Jones), leaves the Chamber, may I make a very quick pitch for the A64? I welcome the £100 billion investment in infrastructure and the £13 billion investment in the northern powerhouse in this Parliament. A small part of that—£250 million—has been allocated to the A64, for the Hopgrove Lane roundabout. If that improvement does not include a dual carriageway as far as Barton Hill, it will simply kick that pinchpoint down the road. I ask him to bear that in mind and look at it in future discussions with Highways England I was astounded to hear the Leader of the Opposition claim in this House yesterday that “housebuilding has sunk to its lowest level since the 1920s.”—[Official Report, 18 May 2016; Vol. 611, c. 15.] According to the Office for National Statistics, quarterly housing starts, which are without doubt the most reliable guide to housing activity, have doubled from fewer than 20,000 in the first quarter of 2009 to more than 40,000 in the current quarter. For further proof, I suggest that Opposition Members visit any builder’s merchant or building site and talk to any brickie, chippie or sparky who will put them right. If they do not know any of these business people, I am happy to put them in touch with some I welcome the Government’s approach to local plans, which requires all local authorities to have a plan in place by 2017, and to neighbourhood plans. Neighbourhood plans give local people and local communities a say in what is built where, and what the building or settlement will look like. Clearly, neighbourhood planning must work with local authorities to agree the numbers allocated to a particular settlement. I am very grateful to my hon. Friend the Member for Henley (John Howell) who has been generous with his time not only in his work with the Government, but in volunteering to visit my constituency to help our local communities to develop their own neighbourhood plans Without question, neighbourhood plans are part of the solution to the increase in housebuilding that we need. I welcome the changes contained in the Queen’s Speech to make neighbourhood planning easier and more powerful for local communities. I do not support any community right of appeal, as planning is tough enough without adding more obstacles to the planning process. However, current rules and subjective calculations of the five-year land supply can undermine the expensive and time-consuming process of neighbourhood planning. For example, Gladman, a name that strikes fear in many planning officers, has been successful twice recently at Kirbymoorside and Easingwold in my constituency Gladman was successful on appeal in Easingwold thanks to its ability to demonstrate that Hambleton District Council had only 4.17 years of land supply. Nine months later, after a revised analysis carried out by another expensive consultant for the local authority, Hambleton District Council now believes that it has an eight-plus year land supply. In effect, this creates two perverse outcomes. A subjective approach to the assessment of housing market needs incentivises the kite-flying carpetbaggers such as Gladman to game the system, but it also disincentivises local communities from establishing a neighbourhood plan. Even though a neighbourhood may be ahead of its own housing numbers, a shortage in the local authority overall can mean that an inappropriate development is forced on that local community Perhaps I can suggest two simple solutions, consistent with the recommendations of the local plans expert group, which says that there is currently no definitive guidance on the way to prepare the strategic housing market assessment. The first solution would be simple definitive and objective guidance on assessment of housing needs, revised only at specified intervals. I suggest that one might base that on a brutally simple formula. There are 26 million homes in the UK, and we need to build around 250,000 homes per annum—roughly 1%. If each local authority grew by a minimum of 1%, we would meet our national housing targets for the first time in decades Secondly, there should be a housing delivery test for a neighbourhood planning area so that if the neighbourhood was hitting its prescribed numbers, it could not be subject to an aggressive application based on local authority under-delivery. That would simultaneously deter the kite flyers and encourage and incentivise more communities to develop their own neighbourhood plans and schemes that communities had proposed and consented to.
ParlaMint-GB_2016-05-19-commons.u232	I am interested in the hon. Gentleman’s comments about a common basis for assessing housing need. It is something that the Communities and Local Government Committee recommended in the previous Parliament, something that the specialist group that the Minister set up has recommended, and something that Lord Taylor of Goss Moor recommended in his work on planning guidance. It would take a lot of the heat out of local controversy about how numbers were arrived at, and it would be there for local authorities to take up if they wanted to. The hon. Gentleman makes a good proposal that the Government ought to take seriously.
ParlaMint-GB_2016-05-19-commons.u233	I am very grateful. As on many occasions in the Select Committee, the hon. Gentleman and I are in full agreement I now move on to another important issue in my community. According to almost every business person and key business organisations such as the Institute of Directors, the No. 1 business priority in the UK and for many business people in my community is access to digital connections—superfast broadband and mobile phone networks. To give the Government credit, we have seen a step change in access to these networks since 2010. Even in rural North Yorkshire, 88% of premises are now covered by superfast broadband; 91% will be by 2017, and 95% by 2019. However, there is a growing gap between the haves and the have nots. As coverage increases, the voices of those without broadband understandably grow louder and more vociferous. For home or business, superfast broadband is no longer regarded as a luxury but as an essential fourth utility, and we must treat it as such I welcome the bold ambition in the Queen’s Speech for our universal service obligation—a digital imperative that the Government will deliver on. To meet this imperative and the further commitment to increase speed as demand and activity also increase, we need a new relationship between the consumer and the network operator, especially BT Openreach. I must say, I am sceptical about Ofcom’s halfway house solution—an internal separation of Openreach and BT. It is, to my mind, inconceivable that a separate board and a separation of assets will separate the vested interest of a network from the commercial opportunity of the wholesale, retail and content provider operations of BT I and many colleagues will hold Ofcom and BT Openreach to account for the huge improvements required, especially including fair cost for access to its ducts and poles and a clear network map of their locations. Only this and a technology-neutral approach will deliver the solutions that we need. BT Openreach has actively thus far deterred third-party operators and complementary technology solutions from reaching the parts that other technologies cannot reach, namely, point-to-point wireless, wireless DSLAM—digital subscriber line access multiplexer—units and, of course a roll-out of fibre to the premises, or FTTP, the only future-proof solution available. Our penetration for fibre to premises in the UK is 2%, compared with 60% in Spain, where competitors can access ducts and poles more cheaply and readily May I also suggest to the Government that we look at creative community solutions? The voucher scheme for satellite is welcome, but would Ministers consider allowing residents to combine vouchers to contribute to the cost of installing community-based fibre schemes? We also need more clarity and co-operation between backbone operator Openreach and other technologies so that solutions can be provided today. If community or commercial point-to-point wireless providers are deterred through future roll-out plans, uncertainty about those solutions means that they are sidelined rather than rolled out to people in need These are real people with real businesses and real jobs. Ample Bosom in Cold Kirby in my constituency provides quality ladies’ garments for the larger lady; the Construction Equipment Association in Sproxton provides services for exhibitions around the world; the Black Swan is an award-winning hostelry close to where I live in Oldstead. They are all suffering and losing business as a result of the broadband delays and deferrals I am very pleased with the measures in the Queen’s Speech and commend those policy initiatives to the House.
