ParlaMint-GB_2016-03-03-commons.u1	1. What recent progress has been made on improving access to broadband in urban areas.
ParlaMint-GB_2016-03-03-commons.u360	With the leave of the House, Madam Deputy Speaker, I shall speak for a couple of minutes to reflect on the debate. First, I wish to thank all hon. Members who have participated in a fantastic debate, which has done great credit to our House. It sends a message to those watching that the House of Commons takes this matter seriously. Secondly, what has been so interesting in the debate is that a lot of the points made have been ones that have not been made before. For example, I am thinking of the point made by the hon. Member for Colchester (Will Quince) about data collection. I could also mention the good points made by my right hon. Friend the Member for Tottenham (Mr Lammy), and my hon. Friends the Members for Westminster North (Ms Buck), for Stockport (Ann Coffey), for Lewisham, Deptford (Vicky Foxcroft) and for Greenwich and Woolwich (Matthew Pennycook), among others I heard the Minister say that she was not convinced at the moment of the need for a national commission, but I am pleased that she has not ruled it out. I agree with her that it would be useful if localities set up their own commissions, and we have already done that in Lambeth. I think it would be useful to have a national commission, because we could share best practice and see what is happening as the situation changes on the ground. That was one thing we tried to do through the London gangs forum, when it was operating—as I said, however, we should not use the term “gang” any more. Not only does having a national commission say that we take this seriously, just as we have commissions in respect of other issues, but it would be very useful in sharing best practice from around the country As I said, this has been a wonderful debate and I think that we will all want to reassure those watching that this is not the end of the matter. It is very much the start of this campaign by this Parliament, and we will not rest until we see an end to the violence on our streets, and the opportunities and horizons widened for our young people, who are, as I said, our future Question put and agreed to. Resolved, That this House calls on the Government to establish an independent, all-party commission, involving a wide-ranging consultation, to identify the root causes, effect of, and solutions to, serious youth violence, including knife crime, its links to gang culture and the sale of illegal drugs.
ParlaMint-GB_2016-03-03-commons.u361	On a point of order, Madam Deputy Speaker. I am amazed to see that the Secretary of State for Wales is not in his place to respond to our next debate today, despite the fact that he made an extremely important announcement about fundamental changes to the draft Wales Bill on Monday, to journalists and not to this House, with the Wales Office tweeting at the time that hon. Members could wait until today to debate these changes. Have you been made aware that the Secretary of State plans to attend today’s debate to answer the important questions that Members have for him?
ParlaMint-GB_2016-03-03-commons.u362	As the hon. Lady knows well, Mr Speaker, or the occupant of the Chair, has no authority to require Ministers to be here for a debate such as this. Mr Speaker has said on many occasions, and I agree with him, that it is very important that this House of Commons is the body that holds Ministers to account and that speeches and announcements ought to be made here. I am not aware of what the Secretary of State said on Monday or of what he is doing today, but I am aware that a very capable Minister is here at the Dispatch Box. On behalf of the House, I trust that he will answer the questions that the hon. Lady and other colleagues will undoubtedly put to him and will draw to the attention of the Secretary of State anything that ought to be drawn to his attention, which will indeed be the whole debate. Mr Speaker has made it very clear, and I reiterate this, that Ministers making announcements should make them in this House and not anywhere else.
ParlaMint-GB_2016-03-03-commons.u363	Further to that point of order, Madam Deputy Speaker. I am concerned about not only the Secretary of State’s absence from this important debate, but the fact that he was absent at a St David’s day reception hosted in Lancaster House earlier today. Perhaps he has died or perhaps he has resigned and not told the House. Perhaps you could shed some light on this.
ParlaMint-GB_2016-03-03-commons.u364	The Chair definitely has no responsibility whatsoever for receptions held outside this House.
ParlaMint-GB_2016-03-03-commons.u365	Further to that point of order, Madam Deputy Speaker. I can advise the House that the Secretary of State has parliamentary business elsewhere and I understand that he has spoken to the promoter of the debate to explain that that is the case. I should also say that the Prime Minister and the Secretary of State hosted a very successful St David’s day reception on St David’s day at No. 10 earlier this week.
ParlaMint-GB_2016-03-03-commons.u366	Order. We will have no further discussion of this matter, as it is not my responsibility to explain where the Secretary of State is. The Minister has given an explanation and that is the end to the matter.
ParlaMint-GB_2016-03-03-commons.u367	On a point of order, Madam Deputy Speaker.
ParlaMint-GB_2016-03-03-commons.u368	Is it a different point of order?
ParlaMint-GB_2016-03-03-commons.u369	It specifically concerns a communication from the Wales Office. On Monday, when the Secretary of State made a closed announcement to journalists, I tweeted that I was surprised that the matter was not being made in a statement to the House of Commons. In response to that tweet, I received from the Wales Office a communication saying that I would be able to raise such matters with the Secretary of State in this debate today. It seems that it is entirely inappropriate for the Wales Office to communicate in that way—
ParlaMint-GB_2016-03-03-commons.u370	Order. That is the same point of order. If the Secretary of State decides that the Minister should answer these questions today and respond to the points, which I am sure the hon. Gentleman will in due course make, then that is up to the Secretary of State and the Minister. Now we will continue with the debate
ParlaMint-GB_2016-03-03-commons.u371	I beg to move, That this House has considered Welsh affairs I can confirm that, this morning, I enjoyed a meeting with the Secretary of State, at which we discussed the crisis in the Welsh steel industry, so he was certainly available for discussions then It is a great honour to open this debate today, and I am grateful to the Backbench Business Committee for allowing a St David’s day debate. The debate offers us the opportunity to speak about the challenges and opportunities affecting Wales. I am sure that Members will wish to touch on a wide range of different matters. I want to open today’s debate by concentrating on what I believe are some of the most salient, political, cultural and economic matters facing our country and our people today This will be a momentous year for Wales. First, we are on course for a championship-deciding clash with England in the Six Nations. I remind the House that it is traditional for Wales to win the Six Nations after a World cup. Perhaps the most momentous sporting occasion will be when the rugby team’s round-ball counterparts make their debut in the European championships in France this summer. It has been 58 years since we have been at an international finals. That is far too long for a country that has produced footballing greats—such as Allchurch, Rush, Hughes and Giggs—to be absent from major footballing tournaments. “Together Stronger” was the mantra of the team and the supporters through qualification, and it is a philosophy that can be applied across many of the issues that I wish to speak about today When Bale, Ashley Williams and Ramsey are flying the flag for Wales in that contest, campaigners from this House and across Wales will be making the case for Wales and the whole of the UK to remain in the European Union. We will do it with special zeal. Wales is a net beneficiary of EU funding. Our membership of the European Union is vital to our economy, security and our place in the world. A Brexit would be a massive gamble for Wales, putting jobs, investment, trade and therefore the safety of our communities at risk. The very last thing that we need now is the instability that the possibility of secession from the EU inflicts on a country that already endures economic fragility and social disadvantage.
ParlaMint-GB_2016-03-03-commons.u372	I am very grateful to the hon. Gentleman for giving way on that point. Does he accept the Library figure that the UK makes a net payment of around £8 billion to £8.5 billion each year to the European Union, and that if that money were taken and Barnettised and 5% of it were handed over to Wales, Wales would become a net beneficiary from exiting the European Union?
ParlaMint-GB_2016-03-03-commons.u373	I thank the hon. Gentleman for his intervention, but I am afraid that he is confusing the budget of the European Union with the British economy. The British economy benefits to the tune of £227 billion a year in the exports that it makes to the European Union, thanks to its membership of the single market. If we are looking for value for money, £9 billion to £227 billion looks like a pretty good deal to me More immediately, many share my concerns about the months between now and 23 June and ask whether it is realistic to expect rational decisions to be made around a Cabinet table that is beset by mutual loathing Hundreds of thousands of Welsh jobs are linked to EU membership, and that membership is our largest source of investment, bringing growth, quality employment and higher wages. Much of our global investment from outside the EU is made possible by the fact that, inside the EU, we provide a gateway to the single market. That is a major reason for international firms such as Tata Steel in my constituency to locate in Wales As Members will be aware, the Welsh steel industry finds itself in a precarious position and nowhere in Wales is that felt more acutely than in my constituency. The works in Port Talbot are the productive core of our local economy and community, so the announcement at the start of the year of 750 job losses was a bitter blow, which will be compounded when the impact starts to be felt through the supply chain and the wider local economy Although the steel crisis may be partly the result of global trends and events, what cannot be ignored is that the Government have been asleep at the wheel for the past five years. Far more could and should have been done to give the British steel industry a fighting chance. From the blatantly unfair and distortive dumping of Chinese steel to the incompetent and complacent management of public procurement, this Government have failed to give justified support or stimulus to steel.
ParlaMint-GB_2016-03-03-commons.u374	The hon. Gentleman is being very generous in giving way. May I draw his mind back to the evidence that we took from management and the unions about those terrible job losses? Both said that the European Union had delayed bringing in tariffs on Chinese rebar and had taken a very long time to agree the compensation package—for which the Government had to ask permission from the EU— in order to give back to companies such as Tata some of the money that had already been taken as a result of energy taxes.
ParlaMint-GB_2016-03-03-commons.u375	I thank the hon. Gentleman for his intervention. Membership of the European Union is defined by how a country engages and how it works with partners in Brussels—both with the European Commission and the other member states. What we have is a Government who, in 2011, recognised that there should be an energy-intensive industries compensation package, but then failed to knock on the door in Brussels and make it happen. How can it be that it took five years to deliver that deal When it comes to the dumping of steel, the British Government are the ringleader of a set of member states that do not want to reform the anti-dumping rules—so we still have the lesser duty rule—and are cheerleaders for China, lobbying for it to have market economy status. I am afraid that we need to draw a line under this constant scapegoating of Brussels. The blame should be laid squarely at the doors of Nos. 10 and 11 Downing Street and the rest of the Cabinet. Unlike other member states, they have failed to engage in Brussels in a way that wins for British business The Government operate in a fog of laissez-faire ideology. They pray to the gods of the free market, and then they hope for the best. In reality, the market economy can function effectively only if it is regulated. Just as football requires the off-side rule to ensure fair competition, so our steel industry requires the right regulatory framework, so that it can trade in equitable conditions—on a level playing field. Instead, the Government’s blithe faith in the free market is driving them to lobby for China to be given market economy status, and to refuse to support the scrapping of the lesser duty rule I wish to state now, with utmost gravity, that if speedy action is not taken to prevent the dumping of Chinese steel, we will witness the beginning of the end of UK steel making. The Government know full well that this foundation industry is hanging by a thread. Neither free market dogma nor cosying up to Beijing should be allowed to impede their patriotic duty to emulate other EU countries and stand up for the men and women who are the backbone of the British economy The Minister for Enterprise and the Secretary of State for Business, Innovation and Skills recently visited my constituency, and I hope they will return so that they can go to the homes of some of my constituents who have lost their jobs. I hope they will look those men, women and families in the eye and explain themselves—explain how they can claim publicly that they are supporting the steel industry, while fighting tooth and nail behind closed doors against the lifting of the lesser duty rule and for market economy status for China I hope those Ministers will explain how they can claim publicly that they are changing public procurement to maximise the use of British steel, while allowing the Ministry of Defence to build the latest flotilla of Royal Navy frigates with Swedish steel. I hope they will come to Aberavon and explain the breath-taking contrast between their words and their deeds, for the people of my constituency deserve an explanation I am certain that the British steel industry has a promising future if it is given the right support by Government. The men and women at the Port Talbot works make the finest steel that money can buy and they are breaking all production and efficiency records, but the industry requires a long-term industrial strategy based on a sustained, comprehensive approach to skills, investment, regulation, energy and industrial relations. That is why I am proud to co-chair a working group of the all-party parliamentary group on steel, which will produce a report, “Steel 2020”, on formulating a long-term industrial strategy for British and Welsh steel Our strategy for the future of the Welsh economy must not be limited to steel. We need a new industrial revolution grounded in the new economy of renewables and connected technology, a fourth industrial revolution such as the one that was spoken of at the recent meeting of the World Economic Forum in Davos. I see Wales at the forefront of that revolution. The Swansea Bay tidal lagoon could transform the energy industry, but frustratingly, its future is under threat owing to the Government’s perpetual flip-flopping. A positive decision on the lagoon would not only put a much needed tick in the Government’s ever-diminishing green credentials, but deliver a massive boost to the local economy. By committing to sourcing as much steel as possible from the UK, it would significantly help the UK steel industry. That project needs and deserves rapid advance. The Government need to get off the fence, and fast The Government’s short-sightedness is undermining other forms of renewable energy, such as wind and solar. These are burgeoning industries in my constituency, with hundreds of jobs at stake, but they are under threat because of the Government’s moves to cut price stabilisation mechanisms, such as the feed-in tariffs. The Government have been on a policy descent from “Hug a huskie” to, in the words of the Prime Minister, “Let’s cut the green crap”.
ParlaMint-GB_2016-03-03-commons.u376	May I point out the hypocrisy in what the hon. Gentleman is saying? There is a contradiction between supporting steel—Celsa Steel, for example—which uses so much electricity, and putting a price on that electricity for renewables?
ParlaMint-GB_2016-03-03-commons.u377	I thank the hon. Gentleman for his intervention. As we have discussed, it is clear that energy-intensive industries require support from Government. That was recognised by the Chancellor in 2011. The support that has come, finally, is welcome. The big question for me is how it could possibly have taken five years to make that happen—to get the state aid clearance that was required from the European Union. Fundamentally, the strategy for energy must be about spreading the burden of the cost more effectively so that our energy-intensive industries are not being hung out to dry by an energy policy that does not make sense. It is also about making a firm commitment so that those investing have a sense of the stability and sustainability of the market in future. We currently do not have any of those things in place, which is why we are in such a mess.
ParlaMint-GB_2016-03-03-commons.u378	My hon. Friend makes an important point about stability. Does he agree that the real problem in industries such as solar and anaerobic digestion—on which a reception was held in the House earlier this week—is the instability of the legislative and regulatory framework, which is a deterrent to long-term investment and is costing a large number of jobs in communities right across Wales?
ParlaMint-GB_2016-03-03-commons.u379	I agree absolutely. The Energy and Climate Change Committee has just produced a compelling report that clearly demonstrates that we are losing investment and jobs precisely because of the mixed messages and signals that this Government send to investors. Business abhors a vacuum. Business needs stability. It needs to know whether there will be a return on its investments, and at present it sees no evidence whatever of that in the United Kingdom Wales, and south-west Wales in particular, can also be at the forefront of an internet revolution. Swansea Bay city region has based its city deal proposal on the concept of an “internet coast” to drive the digital future of energy, health and economic acceleration. All eyes are on the Chancellor. If he really wants a “march of the makers”, he must give his full backing to that exciting vision. The Swansea University bay campus, which, I emphasise, is based in my Aberavon constituency, has a huge role to play in the development of the internet coast. I look at my hon. Friend the Member for Swansea East (Carolyn Harris) for verification of that.
ParlaMint-GB_2016-03-03-commons.u380	indicated assent.
ParlaMint-GB_2016-03-03-commons.u381	This outstanding project, made possible by EU and European Investment Bank funding, is one of the largest and most important knowledge economy projects in Europe, producing cutting-edge research focusing on science and innovation The “internet coast” is a plan for the future. It is a pity the same cannot be said of the Government’s draft Wales Bill, which does not provide anything like the lasting settlement that it was intended to create. Instead, it has thrown up more uncertainties around the legislative process, and succeeds only in generating reams of constitutional red tape. Just this week the Welsh Affairs Committee, under the chairmanship of the hon. Member for Montgomeryshire (Glyn Davies), called on the Government to pause the proposed timetable for the Bill so that there is opportunity to reflect fully. That is the least that is needed. My specific concern is about ministerial consent and the risk that the process is seen as tantamount to an English veto, but my more general concern is that the Bill has been drafted in a bubble, isolated from the broader debate about the constitutional reform that our country so desperately needs The UK is more centralised than any other leading industrialised economy, and the Scottish referendum demonstrated that the constitutional foundations of the UK are cracking beneath our feet. The British people need and deserve better. The piecemeal, make-do and muddle-through approach that is epitomised by this Wales Bill is simply not going to get the job done. We must, therefore, have a full constitutional convention that would formulate a bold, radical, rational, root-and-branch reform of our constitution. The convention would develop a written constitution that is anchored in a confederal UK, an elected senate, a more proportional electoral system, and properly defined devolution of powers to the nations and regions of the United Kingdom We have also seen the results of government by muddle in Wales with the Trade Union Bill. Having taken a sledgehammer to crack a nut, the Government have found that the nut is not entirely theirs to crack in the first place. I am delighted that my Labour colleagues have stood eyeball to eyeball with the Government, and it was the Government who blinked first. The Trade Union Bill, coupled with the changes in voter registration and the alterations in constituency boundaries, are blatant and disgraceful attempts to turn the UK into a one-party state, the thinly veiled agenda being to eradicate parliamentary opposition altogether. Vladimir Putin would be proud of such fixing. Wales is disproportionately hit by the boundary changes, losing around a quarter of our MPs, reducing Wales’s voice in the House and marginalising the Welsh people There is great potential in Wales, but we will realise that potential only with bold leadership. There is vision and willingness in Cardiff Bay, but we find those qualities abysmally lacking on the Government Benches. As we go into elections in May, we should remember all that we have to be proud of in Wales: a Labour Government delivering for working people, creating 50,000 apprenticeships and getting 15,000 young people back to work with Jobs Growth Wales; ground-breaking legislation on violence against women; a Labour Government who have improved the cancer survival rate faster than anywhere in the UK, and who are training more nurses than ever before; a Labour Government who stood up to Westminster to protect farm workers’ wages; a Labour Government who stood by Remploy, while the Tories were shutting it down across the rest of the UK Let us remember that it is the work of the Welsh Labour Government under the leadership of First Minister Carwyn Jones that has enabled the creation of 750 jobs at Aston Martin in St Athan. Under Carwyn, Labour will make use of the Welsh Government’s new powers by cutting business rates for small businesses and supporting entrepreneurship, growth and jobs. That is the kind of leadership we need in Wales.
ParlaMint-GB_2016-03-03-commons.u382	I thank my hon. Friend for his wonderful speech and for his important leadership in the whole steel debate—he has been critical in moving in it forward. Will he talk a little about the importance of clarifying what will happen with rail franchising in Wales? Will he talk about whether it is true, as suggested by the Department for Transport, that no trains that start or end in England will be franchised in Wales? We have to know what is happening. Is it not important that we take that issue forward?
ParlaMint-GB_2016-03-03-commons.u383	I agree entirely. That comes back to an issue I was talking about earlier: the need for a long-term industrial strategy that connects supply with demand and that gives our steel producers some certainty so that they know what infrastructure projects are coming down the track. They can then configure their production processes to ensure that they make the right kind of steel at the right time. That is about a partnership between Government and business; without such a partnership, industries such as the steel industry will continue to struggle. I hope that we will hear a little more today about the Government’s commitment to such a partnership That is the kind of leadership we need in Wales: the kind that creates jobs, opportunity, industry and enterprise and that stands up for all in our nation—the kind we can be proud of. That is why it is vital that we see a Labour victory in Wales on 5 May Wales has the talent and creativity to emulate our Celtic cousins Scotland and Ireland in gaining strong recognition in the world. Our people achieve far beyond the nation’s size in rugby, football, athletics and so on. With effort and fair chances, we can do the same politically, technologically, environmentally, culturally and economically. I am proud to be Welsh, to be British and to be European. I am certain that we can make those advances because, in all dimensions, together we are stronger.
ParlaMint-GB_2016-03-03-commons.u384	Order. I hope we can manage this debate without a formal time limit on speeches. If everyone who has indicated that they wish to speak takes under 10 minutes—that means around nine minutes—everyone will have an equal chance to put their points.
ParlaMint-GB_2016-03-03-commons.u385	May I take this opportunity to wish you, Madam Deputy Speaker, a belated happy St David’s day? May I congratulate the hon. Member for Aberavon (Stephen Kinnock) on securing this important debate? Traditionally, it has always been held close to St David’s day. It reminds the entire House that, even in an age of devolution, many of the most important decisions that affect Wales are still taken in these Houses of Parliament There have been busy times recently for the Wales Office. We recently had a very full debate on the draft Wales Bill, so I do not propose to rehearse the remarks I made then, save to tell the Minister how pleased I am that he and his colleagues have taken the opportunity to have a pause in the process of developing what will be extremely important legislation. It was generally agreed by hon. Members, and indeed by commentators outside this House, that the draft Bill was really not ready and not fit for purpose I am glad that the Minister and his colleagues are giving further consideration to the matter. They are looking at the issue of the list of reservations, but my concern was not so much with the reservations, as he knows, as with the necessity test, which was rather sketchy and ill-defined. I hope he will be able to come back to the House with something that is more fit for purpose I wish to speak—briefly, Madam Deputy Speaker—about north Wales, because that is the part of Wales I come from and in which I have lived all my life. Welsh Members frequently think that north Wales is something of an afterthought in Westminster and in Cardiff Bay. In the case of the Welsh Assembly Government, I think few of its members come from north Wales and understand the peculiar circumstances that prevail there. For example, I do not think it is fully understood by members of the Welsh Government that most of north Wales is, in reality, closely tied to north-west England; in fact, it is fair to say that it is very much part of the north-western economic region. That lack of understanding has resulted in certain problems for north Wales, and I am glad to say that north Wales Members of Parliament are beginning to address that through the formation, under the excellent chairmanship of the hon. Member for Wrexham (Ian C. Lucas), of the new all-party group for the Mersey-Dee north Wales region North Wales needs to maintain its close links to north-west England. Traditionally, it has always looked, culturally and economically, to the great cities of north-west England—specifically Manchester and Liverpool. However, devolution carries with it the danger that those historical and traditional links will be loosened. It is important, now that Government policy is firmly focused on developing the northern powerhouse agenda, that north Wales is not overlooked in that process One aspect of the northern powerhouse that north Wales needs to link into is the rail network. I was glad when, a few months ago, the Chancellor announced that he was making funds available to upgrade the Halton curve, which many Members on both sides of the border—not least my hon. Friend the Member for Weaver Vale (Graham Evans)—had been pressing for for some time. However, there is much more that needs to be done North Wales MPs hear constantly of the wonderful electrification upgrades in south Wales. Before long, the Great Western line will be upgraded to electrified status all the way through to Swansea.
ParlaMint-GB_2016-03-03-commons.u386	Does the right hon. Gentleman share my concern that it appears from announcements by the Department for Transport that the north Wales line to Manchester will be held by an English franchise and that there will be no opportunity for a Welsh franchisee to hold it, because it will not be possible for any franchise that starts or ends in England to be held in Wales?
ParlaMint-GB_2016-03-03-commons.u387	I do have concerns about the franchise, but now that the hon. Lady has raised the subject, I am bound to say that the citizens of north Wales would not express much satisfaction with the franchise that has been put in place by the Welsh Assembly Government. Arriva Trains provide a very poor service. It is actually much quicker for me, as a north Wales MP, to travel to London by Virgin Trains than to Cardiff by Arriva. Certainly, issues of topography are partly responsible for that, but they do not explain the appallingly low standards of comfort that one experiences on Arriva. I would certainly hope, therefore, that all aspects of the franchise will be looked at, not least the adequacy of the service that is provided at the moment The north Wales coastal line needs to be upgraded. We must not miss out on the opportunity to tap into the new service that will be provided as a consequence of the advent of HS2. It looks very much as if a new hub will be provided at Crewe, and it is essential for the travelling public of north Wales that proper, electrified services connect the whole north Wales coast, from Holyhead, all the way to Crewe In that connection, valuable work is being done by the North Wales Economic Ambition Board, and the new all-party group can play a role in that. It is hoped that there will shortly be a meeting that will be attended by the Under-Secretary of State for Communities and Local Government, my hon. Friend the Member for Stockton South (James Wharton), who is the northern powerhouse Minister. I was very pleased to see the Minister at a meeting organised by the board in Llandudno a few months ago. It is essential that the Government do not take their eye off the ball, because electrification of the north Wales line is fundamentally important to the economy of north Wales and to its connectivity with the northern powerhouse Similarly, consideration should be given to the Borderlands railway line that runs between Wrexham and Bidston, connecting the two enterprise zones at Wirral Waters and Deeside. Electrification of that stretch of line, particularly between Bidston and Shotton, would provide a relatively inexpensive, but highly desirable, piece of infrastructure. It would put Deeside industrial estate within commuting distance of the centre of Liverpool, again improving connectivity.
ParlaMint-GB_2016-03-03-commons.u388	I thank the right hon. Gentleman for his kind words earlier. He knows that I strongly share the agenda he is outlining. The Welsh Government have invested £43 million in dualling the Wrexham-Chester line, which is hugely important, and we need to do more. Will he join me in pressing the Welsh Government and the UK Government to put their money where their mouth is? The Welsh Government, to be fair, believe in cross-border transport so much that they have dualled the line in the constituency of my hon. Friend the Member for City of Chester (Christian Matheson) rather than in Wrexham, and we want it to run right through to Wrexham.
ParlaMint-GB_2016-03-03-commons.u389	Yes, that is the burden of my speech. As the north-eastern part of Wales is so dynamic and so important to the economy of north Wales, as well as that of the country of a whole, and because it straddles a border—a line on the map that was not there in reality until fairly recently—we need to ensure that differing policies on either side of the border do not have any unforeseen effects. Yes, of course it is essential that both the Westminster Government and the Welsh Government should be working extremely closely together in this regard Before I sit down, Madam Deputy Speaker—I am very much alert to your strictures on time—I will mention the A55 coast road, or expressway, which is the most important route in the whole of north Wales, linking the areas around the border to Holyhead. The road is now quite old and in desperate need of upgrading. A few years ago, arrangements were made whereby borrowing powers were given to the Welsh Government—in fact, they were given the right to access the old borrowing powers of the Welsh Development Agency—in order to upgrade road infrastructure. That was stated to be specifically for the M4 and the A55. The Welsh Government are taking steps to upgrade the M4 around the Newport area, and that is all well and good, but looking at this from a north Wales point of view, it is rather galling that they do not appear to be accessing these borrowing powers to upgrade the A55. I ask my hon. Friend the Minister to give his colleagues in the Welsh Assembly Government the message that they should realise that the A55 is just as important to the people of north Wales as the M4 is to the people of south Wales There is a strong perception among us north Walians that we always get the short straw. I very much hope that the Welsh Government are listening to the contributions made to this debate and will understand that there is life north of Merthyr Tydfil and that the people of north Wales need their own specific economic interests to be reflected—and that means more connectivity and more integration with the great north-west economy.
ParlaMint-GB_2016-03-03-commons.u390	I would like briefly to refer to three issues: first, what has happened to the draft Wales Bill; secondly, the importance of the European Union to Wales; and, thirdly, the need for the third runway at Heathrow airport from a Welsh perspective I have to ask where the Secretary of State for Wales is this afternoon. Surely this is an important debate and his place really ought to have been in this Chamber listening to what Members have to say and responding to their remarks. It is not asking too much that he show some courteousness and political common sense by coming here. I very much hope that he will learn the lesson from his embarrassment this afternoon. The Under-Secretary will clearly take that message back to him Quite a significant decision has been taken by the Secretary of State over the past week—to withdraw the draft Wales Bill—but I am concerned that there has been no oral statement or even a written statement. There has been no communication with the House of Commons. We learned about the decision from the press. That is a gross discourtesy and an undermining of the parliamentary system that we are all committed to That brings me to my main issue. I ask the House this question: what do the following individuals and organisations have in common? They are the Wales Governance Centre, the leaders of three political parties in Wales, the Learned Society of Wales, Sir Paul Silk, Sir Emyr Jones Parry, the head of the Wales office of the Law Society, and the professor of governance and constitution at University College, London—and the list could go on. The answer is that they all said that the draft Wales Bill was not fit for purpose. There was relative unanimity on that among those in Wales who follow these issues closely—the objective experts and academics, and the people who are at the sharp end of implementing legislation. I am sure the Under-Secretary will say, “Well, yes, that is why we withdrew the Bill—we listened”, but would it not have been better if he had listened at the start Concern was expressed about the draft Bill right from the very beginning, when it was first published. I have a copy here, and quite a heavy tome it is. The Secretary of State said in the foreword: “This draft Bill sets out in detail how the Government plans to deliver the St David’s Day commitments to create a stronger, clearer and fairer devolution settlement for Wales that will stand the test of time.” It stood the test of time for four months, and then he recognised what everybody else was saying—that it was not fit for purpose and he should go back to the drawing board and start all over again.
ParlaMint-GB_2016-03-03-commons.u391	I have listened to the hon. Gentleman’s criticisms, but does he not agree that it is far better to get the legislation right than to bring through hasty legislation that does not stand the test of time? In that regard, did he read the recent report by the Public Administration and Constitutional Affairs Committee that bemoaned the fact that the Blair Government of 1997 hastened through legislation that has now resulted in the West Lothian question not being addressed?
ParlaMint-GB_2016-03-03-commons.u392	I agree up to a point. Pre-legislative scrutiny is good—it makes for better legislation—but it would have been far better if the Wales Office had recognised that meaningful constitutional change can be achieved only on the basis of a high degree of political consensus. It cannot be achieved by a Government—any Government—trying to push through legislation that does not command broad support and is seen by some people as partisan and not properly thought through. That was one of the fundamental problems with the draft Bill. Many people thought it was purely impractical and would therefore lead to bad governance. That lesson ought to be learned.
ParlaMint-GB_2016-03-03-commons.u393	That part of the splendid report referred to by the right hon. Member for Clwyd West (Mr Jones) is a fine example of inventing precedent to suit a case. In fact, the words inserted into the report were disputed, because they are a great example of the argument made at the beginning of a splendid book about those times called “Dragons Led by Poodles”, which asserted that only the future is certain, but the past is always changing. That is what the Committee tried to do.
ParlaMint-GB_2016-03-03-commons.u394	My hon. Friend is too modest to say this, but it is worth pointing out that he was the author of that book. I disagreed with some things in it, but it did have many words of wisdom My central point is that those of us who believe in devolution need to recognise that there needs to be a high degree of consensus, dialogue and debate among all politicians involved in the process, both here and in Cardiff Bay. I really hope that when the Government start from scratch, they will have learned the cardinal lesson that they have to consult—genuinely and openly, and on a cross-party basis—opinion here in Westminster. I think that all our colleagues are prepared to contribute It is also important that the Government work with the Welsh Assembly. It is very important that we have that dialogue with Cardiff Bay, because, to be frank, it is unthinkable that a Westminster Government could decide a devolution package that is not acceptable to the body to which power is being devolved. If they had proceeded with the draft Bill, we might have been in that situation, ridiculous though it seems. I ask the Government for dialogue not only here, but with our colleagues and friends back in the Welsh Assembly My second point is about the European Union. In my view, there is an overwhelmingly strong case for the United Kingdom to remain a full member of the European Union, but that case is particularly strong for us in Wales. There can be no doubt whatsoever that the European Union is vital for jobs, exports and, therefore, prosperity in Wales Last week the Prime Minister visited the General Electric aircraft engine maintenance plant in Nantgarw, just outside my constituency. He made his case for why Britain should remain in the EU and why it benefits south Wales and General Electric. Objectively, he had a strong case to make, because General Electric is one of my constituency’s most important employers; many of the workers travel down Nantgarw hill to work there. It recognises how important it is to have a good relationship with the EU and to be an integral part of the single European market. I have no ideological axe to grind; empirically, we recognise that it is good for our economy to be firmly linked to our partners in the rest of Europe. It is as simple and straightforward as that. It is a bread and butter issue On Monday night, I met representatives from DS Smith Recycling Ltd, which is a British company with a strong European presence. It is expanding its operations in an innovative way throughout the European Union, and it is a major and important employer in my constituency of Caerphilly. The company is not committed to the left or to the right; it simply wants to expand its work and be a good employer. It recognises that it would be absolute lunacy for itself and the people it employs if we extricated ourselves from the European Union. The message that went out on Monday evening was, “In the interests of the company, jobs and prosperity, please make sure that the strong case is put for Britain to remain in the European Union.” The two companies I have mentioned have innovative and well-structured training programmes, which the EU’s structural funds contribute to in large part. Wales has been allocated £2.4 billion from the EU structural funds for the 2014 to 2020 period. Indeed, Wales is a net beneficiary—more money comes in than goes out—to the tune of £838 million a year. There are strong practical reasons for making the case over the next few weeks that Britain and Wales should remain an integral part of the European Union. It makes sense for ordinary people and for the country’s prosperity, to which we are all committed My final point is also linked to the prosperity of Wales, namely the question of whether Heathrow should be expanded and have a third runway. As a Welsh MP, I believe that the strongest single argument in favour of the third runway at Heathrow is the positive impact it would have on the Welsh economy. That is not just my view. The First Minister of Wales, Carwyn Jones, was clear the other day that the Welsh Government support the expansion of Heathrow because it would provide the best possible support for investment, tourism and jobs in Wales. His comments are informed by hard facts and clear analysis. It has been estimated that 85% of the new manufacturing jobs that an expanded Heathrow would generate would be created outside London and the south-east. Up to 6,000 of those manufacturing jobs would be in Wales, constituting a significant part of the 8,400 Welsh jobs accompanying a total of £6.2 billion of economic benefit Those facts speak for themselves. It is essential that the Government stop shilly-shallying and give the go-ahead for the expansion of Heathrow. It makes sense for the country as a whole and for Wales in particular Whether or not Heathrow will bring the best possible benefits to Wales depends on access. That is why it is essential that Heathrow’s expansion is accompanied by the electrification of the Paddington to south Wales railway line and the construction of a rail spur directly to Heathrow. I am aware that a consultation began this week.
