ParlaMint-GB_2016-03-24-commons.u1	1. What steps she plans to take to reduce energy prices for indebted prepayment customers.
ParlaMint-GB_2016-03-24-commons.u342	I thank the Backbench Business Committee for providing time for this debate. In particular, I thank my hon. Friend the Member for Dulwich and West Norwood (Helen Hayes) for securing it and opening the debate so skilfully and eloquently. We share a concern about Lambeth county court, which covers many of our constituents The hon. Member for Bromley and Chislehurst (Robert Neill) spoke about how busy his court was in Bromley, and showed how busy he was by receiving a call here. Lambeth court, too, is busy. When I appeared at the court—as a witness, I hasten to add—to speak for leaseholders against Southwark council, that morning alone there were about 22 individual cases involving residents and the council. It is an incredibly busy court, which is why local legal professionals approached me and other Members about the Government’s assessment of how the court was being used. Their concerns related to both the time that that assessment took place and the consideration of preparation for cases When this topic was discussed in Westminster Hall, these issues were not answered fully. It would be useful if the Minister could confirm whether alternative facilities have the capacity to provide the necessary preparation time and space. It is deeply unfortunate that in a debate about justice, the Government have not provided sufficient evidence to justify their course of action One aspect that has not been discussed today concerns law students. London South Bank University approached me to ask whether the Government are even considering assessing the impact on law students, the additional costs they will incur and the additional travel they will have to undertake to attend cases. Can the Minister tell us whether such an assessment will be conducted The issue of travel has been raised many times. The Government figure showing that 97% of people affected can be at a different court within an hour has been significantly challenged by Resolution and by Members today. That figure is not for travel from home, and it would be much more useful if the Government could provide an assessment of average journey times from home to court. I hope the Minister will commit today to provide such an assessment The 97% figure is also undermined in communities such as mine. In the borough of Southwark, only 50% of households actually own a car. The policy of controlled parking zones also affects many residents. People are therefore either unable to own a car or have only limited access to one. In looking at the issue on behalf of individual constituents, I looked at journey times for constituents in Rotherhithe. It would take some of them four hours to go from Rotherhithe to Putney if they needed to appear there, and that would include six different bus journeys. I hope we have a new Mayor in May who will freeze fares and introduce the one-hour ticket, but my constituents still face potentially higher costs. Those costs and the inconvenience involved in travelling will affect court attendance, and they could affect the number of cancelled cases and appeals. We have not seen a full assessment of those issues Nor have we seen a full assessment of the potential knock-on costs for the police, who are transporting witnesses further, or to the probation service and the Prison Service, which are transporting defendants further. I believe it was the Law Society that raised the case of jurors claiming higher costs for their car use and the cost of public transport. Assessments of those issues have not been made available to the level we would expect. We have also heard about the additional costs to councils’ housing and social services offices Instead of the Department providing the evidence base and undertaking assessments, huge assumptions have been made about the willingness of councils and police stations to make space available to provide the video link facilities that the Minister has mentioned previously. Where is the evidence base to show that those things will happen and that the equipment will be available and useable? My hon. Friends the Members for Ynys Môn (Albert Owen) and for Bridgend (Mrs Moon) talked about rural access to broadband services, but the issue is equally relevant to Rotherhithe, where BT has not provided the capacity to meet local demand. It would be useful if the Government could indicate today that they will look at that issue Without the demonstrable capacity to deliver the justice we know is needed, it seems that the Ministry of Justice is rushing into these proposals and passing the buck to other parts of the public sector and to individuals—individuals who have experienced crime or misfortune, and who are now being served another layer of injustice I am certainly not opposed to the modernisation agenda, but without the full assessments and commitments I have outlined, it is a very risky agenda. It is vital that the Government provide those assessments before they push ahead with their agenda
ParlaMint-GB_2016-03-24-commons.u343	May I begin by congratulating my hon. Friend the Member for Dulwich and West Norwood (Helen Hayes) on securing the debate? The general tone has been that no one is opposed to change, and that is where I start from. Like any other public service, the justice system and the magistrates system need to change. However, as my hon. Friend the Member for Wakefield (Mary Creagh) said, the root cause of the proposals, whether we like it or not, is the attempt to save money and the small-state conservatism that the Chancellor of the Exchequer longs for. That has made the system throw up some very peculiar examples of injustice. We also have ludicrous situations such as the one the hon. Member for Torbay (Kevin Foster) mentioned, where substantial investment was made in a magistrates court a year or so ago, only for it to be written off now The hon. Member for High Peak (Andrew Bingham) said the consultation was clearly flawed, and I agree. The assumption that was made was clearly that these courts would close and that people could travel to the courts that remained open. What was not taken into consideration was the people who do not have access to cars. In my constituency, people use the magistrates court in Consett, and they were told in the public consultation that took place in the north-east that if they had to travel to Peterlee court—as they will now have to—they could go by train. Well, that would be a very circuitous route, seeing as there is no train station in Peterlee. Even if someone took another form of public transport, they would have to set off at something like 7 o’clock in the morning to get there by 9.30, and that depends on public transport being available. That also fails to recognise the rural nature of my constituency and that of my hon. Friend the Member for North West Durham (Pat Glass). That has been the main flaw in the proposals Having spoken to the Minister, I recognise that he is committed to change, although he has a sword hanging over his head in terms of cutting costs. Like the hon. Member for High Peak, I made representations to the Minister—about the proposals for North Durham. My constituents will now have to travel to Peterlee magistrates court, which will take them more than two hours on public transport, if it is possible to use it. The constituents of my hon. Friend the Member for North West Durham will find things even more difficult. I suggested to the Minister that it would make more sense for my constituents to travel to Newcastle or Gateshead—it would certainly be a lot quicker to get from Chester-le-Street, in my constituency, for example, to Gateshead or Newcastle magistrates court. I am also told by the local head of the Crown Prosecution Service that there is spare capacity in those two courts I wrote to the Minister on 25 February, and I was very disappointed this morning when I got his letter, which said that my proposal was not possible and that my constituents would still have to travel to Peterlee. That makes no sense whatever, when people can get from Chester-le-Street to Newcastle in 10 minutes on the train, as opposed to the nearly two hours it takes to get to Peterlee. I would therefore ask the Minister to look again at those proposals. I accept that the problem people have is that they will have to cross county boundaries, but my proposals will make things a lot easier for many of my constituents A number of Members have raised the fundamental problem with the cost-driven nature of the proposals. Access to justice is a serious issue for the magistrates service and for the dedicated individuals who give up their time to serve as magistrates. Justice is supposed to be dispensed locally, but that will not be the case in future, when people will have to travel long distances As I say, I am not opposed to new technology; indeed, having spent quite a lot of time recently in court—I have been doing a fellowship with the Industry and Parliament Trust—I have spoken to the professionals, and they are not opposed to change. However, one thing they keep telling me is that there is a shortage of cash in the system. If we are going to achieve the situation I think the Minister wants to, with local video conferencing and other buildings being used, some up-front money will have to be put into the system. Otherwise, we will just settle into a situation where the cuts have been made and we keep the courts we still have—and that will be it. That would be a mistake, because in terms of dispensing local justice—the hon. Member for Torbay raised this point and it is a good one—we need to look at what goes to magistrates courts. If we are talking simply about non-violent offences and people not being sentenced to prison, their cases can be dealt with in other settings, but the cash has to be there My experience of visiting the Courts Service throughout the country over the last few weeks as part of my fellowship with the Industry and Parliament Trust has been that there is not the cash up front to do what would make sense to support the professionals and, more importantly, our constituents. Constituents will want access to justice not only if they have to go before a court, but, as my hon. Friend the Member for Wakefield rightly argued—this is sometimes forgotten in the system—if they are a victim. They need to be able to see that justice is being done, and if obstacles are put in their way, such as those relating to access to travel to a magistrates court, that will be a problem for them I ask the Minister to take a step back before making any commitments. If he is going to implement the other proposals, which I think he genuinely wants to do, there needs to be a timetable. Will he look again at the proposals for North Durham? It makes no sense whatsoever for people to have to travel for two hours to Peterlee to access justice, when they can travel to Newcastle in 10 minutes. I do not think that the people who drew up this consultation looked at the local geography, and I think they assumed that everyone had access to a car. Not everyone in my rural constituency has access to a car, and public transport is intermittent. If that puts an obstacle in the way of them getting justice, I have to say that, in a modern and rich society such as ours, that is a scandal.
ParlaMint-GB_2016-03-24-commons.u344	May I thank my hon. Friend the Member for Dulwich and West Norwood (Helen Hayes) and the hon. Member for Dwyfor Meirionnydd (Liz Saville Roberts) for bringing this important matter before the House? I also thank every other Member who has spoken today My hon. Friend the Member for Bridgend (Mrs Moon) spoke passionately about the closure of the magistrates and civil courts in Bridgend after thousands of pounds had been spent recently on the building. My hon. Friend the Member for Wakefield (Mary Creagh) spoke of the Government’s many U-turns on justice policies, including the scrapping of two-tier contracts, costing the Ministry of Justice more than £400,000 My hon. Friend the Member for Ynys Môn (Albert Owen) told the House that the Under-Secretary of State for Justice, the hon. Member for North West Cambridgeshire (Mr Vara) is a black belt in martial arts. I am a fourth dan black belt in judo, but that is a story for another day. My hon. Friend the Member for Hartlepool (Mr Wright) spoke of the very good facilities in magistrates courts and that their closure will not save money. My hon. Friend the Member for Halifax (Holly Lynch) spoke of the massive impact on her constituents. My hon. Friend the Member for North Durham (Mr Jones) noted that the consultation mentioned travel by train but that there is no train station in Peterlee. My hon. Friend the Member for Bermondsey and Old Southwark (Neil Coyle) raised an issue that has not been raised before, namely the impact of court closures on law students The hon. Member for High Peak (Andrew Bingham) spoke about the closures in his area. The Chair of the Justice Committee, the hon. Member for Bromley and Chislehurst (Robert Neill), brought his vast experience to the debate, and his mobile phone made an intervention at a crucial time. The hon. Member for Torbay (Kevin Foster) was disappointed about the closure of his local magistrates court and said that we needed a long-term plan. The hon. Member for Hazel Grove (William Wragg) spoke of his campaign to keep the Stockport court open. There have also been many excellent interventions Everyone who has spoken has set out comprehensively and eloquently the issues at stake and the importance of access to local justice. Labour absolutely recognises that savings have to be made in these difficult economic times. Only this week, we heard the Chancellor say how he has failed to meet his own economic targets, which he set, and that further savings therefore needed to be found. We disagree profoundly, however, as to how those savings should and could be made, and we vehemently argue that across-the-board cuts to vital local services are unfair and, indeed, unjust The latest court closures, which affect a fifth of the court estate, come on top of ongoing cuts in the sector. If they are not implemented fairly, they will lead increasingly to the creation of a two-tier justice system and seriously hamper access to justice, particularly for the most vulnerable in our society The current proposals are based on a flawed consultation process, and a flawed process begets flawed results. Indeed, the Minister apologised for those many errors. However, that does call into question the basis for the 86 listed courts that are currently being considered for closure The announcement on those potential closures was made on the last day before the February recess, making today’s debate all the more important in order to ensure proper parliamentary scrutiny. One of the criteria for the court closures consultation was court utilisation, which on the face of it seems a reasonable criterion. However, we must also bear in mind that fewer hearings are taking place because of broader cuts in this sector; cuts to legal aid and increased court fees mean that fewer people have recourse to justice, which is not the right result. There is also a shortage of staff and judges. Since 2010, the Courts and Tribunals Service has been cut by 5,000 staff, and it is set to lose a further 5,000 to 6,000 by 2020 The Public and Commercial Services Union, whose members include those working in Her Majesty’s Courts and Tribunals Service, the Crown Prosecution Service and the private sector delivered guard service, has stated: “High utilisation rates can only be achieved by listing several lengthy contested matters in the same court on the basis that they will not all be effective. If all the hearings are effective and one or more cases have to be delayed it adds distress and inconvenience for the parties and witnesses involved Lack of available court time for listing cases, often due to a shortage of staff, causes cases to be adjourned for long periods. Many courts already struggle to list family multi-day cases due to both lack of court rooms and lack of staff. This often means cancelling trial courts. A reduction in the available court rooms will lead to further delay.” The PCS report on the court closures consultation finds that the figures used overestimate the maximum amount of time for which the court can be used. For example, it notes that, according to Government assessments, North Avon magistrates court has a maximum utilisation of 1,240 days, whereas staff working there put the figure at 992 days In many instances, as hon. Members have said today, the travel times resulting from many of the court closures will cause unacceptable inconvenience for their constituents. The Government contend that most people will still be able to reach court within a one-hour car journey. It has been said on a number of occasions, most recently by the Law Society, that the methodology used to calculate travel times was not transparent or independently verified. The travel times given in the consultation paper represent the “best case scenario” I know from my own experience that, since Neath magistrates court closed in May 2014, my constituents have had to travel to Swansea, denying them access to local justice in their own community. Constituents, magistrates and local solicitors working in the area suggest that the closure of the local court has had a negative impact locally. Several areas of my constituency are far removed from the courts that they are now expected to use in Swansea. Public transport options are severely limited and operate infrequently. Their travel times far exceed the so-called one-hour travel time limit, and it is possible that opposing sides, victims, witnesses and perpetrators, will sit on the same bus or train The Neath civil and family court is on the list of proposed closures. That will mean that my constituents will have to travel to Port Talbot, joining people who will have been moved from the Bridgend civil and family court, which my hon. Friend the Member for Bridgend mentioned. I have visited the court in Port Talbot and question whether that centre can bear the increased workflow and whether the facilities will be sufficient for their purposes. Moreover, the journey from Glynneath to Port Talbot takes one hour and 35 minutes, with one bus change, and that from Banwen to Port Talbot takes one hour and 44 minutes, with a change of bus and added walking time on either side, without allowing for heavy traffic problems Those on low incomes often have to choose between buying necessities or the cost of travel to court, causing hardship at what is already a stressful time. The closures have caused great inconvenience to many people in Neath who may find themselves victims of spurious allegations or charged unnecessarily. Victims of domestic abuse, for example, will have to travel further to seek emergency protection at a critical time, when any delays could lead directly to further and serious harm In addition to affecting those of our constituents who are forced to travel further afield, the closures will mean redundancies and lost jobs, and I know that, in many constituencies such as mine across the UK, every job is much needed. Even if jobs are retained, the additional travelling times will mean higher costs for staff to travel to work. It will have a particular impact on staff with caring responsibilities and staff with disabilities. The consultation did not adequately address that aspect of the closures The court closures will have broader implications. In Neath, now that the magistrates court is closed, the police are forced to travel all the way to Swansea to get warrants, which uses up valuable time that could be spent on the beat. I am sure that that is the case in many other areas, and those issues should be addressed in the light of future closures. I have spoken to many who work in and alongside our justice system, and I hear time and again of a perfect storm of pressure on our courts and tribunal system An increase in litigants in person means more time and follow-up work for the courts. At the same time, cuts have been made to the number of administrators and clerks in the Court Service. Now we are looking at a raft of court closures. The consequences are frustrating for users and for those who work in the courts. Increased waiting time outside courts and uncertainty about when cases will be heard are particularly problematic for those who are reliant on public transport, for parties who are distressed—that includes vulnerable people—and for those who have young children waiting with them Lack of availability of court time leads to delays in proceedings. For example, at Edmonton county court, a transfer of tenancy application in a domestic abuse and financial remedies case, which should normally last half a day, waited seven and a half months for listing for the final hearing. With larger volumes of cases at fewer court centres, the buildings come under pressure. It is not unusual for advocates to have to discuss highly confidential and sometimes highly distressing matters sitting on the floor of a corridor or in a stairwell because conference rooms are full. Let us not forget the impact on jurors, who were not included in the list of affected groups in the impact assessment On many occasions in this House, we have heard how the wonders of technology will transform the judicial service and make the need for proximity to court buildings a thing of the past. I am not one to stand in the way of progress, but we simply have not had, to date, a sufficient—or indeed any—explanation of how a judicial system fit for the 21st century and beyond will function. We have simply been told by the Minister about the use of video conferencing. It is quite possible that the most vulnerable in society, who are most in need of support—those who do not own a car and are reliant on public transport to travel to court—do not have reliable, secure and private internet access. Many of my constituents in Neath, like those of so many of the hon. Members we have heard from today, simply do not own a computer or smartphone. They have no internet access at home, and our local libraries seem to be closing because of local authority cuts. We need a real explanation of how that practice will work. How will vulnerable victims and witnesses be kept safe and secure during online or remote proceedings? Giving evidence can be a traumatic experience, and proper support needs to considered. We are also due a proper explanation of the costs involved I recently met staff from the personal support unit, who provide advice and guidance for court users and help to translate the specific language and procedures in the court service into lay terms. Staff at the unit said that it is far more about in-person support, compassion and sympathy. At a difficult time when they feel vulnerable, victims and accused need reassurance and guidance most of all, and those cannot be provided via teleconference The Government’s case for the closures is underpinned by untested digital processes. According to the PCS union, the national roll-out of several digital products has been delayed because they were not fit for purpose.
ParlaMint-GB_2016-03-24-commons.u345	Does my hon. Friend agree that the IT system is a failure? How could the Minister possibly assert that it is a good replacement for the reductions in the court estate?
ParlaMint-GB_2016-03-24-commons.u346	My hon. Friend makes an important point I want to refer to the e-form that was used to calculate individuals’ financial assets in divorce cases. A fault in that online form caused a lot of trouble. It was corrected by the Minister, but e-forms were involved in almost 36,000 cases during the affected period. The Minister regretted the error and said that application to vary or set aside would not attract fees, but those involved would not be able to access legal advice on those complex issues through legal aid The client and cost management system is due to come into compulsory use from 1 April 2016. Over the past two weeks Resolution, the family law group, said that many legal aid firms cannot access the system, or that they get thrown out when they submit the form. The system is not fit for purpose, and its introduction should be delayed An online court has been proposed for claims of up to £25,000. Individuals would have no access to legal advice for such claims, even though they might be up against big organisations with their own legal teams. That would be a major disadvantage. The proposal needs to be rigorously tested, piloted and evaluated What happens in the event of technological failures or unreliable technology? Those would, undoubtedly, further delay proceedings rather than expediting them, which would add to the stress of victims and witnesses. The Law Society acknowledges the aim of increasing the use of technology, but it recommended during the consultation process that it would be prudent to modernise courts with new technology, assess how that is working and then consider savings, rather than the other way around. I wholeheartedly agree I welcome the Government’s desire to harness technology positively and efficiently, but we need to hear much more about the plans. Surely, the systems should be tested and piloted before many of the slated closures go ahead. Perhaps the Minister will take the opportunity to explain in more detail what his thinking is and how the system will work for those who wish or need to access justice. Once again, I must stress that it should not, and cannot, lead to the creation of haves and have-nots Finally, I wish to highlight the last round of closures and talk about the use of buildings after the closures. Many of the courts that are slated to close, or were recently closed, have better facilities than the alternatives that people will be forced to travel to. I have raised questions about the proceeds of sale of those buildings, and about the ongoing costs of their maintenance and upkeep in the event that they are not sold or used for other community purposes. Such buildings tend to be prominently and conveniently located in town centres. If they are left to fall into rack and ruin, they can have a negative effect on a town centre The Ministry of Justice is still paying to secure and maintain 15 of the courts that were closed in 2010, and they are costing the taxpayer more than £40,000 a month to secure and maintain. The most expensive upkeep is for the former magistrates court in Alton, which costs almost £10,000 a month. The facilities that existed in Alton have not been replicated at the court that received the work. In some instances, the buildings are not suitable for any use other than as a court In conclusion, it is an unavoidable fact that savings in the court system need to be identified, as colleagues have said. One of the central tenets of our common law system is the local delivery of local justice, with access to justice for all. Any court closures must absolutely minimise the negative impact on access to justice for all our citizens.
ParlaMint-GB_2016-03-24-commons.u347	I congratulate the hon. Members for Dwyfor Meirionnydd (Liz Saville Roberts) and for Dulwich and West Norwood (Helen Hayes) on giving colleagues the opportunity to debate this very important issue one more time. I thank all hon. Members who have spoken. I will try to mention them as best I can in the few minutes available. May I also take this opportunity to welcome the hon. Member for Neath (Christina Rees) on her first outing at the Dispatch Box? I look forward to debating with her in the weeks and months ahead I am keenly aware that hon. Members hold strong views about the importance of courts in their constituencies and about the impact that their closure may have on the delivery of justice. That has been made abundantly clear today, as it has in numerous parliamentary debates and questions, as well as at the many meetings I have had with hon. Members and in the correspondence—I have written letters to them in response—in which they have engaged I very much understand the sincerity of those concerns. I hope that hon. Members will appreciate that the decision to close a court is not one that I take lightly, but it is a decision that I am prepared to make when it is necessary to do so to support essential reform of our courts and tribunals system and to bring it up to modern-day standards. We need to create a modern and flexible Courts and Tribunals Service that is fit for the 21st century Court staff and the judiciary work hard, but they face challenges in delivering an efficient service when the infrastructure that supports the administration of the courts and tribunals is inefficient and disjointed. Some of the technology that supports services is decades old, and few of the services we offer can be accessed online. We continue to use paper forms, and when court users need to make a payment, we often accept only cash or cheques. We need urgently to modernise the way the courts and tribunals operate to reduce inefficiencies, and to open up new ways for the public to access justice The Government are supporting this reform with very significant investment. Investment of £700 million over the next four years will transform the experience of everyone who comes into contact with courts and tribunals. We will provide new services and deliver better, more joined-up ways of working across the justice system. These reforms will increase access to justice by making it swifter, easier to use and more efficient I appreciate that some hon. Members have concerns about the consultation exercise we conducted. I have apologised at the Dispatch Box for errors that have occurred in some of the individual courts concerned. However, I assure the House that, although there have been some inaccuracies, the final decisions were taken on the basis of correct information and after consideration of all the well over 2,100 submissions that were made.
ParlaMint-GB_2016-03-24-commons.u348	I am very grateful to the Minister for giving way, particularly as I was unable, owing to other parliamentary business, to be in the Chamber for much of the debate, for which I apologise. I do not like having to intervene in this way on so kindly a Minister. Frankly, however, the closures, particularly for Chichester, are not a policy, but a negation of a policy. Everyone understands the need for financial stringency, but no economic rationale for these closures has been provided, despite repeated requests. Until such a rationale is provided, people will continue to be deeply concerned about the closures. Chichester’s court use is above the national average, and the travel times analysis is seriously flawed. Is the Minister now prepared at least to reconsider the closures, for which no economic case at all has been provided?
ParlaMint-GB_2016-03-24-commons.u349	I hope that I will get some injury time in view of that intervention, Mr Deputy Speaker.
ParlaMint-GB_2016-03-24-commons.u350	In view of that speech, you may have some injury time.
ParlaMint-GB_2016-03-24-commons.u351	I am grateful to you, Mr Deputy Speaker My right hon. Friend speaks with passion. He and I have corresponded much, and we have met on many occasions. In fact, it is fair to say that I dreaded entering the Tea Room when I knew he was there, because I knew he would come and speak to me about his court. I think he will agree that I have tried to give him the best information I can, but on the final conclusion he wants, we will have to agree to disagree The Government have listened carefully, which is why, in addition to the five court buildings we have retained, we have modified our initial plans for a further 22 sites. The hon. Member for Dulwich and West Norwood will be mindful of that, because the court work that was initially going to be transferred to a court at Wandsworth, 6 miles away from Lambeth, will now be transferred to one at Camberwell Green, just 2 miles away. That was a consequence of our meeting and engagement with the local community In eight of the 22 sites where changes have been made, we will not close the court until suitable local alternative provision is in place. Work is under way to determine the specific provision to be provided at each of those locations, and to evaluate a number of options for holding hearings away from traditional court buildings. I expect further testing to take place over the coming months.
ParlaMint-GB_2016-03-24-commons.u352	Will the Minister clarify whether what he has just said is accurate? He seems to indicate that all the cases that were to be heard in Putney instead of Lambeth county court will now be held in Camberwell, but that is not the impression delivered previously. How much of the £700 million budget being made available will go to police or council facilities to ensure that a video link is possible?
ParlaMint-GB_2016-03-24-commons.u353	This four-year reform programme is worth more than £700 million, and the intention is to ensure that we have one of the best justice systems in the world. I will not give the hon. Gentleman details now about the precise minutiae and breakdown of a four-year programme involving so much money.
ParlaMint-GB_2016-03-24-commons.u354	You do not know it.
ParlaMint-GB_2016-03-24-commons.u355	The hon. Gentleman chunters away from a sedentary position, but if he had a little experience of business, he would know that in a four-year programme with such a huge sum of money involved, the figures might not be as precise as he would like them to be at the initial stage An important aspect of testing and evaluation will be to ensure that any hearings held outside a traditional court offer appropriate levels of security for members of the public, the judiciary, and court staff. Travel time was mentioned by a number of people, and there must be a fundamental recognition that far fewer people will have to travel to courts in the first place. We intend to use modern technology, and video conferencing facilities are already available. The hon. Member for Neath asked whether those have been tested in any way, but we already have such facilities—for example, there is a community centre in Wales that is used to give evidence We already have alternative places to use as courts, and employment tribunal cases have been conducted on oil rigs in the North sea. Only yesterday, a lawyer colleague of ours who joined the House after the election last year told me about probation cases that she had been involved in that were held in public houses.
ParlaMint-GB_2016-03-24-commons.u356	I note what the Minister is saying about new technology and I do not disagree with him, but will he look again at my North Durham constituency, because it is nonsense when people can travel to Gateshead or Newcastle in 10 or 15 minutes, as opposed to travelling to Peterlee? I have raised the issue previously with the Minister and asked him to reconsider, because it makes no sense whatsoever.
ParlaMint-GB_2016-03-24-commons.u357	There comes a point when we have to start taking decisions and agree to disagree. This whole programme started before last year’s summer recess, and we had a lengthy consultation period. I have had numerous debates and met more people in the House than I can remember. There has been a huge dialogue, but there must be some recognition that we have listened and made changes in a huge number of cases. That may not be the case in the hon. Gentleman’s constituency, but I am afraid we must agree to disagree. My hon. Friend the Member for High Peak (Andrew Bingham) raised concerns about the effectiveness of the administration process that will see this programme through. I will be keeping a sharp eye on proceedings, and if he has any concerns about his local area, I will be more than happy to try to arrange a meeting with senior people at local level, so that he has the comfort he wants The hon. Member for Bridgend (Mrs Moon) spoke of the wonderful work that magistrates do in our courts. I can only echo those comments and say that many magistrates recognise the need for reform My hon. Friend the Member for Bromley and Chislehurst (Robert Neill) spoke about the very useful work of the Justice Committee and brought his own expertise to the House. He also questioned the reliability of the IT projects we will be undertaking. I emphasise that we are taking a staged approach. We will not be putting all our eggs in one basket and we are bringing in expert advice from outside to assist us.
ParlaMint-GB_2016-03-24-commons.u358	Will the Minister also deal with the question I raised about what happened to the 10 courts closed under the previous programme that remain unsold? If he does not have that information to hand today, will he at least write and place it in the Library?
ParlaMint-GB_2016-03-24-commons.u359	What I can say is that the 10 has now been reduced to nine, and there are offers in place for some of the remaining courts. Others have had genuine difficulties because of joint occupation with other parties. We hope to transfer the remaining courts to the Homes and Communities Agency, which is dealt with by the Department for Communities and Local Government The hon. Member for Wakefield (Mary Creagh) spoke about her personal experience. I was sorry, as I am sure were other colleagues, to hear about the assault that had taken place on her. I very much take on board the points she makes about domestic violence. I emphasise that we are improving the system by which witnesses and victims give evidence. At the moment, they have to go to court and go through a terrifying experience. With a video conferencing facility, they can go to a place that is closer to their home and in much more pleasant surroundings, rather than the awesome and austere environment of a court I am grateful to my hon. Friend the Member for Hazel Grove (William Wragg) for his comments confirming that this has been a genuine consultation. The hon. Member for Ynys Môn (Albert Owen) made a very powerful speech, raising an important point about digital infrastructure. I take on board what he says. We will certainly be making sure that the infrastructure is in place to support the court reform programme My hon. Friend the Member for Torbay (Kevin Foster) spoke about low-level offences, such as TV licence offences. He sought assurances that perhaps they could be dealt with in courts that are closer to the area. Our thinking is that such low-level offences can probably be dealt with online where people plead guilty, which is the majority of cases The hon. Member for Dwyfor Meirionnydd gave a very powerful speech, raising concerns about access to justice. I assure her that we are very mindful of rural areas and want to make sure we get this right. My constituency has a rural element to it, so I know where she is coming from.
ParlaMint-GB_2016-03-24-commons.u360	The Minister mentioned alternative arrangements for eight courts. Can he provide more detail on that?
ParlaMint-GB_2016-03-24-commons.u361	The hon. Lady will forgive me if I do not provide detail on the provisions for eight separate courts at the Dispatch Box now, as time is pressing. I am happy to write to her later in more detail and I will certainly do that The hon. Member for Hartlepool (Mr Wright), a very good friend of mine, made a passionate speech. He wanted an assurance that justice would not become more stressful. As I said in relation to the comments made by the hon. Member for Wakefield, we hope the experience will be a lot better for people. We hope they will not have to travel as far and that modern technology will assist them in giving evidence in a closer and more convenient location The hon. Member for Halifax (Holly Lynch) made a heartfelt speech, in which she referred to technology. I assure her we will deal with the £700 million in a very careful way and make sure we get it right The hon. Member for Bermondsey and Old Southwark (Neil Coyle) raised concerns, in particular in relation to his local court. He has been passionate in defending his local court, but the consultation received only three responses about it from his local community. I give him credit for wanting to keep the court open, but the fact that there were three responses speaks for itself. I am pleased that the hon. Member for North Durham (Mr Jones) welcomed the need for reform, and I take on board what he said, but we will have to agree to disagree, as I said In conclusion, I thank all hon. Members, particularly the two who secured this debate. This is a major undertaking by the MOJ, and we will do our best to ensure we have a fit-for-purpose justice system. Mr Deputy Speaker, I wish you, hon. Members, the Clerks and, most importantly, all the people who ensure that this place continues to operate, especially the security services, a happy Easter.
ParlaMint-GB_2016-03-24-commons.u362	I thank every Member who has contributed to this debate. The level of concern about the decision to close 86 courts and tribunals is clear We have heard from across the Chamber concerns about the physical accessibility of courts as a consequence of the closures and about serious problems with the assumptions about the use of digital technology, especially in areas with poor broadband. Several hon. Members spoke about sensible and creative alternative proposals that were more responsive to local geography and demographics but which were rejected. We also heard about the overreliance on travel by private car and the flawed travel-time data underpinning the decision and about the interrelationship with other public sector cuts. How can police stations provide video links, when in my area so many have closed that the remaining ones are bursting at the seams? We have heard about many hidden impacts from the decision, including on the micro-economy of town and city centres. I brought this debate before the House because I was concerned that the decision to close 86 courts and tribunals without a coherent, joined-up plan for ensuring access to justice would impact most on the most vulnerable victims, witnesses and defendants, would bring additional costs to several other areas of the public sector and would have a serious impact on the efficiency and effectiveness of our justice system. I am grateful to the Minister for his response, but I urge him to rethink these proposals and come back to the House with a comprehensive plan that addresses the many concerns raised Question put and agreed to, Resolved, That this House acknowledges the need for some underused courts and tribunals to close; notes the detrimental effect that too many court closures will have on access to justice for vulnerable families and individuals particularly in rural areas where public transport is less reliable; further notes with concern the effect these closures will have on the experienced and dedicated staff working in the 86 courts and tribunals; and calls on the Government to acknowledge the concerns of staff, magistrates and third sector organisations who highlighted numerous flaws in the consultation document, to think again on some of these closures and acknowledge the importance of access to local justice.
