ParlaMint-GB_2016-06-08-commons.u1	1. What steps the Government is taking to support manufacturing in Northern Ireland.
ParlaMint-GB_2016-06-08-commons.u301	I have been following the hon. Gentleman’s words with great interest, and I credit him with and pay respect to him for his experience in this area. If, however, he is looking for logic in the structure of the BBC, he will be sorely disappointed because the BBC is above that. The BBC is an utterly unique institution—there is no similar corporate structure anywhere else—and we have a system which on paper seems bizarre, but by heaven it works. Can we not just glory in this special, unique and, dare I say it, British BBC?
ParlaMint-GB_2016-06-08-commons.u302	I hasten to add that the hon. Gentleman has now secured his place on the BBC News papers review for the next season.
ParlaMint-GB_2016-06-08-commons.u303	In view of what the hon. Member for East Dunbartonshire (John Nicolson) said earlier, if there is a place for a lefty luvvie on the board, may I just say I am certainly one of those things?
ParlaMint-GB_2016-06-08-commons.u304	I am sure those comments have been noted outside this place, and the hon. Gentleman can expect the headhunters to call shortly As I was saying, many of the BBC’s assets, such as its back catalogue, are not core to its public services, and if there are both audiences and quality programming, such services will survive and thrive. If not, why are we taxing the poorest to pay for them? Such change may seem difficult and even painful to people who have grown up being used to the status quo, but a fair and flexible funding model and a narrower focus on the core functions of public service broadcasting will be good not just for independent journalists and their viewers, but for the BBC as well.
ParlaMint-GB_2016-06-08-commons.u305	Last month the Secretary of State for Culture, Media and Sport published his long-awaited White Paper on the BBC’s charter renewal, which we have all seen, and I have deep concerns about it. In response to overwhelming opposition from the general public and my hon. Friend the Member for Garston and Halewood (Maria Eagle), the Secretary of State has climbed down from some of his most radical proposals: “Strictly Come Dancing” will no longer be banned from prime time, the BBC will no longer be forced to sell off its highly profitable stake in UKTV, and he claims that the new all-powerful unitary board will no longer be packed with a majority of Government appointees. The way that has been handled suggests that those suggestions were either leaked to gauge public opinion on the Secretary of State’s long-held intentions against the BBC, or to make his final proposals seem paltry by comparison. Whatever his intention, he has laid bare his fundamental dislike of the BBC and what it stands for I welcome the publication of salaries above £450,000. However, I question why there is no threshold of £150,000, because MPs and those in public life speak about that figure—and below it—as one that should be put into the public realm. Why £450,000? To my constituents, people in the broadcasting industry on £300,000 earn a considerable amount of money I agree that closing the iPlayer loophole is important. We are seeing a transformation in the way that broadcasting is delivered, and it is important that the Government keep up to date with those changes. I also welcome the increase in funding for the World Service. That is long overdue, especially after the issues that we had a few years ago, where changes to the World Service moved it from the Foreign and Commonwealth Office to the BBC. That was effectively a reduction in the BBC budget, and it had consequences on delivery, some of which have led to a U-turn I welcome 11 years for charter renewal instead of 10, but if the Government collapse, or if we have a general election outside the five-year cycle, will that aspiration be lost? What mechanism can be introduced to ensure the fundamental principle of the BBC being non-political, as the Secretary of State says, so that the cycle of charter renewal falls after a general election should general elections not fall in five-year cycles There are significant problems with the Government’s proposals, and those persist despite the Secretary of State’s apparent U-turns in the past few weeks. Such problems could have a significant impact on the BBC’s independence, remit, and purpose. Part of what makes the BBC such a fundamental cornerstone of our democracy is its independence from politics. Unlike other media corporations, it is a public service and accountable to the public. Because it is beholden to all of us, it can hold those in power to account. The BBC is respected by the UK public and—more importantly—internationally, for its impartiality, but the Government’s proposals for a new BBC unitary board threaten to undermine that impartiality. Although the Secretary of State was thwarted in his efforts to allow the Government to appoint a majority of board members, he still intends Ministers to handpick as many as half the membership. Given that the new board will have far greater powers than the current BBC Trust, because appointees will make operational and strategic decisions that will determine the BBC’s future, his proposals constitute a worrying attack on the organisation’s impartiality. Given that the Secretary of State has described the BBC’s abolition as a “tempting prospect”, it is hardly surprising that 62% of over-60s admitted to having no confidence in the Government to protect the BBC during its charter renewal. Indeed, their concerns are entirely justified. Before he set his sights on the BBC, the Secretary of State intervened in the National Portrait Gallery’s recruitment process, and people have a right to be concerned about his track record. Indeed, he has form on interference, because after his preferred candidates were not shortlisted, he decided to rerun the selection process. Such a willingness to intervene is undoubtedly a frightening precedent for the appointments procedure of the new BBC board. Equally worrying is the Government’s insistence on a five-year review of the charter—the Secretary of State calls it a “health check”—and the encouragement of commercial rivals to bid for licence fee money. While the former will prevent the BBC from carrying out long-term planning, the encouragement of commercial rivals to bid for licence fee money will accelerate the erosion of the organisation’s financial independence. Taking money from the BBC undermines its ability to deliver services. We have seen a worrying reduction in or changes to BBC online and BBC radio, and a worrying threat—a sword of Damocles—seems to hang over BBC 24 The Secretary of State says that the five-year health check is mid-term, and that he will not be interfering. No matter what promises he makes, he cannot escape the fact that the five-year health check is an intervention—a dialogue between the Government and the BBC. What is the point of the health check if the Government have no powers and no ability to change the BBC should it show failing health? In my opinion, the health check is a political tool of the Government Such measures are completely at odds with wider public opinion, and threaten to damage the UK’s influence abroad through the BBC. The BBC is popular. Some 97% of the population use it for around 18 hours a week, and 76% of people think it delivers value for money. Despite that, the Secretary of State wants to transform the BBC’s entire mission under the banner of “distinctiveness”. Here, I worry. Although he himself could not provide any definition of distinctiveness to the Culture, Media and Sport Committee, I do not think that the public will be fooled into believing that that will represent anything other than an attempt to marginalise the BBC in favour of its commercial competitors The requirement for so-called distinctive content, overseen by the commercial regulator Ofcom, will inevitably undermine the BBC by restricting its popularity. It will push popular programmes from peak-time slots; putting less popular shows in those slots will harm the BBC’s excellent viewing figures and reputation. That will enable a future Government to push an agenda of further cuts and reforms, as the Government will have set the BBC up to fail. Cash grabs, such as the Chancellor’s transfer of the costs for free TV licences for the over-75s from the Department for Work and Pensions to the BBC, and efforts to expunge BBC services, which we saw in the Government’s attempt to remove online recipes, will become commonplace, further damaging the BBC’s reputation. The result will be a BBC lacking impartiality, financial autonomy and independence, and with its reputation for quality broadcasting undermined An immense amount of public pressure forced the Secretary of State to step away from attacks on the BBC’s online recipes and on some of its better broadcasting, such as “Strictly Come Dancing” and “The Great British Bake Off”. But all this is happening on top of the Government’s previous attacks on the excellent BBC Online services and on the BBC’s local and international radio content, among others. Other issues not in the White Paper are not being addressed, such as the charges the BBC faces for delivery via satellite—the cost the BBC incurs for that ought to be addressed We must maintain the pressure on the Secretary of State to protect the BBC and the public interest, to make him withdraw his attacks on the BBC’s independence and uphold the great virtues that mean that the BBC is held in the highest esteem, not only in the UK but around the world.
ParlaMint-GB_2016-06-08-commons.u306	It is a pleasure to follow the hon. Member for Hyndburn (Graham Jones) and to speak in this debate about the BBC’s future. With that in mind, although she is not in her place I thank the hon. Member for Garston and Halewood (Maria Eagle) for giving us the opportunity to have this debate. She was right to say that the BBC is a revered and trusted national institution that we should view with great pride. I certainly do so from the Government Benches. We should also be minded that the BBC costs licence fee payers just 40p a day, the same price as The Sun—I will leave the analogy there The BBC is particularly important given the Government’s commitment to improve social mobility. Children from the poorest backgrounds have the ability to access the BBC while they are growing up, and we should not forget what it can do for their social mobility. I speak as an example, having failed my 12-plus. I eventually went on to study for my A-levels at a sixth-form college, where I had quite a lot of independence. Had it not been for the BBC filling in some of the years for me, I do not believe I would be here in this place—although for some that may be a reason to speak against the BBC. I was proud, therefore, to be one of the 190,000 members of the public who responded to the consultation document, and I believe that the Government’s charter renewal fits about right with the document I completed. During the process, I engaged with the BBC and wanted to do everything I could to support it. When I was elected 12 months ago, I made this my cause. I wanted to come here and speak highly of an institution that had done so much for me over the years, and I was delighted to obtain reassurances from the Secretary of State that the Government wanted only to strengthen it I am aware that the Government have tabled an amendment, but I want to focus on the three key areas in the motion. The first is the view that the charter renewal White Paper “fails to provide an acceptable basis for Charter renewal” That is not true of the White Paper as a whole. The charter will be renewed for an 11-year period, which puts it outside the election cycle. I listened to the hon. Member for East Dunbartonshire (John Nicolson), who is no longer in his seat, and his view that the BBC was biased in the Scottish referendum. Over the years, it has struck me that the party that loses an election or, in this instance, a referendum tends to turn around and bash the BBC for letting it down and not giving it a proper crack. The bulk of our constituents would put that down to being a sore loser. Such attacks do this place no favours.
ParlaMint-GB_2016-06-08-commons.u307	I am interested to hear the hon. Gentleman speak that way. Much mention has been made of “leftie luvvies” within the BBC. I wonder why he makes that point, given his own election result.
ParlaMint-GB_2016-06-08-commons.u308	I won my election so I am delighted with the BBC to that extent, but I am making a serious point. It ill behoves this place to attack the BBC from all sides. I have observed over the years that when both parties attack the BBC, it probably means it is getting it about right The day the White Paper was published, I was fortunate to speak at a Media Society event in favour of the BBC and about the White Paper. The head of BBC policy was also at the event, and he was asked how many marks out of 10 he would give the White Paper in terms of support for the BBC. He gave it eight out of 10. If someone was sitting an exam, 80% would give them a first-class mark. This suggests that the BBC is happy with what has been negotiated, and I applaud it for having done a great job The second element in the motion is “the threat the White Paper poses to the editorial and financial independence of the BBC” Again, this does not stack up, in the light of the White Paper’s content. For the first time, the BBC will be able to appoint people to the board. If the chairman opts for a board of 14, the BBC will appoint the majority. The BBC’s editorial independence lies with the director-general, which provides for a welcome separation of responsibilities. On financial independence, there is a five-year funding commitment that ensures a real-terms increase, which the BBC has lacked for some years. I welcome that and know that the BBC does as well. The National Audit Office and Ofcom also provide a degree of independence that allows the BBC to spend its money better and to be better regulated. I would have thought that all hon. Members would have welcomed that The third element of the motion “expresses concern about the re-writing of the BBC’s founding mission statement” The BBC’s duty is to educate, inform and entertain, with the additional requirement that its output should be distinctive. If something is not distinctive, it should not be shown on the BBC—that might mean an end to repeats of my speeches to the House, as well as the cookery recipes! The BBC has nothing to fear from the addition of the word “distinctive”. Originality is what it does best and constantly. The BBC’s output now contains fewer derivative formats and US imports than it did some years back, so if all this means is the loss of “The Voice”, I would welcome it I do, however, seek the Minister’s confirmation on a few points. The first relates to the health check on page 54 of the White Paper.
ParlaMint-GB_2016-06-08-commons.u309	I want to take the hon. Gentleman back one sentence to the issue of distinctiveness. What would he say about the BBC’s distinctiveness in the provision of sport? If it is not distinctive, should the BBC provide for sport or not? I am interested to hear the hon. Gentleman’s views on that.
ParlaMint-GB_2016-06-08-commons.u310	I was coming on to this point, because distinctiveness was one of my asks for the Minister. The hon. Gentleman is right to mention this issue. When it comes to showing sport, taking too distinctive an approach could end up being an unpopular approach that nobody wants to watch. If distinctiveness in football programmes on TV means panning away from the pitch and doing something distinct, I will not want to watch it, but I do not believe that that is how the issue will be interpreted. There must be a common-sense and sensible way of interpreting it Let me provide another example, about which I am a little more concerned—the output of Radio 1. I recognise that someone of my age should not be listening to Radio 1, but I do listen to it. In my view, Radio 1 already provides a distinctive mix. It provides music that is currently in the charts, as well as playing music that is being aired for the first time because no other commercial broadcaster will play it. If it then goes into the charts, the commercial radio stations will want to play it. If we expect the BBC to be distinctive in having nothing but new music, my worry would be that listeners will not turn on at all, so the new music would never make it through towards the mainstream The hon. Member for Hyndburn (Graham Jones) is right that we need to be careful about the definition of ‘distinctiveness’, but I do not see that as anything other than reminding the BBC that its output should be both original and excellent. I acknowledge that the Secretary of State is more a fan of Motorhead, but I hope that distinctiveness will not be taken far enough as to allow any of Motorhead’s music to be played on Radio 1 I mentioned the health check, and I believe that the devil will be in the detail of the language. It is important to have the opportunity to survey what is happening. It makes absolute sense that, five years into an 11-year period, there should be an opportunity to ensure that the charter renewal has worked. If it has not, it can be changed. I agree that if it is worded too widely, it could become a matter of concern and end up being a break clause. As I say, the devil will be in the detail. It was interesting to hear Opposition speakers assuming that a Conservative Government would be in place at that particular point. I obviously very much hope that that will be the case.
ParlaMint-GB_2016-06-08-commons.u311	I made the point that the 11-year charter renewal could be fraught if the principle were that it should follow a general election, because the Government might collapse.
ParlaMint-GB_2016-06-08-commons.u312	The hon. Gentleman did indeed say that, so I correct myself on that basis. Perhaps we can agree by saying, “Who knows what the future will bring?”, making it essential for the five-year health-check provisions to be worded tightly to ensure that the BBC continues to be the BBC that I believe this charter will deliver—certainly for the first five years. I also seek the Minister’s reassurance about the make-up of the board. We might find that six appointments are made through the Government process, but we should all remember that these will be in accordance with the Nolan principles on public appointments, which is why I do not buy some of the points that have been made about bias. I am conscious that there will also be up to eight appointments made by the BBC itself. It is essential for the board to have one culture and to operate as one, notwithstanding the two different mechanisms for appointments My final concern relates to diversity targets. I was delighted to have a BBC breakfast yesterday with the BBC team that is looking to promote its diversity objectives. I applaud the ambitious figures it came up with to make sure that the BBC’s output reflects the society that we live in. The figures are indeed ambitious and have to be delivered by 2020. Key for me is that the BBC does not lose its excellence in so doing. It is essential for the best people to be put into the jobs on the basis of merit. That is a huge concern for me I end by welcoming the White Paper, which I believe strengthens the BBC. It gives the BBC integrity and gives back much of the independence that it might have lost over the years. It must be funded properly. I greatly welcome the Government’s amended motion, and I look forward to supporting it and the BBC in the Lobby later today.
ParlaMint-GB_2016-06-08-commons.u313	Order. I apologise for the fact that there has been a slight change in today’s business. As Members will see on the Annunciator, there is to be a business statement after the debate. If no Member speaks for more than seven or eight minutes, everyone will be able to contribute before the vote.
ParlaMint-GB_2016-06-08-commons.u314	I am very pleased to have the opportunity to speak in the debate. Some of what I say will reflect the fact that I chair the NUJ parliamentary group, the financial support for which is specified in the Register of Members’ Financial Interests under my name Members on both sides of the House have agreed that the BBC is a fantastic organisation. It is a fantastic organisation for us as a country because of the exceptionally high quality and variety of its output, and it is a fantastic organisation internationally. On the international front, I think that the fact that the BBC is watched and listened to by 350 million people every year is a remarkable tribute to the quality of its journalism, and we must focus on maintaining and supporting it in what is a lively, vibrant and changing media world The BBC’s international role goes back a long way. My mother is Danish, and in the middle of the second world war it was to the BBC that her people turned when they wanted to find out the truth of what was going on and hear some news on which they could rely. It is very important that we continue to invest in the kind of journalism that provides that reliability for people in places across the globe where there is no free media and no free press. For us at home, as we heard from the hon. Member for Bexhill and Battle (Huw Merriman), the BBC provides a range of programmes. Whether we are talking about music and music festivals, about the contribution to the creative sector—for every £1 that is invested in the BBC, we get £2 back for the creative industries—or about what I enjoy most, namely the quality of the science and nature programmes, the BBC is a truly remarkable institution, and we must give it the support that it needs in this changing world. However—partly because of the moves set out in the White Paper, and partly because of other things that have happened since the general election—I fear that it will not be given the support to which it is entitled, on either the financial or the independence front. I want to say something first about money and then about independence before making a few points about other specific issues On the money front, of course it is welcome that the licence fee has been guaranteed for five years, and of course it is welcome that it is to be extended to iPlayer watchers. It is also welcome that there is to be no more top-slicing—although the fact that top-slicing is ending for broadband is rather ironic, given the somewhat problematic roll-out that we are seeing in rural areas, which the Minister knows so much about. However, all that must be seen in the context of the fact that, last summer, the BBC Trust rolled over and accepted responsibility for providing free television licences for pensioners, at a cost of £700 million in licence fee money It is all very well for the White Paper to set out a process for establishing what future financial arrangements will be. I would have a bit more confidence in the BBC Trust had it not rolled over and agreed to what the Government wanted, but—not just because of that, but because, on a previous occasion, the previous chair and director-general also agreed to big cuts in the space of, I believe, less than 24 hours—I am not convinced that the BBC’s current financial settlement is adequate. When I receive emails from BBC managers telling me that they are reviewing the 24-hour rolling news service because it has to make cuts, I am afraid that that does rather challenge the roseate picture that was presented by the Secretary of State.
ParlaMint-GB_2016-06-08-commons.u315	My hon. Friend is making a powerful point on a subject that I touched on only briefly. This proposal would create a monopoly—at present there is a duopoly—for Sky News. Would not this create a massive issue, in that the BBC provides competition?
ParlaMint-GB_2016-06-08-commons.u316	My hon. Friend is of course right, and I shall move on to the argument about contestability in a moment In some respects the White Paper is a good document because it provides lots of interesting facts and background. One particularly interesting aspect is the forecast of people’s media use. People’s use of mobile media is forecast to double by 2020, so it seems extremely odd to be chopping the BBC’s resources at this particular moment. I can see that time is pressing, so I shall move on to the question of independence The problem with half the board members being appointed by the Government through a Government-run process will be the convergence between the Executive and the trust. I agree that the trust suffered from some role confusion. Was it a cheerleader or a regulator? It seemed to slide between the two. However, the problem is that it will not be possible for the director-general, who sits on the board alongside its other members, to maintain the kind of editorial independence on which we all rely. And of course, if appointment is not a problem, reappointment certainly will be I want to mention three specific issues. The first is the proposal to merge the world rolling news service and the national rolling news channel. It is completely obvious that each of those channels has a completely different agenda, and that one of them would lose out under such a proposal. My second concern is the contracting out of about 60% of the BBC’s radio content. On the question of contracting out and contestability, it is fine for us to subject to competitive tender and contract out between 10% and 25% of programmes, but once we move beyond 50%, we are tipping the balance in the wrong direction. We already have independent television producers and independent commercial channels. We have channels funded by subscription and channels funded by advertising, and it seems quite inappropriate to suggest that the BBC should follow their model through contestability The impact of the BBC on the general quality of programming is reinforced by what happened when ITV made “Downton Abbey” and exported it to America. The Americans were convinced that it was a BBC production because it was so good. That illustrates the influence of the BBC on television standards across the board. Finally, I have to question whether financing local news through the licence fee is the best approach. Obviously, we need to do something about local newspapers, but I am not convinced that the licence fee is the right route through which to do that.
ParlaMint-GB_2016-06-08-commons.u317	Thank you for calling me to speak in this important debate, Madam Deputy Speaker. It is always a pleasure to follow the hon. Member for Bishop Auckland (Helen Goodman), and it has been a pleasure to listen to her contribution. I nearly always agree with about half of what she says. I shall limit myself to making one main point. I am grateful to you for squeezing me into the debate, Madam Deputy Speaker, and I shall try to limit myself to five minutes. I shall pass over all the complimentary things that I was going to say about the BBC. It is an example of British expertise and invention right across the world, and I would have liked to say more about that We need to recognise that developing and agreeing on the role and scope of the BBC is an important responsibility for the Government through the charter review and renewal. The BBC is inevitably very powerful, and its huge success means that it becomes dominant in many of its markets, so there is a role for Government to be aware of the impact that the BBC, backed by £4 billion of what is effectively public money through the licence fee, has on diversity and to ensure that that remains positive. I believe that it always does, but that is a role for Government However, just because we are huge supporters of the BBC, it does not mean that we cannot criticise it from time to time. My approach to the BBC is a bit like my approach to the Welsh rugby team: I love it second only to my family, but when they play badly, I feel that I have the right to criticise. I do not think that that impacts on my regard for the BBC or, indeed, for the Welsh rugby team I was a bit surprised to see this topic coming forward as an Opposition day debate, and I think that the Opposition Front-Bench team had to work quite hard to generate genuine disagreement as there is a large measure of agreement across the House about where we are going. The White Paper has been welcomed across the board, including by the BBC. Before its publication, I was receiving hundreds of emails telling me about the terrible things that the Government were going to do to the BBC, including virtually disbanding it and taking away its independence—all total nonsense, of course. I have not had a single email since. The reality is that the White Paper was welcomed by almost everybody who has had a proper response to it As for the argument that was made earlier about the publication of payment packages, I have some sympathy with those who believe that the level should be lowered from £450,000. A level of £150,000 is reasonable, and I hope that the Secretary of State will return to that and that the BBC accepts that the public do not really agree with the position that it has taken. It may well volunteer to bring the figure down itself I want to make a short point about the relationship between the BBC and S4C. S4C is important for Wales’s cultural identity and hugely important to the Welsh language. Such matters are vital to me and I often speak about them. During the previous Parliament, S4C’s funding was moved from the Government to the licence fee. Indeed, 90% of S4C’s funding now comes from the BBC, so the relationship is crucial. The Government have agreed to hold an independent inquiry into S4C’s future support arrangements, but I am told that it will not take place until after the charter for the next 11 years has been agreed. I do not want to criticise the Government here, but I want to make an important point about the degree of uncertainty that that causes We do not want a charter agreement that in some way makes it more difficult to have a proper, independent inquiry into S4C’s future. I make that point in this debate—I am pleased that the Secretary of State is back in his seat—because it is causing a great deal of concern about what might happen, not what is going to happen. Whenever we move forward and such things are discussed by the relevant parties, we must be careful—unless the charter review and the inquiry can be run side by side—that the charter review does not impinge on the future relationship between S4C and the BBC in the independent inquiry.
ParlaMint-GB_2016-06-08-commons.u318	We should start by remembering that the BBC has just been asked to make what is pretty much a 20% budget cut. There must be some senior executives and some people close to the BBC who are beginning to question whether the deal that was made last summer is a good one and is being delivered. I was not privy to the conversations or the late-night telephone calls, but the nature of the deal was presumably that if they agreed to make a £650 million contribution to the black hole in the Chancellor’s Budget, the BBC as we know it would be safe going forward in two respects: that it would continue to be funded by public subscription through the licence fee and that it would be editorially independent I do not know what is in the minds of Ministers—we will see that as the debate on the White Paper develops over the rest of the year as we head towards the charter renewal—but it is the case that there are voices on the Government Back Benches that are hostile towards the BBC, and that will question whether the licence fee should remain and whether the BBC should be obliged to undergo more privatisation and have more of a commercial motive in its output. I thought that that debate had gone, but the BBC needs to be cognisant that it is not over The SNP, as my hon. Friend the Member for East Dunbartonshire (John Nicolson) said, is absolutely committed to public service broadcasting. We must remember that the opposite of having a public service ethos in our broadcasting is to have a commercial one, in which decisions are made on the basis of how many viewers there will be and how many programmes can be sold in an international market. In my view, that makes for bad programmes and would remove innovation, creativity and experimentation To illustrate that with an example, probably my favourite television programme on air at the moment is “Peaky Blinders”, a gritty BBC drama series set in 1920s Birmingham about gangsters of the time. It is rich in social realism and in its attention to period detail in every respect but one: it has a contemporary electric soundtrack, even though it is a period drama. Some would say that, on paper, that does not work and spoils the programme. Actually, the electric guitar of Jack White and the other people on the soundtrack enhances the menace in the narrative I would bet that if somebody had taken that idea to a commissioner whose principal objective was to get as many viewers and sell as many programmes as possible, they would have sent it back saying, “No, I want a soporific score that is reflective of the ragtime music of the period.” An experiment would have been denied. That might have sold more copies and it might have gained more viewers, but it would have been a much worse programme as a result There have been steps forward—some of them baby steps—in the way the BBC operates. There has been some decentralisation, which is extremely welcome, and that has resulted in better programmes. For example, the forensic and high-energy examination of alleged corruption in the Metropolitan police was produced by a production crew in Belfast. Who would have thought that they would be the best equipped to do that job? In “Shetland” and “Hinterland”, one can see gritty crime dramas set very much in the vernacular of the Scottish islands or of Aberystwyth that yet command much wider audiences, because exploring diversity can bring better programmes that enrich the entire output for everyone I now turn to the situation in Scotland. My hon. Friend the Member for East Dunbartonshire made some points that I want to reiterate, but the first thing to say is that the management of the BBC are playing catch-up, and not playing it very well, with the decentralisation that has taken place in the governance of the United Kingdom. It is welcome that the Scotland Act 2016 gives the Scottish Government a say in the charter renewal process and in the management of the BBC, but is it not remarkable that almost 20 years after the creation of the Scottish Parliament, we are debating whether it should have those limited powers We believe, as we put forward in an amendment to the Scotland Bill and as we will put forward again, that broadcasting in Scotland should be the responsibility of the Scottish Government. How can it be that this House entrusts the Scottish Government to make decisions on assisted dying, abortion, the running of all public services and what rate of income tax people should be charged, yet thinks that they cannot control the telly or the radio? It is a remarkable situation We believe that, in the process of charter renewal, those debates can be revisited. As my hon. Friend the Member for East Dunbartonshire said, we think that the BBC should consider a federal structure in which the licence fees that are collected in Scotland are controlled and directed in Scotland by people who understand what they are doing, and in which programme making and commissioning are controlled in Scotland, so that, most importantly, all of the considerable resources that are available can support the creative industries, talent and artists in our own country. At the moment, many of them do not, and much of our best creative talent is obliged to travel 400 miles south to ply its trade in this city, which is not acceptable in the long term When we give examples of drama or entertainment, most people would probably agree that the output should reflect the place in which it is made, but that is even more important when it comes to news and current affairs programmes. Those on the Government Benches misunderstand, perhaps deliberately, our concern in this respect. There was talk earlier of sour grapes and sore losers—by the way, Members should remember that I am speaking on behalf of a party that is getting quite adept at winning elections—but our concern is about the fairness and impartiality of our national broadcaster. When the Secretary of State says that it is the role of the BBC to keep the nation together, that becomes a non-neutral statement when we consider that the constitutional future of our country is, shall we say, a matter of divided opinion. It is not about reviewing the 2014 referendum result, but about understanding that there are different perspectives within the Scottish population Almost 50% of the people do not agree that staying in the United Kingdom in the longer term is the best option for us. They would like to see self-government of their own country. I am not arguing about who is going to win or lose that argument, but we should accept that there is more than one opinion. Therefore, to deny that and to allow the BBC to take an editorial view that the nation must be kept together, by which I presume it means the UK, means that many, many people will feel disfranchised and alienated from the national broadcaster. That must be a matter of concern. I know that the Secretary of State’s opinions are his opinions and that he does not control the output of BBC Scotland—of course that is right—but having senior politicians who take that view will have some effect on the people working at the coalface and making the programmes. We need to say quite clearly to BBC Scotland that it is its responsibility to reflect the diversity and the plurality of opinion that exists in that country, rather than take sides in this matter After speaking to senior executives at BBC Scotland, I know that the director-general now has four pilot episodes—I do not know whether they are videotapes or DVDs—of a potential Scottish news programme on his desk. The degree of control that is being exerted in relation to Scottish editors and producers varies. I hope that he will take the bold and commendable step of selecting the most ambitious of those and committing to allow the people who live in Scotland to view BBC Scotland through their own experience and in a way that reflects their own lives.
ParlaMint-GB_2016-06-08-commons.u319	I am pleased to contribute to this debate. I want to focus on just one aspect of the White Paper—the proposal to modernise the licence fee by closing the iPlayer loophole, requiring all those who access BBC on-demand content to pay the licence fee. That will have a real impact on our students I have already asked questions about how the proposal will impact on students living away from home. The response was that the Government consulted on adding on-demand programme services to the TV licence framework and that, under the new proposals, all individuals will need to be covered by a TV licence if they stream or download TV programmes through on-demand services provided by the BBC. The response went on helpfully to state: “If an individual has a licence already, then they are automatically covered to watch BBC on-demand services under the new proposals.” I was already aware of the latter point, and that is the issue with students living away from home. I asked whether any assessment had been made of the potential effect on students, but there was no reference to that in the response, and I can only conclude that no assessment had been made Legally, if a student is living away from home and has a television in their room and that room is a lockable, self-contained unit, they need a TV licence. However, most students do not have televisions in their rooms so they do not need to purchase a TV licence. What many students will, however, have in the room is a computer or an iPad on which they will access BBC programmes online, many for research or study purposes, and it would seem that the proposed closure of the iPlayer loophole will now require the students to be in possession of a TV licence, adding yet more expense to an already phenomenally expensive education The Government claim to have consulted on the continued provision of the licence fee and found “significant support for reform or modernisation” On this basis, they have “committed to modernise the licence fee to include BBC on-demand programmes” Yet an examination of the consultation results shows that 59.8% of responses said that no change was needed, with only 15.1% supporting reform, including closing the iPlayer loophole. In addition, an analysis of the Radio Times survey appears in the White Paper and the startling fact is reported that 3% of respondents indicated that, “there should be some sort of licence fee reform—including closing the iPlayer loophole.” So, 3% and 15.1%—it is hardly a positive mandate for action, is it Yet on the basis of that minority view, the Government have ploughed on regardless and are now proposing to make the change without any evidence of having assessed the impact on those likely to be adversely affected. Certainly, having looked at the list of groups feeding into the consultation, I can find no group representing students—no National Union of Students or similar body was in evidence Although the Secretary of State consulted sources as diverse as Glasgow City Council and Sir Lenny Henry, he forgot to consult 2.5 million students in the UK. Students feel so strongly about this issue that there is a change.org petition calling for students to be made exempt from paying for a TV licence to watch BBC iPlayer on demand. The petition was started by a student at Loughborough University, who says: “I’m acutely aware of the huge sums of money required for a student to live and study away from home...Today’s students will leave University with an average debt of about £45,000. A TV licence would add £436.50 during a 3 year course, adding yet more debt to an already unaffordable education.” That student points out that the Government has not been kind to students financially, chronicling the increase in tuition fees in 2012 and the fact that the Government have now scrapped maintenance grants for poorer students, replacing them with loans and thus making them build up yet more debt. She believes it is about time that the Government did something positive for students in the UK. I agree with that student and I am supporting her campaign The petition so far has 17,405 supporters, many of whom have left comments pointing out the Reithian principles of the BBC: to inform, to educate and to entertain. Surely we would wish our students to access the first two principles and tolerate the fact that, yes, they may also be entertained at times without its adding to the mountain of debt that they leave university with I mentioned before that the National Union of Students was not among the bodies that had engaged with the consultation, but I have consulted with the NUS and I will finish with the words of the NUS vice-president of welfare, who said to me today: “The iPlayer offers access to BBC radio, for which a licence fee is not required, and to archive material, for which there could be strong academic reasons necessitating access. This change would unfairly prohibit continued free usage of the services. And, at a more basic level, with the gap in available financial support and the average cost of living for students running to thousands of pounds a year, the idea that students have spare cash to cover this proposed additional cost is bordering on the ridiculous. The simplest solution is to offer an exemption for students who solely access BBC iPlayer, and we support calls on the Government to revisit this decision.” I support the NUS’s view. I urge the Secretary of State to rethink the closure of the iPlayer loophole and to do something positive for our students by making them exempt from it.
ParlaMint-GB_2016-06-08-commons.u320	I congratulate the hon. Member for Heywood and Middleton (Liz McInnes) on introducing a new angle to the debate. My uncle Will, a clergyman of strong opinions for whom I had a good deal of respect, used to argue from the 1970s that the BBC was run by communists. A more common view, though, is that the BBC is a great British organisation or institution and, like most great British organisations, it is as much a product of historical accident as of design, a point made earlier by the hon. Member for Ealing North (Stephen Pound) I hesitate to call the BBC a national treasure, but it is certainly internationally respected, largely because it is not simply consumer-driven or obviously pursuing its own agenda. It acts as though it has obligations and values—duties to inform, educate, foster cultural development and encourage democratic thought, new ideas and understanding of traditions and history. That is probably why we have the diversity of programmes and more creativity and risk on the BBC than we get from commercial broadcasting. Oddly enough, that is profitable for the BBC. If it did not have those obligations, there would be no case to provide it with public funds The BBC model is ultimately paternalistic—which is why, mixing metaphors, it got called “Auntie”. As we have already established, parents and aunties are seldom impartial, and we may wonder in a post-modern way whether we ever get impartiality right. However, we want a public sector broadcaster to make the effort, which means building the right sort of challenge into the system.
